,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,130.32308056114,,132.22815674983,,,,84.45740525436,99.51330963156,,108.22841668237,134.96730611056998,,,,99.72816689035,111.44130965658,,,,99.41590731451001,,,90.57340130844,,,,134.36884151885,,146.51609091681,104.94569135120001,,,139.66481692861,,86.05107970156998,84.43356818694001,73.43952459047,,18.30271666667,,78.21870418929,122.33589945629,,,85.07122101519,40.77371267155,94.73197584144,,118.59019673552,83.02619409181999,95.594270243,97.31727115139999,90.00041557316,,,75.06229902649,,,,,,120.14022800824,131.95735534043,102.50478062236,,162.39097551707,193.90523325696998,,103.29616053133002,164.54365325924,81.11664186051998,,104.26964701809999,,,,132.16423611522,,,,,58.59261016215999,140.11107084631,155.39893935585,,,123.57432224423,,99.98196809831998,,104.05213592458999,116.01721463711,,101.46728897841999,,,,,,,,,95.79563750875,,,185.01155794831,,,,,99.7150911275,,,,200.09991579762,109.21559137969,,,91.69251948638001,,,99.88964847424,,122.61403584188,,,95.56516509952,,,,,94.23591418602,,89.11076654418001,109.86379665613,,136.79248427577,98.24729119718,,123.75487367713998,,111.77189830479999,89.27576571366998,,84.24747027795,60.114396014709996,87.74178042945,,64.52526185357,,,76.00243001356,,,133.91437611725001,,,118.19292208544,93.05811829443,43.84551642368,,92.89252238152001,,115.88420929871,118.60333333333,104.61235966144,,,91.56153868885,102.14063552299999,112.45347694611999,131.40105947989,152.14826680401,142.6434423531,,,,145.71117479392998,95.77818150946,,,,,,117.63828035658001,,79.66896154439,125.13866731825001,,,178.22918412855,,,,127.19214015365,100.3894114739,57.49313070761,,,60.54757195936,,,100.27797506655001,,50.12915013203,
1,1992,,,133.74041992701,,130.393700731,,,,76.36725997507,101.3582879285,,111.04994201941004,128.21368611078998,,,,100.70754088397,108.12450478682,,,,97.84568338400999,,,79.69352408216999,,40.84988333333,,117.57419053889,,147.48147779124,96.30963433133002,,,137.01265505976002,,90.97995222405001,80.97859476838,73.47065535813,,256.04168048711,,82.79008777313001,127.77007422966,61.47795833333,,87.53472822955,42.68286470216,95.75598092688,,119.72717260254,83.6433241021,92.63798933784,96.41722195149,90.51374673966,,,71.91918030528002,,,,,,120.53368094465,114.14553768486999,104.0699579995,,146.68528971029,197.36219387402,,108.28902533345,145.17743993602,83.66874751719,,103.38603129076,,,,145.12862169125,,,,,63.52143614127,140.615705772,140.46347124975,,,68.04459025285999,,102.71286593056,,101.41984473487,114.15678517167,,104.35704976903,,,,,,,,,92.13292651084,38.02086980641,,198.54565602161998,,,,,100.08686918368,,146.823525,,183.82383832058997,116.58239383823,,,88.38162745203002,,,108.06195744166,,89.39554791968,,,96.09726272956,,,,,95.90540848358,,79.85417296396,126.56713762936,,113.46960541834,98.51384957995,,121.60272700751,,111.71073344172,86.65077913792,,93.19713202856,63.52660185093001,95.11951496589,,40.52384536991,,,78.5308416093,,,126.35290593808998,,,107.60859971654,94.69753306722001,44.45095500367,,91.72582459479,,119.73162357929,116.5475,104.19503302823999,,,90.34666276073999,102.37967768812,107.33140184706,120.98314534896002,138.17475220491002,121.82548115416,,,,145.76409848587,94.1278987791,,,,,,119.10834544247,,81.38273654696,127.77599842977,,,119.4350308326,133.59053091615,,,122.68382183988001,97.99198146871001,61.67414301497,,,63.09629333671,,,98.30128003093999,,47.934066372370005,
2,1993,,,160.55570280986,,138.56202719011998,,38.55271589396,,71.15718059147,104.06824188813,,113.54991781017999,134.75304330255,,,,100.75082438944,110.12059095529,,,,96.91660445913,,,83.90831644665,,58.82365190684,,115.14389130861,,137.24667547532,90.05547419796999,,,128.66376097442,,92.83825014455,86.20147144775999,79.60081002986,,346.21268434863,,85.42525643076999,125.48783151346001,79.371525,,87.72647673536,49.36022626613,95.922669003,,122.68736995746,87.24479599294001,98.05376318521,106.15185007561001,105.56170554065001,,,75.62221114261,,,,56.53880917061,,124.84656041427,97.27175073243001,105.25350402334999,,142.27262720333,211.15899706156003,18.61643315242,112.58253899944,126.83326629402,84.18514884918,,109.10533596021,,,,157.90683219278,,,,,68.80063044365,130.32238586629,149.63747750085,,,51.3731390068,,95.31572700397,,100.18653079103001,96.10693347181,,122.28064477958,,,,,,,,,97.93126441806,61.01408519758,,198.25614857516004,,,,,100.35306205058001,,116.88695596775,,187.55046260368,117.32272905146999,,,83.6414601439,,,116.22928340376,,84.88512224338,52.77874548559,,98.82571245444001,,,,,97.52733007328,,82.60072269387,127.84614017683,,124.32319849221001,94.54815499361,,120.11698020781,,116.5753824168,87.4046707058,,91.78003806307,67.73704145598,92.37764708935998,,55.04856837521999,82.8298076744,,76.78301319161,,,130.05370815056006,,,119.37431252652,95.05825222376,46.973862721879996,,92.27585887951,,117.50371541297,115.12333333333,92.88202858487,,,92.88514775338,106.47502398980998,114.80916639811001,125.53878175966,143.90660189962,130.94677724567,,,,119.64397727392999,96.25128968778999,,,,,,113.12781237688999,,73.51250776001,123.05020581004,,,118.11137818466,57.76044084539001,,,109.88423624462,100.92959478464,72.82857907651,,,66.37675679824001,,,100.04606945476,,54.5263843928,
3,1994,,,138.60875996885,,114.12345568494,168.12349882802,33.06332066996,,74.52974852976999,104.74731216251,,109.08540405069,130.05422426616002,,,,102.37461588064,109.7196751858,,,,92.46390040798,,,88.32941511626,,55.07957,,121.26126908799,,88.77651882100002,83.04523266561998,,,80.57804863934,,96.27870085566,66.85560589402,89.86910568350002,,311.19583121799,,84.75089486738001,77.64976002493,83.83450583125999,,89.88766766789,52.64227290894,96.25726277778,,118.92139484190001,87.72922736676,78.01732763063,100.8343379534,106.20725682871999,82.92386753423,,54.34593423413,,,,70.91104028516,,125.16079471814,103.53406079174,104.99572170469999,,96.01663245038999,199.93770382479,32.1633501439,113.38436214645,102.74509431497,85.14507648292,,109.06504833099001,,,,90.60835691969999,,,,131.1124022386,68.15034027591,122.43334414106,130.33612171898,74.14585046015999,136.45172387456998,51.44310802552,,95.50463620583,,101.90708636431,93.70327825638,,130.08468875065,,,,,120.56217147297,90.26446206152,,,99.83590320369,68.9277580785,,189.0663442446,,,,,101.24855676976,,120.98980391907,,133.20842020637,113.43269886246,,,85.04116500843,,,112.04149680285,,80.7625914802,86.81614192837,,102.34009020028999,,,,,98.20061690801,,87.99350734423,120.27170341821,,192.34135,92.79949261664,,117.71215123811001,120.11892,110.78275022501002,92.14156888158001,103.92713091019002,98.3263432405,67.65474769549,91.24233712118,,60.57255801821999,79.3135,,82.29308813764,,,125.84454285032,,,137.40770605114,99.10890715316,47.43118206527001,,95.76085405098,,112.70674581504,114.31083333333,88.57394130571,,,92.16797383322,105.29441452608,111.54858796407,145.40396452913,118.63120515971,167.4108034999,,,,118.08944170045,100.91517647229999,,,,104.21256030034999,,78.47497081208,,68.48925474071,124.02347998168,55.04446076491,,147.61116049592,82.29834122506,,,110.56816690998998,101.41444200765,79.50009119361,,,64.33826570609,84.85585,,99.08767983074,,52.339237365150005,
4,1995,,,116.17914013155001,,110.46943289414,158.03516320848,52.27816736069001,,72.86322583401,108.70170137452,,102.66009953972001,123.89273247032,,,,106.05250679319,107.52233365888,,,,89.95722973097998,,,97.55816540511,,55.07957,,128.0280922807,,95.37178558868,81.15136468718,,,95.19387573473,,102.64222371465999,74.97641945795999,91.11542580211001,,241.60691023784,,86.39815358185999,89.24602424719,87.77321646349002,,90.86782747256001,55.8422903887,100.59159798417,,112.01818947656,91.11333975053002,83.95736640356998,103.98660263983,102.25456640482,85.44399316679,,64.73614273970999,,,,73.11642010598001,,122.77768904831998,112.87450102638999,107.77897463729,,106.10815110038,193.61088847876,71.9825061645,118.43922798834998,118.68643534165001,87.98900748208,,105.38356710820999,,,,92.26048761998,,,,127.83805289283,65.73232696791,122.02301301834,124.68837067002,73.01523111812,132.4920435575,69.23050165209001,,96.12373159018,,103.49981283805,87.32811479243998,,131.84689375425,,,,,121.61021067363001,85.06993921571002,,,96.72670091059,69.56497186822,,189.3461639062,,,,,103.15560386503999,,133.53290547513,,116.7127180125,113.93946486389,,,86.35292121972998,,,75.80213726468,,86.55528062239998,74.21434657919,,105.96668488046998,,,,,102.33507149982,,93.12684208243999,110.40839480299,,192.34135,95.88493831909,,113.58601894778,116.16118319517,94.10057440861999,93.11846544174,104.14713180757,99.90755523618,73.39701323624,93.91341956489,,59.06187747163,79.3135,,74.9191731645,,,121.81269090164,,,124.15883928344999,100.67666227608,48.67130850337,,93.55209065761998,,109.87708135209999,76.83179967569001,90.10222975049999,,,90.13803976032,103.61861993833999,105.49336897945999,143.9150739285,116.89719578141,166.82431975968996,,,,118.49908387773,107.73726267692,,,,102.84432755519,,108.33139600587,,66.83463628088,126.56716098327,59.81640282737,,144.04167003448,96.33769653774,,,106.32042283716999,99.7136867533,82.28597246592,,,82.3455296053,84.85585,,99.71159778636999,,50.18491524899,
5,1996,,,118.51834917110001,,112.42697552474002,154.92243858197,70.97399345430999,,79.23373964563001,106.20176935389,,102.9940645762,123.23726486019,,,,103.37237625059,111.94804114363998,,,,94.11102314158,,,102.61537179330999,,45.03585868126,,132.13574952941002,,96.44838316613001,81.38649454183,,,96.97310865396,,104.73374820517999,83.66441107899999,97.74384611049,,238.86070044058,,86.63060179433,89.35457878189001,87.06411437471,,90.22808109399,59.10151659848,98.28827395738001,,111.29458914869,93.58724309277001,92.53347268771,101.61813542649,101.66182440565001,91.20154643169,,64.73578006670999,,,,73.93631186208,,123.24422055275,107.86363495497999,107.34468996781,,104.86335282036998,190.54254493294,90.75678979357001,114.10947254087,128.95908365811002,91.84636490518999,,105.90418552609002,,,,98.90549662698,,,,133.2760625017,66.4293519242,122.31710102406001,129.10348581264,72.82456976377,143.42412504513,89.87394926444,,98.56000608584,,108.48912602499,97.01218567515998,,110.38956588161,,,,,123.9414340532,87.95278887069998,,,100.02946404396,68.51715509630999,,171.37139272085,,,,,100.23157279597,,123.33485075493999,,168.50048370778,119.68582201452,,,85.97577063685999,,,84.37626026749001,,98.05569740556999,73.40392863534001,,106.26025785514,,,,,99.97289862410999,,99.24042863950001,107.75463385521999,,99.3290805284,94.33940977440001,,113.47295808415001,113.14563220757,100.83029765965999,96.65720776719999,106.28308476385,107.21235386719,78.18571515935001,94.74219580292,,53.11588709236,79.44268641295,,77.27983346788,,,123.21850766478,,,125.06275141084998,103.39314792601999,49.19285593309,,99.52226361916,,99.98754652478,76.64843834209,91.98838077128,,,90.25522119177,102.95941872281999,108.95888235682,103.86749168088,120.46833595034,106.47888591021999,,,,126.28183374299,103.57899647705,,,,110.14192453106001,,93.14968425106,,67.60454334773,126.75213443695,60.92446683413,,144.58041969317,113.72682816179,,,107.74576045977,102.3581771357,83.12263945710002,,,68.31783326438001,84.85585,,99.79235682820999,,54.82696042583,
6,1997,,,127.91674239244,,112.3164502108,159.49329627918004,69.93871731466,,78.36918871156999,101.61010618478001,,107.30491782848,131.2766371168,,,,97.10132871535,113.42008492618,,,,96.21744147355,,,105.08839288179001,,55.14848945335,,156.1931923858,,95.43975118499,81.05568375261998,,,93.48514045254,,111.88532321795,90.90190064406,103.78927019853,,227.75599857123,,87.63312179261999,87.38154110433003,87.44269249911999,,88.58326744170998,59.93205699837,95.22115872052,,111.69052968243,97.98732214866,96.92978181862,101.04915348361999,104.90772271991,101.05121649083999,,59.764177866160004,,,,79.46851001725,,127.04866370114,103.01769758193001,102.04600540851,,103.05862629484,196.25046356171,94.64300527965,107.49782200889,136.44776596666,91.49562155099001,,106.84114122863001,,,,101.39129551740999,,,,143.66882875987,69.85739324411999,124.33031152301001,131.81084159903,78.97044292497,134.83991580817,111.84328191441999,,91.0916625067,,113.93454648157,96.47566985265,,103.80687764086001,,,,,115.40692859302,91.59533359816,,,106.49295081903999,74.59148703804,,171.59442616816003,,,,,95.72730217261999,,107.34616831442,,175.32103501656002,116.76403158626002,,,86.89755117625,,,97.50096774605998,,112.14538548396999,84.6041303765,,105.83573987285999,,,,,94.37592675153,,101.24918231232999,104.90470693073,,64.99250805741,94.89707755808,,114.68026989017,115.79774957472,101.15097432679,99.39133405638,106.85164380216,105.76218631632,80.27549394052,92.90528165709,,62.91492249705999,84.14308658201999,,82.24285771984,,,122.47641000000002,,,142.29909922707,105.04836461034,52.006504771070006,,107.77780391198,,105.5246242293,82.32973196229,87.87232892361997,,,97.27231889006,102.01684005834998,109.90403743414,92.83936054153,122.08201114011999,84.30155316042,,,,118.68606006193001,95.07534132855,,,,102.90130491875,,93.5801716759,,66.1025545768,126.11586083516,64.37984046380001,,151.3874148226,134.58568045081,,,123.72006115338002,107.5135153106,86.00714209341,,,86.29876771476,86.49789495025,,101.44529291385,,63.42712001405,
7,1998,,,134.17635397297,,116.14900100959,166.01238695468,74.31195116949,,72.30913980778001,101.13090357743,,113.32176117351,134.09663150468,,,,96.74225269623,116.93118901367,,,,100.58123765636999,,,103.29726664076,,64.49231497037,,142.41355974547,,98.71431931134,77.15410412771999,,,91.18805711678002,,111.45263515987,98.25015858709,97.64083955629,,243.24780869322004,,89.41817099476,93.22681329128,90.34709278764,,91.67518855281,66.06250349279999,97.52243675996,,112.19666814561,95.85949106973,94.01166065329001,97.54370781186,106.62136145487,107.77557214672,,63.49161629286,,,,76.05047401080998,,108.06146723602,103.4169171084,102.18241746913999,,103.74842561561,194.80304997452,92.25418407715,107.52916451825001,145.61803262811,88.76625659943001,,107.33096134339,,,,100.49994404309,,,,155.129992658,70.39474812518,128.41319977986998,131.28591560166,82.26568310091999,64.45732901748,138.33530926968,,88.03590762179,,111.60492181548,96.80692601471,,104.97484270301001,,,,,87.97400197206998,95.48493531406,,,107.75970059528,78.50689832825,,157.57042096261003,,,,,95.28698390557,,99.59435640112,,130.33461779038,93.65533517426,,,91.05801261836001,,,98.85164771409,,127.60872973495,82.19779001226,,109.57378938478,,,,,95.68470373425,,88.51570672458998,107.24788047556999,,68.70129181597,92.86662679882,,117.1123534349,109.46750354841998,88.86624662287,90.64927969425,106.75846317972,88.61796173126,86.01016108989,93.2763493339,,84.09653145591,73.4861542233,,81.76157514729,,,120.51925696701001,,,121.17585852017,101.68420227482001,52.73805329514,,104.88326429656999,,97.71742763450001,85.54377340795,88.21376921919001,,,100.35812952905,104.45237448059,111.67904426199,91.20800954668002,122.29167563376,86.82685049751,,,,116.26558399898,97.07219793496999,,,,87.87831017920998,,97.87530944574,,68.64542799306,126.3798652365,71.04058655351,,134.14963320665,122.73912446735001,,,130.8773115257,116.66701538129,87.48191130689001,,,105.95856576636,93.85849043495001,,103.20758197793,,59.16543275629001,
8,1999,,,124.01478472251002,,113.77649648051,181.33632831908,72.82031540711998,,72.50595089088,99.3978817633,,110.63415660935,130.21404300416,,,,95.08997201260999,117.68213317724,,,,103.60876062427,,,69.32298357613001,,67.5934983976,,117.14627027823,,97.73607763417,76.41088839329001,,,87.28966671036,,105.5623004246,92.79290156583001,88.25814347783,,375.31284713522,,87.19543010059998,92.29410150785999,86.63015915542,,89.89768255826,64.67263362124001,97.74342823635,,111.47911071006,95.21808367713,92.98574362935,102.06803821898,79.61006262708,112.92117377538,,60.64112712388,,,,61.091431710740004,,108.30990432757,102.53891883821998,99.23652890234,,98.95607783455999,190.11616136999,78.82044241061999,104.14677340872,143.83266534092,88.54682808778,,108.14746555397,,,,90.55645954929001,,,,145.83153559652,71.88675555214,129.97535521074,146.95185598964,82.31235204961,94.63867670120001,167.8868430393,,84.79592816025,,107.78857429815001,95.58305332488001,,118.08477847436001,,,,,100.87256863761999,95.70919591078,,,95.22254730614999,86.81231599883002,,142.31775308177,,,,,94.22167074764,,100.37027863773001,,131.21450160706,94.80679360497,,,89.17507607536,,,107.98302296408,,141.26724243431005,62.6656734296,,110.66380459522,,,,,94.61669994584999,,84.72889781609,111.29965820781,,66.9429352733,93.10790811275999,,115.02292016092,104.84363629126,80.82897186819,93.46523311082,95.94861304591998,93.81754287414,83.76830022426998,92.78021559472,,72.77723803319,49.06203596080999,,76.79722261118,,,115.33922606173,,,143.35370119892,96.28177433273001,51.36467272349,,106.42792379443001,,91.69727979078002,85.38949529558,87.66122805202,,,102.10018888264999,106.42022442587,111.52840982006,90.46473364201,134.03524155723,89.63516936446999,,,,113.92410787621999,95.88906265520001,,,,91.17161728758002,,93.26132470081,,69.81081870383001,127.3335808587,75.45554813713001,,122.17166589483999,96.71503986571,,,130.56585864427,115.75468452218,91.85704842391,,,120.04479124607,92.78076258639,,102.22922928635,,59.28884038301999,
9,2000,,,117.95384822915001,,111.27481970121,180.02290526078,73.9178723529,,69.08214822261,96.22879577775998,,112.39850827264,132.92972575676,,,,90.97542170885,120.16857175946998,,,,101.87483496337,,,74.53768413773001,,69.5325178144,,121.17654542478,,92.03459628108,77.08637647540998,,,84.38938868055,,104.27980982144,92.94918351416,80.4179955331,,520.21565908914,,88.94192761603,87.18673650269001,86.81788867665001,,87.00812874060999,65.70389036081,93.81888598920999,,111.9798339727,99.29508817914,92.64582579783001,104.28375685463,70.85313218031,117.82082878026002,,56.270539361759994,,,,67.48099701539999,,104.86160164005,97.4226113067,93.80634821913,,93.19575702081998,181.75857734557,85.36063582439999,96.93453905981,94.10670676615,82.5116884531,,110.50936970703,,,,94.62890111973,,,,139.86376061437,71.95280481915,133.33172448783,154.35316610046004,84.39198306002,92.1873300557,199.24851217361,,80.92951625083,,114.75699941479,90.69738663736,,124.37493405962,,,,,108.56765555083,99.17472391135,,,99.52702383577999,91.62566569251,,136.86177712895,,,,,92.24945497657,,102.7237790375,,135.68145409858,96.40274640163,,,87.17619663774,,,117.41565406974001,,156.39794382863002,72.71555643297,,113.00351061570998,,,,,89.68988847696998,,76.8435657223,109.83668662823999,,68.51328853122,90.9145156344,,115.02340182854,106.4815004817,88.41738034475,90.50356767400999,96.60004853334999,90.93018698200001,91.59678170399,90.38494884251,,81.65079694733002,54.88380262604,,73.53754570602,,,116.39478373793,,,131.54086984476,96.01713051320999,56.479326289259994,,113.24480354295,,92.64455,87.27353690700001,85.63487257258001,,,103.73350972047,110.73049516953002,112.34313616157,92.3676134917,138.490365568,92.18122157879,,,,111.18670717412,92.88856227715999,,,,87.33958756861998,,89.69274249634,,71.33183477687,125.55997911486,84.18822831533002,,115.5315879172,95.93211397188,,,130.8481907007,119.55862732088998,90.93778609520001,,,125.45197226773001,90.134312721,,103.65915343357,,60.72232897397,
