,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,22178.1167378717,,,80560.508049272,,,,,,,,,,,,,,,,53953.5734822465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.61587735914001,,,,,,,,,513458.287042616,,25477.8719756952,,,,,,,,,,100841.679434403,,,,,,,,,,,,,315316.19019511,,,,,49587.91828880071,,,,157656.21543279,,,,,,,,,,,,,,,,,,,72818.522612356,,,,,,,,,,157282.216912085,,15088.4233465254,,,,77245.6651700061,,,,,,,16437.537633853997,,,,,,,,,,,,,,47745.8348336024,,,,,,,91445.4020750639,,,,,,,,,,,,66352.8330156981,,,,,44867.8810102869,,,,,,51.61587735914001,,,,,,,528704.31032837,,,,,,,4064818.04348415,,,
1,1992,,,,,,22241.067165815097,,,85549.8953399111,,,,,,,,,,,,,,,,63269.98522380991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8820676972,,,,,,,,,520368.7167683061,,24131.213108427797,,,,,,,,,,120758.43015058801,,,,,,,,,,,,,332077.969380763,,,,,54711.1144498145,,,,173755.321435031,,,,,,,,,,,,,,,,,,,78649.25069437269,,,,,,,,,,162369.23626089402,,15248.0178497401,,,,83314.380523645,,,,,,,16696.7403643157,,,,,,,,,,,,,,51734.698832994196,,,,,,,92690.62097541268,,,,,,,,,,,,66503.1778970898,,,,,50383.361091455496,,,,,,89.8820676972,,,,,,126053.654802188,561466.637098466,,,,,,,4289387.48289091,,,
2,1993,,,,,,24138.8659178625,,,90912.32485306381,,,,,,,,,,,,,,,,73589.75056295481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.75591485851,,,,,,,,,510488.097174492,,28452.0288997608,,,,,,,,,,137092.13803822198,,,,,,,,,,,,,337313.682985251,,,,,58710.875801408896,,,,200601.91953698397,,,,,,,,,,,,,,,,,,,91795.7770079671,,,,,,,,,,185378.04514483,,15905.145823851799,,,,86301.625767707,,,,,,,18848.55526088,,,,,,,,,,,,,,61247.959932623606,,,,,,,92720.4069363006,,,,,,,,,,,,72233.24036716111,,,,,57262.145464225,,,,,,156.75591485851,,,,,,159613.36997906,579401.94721458,,,,,,,4462164.60422094,,,
3,1994,,,,,,28566.6972613385,,,96492.74845302179,,,,,,,,240943.60626532199,,,,,,,,75080.5191574697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3599.88457650651,,521.16428123107,,,,,,,,,561810.1598743979,,,,,,,,,,,,151083.070038576,,,,,,,,,,,,,349780.530300039,,,,,66471.5648267009,,,,215032.655303735,,,,,,,,,,,,,,,,,,,99511.026886085,,,,,,,,,,204278.119886799,,17460.5344835702,,,,95834.33141571152,,,,,,12436.8935670227,20787.353060533602,,,,,,,,,,,,,,78650.0565320043,,,,,,,105533.79442794301,,,,,,,,,,,,83397.5539065443,,,,,66941.2610283096,,,,,,521.16428123107,,,,,,169267.01952879698,625109.117084399,,,,,,,4871502.1397498,,,
4,1995,,,,,,35311.2598210846,,,99382.2417594738,,,,,,,,296492.714504372,,,,,,,,70497.62575916259,,,,,,,,,,,,,,,,,,,,,,,,66158.4139539651,,,,,,,,,,,3816.1239607986895,,837.45089131248,,,35985.2720887195,,,,,,617550.6814415379,,24022.6474958897,,,,,,,,,,168083.477687782,,,,,,,,,,16911.7061500183,,,366283.959997101,,,,,82042.1973814622,,,,242454.25243215,,,,,,,,,,,,,,,,,,,123256.694883992,,,,,,,,,,232112.29913602106,,17983.095134381,,,,101217.454620911,,,,,,13014.890220386298,24251.377687789598,,,,,,,,,,,,,,91012.18087965301,,,,,,,114923.538110943,,,,,,,,,,,,90299.58724108961,,,,,76568.03604481759,,,,,,837.45089131248,,,,,,180477.39364335896,679022.424705812,,,,,,,5291139.82465197,,,
5,1996,,,,,,37987.4125960219,,,111498.978146761,,,,,,,,298703.819387023,,,,,,,,72426.1278230654,,,,,,,,,,,,,,,,,,,,,,,,67201.8923483905,,,,,,,,,,,3817.28982248508,,1677.78607159738,,,37074.0468666098,,,,,,634924.360945475,,24798.8243644493,,,,,,,,,,175378.348117299,,,,,,,,,,19108.812589786103,385387.624703026,,376650.496194311,,,,,92825.65344088552,,,,271514.78863974,,,,,,4191.04004896102,,,,,,,,,,,,,146101.74700019098,,,,,,,,,,238017.682594452,,18740.2846825452,,,,112726.546476945,,,,,,14999.5012204621,26292.9885895787,,,,,,,,,,,,,,100193.83468496699,,,,,,,128538.85002344199,,,,,,,,,,,,94990.216721854,,,,,68028.8910215614,,,,,,1677.78607159738,,,,,,197283.277630636,722191.9923508591,,,,,,,5628949.6634668,,,
6,1997,,,,,,43736.0807386463,,,120556.31551184901,,,,,,,,301045.246761072,,,,,,,,79762.1202458877,,,,,,,345.11598437657995,,,,,,,,,,,,,,,,,71674.9612296522,,,,,,,,,,,5028.34270404326,,3721.18640218294,,,43440.9538942175,,,,,,698409.649641308,,61740.272189564006,,,,,,,,,,185627.993554593,,,,,,,,,,22520.796150486294,415066.293973006,,420762.69386559795,3263.71301695651,,,,107678.79674774199,,,,310670.080212223,,,,,,5385.60728326516,,,,,,,,,,,,,169961.016640419,,,,,,,,,,254931.75523272305,,19818.7045745071,,,,119265.080013214,,,,,,17210.8625872693,31528.7131050122,,,,,,,,,,,,,,111750.441613066,,,,,,,146997.120426046,,,,,,,,,,,,105033.07781947,,,,,71134.2777719928,,,,,,3721.18640218294,,,,,,204296.723681753,807117.231217755,,,,,,,6160132.77615189,,,
7,1998,,,,,,49311.0421962801,,,120819.263396411,,,,,,,,309665.104935339,,,,,,,,82731.6647658604,,,,,,,376.09936682797013,,,,,,,,,,,,,,,,43673.7181179722,73117.8258103284,,,,,,,,,,,5893.37388277885,,6730.56592483946,,,47007.185789812196,,,,,,752461.266108286,,56523.3316301542,,,,,,,,,,178598.964408215,,,,,108373.45391553901,,,,,26019.1968287796,427140.24596037203,,413255.53928468603,3385.11380526524,,,,118283.513212522,,,,340273.36861406,,,,,,5561.90730990169,,,,,,,,,,,,,192252.71721517,,3385.11380526524,,,,,,,,275636.15070045803,,19807.3463083168,,,,119548.829962059,,,,,,15977.9444367492,34031.4726943653,,,,,,,,,,,,,,111914.687872983,,,,,,,156265.940689755,,,,,,,,,,,,112633.88440579,,,,,75990.7667915137,,,,,,6730.56592483946,,,,,,202339.138823502,826166.319479729,,,,,,,6365596.41412324,,,
8,1999,,,,,,48256.199035147314,,,126807.30497667199,,,,,,,,314616.251165696,,,,,,,,89280.6732657243,,,,,,,420.57939802681,,,,,,,,,,,,,,,,48082.2603660666,78349.5831944371,,,,,2039344.96842739,,,,,,5836.78381975684,,11575.7485018274,,,49805.6162939548,466084.027460667,,,,,790443.633460005,,30065.9046345897,,,,,,,,,,183908.809104607,,,,,94115.39531594199,,,,,30934.9613448,426897.912630062,,432124.50692759204,3554.325089997029,,,,133784.453614691,,,,370031.28630589705,,,,,,4369.210605466629,,,,,,,,,,,,,214450.079959014,,3554.325089997029,,,,,,,,293972.292210039,,20513.940174592,,,,122510.725536695,,,,,,18044.334046011398,38387.298811278,,,,,,,,,,,,,,117329.025748518,,,,,,,165112.053471728,,,,,,,,,,,,118281.693760686,,,,,84474.4769126286,,,,,,11575.7485018274,,,,,,212184.08144778397,853250.0496613041,,,,,,,6676440.48928377,,,
9,2000,,,,,,49166.237594733204,,,138731.521289675,,,,,,,,325624.267113352,,,,,,,,98726.77756533812,,,,,,,455.42380448247,,,,,,,,,,,,,,,,55766.981986734805,84541.3413825794,,,,,2337609.38053206,,,,,,8329.57004002937,,18580.6137587583,,,58597.198670753605,495507.207915194,,,,,897191.3712849079,,34762.4293142799,,,,,,,,,,214877.08643423606,,,,,102336.515416194,,,,,37912.0149739518,477506.145710265,,491562.7460505421,3865.576438971261,36343.0521978676,,,154736.12365902198,,,,411011.3799290321,,,,,,6252.2108419364295,,,,,,,,,,,,,243065.221602935,,3865.576438971261,,,,,,,,339846.381716897,,21607.2007975328,,,,126491.153607383,,,,,,20053.143166025,43223.8562614049,62613.426343285995,,,,,,,,,,,,,135819.82046989302,,,,,,,184387.500917904,,,,,,,,,,,,129811.310465152,,,,,103375.460375145,,,,,,18580.6137587583,,,,,,251195.627467819,943662.125218511,,,,,,,7487626.62329065,,,
10,2001,,,,,,52162.5187174017,,,140234.19764655302,,,,,,,,334700.385068413,,,,,,,,108310.196827454,,3627.9615906958397,,,,,438.45566755313,,,,,,,,,,,,,,,,62827.2859908424,86501.1864684419,,,,,2242993.66389474,,,,,,6836.11601135901,,43179.8500805585,,,59423.0348034613,495524.48912821204,,,,,949560.147407898,,32930.7293373187,,,,,,,,,,207008.489239146,,,,,100362.090654033,,,,,36383.3311516057,490341.375918414,,452143.344227255,4596.802330993761,33616.529260292795,,,160056.366314816,,,,419261.92016385,,,,,,8056.39458003245,,,,,,,,,,,,,237753.048278748,,4596.802330993761,,,,,,,,353610.6114898,,22124.381725705898,,,,134336.176707251,,,,,,21036.1563402468,39946.5537482862,70115.9858576533,,,,,,,,,,,,,132475.10221096,,,,,,,191999.765160919,,,,,,,,,,,,128062.243104881,,,,,104268.564659057,,,,,,43179.8500805585,,,,,,267442.355429537,887192.002000974,,,,,,,7544142.31232901,,,
11,2002,,,,,,52289.17402074071,,,141167.696619576,,,,,,,,352497.8510796929,,,,,,,,117482.82146911699,,2339.5619358304,,,,,440.59350176929,,,,,,,,,,,,,,,,66588.21839845361,91857.3978088366,,,,,2400215.35637794,,,,,,6698.2425392979285,,61245.65114025241,,,62075.1847231164,494163.720538161,,,,,971489.99705054,,31300.0022384938,,,,,,,,,,224220.84454441,,,1000.61142317394,,97012.1453067763,,,,,40804.3570204203,477915.76248691604,,487054.057292329,5540.45497435843,39000.7986179604,,,179775.45429339106,,,,427089.277272966,,,,,,9754.623911620742,,,,,,,,,,,,,235349.90514043,,5540.45497435843,,,,,,,,351565.18252125,,23501.6784771088,,,,136356.183381351,,,,,,21967.376642678202,42344.7225159181,75824.7065417866,,,,,,,,,,,,,146825.818066056,,,,,,,199076.468298865,,,,,,1000.61142317394,1000.61142317394,1000.61142317394,,,,130295.067158335,,,,,107997.37311047199,,,,,,61245.65114025241,,1000.61142317394,,,,256601.751988316,852055.166314365,,,,,,,7710359.88670962,,,
12,2003,,,,,,54914.24323313369,,,138962.900267414,,,,,,,,350273.965021119,,,,,,,,135928.331956379,,3574.904489184029,,,,,430.66098096776,,,,,53441.9860625218,,,,,,,,,,,72113.6341405145,89806.19951026721,,,,,2659484.32701251,,,,,,6868.40908354973,,70005.1287278439,,,63676.9488322953,486001.810573587,,,,,993356.925626385,,26108.1084168281,,,,,,,,,,253914.52715911198,,,1066.8350103110402,,94104.86542586268,,,,,40779.1056881302,471851.3721684221,,531802.2326119511,6152.361407287221,43238.8547486284,,,209225.410321511,,,,444198.407925082,,,,,,11035.759470006298,,,,,,,,,,,,,229567.219082075,,6152.361407287221,,,,,,,,359159.693913568,,24096.634390837906,,,,137390.215256716,,,,,,23788.613653494504,43808.5517141492,90089.9164649958,,,,,,,,,,,,,189490.26046829,,,,,,,209420.092844346,,,,,,1066.8350103110402,1066.8350103110402,1066.8350103110402,,,,136691.463771007,,,,,119873.19014030801,,,,,,70005.1287278439,,1066.8350103110402,,,,233492.090815054,876980.8522799109,,,,,,,7999167.3790897,,,
13,2004,,,,,,54880.5217171392,,,145759.792807288,,,,,,,,353481.39190492604,,,,,,,,161486.051600876,,-1829.0183142626001,,,,,446.28898465591,,,,,61330.515780518,,,,,,,,,,,87358.0857760419,93194.31102101393,,,,,3024534.7864337,,,,,,8022.719669118579,,76681.39262204639,,,66781.8913993879,508468.664318983,,,,,1087623.01190444,,23732.6111174327,,,,,,,,,,290635.551401718,60192.7189512478,,1265.35392680826,,98150.5633178077,,,,,46286.327055812,495329.700606195,,603269.8002806479,6902.250748990279,49131.607378400804,,,247875.4888156,,,,477071.72561997897,,,,,,12753.6722490247,,,,,,,,,,,,,234236.81332434894,,6902.250748990279,,,,,,,,389162.15645214,,25758.6260666029,,,,136372.33698007802,,,,,,26468.3389776152,48182.8981680496,107430.81690010199,,,,,,,,,,,,,227619.46509510695,,,,,,,220659.198899996,,,,,,1265.35392680826,1265.35392680826,1265.35392680826,,,,150111.583164747,,,,,136050.983403311,,,,,,76681.39262204639,,1265.35392680826,,,,209833.17346313896,949328.6221863141,,,,,,,8673961.186127499,,,
14,2005,,,,,,61251.2197976174,,,150830.301156512,,,,,,,,356382.1109028929,,,,,,,,176755.641243908,,-1899.69816418966,,,,,449.87290052951,,,,,62736.4040393192,1035820.13916215,,,,,,,,,,96361.77785078599,96623.9364785897,,,,,3381093.24388893,,,,,,10149.5086114559,,79316.7756269082,,,70882.55967262019,522454.189137251,,,,,1158560.3185454,,23695.127494589902,,,,,,,,,,319777.39171462,67285.9649185297,,1463.4205084562,,101700.387980916,,,,,46453.9950907237,499403.190967435,,634946.516509005,6688.26180872323,49484.7976738336,,,266665.494451493,,,,514668.1311911221,,,,,,14775.156850494699,,,,,,,,,,,,,246402.16155803,,6688.26180872323,,,,,,,,412598.893712769,,25562.6980062787,,,,135529.16083878698,,,,,,30259.1085915661,49018.78923907191,119584.99763211599,,,,,,,,,,,,,253847.026254063,,,,,,,222508.74957653397,,,,,,1463.4205084562,1463.4205084562,1463.4205084562,,,,155702.80963924,,,,,145845.74559145,,,,,,79316.7756269082,,1463.4205084562,,,,226329.720469864,1017399.48537547,,,,,,,9302796.16158582,,,
15,2006,,,,,,64026.2492183192,,,153890.797679352,,,,,,,,358942.592241359,,,,,,,,182556.295628251,,-1445.36975308681,,,,,454.45009662251,,,,,65112.176679326505,1250569.70795089,,,,,,,,,,111752.203965496,103542.92502394,,,,1820910.40723751,3854107.34445967,,,,,,12151.171134221799,,95270.1829174301,,,81434.3671175064,564584.97329783,,,,,1292994.89262748,,23486.7489366697,,,,,,,,,,346338.74568346,78982.1368923034,,1495.94356990213,,118229.71545244301,,,,,47865.9676103971,525677.2196491921,,706271.714740956,7275.98979096345,53304.1383333205,,,309336.44062311604,,,,544657.440689957,,,,,,16673.5117229452,,,,,,,,,,,,,267661.833457894,,7275.98979096345,,,,,,,,452174.89841479,,26333.9819826633,,,,132606.24540296,,,,,,30413.062385492,53025.0746016601,138886.175029914,,,,,,,,,,,,,281290.234297207,,,,,,,234034.34962889305,,,,,,1495.94356990213,1495.94356990213,1495.94356990213,,,,166584.487892536,,,,,161986.198466692,,,,,,95270.1829174301,,1495.94356990213,,,,253164.37351059,1118482.62758781,,,,,,,10281937.1482393,,,
16,2007,,,,,,67882.2015607831,,,157565.84420321198,,,,,,,,366175.980256686,,,,,,,,192765.63403876894,,-2150.50767873986,,,,,454.26555469004006,,,,,69414.1881837009,1420107.23866505,,,,,,,,,,127600.96886857,106925.05265742801,,,,2043719.62036748,4246480.91731211,,,,,,11768.2761118005,,95561.5780491269,,,86506.0729168608,570207.875334849,,,,,1381266.61748033,,21532.9601339952,,,,,,,,,,369783.519976035,91960.0457169542,,1879.6997929235401,,122932.265632691,,,,,53911.7973951127,549803.907669084,,771761.429243642,6882.49190861509,58404.1738982674,,,350957.3521688,,,,569002.350432892,,,,,,17511.794946429,,,,,,,,,,,,,276857.304375665,,6882.49190861509,,,,,,,,484760.24982401705,,27544.6997537844,,,,134351.037666066,,,,,,31497.2104576741,53044.5459041363,150372.237556318,,,,,,,,,,,,,304544.839883792,,,,,,,247585.917342025,,,,,,1879.6997929235401,1879.6997929235401,1879.6997929235401,,,,168238.76305789402,,,,,181523.998201602,,,,,,95561.5780491269,,1879.6997929235401,,,,213466.14295693106,1193213.23128387,,,,,,,10961331.1223497,,,
17,2008,,,,,,67137.85538800531,,,166063.000742427,,,,,,,,368129.477058656,,,,,,,,187046.591484977,,-2092.3261306159,,,,,427.99745285137,,,,,67904.35648930201,1402542.5367199,,,,,,,,,,133536.908587833,109946.66438313901,,,,2031620.29119723,4319705.84477964,,,,,,11909.4009487081,,101628.825315411,,,85924.8849130725,567959.06312196,,,,,1383685.39316386,,20030.7329821865,,,,,,,,,,374295.968235823,97776.7867244191,,1982.5221528880106,,124078.15387974301,,,,,47001.9997279144,527170.393659129,,790202.42108771,6302.02292685362,58415.144989437096,,,383629.583248059,,,,558553.666673694,,,,,,19784.5841052316,,,,,,,,,,,,,270604.813544171,,6302.02292685362,,,,,,,,493824.5221840021,,27198.5030722294,,,,134946.63528639998,,,,,,33764.4062565413,50528.0992824907,163600.364811743,,,,,,,,,,,,,317321.828465847,,,,,,,249212.96784474305,,,,,,1982.5221528880106,1982.5221528880106,1982.5221528880106,,,,171282.927065091,,,,,189935.37613603,,,,,,101628.825315411,,1982.5221528880106,,,,233531.722219026,1261017.98297414,,,,,,,11132602.763112,,,
18,2009,,,,,,59987.226471533395,,,159379.765362239,,,,,,,,381790.761052605,,,,,,,,168020.160700894,,997.65108858661,,,,,365.39269396166003,,,,,66002.32962574321,1241513.79036344,,,,,,,,,,115390.202425856,97055.65808363188,,,,1812611.65720708,3788826.86904941,,,,,,9477.29760443844,,112347.999206297,,,64654.824317994695,495276.682809551,,,,,1154996.03734384,,21592.7091714491,,,,,,,,,,323553.840046028,85172.47493280731,,2726.78125792489,,129777.40091948301,,,,,45420.8971755143,424530.499264534,,592181.291202841,5406.95871362411,54463.6308059804,,,386458.872300981,,,,510104.05946346896,,,,,,17470.667484728,,,,,,,,,,,,,248693.64685632,,5406.95871362411,,,,,,,,448764.495141495,,28699.127521491802,,,,130560.693284993,,,,,,33403.0254347221,43045.2754124587,149814.178724335,,,,,,,,,,,,,284809.730442187,56.26363994845001,,,,,,225680.45940435695,,,,,,2726.78125792489,2726.78125792489,2726.78125792489,,,,139208.013887346,,,,,162256.055277822,,,,,,112347.999206297,,2726.78125792489,,,,244403.672145903,1085206.02808546,,,,,,,9815872.93833551,,,
19,2010,,,,,,68231.1304627261,,,178062.03944305802,,,,,,,,374980.9260747821,,,,,,,,183239.599672985,,-385.03530603966004,,,,,395.96830715134,,,,,65849.13723103469,1568672.6077541,,,,,,,,,,137843.503868884,102057.273669745,,,,2220338.47037896,4627169.34863897,,,,,,12022.516723642,,117615.70605743301,,,71941.9237405391,551897.363629748,,,,,1328413.43633735,,22457.8636828879,,,,,,,,,,379532.59653693397,99633.38138452287,,2406.93679162802,,150736.568245844,,,,,50480.1048250541,462814.670368529,,755868.882862763,6887.813930649581,57798.24689529349,,,463035.385138129,,,,573996.661884162,,,,,,20565.744219911798,,,,,,,186175.445335403,,,,,,288514.614118226,,6887.813930649581,,,,,,,,507628.942797994,,29484.999723546694,,,,127152.928996377,,,,,,34011.317630224905,54691.782821976514,165980.413671855,,,,,,,,,,,,,344589.19849046896,66.25563717832,,,,,,259476.25919623894,,,,,,2406.93679162802,2406.93679162802,2406.93679162802,,,,160515.212050726,,,,,188838.184013743,,,,,,117615.70605743301,,2406.93679162802,,,,273156.667513752,1252457.84207869,,,,,71223.8822078996,,11353406.9396265,,,
20,2011,,,,,,69630.9699279953,,,179091.349919534,,,,,,,,367631.25858469796,,,,,,,,188879.935795329,,-2089.83214770336,,,,,424.73726248636,,,,,68586.3084250485,1638641.11184698,,,,,,,,,,153853.402982284,109510.5399061,,,,2321816.37967926,4824531.94693259,,,,,,15054.1357383938,,139724.338860273,,,74489.7344967305,574265.707297137,,,,,1434238.88059564,,21258.659261379198,,,,,,,,,,387218.016031625,109516.939967656,,2510.7916267472892,,168135.919423756,,,,,51901.7204472507,481513.463669869,,751436.5725349591,6976.353383764461,55294.2229013058,,,527021.6006044571,,,,590032.860048124,,,,,,23414.3492306671,,,,,,,182615.18795034895,,,,,,295231.849833486,,6976.353383764461,,,,,,,,526197.754115221,,30017.9292584144,,,,122791.896696086,,,,,,36290.1044913135,48469.1224833762,185949.378083619,,,,,,,,,,,,,361323.871122328,73.6442436458,,,,,,285082.197616206,,,,,,2510.7916267472892,2510.7916267472892,2510.7916267472892,,,,171126.063208443,,,,,205763.969571339,,,,,,139724.338860273,,2510.7916267472892,,,,278439.325275353,1344597.09670457,,,,,78191.0684034608,,11942434.8253986,,,
21,2012,,,,,,65657.9875082322,,,184582.786145301,,,,,,,,371360.671372356,,,,,,,,188948.788783089,,-5329.64032528865,,,,,435.26679455405997,,,,,69759.94090846559,1697084.67318784,,,,,,,,,,159611.471136137,109012.907205874,,,,2398037.56154948,4914043.54714179,,,,,,15429.055434629,,173495.537733594,,,74212.0045543073,584805.075720467,,,,,1453195.88683088,,22928.4448901725,,,,,,,,,,385240.23941829,110298.71319745801,,3135.2476628526597,,159111.461712892,,,,,49952.728425522,477703.340091698,,745368.4277188029,6395.76169220302,55205.6767026211,,,541819.4215561571,,,,614474.420682954,,,,,,25839.0533890773,,,,,,,182363.143392147,,,,,,321861.424776246,,6395.76169220302,,,,,,,,536377.445983952,,31630.9427536129,,,,123985.36830954801,,,,,,38006.2196153867,53011.752914769415,189987.682279146,,,,,,,,,,,,,361568.319408936,82.74378573874,,,,,,293384.21604079,,,,,,3135.2476628526597,3135.2476628526597,3135.2476628526597,,,,167238.866700807,,,,,210516.36630895105,,,,,,173495.537733594,,3135.2476628526597,,,,275773.723531781,1397313.23549094,,,,,95950.1640328857,,12197303.9120975,,,
22,2013,,,,,,63250.6269086866,,,195833.49932802,,,,,,,,370868.970164877,,,,,,,,195010.15735901802,,4231.38947038158,,,,,445.75897877512,,,,,72298.5937956414,1792743.10584215,,,,,,,,,,163019.810428975,110947.14844298,,,,2523702.86198221,5086177.16795782,,,,,,15323.8493613632,,183002.292495806,,,74351.51084688799,579464.075774466,,,,,1455501.86404205,,21972.952432008602,,,,,,,,,,394097.87246726704,115154.85782219199,,3373.63937196516,,159320.557803995,,,,,48417.1125285249,473242.180673558,,730867.748121153,6974.61650374785,55514.062541218,,,561702.777605554,,,,625651.779499779,,,,,,28036.7560065941,,,,,,,189859.601744932,,,,,,330845.165201763,,6974.61650374785,,,,,,,,548032.655132939,,31890.6324825469,,,,119073.663836548,,,,,,36545.830030311605,57556.51819165449,201666.978795965,,,,,,,,,,,,,371889.540245621,87.22398648184,,,,,,306419.867136458,,,,,,3373.63937196516,3373.63937196516,3373.63937196516,,,,163972.15214016198,,,,,211016.67412482895,,,,,,183002.292495806,,3373.63937196516,,,,277570.12008288,1433342.12948267,,,,,113206.40427464401,,12462416.7752901,,,
23,2014,,,,,,58304.5828756726,,,206921.577991662,,,,,,,,374724.37777842203,,,,,,,,191186.292139786,,6079.55968548823,,,,,465.86700854629004,,,,,73582.2764124812,1919819.95083391,,,,,,,,,,180026.50027972,114064.524589802,,,,2690718.36343946,5332981.50093493,,,,,,15374.0917286026,,220983.77796447105,,,75046.0959870726,531322.491012997,,,,,1507295.83875085,,22138.020005603998,,,,,,,,,,398678.127770481,123348.45147171801,,3065.58617004464,,165653.776366612,,,,,49116.352514276696,478699.29865403,,741809.03128883,7256.07444514063,54802.6700292534,,,588220.883992282,,,,647730.097351143,,,,,,28810.428345570697,,,,,,,199697.870675838,,,,,,362160.480323235,,7256.07444514063,,,,,,,,563274.678405109,,32838.7940621944,,,,121819.680377985,,,,,,36078.742012449,65331.9501935458,216509.99914922894,,,,,,,,,,,,,383691.833453521,91.58209182652,,,,,,315539.89927645697,,,,,,3065.58617004464,3065.58617004464,3065.58617004464,,,,164779.462950535,,,,,212197.567664333,,,,,,220983.77796447105,,3065.58617004464,,,,266726.471275445,1479544.44893623,,,,,128017.247705226,,12892179.8538626,,,
24,2015,,,,,,57375.7981395088,,,213902.49647557,,,,,,,,385599.65102006,,,,,,,,207865.854967588,,,,,,,468.24083806337995,,,,,72055.2230539347,1914929.48750379,,,,,,,,,,195948.367404567,118805.838548354,,,,2712954.5016549,5388890.03265411,,,,,,15398.7851350399,,278319.84843797,,,73162.39198875621,554359.839288914,,,,,1586956.0026801,,26558.1381051987,,,,,,,,,,391029.708351765,132530.341798795,,4282.082184525039,,169499.440303848,,,,,52098.171691615185,485873.91785304295,,758154.516144949,7088.01155031593,40475.3085522893,,,612892.031301787,,,,717833.113231382,,,,,,28574.3873759065,,,,,,,211582.835036649,,,,,,415760.03342269897,,7088.01155031593,,,,,,,,577195.017037248,,34345.5111692351,,,,126428.606768968,,,,,,36831.4267015862,67292.219687954,234381.575930308,,,,,,,,,,,,,382418.468237555,97.57136463639999,,,,,,326207.66889941104,,,,,,4282.082184525039,4282.082184525039,4282.082184525039,,,,170687.748210345,,,,,204621.10183834,,,,,,278319.84843797,,4282.082184525039,,,,299031.538510511,1463680.15517602,,,,,145029.41728432302,,13295954.1286329,,,
25,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78321.2130202746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75565.9001931907,,,,,
