,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,140.69151607969,11747.0057202553,3112.39682104347,,11921.0,,,41835.2550173953,41218.4059464759,,219.91999999315,1188.25334204855,,223.96281888582,,103107.08438424199,96.05266918091,46.376290421440004,,,853.9835925805099,6121.82469338687,1925.49461274652,31700.024792915498,2462.23685960813,,106.64767739597,107.83663375972,59.74608226277,1922.6872009022,128548.0,5.4974070932800005,,110.89311931411,,8939.72461429658,71651.9257670207,7117.001506302629,27.64449744402,1605.09741802772,1101.65156391997,2098.1948299243,2765.71417337039,3.35117689047,,885.7301569590401,5696.749343256651,37933.0,95.77426432275999,,680.00451191977,182230.085066941,855737.0706648559,2848.4182875024,3589.52115591266,726.9558051407599,37.23468227821,,,183.54019318388,,396.15765503899,,23051.0529882926,230212.835401716,,2512.30003626857,168.11022197717,,403246.428468593,788.49756299407,9491.70687190443,,,2112.6420768226603,654.87967446216,32.31762505558,245.31537130792998,97.0101777216,,2160.97004766776,98188.8801009305,7462.56846138222,1548.35914466589,229108.529822423,402.76699932662,29155.6314089252,18862.5517783263,428.53391410507004,24015.045416517,,11035.4936978142,125847.55183339801,1115.28410629796,315747.0,1113.81042102124,,1114.41813177369,,71614.446942546,0.96051051344,,82.87172788721,118897.97747771599,,399.07991636554,66.72978277972,,11262.8500986774,,,6296.0,,,292.52262994563,449.05573410030996,54979.9705496757,53.864465080909994,234.66318486749,,532.8437655625,1288.9223616109698,42584.8,,56093.41654311,,50.39954879092,4299.71103128969,391.64355175984,419.59421003527,,,136386.749890355,,9702.050738335329,254.08631962241,222.67831685121,7471.6647638658715,34123.6711671029,4909.584500980472,6542.185580683211,5469.079271914528,1320.91787749809,1.66832795486,3390.6059832482697,8757.62436522524,14660.7971467644,12195.5860943998,3221.3046178704,4331.8245403063,,94.62348557393,7.735320145680001,,,47834.2822861355,,155.19701124806002,147.14280949188,58957.240606092804,4013.1250252668797,5353.15448282718,,,26513.081711964503,27639.719894731294,60171.889948963304,,,,,,307565.947530675,225126.186313832,328349.455723751,172474.054396478,356.42423248897,,55150.1984421025,57423.795419173795,,,341.41847034374,28507.0348667785,,,,1900.88821005748,3778.7134653655,16866.527562003503,,227.33795377107003,,,23522.4418144317,103950.79784102699,421922.9,1.59358600161,,,2248.46223128667,2105.84358024322,,3570013.27220974,515.8647774686099,1080.23834263423,
1,1992,,99.17610747846001,11134.3263405759,3518.3470554800897,,12248.0,6.77310363035,,42821.354704324505,44392.8812887435,,220.24402804718,1171.412736009,,162.82512509351002,,104618.92813418401,122.20088503054,84.63142242736002,,,714.6927223326201,5301.74733197648,1768.4247623857998,35746.4191561228,3905.5614914099797,,75.92358014603,71.1697867651,176.10853227319996,1859.42081669244,134811.0,6.43069182991,,108.51262188236,,10014.1888392665,84266.0451122672,6900.37118967843,28.67881811558,1484.15137366241,1179.68590035504,2371.9282346045,2997.7602575008,4.60729734867,,1210.90867475092,8489.128408192171,41534.0,95.10177112342,,599.7896783111098,212816.261644415,946334.10231898,3108.3935544127808,3124.26772467916,800.71617483896,44.16336499057999,,,188.00380045928,,437.84665192675004,,23911.0133787595,246643.39883355802,,2283.07225869048,231.04607075569,,430373.698828239,1560.3586694535998,10396.2229579454,,,2193.00443419584,574.05910825085,13.42102208636,304.79976620311,60.960421277330006,,2339.06751359543,119434.067558592,7765.72296768871,1527.49287203789,28529.0155195163,509.40003757303003,33846.045371537,19861.3920478519,591.2441595881099,28542.7642769456,,12253.7788937253,136090.160204645,1099.92693564735,340013.0,1232.0653647714998,,1330.0246773649499,,76611.5913151147,5.3722317063,,103.16486379044001,129315.400370003,,416.69698618688005,108.72632353827998,,9949.394210547429,671.08605206576,,6441.0,,,253.58946733844,381.91240228545996,60351.462294286386,34.61963804932,234.66318486749,,447.03437876355,1401.2719401019299,46050.1,,54805.27816637031,34.03193010339,80.31116195951999,3981.7345039516804,134.40186824992,539.3921809280099,,,143315.716977029,,9801.369263324079,228.03458295012,179.52279918485004,11879.2886664958,35133.8238789117,5371.35871270039,7329.74881974093,7665.082902735741,1801.1511486770498,1.37346218058,3588.76744311807,9718.295010206999,13206.912678589199,13023.766130890801,3640.66092107451,4459.05048702514,,64.95934313327,5.95478382719,,,50416.9233871833,,19.61689044455,152.49588020035,63363.5601936207,4152.103232695471,6.67642874056,,,26806.4813024113,28978.4484717208,64379.6670827476,,,,,,78527.6431357964,34224.0686327211,49916.2469377993,7433.07926031244,387.53949455912004,,56262.8830823038,61356.6398574491,,,393.14893789012,32631.5954557388,,,,1799.14597191112,4098.794343140539,17422.2072958455,,158.88641339382,1556.74064378647,,22688.3573682859,107803.73376260801,448163.5,1.7025480328,173.32568409034,,2740.99188054383,2805.0982232694396,,3621994.17486569,320.26071395383,750.26762956079,
2,1993,,106.33301210249,10086.8686164869,2895.66988367237,,13180.0,173.53500064528995,,42621.0229379366,40190.3290979078,,191.70222232375,1436.69910619518,,132.83255389551002,,125857.41543781199,115.38024024194999,171.68098759161,,,746.5439284170401,127.86097691146,1771.71692829131,38570.9826715023,3626.326638145661,7758.61457016158,64.65667640782,63.42689219069001,267.55551206266,1350.27024262463,146943.3,11.791731097049999,,99.20851312639999,,9198.40467075302,90594.1673005938,7113.529776246759,21.813738497930004,1017.01161350874,1097.17127828167,2573.11637622147,2664.07772458216,4.00971873339,,1029.27628279171,12730.5848310178,38181.0,114.60816769445,48.22670038737,596.5762891328501,229738.66750796305,1025366.07878371,3061.2616665205296,2347.0031259536,1037.0631258974001,56.09420942099,,,201.81996945215,54368.314915079296,376.55113979318,,23385.8783868181,211831.90491971895,,2197.67896228995,97.87843288883002,,379936.841316389,1521.8545086775698,9864.39454828947,,,2310.10972434827,541.2393426078501,33.53247431089,425.44859977708,76.6318626525,,2384.46760473609,135470.90609401802,6893.27441437183,1400.24421915934,26560.9963936242,658.27912000884,36847.4856871865,17917.5996620961,480.95695964886,28951.254843839,,13827.050227804299,166906.0,1067.16550593325,362207.0,1226.53839937189,6263.71421267685,1372.81556118114,,82141.9359187731,10.6845490831,337.41527797093,241.75303946138,141829.251071821,1063.60830178248,453.49626611852995,133.15630609812,,7557.66179831627,1155.83489925431,,5884.6,,,235.38297504871,328.34463801552005,47106.7007948501,33.999757294190005,237.81042249689,,418.88740033882993,1401.59964803944,51777.1,,48339.9684740076,490.36518333577004,168.24663350346,3961.8400797176,134.11172490591002,585.7270715429901,,,141577.845699413,,10530.3332594919,277.8470729174,207.79163946487,11261.1164929997,31991.6106382781,5256.79540480265,6746.051693823431,8473.65059810731,2506.31863938327,1.5373059910799998,3388.25026520005,11268.3960893473,14123.2688703252,16308.237800926201,3324.0705977323805,4563.56776821845,,69.46284870393,6.45792103986,,,42473.7862522412,,15.357919046800001,118.02071875476999,73875.2850495459,5.45329484133,6.09267476893,,,27290.3700056298,31731.4283327642,61005.9209614232,,,,,,74351.4453922526,30183.3268413034,44022.772750471,5839.49607916691,1182.36140987357,,49835.938719408,58607.5590408567,,,525.57997526973,37268.3912228674,,,,1571.36591381104,3818.729590905421,15204.465739578101,,204.09947623811001,4180.2554108881,,21255.2585065976,122262.223268919,465091.0,1.64635218754,654.70553627785,,3422.00034771682,2877.46759612482,,3621396.50152503,374.66580769803,892.7584407976,
3,1994,,120.74924298133,8579.85068726542,2938.31818955728,,15838.0,241.42292640816,,47388.640879240585,45058.9968973284,,197.88256414126,2157.42041207123,,147.85223462316003,,143836.791642303,121.83460416258998,154.55832926174,,,1026.80606951005,54.120279991400004,1812.88571033503,43372.9904241031,3286.67723794272,7369.77972203995,105.56697526386999,121.60950942177,248.40309165361,1348.72451880123,166549.1,7.007703504260001,,145.35220888979998,,11702.782604613101,118463.77672207699,8525.8613731261,18.35869686336,1276.93664809866,929.0695951988499,2879.37638826044,2840.35331986855,4.19805739486,,1154.1648650587802,14381.287867603702,43195.0,127.16536906766001,47.74207072253,3295.88840888786,283942.641086698,1179260.29624215,3836.55327417156,3416.6101732840198,1258.02789382145,55.16084349346,,1184.75324519616,391.92122474903,61591.2954159039,321.17973802228,,29658.2694372393,236750.519134185,,2384.8635588441102,38.048760029520004,,426910.54909507104,1989.42943933362,9347.98217177135,,,2627.62482885732,713.4907888632599,66.53815275590999,437.72878118988996,58.24283005233001,,2802.57897768,151086.26836078,6401.394691885501,1606.2237357569,30874.295119408398,785.8635401339,39955.5519970668,19300.8017929746,388.67575606844,34063.7285714444,,15869.011467793702,191174.0,1199.7030192049,396580.0,1423.61564879559,6204.37356766652,1601.92709118074,,95638.8571563741,11.20817169154,337.11066507126,300.17591230269,166702.610725231,1066.24840464724,568.8242131905902,142.14861739641,,7855.320707758259,2028.2290437799695,,6587.8,,,293.55484894662004,329.3838788029201,58733.1852547645,49.400844871269996,181.09070250534,,430.58076411217,1450.2435485182098,60825.4,,52798.0280071975,569.33005778213,203.81536158511003,5547.11843241954,161.20050648861,765.9681170377299,,,158186.605895549,,12173.650615954299,339.0805906247,181.74397459088001,10894.3337703607,34745.6067933063,5345.92180222925,7432.26693246032,8934.62051684808,2643.564043991,1.8658372838,4424.33795527717,13400.407380755601,17194.8402114688,19099.2714311684,3190.94547553956,6211.75023135879,67636.7966248855,57.841595213549994,3.63797269704,,,42654.5436403777,,23.94763215683,118.87437749466,96410.7641899126,6.703229845369999,6.821127495669999,,,28411.1932577202,36939.8534168775,73607.7985422295,,,,,,79193.00431952231,32912.3362696865,48003.0683133579,6223.266275925451,445.20077417138003,,61297.8120991146,66168.224466007,,,656.5323313249401,45315.4784011381,,,,2374.00335570293,4620.72595411582,17900.803763361102,,476.46450592320997,9587.90618543603,,21517.875497760306,135144.18467023302,512627.0,1.91223018382,2001.8185198443805,,4403.14610727611,3908.6768316285297,,4114431.46270568,969.31927225752,760.05988223993,
4,1995,,187.53512711807,9356.154035806,3420.3849682425,,20962.0,353.51879646813995,,53035.7923197569,57585.446332065585,,228.86402022982003,2594.28617336598,,245.77833925012,,175496.356573287,141.08941774031,173.71124867241005,,,1098.98819103068,77.6074201548,2135.96683848269,46378.581254457,3378.9480657959803,5264.088067552028,165.43955946956,102.62215499591998,346.61777861868995,1658.77010350432,192899.8,12.705840860610001,,187.28498502443,,16068.809901491699,149498.863776122,10183.8779180309,10.87011337476,1533.14701040082,845.25988615646,3473.7751116880604,3751.3713390020494,4.62041897466,,1460.2982052248,21636.7916830425,51464.0,94.82967160406,44.41039820885001,3538.16114593905,352802.9125284129,1392738.10865234,4377.0174959347605,3423.28523902651,1661.57989990458,122.20583833788,,1586.7231782967,425.05508484614995,141559.260855635,319.71268932566,,40202.028155511,284692.850359236,,2662.497616775511,25.99753726911,,523309.518944035,1895.2640670355,11961.586540318101,,,3696.49787522404,682.63664687295,89.61840687931999,470.43955924241,108.17664409213002,,3389.26722432973,173646.345794665,9898.41949310003,1802.21215871094,31629.465859723798,995.07521126388,45356.398217575,18499.0330278033,428.51666444821,44555.7508132853,,17605.5353060616,235221.0,1408.7091189295902,441571.0,1762.8963357318698,5523.1801539896705,1890.48989525311,,124870.741218311,12.7637116822,407.71448297813,310.44521510396,201141.523690881,1419.5438889535,816.04719424062,159.25535051285,,8514.46842157775,2695.82149131282,,7805.9,,,323.61547280479,387.49208751674,73955.8489265258,50.315848572659995,241.08742964061,1867.25951940856,574.85723442061,1671.1861517289,79503.2,,57161.73323874991,747.0062762656198,376.15844690188,6823.97190975829,174.62390037427,836.89258492595,,,199617.354647378,,13636.984750399199,470.0913888038,204.22297810641004,11769.6811439795,41955.0685134869,5922.03826486688,7964.647113813249,9548.820378669609,2652.80700606319,2.03526595195,5473.810881534911,17409.3719955467,22873.310717455297,23810.8036917837,3686.88541355378,7984.29971013016,82790.5492267194,62.25694316634,8.63105088168,,,50045.81755488071,,25.699880847520003,26.24193697154,118009.29072654199,8.58213465786,8.30540059048,,,31846.639358906206,43900.0552528221,93344.60645313241,,,,,,83926.137509652,32881.4107986973,47957.9631137648,2927.87800261367,472.40626915117997,,79566.9547592311,77931.8799335724,,,621.9828135494,56634.3365678,,,,2948.80182597565,5492.63552978768,21513.8446236156,,550.86537956261,15314.851772432901,,24104.3340250233,153471.897440936,584742.0,2.1145759299,2722.2811385375303,,4738.58825201738,5416.5409623491105,,4920058.37141014,1949.8952089656,980.68435360661,
5,1996,,243.39363155722,11104.2197869129,4542.04861282913,,23811.0,281.94688310648,,60233.3662963446,57830.1758845381,,274.71060071239,2874.4447544422997,,285.36004884067,,175388.458192517,150.41068600889,269.62619224023,,,1135.67730464805,271.82652112842004,2542.44121540724,47836.257313116395,3661.4513815236214,6283.11773420462,181.50824482212,34.76721494004,296.2447769942,1768.8753962190601,204823.0,15.44165471056,,121.54646880321998,,16618.0739621002,150873.63347935802,10628.5361451306,12.937894576339998,1462.5842575516901,1825.12092233827,3769.55597641181,5014.14991841414,4.53939293875,,1648.0244294432598,22191.7619877727,51274.0,117.05992848592,50.9706220893,4020.73541724234,366889.59888844704,1407160.80818865,4870.819405003161,3566.71881268053,1796.7869360571601,180.33272561913003,,1725.18672134995,438.48154862359,153371.617272733,373.54554717544,,40515.2732822506,289405.322558823,,3144.12848808979,22.49278060808,,524467.39905842,1990.1447518162602,13018.4862473613,,,3480.1304468721,661.45364267881,61.337011649919994,542.15045216204,87.58685766174999,,3668.08007274208,180633.85385642198,11308.5923798478,1887.24989776665,35491.1539476799,1170.50360467334,49795.5017840691,22263.802069225898,501.32489547842994,48641.2186984688,,18745.8695416507,251116.0,1375.66032420448,410602.0,1805.77010249815,6251.81300460578,2082.70577072088,,129932.84138834,14.846194548929999,533.08202723798,320.02453049103,223746.074518269,1597.04105005174,1013.32484178227,185.40763306307,,10144.3372040851,3354.38735531395,,7201.9,,,300.92246317109,467.05825614952994,78240.5348381271,59.144504670399996,287.51595089386,1731.01108220149,561.6381861595298,1929.9686868219696,95514.3,,67388.0440918812,795.2467350625999,325.63219972523996,6887.1430385536905,226.07607781254,728.1572785247902,,,201054.958658277,,14352.2910826924,464.51791322912004,205.57205434733,15382.4263622393,49555.3820975799,7103.612344522091,9301.67935434088,9629.25176288059,2515.28346193784,2.19075861886,5868.10226384296,20513.356546975,24401.903492142203,25106.4828005025,4404.16522008803,8241.98253636211,90295.3321313657,55.8855108658,10.071740376180001,,,60697.0530880907,,136.64054613103,49.64404710187,124996.699779728,8.82478683494,8.311370931519999,,,32502.6859515894,48177.627745578604,102716.509313309,,,,,,89679.1700741283,37017.3431587736,53990.2739771851,1515.77845344609,434.0397923215,,84832.6780212248,76269.7086667908,,,752.55066503931,56083.9454036962,,,,2405.5892689030898,5514.429017995,23113.7711678058,,641.46745029159,14407.354581363701,,27661.1677841669,167038.82827403198,625077.0,2.39340681229,2622.50663947078,,4609.31406802592,7187.212848171909,,5113314.12268047,4469.91439418325,1037.27543632059,
6,1997,,138.58358365531,13715.3477858428,4323.68187994386,,26434.0,231.06946969647004,,62835.0328791704,58533.208798093896,,295.76435692266,3883.1605539879997,,279.89373681643,7350.36924591355,171783.766404672,160.43108822581004,184.29492668145,,,1151.19202936814,572.95245677553,2835.94378973859,52852.095708663495,3971.6640349595204,5265.25990102415,192.91035618972,89.31811871650999,627.5941833701,1862.22183414793,218449.0,14.02246015895,,99.24346212422,,17874.4269624192,182874.81359394,11538.167331556699,6.07058538298,1278.03477935555,2286.17249254155,4207.4052245741705,4168.3371074835795,4.3416512493,,1298.90817729224,22325.875066757402,49101.0,102.51984582713,52.45299747556,4881.12780542397,411972.018334711,1496932.36087906,5268.05499244534,3994.93590341685,2430.03857331892,343.67456865942,,2136.7375478996696,590.53996135535,153464.584622086,373.77883823559,,40950.1191308721,291746.097288934,,3479.69095996153,14.02880490115,,512435.14472365397,2008.88207557425,12132.0240409311,,,4013.43322954729,642.2587646593,53.01642415457,592.97735469553,120.17706562661002,,3994.75995711236,187707.505574818,17378.0463484782,1863.0869393088296,32341.9419873892,1269.84752758495,53501.585510128796,18349.8943501157,2771.73488257219,53441.4107956054,,20310.3562980334,239657.0,1350.46028777175,433364.0,1834.0472046357104,6348.61100831587,2068.16916314129,,136134.218783805,14.20593977431,621.7877452504,191.74186700299998,253793.19985169198,1759.05734704017,662.44637759628,195.7357722591,,9589.33585737788,3862.86699483478,,7054.4,,,223.59100298533002,555.70262783506,78678.84178957611,72.79051068956,277.07639376898,1631.0493987225302,532.74317832098,1748.02019405259,110274.3,,66106.4395243304,877.9309590009599,320.5077593876601,7039.10825935598,221.51119161033,866.0603363817401,,,193801.031675592,,14207.044764164499,576.2835757912001,172.98882226608998,15838.9761536074,48524.9072810381,7442.251045062398,8754.517855999671,11022.3929153017,2161.80879491251,2.38206011176,6800.6938883969215,25191.8041107238,25685.673696590897,24447.328643014,5492.12349619862,8423.24074533257,85875.2795196128,89.40955807809998,14.798212130670002,,,60645.5746375721,,69.08475761716998,17.89777397998,124796.735955069,9.631320051160001,8.361339407580001,,,35207.3162965704,49748.1208832634,106118.25741139,,,,,,92289.77679425961,35990.0576230471,52491.9647309277,1126.4186620896,695.2684300791499,,82878.33894131929,72531.2712201629,,,716.63337066606,58420.730483331696,,,,2543.1104188453896,5575.7182567442005,26136.0,,585.5609057310401,14272.726581198203,,31291.9464842053,171989.05914171698,689181.0,2.71880990154,2883.4379718225405,,5375.10533620566,9121.73169382546,,5301352.49581842,2471.35080084566,1053.0141954687301,
7,1998,,225.43290210352,10014.196186863599,3478.77260890958,,26433.0,221.51390654281,,55899.1748757632,62637.9237359417,674.98034223888,360.30487880115,4017.8765820908397,,251.98289244432004,7121.1719346396985,178992.148155587,151.77122121047,236.41321435284001,,,1108.21774624969,768.25915058962,2138.34581904062,51276.9940734747,1973.2030811305106,4245.863820202199,249.41186596627003,64.82320655997,940.82751587825,1678.7956906206198,219919.3,10.59073116899,,232.36506923467,,16308.5840584688,184660.638079127,10901.327500528101,4.23429856589,1026.44316438495,1550.93535292123,5532.5484511308605,4706.86089411927,4.53321006889,,1254.4986537013901,25898.459693201694,48735.0,125.51656712803002,62.33952728434,5023.31851172401,404269.296130881,1392944.72297071,4214.99661724593,3165.82198114033,2426.92583909462,418.43655508905,,2528.60601558178,606.11488812829,138959.86678824,382.38891441674,,43188.6110052984,306533.65601916396,,2501.43137128584,28.456115725760004,,543507.675763482,2240.27513967459,11679.0486935954,,,4382.46490817651,626.26402646456,70.22321788252,666.6005198758,174.58755463018997,,4188.13523333518,174375.904570004,18437.1554108983,1930.05237022876,32758.1218694708,1378.6705278392499,48973.9904496144,13094.9286412386,4918.537976293371,64372.5776564234,,20651.9752793138,243690.0,1317.63891705224,390774.0,1803.27036949802,5387.54360183687,2007.09522952412,,132531.966507662,9.56133310139,538.55633283226,369.89817805962014,259282.879964945,1907.4918603007104,660.03640451487,194.08215052364,,6052.679151454538,3720.83208458034,,7941.5,,,236.13361121397998,495.63398536065,73262.8878430425,75.54787665293,291.83192613465,1830.20055296341,496.02352778582,1861.6384606771105,117429.8,,54257.852765920994,636.90537571865,270.19703517134997,7160.23149779292,244.63058900162997,1067.7480623658198,,,201088.461422067,,12051.0744004953,570.20514207954,206.22737668467,11134.5082196053,40367.7087394647,5339.24375661018,8498.6141646901,12047.3431539682,1765.36495559835,2.30833714618,5733.08638946275,29474.4309822281,28252.1451478969,25355.9283352068,4858.71529553726,8269.1220204446,73962.95345010441,62.87365377103001,18.137162307470003,,,38735.8997739335,,90.43425470008002,8.02436123794,110131.52223655599,10.71466702394,9.035837923439999,,,29475.5526331477,47702.604160823204,111371.783780079,,,,,,81186.0088281469,33414.5746585097,48735.58950209151,912.56155280054,438.39447997995,,84915.4830870063,75387.280795673,,,680.66754406313,54543.52333364781,,,,2252.9916273590397,5780.38493775395,26983.0,,513.47566370224,12671.922680830601,,25845.4440462744,164038.734773482,682137.0,2.7652101354400003,2314.7358484868696,,5200.875841295821,8921.652533840841,,5237351.39153339,1482.24905224279,1018.6365580443597,
8,1999,,262.59387420793,12781.936177758402,4371.805894298571,,23310.0,231.03062373334,,55976.20317016781,64164.4741523137,1012.45246177852,400.25380634932,4084.1123063632,,264.04653490113,5978.75954822729,179023.16188441394,173.50209933423,208.91399462549998,,,1047.11474117877,903.00632891158,2525.99428364495,47972.0395311217,2542.97613017104,3935.3581789946893,184.3166736712,52.52107853973,1038.60308851276,1609.72957238633,247680.2,11.477035945199999,,221.2599052257,,17234.4249924762,194127.13820719605,11580.2248184056,11.721605965250001,1088.7627276269,1700.79435250458,6682.34426757495,4178.45655802571,4.296291791780002,,1182.57552000458,26275.438979093706,50304.0,150.28630865525,55.83429109429,5166.5481347521,436508.83638336795,1480813.34606993,4454.83099634496,3581.19406829951,2507.19184521316,618.7382317213201,,2385.8991702715302,473.96945759795,131338.856827118,327.00310537192,,41703.3735484735,302438.49170679,,3358.83622124098,8.85838439867,,543265.047727205,2307.0720076637303,11368.728058050701,,,4172.30156987486,495.18616865817,58.14211602194001,551.61814584246,192.64907942682999,,10178.843337366501,173674.182511121,24950.526470989502,1997.0977572378895,39114.1527188748,1536.0242769543204,48624.4648487388,20953.3481658253,9454.378457082641,71318.190969292,,22794.7144926761,232936.0,1208.78365088612,420442.0,1832.5393071779001,5513.11604311347,1751.24676665133,,143342.06727134,12.152068391670001,465.55132688943,462.43761755278,279393.700753281,1724.0869152285004,674.24202678558,171.74309847586,,7894.133137225341,2761.3556075288802,,7759.0,,,221.90898612709998,438.67176452785003,84521.0165870803,63.86242909244,251.52183033301003,1983.62142443531,525.99687063306,1725.12164543322,136044.3,,73181.7336314431,468.13213092684,279.86253709309,7512.76047897093,271.87458527457,1128.51414624291,1194.26339569574,,200686.963898127,,12493.787153136202,543.99103220217,172.78619904891002,12594.1064806505,45368.8209144736,6978.59721605026,8521.15622227142,12702.3278003495,1873.91248278119,2.05428495982,6087.50878058211,34919.0040839933,27313.929170985,25265.4980533429,6222.2643790950415,8506.69504076757,69163.53734555781,93.85910247971,17.784515662089998,,,48751.8871942224,,106.52572149632,6.681800195959999,114450.297993231,10.23693823094,8.57025248241,,,30414.372214914103,50258.83030810541,111811.055775687,,,,,,82723.81255702871,33478.2096225626,48828.401920557306,920.40155735216,581.9142373887902,,85062.834645028,76147.07817847599,,,510.60995275623003,58439.5820070559,,,,2799.93734285207,5901.61291370406,26539.0,,479.28361344874,11560.730788835801,,28053.5428690729,166612.300511179,695798.0,2.23818609613,1960.9400059151894,,4177.77810938235,11076.516261458999,,5416029.56609061,2445.3025899581303,525.3796879988902,
9,2000,,258.96644549708,21933.728158435602,7315.3377345178515,,26339.0,301.02004185527,,63747.346817820195,64228.909628832596,1857.34782108988,464.38049622008,4825.495790679411,,273.50362320993,7433.91820112422,187872.867419193,198.04963867715,186.14664429775002,,,1223.38869031375,1014.82822439314,2972.9129087928304,55005.5625395562,3171.2129788620205,4809.8463362600705,145.41112612115,48.64969635051,1357.0620026102902,1833.94023603966,288033.6,10.71680261932,,229.41549902974998,,19243.5259942967,249366.015689073,13180.1347751306,15.14197911725,1133.27358838863,2179.96812918062,5835.9614492318005,3562.26654389308,4.43808033926,,1124.90704196485,29020.359583883597,50336.0,151.56670100558995,53.46536468486,5737.121594298161,537046.481620077,1757969.36444579,4913.3714668519,4694.86610223698,2932.74439090445,1089.76520547855,,3172.02010101084,496.14831855187,171449.802486946,395.06269824964994,,45479.289391193204,301584.5467593,,3796.11789710239,46.61098906575,,550553.21527356,1928.91472784238,11979.3373195123,,,4590.32969067789,618.1269401418,120.55922189161,439.57913366626,313.19435596882005,,3865.57397240274,201763.024905412,28023.106849580898,1902.84932631736,36045.055163167795,1909.38865943483,62194.6431045617,26985.8912813544,15253.2060408186,77088.7177422517,,28338.381278457797,240650.0,1289.11868467844,480608.0,1902.06509480091,9119.35274442854,1767.93944229385,,172592.693096229,19.44680429976,509.17441914362,391.89081052503997,318623.308112819,1863.78639044279,719.21055005015,245.52362602991002,,12725.8689352149,3560.236038549289,,7830.5,,,822.33183430819,369.51652060865996,98106.31087188039,77.02955035588,231.1038116324,2334.47407407118,533.5474746408098,1639.51215990413,165997.3,,101757.916989845,476.61296015179,407.83592406419996,7421.85336171923,367.80851522427,1406.3637288048599,1305.13506107066,,213546.579791673,,13298.296603001101,643.05072558972,189.63666537141003,25696.090477989103,60012.9378836759,10569.461939811601,9031.44299249484,13091.7816629877,2092.48739314663,2.20729388032,6962.416751948821,38025.3445898692,31681.4022278537,25158.4526030032,11623.380244716102,10361.044533361,99272.7837362105,58.72793990571,14.330171887550001,,,74813.81349684531,,124.74280959895,13.44433025289,137582.521542395,11.84219948929,8.74294505677,,,34082.640393721296,58531.8156317526,114588.317124679,,,,,,95991.33915547893,40184.1339181974,58609.0792759977,2116.05088966368,499.00950116414003,,87746.30550041901,74982.8943237181,,,663.0595484604298,69813.7315579593,,,,3032.21992778742,5875.13431349926,27862.0,,439.67072581787005,14551.1779417352,,40817.3726609173,188245.36272323,781918.0,2.30534388569,2184.23948002734,,5510.946430205229,13870.4657756947,,6072311.65174282,4094.5264507097295,759.1786047526,
