,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,0.54617372221,,,0.50815769693,,,,,,,,,,,,,,,,0.5772794662699999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7838008784199999,,,,,,,,,,,,0.9755596939,,,,,,,,,,,,,0.98544769092,,,,,1.4311144621,,,,0.7471963939399999,,,,,,,,,,,,,,,,,,,0.57360426621,,,,,,,,,,0.85247684523,,,,,,,,,,,,,0.56274850894,,,,,,,,,,,,,,1.22577506261,,,,,0.46710998558,,0.65325292528,,,,,,5.35598033166,,,,,,0.8314882255,,,,,0.63395385068,,,,,,274.06986571013,,,,,,0.8262809469399999,0.79428397382,,,,,,,,,,
1,1992,,,,,,0.55588984851,,,0.48883353124,,,,,,,,,,,,,,,,0.55831480109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82636749706,,,,,,,,,,,,0.98812513078,,,,,,,,,,,,,1.00775396491,,,,,1.38263302786,,,,0.7374970829199999,,,,,,,,,,,,,,,,,,,0.57388370415,,,,,,,,,,0.86752657528,,,,,,,,,,,,,0.6153573157100001,,,,,,,,,,,,,,1.21524115398,,,,,0.46181859369,,0.69100248367,,,,,,1.33709192381,,,,,,0.84498004727,,,,,0.64551144845,,,,,,165.55631336803,,,,,,0.8543606521100001,0.7948399722499999,,,,,,,0.8264771201100001,,,
2,1993,,,,,,0.54935933739,,,0.4579351384100001,,,,,,,,0.55747205041,,,,,,,,0.51599950581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74418715531,,,,,,,,,,,,0.9851916992,,,,,,,,,,,,,1.05789911986,,,,,1.3823114007799997,,,,0.6995279518299999,,,,,,,,,,,,,,,,,,,0.5540846083500001,,,,,,,,,,0.7521679815100001,,,,,,,,,,,,0.38143626952,0.63220123338,,,,,,,,,,,,,,1.19774361834,,,,,0.43134379868,,0.65340618526,,,,,,1.16202404181,,,,,,0.69083916558,,,,,0.65029747417,,,,,,101.65131279248,,,,,,0.76450713889,0.79930959434,,,,,,,0.79887803426,,,
3,1994,,,,,,0.55875690217,,,0.47943343565,,,,,,,,0.5458784482,,,,,,,,0.57104027675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3283985962300001,,94.21551685748,,,,,,,,,0.75867616853,,,,,,,,,,,,0.99990530652,,,,,,,,,,,,,1.11840928271,,,,,1.4231280147299998,,,,0.76789585699,,,,,,,,,,,,,,,,,,,0.59813200818,,,,,,,,,,0.76132416928,,,,,,,,,,,,0.35110557263000003,0.6812358457600001,,,,,,,,,,,,,,1.21698583286,,,,,0.4478447711,,0.68873711392,,,,,,1.22975558833,,,,,,0.73338162144,,,,,0.6764304896,,,,,,38.04956344461,,,,,,0.79645150625,0.81627980962,,,,,,,0.8023455527,,,
4,1995,,,,,,0.5992142149199999,,,0.5213403207199999,,,,,,,,0.54131273632,,,,,,,,0.64906103286,,,,,,,,,,,,,,,,,,,,,,,,0.77356356359,,,,,,,,,,,0.41552337814,,167.85998370884,,,1.1124181801000002,,,,,,0.8468750110600001,,,,,,,,,,,,1.03168510645,,,,,,,,,,,,,1.19120434157,,,,,1.5045018637399998,,,,0.82144757897,,,,,,,,,,,,,,,,,,,0.63169382341,,,,,,,,,,0.84614507805,,,,,,,,,,,,0.41741709256,0.7586372140700001,,,,,,,,,,,,,,1.2881414573,,,,,0.4738780989100001,,0.80758639472,,,,,,1.22885939782,,,,,,0.8821721285299998,,,,,0.73855446913,,,,,,26.02549171825,,,,,,0.8490371546500001,0.85735920655,,,,,,,0.87590129329,,,
5,1996,,,,,,0.6310703667,,,0.52782875216,,,,,,,,0.53387808434,,,,,,,,0.6496787744,,,,,,,,,,,,,,,,,,,,,,,,0.76173874785,,,,,,,,,,,0.45037069618,,90.84628681161,,,1.08989571716,,,,,,0.8249451751800001,,,,,,,,,,,,1.02941564787,,,,,,,,,,,0.6564460132600001,,1.07702901179,,,,,1.38247621187,,,,0.81277786192,,,,,,,,,,,,,,,,,,,0.64204339548,,,,,,,,,,0.83066667776,,,,,,,,,,,,0.38600502452,0.82296240331,,,,,,,,,,,,,,1.23728071217,,,,,0.47160401262,,0.79408343472,,,,,,1.28502469019,,,,,,0.89322732,,,,,0.82107259764,,,,,,14.27995855954,,,,,,0.8453783582800001,0.86199313176,,,,,,,0.8600776468000001,,,
6,1997,,,,,,0.61084171032,,,0.5093276421399999,,,,,,,,0.52019763245,,,,,,,,0.65431183593,,,,,,,0.64710077837,,,,,,,,,,,,,,,,,0.68174290714,,,,,,,,,,,0.42458946311,,40.98834416456,,,0.93900085174,,,,,,0.7336731092000001,,,,,,,,,,,,1.01189713354,,,,,,,,,,,0.58056164402,,0.98603763843,0.57053990986,,,,1.25587502329,,,,0.80551043497,,,,,,,,,,,,,,,,,,,0.6358522176100001,,,,,,,,,,0.7477181156199999,,,,,,,,,,,,0.38948008104,0.8470762335199999,,,,,,,,,,,,,,1.1102541389700002,,,,,0.46156793571,,0.7186008395300001,,,,,,1.1962874528799998,,,,,,0.78885707082,,,,,0.82058441651,,,,,,7.34545689021,,,,,,0.8406491961300001,0.8503168153,,,,,,,0.81338546512,,,
7,1998,,,,,,0.54171386097,,,0.45273305054,,,,,,,,0.52765979022,,,,,,,,0.60989621942,,,,,,,0.59813560099,,,,,,,,,,,,,,,,0.59744033579,0.6636555994100001,,,,,,,,,,,0.42680085233,,20.41101819588,,,0.91368442751,,,,,,0.72167982853,,,,,,,,,,,,0.9736901499,,,,,0.43596324104,,,,,,0.5764764713,,0.92608881804,0.53829880638,,,,1.10471951611,,,,0.7506882747399999,,,,,,,,,,,,,,,,,,,0.59825098327,,16.1800236972,,,,,,,,0.71774705029,,,,,,,,,,,,0.35655697061,0.91152869358,,,,,,,,,,,,,,0.97427468461,,,,,0.42938121576,,0.7076488400800001,,,,,,1.167880773,,,,,,0.75402441451,,,,,0.71560911417,,,,,,4.004817836530002,,,,,,0.8085653707100001,0.82227596314,,,,,,,0.7779522720100001,,,
8,1999,,,,,,0.4886733682600001,,,0.4313939659100001,,,,,,,,0.51889432625,,,,,,,,0.53169014085,,,,,,,0.60161413075,,,,,,,,,,,,,,,,0.5510009093399999,0.63994267914,,,,,0.72271616066,,,,,,0.4070205018,,11.28725370984,,,0.8359725280500001,0.6418845197999999,,,,,0.68724857812,,,,,,,,,,,,0.94531895712,,,,,0.49686158796,,,,,,0.55299910609,,0.9576158516299998,0.5182603072199999,,,,1.05777311018,,,,0.74432460799,,,,,,,,,,,,,,,,,,,0.62075685398,,20.68419528523,,,,,,,,0.6724404846500001,,,,,,,,,,,,0.33165140718,0.95804382585,0.54004487168,,,,,,,,,,,,,0.96726828181,,,,,0.41655524183,,0.6713341615199999,,,,,,1.12097380859,,,,,,0.7187620232199999,,,,,0.69287839712,,,,,,2.3505117071,,,,,,0.7831480869499999,0.8119430306700001,,,,,,,0.7647953615299999,,,
9,2000,,,,,,0.54219170324,,,0.4487618326899999,,,,,,,,0.52720481346,,,,,,,,0.54948109711,,,,,,,0.64652543863,,,,,,,,,,,,,,,,0.5248423503199999,0.5938198743299999,,,,,0.74649934252,,,,,,0.38005556283,,9.09278056811,,,0.7744998353,0.6007174846600001,,,,,0.6136717155100001,,,,,,,,,,,,0.93941430997,,,,,0.58461725709,,,,,,0.50389446713,,0.96108981885,0.4950112048,0.24121950343,,,1.09995554944,,,,0.76311285167,,,,,,,,,,,,,,,,,,,0.66798579899,,26.46989094935,,,,,,,,0.61876788949,,,,,,,,,,,,0.34133702564,0.92816231639,0.51143967301,,,,,,,,,,,,,1.00484311447,,,,,0.42323216787,,0.61677226672,,,,,,1.1782216199700002,,,,,,0.6763893222,,,,,0.67431624244,,,,,,1.48628258898,,,,,,0.7488712669600001,0.82503394132,,,,,,,0.7648468900200001,,,
