,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,405362.43744049,,,754886,,,,,,,,,,,,,16253.390612798301,,,613443,,,,,,,978055.5,,,,,,,,,,,8947437.3,,,,,,1307709,,,,,,32399.073,,,,,,,,,,118719,1455496,,,,,2040420,,,,,,,,,,,,963294,,,,,2921888395.90877,990027634.713344,,,,,1342699,,438655700,,,,,462954900,,,,,,,,,,,,,,,,,,,,,,,1913958.0,,,,,,,,,,411759,,108838,,,,1808696,,,,,,154861.190511303,2681724.16535009,,,,,,,,,,,,,,98329.3,,,,,403861.5,,,,,,,,,,,,,,2467896,443419.2,,,,,,,,,,,,,,,,1107059,8948400,0.5019,,,,,,,,,
1,1992,,,,,,444614.695556765,,,774902,,,,,,,,,,,,,16531.0123224331,,,610036,,,,,,,986691.5,,,,,,7947585.82349241,,,,,9770901.4,,,,,,1333301,,,,,,32889.752,,,,,,,,,,114772,1476808,,,,,2071320,,,,,,,,,,,,1023355,,,,,3112238104.9907,1084733426.63489,,,,,1352091,,442824500,3964.4954354104493,,,,491544500,,,,,,,,,,,,,,,,,,,,,,,1982273.75,,,,,,,,,,418302,,109768,,,,1873555,,,,,,154051.905453616,2692185.29140558,,,,,,,,,,,,,,105295.1,,,,,395231.0,,,,,,,,,,,,,,2442681,442829.1,,,,,,,,,,,,,,,,1111043,9266600,0.5424,,,,,,,,,
2,1993,,,,,,465855.60393646295,,,805583,,,,,,,,,,,,,17235.2248822181,,,639989,,,,,,,1012890.75,,,,,,9054450.22622305,,,,,10454893.6,,,,,,1333442,,,,,,32987.509,,,,,,,,,,113929,1468686,,,,,2050910,,,,,,,,,,,,1086814,,,,,3359602583.0053396,1046348056.64921,,,,,1340489,,443389700,4150.29524870733,,,,525199500,,,,,,,,,,,,,,,,,,,,,,,2034383.0,,,,,,,,,,423589,,115117,,,,1926118,,,,,,162096.471290157,2748964.48916282,,,,,,,,,,,,,,117455.4,,,,,400106.0,,,,,,,,,,,,,,2372577,442028.8,,,,4340666.0,,,,,,,,,,,,1138897,9521000,0.5569,,,,,,,,,
3,1994,,,,,,493112.966535598,,,844829,,,,,,,,,1239.9,,,,18044.69891899,,32974.6443118504,677355,,,,,,,1058405.0,,,,,,10240472.4001163,,,,,10935120.5,,,,,,1404549,,,,,,34539.182,,,,,,,,,,118418,1502907,,,,,2102920,,,,,,,,,,,,1152415,,,,,3613113074.96661,1024247273.76214,,,,,1371072,,446762400,4357.60870771325,,,,573550000,,,,,,,,,,,,,,,,,,,,,,,2130312.75,,,,,,,,,,436333,,122780,,,,2022534,,,,,14963108.7218991,181944.387433928,2869549.75077746,,,,,,,,,,,,,,130202.5,,,,,413045.75,,,,,,,,,,,,,,2465541,447921.8,,,,4686162.0,,,,,,,,,,,,1183144,9905500,0.5969,,,,,,,,,
4,1995,,,,,,479351.22421553795,,,869900,,,,,,,,286345.0,1243.0,,,,18882.7164916616,,35093.5331101158,706020,,47122.149769315496,,,,,1086746.0,,,,,,11367075.7244515,,,,,11371477.0,,,,10190.8,,1447073,,,,,,35143.065,,,,,7929.1,,,,,123399,1535577,,,,,2141030,,158594.0,,,,,,,,,,1179770,15745771.0,,,,3911003765.064621,1043996084.93107,,,,495537.0,1411671,,455360600,4627.21803539789,,,,628442100,,,,,9625.2,,,,,14587.015,,,,,,,,,,,,,2007474.5,,,,,,,,,,450527,,128076,,,,2107945,,,,,16016620.0351076,195370.461086033,3003965.8294076,572693.358769397,136504.6,,82413.1,33060536.2843481,,,,,,,,,139315.6,35219.4676883638,22678.7,,,425915.0,,710457.0,,,,,,,,,,,,2570248,450555.8,,,,5066524.0,,,,,,,,,,,,1212798,10174700,0.5887,,,,,,,,,
5,1996,,,,,,505420.7629328621,,,907129,223380.0,,,,,,,290896.0,1260.8,,,,19699.8824137817,,37007.618733612,721662,,43197.8251760814,,,,,1104253.5,,,,,,12496163.4535709,,,,,11510613.7,,,,10355.3,2758899.0,1489039,,,,,,35987.213,,,,,8349.9,,,,,127913,1556345,,,,,2159370,,163206.0,,,,,,,,,,1230010,15743718.0,,,23993840.233184,4217067551.6121397,1130160450.57911,,,,523962.0,1426818,,467499600,4719.49836415546,,,,676169300,,,,,9812.5,,,,,15306.442,,,,,,,,,,,,,2119987.0,,,,,,,,,,464351,,132970,,,,2214370,,,,,16255212.1487269,200806.562903618,3178934.26052008,808559.9,141277.8,,85431.0,31881817.7583926,,,,,,,,,149937.7,37581.5948398529,23417.1,,,444258.0,,729453.0,,,,,,,,,,,,2609888,453176.9,,,,5354722.0,,,,,,,,,,,,1243709,10561100,0.6212,,,,,,,,,
6,1997,,,,,,546410.742903682,,,946200,228933.0,,,,,,,301690.0,1306.2,,,,20669.6610742032,,39828.8921492055,746189,,42323.2228,,,,,1151514.25,,,,,,13659269.9358495,,,,,12156173.1,,,,10603.0,2739510.0,1537594,,,,,,37445.031,,,,,9328.1,,,,,135911,1592889,,,,,2200440,,170752.0,,,,,,,,,,1292737,16286088.0,736178.0,,33140776.080085,4417325932.0074215,1173073259.74871,,100785.0,,546389.0,1454893,,475006200,4876.4989240347995,,,,716213300,,,,,10756.8,,,,,16576.24,,,,,,,,,,,,,2273149.0,,,,,,,,,,485244,,136927,,,,2330837,,,,,16958691.1709625,213824.69950952398,3343407.2969173,864840.9,147531.0,,81738.5,32289158.5978671,,,,,,,,,162323.0,39835.0592446865,24626.4,,,456016.75,,756396.0,,,,,,,,,,,,2691316,463580.2,,,,5209157.0,,,,,,,,,,,,1282602,11034900,418965.744407938,,,41913.681,,,,,,
7,1998,,,,,,567546.525199831,,,990169,236986.0,,,,,,,307653.0,1356.5,,,,21706.7963538738,,39994.207075475,748760,,44346.9248,,,,,1196212.75,,,,,,14725488.023911497,,,,,13005894.6,,,,11138.8,2731248.0,1571701,,,,,,38237.219,,,,,9727.0,,,,,143288,1649612,,,,,2239510,,177312.0,,,,,,,,,,1216690,16972024.0,784525.0,,35136067.042065,3839291845.1929603,1212129056.37337,,109070.0,,566308.0,1476078,,465016800,5022.26034313982,,,,677027800,,,,,11461.9,,,,,17827.516,,,,,,,,,,,,,2380654.75,,,,,427541.0,,,,,506731,,137930,,,,2392606,,,,,16984933.5687099,213158.820070053,3326903.0,906882.6,154600.3,,79814.2,30628037.6160398,,,,,,,,,158769.6,41430.295487795,25379.6,,,458376.0,,788958.0,,,,,,,,,,,,2802418,476905.7,,,,4809130.0,,,,,,70203.147,,,,,,1323527,11526000,437903.037821875,,,42063.971,,,,,,
8,1999,,,,,,548388.055321017,,,1032810,245100.0,,,,,,,318613.0,1475.5,,,,21792.8362601209,,43823.7169708019,752263,,45379.8662,,,,,1257975.5,,,,,,15868858.153435,,,,,13524133.4,,,,11663.0,2765915.0,1618034,,,,,,35828.481,,,,,9687.5,,,,,149656,1703857,,,,,2280900,,182468.0,,,,,,,,,,1247190,17508948.0,815936.0,,37571209.010524295,3869663951.35635,1240648117.3009,,120890.0,,589391.0,1498348,,464599300,5188.59115064874,4222273.33021387,,,753590200,,,,,11719.9,,,,,17626.1,,,,,,,,,,,,,2444058.75,,,,,429804.0,,,,,531881,,144113,,,,2440152,,,,,16730479.213287,216332.557582405,3429435.0,947062.2,160611.5,,79342.6,32469144.8647445,,,,,,,,,168405.2,41338.9473465858,26682.0,,,469185.25,,824304.0,,,,,,,,,,,,2922037,484619.9,,,,5032043.0,,,,,,67840.571,,,,,,1366983,12065900,429559.6793235821,,,39511.104,,,,,,
9,2000,,,,,,544171.421679146,,,1065699,254094.0,,,,,,,330212.0,1668.8,,,,22336.583450464,,44419.7291165066,785239,,47780.6267,,,,,1323173.0,,,,,,17220442.015798002,284761000.0,,,,14025972.2,,257206.02194911,,12330.4,2894533.0,1678660,,,,,,37726.41,,,,,10636.7,,,,,158089,1772730,,,,,2353610,,189923.0,,,,,,,,,106654.2,1342767,18282277.0,854127.0,,39701073.2848729,4061809563.29093,1280000616.77696,,132873.0,,642414.0,1557807,,475013200,5411.29565700656,4634765.28898828,,,820843800,,,,,12310.3,,,,,18304.417,,30544.1,,280127.57580889,,,,,,5389.27387791212,,,2567269.75,,,,,436651.0,,,,,554879,,149825,,,,2518634,,,,,16357427.8217698,222274.958180909,3580715.0,994054.6,166694.8,,81237.7,35738952.3175702,,,,,,,,,183361.2,41816.4498545737,27888.0,,,488677.5,,867891.0,,,,,,,,,,,,3064811,504493.7,,,,5256177.0,,,,,41714.35,72436.399,,,,,,1418176,12559600,421397.428243553,,,40928.12,,,,,,
