,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,310027234.0,98357534.0,706151134.0,289882534.0,1990534.0,1015800934.0,115447334.0,2254834.0,571746534.0,264032734.0,229338234.0,8397334.0,12970434.0,2906201234.0,8882634.0,349481534.0,331234834.0,4969134.0,137304634.0,,13454634.0,189771934.0,152101034.0,38350034.0,4726696934.0,7747434.0,288294134.0,234730434.0,144185234.0,9479734.0,258278934.0,314888834.0,950867134.0,,81272434.0,152995834.0,433750034.0,36663808134.0,1059248334.0,10771434.0,946575634.0,65067334.0,95068234.0,307861434.0,154784334.0,359540834.0,24785334.0,341736834.0,171124534.0,15901334.0,,211015534.0,57890999434.0,51023616634.0,301601034.0,1565985534.0,156127834.0,10570534.0,81330634.0,53286834.0,1268448034.0,12646832634.0,,21428634.0,166950834.0,1915397634.0,5843934.0,26296434.0,23974634.0,164635734.0,2712081634.0,396218234.0,348326834.0,,2563234.0,248174434.0,169536734.0,28163034.0,22052534.0,197584234.0,9429914734.0,129614034.0,195561234.0,349645034.0,8179634.0,24990873934.0,24975952934.0,5561087034.0,1458537934.0,455760734.0,109212934.0,,149452634.0,1958792934.0,70741734.0,4327590834.0,85434434.0,524309634.0,596951034.0,2109534.0,1507587434.0,58263134.0,129416734.0,114532434.0,12883247234.0,91587434.0,13835908634.0,86111034.0,44560134.0,54495634.0,115474334.0,127207334.0,128396117334.0,13144234.0,12887534.0,65858334.0,310617934.0,252234334.0,550245434.0,5565934.0,221038434.0,11948834.0,55185134.0,35507734.0,2531162134.0,2544234.0,6126609534.0,123174434.0,62529234.0,730424834.0,371059234.0,1279632834.0,40371434.0,527131134.0,512745234.0,5436934.0,115341034.0,111431534.0,213325234.0,2544710234.0,135527834.0,38801634.0,502217134.0,2817534934.0,74796034.0,116141134.0,116592434.0,646931634.0,1763175634.0,1254455634.0,338185034.0,9277634.0,758786334.0,5077977834.0,175883534.0,4428134.0,,2822434.0,366230134.0,196264734.0,2059134.0,104996934.0,113633034.0,,173002734.0,68836834.0,724392234.0,8199134.0,165559534.0,1059448934.0,32097321334.0,1306656434.0,541453534.0,,4020734.0,3037134.0,13618490134.0,539287034.0,12537934.0,24039834.0,272003734.0,231535534.0,319670634.0,141924934.0,684943634.0,1908632634.0,22042734.0,100740034.0,2657634.0,37673834.0,242472634.0,1667919134.0,106265134.0,446398834.0,1799674334.0,36125434.0,1874020634.0,8331760934.0,99870934.0,580828134.0,3941634.0,592167534.0,1952827734.0,3591534.0,161264030034.0,294297234.0,211257334.0,276724534.0
1,1992,332147134.0,98728934.0,730756734.0,299236634.0,2012634.0,1032908734.0,113176134.0,2393034.0,578546434.0,265423634.0,232397734.0,8574434.0,13375734.0,2994849334.0,8931234.0,348985434.0,331557734.0,5059634.0,142316934.0,,13271334.0,194201934.0,147414134.0,39805234.0,4839170634.0,8020834.0,285687134.0,240957734.0,146584834.0,9674434.0,263872734.0,323885734.0,961244034.0,,83510734.0,157314634.0,441138934.0,37198906134.0,1085246734.0,11113034.0,980540834.0,67084134.0,97824734.0,320437534.0,153021634.0,362351034.0,25413334.0,344244334.0,171745734.0,16406334.0,,215986834.0,58803469534.0,51888702134.0,310271134.0,1602326834.0,159629034.0,10766134.0,80371334.0,52328534.0,1313083234.0,12683733334.0,,21787134.0,167395134.0,1921820934.0,5956134.0,26923134.0,24683334.0,165065634.0,2720446934.0,409705534.0,351560434.0,,2578334.0,255499934.0,179097934.0,28755334.0,21983934.0,201556134.0,9727513934.0,133658034.0,198919334.0,351232534.0,8284934.0,25693750334.0,25562647434.0,5702836134.0,1493765634.0,472372334.0,111235234.0,,155786934.0,1959137734.0,71525234.0,4336939834.0,92313434.0,523985634.0,622494734.0,2129034.0,1530444834.0,,130378034.0,117762534.0,13200508534.0,89908834.0,14241844434.0,88705334.0,45598534.0,53754434.0,120202834.0,126725134.0,131003686134.0,13255434.0,13137234.0,65517334.0,320920034.0,252502134.0,566917834.0,5775534.0,226337734.0,12081034.0,56855334.0,36087934.0,2607000734.0,2608334.0,6307434234.0,123107834.0,63681334.0,747665934.0,388536734.0,1305223934.0,41868634.0,538649934.0,515782034.0,5605534.0,116524134.0,114894934.0,219943934.0,2614300834.0,136255834.0,39910934.0,511955834.0,2896212734.0,76915334.0,119796634.0,119729434.0,664045634.0,1815296434.0,1260663534.0,339197934.0,9535134.0,754986634.0,5063716034.0,171153234.0,4459034.0,,2909534.0,378119234.0,203143134.0,2113534.0,104455134.0,116561934.0,,174012634.0,68846234.0,736861234.0,8510334.0,164336534.0,1093477734.0,32895712734.0,1318037534.0,552159534.0,,4095034.0,3066734.0,14027595334.0,566010034.0,12735134.0,24411434.0,272914234.0,233549734.0,332666434.0,143874334.0,708567434.0,1936251734.0,22573034.0,103823234.0,2648834.0,38124434.0,249499034.0,1709516134.0,109379434.0,459472334.0,1799010434.0,38552434.0,1875666534.0,8428514934.0,100621534.0,594220434.0,4076534.0,608574334.0,1996216734.0,3631134.0,164051897034.0,308086134.0,216909334.0,284708334.0
2,1993,356933134.0,99295834.0,756108934.0,309533334.0,2045634.0,1051256134.0,110502534.0,2547234.0,583660734.0,266034834.0,235771434.0,8734434.0,13830434.0,3087467634.0,8968034.0,348856234.0,331905834.0,5151734.0,147625934.0,,13049634.0,198836634.0,141924234.0,41314834.0,4953421834.0,8312334.0,284355134.0,247690934.0,149222934.0,9900034.0,269313034.0,333406734.0,970747134.0,,85954534.0,161964334.0,448643934.0,37767374434.0,1111760534.0,11476634.0,1016323134.0,69196834.0,100752434.0,333561734.0,158506234.0,364449634.0,26076134.0,347501034.0,172335934.0,16878234.0,,220915334.0,59734945134.0,52783753134.0,319090434.0,1641677534.0,163044034.0,10983234.0,79285634.0,51097734.0,1360918334.0,12725344934.0,,22209634.0,167764734.0,1926793934.0,6075434.0,27584034.0,25440934.0,165572134.0,2729105334.0,423725834.0,353994834.0,,2613134.0,262994534.0,189260934.0,29392334.0,21994334.0,205706734.0,10045077034.0,137795734.0,203936334.0,353420534.0,8368634.0,26432252734.0,26170668034.0,5845445834.0,1529602934.0,490228834.0,113026134.0,,161077634.0,1958701034.0,72225434.0,4339971334.0,99446234.0,521663934.0,649322534.0,2151134.0,1549410334.0,,130059934.0,121103334.0,13522186334.0,87929334.0,14671907034.0,91543534.0,46671434.0,53475834.0,125126534.0,125876034.0,133713899734.0,13369334.0,13356434.0,65183734.0,332162134.0,251560834.0,583682534.0,6023434.0,232353234.0,12232834.0,58625634.0,36581434.0,2682106434.0,2672234.0,6493876234.0,123079734.0,64804834.0,764799534.0,407782334.0,1330507134.0,43350334.0,550990734.0,518270234.0,5777834.0,117780734.0,118470834.0,227163134.0,2688370534.0,136992434.0,41163634.0,521512634.0,2979517034.0,79070034.0,123455134.0,122972734.0,681670334.0,1869232734.0,1266821634.0,340674234.0,9761034.0,758960534.0,5049942934.0,166607234.0,4483334.0,,3008134.0,391247134.0,210388934.0,2168734.0,103692134.0,118692134.0,,175957934.0,68852234.0,749169134.0,8835834.0,163367334.0,1128956834.0,33727064034.0,1328903234.0,562414634.0,,4164034.0,3093134.0,14461675234.0,594135934.0,12910334.0,24759334.0,273902534.0,235045334.0,346305634.0,145834334.0,733428734.0,1960497434.0,22985634.0,107068634.0,2638434.0,38553134.0,254350434.0,1751364834.0,112682934.0,473070234.0,1795474334.0,41181934.0,1876997634.0,8524964234.0,101429434.0,608470434.0,4213134.0,625720634.0,2040338434.0,3648134.0,166992815434.0,322746634.0,223002734.0,292619134.0
3,1994,381148834.0,99723234.0,782212034.0,320230334.0,2094434.0,1069374734.0,108024534.0,2697634.0,589484034.0,265785334.0,239211034.0,8903634.0,14345634.0,3183406834.0,9005734.0,348095634.0,332037234.0,5269434.0,153077734.0,,12875234.0,203673734.0,136871734.0,42854834.0,5071685834.0,8626034.0,284318234.0,254930434.0,151953634.0,10153834.0,276187234.0,343505534.0,979651134.0,,88507834.0,166983334.0,456099234.0,38318706834.0,1138944434.0,11860334.0,1051936834.0,71387834.0,103828434.0,346948234.0,158522434.0,366115634.0,26766534.0,350445434.0,172848634.0,17313934.0,,225897334.0,60662947634.0,53670738134.0,327977134.0,1683045234.0,166263334.0,11227034.0,78459534.0,50140734.0,1410513034.0,12766405534.0,,22673534.0,168191034.0,1930911234.0,6202734.0,28281834.0,26263234.0,163374534.0,2732299634.0,437936734.0,356117934.0,,2658734.0,270914834.0,199025434.0,30097934.0,22036234.0,210270334.0,10374559434.0,142034034.0,210306534.0,355247134.0,8444134.0,27201742634.0,26805231034.0,5989977334.0,1570115234.0,508850034.0,114710234.0,,166242334.0,1956688234.0,72972434.0,4343995834.0,106486734.0,516286434.0,676628934.0,2178434.0,1568768334.0,,129921734.0,124509434.0,13847988234.0,86403534.0,15121948934.0,94261534.0,47734334.0,54063634.0,130042634.0,124868634.0,136486886834.0,13488634.0,13578334.0,65031134.0,343477234.0,251000334.0,601078334.0,6165834.0,238882934.0,12376434.0,60480234.0,37177634.0,2755669934.0,2735834.0,6694409434.0,123111034.0,65877634.0,782787834.0,427141434.0,1357380134.0,44866534.0,564452834.0,520174834.0,5962534.0,119289334.0,122161534.0,234844734.0,2766568534.0,137699434.0,42571934.0,531694634.0,3066196434.0,81225934.0,127228234.0,126376534.0,699070434.0,1923939834.0,1274083234.0,342467534.0,10023534.0,762507534.0,5045967034.0,164946434.0,4501134.0,,3101534.0,405945334.0,217849634.0,2227734.0,103107834.0,121671134.0,,178037234.0,68927234.0,762351134.0,9166434.0,163296734.0,1165868234.0,34591914734.0,1337763234.0,572437934.0,,4233034.0,3118334.0,14915430934.0,621925834.0,13088634.0,25155234.0,275404034.0,236349634.0,360427534.0,147852434.0,758675034.0,1985065734.0,23277034.0,110456434.0,2636034.0,39037934.0,263346234.0,1793588534.0,116039534.0,487212534.0,1786717634.0,43975634.0,1879628634.0,8622868434.0,102200234.0,622199534.0,4347134.0,643128034.0,2086739734.0,3658334.0,169989549534.0,337941234.0,229385834.0,300603134.0
4,1995,402908434.0,99737234.0,809061434.0,331020134.0,2158634.0,1086544834.0,106141734.0,2832234.0,596712434.0,265487134.0,242763634.0,9093434.0,14912434.0,3282351334.0,9051434.0,347299134.0,331910934.0,5424634.0,158575334.0,,12809434.0,208705634.0,133038734.0,44403034.0,5194481434.0,8964634.0,283701534.0,262666034.0,154716134.0,10432134.0,285290134.0,354213034.0,988053834.0,,91100534.0,172397034.0,463462634.0,38823251534.0,1166828734.0,12262934.0,1086401434.0,73644434.0,107028534.0,360369434.0,158797534.0,367602434.0,27477134.0,352590734.0,173594434.0,17727534.0,,230984734.0,61564938834.0,54527208534.0,336890834.0,1726166534.0,169227134.0,11503734.0,78184234.0,49346634.0,1461026334.0,12822275834.0,,23147834.0,168726234.0,1935387334.0,6342134.0,29017934.0,27155334.0,158900834.0,2737121934.0,452131934.0,358193434.0,,2706834.0,279354934.0,207819834.0,30882834.0,22074934.0,215341634.0,10711492534.0,146372934.0,216545234.0,356264934.0,8499334.0,28003224734.0,27467651034.0,6136509834.0,1618021834.0,527909334.0,116539434.0,,171428034.0,1953511334.0,73822834.0,4348464334.0,113093134.0,510391334.0,703908734.0,2212134.0,1590307434.0,42562634.0,131440234.0,127967134.0,14177063734.0,85224734.0,15589602934.0,96657734.0,48760734.0,55703234.0,134847934.0,123892434.0,139307269934.0,13621034.0,13833434.0,65155834.0,354446634.0,251931734.0,619439334.0,6507334.0,245783534.0,12480934.0,62410934.0,37633534.0,2827202934.0,2796434.0,6905356634.0,123146134.0,66930634.0,802020334.0,445503134.0,1386764734.0,46454134.0,579193434.0,521554134.0,6133134.0,121052034.0,125958734.0,242917434.0,2848509134.0,138367534.0,44131834.0,542538834.0,3156108834.0,83364234.0,131162534.0,129966534.0,715856934.0,1978895234.0,1282516934.0,344378734.0,10359534.0,764042734.0,5061413134.0,167757434.0,4512034.0,,3182834.0,422233634.0,225451334.0,2293134.0,102962834.0,124947234.0,,179924634.0,69026234.0,776503734.0,9497134.0,164449934.0,1204212734.0,35489885734.0,1344118834.0,582356134.0,,4306134.0,3142934.0,15385479634.0,648315834.0,13287234.0,25649334.0,276659334.0,237536834.0,374896734.0,150026634.0,783835334.0,2012607934.0,23436234.0,113980334.0,2643934.0,39610734.0,271267134.0,1836072134.0,119390234.0,501951334.0,1779141334.0,46868434.0,1883960234.0,8728660834.0,102890934.0,636511134.0,4476234.0,660585834.0,2136803634.0,3674034.0,173089609734.0,353451234.0,236000834.0,308723934.0
5,1996,418298034.0,99348134.0,835063334.0,339907134.0,2257334.0,1102653834.0,105423734.0,2936434.0,604717834.0,265625034.0,246214834.0,9241634.0,15447334.0,3381066134.0,9092834.0,347554834.0,331885934.0,5663334.0,163280934.0,,13061434.0,213749534.0,130829734.0,45785334.0,5318437234.0,9335634.0,282963934.0,269841534.0,156308634.0,10717234.0,295354134.0,364468034.0,998996734.0,,93333934.0,177480834.0,471167334.0,39518865834.0,1194312434.0,12671034.0,1113775134.0,75874834.0,110351534.0,372379234.0,152770434.0,369899434.0,28143434.0,353907734.0,174240834.0,18173934.0,,236080334.0,62651263334.0,55575074934.0,345591734.0,1776185834.0,171802934.0,11815534.0,80059934.0,48829134.0,1504790034.0,12913962334.0,,23459834.0,169033634.0,1940775534.0,6522634.0,29753834.0,28003434.0,155140934.0,2744876134.0,464838834.0,359504134.0,,2751234.0,287649134.0,213970534.0,31616534.0,22268034.0,220453234.0,11010652434.0,150585634.0,228223534.0,356489734.0,8555534.0,28770868534.0,28116225934.0,6271987934.0,1683563934.0,547922434.0,118891134.0,,176779934.0,1950299334.0,74887034.0,4345922534.0,117045234.0,507874834.0,728563134.0,2251534.0,1603934734.0,42519934.0,134240434.0,130756034.0,14501832434.0,84580134.0,16024153334.0,98268734.0,49606834.0,59001634.0,139947234.0,123027634.0,142310998534.0,13759234.0,14141834.0,65447234.0,364959934.0,255713734.0,638599934.0,6793434.0,251853234.0,12585534.0,64406934.0,38041034.0,2894672434.0,2848334.0,7135287234.0,123558334.0,68314134.0,820527634.0,457896434.0,1417739734.0,48045234.0,595144634.0,523007634.0,6265034.0,123018834.0,129835134.0,249778634.0,2923307434.0,139091534.0,46066434.0,552749334.0,3251629834.0,85547334.0,134930034.0,133640734.0,731413834.0,2033755834.0,1289342934.0,346072234.0,10712634.0,766134634.0,5095558234.0,174022034.0,4531134.0,,3263334.0,445827334.0,232465534.0,2340834.0,102840634.0,129584134.0,,181467634.0,68996834.0,790323334.0,9810434.0,166971834.0,1240523234.0,36373832334.0,1349377934.0,591613134.0,,4397134.0,3166734.0,15811009434.0,669744734.0,13508134.0,26331434.0,277065534.0,238025334.0,390071734.0,152630434.0,804892334.0,2049509434.0,22735734.0,117531934.0,2642234.0,40208234.0,278246534.0,1877722834.0,122539834.0,514859134.0,1772333134.0,49314934.0,1890364134.0,8833852534.0,103502434.0,654900534.0,4589434.0,678515134.0,2187922334.0,3668034.0,176327081934.0,367320534.0,242568634.0,314982234.0
6,1997,430231334.0,98501634.0,861966234.0,349084334.0,2363434.0,1118240034.0,105370034.0,3026434.0,612006334.0,266362434.0,250195434.0,9416034.0,16068634.0,3482597434.0,9139634.0,347845134.0,332204934.0,5942334.0,168100134.0,,13451534.0,219020734.0,129817534.0,47174234.0,5444003434.0,9743434.0,281668834.0,277666534.0,157923134.0,11019334.0,308128534.0,375411234.0,1010997334.0,,95587434.0,183099234.0,478616534.0,40102833934.0,1222937634.0,13094534.0,1140038734.0,78183234.0,113797534.0,384444034.0,155221134.0,371475034.0,28862934.0,355045634.0,174653934.0,18588334.0,,241343934.0,63637249234.0,56530035034.0,354266034.0,1826363334.0,174211034.0,12160534.0,82511034.0,48407434.0,1549784434.0,13017279834.0,,23800534.0,169623834.0,1946209634.0,6708434.0,30526834.0,28943834.0,152824634.0,2750864234.0,477727434.0,361200934.0,,2785934.0,296571834.0,218939434.0,32446834.0,22435134.0,226050934.0,11319918634.0,154922234.0,232470634.0,356220934.0,8648634.0,29575441534.0,28789261334.0,6410073034.0,1755553834.0,568282934.0,121439834.0,,181807334.0,1947293434.0,75756034.0,4340134034.0,120534334.0,505677234.0,752518534.0,2296034.0,1621850034.0,44144134.0,137291134.0,133729734.0,14827547434.0,84079534.0,16480389334.0,99578634.0,50445234.0,63601634.0,144743334.0,122281934.0,145293983534.0,13898434.0,14490034.0,66040834.0,375256034.0,261336634.0,658950034.0,6965634.0,258500434.0,12685934.0,66490934.0,38678634.0,2960677134.0,2891534.0,7374548934.0,123839634.0,69527534.0,840657934.0,469904034.0,1450958634.0,49731434.0,612496234.0,524835634.0,6412934.0,124764434.0,133777734.0,257289034.0,3002863334.0,139898734.0,48137734.0,563905034.0,3349843134.0,87681734.0,138870934.0,137454334.0,746456534.0,2088218134.0,1298636134.0,348033034.0,11184034.0,765626234.0,5134154634.0,184809834.0,4543534.0,,3328834.0,469460334.0,239681234.0,2387034.0,103304234.0,134018534.0,,183037234.0,68825434.0,805048034.0,10127434.0,171019234.0,1278877134.0,37285840634.0,1353552634.0,600994234.0,,4497834.0,3190634.0,16258731834.0,689521434.0,13737934.0,27105734.0,277633534.0,238210534.0,405229334.0,155247734.0,826201434.0,2088935034.0,21885934.0,121232534.0,2653934.0,40865934.0,285056734.0,1919159034.0,125766334.0,528673734.0,1771591934.0,51928734.0,1898122734.0,8955954934.0,104077534.0,674352834.0,4699734.0,696314534.0,2245077834.0,3684534.0,179567390734.0,382077734.0,249429334.0,321400934.0
7,1998,440813834.0,97424934.0,889523734.0,358865934.0,2468034.0,1133424934.0,105743734.0,3108434.0,619169734.0,267519634.0,254697434.0,9609834.0,16696734.0,3586325734.0,9186734.0,348275134.0,332554734.0,6237934.0,173110434.0,,13948534.0,224467634.0,129723134.0,48557734.0,5570436434.0,10168034.0,280100734.0,286037134.0,159888134.0,11332834.0,323362034.0,386998634.0,1021981034.0,,97863334.0,189244634.0,486038634.0,40644955334.0,1252274834.0,13533034.0,1166806834.0,80532734.0,117321734.0,396434434.0,152535534.0,372750734.0,29614834.0,356090034.0,174983034.0,18997534.0,,246713934.0,64593746634.0,57457112534.0,362949934.0,1878035834.0,176457434.0,12549034.0,85528034.0,48026034.0,1596305234.0,13130562534.0,,24131034.0,170341834.0,1952416234.0,6905234.0,31335034.0,29968634.0,152086834.0,2754360934.0,491081634.0,363134034.0,,2817134.0,305949834.0,223193734.0,33351234.0,22499734.0,232003734.0,11641631234.0,159371934.0,237007534.0,355592134.0,8771034.0,30415713734.0,29484189934.0,6549183634.0,1831736434.0,588933934.0,123950634.0,,186363234.0,1943086434.0,76569934.0,4333876634.0,123701134.0,502919934.0,776505434.0,2347534.0,1638162234.0,46883334.0,140690834.0,136872434.0,15153735134.0,83634834.0,16957504934.0,101003634.0,51262134.0,68818634.0,149401534.0,121658634.0,148316093834.0,14048834.0,14883334.0,66808534.0,385674834.0,268266134.0,680255734.0,7289034.0,265671334.0,12768334.0,68670334.0,39313234.0,3025350634.0,2929834.0,7620564934.0,124653234.0,70719834.0,861640834.0,481817934.0,1485189734.0,51444234.0,630591534.0,527340234.0,6567334.0,126109334.0,137761034.0,265345834.0,3086531934.0,140828634.0,50296734.0,575846334.0,3451896134.0,89792734.0,142933634.0,141399434.0,761156334.0,2143163934.0,1309273734.0,350121634.0,11752534.0,764326034.0,5177070334.0,197708134.0,4549834.0,,3388034.0,492365034.0,247171334.0,2456234.0,104535434.0,139077834.0,,184578534.0,68551934.0,820487734.0,10451034.0,176040134.0,1319539434.0,38225620834.0,1357599734.0,610566334.0,,4606034.0,3213734.0,16728498034.0,708502934.0,13972434.0,27935634.0,278509434.0,238702034.0,420303834.0,158156334.0,848076834.0,2130067734.0,21033234.0,125090334.0,2672034.0,41568734.0,291829034.0,1960524234.0,129046734.0,543509934.0,1774352034.0,54535634.0,1907486134.0,9083205734.0,104587934.0,693383934.0,4810434.0,714235734.0,2307173334.0,3713234.0,182845637134.0,397657934.0,256548634.0,327855434.0
8,1999,452729834.0,96469134.0,917267334.0,369642734.0,2561234.0,1148636334.0,106131234.0,3188934.0,627037934.0,268902034.0,259371534.0,9807734.0,17270834.0,3691752134.0,9225834.0,349330134.0,333000434.0,6525034.0,178422634.0,,14509734.0,230040934.0,130087134.0,49921334.0,5696363634.0,10587034.0,279050234.0,294834834.0,162630634.0,11654434.0,339721734.0,399141134.0,1032942134.0,,100180834.0,195915334.0,493758134.0,41251250934.0,1281579134.0,13986934.0,1195920734.0,82883534.0,120868634.0,408219334.0,154069434.0,374221834.0,30383434.0,357195334.0,175269134.0,19447234.0,,252062434.0,65605079334.0,58449594134.0,371717834.0,1932994634.0,178585334.0,12993034.0,89044534.0,47910134.0,1645111234.0,13240498034.0,,24408734.0,170956034.0,1962202134.0,7117134.0,32177634.0,31065634.0,151722434.0,2758409634.0,505235334.0,364253034.0,,2853134.0,315498834.0,227324134.0,34296134.0,22425434.0,238089934.0,11980105134.0,163922734.0,241846034.0,354871734.0,8905934.0,31287428034.0,30196256934.0,6685778934.0,1909210234.0,609946334.0,126406734.0,,191432434.0,1937225734.0,77234934.0,4322179834.0,126739834.0,503585334.0,801509234.0,2407834.0,1652075634.0,49867934.0,144249134.0,140162734.0,15479401334.0,83312334.0,17454741734.0,103050334.0,52050234.0,73823234.0,154191834.0,121167434.0,151456042734.0,14225034.0,15321034.0,67567334.0,396899334.0,275869634.0,702086934.0,7689234.0,273324534.0,12838134.0,70960334.0,40013734.0,3088957634.0,2965834.0,7873224434.0,125518634.0,72115134.0,882225234.0,494027934.0,1518467534.0,53099434.0,648662334.0,530249734.0,6723634.0,127090834.0,141746334.0,273892834.0,3173414434.0,141960134.0,52529034.0,588598234.0,3560015934.0,91931434.0,147049334.0,145467434.0,775842434.0,2199720834.0,1319467334.0,352186334.0,12380634.0,763939334.0,5213930634.0,210397134.0,4551234.0,,3454634.0,514389334.0,255029634.0,2526834.0,106738234.0,140715034.0,,186133134.0,68507634.0,836388634.0,10786334.0,181439234.0,1362588134.0,39191780734.0,1363149534.0,620164834.0,,4719034.0,3234934.0,17221544234.0,727736734.0,14198934.0,28762234.0,279521734.0,239755034.0,435286234.0,161720534.0,870794534.0,2170630734.0,20329434.0,129112934.0,2687734.0,42270134.0,299108534.0,2002179034.0,132304134.0,559498034.0,1774207034.0,57082634.0,1918162134.0,9211439634.0,105022034.0,710267934.0,4926934.0,732677834.0,2371210534.0,3736534.0,186242440634.0,413940634.0,263939334.0,334116934.0
9,2000,467630434.0,95879834.0,944906234.0,381610934.0,2639434.0,1164120234.0,106214234.0,3272834.0,635180734.0,270143134.0,264073434.0,10005334.0,17787334.0,3798237734.0,9254134.0,350482934.0,333507034.0,6793034.0,184119534.0,,15098234.0,235713634.0,130556834.0,51256734.0,5820447934.0,10984434.0,278538734.0,304008434.0,166434934.0,11983634.0,355970834.0,411768634.0,1044549034.0,,102544934.0,203109334.0,501910834.0,41971227934.0,1310434634.0,14455234.0,1228496634.0,85211334.0,124390434.0,419699134.0,149554534.0,376075234.0,31163734.0,357848734.0,175597434.0,19956834.0,,257324234.0,66703801134.0,59531952034.0,380601734.0,1991619134.0,180650634.0,13496534.0,92958734.0,48576434.0,1696726634.0,13345608134.0,,24625034.0,171364734.0,1976093434.0,7339534.0,33054134.0,32218834.0,151332134.0,2762105234.0,520420334.0,365208734.0,,2897634.0,325085034.0,231742034.0,35262234.0,22249134.0,244181634.0,12338426934.0,168585634.0,246476334.0,354471034.0,9052534.0,32190825234.0,30920388334.0,6816907134.0,1986126534.0,631327334.0,128920834.0,,196802234.0,1930102834.0,77873134.0,4308302534.0,129866934.0,506539234.0,827954934.0,2475034.0,1664279434.0,52481734.0,147606934.0,143617434.0,15803400734.0,82884034.0,17971154434.0,105989234.0,52812634.0,78109134.0,159229134.0,120786634.0,154729340234.0,14410934.0,15793334.0,68203834.0,409295534.0,283703334.0,712015834.0,8029334.0,281464834.0,12921634.0,73366834.0,40534434.0,3151480134.0,3000534.0,8129813334.0,126546134.0,73827834.0,901783134.0,506843734.0,1549456034.0,54645534.0,666217234.0,533555834.0,6880134.0,128183434.0,145710534.0,282922734.0,3262825834.0,143137134.0,54836134.0,602186934.0,3675110034.0,94122234.0,151191534.0,149647334.0,790737234.0,2258212834.0,1315151034.0,354405834.0,13041034.0,765105234.0,5242693034.0,221694234.0,4551934.0,,3536034.0,535990734.0,263306434.0,2567834.0,109966634.0,143565334.0,,187307234.0,68690934.0,852876234.0,11136634.0,186851334.0,1407938134.0,40180381734.0,1372713834.0,629670634.0,,4833834.0,3254434.0,17738184434.0,747963234.0,14407434.0,29535934.0,280680234.0,241123434.0,450085234.0,166109434.0,894559334.0,2208502334.0,19868534.0,133290934.0,2697634.0,42941234.0,305963034.0,2044280734.0,135490034.0,576736634.0,1767764634.0,59709334.0,1929569534.0,9336646034.0,105375634.0,730793834.0,5054334.0,751784434.0,2432479434.0,3749434.0,189755188334.0,430953034.0,271569334.0,340055234.0
