,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,0.6999999880790715,0.6000000238418585,,0.1000000014901165,0.6999999880790715,,,0.3000000119209295,,,0.6999999880790715,,0.6000000238418585,,,,,45.0,,,,0.4000000059604645,,,,,,,0.2000000029802325,,,,,,,,,,4.099999904632575,,,,,,0.1000000014901165,,35.0,6.199999809265145,,,3.55,,,,,1.100000023841865,,,,,1.600000023841865,0.8999999761581425,,,,,0.4000000059604645,,4.699999809265145,,1.399999976158145,,,,,,,11.300000190734947,,,2.099999904632575,,,,,,1.600000023841865,,,2.299999952316285,2.099999904632575,2.299999952316285,,,,,2.4000000953674347,,,,,,,,,,,,,0.3000000119209295,,,,,2.4000000953674347,,,,,,9.100000381469735,,,,,,,,,,0.3000000119209295,,0.8000000119209295,,,,1.399999976158145,,,,,,0.2000000029802325,2.099999904632575,,,2.200000047683725,,3.55,,,,,0.8000000119209295,,25.29999923706055,,,0.4000000059604645,,,,,,,,,2.799999952316285,,0.6999999880790715,,25.0,,,,,0.2000000029802325,1.7000000476837251,,,0.6000000238418585,24.79999923706055,,,,25.0,,155.0,,,,,,0.1000000014901165,,,,,,,,,175.0,
1,1992,,,,,,0.6999999880790715,,,0.6999999880790715,,,0.2000000029802325,,,0.2000000029802325,,0.6999999880790715,,,,,3.55,,,5.55,,,,,,,,0.2000000029802325,,,,,,0.8000000119209295,,,,3.55,,,,,,0.4000000059604645,,,5.800000190734866,,,45.0,,,,,1.55,,,,,1.600000023841865,0.6999999880790715,,,,,0.4000000059604645,,4.599999904632575,,,,,,,,,9.699999809265146,,0.6999999880790715,2.4000000953674347,,,,,,1.2999999523162848,,,3.099999904632575,2.200000047683725,2.099999904632575,,,,,2.200000047683725,,,,5.315741662893776,,,,,,,,,0.2000000029802325,,,,,,,,,,,9.399999618530275,,,,,,,,,,0.3000000119209295,,0.6999999880790715,,,,0.8999999761581425,,,,5.55,,0.8999999761581425,2.099999904632575,,5.55,1.2000000476837251,,6.400000095367434,0.1000000014901165,,,,,0.4000000059604645,,,,0.4000000059604645,,,,,,,,,2.55,,,,,,,,,0.3000000119209295,1.600000023841865,,,,25.55,,,,2.200000047683725,,14.699999809265153,,,,,0.4000000059604645,0.1000000014901165,,,,,,,,,,
2,1993,,,,,,0.6999999880790715,,,0.8000000119209295,,,0.3000000119209295,,,0.8000000119209295,,0.55,3.299999952316285,,,,4.099999904632575,,,5.599999904632576,,,,,,,,0.3000000119209295,,,13.199999809265153,,,0.6999999880790715,,,,3.299999952316285,,,,,0.2000000029802325,0.2000000029802325,,,5.800000190734866,,,3.7999999523162855,9.600000381469735,7.400000095367434,,,2.299999952316285,,,,,1.600000023841865,0.6999999880790715,,25.0,,,0.4000000059604645,,55.0,,,,,,,,,,0.2000000029802325,0.6000000238418585,2.700000047683725,,,,,,1.2999999523162848,,,2.799999952316285,1.55,25.0,,,,,2.099999904632575,,,,5.4569171439812445,,,,,,,,,0.3000000119209295,,,24.29999923706055,,,,,,,,9.600000381469735,,,,,,,,,,0.4000000059604645,,0.6999999880790715,5.400000095367434,,,0.6999999880790715,,,,4.900000095367433,,1.55,3.200000047683725,,5.55,1.2999999523162848,,7.199999809265145,0.1000000014901165,,,,,,,,,0.3000000119209295,,,25.0,,,,,,2.55,6.699999809265145,,1.7000000476837251,,,,,,0.4000000059604645,1.899999976158145,,,,21.55,,,,25.0,,14.55,,,,,0.3000000119209295,0.1000000014901165,,,,,,,,,,
3,1994,,,,,,15.0,,5.0,0.6999999880790715,,,0.3000000119209295,,,5.0,,0.6000000238418585,4.199999809265145,,,,4.599999904632575,,1.399999976158145,,,,52.20000076293954,,,,,0.2000000029802325,,,,,,0.6000000238418585,,,,3.299999952316285,,,,,0.3000000119209295,0.2000000029802325,,,4.599999904632575,,,3.400000095367435,8.800000190734865,7.900000095367434,,,2.4000000953674347,37.09999847412114,,,,1.600000023841865,0.8000000119209295,,,,,0.4000000059604645,,55.0,,,14.39999961853035,,,,,,9.699999809265146,0.2000000029802325,0.6000000238418585,1.2000000476837251,,13.699999809265153,,,,1.2000000476837251,,,2.799999952316285,1.7000000476837251,1.899999976158145,,,,,1.7999999523162848,,,,,,,,,,,,,0.1000000014901165,,,,,,,,,,,9.899999618530275,,,,,16.79999923706055,,,14.55,,0.4000000059604645,,0.6999999880790715,,,,0.6999999880790715,,,,4.099999904632575,,2.200000047683725,3.700000047683725,,4.800000190734865,1.55,,7.55,0.1000000014901165,,,,,,,,,0.4000000059604645,,5.0,3.55,,,,,13.56572543360585,2.4000000953674347,5.900000095367434,,1.2000000476837251,,,,,,0.4000000059604645,1.899999976158145,,,,21.60000038146975,,,,2.099999904632575,15.0,14.300000190734947,,,,,0.3000000119209295,0.1000000014901165,,,,1.7000000476837251,,,,,,16.399999618530348
4,1995,,,,,,15.0,,,0.6999999880790715,1.899999976158145,,0.2000000029802325,,,5.0,,0.6000000238418585,3.700000047683725,,,,6.800000190734866,,,5.199999809265145,,,,,,,,0.2000000029802325,,,,,,0.4000000059604645,,,,3.200000047683725,,,,,0.3000000119209295,0.3000000119209295,,,4.300000190734865,,,3.55,9.300000190734863,8.899999618530275,,,0.8999999761581425,,3.5097961456368454,,,1.7000000476837251,0.6999999880790715,,,,,0.4000000059604645,,5.199999809265145,,,,,,,,,10.19999980926515,0.1000000014901165,0.6999999880790715,0.6999999880790715,,,,,,15.0,,0.2000000029802325,2.799999952316285,25.0,1.7999999523162848,,,,,1.7000000476837251,,,29.10000038146975,4.884822784252595,,,,,,,,,0.2000000029802325,,,,,3.299999952316285,4.099999904632575,,,,1.600000023841865,8.399999618530275,,,,,,,,,,0.4000000059604645,,0.6000000238418585,45.0,,,0.6000000238418585,,,17.200000762939553,4.55,,,2.799999952316285,,4.599999904632575,1.55,,6.800000190734866,0.1000000014901165,,,0.2000000029802325,,,,,,,,5.0,35.0,,,,,,2.200000047683725,5.099999904632575,,0.8999999761581425,,,,0.3000000119209295,,0.4000000059604645,1.7999999523162848,,,,18.55,,,,1.7000000476837251,,13.60000038146975,,,0.2000000029802325,,0.3000000119209295,0.1000000014901165,,,,1.100000023841865,,,,,,
5,1996,,,,,,15.0,,,0.6000000238418585,2.200000047683725,,0.3000000119209295,,17.10000038146975,0.2000000029802325,,0.6999999880790715,45.0,,,,6.55,,,5.099999904632575,,,,,,,8.899999618530275,0.2000000029802325,,,,1.7999999523162848,,0.4000000059604645,,,,2.900000095367435,,4.099999904632575,,,0.2000000029802325,0.3000000119209295,,,2.4000000953674347,,,3.900000095367435,,10.19999980926515,,,15.0,,3.738054320817725,,,1.600000023841865,0.6000000238418585,2.599999904632575,,,,0.3000000119209295,,55.0,,1.100000023841865,,,,,,,13.89999961853035,0.1000000014901165,0.6999999880790715,0.2000000029802325,,,,3.400000095367435,,0.8000000119209295,,0.2000000029802325,2.700000047683725,1.600000023841865,1.7000000476837251,,,,,1.7000000476837251,,,,4.982661414889545,3.7999999523162855,,,,,,,,0.1000000014901165,0.3000000119209295,4.55,,,35.0,,,,,,8.300000190734865,,,,,,,,,,0.4000000059604645,0.3000000119209295,0.6999999880790715,3.299999952316285,,,0.8000000119209295,,,17.200000762939553,4.55,,3.299999952316285,5.099999904632575,,4.699999809265145,1.2999999523162848,,8.100000381469735,0.2000000029802325,32.700000762939545,,0.2000000029802325,,,,,,0.55,,0.1000000014901165,3.099999904632575,,,,,,2.099999904632575,6.099999904632576,,1.7999999523162848,,,,1.600000023841865,,0.55,1.899999976158145,,,,16.29999923706055,,,29.70000076293955,1.100000023841865,,13.39999961853035,,,0.1000000014901165,,0.3000000119209295,0.1000000014901165,,,,1.399999976158145,29.55,,,,12.89999961853035,
6,1997,,,,,,15.0,,,0.6000000238418585,1.7000000476837251,,0.2000000029802325,,,5.0,,0.55,4.400000095367433,,,,5.699999809265145,,,,,,,,,,,0.3000000119209295,,,,1.7999999523162848,,0.8000000119209295,,,,2.599999904632575,,4.099999904632575,,,0.2000000029802325,0.3000000119209295,,0.8000000119209295,45.0,,,2.4000000953674347,8.800000190734865,8.699999809265146,,,1.2000000476837251,,3.8205812808875534,,,1.2000000476837251,0.6000000238418585,,,,,0.4000000059604645,,5.099999904632575,,,,,,,,,12.39999961853035,0.1000000014901165,0.6999999880790715,0.4000000059604645,,,,,,0.8999999761581425,,0.2000000029802325,2.799999952316285,1.2999999523162848,1.7000000476837251,,,,,1.600000023841865,,,,,5.300000190734865,,,,,,,,0.2000000029802325,0.2000000029802325,3.400000095367435,,,2.700000047683725,,,,,,85.0,,,,,,,,6.400000095367434,,0.3000000119209295,,0.55,3.700000047683725,,,0.55,,,15.10000038146975,3.7999999523162855,,9.100000381469735,4.800000190734865,,4.099999904632575,1.100000023841865,5.0,9.55,0.1000000014901165,,,0.1000000014901165,,,,,,0.3000000119209295,,0.1000000014901165,4.900000095367433,,,,,,1.7999999523162848,5.55,,1.55,,,,15.0,0.8000000119209295,0.55,1.7000000476837251,,,,18.10000038146975,,,,1.100000023841865,,12.60000038146975,,,0.2000000029802325,,0.2000000029802325,0.1000000014901165,,,,0.6999999880790715,22.899999618530348,,,,,13.300000190734947
7,1998,,,,,,0.8000000119209295,,,0.55,1.600000023841865,,0.1000000014901165,,,5.0,,0.55,3.7999999523162855,,,,,,,,,,,3.599999904632575,,,,0.2000000029802325,,,,1.7000000476837251,,0.4000000059604645,,,,35.0,,2.900000095367435,,,0.2000000029802325,0.3000000119209295,,,2.200000047683725,,,45.0,9.600000381469735,10.55,,,0.6000000238418585,,4.281677737984095,,,0.6000000238418585,0.55,,,,23.20000076293955,0.4000000059604645,,5.55,,0.6999999880790715,10.60000038146975,,,,,,11.89999961853035,0.1000000014901165,0.55,0.3000000119209295,,,,,,0.8999999761581425,,0.2000000029802325,35.0,1.2999999523162848,1.7000000476837251,,,,,1.899999976158145,,,,,4.699999809265145,,,,,,3.400000095367435,,0.1000000014901165,0.3000000119209295,6.199999809265145,,,35.0,,,,,,7.199999809265145,,,,,16.399999618530348,,,,,0.2000000029802325,,0.55,45.0,,,0.4000000059604645,,,15.699999809265153,3.200000047683725,,12.199999809265153,4.55,9.899999618530275,3.400000095367435,1.600000023841865,,10.39999961853035,0.1000000014901165,,,0.1000000014901165,,,,,,0.4000000059604645,,0.1000000014901165,5.199999809265145,,,,,,1.7000000476837251,6.800000190734866,,15.0,,,,0.8999999761581425,,0.55,1.899999976158145,,,,18.39999961853035,,,,0.6999999880790715,,12.39999961853035,,,0.1000000014901165,,0.2000000029802325,0.1000000014901165,0.6999999880790715,,,1.2999999523162848,22.20000076293955,,,,15.699999809265153,
8,1999,,,,,,0.8999999761581425,,,0.55,1.600000023841865,,0.1000000014901165,,,5.0,,0.4000000059604645,3.299999952316285,,,,16.200000762939553,,,,,,,,,,,0.2000000029802325,,,,1.7000000476837251,,15.0,,,,2.4000000953674347,,2.799999952316285,,0.55,0.2000000029802325,0.2000000029802325,,1.2999999523162848,1.899999976158145,,,35.0,8.899999618530275,8.300000190734865,,,0.6000000238418585,34.299999237060554,4.410725676930335,,,0.8999999761581425,0.55,,,,21.55,0.3000000119209295,,5.099999904632575,,,,,,,,,12.199999809265153,0.1000000014901165,0.55,0.1000000014901165,,,,,,0.8999999761581425,,0.2000000029802325,2.799999952316285,1.600000023841865,1.7000000476837251,,,26.899999618530348,,2.099999904632575,,,,,5.199999809265145,,,,,,3.900000095367435,,0.2000000029802325,0.3000000119209295,6.699999809265145,,,3.299999952316285,,,,,,6.599999904632576,,,5.300000190734865,,21.39999961853035,,,,,0.2000000029802325,,0.6000000238418585,3.099999904632575,,,0.3000000119209295,,,15.699999809265153,2.900000095367435,,13.55,45.0,10.19999980926515,35.0,1.399999976158145,,115.0,0.2000000029802325,,,0.1000000014901165,,,,,,0.55,,0.1000000014901165,4.400000095367433,,,,,,1.399999976158145,6.199999809265145,,0.6000000238418585,,,,,,0.4000000059604645,1.7999999523162848,,,,16.55,,,,0.8000000119209295,,12.699999809265153,,,0.6999999880790715,,0.2000000029802325,0.1000000014901165,0.8000000119209295,,,1.899999976158145,22.55,,,12.800000190734947,,13.699999809265153
9,2000,,,,,,0.6999999880790715,,0.2000000029802325,0.6000000238418585,1.600000023841865,,,,10.10000038146975,0.1000000014901165,,0.55,,,,,14.699999809265153,,,3.099999904632575,,1.100000023841865,,,6.55,26.60000038146975,,0.2000000029802325,,,,1.600000023841865,,3.200000047683725,,,,2.200000047683725,,2.200000047683725,,0.6999999880790715,0.2000000029802325,0.2000000029802325,,,25.0,,,7.400000095367434,8.199999809265146,8.300000190734865,,,0.4000000059604645,,3.8815531532925553,,,0.6999999880790715,0.4000000059604645,,,,22.70000076293955,0.3000000119209295,,5.099999904632575,,,15.10000038146975,,,,,,,0.1000000014901165,0.4000000059604645,0.2000000029802325,,12.800000190734947,,,,0.8999999761581425,,0.2000000029802325,2.799999952316285,1.2999999523162848,1.7000000476837251,1.899999976158145,,,,25.0,,,,4.232885274064265,3.400000095367435,,,,,,2.55,,0.1000000014901165,0.2000000029802325,7.400000095367434,,,2.700000047683725,1.2999999523162848,,0.1000000014901165,,0.55,5.599999904632576,,,5.55,145.0,,,,2.599999904632575,,0.3000000119209295,,0.55,13.10000038146975,,,0.3000000119209295,,,16.700000762939553,35.0,,,4.900000095367433,9.399999618530275,3.400000095367435,1.399999976158145,,11.39999961853035,0.2000000029802325,,,,,,,,,,,0.1000000014901165,3.299999952316285,,,,,12.809338069607847,1.2000000476837251,6.55,,0.55,,,,,,0.6999999880790715,1.7000000476837251,,,,16.399999618530348,,,,0.6000000238418585,,10.39999961853035,,,0.8000000119209295,,0.2000000029802325,0.1000000014901165,0.8000000119209295,,,1.399999976158145,21.20000076293956,,,,25.399999618530348,
