,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,5.3000001907348615,6.599999904632571,,4.900000095367432,,,,,,,1.2000000476837211,,211.0,,,,,611.0,,,,1.2000000476837211,,,,,,,,,,,,,,,,,611.0,,,,,,6.9000000953674325,,8.600000381469732,5.099999904632571,,,7.800000190734861,,,,,1.6000000238418612,,,,,,6.699999809265141,,,,,6.099999904632571,,8.300000190734862,,4.699999809265141,,,,,,,1.2000000476837211,,,,,,,,,6.599999904632571,,,1.2999999523162813,1.3999999761581412,,,,,,,,,,,,,,,,,,,4.511,,,,,3.5999999046325715,,,,,,,,,,,,,,,,4.3000001907348615,,,,,,,,,,,,9.399999618530273,7.800000190734861,,,711.0,,411.0,,,,,0.511,,111.0,,,7.511,,,,,,,,,5.099999904632571,,4.699999809265141,,6.800000190734861,,,,,,8.300000190734862,,,1.2000000476837211,3.2000000476837207,,,,4.099999904632571,,,,,,,5.400000095367432,,,,,,,,,,0.511,
1,1992,,,,,,7.300000190734861,,,,,,,,,111.0,,2.2999999523162806,,,,,7.699999809265141,,,5.3000001907348615,,,,,,,,,,,,4.199999809265141,,5.3000001907348615,,,,6.099999904632571,,,,,,6.599999904632571,,,4.3000001907348615,,,10.511,,,,,2.099999904632571,,,,,,711.0,,,,,6.511,,9.300000190734863,,,,,,,,,1.2999999523162813,,1.3999999761581412,,,,,,,7.400000095367432,,,15.699999809265115,1.2999999523162813,,,,,,,,,,,,,,,,,,,4.511,,,,,,,,,,,,,,,,,,,,,4.8000001907348615,,,,,,,,,,2.900000095367431,,8.300000190734862,7.400000095367432,,,8.300000190734862,,4.8000001907348615,0.20000000298023207,,,,,2.2999999523162806,,,,8.699999809265138,,,,,,,,,5.599999904632571,,,,,,,,,,8.800000190734863,,,,3.511,,,,4.599999904632571,,,,,,,511.0,,,,,,,,,,,
2,1993,,,,,,7.400000095367432,,,,,,,,,1.3999999761581412,,311.0,,,,,911.0,,,5.199999809265141,,,,,,,,,,,0.3000000119209291,,,5.099999904632571,,,,611.0,,,,,3.7000000476837207,711.0,,,4.599999904632571,,,9.600000381469732,18.89999961853032,9.399999618530273,,,3.2000000476837207,,,,,,6.9000000953674325,,0.8999999761581421,,,6.699999809265141,,9.699999809265137,,,,,,,,,,8.39999961853027,2.2000000476837207,,,,,,,7.900000095367432,,,14.511,1.8999999761581408,,,,,,,,,,5.9580256376560605,,,,,,,,,5.511,,,0.6000000238418581,,,,,,,,,,,,,,,,,,4.900000095367432,,,2.2999999523162806,,,,2.2000000476837207,,,2.7999999523162806,,10.300000190734913,8.300000190734862,,,8.39999961853027,,3.2000000476837207,0.511,,,,,,,,,8.699999809265138,,,4.199999809265141,,,,,,5.511,2.5999999046325706,,1411.0,,,,,,,9.100000381469732,,,,2.900000095367431,,,,5.199999809265141,,,,,,,4.699999809265141,,,,,,,,,,,
3,1994,,,,,,6.199999809265141,,12.300000190734911,,,,,,,1.1000000238418612,,2.400000095367431,,,,,10.699999809265114,,2.099999904632571,,,,0.511,,,,,,,,,3.7000000476837207,,6.199999809265141,,,,811.0,,,,,4.511,6.199999809265141,,,4.199999809265141,,,9.699999809265137,19.89999961853032,9.199999809265137,,,4.099999904632571,3.5999999046325715,,,,,6.800000190734861,,,,,7.099999904632571,,9.511,,,1.1000000238418612,,,,,,3.5999999046325715,7.900000095367432,2.400000095367431,,,2.400000095367431,,,,7.599999904632571,,,14.699999809265115,2.7999999523162806,,,,,,,,,,,,,,,,,,,511.0,,,,,,,,,,,,,,,,2.7999999523162806,,,1.2999999523162813,,5.599999904632571,,,,,,,,,,3.2999999523162806,,11.89999961853031,7.699999809265141,,,8.800000190734863,,1.7999999523162813,0.6000000238418581,,,,,,,,,8.39999961853027,,2.7000000476837207,4.599999904632571,,,,,2.4086074274561717,5.9000000953674325,2.900000095367431,,1611.0,,,,,,,9.100000381469732,,,,2.7000000476837207,,,,4.900000095367432,3.2999999523162806,,,,,,4.599999904632571,,,,,8.511000000000001,,,,,,0.511
4,1995,,,,,,711.0,,,,6.511,,,,,0.699999988079071,,2.7000000476837207,7.599999904632571,,,,11.300000190734911,,,5.511,,,,,,,,,,,,,,5.511,,,,7.400000095367432,,,,,5.099999904632571,6.199999809265141,,,4.511,,,10.100000381469714,19.60000038146971,8.100000381469732,,,3.2000000476837207,,,,,511.0,6.599999904632571,,,,,711.0,,8.699999809265138,,,,,,,,,5.400000095367432,7.699999809265141,2.511,9.399999618530273,,,,,,7.800000190734861,,,15.199999809265115,3.400000095367431,,,,,,,,,0.4000000059604641,6.165767526152191,,,,,,,,,7.699999809265141,,,,,3.400000095367431,5.699999809265141,,,,,,,,,,,,,,,5.511,,,1.511,,,4.511,,,1.1000000238418612,3.900000095367431,,,7.800000190734861,,,8.600000381469732,,1.8999999761581408,0.6000000238418581,,,,,,,,,,,2.7000000476837207,5.099999904632571,,,,,,6.199999809265141,3.0999999046325715,,11.600000381469712,,,,311.0,,5.9000000953674325,9.600000381469732,,,,4.3000001907348615,,,,4.8000001907348615,,,,,,,4.699999809265141,,,,,7.400000095367432,,,,,,
5,1996,,,,,,611.0,,,,6.599999904632571,,,,0.3000000119209291,0.3000000119209291,,2.7000000476837207,8.89999961853027,,,,11.800000190734911,,,4.900000095367432,,,,,,,5.3000001907348615,,,,,,,5.699999809265141,,,,8.100000381469732,,6.699999809265141,,,5.599999904632571,5.9000000953674325,1.3999999761581412,,3.900000095367431,,,9.511,,6.599999904632571,,,3.2999999523162806,,,,,5.699999809265141,6.599999904632571,,,,,6.9000000953674325,,9.300000190734863,,8.511000000000001,,,,,,,5.599999904632571,7.900000095367432,2.900000095367431,11.699999809265115,,,,411.0,,6.699999809265141,,,15.199999809265115,2.900000095367431,,,,,,,,,,5.732346432830241,4.199999809265141,,,,,,,,7.900000095367432,5.400000095367432,3.7000000476837207,,,4.099999904632571,,,,,,,,,,,,,,,,5.199999809265141,,,1.2000000476837211,,,3.400000095367431,2.7000000476837207,,1.1000000238418612,3.900000095367431,,9.199999809265137,7.699999809265141,,,8.89999961853027,,1.7999999523162813,0.6000000238418581,0.10000000149011612,,,,,,,,8.300000190734862,,2.7000000476837207,4.599999904632571,,,,,,6.599999904632571,3.2000000476837207,,9.600000381469732,,,,2.511,,6.300000190734861,8.39999961853027,,,,3.7000000476837207,,,0.6000000238418581,511.0,,,,,,,4.3000001907348615,,,,,6.4000000953674325,1.1000000238418612,,,,0.8000000119209291,
6,1997,,,,,,5.9000000953674325,,,,6.511,,,,,0.511,,2.099999904632571,,,,,10.300000190734913,,,,,,,,,,,,,,,,,611.0,,,,9.100000381469732,,6.699999809265141,,,5.511,5.699999809265141,,15.199999809265115,4.3000001907348615,,,9.800000190734863,17.200000762939514,6.300000190734861,,,3.5999999046325715,,,,,6.800000190734861,6.599999904632571,,,,,711.0,,9.699999809265137,,,,,,,,,5.400000095367432,7.699999809265141,3.400000095367431,8.511000000000001,,,,,,7.300000190734861,,,15.199999809265115,3.900000095367431,,,,,,,,,,,4.599999904632571,,,,,,,,6.9000000953674325,5.400000095367432,4.3000001907348615,,,3.511,,,,,,,,,,,,,,611.0,,5.3000001907348615,,,2.900000095367431,,,2.7000000476837207,,,1.2000000476837211,3.5999999046325715,,7.199999809265141,8.199999809265138,,4.699999809265141,8.100000381469732,0.6000000238418581,1.8999999761581408,1.6000000238418612,,,,,,,,,7.900000095367432,,3.0999999046325715,4.099999904632571,,,,,,6.599999904632571,311.0,,8.600000381469732,,,,311.0,1.6000000238418612,6.4000000953674325,811.0,,,,3.400000095367431,,,,5.099999904632571,,,,,,,4.400000095367432,,,,,6.800000190734861,0.20000000298023207,,,,,0.699999988079071
7,1998,,,,,,611.0,,,,6.800000190734861,,,,,0.8000000119209291,,2.511,,,,,,,,,,,,,,,,,,,,,,5.199999809265141,,,,9.699999809265137,,711.0,,,5.599999904632571,6.300000190734861,,,411.0,,,10.199999809265114,18.39999961853032,4.099999904632571,,,3.7999999523162806,,,,,5.3000001907348615,6.699999809265141,,,,2.5999999046325706,711.0,,9.699999809265137,,6.599999904632571,4.511,,,,,,5.511,7.599999904632571,3.511,9.199999809265137,,,,,,8.300000190734862,,,1511.0,3.5999999046325715,,,,,,,,,,,4.3000001907348615,,,,,,4.599999904632571,,711.0,5.599999904632571,4.199999809265141,,,411.0,,,,,,,,,,,211.0,,,,,5.400000095367432,,,3.900000095367431,,,2.5999999046325706,,,111.0,3.900000095367431,,6.800000190734861,911.0,6.511,5.099999904632571,8.39999961853027,,1.7000000476837211,1.3999999761581412,,,,,,,,,7.400000095367432,,3.400000095367431,511.0,,,,,,6.4000000953674325,2.511,,7.800000190734861,,,,0.8999999761581421,,6.099999904632571,7.699999809265141,,,,3.7000000476837207,,,,5.3000001907348615,,,,,,,4.3000001907348615,,611.0,,,6.9000000953674325,0.10000000149011612,,,,0.3000000119209291,
8,1999,,,,,,5.800000190734861,,,,6.511,,,,,0.4000000059604641,,611.0,,,,,4.199999809265141,,,,,,,,,,,,,,,,,5.599999904632571,,,,9.800000190734863,,6.599999904632571,,7.599999904632571,5.800000190734861,6.300000190734861,,511.0,3.7000000476837207,,,10.800000190734911,18.29999923706051,5.699999809265141,,,5.3000001907348615,1.2000000476837211,,,,5.800000190734861,6.511,,,,1.8999999761581408,7.099999904632571,,10.100000381469714,,,,,,,,,4.3000001907348615,7.511,3.7999999523162806,9.199999809265137,,,,,,811.0,,,15.100000381469712,3.400000095367431,,,,,,,,,,,511.0,,,0.699999988079071,,,2.5999999046325706,,6.300000190734861,5.9000000953674325,1111.0,,,311.0,,,,,,,,,0.8999999761581421,,2.7000000476837207,,,,,5.199999809265141,,,3.0999999046325715,,,2.2999999523162806,,,111.0,3.511,,6.699999809265141,8.800000190734863,6.099999904632571,4.8000001907348615,8.300000190734862,,1.2999999523162813,1.1000000238418612,,,,,,,,,8.39999961853027,,3.0999999046325715,4.8000001907348615,,,,,,7.400000095367432,2.7000000476837207,,7.900000095367432,,,,,,6.099999904632571,8.511000000000001,,,,4.3000001907348615,,,,5.099999904632571,,,,,,,4.599999904632571,,5.099999904632571,,,711.0,0.20000000298023207,,,2.7000000476837207,,0.6000000238418581
9,2000,,,,,,611.0,,7.699999809265141,,6.511,,,,0.3000000119209291,0.3000000119209291,,6.199999809265141,,,,,2.7000000476837207,,,3.511,,3.2999999523162806,,,3.2999999523162806,0.3000000119209291,,,,,,,,5.511,,,,711.0,,6.699999809265141,,9.399999618530273,5.699999809265141,6.599999904632571,,,3.5999999046325715,,,5.3000001907348615,20.10000038146971,6.9000000953674325,,,411.0,,,,,6.199999809265141,6.199999809265141,,,,2.5999999046325706,6.9000000953674325,,10.399999618530313,,,4.099999904632571,,,,,,,7.199999809265141,6.800000190734861,9.800000190734863,,1.1000000238418612,,,,8.199999809265138,,,15.39999961853031,3.400000095367431,,811.0,,,11.0,,,,,4.602334904198651,5.699999809265141,,,,,,2.400000095367431,,7.511,5.599999904632571,5.800000190734861,,,4.199999809265141,4.511,,4.8000001907348615,,4.900000095367432,,,,1.2000000476837211,1.7000000476837211,,,,10.199999809265114,,4.400000095367432,,,2.7000000476837207,,,2.400000095367431,211.0,,0.8999999761581421,3.400000095367431,,,7.699999809265141,6.099999904632571,4.900000095367432,8.511000000000001,,1.6000000238418612,1.2999999523162813,,,,,,,,,,,3.400000095367431,5.3000001907348615,,,,,1.0301450148495213,6.9000000953674325,3.0999999046325715,,7.300000190734861,,,,,,5.9000000953674325,8.699999809265138,,,,4.699999809265141,,,,611.0,,,,,,,4.511,,4.8000001907348615,,,6.9000000953674325,0.3000000119209291,,,,0.6000000238418581,
