,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,412.0,4.900000095367432,,3.7999999523162806,,,,,,,0.8999999761581421,,1.3999999761581412,,,,,4.3000001907348615,,,,112.0,,,,,,,,,,,3.7999999523162806,,,,,,4.900000095367432,,,,,,4.3000001907348615,,7.199999809265141,3.900000095367431,,,6.199999809265141,,,,,112.0,,,,,,4.8000001907348615,,,,,4.512,,6.300000190734861,,3.7000000476837207,,,,,,,112.0,,,,,,,,,5.199999809265141,,,112.0,1.1000000238418612,,,,,,,,,,,,,,,,,,,3.5999999046325715,,,,,3.0999999046325715,,,,,,,,,,,,,,,,3.2999999523162806,,,,,,,,,,3.2999999523162806,,7.300000190734861,5.699999809265141,,,5.099999904632571,,3.7999999523162806,,,,,0.4000000059604641,,0.6000000238418581,,,5.599999904632571,,,,,,,,,412.0,2.2000000476837207,3.7000000476837207,,5.599999904632571,,,,,,6.099999904632571,,,0.8000000119209291,2.099999904632571,,,,3.2999999523162806,,,,,,,412.0,,,,,,,,,,0.4000000059604641,
1,1992,,,,,,5.5120000000000005,,,,,,,,,0.6000000238418581,,1.6000000238418612,,,,,5.599999904632571,,,3.900000095367431,,,,,,,,,,,,3.512,,3.900000095367431,,,,4.8000001907348615,,,,,,4.099999904632571,,,3.512,,,8.100000381469732,,,,,1.3999999761581412,,,,,,4.900000095367432,,,,,4.8000001907348615,,712.0,,,,,,,,,112.0,,1.1000000238418612,,,,,,,5.699999809265141,,,13.199999809265115,1.1000000238418612,,,,,,,,,,,,,,,,,,,3.7000000476837207,,,,,,,,,,,,,,,,,,,,,3.400000095367431,,,,,,,,,,2.400000095367431,,6.800000190734861,5.199999809265141,,,6.099999904632571,,3.7999999523162806,0.10000000149011612,,,,,2.099999904632571,,,,6.300000190734861,,,,,,,,,4.512,1.6000000238418612,,,,,,,,,6.5120000000000005,,,,2.400000095367431,,,,3.7999999523162806,,,,,,,3.5999999046325715,,,,,,,,,,,
2,1993,,,,,,5.800000190734861,,,,,,,,,0.8999999761581421,,2.099999904632571,,,,,6.300000190734861,,,3.7999999523162806,,,,,,,,,,,0.20000000298023207,3.400000095367431,,3.7999999523162806,,,,4.900000095367432,,,,,2.7000000476837207,4.3000001907348615,,,3.7000000476837207,,,8.100000381469732,1612.0,6.9000000953674325,,,2.099999904632571,,,,,,4.8000001907348615,,0.6000000238418581,,,512.0,,7.199999809265141,,,,,,,,,,5.9000000953674325,1.7000000476837211,,,,,,,612.0,,,1212.0,1.5119999999999998,,,,,,,,,,4.449682419732012,,,,,,,,,4.512,,,0.699999988079071,,,,,,,,,,,,,,,,,,3.512,,,2.099999904632571,,,,2.099999904632571,,,2.400000095367431,,7.699999809265141,612.0,,,6.300000190734861,,2.2000000476837207,0.3000000119209291,,,,,,,,,6.4000000953674325,,,3.0999999046325715,,,,,,4.400000095367432,212.0,,9.512,,,,3.2999999523162806,,,6.800000190734861,,,,212.0,,,,4.099999904632571,,,,,,,3.400000095367431,,,,,,,,,,,
3,1994,,,,,,4.8000001907348615,,9.399999618530273,,,,,,,0.699999988079071,,1.6000000238418612,,,,,7.599999904632571,,1.7000000476837211,,,,0.3000000119209291,,,,,,,,,3.2000000476837207,,4.8000001907348615,,,,6.699999809265141,,,,,3.2000000476837207,4.099999904632571,,,3.2000000476837207,,,7.900000095367432,16.799999237060508,6.800000190734861,,,2.7000000476837207,2.5999999046325706,,,,,4.8000001907348615,,,,,5.3000001907348615,,712.0,,,1.2999999523162813,,,,,,2.900000095367431,5.599999904632571,1.7999999523162813,,,1.8999999761581408,,,,5.699999809265141,,,12.199999809265115,2.099999904632571,,,,,,,,,,,,,,,,,,,4.099999904632571,,,,,,,,,,,,,,,,2.400000095367431,,,0.8999999761581421,,412.0,,,,,,,,,,2.7000000476837207,,9.199999809265137,5.800000190734861,,,6.5120000000000005,,1.2999999523162813,0.4000000059604641,,,,,,,,,6.199999809265141,,1.8999999761581408,3.400000095367431,,,,,1.9069560677835808,4.699999809265141,2.2999999523162806,,11.699999809265115,,,,3.0999999046325715,,,6.699999809265141,,,,1.7999999523162813,,,,3.7999999523162806,2.7000000476837207,,,,,,3.2999999523162806,,,,,6.5120000000000005,,,,,,0.3000000119209291
4,1995,,,,,,5.199999809265141,,,,4.8000001907348615,,,,,0.512,,1.8999999761581408,6.099999904632571,,,,7.800000190734861,,,4.099999904632571,,,,,,,,,,,,3.2000000476837207,,4.199999809265141,,,,6.099999904632571,,,,,3.7999999523162806,4.3000001907348615,,,3.5999999046325715,,,7.800000190734861,16.899999618530313,6.099999904632571,,,2.2000000476837207,,,,,3.7000000476837207,4.699999809265141,,,,,5.099999904632571,,6.4000000953674325,,,,,,,,,4.400000095367432,5.400000095367432,1.7999999523162813,6.699999809265141,,,,,,5.800000190734861,,,12.699999809265115,2.5999999046325706,,,,,,,,,0.20000000298023207,4.625424736422652,,,,,,,,,6.300000190734861,,,,,2.512,4.8000001907348615,,,,,,,,,,,,,,,412.0,,,1.1000000238418612,,,3.400000095367431,,,112.0,3.0999999046325715,,,5.800000190734861,,,6.4000000953674325,,1.3999999761581412,0.4000000059604641,,,,,,,,,,,212.0,3.5999999046325715,,,,,,4.900000095367432,2.512,,8.699999809265138,,,,2.7999999523162806,,3.900000095367431,7.099999904632571,,,,2.900000095367431,,,,3.900000095367431,,,,,,,3.400000095367431,,,,,5.699999809265141,,,,,,
5,1996,,,,,,4.699999809265141,,,,4.900000095367432,,,,0.3000000119209291,0.3000000119209291,,1.7999999523162813,7.400000095367432,,,,8.199999809265138,,,3.7999999523162806,,,,,,,3.512,,,,,,,4.512,,,,712.0,,5.099999904632571,,,4.099999904632571,3.900000095367431,1.2000000476837211,,3.2999999523162806,,,7.512,,5.099999904632571,,,2.2999999523162806,,,,,3.900000095367431,4.699999809265141,,,,,5.099999904632571,,6.9000000953674325,,712.0,,,,,,,4.512,5.5120000000000005,2.099999904632571,8.100000381469732,,,,3.5999999046325715,,5.099999904632571,,,12.800000190734911,2.2999999523162806,,,,,,,,,,4.419917473503112,3.0999999046325715,,,,,,,,6.4000000953674325,3.512,2.900000095367431,,,312.0,,,,,,,,,,,,,,,,3.7999999523162806,,,112.0,,,2.400000095367431,2.512,,112.0,3.0999999046325715,,6.800000190734861,5.599999904632571,,,6.599999904632571,,1.2999999523162813,0.4000000059604641,0.10000000149011612,,,,,,,,612.0,,212.0,3.400000095367431,,,,,,5.199999809265141,2.400000095367431,,7.099999904632571,,,,2.099999904632571,,4.099999904632571,812.0,,,,2.512,,,0.512,4.099999904632571,,,,,,,3.0999999046325715,,,,,4.900000095367432,0.699999988079071,,,,0.6000000238418581,
6,1997,,,,,,4.599999904632571,,2.5999999046325706,,4.900000095367432,,,,,0.3000000119209291,,1.3999999761581412,,,,,7.099999904632571,,,,,,,,,,,,,,,,,4.599999904632571,,,,7.400000095367432,,4.900000095367432,,,412.0,3.900000095367431,,11.39999961853031,3.400000095367431,,,7.800000190734861,14.800000190734911,512.0,,,2.2999999523162806,,,,,4.512,4.699999809265141,,,,,5.099999904632571,,7.099999904632571,,,,,,,,,4.400000095367432,5.400000095367432,2.5999999046325706,6.300000190734861,,,1.7000000476837211,,,5.400000095367432,,,12.699999809265115,3.0999999046325715,,,,,,,,,,,3.2000000476837207,,,,,,,,5.599999904632571,3.2999999523162806,3.2999999523162806,,,2.5999999046325706,,,,,,,,,,,,,,512.0,,3.900000095367431,,,2.099999904632571,,,212.0,,,1.1000000238418612,2.900000095367431,,5.9000000953674325,5.9000000953674325,,3.7000000476837207,6.099999904632571,0.512,1.2999999523162813,1.2000000476837211,,,,,,,,,5.699999809265141,,2.2999999523162806,3.0999999046325715,,,,,,5.199999809265141,2.2999999523162806,,6.199999809265141,,,,2.2999999523162806,1.5119999999999998,4.199999809265141,8.100000381469732,,,,2.2000000476837207,,,,4.3000001907348615,,,,,,,3.2000000476837207,,,,,5.099999904632571,0.20000000298023207,,,,,0.512
7,1998,,,,,,4.599999904632571,,,,5.099999904632571,,,,,0.6000000238418581,,1.7999999523162813,,,,,,,,,,,,,,,,,,,,,,412.0,,,,7.900000095367432,,5.3000001907348615,,,4.099999904632571,4.199999809265141,,,3.400000095367431,,,812.0,1612.0,3.2000000476837207,,,2.7000000476837207,,,,,3.7000000476837207,4.699999809265141,,,,1.5119999999999998,5.099999904632571,,7.300000190734861,,5.599999904632571,3.400000095367431,,,,,,4.512,5.199999809265141,2.7000000476837207,6.599999904632571,,,1.7000000476837211,,,6.199999809265141,,,12.39999961853031,2.7999999523162806,,,,,,,,,,,3.2000000476837207,,,,,,3.512,,5.400000095367432,3.400000095367431,3.512,,,2.900000095367431,,,,,,,,,,,1.5119999999999998,,,,,412.0,,,2.900000095367431,,,1.7999999523162813,,,0.8999999761581421,3.2000000476837207,,5.599999904632571,6.5120000000000005,5.199999809265141,412.0,6.199999809265141,,1.2000000476837211,1.2000000476837211,,,,,,,,,5.199999809265141,,2.512,3.512,,,,,,5.199999809265141,1.8999999761581408,,6.300000190734861,,,,0.6000000238418581,,4.099999904632571,7.800000190734861,,,,2.5999999046325706,,,,4.199999809265141,,,,,,,3.0999999046325715,,4.400000095367432,,,512.0,12.0,,,,0.4000000059604641,
8,1999,,,,,,4.512,,,,4.900000095367432,,,,,0.3000000119209291,,4.512,,,,,2.900000095367431,,,,,,,,,,,,,,,,,4.400000095367432,,,,8.100000381469732,,5.099999904632571,,512.0,4.199999809265141,4.199999809265141,,4.099999904632571,3.400000095367431,,,8.512,1612.0,4.400000095367432,,,3.5999999046325715,0.8000000119209291,,,,4.199999809265141,4.599999904632571,,,,1.1000000238418612,5.099999904632571,,7.599999904632571,,,,,,,,,3.512,5.099999904632571,312.0,6.5120000000000005,,,2.900000095367431,,,5.9000000953674325,,,12.600000381469712,2.7000000476837207,,,,,,,,,,,3.7999999523162806,,,0.8000000119209291,,,212.0,,5.400000095367432,3.5999999046325715,812.0,,,2.2999999523162806,,,,,,,,,0.6000000238418581,,212.0,,,,,3.900000095367431,,,2.400000095367431,,,1.7000000476837211,,,0.8999999761581421,2.900000095367431,,5.199999809265141,6.199999809265141,4.8000001907348615,3.7999999523162806,612.0,,0.8999999761581421,0.8999999761581421,,,,,,,,,6.099999904632571,,2.2999999523162806,3.7000000476837207,,,,,,612.0,212.0,,5.9000000953674325,,,,,,4.099999904632571,8.199999809265138,,,,2.900000095367431,,,,4.099999904632571,,,,,,,3.2000000476837207,,3.900000095367431,,,5.199999809265141,0.10000000149011612,,,2.2000000476837207,,0.4000000059604641
9,2000,,,,,,4.8000001907348615,,5.9000000953674325,,512.0,,,,0.20000000298023207,0.20000000298023207,,4.512,,,,,1.8999999761581408,,,2.900000095367431,,2.400000095367431,,,2.512,0.20000000298023207,,,,,,,,4.3000001907348615,,,,5.699999809265141,,5.099999904632571,,6.099999904632571,4.199999809265141,4.199999809265141,,,312.0,,,4.099999904632571,17.100000381469712,5.400000095367432,,,312.0,,,,,4.3000001907348615,4.3000001907348615,,,,1.5119999999999998,512.0,,812.0,,,3.2000000476837207,,,,,,,4.900000095367432,5.099999904632571,7.099999904632571,,0.8999999761581421,2.2999999523162806,,,612.0,,,12.800000190734911,2.7000000476837207,,7.099999904632571,,,12.0,,,,,3.632172781591642,4.099999904632571,,,,,,1.7000000476837211,,612.0,3.400000095367431,4.3000001907348615,,,312.0,3.400000095367431,,3.900000095367431,,3.7999999523162806,,,,0.8000000119209291,1.2999999523162813,,,,8.199999809265138,,3.2000000476837207,,,2.099999904632571,,,1.7000000476837211,1.7999999523162813,,0.8000000119209291,2.7999999523162806,,,5.599999904632571,4.8000001907348615,3.900000095367431,6.199999809265141,,1.1000000238418612,0.8999999761581421,,,,,,,,,,,2.512,3.7000000476837207,,,,,0.832535379600167,5.599999904632571,2.2999999523162806,,5.400000095367432,,,,,,3.900000095367431,8.300000190734862,,,,3.2999999523162806,,,,4.699999809265141,,,,,,,3.2000000476837207,,3.7000000476837207,,,5.099999904632571,0.20000000298023207,,,,0.4000000059604641,
