,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1992,13.88387556184142,16.785775819507727,16.366759750884118,13.11502632778322,17.61822,16.8222,15.679724091811723,17.336966873660124,19.192806850337924,18.059374377403323,15.361800113501525,18.15022025199192,17.150970893052527,15.221999060370624,16.61918496751732,14.322348095327824,18.147322442260823,17.9756399522,14.73282955870742,,16.19532668589992,15.46747674351792,16.385101769002823,15.310691325868625,15.107473032760822,18.074856535791625,15.934901212882625,13.703191049792526,14.241287024155321,15.88694513144492,13.872346498380322,15.348845639524225,19.3384147122,,14.514405159934425,14.373378724534122,18.511274064103123,16.217409080106222,17.8522,14.613603264716122,14.61262937659782,15.817557067190522,19.59541335332622,14.555315144127722,15.903630958730922,19.3322,18.98222,15.224331933712122,17.660910247311524,15.892667115373122,,19.2222,,,19.617455137631225,15.623708147646225,17.17884113043722,14.557215393203222,10.988613107874222,14.452600601819425,14.446542078134222,,,14.355518780524125,17.52290866705282,19.30147470500432,16.203750965130318,16.73995226272532,13.921945349478525,16.49999878531852,17.748124089664422,14.686823812832925,19.53622051442712,,15.44622,16.9122,14.837533865316622,13.805045958703921,14.757445990425925,15.27678523048592,,18.712743842673717,19.43002880443921,14.741798956207221,20.242906680562196,,14.757406425986323,14.878396815950722,17.007036159093627,16.486088887183527,17.066589084802423,,19.63171318771152,18.8845530122,19.68388380545472,20.25526669723521,16.783563898263818,14.65922,16.27848588934912,14.950183663569126,16.168004070342718,16.50996642971932,15.62076791466882,14.234250239006824,,14.291918093362124,,16.89629594799772,15.051942296015122,13.683659631951524,16.414028117154622,15.730284595792725,,17.86410087920762,18.971182594030825,16.374928163748322,15.1227554622,14.07801433442232,16.718462503783222,15.013482390687725,14.41265210607392,18.832306993575425,15.191534589312722,15.509845148309624,19.4622,16.069433747179218,,14.637380490442824,13.100178803478222,16.10366637315122,13.714138488996522,14.775428667282224,15.113539255246625,14.528625950565822,18.25216800477222,16.684225515607125,18.692702586289425,17.5222,14.561716555826221,12.970927766741722,18.49329208924672,16.436595404324322,,16.965505012503527,19.994853402560423,11.91720392195382,17.8822,17.6840112622,15.051223144674921,15.437952223250825,17.912018133598327,19.33661203295352,15.877734200522122,13.787911369604922,9.45905754698352,13.999807520178525,,16.74833094167322,16.483891472044824,14.995872769840322,15.4974754922,10.603881027027825,18.846317255047225,,15.215299599627526,16.407219371437122,,14.847933904683122,13.897865225453124,13.029249638095525,,19.43922,17.39535691015142,,17.63222,17.71922,,15.75065057665032,15.95822,15.089336644109922,19.371961888878225,19.458814651339225,17.245375090333624,15.069985592464324,14.833076964810624,18.085522986428824,13.669396695470223,14.787926323589625,15.703984862769122,14.872903773683822,16.518807683904225,16.510150966122,14.920748328311625,14.66125978695382,14.640172537873225,17.13938801014822,17.829437305029725,18.774308584958227,16.8622,16.370362503379322,15.568179247189825,16.711119395207323,17.863741866492823,17.130568501769922,,14.88889179856522,14.632164089803126,16.82272088622
2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1997,14.18616457052132,17.157815475880223,17.456493260234822,13.63775405533682,18.26722,17.3422,16.229027660258726,17.369421468380825,20.215458745423227,18.85887984710721,15.487706099632726,18.68728658438652,17.653829499998427,17.366942190291724,16.886290010275324,13.225468517046325,18.85286341305921,15.662737184784524,14.33365234715422,,17.106657589991826,16.458873209426223,16.953863019887926,14.547893248393722,17.073167687229926,18.483283933948826,15.585340605536622,13.521896977881221,14.874779172104125,16.333315541070224,14.350672941355722,15.35613250473492,19.9151702622,,14.449420305487426,14.538109190516126,19.322562278620225,16.582739267865726,18.5222,14.822101688943123,14.507849030177526,15.581232258830322,20.548897011938518,13.538129095862322,16.735590093042926,19.9422,19.259220000000006,16.32523926153082,18.16635081024652,16.02558859481612,,19.5322,,,20.829082386578225,15.642709377196526,17.659089684333825,14.967697107898422,11.76476431318722,14.818971884098824,14.98914561811242,,,14.521487145805125,18.485338026162225,19.85564737641872,16.49133619504742,16.87720856884092,14.076918324485526,16.646589540851426,18.63185761163372,14.354273512357723,19.981403665454625,,15.719220000000002,18.3922,14.465899392185626,14.102440183212922,14.923801987646625,15.449912237075127,,19.32649044284092,20.27402005866512,15.264700820292921,20.373322290816226,,15.38290788991232,14.993045135914722,17.692004669689325,16.71772240263542,17.670930891062824,,20.42226788573032,19.7139733722,19.794238347274717,20.866173986981426,17.006760643123126,12.905017073578222,16.235509022873522,15.197849466243422,17.200881601498324,16.711972343741824,14.948538638003125,14.595194623380921,,14.568066604172197,,17.54704198233642,14.480660890427725,14.881878495820825,16.624144434495626,15.124394030726124,,18.412168045697427,19.497649224128825,16.584858240110922,15.096908522,14.807801638233723,16.987760068227924,16.257488932829727,14.230851589776325,19.502454802606824,15.294976715605722,15.228900074172197,20.2322,16.179400461456424,,14.121703253454426,13.153459872558221,16.34944221758742,14.4679721477522,15.018564759797124,15.063895199845126,15.068910617346225,18.790208344452427,17.03096106369522,19.53782676490692,18.2622,14.752069488543219,12.910658601680725,19.29445966064932,17.092643916192202,,16.999398745698226,20.93074013368852,12.275209372238722,18.4822,18.2770450222,15.064692323824222,16.100387121364125,18.577671777275825,19.50502576623392,15.741946796927822,13.493996679538824,14.04683491554932,14.68188763911342,,16.90019280122182,16.767054052015222,14.95698079002322,16.0031853222,10.350246417069922,18.896752097186926,,15.660324903370821,17.161323077139222,,15.196451865929324,14.744138285281824,13.15564206316042,,19.91722,16.39469606901252,,17.753220000000006,17.8822,,15.95615084031742,15.927220000000002,14.932071050495924,20.130466103447624,20.34135338776932,17.552873141649727,14.750822021996221,15.162913590388822,18.886875970346228,14.576929052666125,13.951250440737624,15.859604624980525,15.062664884106624,17.174059960037322,16.836469756044323,14.98494640384492,15.036480377506622,14.047016637388722,17.713142744473522,18.723621803892318,19.311596871047627,17.422,16.378185651023127,15.883653831673524,17.907105265485825,18.205148664581227,18.003170564603526,,15.030511289555822,14.976602142045822,15.66093605500222
7,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
