,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,51.67123,74.96723,68.54523,43.2523,74.02223000000002,75.42623,70.9623,75.96923000000002,80.423,79.123,68.89123000000001,74.30723,73.82223,59.43823,73.74123,75.523,79.6723,73.43123,56.42623,78.2523,53.1523,57.41323000000001,74.29823,63.89823000000001,69.64123000000001,74.88923,74.8823,50.49423,49.47823,67.60123,56.23723,55.16723,80.7723,,51.03423,48.24123,76.5323,70.92123000000002,72.63823000000002,58.75323,50.64823,56.03923,78.49123,54.30223,75.9523,76.65123,78.77623,75.7523,77.9823,58.44823,,71.0823,71.20471723363742,70.04063649981022,72.08623,67.39823,69.6623,50.24623,51.28723,74.723,49.06523,72.56426071746723,8023.0,67.90123,79.3223,81.123,71.29323000000002,62.77523000000001,53.79823,73.89523,78.723,58.30123,79.82300000000002,68.5323,70.97223000000002,65.85523,51.41623,51.6923,67.30223000000001,56.49323,51.17642839107221,69.4923,80.723,73.9123,81.2723,56.83592989805522,58.84923000000001,65.11623,66.7923,70.06123000000001,77.84723000000002,,78.523,80.423,74.33823000000002,82.2223,71.59323,72.923,60.16223000000001,63.77123,75.9223,73.40223,72.723,55.40923000000001,71.20743153269292,74.623,53.19054184939882,72.08823000000002,61.0923,49.55523,70.70223,75.8623,65.19618145532522,79.123,77.89223,73.39823,52.86923,44.72323,72.88423,62.01823,46.68923,77.83923,59.931230000000006,73.923,74.15323000000002,66.87223,67.68793741377122,71.01223,63.12423,66.87923,45.14123,61.33823,63.80523,55.74623,80.1523,74.223,78.923,67.75723,44.78523,47.1623,80.123,69.82723,64.60159638425893,61.12223,76.22123,58.87923000000001,70.49923000000003,68.47423,68.30523000000001,75.32300000000002,77.623,76.34123000000002,73.1723,73.7523,32.35723,68.94223000000001,,63.80223,71.43223,59.04823,,37.34323,77.923,,75.1723,77.423,66.50697048962911,57.59823000000001,46.8323,66.08323,59.20735637219682,80.723,73.32300000000002,,73.46223,72.48723000000003,51.51612645242371,57.25123000000001,71.02523000000002,60.87823,80.5323,81.123,71.59323,66.04923000000001,51.05523,73.61623,50.9523,56.96823000000001,71.22423,71.06823,72.32300000000002,68.5823,66.55123,46.74523,7423.0,73.2623,78.923,78.923,76.60223,69.77123,65.12723000000001,72.87523,75.40923000000002,79.06723000000002,67.82550508889071,59.64823000000001,45.523,59.59723
1,1992,52.41623,74.95423000000002,68.79823,43.30723,74.25123,75.66623,71.24123,76.00223000000003,80.423,79.32300000000002,68.73323,74.43123,73.99723,60.10223000000001,73.97423,75.423,79.8723,73.19923,56.74123,,53.95623000000001,57.99423,74.35923000000003,62.82923,70.10723,75.13423,75.0923,50.49823,49.39323,68.00823000000001,56.53323,55.11623,80.0223,,50.57323,48.36723,76.96323000000002,71.11923,72.89423000000002,59.20223000000001,50.73523,55.44523,78.63623,53.63923000000001,75.82300000000002,76.76523,78.93423,76.1923,77.9623,58.58523,7623.0,71.56223,71.41041981558192,70.25771135811833,72.62723000000003,67.82123,70.30423,50.68223,52.12723,74.623,49.47823,71.90285911556171,80.223,68.16423,79.4323,81.32300000000002,71.56823,62.68223,54.03723000000001,73.88623,79.223,58.5823,80.223,68.5123,71.15223,66.49323000000001,51.79823,52.0123,67.38523,56.87523,51.297225863380824,69.94423,80.723,73.8623,80.8523,56.984679474370424,59.425230000000006,65.49623000000001,67.29523,70.4823,78.02423,,78.423,80.82300000000002,74.4123,82.3523,71.8123,72.723,59.34123,64.29323000000001,76.3823,73.52523000000002,72.223,55.94523,71.58943635451263,74.4423,53.47821467775072,72.39823,61.04123000000001,49.86823,70.99423,75.9323,65.36508841329793,79.123,78.14823,73.62723000000003,53.57723000000001,44.50423,73.13423,63.01823,46.95723,78.2123,60.1723,73.923,74.4723,66.98323,68.09236845619851,70.94523000000002,63.32423000000001,67.38123,45.66423,61.672230000000006,63.68923,56.6623,80.2823,75.223,79.32300000000002,68.34623,45.38323,47.12723,80.3623,70.40123,64.59920477761172,61.40223,76.423,59.22623000000001,70.68223,68.9823,68.50623,75.723,7823.0,76.51223,73.1723,71.9923,30.18623,69.4523,,63.9623,71.89123000000002,59.1423,7423.0,36.91523,78.223,,76.223,77.32300000000002,66.52796483450372,58.236230000000006,46.93423,66.05623,59.758163151764535,81.1923,73.28623,7023.0,73.4223,72.58823000000002,51.479643521676216,57.47223,71.09223,60.51223,80.7823,81.3323,71.95923,66.03723000000001,50.61823,73.73523,51.82323,56.69823,71.32123,71.2123,72.623,69.15523,66.64823,46.28523,74.1823,73.51823,79.223,79.123,76.82123,69.62423000000001,65.59823,73.12723000000003,75.74323000000003,79.36923,67.98834078973643,59.94623000000001,44.76423,57.669230000000006
2,1993,53.09823000000001,74.98723000000003,69.05123,43.40223,74.47623,75.90523,71.57423,76.03323,80.923,79.523,68.66823000000001,74.52823000000002,74.17823,60.78423000000001,74.20223,74.423,79.923,72.90723,56.94823,,54.75923,58.57923,74.50723,61.40523,70.58923,75.37423000000003,75.2623,50.53423,49.53523,68.42923,56.80423,55.00223,80.8323,,50.0623,48.48623,77.38823000000002,71.32723,73.14423000000002,59.611230000000006,50.72723,54.80523,78.77923,52.78923,76.0423,76.93623000000002,79.08823000000002,76.4323,77.7723,58.6823,,71.97823000000002,71.62081207856771,70.47414456569824,73.14623,68.26923000000001,70.87123000000003,51.11923,52.992230000000006,73.82300000000002,49.91423,71.53269302017522,80.523,68.42323,79.4823,81.523,71.92423000000002,62.51423000000001,54.27823000000001,73.91623,79.223,58.70123,79.923,68.5123,71.32723,67.13723,52.04723,52.27823,67.46423,57.25923,51.45653146081662,70.39223,80.923,73.8823,80.8423,57.135567985013616,60.00223,65.8723,67.78323,70.86723,78.17623,,79.123,8123.0,74.47823000000002,82.523,72.00723,71.923,58.33623000000001,64.7723,76.82300000000002,73.6423,71.723,56.48223,71.97621359411932,73.3323,53.80180850086742,72.74923000000003,60.5423,50.32523,71.24623000000003,74.9823,65.57278333218032,79.423,78.40123,73.85823,54.33323000000001,44.33623,73.37923,63.98423,47.16223,78.623,60.40723000000001,7423.0,74.77823000000002,67.09423000000001,68.47911923849882,70.84523,63.48123,67.82423,46.2723,6223.0,63.43223,57.57123000000001,8023.0,75.623,79.223,68.923,46.00423,47.08823,80.2323,70.95623,64.36304425231111,61.678230000000006,76.56123000000002,59.53323,70.86723,69.49223,68.69123,7623.0,78.223,76.67623,73.223,71.223,30.00223,69.94423,,64.11823000000001,72.3223,59.13423,,36.6123,78.32300000000002,,76.723,77.32300000000002,66.39630947020642,58.91323000000001,47.29923,65.83823000000001,60.30831825641762,81.2623,73.19323,,73.35623000000002,72.66723,51.43937011264512,57.71223000000001,71.15323000000002,59.85923,80.7723,81.4323,72.32823,66.07123,50.2223,73.83123,52.77123,56.34523000000001,71.42423000000002,71.36723,72.723,69.74823,66.76723,45.89623,73.723,73.76923000000002,79.123,78.82300000000002,77.03823,69.53723000000001,66.07823,73.43623000000002,76.07423,79.64723000000002,68.14320745592893,60.2223,44.14523,55.47523
3,1994,53.71323,75.08923,69.32823,43.55423,74.69723,76.14223,71.9423,76.06623,80.923,79.82300000000002,68.70923,74.60723,74.36623,61.4823,74.42523,74.32300000000002,80.1923,72.57823,57.05723,,55.5623,59.169230000000006,74.74623000000003,59.69123,71.08323,75.6123,75.2523,50.61323,49.90823,68.86523000000001,57.09323000000001,54.8323,80.9323,,49.51123,48.59723,77.80623,71.55123,73.38923,59.97523,50.64623,54.15323000000001,78.92423000000002,51.80223,76.2823,77.1623,79.2423,76.6423,78.123,58.73823,,72.32823,71.85343697856851,70.69604868917662,73.64123000000002,68.74423,71.3623,51.54823,53.86823,72.82300000000002,50.37623,71.70654588962631,80.723,68.67923,80.1523,81.92299999999999,72.36323,62.28723000000001,54.53523000000001,73.99523,79.623,58.67323,80.223,68.5923,71.49823,67.78423000000001,52.17223,52.489230000000006,67.54323000000001,57.64123000000001,51.64442473519992,70.83923,81.523,74.3123,81.4723,57.28811750340022,60.57123000000001,66.23423000000001,68.25923,71.20823,78.30923,79.523,79.423,81.223,74.54523,82.9623,72.1923,7123.0,57.19523,65.19423,77.1123,73.74823,70.723,57.01723000000001,72.3662314689923,72.6223,54.15449723597232,73.1423,59.57523000000001,50.90623,71.45923,74.8223,65.82946181506152,79.723,78.64923,74.09423000000002,55.11823,44.22923,73.61823000000003,64.91623,47.31823,7923.0,60.64223000000001,7423.0,75.07923000000002,67.20523,68.86719661269122,70.73323,63.61623,68.21223,46.94423,62.32223000000001,63.03323,58.46923,80.3123,73.923,79.723,69.4223,46.64423,47.04923,80.6423,71.49623000000003,64.06209075453641,61.95323000000001,76.70923,59.78923,71.05123,70.01123,68.86423,76.123,78.523,76.83423,73.32300000000002,71.7323,31.83923,70.4223,,64.27523000000001,72.71523,59.06323,,36.46223,78.423,,76.523,77.423,66.21261593305772,59.59923000000001,47.92123,65.41723,60.85191066141422,81.6223,73.05323,,73.27823000000002,72.7323,51.39445247178092,57.97223,71.20923,58.92323,81.3723,81.7123,72.70223,66.16223000000001,49.923,73.92323,53.81123,55.93523,71.54123,71.53723000000002,72.923,70.35823,66.9123,45.61123,73.1523,74.01823,79.623,7923.0,77.25423,69.52223000000001,66.5623,73.79723,76.39923,79.90123,68.38592316421212,60.47923,43.66823,53.1123
4,1995,54.25723000000001,75.2823,69.65123,43.79623,74.91423,76.37723000000003,72.33123,76.123,80.82300000000002,80.123,68.84623,74.68323000000002,74.5623,62.18623,74.64123000000002,74.32300000000002,80.3823,72.24423,57.08623000000001,,56.36923,59.76223,75.06923,57.76423000000001,71.58523000000002,75.84223,74.923,50.7323,50.46923,69.3123,57.44623000000001,54.62300000000001,81.0223,,48.93623,48.68923,78.21623000000002,71.79923000000002,73.6323,60.28623,50.53923,53.51823,79.07423,50.75123,76.5223,77.42523,79.38923,76.6523,77.8323,58.75823000000001,,72.61823000000003,72.05523089325672,70.9312066515687,74.11123,69.23123000000001,71.77523000000002,51.95623,54.73123,74.123,50.85923,72.02971559898751,80.923,68.93223,80.2123,81.92299999999999,72.86623,61.99923,54.82223000000001,74.12923,79.723,58.52323000000001,80.32300000000002,67.9923,71.66923,68.42923,52.17523,52.63223000000001,67.62123000000001,58.01223,51.85356132266842,71.27823000000002,81.523,74.5523,80.1123,57.45251002586992,61.12223,66.58223000000001,68.72923,71.48123000000002,78.43423,,79.523,81.523,74.61423,82.8423,72.36523000000003,70.423,55.98123,65.56523,77.4123,73.8523,70.423,57.55423,72.75779362522209,73.0623,54.53091420277232,73.57223,58.14523000000001,51.53523,71.63523,75.0423,66.10046975989812,80.223,78.89323,74.34323,55.91423,44.16323,73.85323000000002,65.83423,47.44623,79.623,60.87123,74.2823,75.37423000000003,67.31623,69.25734061475322,70.64123000000002,63.76923000000001,68.55623,47.65223,62.6423,62.44823,59.3523,80.3623,75.82300000000002,79.523,69.91523000000001,47.29723,47.01423,80.8223,72.02423,63.84669958018723,62.22923,76.85123,6023.0,71.23723000000003,70.53823,69.02923,76.423,7923.0,76.98723000000003,73.423,72.5223,35.35123,70.87423000000003,,64.42823,73.07123,58.97123000000001,,36.51123,78.623,,76.32300000000002,77.82300000000002,66.08813887263493,60.28623,48.74423,64.7523,61.38272900599323,81.7323,72.94223000000002,,73.19923,72.78223,51.345708811600815,58.25223,71.26123,57.70123,81.4523,81.6923,73.0823,66.31523,49.69923,74.01823,54.93523,55.50723000000001,71.68323000000002,71.71223,73.32300000000002,70.97523000000002,67.07323000000001,45.47123,72.7223,74.26723,79.523,78.923,77.46823,69.57923000000001,67.04123,74.20623,76.71523,80.13123,68.59540305767261,60.73123,43.34923,50.6823
5,1996,54.73423,75.57623000000002,70.03323,44.15523,75.12823,76.61123,72.75123,76.13323000000003,81.123,80.223,69.04723,74.77423,74.75823000000003,62.923,74.84923,74.423,80.6623,71.93723,57.06623,,57.19523,60.35923,75.45123000000002,55.71723000000001,72.0923,76.06923,74.5823,50.87123,51.13823,69.75523000000001,57.89523000000001,54.31223000000001,81.1523,,48.34123,48.74823,78.61823000000003,72.07623000000002,73.8723,60.53623,50.46923,52.92723,79.22823000000002,49.72523,76.7623,77.70723000000002,79.53623,77.32300000000002,78.2623,58.74323,,72.86323,72.34026185744322,71.18591359559052,74.55623,69.70623,72.12923,52.33123,55.55823,75.423,51.34523,72.26986733341809,81.123,69.18223,80.5423,8223.0,73.40623000000002,61.63823000000001,55.1523,74.31823,79.923,58.29523,80.423,68.423,71.84623,69.06723000000001,52.06323,52.69923000000001,67.69923,58.361230000000006,52.08412357438262,71.69723,82.723,74.7923,81.1823,57.63594905772821,61.64623,66.90923000000001,69.19923,71.66223000000002,78.723,,8023.0,81.82300000000002,74.6923,83.5523,72.53723000000002,7023.0,54.76523,65.8923,77.7723,73.94823000000002,7123.0,58.09223000000001,73.1492204087723,74.82300000000002,54.92933199024562,74.04323000000002,56.28623,52.11323,71.7823,75.8623,66.36569475720322,79.923,79.13223,74.61123,56.70823000000001,44.10723,74.08423,66.77323,47.56823,79.623,61.08223,74.423,75.66523000000002,67.42623,69.63209204707681,70.59423000000002,63.98723,68.86723,48.35223,62.95523000000001,61.6323,60.2123,80.3523,74.223,79.423,70.40123,47.96223,46.98823,81.0723,72.53823,63.54820022493123,62.50623,76.99623000000003,60.178230000000006,71.43123,71.07523,69.1923,76.623,7923.0,77.13723,73.123,72.9523,39.87223,71.30323,82.523,64.57423,73.38423,58.90123000000001,,36.78723,78.923,,76.723,78.32300000000002,65.90703091031523,60.986230000000006,49.66923,63.79923,61.89525120376173,81.8823,72.95423000000002,,73.13223,72.82723,51.29917760611382,58.55223,71.30623,56.20123,81.5223,8223.0,73.4623,66.52423,49.64623,74.11823000000003,56.114230000000006,55.10223000000001,71.85523,71.88223,73.523,71.58823000000002,67.24923000000001,45.51523,72.6523,74.52123,79.723,79.123,77.68123,69.69623,67.51723,74.65123,77.02223000000002,80.33523000000002,68.84474767874342,60.97923,43.18823,48.29223
6,1997,55.15923000000001,75.9623,70.46623000000002,44.63223,75.33823000000002,76.84423000000002,73.20623,76.16423,81.423,80.723,69.26823,74.89423000000002,74.95323,63.61523,75.04823,74.32300000000002,80.723,71.6823,57.03423000000001,,58.04623,60.95823000000001,75.85223,53.70923000000001,72.5923,76.29323000000002,73.8723,51.02323,51.80623,70.19123,58.43923,53.98223,81.423,,47.74223,48.76823,79.01223,72.38423,74.10723,60.72823,50.49623,52.41223,79.38323000000003,48.80823,76.923,77.9823,79.68123,77.423,78.4623,58.70423,7823.0,73.08523000000002,72.61355332973133,71.46338030337894,74.97523000000002,70.13923,72.44623,52.669230000000006,56.33623000000001,75.723,51.82823,72.56156549736612,81.123,69.42923,80.5123,82.323,73.94123,61.20523000000001,55.51323000000001,74.54823,80.32300000000002,58.05723,80.82300000000002,68.6123,72.02923,69.69123,51.86823,52.70123,67.77523000000001,58.68223,52.34192808469852,72.07923000000002,83.223,75.2223,81.623,57.838887171094726,62.14423000000001,67.21323000000001,69.67223,71.74623000000003,78.723,,80.123,8223.0,74.77923,83.8223,72.7123,70.223,53.63323000000001,66.18523,78.1223,74.0423,71.423,58.63423,73.53579746388142,75.0523,55.34823523463962,74.54323000000002,54.14523000000001,52.56523000000001,71.90723,76.6223,66.64980832292632,79.82300000000002,79.36723,74.89623,57.49323,44.0523,74.31123000000002,67.75923,47.71623,80.123,61.26623000000001,74.423,75.95123000000002,67.53423000000001,69.99967584268052,70.60223,64.32300000000001,69.16423,49.00523,63.26823,60.60423,61.05123,80.5523,74.32300000000002,80.123,70.89523,48.63423,46.9823,80.9723,73.03823,63.151962530120706,62.78323,77.14823,60.35123000000001,71.63523,71.61423,69.34723000000001,7723.0,79.123,77.28423000000002,7323.0,73.2223,44.49623,71.70823,82.723,64.71223,73.65323000000002,58.88423,7523.0,37.27923,79.123,,76.723,78.623,65.64731754826772,61.72323000000001,50.57523,62.58723000000001,62.39043366058632,82.2123,73.15223,72.7123,73.09623,72.8723,51.27006176199972,58.867230000000006,71.34323,54.49823000000001,81.8223,82.0423,73.83523000000002,66.77323,49.75123,74.21423,57.29923,54.75523000000001,72.05723,72.03823,73.923,72.18223,67.42723000000001,45.75223,72.9523,74.7823,79.923,79.423,77.8923,69.84223,67.98523,75.11323,77.31723000000002,80.51723,69.10623682024722,61.21923,43.17923,46.04923
7,1998,55.54823,76.4123,70.93923000000002,45.21523,75.54523,77.07923000000002,73.69623,76.19223000000002,81.523,8123.0,69.47823000000001,75.0523,75.14423000000002,64.32623000000001,75.23723000000003,74.423,80.723,71.49323000000003,57.02623000000001,,58.92323,61.55923000000001,76.23923,51.91123,73.07823,76.51223,74.82300000000002,51.18723,52.39123,70.60823,59.07623,53.63423,81.523,,47.16423,48.75123,79.39823,72.71923000000002,74.34523,60.8723,50.66523,52.00823,79.53623,48.07223,76.2223,78.22723,79.82523,78.123,78.723,58.65823,,73.30223000000002,72.89657001852981,71.76189492282663,75.36823000000003,70.51123,72.74423,52.97123000000001,57.056230000000006,75.32300000000002,52.30923,72.4984054152637,81.123,69.67323,80.8423,82.62299999999998,74.44123,60.7223,55.90623000000001,74.80423,80.623,57.867230000000006,80.423,69.0123,72.22223000000002,70.29223,51.63623,52.65823,67.8523,58.97423000000001,52.63416381387422,72.41723,8323.0,75.18623000000002,81.623,58.06626539229372,62.617230000000006,67.49323000000001,70.14823,71.7423,79.123,,80.32300000000002,82.12299999999998,74.88623,84.0123,72.88723,70.423,52.66823,66.46123,78.4523,74.12723000000003,71.223,59.18323,73.9143804829698,74.82300000000002,55.786711650213526,75.06123000000002,51.89223,52.858230000000006,72.0323,76.723,66.88988258918822,80.523,79.59723000000002,75.19223000000002,58.26223,44.00323,74.53323,68.82300000000001,47.91723,8023.0,61.42123,74.523,76.23323,67.64423000000001,70.34138896674972,70.6723,64.72423,69.46123,49.58723,63.5823,59.44223,61.87223,80.723,77.523,80.82300000000002,71.40423,49.3123,47.00223,81.32300000000002,73.52323,62.584441982087824,63.06123,77.31123000000002,60.54123000000001,71.85223,72.14923,69.50123,77.32300000000002,79.423,77.42923,73.723,72.523,48.5123,72.09123000000002,83.42299999999999,64.84723000000001,73.88123,58.94923000000001,,37.95823,79.423,,76.723,78.723,65.27918320714072,62.50423000000001,51.36723,61.172230000000006,62.868924479787616,82.223,73.56123000000002,,73.10823,72.91523000000002,51.27671685819952,59.19723000000001,71.37723000000003,52.69523,81.92299999999999,82.523,74.20323,67.04823,50.01823,74.30523000000002,58.4523,54.49523000000001,72.28423000000002,72.17323,74.123,72.74923000000003,67.59523,46.17823,73.523,75.04523,79.723,79.523,78.09523,69.99423,68.44423,75.56923,77.59923,80.6823,69.31322626910152,61.4523,43.31923,44.05923
8,1999,55.91123,76.90623000000002,71.44623,45.88823,75.74723,77.31323,74.20723000000002,76.22123,81.82300000000002,8123.0,69.67423000000001,75.24523,75.32723,65.02523000000001,75.41823000000002,73.923,8123.0,71.38723,57.06623,,59.82223000000001,62.16223000000001,76.59223,50.47423,73.54823,76.72723,75.123,51.37723,52.861230000000006,71.00623,59.80523,53.29323,81.723,,46.63823,48.70523,79.77623,73.07723,74.58323,60.97523,50.99123,51.75123,79.68523,47.55723,76.5523,78.44723,79.96723,78.123,78.82300000000002,58.62123,,73.52323,73.18762475258113,72.07919974740923,75.73323,70.81723000000002,73.03823,53.24123,57.71423000000001,75.82300000000002,52.803230000000006,72.66903329271862,81.123,69.91423,81.0223,82.723,74.89123000000002,60.21623,56.32623,75.07823,80.82300000000002,57.76423000000001,80.623,68.9923,72.42623,70.86123,51.41423,52.59423,67.92223,59.242230000000006,52.96894806597923,72.71123,83.223,75.2123,81.423,58.33107515018072,63.06423,67.75223000000001,70.62923,71.65623000000002,78.923,,80.423,82.62299999999998,75.01323000000002,83.92299999999999,73.07123,7123.0,51.93723,66.72223000000001,79.2223,74.21123,72.623,59.73723,74.28063102284791,75.2923,56.24427382521882,75.5923,49.66923,53.00823000000001,72.15923000000002,7723.0,67.16427021778283,81.123,79.82323000000002,75.4923,59.00123000000001,44.00423,74.74923000000003,69.88723,48.19523,79.423,61.5523,74.723,76.50723,67.75523000000001,70.67532513035124,70.79723,65.25823000000001,69.76723,50.08823,63.89223000000001,58.24623,62.66723,80.523,7723.0,80.423,71.93123,49.98823,47.06523,81.123,73.99423,62.16415269813872,63.33623000000001,77.4923,60.75823000000001,72.07923000000002,72.67223,69.65323000000001,77.523,79.623,77.57223,74.223,72.423,51.6223,72.45323,83.723,64.98423000000001,74.06923,59.11523,,38.79823,79.623,,7723.0,78.82300000000002,65.00687808590192,63.30923000000001,52.00723,59.62723,63.32809129737852,82.223,74.16723,,73.1823,72.96823,51.33722080466592,59.53723000000001,71.41523000000002,50.89423,81.92299999999999,82.523,74.56223,67.34823,50.45223,74.423,59.55223,54.34223000000001,72.53323,72.28723000000002,74.623,73.28423000000002,67.75323,46.78423,73.7423,75.31423000000002,79.923,79.423,78.29523,70.13823000000001,68.88923,76.00223000000003,77.86823000000003,80.82723,69.53737590307523,61.67423,43.62123,42.41423
9,2000,56.26523,77.4223,71.97323,46.62123,75.94723,77.54423,74.71723,76.25723,8223.0,81.223,69.87723000000001,75.47623,75.50323,65.70623,75.59223,74.723,8123.0,71.36423,57.17323,80.623,60.739230000000006,62.76723000000001,76.89723000000002,49.61223,73.99123,76.93523,75.32300000000002,51.6323,53.20823000000001,71.38823000000002,60.62423,52.99123,81.92299999999999,,46.20223,48.64623,80.14623,73.45423000000002,74.82323000000002,61.0623,51.47823,51.68723,79.8323,47.29223,76.6823,78.64823,80.10623000000002,78.423,7923.0,58.61323,,73.75323,73.54154772327782,72.41217963463752,76.06623,71.05823000000002,73.33523000000002,53.489230000000006,58.31323,7623.0,53.34423,72.69387196216644,81.123,70.15323000000001,8123.0,8323.0,75.28523,59.739230000000006,56.7723,75.36123,8123.0,57.78123000000001,80.523,69.7623,72.64123000000002,71.38823000000002,51.26823,52.5423,67.99123,59.50123000000001,53.35901321869813,72.96423,83.92299999999999,75.623,81.623,58.627218124900324,63.486230000000006,67.99523,71.11623,71.51823,79.223,,80.923,82.823,75.16223000000002,84.62299999999998,73.2623,71.123,51.51323,66.96723,79.623,74.2923,72.423,60.297230000000006,74.62945310921162,7623.0,56.724461028312206,76.12423000000003,47.64623,53.09723,72.31423000000002,77.523,67.44015154600322,81.123,80.04523,75.77523000000002,59.69923000000001,44.12523,74.95623,70.99623000000003,48.58423,80.32300000000002,61.6623,75.32300000000002,76.76823,67.87423000000001,70.97843746372892,70.96323000000002,65.8823,70.08923,50.50923,64.19923,57.19123,63.43423000000001,80.623,78.82300000000002,81.32300000000002,72.46923000000002,50.65823,47.19123,81.423,74.45323,61.89148728581952,63.60623,77.68623000000002,61.01323000000001,72.31423000000002,73.17723000000002,69.80623,7823.0,79.923,77.71323000000002,74.82300000000002,7223.0,53.76323000000001,72.79223,8423.0,65.13923,74.21823,59.39123000000001,,39.75523,8023.0,,77.223,79.123,64.83933517785093,64.10823,52.48423,58.047230000000006,63.76687796501393,82.523,74.91223000000002,,73.33223000000002,73.03423000000002,51.47617494544952,59.88723,71.47123,49.22823,8223.0,82.62299999999998,74.91923,67.67323,51.0623,74.51623000000002,60.608230000000006,54.30123,72.82300000000002,72.37923,74.723,73.78623,67.89823,47.55523,73.5523,75.58423,80.223,79.32300000000002,78.48823,70.26823,69.31923,76.39423000000002,78.12223,8023.0,69.78383462783692,61.8923,44.12123,41.18823
