,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,2129.0,,,,,,,,64.529,,,,,,,,,,,,,,,,8.300000190734862,,,,34.29999923706053,,,,,,,,,,,,34.29999923706053,,,,,,,,,,,2429.0,,,,,8.399999618530272,41.90000152587893,,,,,27.529,,54.299999237060526,,,,,,,,,,,,10.399999618530329,,,,,,52.70000076293953,,,6929.0,,11.100000381469727,,,,,2.2000000476837243,,,,,,,,,,,,,15.399999618530329,,,,,,,,,,,,,,,,,,,,,39.20000076293953,,17.399999618530327,,,,22.100000381469727,,,,,,,,,,41.70000076293953,,,,,,,,,,,,,,,,,,,,,57.40000152587893,,,,,,,,,11.899999618530329,15.600000381469727,,,34.29999923706053,,,,,36.09999847412113,,48.799999237060526,,,,,21.600000381469727,4.699999809265143,,,,,,,,,,
1,1992,,,,,,,,,29.200000762939528,,,,,,61.299999237060526,,6129.0,,,,,,,,,,,,,,,,11.699999809265128,,,,70.30000305175783,,,,,,,,,,,,28.60000038146973,,,,,,,,,,,26.10000038146973,,,,,,36.29999923706053,,,,,30.399999618530327,,56.799999237060526,,,,,,,,,,,19.79999923706053,3.5999999046325732,,,,,,49.90000152587893,,,57.70000076293953,27.799999237060533,9.800000190734863,,,,,2.529,,,,,,,,,,,,,18.79999923706053,,,,,,,,,,,,,,,,,,,,,40.09999847412113,,23.399999618530327,,,,2429.0,,,,,,,,,3629.0,34.79999923706053,,,13.300000190734927,,,,,,,,,,,,,,,,,,52.59999847412113,,,,,,,,,13.529000000000002,23.10000038146973,,,,,,,,35.90000152587893,,49.70000076293953,,,,,26.60000038146973,929.0,,,,,,,,,,
2,1993,,,,,,,,,30.799999237060533,,,,,,65.69999694824223,,58.90000152587893,51.59999847412113,,,,,,,,,,,,,,,13.800000190734927,,,,65.80000305175783,,,,,,,,,,,16.399999618530327,26.700000762939528,,,,,,,,,,,29.799999237060533,,,,,25.700000762939528,34.90000152587893,,,,,43.20000076293953,,56.90000152587893,,,,,,,,,,,34.529,10.899999618530329,,,,,,50.90000152587893,,,59.40000152587893,31.60000038146973,8.800000190734863,,,,,1.6000000238418628,,,,,,,,,,,,,36.79999923706053,,,,,,,,,,,,,,,,,,,,,46.40000152587893,,23.899999618530327,,,,30.200000762939528,,,,,,,,,41.59999847412113,3929.0,,,22.100000381469727,,,,,,,,,,,,,,,,,,55.529,,,,,,,,,12.899999618530329,22.529,,,,,,,,33.40000152587893,,51.40000152587893,,,,,32.529,9.100000381469735,,,,,,,,,,
3,1994,,,,,,,,13.800000190734927,30.529,18.529,,,,,64.59999847412114,,62.59999847412113,6029.0,,,,,,,,,,,,,,,15.199999809265128,,,,73.40000152587893,,,,,,,,,,,20.79999923706053,32.40000152587893,,,,,,,,,,,41.70000076293953,,,,,,37.90000152587893,,,,,4729.0,,57.09999847412113,,,,,,,,,,,37.59999847412113,14.529000000000002,,,,,,55.299999237060526,,,62.70000076293953,33.20000076293953,11.800000190734927,,,,,3.200000047683723,,,,,,,,,,,,,24.299999237060533,,,,,,,,,,,,,,,,,,,,,44.20000076293953,,23.799999237060533,,,,29.799999237060533,,,,,,,,,43.799999237060526,42.40000152587893,,,26.10000038146973,,,,,,,,,,,42.90000152587893,,,,,,,59.40000152587893,,,,,,,,,20.529,34.59999847412113,,,,,,,,3429.0,,50.529,,,,,33.90000152587893,10.199999809265128,,,,,,,,,,
4,1995,,,,,,,,,27.10000038146973,30.399999618530327,,,,,6229.0,,63.20000076293953,60.299999237060526,,,,,,,,,,,,,,,14.300000190734927,,,,72.529,,,,,,,,,,,28.399999618530327,24.700000762939528,,,,,,,,,,,30.899999618530327,,,,,29.799999237060533,40.90000152587893,,,,,50.90000152587893,,57.90000152587893,,,,,,,,,,,48.299999237060526,14.800000190734927,,,,,,51.20000076293953,,7.5999999046325755,63.90000152587893,27.799999237060533,9.600000381469735,,,,,3.400000095367433,,,,,,,,,,,,,20.600000381469727,,,,,,,,,,,1.529,,,,,,,,,,38.79999923706053,,17.79999923706053,,,,15.300000190734927,,,,,,,,,43.70000076293953,51.20000076293953,,,32.79999923706053,,,,,,,,,,,55.299999237060526,,,,,,,6029.0,,,,,,,,,22.899999618530327,35.20000076293953,,,,,,,,32.79999923706053,,4629.0,,,,,32.20000076293953,8.100000381469734,,,,,,,,,,
5,1996,,,,,,,,,24.60000038146973,28.200000762939528,,,,,63.529,,63.299999237060526,5829.0,,,,,,47.70000076293953,,,,,,,,,1529.0,,,,,,,,,,,,,,,28.899999618530327,25.200000762939528,,,,,,,,8.800000190734863,,,51.59999847412113,,,,,28.399999618530327,39.59999847412113,2829.0,,,,5129.0,,62.09999847412113,,,,,,,,,,,50.40000152587893,1429.0,,,,,,50.20000076293953,,5.800000190734862,66.59999847412114,29.299999237060533,1229.0,,,,,329.0,,,,,,,,,,,,,25.299999237060533,,,,,,,,,,,2.0999999046325732,,,,,,,,,,42.70000076293953,,15.399999618530329,,,,11.699999809265128,,,,,,,,,42.529,50.90000152587893,,,35.40000152587893,,,,,,,,,,,51.529,,,,,,,59.59999847412113,,,,,,,,,25.799999237060533,29.200000762939528,,,,,,,,33.70000076293953,,54.20000076293953,,,,,2829.0,8.399999618530272,,,,,,,,,,
6,1997,,,,,,,,25.399999618530327,27.399999618530327,27.399999618530327,,,,,65.30000305175783,,61.529,64.59999847412114,,,,,,,,,,,,,,,13.529000000000002,,,,,,,,,,,,,,,27.529,27.799999237060533,,48.529,,,,,,,,,51.70000076293953,,,,,26.700000762939528,40.70000076293953,,,,,52.799999237060526,,61.90000152587893,,,,,,,,,,,45.09999847412113,10.300000190734927,,,,,,45.40000152587893,,5.9000000953674325,65.69999694824223,28.299999237060533,11.600000381469727,,,,,129.0,,,,,,,,,,,,,36.09999847412113,,,,,,,,,,,1.7000000476837227,,,,,,,,,,44.799999237060526,,14.529000000000002,,,,10.199999809265128,,,,,,,,,41.90000152587893,5529.0,,,40.90000152587893,,,,,,,,,,,52.529,,,,,,,57.20000076293953,,,,,,,,,30.10000038146973,31.60000038146973,,,,,,,,36.59999847412113,,47.09999847412113,,,,,27.700000762939528,829.0,,,,,,,,,,
7,1998,,,,,,,,,28.399999618530327,30.700000762939528,,,,,61.70000076293953,,63.529,61.90000152587893,,,,,,,,,,,,,,,11.800000190734927,,,,,,,,,,,,,,,29.700000762939528,28.799999237060533,,,,,,,,,,,51.529,,,,,22.529,41.79999923706053,,,,,54.529,,6129.0,,,,,,,,,,,49.529,16.200000762939528,,,,,,,,6.529,58.299999237060526,29.60000038146973,12.199999809265128,,,,,0.6999999880790713,,,,,,,,,,,,,26.299999237060533,,,,,,,,,,,0.3000000119209293,,,,,,,,,,40.29999923706053,,1429.0,,,,6.699999809265143,,,,,,,,,41.79999923706053,44.799999237060526,,,42.529,,,,,,,,,,,5329.0,,,,,,,54.299999237060526,,,,,,,,,30.10000038146973,30.399999618530327,,,,,,,,36.09999847412113,,4529.0,,,,,2429.0,7.099999904632572,,,,,,,,,,
8,1999,,,,,,,,,26.200000762939528,30.899999618530327,,,,,56.299999237060526,,60.90000152587893,65.59999847412114,,,,,,,,,,,,,,,9.800000190734863,,,,,,,,,,,,,,,39.90000152587893,19.79999923706053,,,,,,,,,,,46.799999237060526,,,,,25.399999618530327,39.529,,,,,53.09999847412113,,59.529,,,,,,,,,,,47.90000152587893,13.399999618530329,,,,,,37.59999847412113,,10.199999809265128,6029.0,30.529,14.600000381469727,,,,,229.0,,,,,,,,,,,,,27.200000762939528,,,,,,,,,,,0.3000000119209293,,,,,,,,,,35.20000076293953,,16.200000762939528,,,,5.9000000953674325,,,,,,,,,38.29999923706053,42.29999923706053,,,49.90000152587893,,,,,,,,,,,49.799999237060526,,,,,,,50.70000076293953,,,,,,,,,26.10000038146973,37.09999847412113,,,,,,,,33.79999923706053,,34.90000152587893,,,,,21.529,6.199999809265143,,,,,,,,,,
9,2000,,,,,,,,,23.60000038146973,22.799999237060533,,,,,5629.0,,54.299999237060526,,,,,,,,,,56.40000152587893,,,,,,9.529,,,,,,,,,,,,,,31.899999618530327,48.299999237060526,22.399999618530327,,,,,,,,,,,42.59999847412113,,,,,2529.0,40.79999923706053,,,,,51.799999237060526,,59.20000076293953,,,,,,,,,,,45.70000076293953,12.529000000000002,,,,,,22.60000038146973,,10.100000381469727,61.299999237060526,34.59999847412113,17.100000381469727,,,,,0.8000000119209294,,,,,58.20000076293953,,,,,,47.70000076293953,,18.79999923706053,,,,,,,,39.29999923706053,,,1.529,,,,,,,,,,,,13.199999809265128,,,,3.200000047683723,,,,,,,,,41.29999923706053,40.70000076293953,,53.90000152587893,5029.0,,,,,,,,,,,54.59999847412113,59.799999237060526,,,,,,46.299999237060526,,,,,,,,,22.799999237060533,2929.0,,,,,,,,37.70000076293953,,28.700000762939528,,,,,18.100000381469727,5.300000190734863,,,,,,,,,,
