,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,23.700000762939528,,,,,,,,61.90000152587893,,,,,,,,,,,,,,,,8.899999618530273,,,,23.528,,,,,,,,,,,,31.399999618530327,,,,,,,,,,,23.700000762939528,,,,,9.199999809265142,39.79999923706053,,,,,31.528,,47.59999847412113,,,,,,,,,,,,5.9000000953674325,,,,,,60.59999847412113,,,6828.0,,17.528,,,,,4.199999809265143,,,,,,,,,,,,,2028.0,,,,,,,,,,,,,,,,,,,,,45.59999847412113,,22.60000038146973,,,,20.200000762939528,,,,,,,,,,38.59999847412113,,,,,,,,,,,,,,,,,,,,,49.20000076293953,,,,,,,,,11.199999809265128,15.528,,,34.70000076293953,,,,,27.299999237060533,,39.59999847412113,,,,,28.528,6.300000190734862,,,,,,,,,,
1,1992,,,,,,,,,33.40000152587893,,,,,,58.20000076293953,,5928.0,,,,,,,,,,,,,,,,13.300000190734927,,,,57.20000076293953,,,,,,,,,,,,26.899999618530327,,,,,,,,,,,22.60000038146973,,,,,,34.29999923706053,,,,,33.09999847412113,,49.299999237060526,,,,,,,,,,,20.399999618530327,5.699999809265143,,,,,,57.528,,,57.70000076293953,25.528,15.528,,,,,3.7999999523162815,,,,,,,,,,,,,12.100000381469727,,,,,,,,,,,,,,,,,,,,,42.40000152587893,,29.899999618530327,,,,23.528,,,,,,,,,34.70000076293953,29.799999237060533,,,11.100000381469727,,,,,,,,,13.800000190734927,,,,,,,,,43.90000152587893,,,,,,,,,13.528,19.399999618530327,,,,,,,,25.799999237060533,,4328.0,,,,,35.40000152587893,11.100000381469727,,,,,,,,,,
2,1993,,,,,,,,,36.70000076293953,,,,,,61.70000076293953,,52.90000152587893,40.59999847412113,,,,,,,,,,,,,,,16.200000762939528,,,,52.528,,,,,,,,,,,1728.0,2528.0,,,,,,,,,,,31.799999237060533,,,,,30.60000038146973,33.09999847412113,,,,,4028.0,,50.59999847412113,,,,,,,,,,,33.528,9.899999618530273,,,,,,57.799999237060526,,,57.20000076293953,29.700000762939528,15.199999809265128,,,,,2.5999999046325732,,,,,,,,,,,,,29.299999237060533,,,,,,,,,,,,,,,,,,,,,45.40000152587893,,31.200000762939528,,,,27.200000762939528,,,7.4000000953674325,,,,,,39.09999847412113,35.09999847412113,,,18.200000762939528,,,,,,,,,14.300000190734927,,,,,,,,,46.09999847412113,,,,,,,63.40000152587893,,15.800000190734927,19.899999618530327,,,,,,,,25.799999237060533,,45.09999847412113,,,,,42.528,11.528,,,,,,,,,,
3,1994,,,,,,,,15.399999618530329,36.09999847412113,18.399999618530327,,,,,59.09999847412113,,58.299999237060526,52.799999237060526,,,,,,,,,,,,,,,17.399999618530327,,,,58.528,,,,,,,,,,,20.200000762939528,32.09999847412113,,,,,,,,,,,42.528,,,,,,37.29999923706053,,,,,43.90000152587893,,50.40000152587893,,,,,,,,,,,41.29999923706053,13.699999809265128,,,,,,62.528,,,60.799999237060526,29.899999618530327,17.29999923706053,,,,,5.4000000953674325,,,,,,,,,,,,,29.200000762939528,,,,,,,,,,,,,,,,,,,,,43.528,,3028.0,,,,28.799999237060533,,,7.599999904632572,,,,,,40.40000152587893,41.79999923706053,,,22.899999618530327,,,,,,,,,14.399999618530329,,41.79999923706053,,,,,,,52.59999847412113,,,,,,,56.90000152587893,,25.700000762939528,28.60000038146973,,,,,,,,25.700000762939528,,44.59999847412113,,,,,45.40000152587893,12.199999809265128,,,,,,,,,,
4,1995,,,,,,,,,3228.0,29.10000038146973,,,,,61.90000152587893,,62.40000152587893,45.59999847412113,,,,,,,,,,,,,,,16.29999923706053,,,,59.70000076293953,,,,,,,,,,,2828.0,27.799999237060533,,,,,,,,,,,3628.0,,,,,32.20000076293953,39.90000152587893,,,,,48.299999237060526,,51.09999847412113,,,,,,,,,,,50.59999847412113,14.699999809265128,,,,,,60.299999237060526,,7.800000190734862,62.90000152587893,2528.0,17.79999923706053,,,,,4.4000000953674325,,,,,,,,,,,,,22.399999618530327,,,,,,,,,,,1.2000000476837227,,,,,,,,,,43.59999847412113,,2328.0,,,,2228.0,,,7.800000190734862,,,,,,4028.0,48.70000076293953,,,29.700000762939528,,,,,,,,,12.300000190734927,,53.299999237060526,,,,,,,54.59999847412113,,,,,,,52.528,,27.799999237060533,32.90000152587893,,,,,,,,23.60000038146973,,35.59999847412113,,,,,43.528,9.699999809265142,,,,,,,,,,
5,1996,,,,,,,,,28.528,24.899999618530327,,,,,55.90000152587893,,61.299999237060526,4628.0,,,,,,45.40000152587893,,,,,,,,,16.29999923706053,,,,,,,,,,,,,,,28.200000762939528,26.528,,,,,,,,7.300000190734862,,,57.299999237060526,,,,,3028.0,3828.0,44.20000076293953,,,,47.20000076293953,,56.299999237060526,,,,,,,,,,,54.40000152587893,18.29999923706053,,,,,,58.59999847412113,,6.300000190734862,65.09999847412114,25.299999237060533,18.600000381469727,,,,,3.7999999523162815,,,,,,,,,,,,,27.60000038146973,,,,,,,,,,,1.8999999761581428,,,,,,,,,53.90000152587893,4628.0,,19.200000762939528,,,,1428.0,,,,,,,,,3928.0,49.90000152587893,,,32.59999847412113,,,,,,,,,16.700000762939528,,51.59999847412113,,,,,,,52.799999237060526,,,,,,,56.70000076293953,,30.10000038146973,24.799999237060533,,,,,,,,27.799999237060533,,4328.0,,,,,39.79999923706053,9.528,,,,,,,,,,
6,1997,,,,,,,,32.79999923706053,31.200000762939528,27.528,,,,,58.90000152587893,,60.528,5328.0,,,,,,,,,,,,,,,15.600000381469727,,,,,,,,,,,,,,,28.10000038146973,2728.0,,44.299999237060526,,,,,,,,,4928.0,,,,,28.528,39.20000076293953,,,,,49.20000076293953,,55.40000152587893,,,,,,,,,,,48.299999237060526,14.300000190734927,,,,,,55.59999847412113,,6.199999809265143,65.59999847412114,2428.0,21.399999618530327,,,,,2.5999999046325732,,,,,,,,61.70000076293953,,,,,34.59999847412113,,,,,,,,,,,1.3999999761581428,,,,,,,,,,44.90000152587893,,1828.0,,,,12.199999809265128,,,6.199999809265143,,,,,,3828.0,53.40000152587893,,,38.20000076293953,,,,,,,,,18.79999923706053,,50.299999237060526,,,,,,,51.70000076293953,,,,,,,57.70000076293953,,33.40000152587893,27.799999237060533,,,,,,,,2828.0,,40.09999847412113,,,,,38.59999847412113,8.699999809265142,,,,,,,,,,
7,1998,,,,,,,,,32.90000152587893,30.299999237060533,,,,,54.70000076293953,,61.70000076293953,5328.0,,,,,,,,,,,,,,,13.300000190734927,,,,,,,,,,,,,,,29.528,26.700000762939528,,,,,,,,,,,49.70000076293953,,,,,26.399999618530327,41.59999847412113,,,,,51.528,,54.528,,,,,,,,,,,50.09999847412113,14.699999809265128,,,,,,,,728.0,58.90000152587893,25.399999618530327,20.200000762939528,,,,,1.528,,,,,,,,,,,,,31.299999237060533,,,,,,,,,,,0.6000000238418584,,,,,,,,,,42.40000152587893,,17.899999618530327,,,,8.199999809265142,,,8.527999999999999,,,,,,37.40000152587893,44.09999847412113,,,40.70000076293953,,,,,,,,,21.700000762939528,,50.59999847412113,,,,,,,49.70000076293953,,,,,,,43.40000152587893,,33.528,3328.0,,,,,,,,27.299999237060533,,38.70000076293953,,,,,32.59999847412113,828.0,,,,,,,,,,
8,1999,,,,,,,,,31.299999237060533,29.200000762939528,,,,,49.299999237060526,,60.528,54.90000152587893,,,,,,,,,,,,,,,11.199999809265128,,,,,,,,,,,,,,,3628.0,20.29999923706053,,,,,,,,,,,48.90000152587893,,,,,28.528,38.70000076293953,,,,,50.799999237060526,,55.299999237060526,,,,,,,,,,,49.40000152587893,10.699999809265128,,,,,,48.299999237060526,,10.899999618530329,60.59999847412113,26.60000038146973,22.100000381469727,,,,,3.7999999523162815,,,,,,,,,,,,,32.29999923706053,,,,,,,,,,,1.2999999523162828,,,,,,,,,,37.70000076293953,,1928.0,,,,728.0,,,,,,,,,34.79999923706053,40.90000152587893,,,4728.0,,,,,,,,,30.10000038146973,,46.90000152587893,,,,,,,46.299999237060526,,,,,,,,,30.10000038146973,38.40000152587893,,,,,,,,26.200000762939528,,27.299999237060533,,,,,29.60000038146973,6.800000190734862,,,,,,,,,,
9,2000,,,,,,,,,28.299999237060533,25.799999237060533,,,,,50.799999237060526,,54.20000076293953,,,,,,,,,,56.70000076293953,,,,,,10.800000190734927,,,,,,,,,,,,,,25.700000762939528,47.299999237060526,21.700000762939528,,,,,,,,,,,45.09999847412113,,,,,27.528,39.70000076293953,,,,,50.299999237060526,,54.70000076293953,,,,,,,,,,,48.90000152587893,10.600000381469727,,,,,,36.79999923706053,,11.699999809265128,61.20000076293953,29.200000762939528,25.528,23.299999237060533,,,,2.299999952316284,,,,,58.40000152587893,,,,,,49.799999237060526,,22.399999618530327,,,,,,,,53.59999847412113,,,0.8999999761581424,,,,,,,,,,,,17.600000381469727,,,,5.300000190734863,,,8.899999618530273,,,,,,37.90000152587893,41.79999923706053,,51.528,46.20000076293953,,,,,,,,,,,53.90000152587893,61.40000152587893,,,,,,41.70000076293953,,,,,,,,,26.399999618530327,28.528,,,47.20000076293953,,,,,26.60000038146973,,20.399999618530327,,,,,26.700000762939528,628.0,,,,,,,,,,
