,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,,,,,,63.09999847412114,,,,,,,,,,,,,,,,,,17.600000381469744,,,,,,,,,,,,,,,,,,,,9.300000190734863,,,,11.899999618530348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.29999923706055,,,,9.699999809265146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2747.0,,,,,,,,,,,,,0.6000000238418585,,,,,,,,31.20000076293955,,
1,1992,,,9.800000190734863,,,,,,,,,,,63.547,,,,,,,,,,,,,,,,,,,,,,,,13.800000190734947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.40000152587896,33.59999847412114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.29999923706055,26.29999923706055,,,,,,,,,,,,8.399999618530272,,,23.399999618530348,,,,,,42.09999847412114,,,,,,,,,,,,,,,,25.29999923706055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.399999618530348,
2,1993,,,,,,,,,,,,,,5947.0,,,,,,,,,,,,,,31.70000076293955,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.600000381469734,8.199999809265144,,,,,,,,,,,,,,,2747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.399999618530348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19999980926515,,,,,,,,,,,,,,,,,,,,,,23.10000038146975,,,,,,,,,,,,,,,,,,31.70000076293955,,,,,12.547,,,,,,,,,9.547,,,,,,,,,,,3847.0,,,,,
3,1994,,,,,,,,,,,,,,60.79999923706055,,,,,,,,15.100000381469748,,,,,,,,,,,,,25.20000076293955,,,,,,,,,23.70000076293955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.29999923706055,,,,,,,,,,,,,,,5.400000095367434,,,,,,,,,,,,,,,,,,,,,,,,,33.200000762939545,,,,,,,,,,,,,,,,,,,,,,13.899999618530348,,34.200000762939545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.0,,,,,,,,,,,,,,,,,13.600000381469748
4,1995,,,12.199999809265153,,,,,,,,,,,57.40000152587896,,,,,,,,,,,,,,,,,,,,,,,,11.600000381469748,747.0,,,,,,,,,,,,,,,,,11.600000381469748,,,39.400001525878956,,,,,,,,,,,,,,,,,22.299999237060547,,,,,,,,,,,,29.547,,,,,,,547.0,,,8.699999809265144,,,,,,,,,,,,,4.599999904632576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.29999923706055,,,,,,,,,,,,,,,,23.79999923706055,,,,,,,,,,,,,,
5,1996,,,,38.200000762939545,,,,,,,,,,56.40000152587896,,,,,29.899999618530348,,,,,,4.800000190734865,,,,,,4747.0,,,,,,,,,25.70000076293955,,,,,,,,,,,,5.300000190734865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.299999237060547,,,,,,,,,,,,,6.699999809265145,,,,,,,,,,,,,3.7999999523162846,,,,,,,,,,,,,39.200000762939545,,,,,,,,,,,,,43.29999923706055,,,,,,,,,,,,,,6.400000095367434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.399999618530348,,,,,,,,,,,,,,,16.799999237060547,,,,,,,21.100000381469744,
6,1997,,,,,,,,,,,,,,51.90000152587896,,,,,,,,,,,,,,,,,,,,,,35.900001525878956,,,,,,,,,,,,,,,,,,,,,,15.399999618530348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7000000476837247,,3.9000000953674334,,,,,,10.69999980926515,,,,,,,,,,,,,,39.79999923706055,,,53.547,,,,,,,,,,8.199999809265144,30.79999923706055,,,,,,,,,,,,,,6.699999809265145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.20000076293954,,
7,1998,,,,,,,2.7999999523162846,,,,,,,53.70000076293954,,,,,,,,647.0,,,,,,,,,,20.100000381469744,,,,,,7.199999809265145,,,,,,16.700000762939545,,,,,,,,,,,,,9.899999618530273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.60000038146975,,,,,,,4.099999904632576,,,,2047.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.599999904632576,,,,,,,,,38.79999923706055,,,,11.100000381469748,4647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.547,,,,747.0,,,,,,,,,,,,,,,,
8,1999,,,,,,,,,,,,,,53.29999923706055,,,,,,,16.700000762939545,,,,,,,35.200000762939545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.700000762939545,,,,22.70000076293955,21.299999237060547,,,,,,,,,,4547.0,24.399999618530348,,,,,,,2.2000000476837247,,,3.7999999523162846,,,,,,,,,,,,,,,,,,2.099999904632575,,,,,,,,,,,,,11.300000190734947,,,,,,,,,,,,,11.699999809265153,,,,,,,,,,,447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.79999923706055,,,,,,,,,,,,,,6.099999904632576,,,,31.899999618530348,,,,22.20000076293955,12.600000381469748
9,2000,,19.600000381469744,5.300000190734865,,,,2.9000000953674347,,,,13.199999809265153,,,41.400001525878956,,,,,,,,,5.099999904632576,10.300000190734947,,,,,38.79999923706055,,40.547,,,,24.10000038146975,30.399999618530348,,7.300000190734862,4.900000095367433,2847.0,,,,,,,,,,,,447.0,,,,547.0,,16.799999237060547,,,44.40000152587896,,,,,,,10.100000381469748,16.547,,,,,,,,,22.299999237060547,13.600000381469748,15.699999809265153,,,,,,,,25.70000076293955,,13.899999618530348,,,,,4.547,,,,19.600000381469744,,,,,38.400001525878956,,,,,17.399999618530348,27.60000038146975,,,,,,,,2347.0,,,,,32.700000762939545,,,,,,12.600000381469748,,,31.70000076293955,21.200000762939545,,,,,,44.700000762939545,,,,,,,,,5.199999809265145,,,,,4.547,,22.399999618530348,,,11.547,,21.547,,28.20000076293955,3.599999904632575,,,,,,,,,,2247.0,,,,,40.200000762939545,12.600000381469748,9.547,,,,,,,,,,4.400000095367433,,,,2147.0,4.800000190734865,,,,,,,,26.60000038146975,,,,,
