,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,43.50729854029,,15.290551609389999,90.37303222535999,2.69,0.9511476665,,1.7881719179400002,1.28324099151,11.67967481701,,1.0,0.37633571941,36.176890378559996,2.002,,34.14694905185,2,282.1069088088201,1,22.69400198413,3.5533848205900003,,2.00414167756,0.00033958218,1.7153660913100002,0.016737156569999998,282.1069088088201,181.36950748146,718.33333333333,282.1069088088201,1.14618008266,71.40833333333,,282.1069088088201,282.1069088088201,345.24984818684,5.33496693801,568.69284420137,281.91193598974,0.43312737845,282.1069088088201,122.68085581811,282.85606087832,,1,0.4644285,,6.39577413028,177.72099999999998,2.7,12.98664272309,,,25000,3.13657366735,8.033122708839999,282.1069088088201,2.07196545734,,2.038536,,,1.47075056238,4.045630964140002,5.63952519763,,282.1069088088201,8.72904726492,,1.65876622436,0.03064352192,182.39708866617,,2.7,4.9440309438800005,753.35946625289,56.28625641026,111.81066666667,5.01936774605,,5.22890758547,7.771166666669999,74.67883605503,62.58427767351,,22.69400198413,1946.8636723381305,70.42818640236,0.3108573133800001,0.6209144583899999,,2.26528560606,1239.53526984911,12.001937076119999,134.51396259959998,0.6783177785600001,,27.37110290796,1.28375583333,736.4814625290201,0.28780520343000005,,702.0833145792302,,,929.21880676045,2.759185833490001,46.43872809204,0.28072831728000003,,,34.14694905185,8.01851675077,,358.59473645902,2.74427889362,2.7499276005400004,10.20911243274,282.1069088088201,0.31747568124000003,75.60187557439002,15.49624086194,3.01832100116,1,,,8.046199101180001,8.63082790299,1.33212157418,6.2837,2.759185833490001,34.798081458609985,1.86936931034,,1.72786818747,8.35917522515,282.1069088088201,9.911293720069999,6.48331984441,0.38400938735,23.63725256054,1,0.99521145155,1317.32382363129,0.7725,26.959774945560003,1.0507975914,144.05266580688,3.64192911255,0.005894664029999999,,124.03386815103998,2.39610963661,1240.61333333333,200.51266666667,3.75189289505,282.1069088088201,5.223587900919999,289.62575256413,1.7281290215799998,,56.874837616,2.6967325902200003,,2.759185833490001,,103.8517291549,41.31700466623,,2.7,2.7,2.7,,,,0.006923189220000001,0.001785,2.759185833490001,6.04501826338,1.43414671639,11.225,,216.82714594182,25.52800127439,,282.1069088088201,1.28285551321,4.027342934669998,0.91569226347,0.00416296898,,733.25392168125,,,3.6751884058,0.56669195823,1,2.05047086721,,111.675,0.05660420346,10024.707816009799,,,16.495,0.06604975174,
1,1992,43.50729854029,84.90540003079,18.07437292431,412.3770202122,2.69,0.99172218223,1.1144652510700002,1.7996937864700002,1.36132059989,11.00054686853,0.0120008951,1.0,0.37640209941,38.50448833836,2.002,,32.159440064459986,2,264.69180075058,1,28.107497321820002,3.87086087768,,2.09275933053,0.00178729845,1.61747803761,0.02196195584,264.69180075058,208.13847374442003,1266.58333333333,264.69180075058,1.2088194115100002,68.01758333333,,264.69180075058,264.69180075058,352.82470523559,5.5281200687,682.64392584554,264.50886405187,17.938413044849998,264.69180075058,134.77927280662,265.39470594049,0.25805804648,1,0.44954858333,,6.041073236240001,177.72099999999998,2.7,13.070296261689998,,,25000,3.32022966326,8.37799585632,264.69180075058,2.80516096338,12.380834948039999,2.759902,,,1.50289331252,4.49906213925,5.29548637618,,264.69180075058,8.891545133080003,,1.56216174791,0.03641313788,190.96789478088002,,2.7,5.08338928735,901.4047312920097,106.67557692308,125.0025,8.153266597030001,,5.40716579861,7.740583333330001,78.92862642072,60.73793219318001,,28.107497321820002,2029.38824189096,68.39019300991,0.3108573133800001,0.5878489575,,2.45864367667,1232.47903019324,22.865826641410003,126.7324488205,0.67470693111,,32.10446990871,1.36164833333,782.80864530397,0.29420203746,,716.08331420526,,0.6931345186200001,1714.62001974758,2.85347876749,46.43872809204,0.28155335412,3.22,,32.159440064459986,7.986551544119999,,364.18393971848997,3.52739577691,2.54716284977,10.52426791277,264.69180075058,0.31323357081000003,80.28944557047,15.4080292684,3.0949475516,1,,,35.98778462145,8.40181719838,2.33700386938,6.104533333330001,2.85347876749,39.900336725500004,1.7590004438799998,,1.85852858961,9.78636305488,264.69180075058,17.301570740129993,6.21758099238,0.38536994244,25.0124986315,1,1.00875774853,1491.3604739732,1.24668512767,25.190136614590006,1.35387144007,135.18551115346,3.64155227743,0.03037709627,0.32824688496,132.72896062661002,2.46269801804,1232.40583333333,321.33708333333,3.7508471822300007,264.69180075058,5.05834193861,489.77170761064,1.62974676109,,83.20632024849,2.9086666166,,2.85347876749,,102.54832142543002,43.67279112554,,2.7,2.7,2.7,,,,0.09697708657,0.001785,2.85347876749,5.8314417780299985,1.406816451,11.225,0.00246851797,292.34042247004,25.41144683246,,264.69180075058,1.36558605815,4.027342934669998,0.8765630379899999,0.00684711792,,1132.6665383883,0.00839569726,,3.67387434124,0.56963533105,1,3.07399559621,,113.39166666667,0.06811762628,11188.433660840801,,,16.495,0.17597043564,
2,1993,43.50729854029,115.56161798174999,20.1539378037,3853.2172806704893,2.69385061798,0.99897867887,9.10516998992,1.79363452773,1.4713047354,11.64375118185,0.02095912783,1.0,0.3773880481800001,39.18529491298,2.00147107843,,34.56454561924,2,283.16257950002,1,31.192341804690003,4.24858806701,,2.4065177493400003,0.032091360810000004,1.6115340768200002,0.02672487901,283.16257950002,241.9031940782,2689.0,283.16257950002,1.29028534256,80.4265973625,,283.16257950002,283.16257950002,404.39047826087005,5.78943477477,786.2382547524901,282.96687707423,113.76468629904,283.16257950002,142.46016058998995,284.5852809823,3.50791612744,1,0.49740516667,29.05688545906,6.4851674391400005,177.72099999999998,2.7,12.8838696396,,,25000,3.34287075872,8.726333489349999,283.16257950002,5.0047474815,13.52166132347,4.928275337480001,,,1.54069163982,5.72830134732,5.66358905593,,283.16257950002,8.931881524,,1.65368266516,0.05407243784,229.39161246,,2.7,5.5941031289400005,954.8583525786901,155.10620512821,126.73044166667,11.388756977829999,,6.3966173819500005,7.735583333330001,91.93854301270001,67.69555051681,,31.192341804690003,2085.49059617918,586.70987947686,0.3108573133800001,0.6817948648800001,,2.82302538585,1571.86091944288,24.86493700318,111.21023211149,0.68970968615,5.11440765117,63.13228609856,1.47056,802.47854558787,0.30275073405,6.038164774809999,716.24998086748,,0.68280934809,1742.2519371789099,3.26930520971,46.43872809204,0.30437021879,4.34406333333,,34.56454561924,7.984054916160001,39.16199842765,373.91701422466,4.33776996161,2.5745628184,10.9104453979,283.16257950002,0.37546908755,112.6688437886,17.51725606986,3.11481498526,1,,,299.08946750288,9.20065515402,3.67955043627,6.156966666669999,3.26930520971,45.401586019119996,1.85711134638,,1.84790544736,8.50581657469,283.16257950002,22.069412620479998,7.10449769982,0.38547594736,28.067959094050003,1,1.01534964481,1730.4770650842902,1.98687690556,27.03403703181,1.81420638142,160.92447116350002,3.64410220999,0.07519268042999999,0.99894632505,143.5110304522,2.56484335631,1573.66586666667,429.85416666667,3.752993633540001,283.16257950002,5.146028440199999,556.47152642897,1.61626536875,30.87998983456,115.91572300786,3.16595840608,,3.26930520971,,127.50404221564,47.99989557846,,2.7,2.7,2.7,,,,0.1585706169,0.001785,3.26930520971,7.789375901880001,1.4778419670299998,11.225,0.010357405,403.83917199949997,25.3249288067,,283.16257950002,1.47732903051,5.13214917836,0.98516806261,0.01096721877,1.985,1191.94574186886,0.06030665269,,3.67529604273,0.66561925157,1,3.96780141321,,121.48522855103998,0.09048869657,10625.184333525,,,16.49154700865,0.4626391811,
3,1994,43.0,104.31215959544001,35.04934376693,122750.80418626401,2.69927867181,0.99899760885,288.6562224307,1.78854432446,1.3671402938,11.409252884430002,0.2801509691,1.0,0.37705427881,39.8955329518,2.00519097665,3.28242575167,33.421914015940004,2,555.2046956557,1,31.40004797588,4.61534333239,,2.67181538028,0.63829492675,1.5312392543399995,0.05411836455,555.2046956557,255.50245158808997,2545.25,555.2046956557,1.3659521166600002,81.89083333333001,,555.2046956557,555.2046956557,420.19794207603996,8.61002142465,826.35130459878,416.11456096499,0.02567981882,555.2046956557,156.23298148237,545.21111878372,5.87863804245,1,0.492191,28.71848151703,6.354597738250001,177.72099999999998,2.7,13.08502321978,,,25000,3.37974707361,8.722046967739999,555.2046956557,5.47018899727,13.204901967260001,5.2281269985000005,,,1.4634536198,5.21587698491,5.54637639752,,555.2046956557,9.2231936172,1.99232595694,1.6221041047100002,0.09034976162,242.24202287236,,2.7,5.74389369118,979.3811761278,198.34064102564,138.29024083333,14.322880706389999,,8.21193752562,7.728416666669999,105.19988202679001,69.96611985539,,31.40004797588,2158.76586125227,1747.9710827164001,0.3108573133800001,0.66807953225,,2.9888756399400003,1611.6413961039002,32.82137556112,102.19980507716998,0.69925526617,34.665466233109996,55.9248065437,1.36775083333,801.40424328691,0.29833616051999995,10.92689836636,717.6666474963,,0.56552664527,1680.08020175926,3.54869604351,46.43872809204,0.34836821014,3.97775,,33.421914015940004,7.983684766919999,40.01465986342,545.07771175484,7.9131093513,2.6237004995599995,11.536532710280001,555.2046956557,0.37117876946,122.12259498923001,17.99459821834,3.3847361581700004,1,,4.14538197907,400.65062347858003,9.1544544835,5.823517884069999,5.9749125,3.54869604351,48.29051505004001,1.81878535354,,1.68576636692,6.69144735829,555.2046956557,21.994696969699998,7.05426588635,0.38501984127,30.542921611300002,1,1.07178624573,1867.65903030279,2.19608128673,26.31891991342,2.27326843356,165.9548234676,3.64234917498,0.16520835502999998,2.19433776272,141.51050045015,2.5313262424,1612.4449833333301,732.62816666667,3.752297880980001,555.2046956557,5.04247885885,575.37933287537,1.52715233782,32.09928342823,131.84995453368,3.25368025575,,3.54869604351,,133.90044408762,49.17101384968,,2.7,2.7,2.7,,,,0.28825770866,0.22246075759,3.54869604351,7.70828147704,1.3670484722999998,11.225,0.02449434817,512.45327694648,25.15925610139,,555.2046956557,1.36804114981,5.67567288464,1.0171755913200002,0.0299036177,19.198333333329998,942.31652642496,0.36440494237,,3.67475925089,0.65304785375,1,5.0540919039,52.00396825397,115.02054069421,0.14628770752,10945.1660209758,,,30.28066504041,0.67205068391,
4,1995,36.56714462366,101.88901877986,47.18998238142,516812.6878357461,2.69989888011,1.00078286279,405.91591162266997,1.78906412534,1.34953648402,10.07466232433,0.99418131588,1.0,0.377,39.94192476002,2.01033822111,11.830911992599999,29.462808798390004,2,499.14842590130996,1,32.41393188641,4.80664508884,,2.76606264931,0.91686423944,1.41756820613,0.06718161585,499.14842590130996,246.72790814341,2450.8333333333303,499.14842590130996,1.3722125509799998,76.85333333333,,499.14842590130996,499.14842590130996,396.81015227586,8.35131628239,912.5887498588401,374.10153358843,0.16878970920000005,499.14842590130996,179.67844992628002,498.45254169804,5.12665274641,1,0.45242016667,26.453886181690002,5.60294261717,177.72099999999998,2.7,13.72334294981,,,25000,3.3940151264200003,8.72253129117,499.14842590130996,6.16418064804,11.48648193307,5.8853368334,,,1.40609791304,4.365665857330002,4.98649901578,,499.14842590130996,9.49403977665,1.52281165694,1.43266146716,0.11959493891,231.39549054599,,2.7,5.78668767781,-193765.901807394,278.0391025641,141.98916666667,18.8611325538,,9.32260444899,7.73583333333,125.65552732292,64.70232527919,,32.41393188641,2243.65226566911,2492.5906954380803,0.3108573133800001,0.62321851814,,3.0084561257,1627.72120153397,34.941914928009986,94.05986682038,0.7000568299500001,61.00108279221,51.33269811469,1.3490325,768.64885469603,0.29861651531,10.81717021143,804.6908200717198,,0.53514569531,1620.91157240459,3.62569853739,49.83833333333,0.41814493435,3.99996825397,,29.462808798390004,7.99018210365,35.03731251252,787.55558520767,15.166080931079998,2.50663650558,11.72,499.14842590130996,0.34675999342,128.50930938265,17.72904966984,6.411974386719999,1,,4.49574424799,431.79813419913,8.497782798480001,8.76412299658,5.667041666669999,3.62569853739,50.50358119236,1.6040445111,,1.52378964965,7.51620768505,499.14842590130996,21.97691745673,6.33567649476,0.38508206286,31.620231158640003,1,1.27957295301,1876.7511047979801,2.25289157099,25.67633853284,2.41368962137,149.90335727226002,3.64072943331,0.20332109279,4.55877685002,202.52305221014998,2.46978346411,1628.93315833333,1420.34183333333,3.75088313806,499.14842590130996,4.7794076071300005,740.5934457624701,1.4168329004299998,29.74976742973,120.6836112042,3.2594600075700004,,3.62569853739,,124.66731545266,50.835205745340005,,2.7,2.7,2.7,,,,0.5781636080899999,0.44277198914,3.62569853739,7.135000494860001,1.18165724324,11.225,0.12285870333,561.83463693613,24.917823118610002,,499.14842590130996,1.31779598329,5.806744373080001,0.94265717893,0.045992512080000006,110.91666666667,957.53336587038,1.5033309151299998,,3.67290079365,0.6334762392600001,1,6.31977696099,35.30862144347,111.87698455158998,0.17615453903,11005.6371008219,,,12.0,0.85454855456,
5,1996,47.5,101.80283426658,54.50889501057,110941.42690395401,2.69992753623,1.00014423741,414.04923013517,1.7892610232799997,1.2775217166,10.58121302387,0.86232249174,1.0,0.377,41.40093810779,2.01038224638,14.37508940335,30.95829264697,2,511.55243027252,1,35.39530988064,5.08350911679,,3.31256260675,1.0047338925,1.40988635187,0.17824202899,511.55243027252,269.03912578738,2624.0833333333303,511.55243027252,1.36353833208,82.59146666667,,511.55243027252,511.55243027252,412.27047168893995,8.31423109041,1035.93435970732,383.39808110238,1.33859573315,511.55243027252,207.85217274845002,511.25691203965,5.35394825874,1,0.46631125,27.14368139626,5.7964124019700005,177.72099999999998,2.7,13.7886428493,,,25000,3.39608594093,8.74429798764,511.55243027252,6.35770589191,12.12851565186,6.1896730072500015,,,1.40307073603,4.590487867019999,5.11399278264,,511.55243027252,9.80037059179,1.256132859,1.5044210623299998,0.16347937757,240.72619246424,,2.7,6.08824078989,997.5312284334,405.745,140.375,15.840561303979998,,11.488011230320001,7.73425,152.1507198695,66.53110304911999,,35.39530988064,2327.33090846352,3000.0,0.3108573133800001,0.6246598450999999,,3.18564778687,1541.78850688563,36.92608172799,108.79413244243999,0.70933313022,67.27179772753,56.50295191825,1.2778633333299998,801.4743101825702,0.29952419929,12.76528721088,921.02166666667,,0.55154451215,1571.87710560575,4.29712417106,5.47750025385,0.43679976921,4.014487159380002,,30.95829264697,7.99024765089,36.97899677822,769.40677740134,15.218542301120006,2.51513066535,11.72,511.55243027252,0.35402514321999995,136.85888998055,19.62582744369,7.59371001945,1,,4.60959358387,464.87132280883,8.68655091913,11.057685729189998,5.917566666669999,4.29712417106,56.2377865299,1.68513500769,,1.4541647436899998,8.4054040106,511.55243027252,21.92289636127,6.45447524939,0.38498880105,36.02613005051,1,1.31889325612,2040.46139657444,2.4487000627400004,26.202848775020005,2.6956559006200003,154.18874366726,3.64095905797,0.30827612546,5.123480852,254.50284622026,2.46646268599,1542.9469666666696,2203.1635833333303,3.75089338807,511.55243027252,4.98274539965,902.90540095116,1.40969729516,30.65116065547,135.25247918157,3.5197955704500004,,4.29712417106,,126.53297740997,55.15847661397,,2.7,2.7,2.7,,,,1.2449559357200002,0.40101835371,4.29712417106,6.70530276052,1.23624394332,11.225,0.2955,552.42692491687,25.34846281134,,511.55243027252,1.22804654449,5.91467020359,0.97659562316,0.08166295642999999,3257.6666666666692,1034.59679543886,1.83191282154,,3.67218398974,0.6405422005,1,7.892847913660001,40.04680290221,111.50692576777,0.4157283645400001,11017.337991979799,,,63.39970355731,1.18857725469,
6,1997,47.5,148.67271567006,57.61362561713001,228814.83451808602,2.69692510509,0.99999221014,490.85594983621,1.79310784397,1.34796051496,12.1993686257,0.79778121392,1.0,0.377,43.51248578957,2.011,120.14205251271002,35.77007828753,2,583.6693723533999,1,36.32045787926,5.252100656740001,1.71574533891,3.63511293178,1.07767740919,1.47868953981,1.58901654409,583.6693723533999,327.3213241442,2946.25,583.6693723533999,1.38486574205,93.17666666667,,583.6693723533999,583.6693723533999,419.24101595144,8.289856415080001,1140.79770058504,436.12622476194,3.8281332090800007,583.6693723533999,232.63544992735,583.29230519481,6.10102225349,1,0.5138973333300001,31.680278170679998,6.604519066440001,177.72099999999998,2.7,14.17362433771,,,25000,3.3922454122000003,8.754147978230003,583.6693723533999,6.7591997417,13.867972796160002,6.4940521326999985,,,1.44244927533,5.19128539118,5.83522367699,,583.6693723533999,10.02055258852,1.2974321706999998,1.7336706004099998,0.20357110444,273.04355929246003,,2.7,6.040533282669999,1077.6304981293,582.78310445351,142.40083333333,16.47008655078,,12.98702132048,7.74225,186.71306315484,70.76866015748,,36.32045787926,2879.7745953321996,3000.0,0.3108573133800001,0.65934762397,,3.44252539996,1702.63294199762,35.2404747561,121.06162134544,0.70801799752,75.44886381282,58.88012709392,1.34738,948.99981342932,0.30343588054000004,17.368497799289994,1259.97916666667,,0.58080120577,1539.3625525280304,4.606554329790001,50.57,0.4608661153100001,3.99996195652,,35.77007828753,7.98819878203,44.98633588721,925.58042070194,16.278179112550006,2.81546286467,11.728977317850001,583.6693723533999,0.38176506865,151.14294173155,20.95631563696,7.919179724260001,1,,4.6243735069400005,643.28982602892,9.49544092791,11.29326892139,6.241833333330001,4.606554329790001,57.03793784792,1.95075391728,,1.5134304577000002,9.41384104719,583.6693723533999,21.890196556210004,7.07885682995,0.385,41.05595628255,1,1.43760099283,2163.6629848931602,2.66003635619,29.56925295815,3.27734243208,175.27255631627,3.64065952695,0.7111515287100001,5.78341223101,303.33029053955,1.35631428037,1703.09690833333,4552.5059166666715,3.75097289432,583.6693723533999,5.03199065029,962.47916760736,1.4854068432799998,33.5345187551,159.11269340617,3.66167162667,,4.606554329790001,,146.39081018257,58.92144078204,,2.7,2.7,2.7,,,,1.5683906687399998,0.40156615229,4.606554329790001,7.6395890128,1.4504101527700002,11.225,0.56233333333,603.98369045266,30.992783405479997,,583.6693723533999,1.26088368399,6.15956793478,1.10434116083,0.15240601826,4143.4166666666715,1070.1062734994698,1.86152353412,,3.67219318966,0.61018369707,1,9.37676069925,66.44016077702,115.81550696013001,0.4867347227100001,11667.9587777621,,,121.59388672949,1.2973959941,
7,1998,47.5,152.49958201319998,58.7507749393,273251.93226096104,2.69710179434,1.0,504.92442673911,1.7900210286099998,1.59150750917,12.380195913329999,0.7736605652799999,1.0,0.37699206349,46.544716967810004,2.01103427128,46.46735750964001,36.29887250612,2,589.9517745673301,1,41.23744901656,5.51542041533,1.7410866456,4.21387774362,1.16015927991,1.67143838462,1.7544625930200002,589.9517745673301,383.62160187865,3744.416666666671,589.9517745673301,1.48337465964,98.1575,,589.9517745673301,589.9517745673301,460.18174885500997,8.27908977037,1425.4173947001098,444.56267080699007,4.10566833143,589.9517745673301,256.63564013191,589.50964651562,6.362811975980001,1,0.5178364529,32.25831158087,6.701899054990001,177.72099999999998,2.7,15.173759604979999,,,25000,3.40783584369,8.75522204822,589.9517745673301,7.361930416669999,14.07043825834,6.963732089139999,,,1.9698776433200005,5.345962011419999,5.89870147751,,589.9517745673301,10.62553473555,1.39157098755,1.7595926595099998,0.23197588744000006,295.37173543273997,,2.7,6.36829117103,1229.96026569558,589.9517745673301,150.51916666667,16.91936166898,,13.40694469148,7.74658333333,214.29371068605,70.99836015434,,41.23744901656,10193.9768178681,2967.53224206349,0.3108573133800001,0.70220399326,,3.79340474544,1736.5390276209305,36.20309442405,130.76254056089,0.70865392198,78.29197618203,60.34298560136,1.59182833333,1398.07401170086,0.3047970293,20.7208895902,3298.3333333333308,,0.5898027033300001,1515.6545538733599,5.52822745781,41.5075,0.46757443745,4.0,,36.29887250612,8.001055455960001,54.70955399409,1041.77177344093,30.86095733774,3.92054807312,11.76947060502,589.9517745673301,0.38698192979,186.8625531597,23.894787972899998,9.14425317303,1,,5.373974235,814.77787341289,9.585367232100001,11.76161846101,6.343158333330001,5.52822745781,62.11449435151,1.98331114875,,1.8678078242900005,10.55044205219,589.9517745673301,21.89,7.550206581339999,0.3849880952400001,47.269842838319995,1,2.07334044221,2702.18943011246,2.92518306081,40.757194934590004,3.49128528609,180.20649133023,3.64098233421,0.88685271778,9.9388467109,325.98456093858,0.34137237038,1736.20738333333,6883.24283333333,3.75125105794,589.9517745673301,5.253523647190001,1533.343438213,1.6715951612399995,35.39799146433,166.35519022571,4.45876198741,,5.52822745781,,149.37026833553003,64.65972465337,,2.7,2.7,2.7,,,,1.99865049248,0.4016064257,5.52822745781,7.95472066707,1.4499644692299998,11.225,0.776625,650.9713820659999,41.22877917372,,589.9517745673301,1.48423670341,6.17817210145,1.13247734801,0.26168865597,4890.1666666666715,1235.3831998557,2.44731950013,,3.673,0.6035108152,1,10.460591387480001,94.48047778368999,127.87309338598,0.5454426906600001,13255.2428826307,,,129.91108918405,1.81806447158,
8,1999,46.61953107719,137.46766719995,66.13413284554,168333.89072991,2.69729939143,0.99965568339,535.0625,1.7900719697,1.54966720695,12.915415572650002,0.82484028146,1.0,0.377,48.95126351245,1.9861119824,250.11278839979,37.86296882882,2,615.6991319738099,1,43.0578457055,5.79055455173,1.81641058741,4.61168226402,1.81431326071,1.69253759803,1.82812955408,615.6991319738099,557.6645768265,3807.8333333333294,615.6991319738099,1.48533977822,103.50242970614,,615.6991319738099,615.6991319738099,509.07497659044014,8.27834202585,1758.15718837443,455.67879238033,4.3495700983,615.6991319738099,283.95838819484,615.2676089191599,7.12907304005,1,0.54133213188,34.61785119204001,6.97960682367,177.72099999999998,2.7,15.91855185002,,,25000,3.41693143626,8.724809307360001,615.6991319738099,8.15263333333,14.684637547049999,7.76055795847,,,1.96987531478,5.5806887108700005,6.15669222191,,615.6991319738099,11.497547162230001,2.01633500148,1.83616414141,0.26747636222,305.81888338353,,2.7,7.326816689410001,1337.53617800678,615.6991319738099,177.995,16.96641166217,,14.239066991339998,7.75908333333,237.18979421544998,72.38979316455999,,43.0578457055,7854.986141696469,1962.45258975626,0.3108573133800001,0.73915504284,,4.13820210019,1817.37535257074,38.89512119565,113.7487823499,0.71006383791,119.66409015484,70.33253476536,1.54995,1188.2844549846302,0.30440449213000004,38.904420211950004,7102.025,,0.58642730216,1505.05312472552,6.112958403130001,41.9025,0.46381076862,4.0004021151,,37.86296882882,7.98365952224,57.13468653121,1214.51339858209,43.93182267943,3.80003066378,11.42381637022,615.6991319738099,0.39850219601,209.21264565099997,25.14816021237,9.556952435060001,1,,10.504207024,988.8932872200301,9.79480647704,12.644160078660002,6.28579166667,6.112958403130001,68.11183872498,2.06845329616,,1.88934426481,11.746958298830002,615.6991319738099,94.50988871636,7.7993137391,0.38498188406,51.28692137995,1,2.5782993271400003,3115.0635042192102,3.38224427348,39.08862750565,3.96601365519,188.17182159797,3.64063145116,1.52901947032,24.855525291739998,332.70683198052,0.6947230407100001,0.93862727583,7118.95833333333,3.7507584345,615.6991319738099,5.32838505945,1769.2624186385,1.69452737468,41.42637584071,182.71168826619999,4.88857084541,,6.112958403130001,,156.16312583678,70.62660955047,,2.7,2.7,2.7,,,,2.51372109902,0.8340842642199999,6.112958403130001,8.26457545878,1.50199378725,11.225,1.2377916666700002,739.1882779660001,37.84462633321,,615.6991319738099,1.61260545067,6.18202141242,1.18533345019,0.4210064739,5200.0,1456.06096939896,4.19783184955,,3.6728809367,0.6181365954300001,1,11.326929296849999,124.62432077391001,129.17163704985,0.60592949918,13934.255537518,,,145.28009530834998,2.43361665177,
9,2000,47.35757473118,143.85153829836,73.93433251066999,9.42733109041,2.68820804316,0.9998913467,539.52166666667,1.7896834886099997,1.7252412573500002,14.931393149660002,0.89490735624,1.0,0.377,52.16336062488,1.98447968034,716.87683048765,43.77300509678,2,711.9762744308299,1,44.94066427787,6.14992400715,2.10534812678,5.098601309559999,1.82996878647,1.7244251976299998,2.11376441943,711.9762744308299,712.6684209305798,3840.75,711.9762744308299,1.4850900229,119.68714989167,,711.9762744308299,711.9762744308299,539.60390582847,8.27849208231,2090.22292819499,531.3661372221202,19.88583838384,711.9762744308299,307.12070588651,711.7787912004401,8.28820393532,1,0.62185921443,38.61618011717,8.08799561139,177.72099999999998,2.7,15.952118875479998,,,25000,3.5380313515599995,8.73752487217,711.9762744308299,9.625,16.98553775409,8.09493839011,,,2.12706229898,6.45185824393,7.11807186853,,711.9762744308299,13.04137644535,1.97440453909,2.12325291816,0.55940663859,365.57748248400003,,2.7,7.75643222285,1668.5510728401998,711.9762744308299,182.43,21.16805374475,,14.82030948146,7.79233333333,282.42443168486,78.84063706945,,44.94066427787,8404.045649036949,1751.34836803595,0.3108573133800001,0.85454163542,,4.07827511999,2100.96854674854,42.41714555728,107.80143072809,0.71044703871,142.19085730363,76.18742685394,1.72482666667,1131.49854789353,0.30687325663000004,47.72159346083,7887.64333333333,,0.60600151515,1510.78335507246,6.94292536075,40.9025,0.51218961331,4.00039497381,,43.77300509678,8.01857159169,65.19079244631,1319.52210508031,59.38487452553,3.80003464772,11.69799707086,711.9762744308299,0.43831319785,239.21725864232,26.19712203165,9.46030536734,1,,12.44688379677,1073.66501192437,10.62598356155,15.5694950938,6.516725,6.94292536075,71.04474477421998,2.39124295909,,2.20144510137,12.25664820331,711.9762744308299,104.97267439142999,8.80237315782,0.385,53.91905721893,1,2.76097316735,3490.6373960882106,3.48842988072,44.25936018257,4.34470324675,217.54158109668,3.6406061206,2.16930216999,28.15419723948,353.80240175939,3.27483881716,1.0854008333299998,7978.17166666667,3.75084592823,711.9762744308299,5.69948406895,2051.61755663555,1.7245284436,46.27156407632,224.45463191896,5.07850411606,,6.94292536075,,180.54324069343,76.82271399555,,2.7,2.7,2.7,,,,2.56316402305,1.32249051548,6.94292536075,9.16800004627,1.6881855503799998,11.225,2.07625,800.0615330321901,40.18670081796,,711.9762744308299,1.74557766607,6.22693188014,1.37027431261,0.6250769786399999,5200.0,1648.14554473305,5.47194093105,,3.67299603175,0.6606655136199999,1,12.10026709682,236.42151142249,137.86109672815002,0.6798711933,14166.814058284699,,,159.6969525774,3.27304003309,
