,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,21834.1346381757,,,82407.9343063263,,,,,,,,,,,,,,,,54865.119341909005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514240.787952925,,,,,,,,,,,,100617.18949627901,,,,,,,,,,,,,320357.152261228,,,,,50062.9908813026,,,,159125.470147782,,,,,,,,,,,,,,,,,,,74288.2755320344,,,,,,,,,,160155.399926716,,,,,,,,,,,,,15587.862704161002,,,,,,,,,,,,,,48120.1092671218,,,,,56781.7212115704,,92074.798162176,,,,,,57424.77165429389,,,,,,66292.7250468267,,,,,44961.2771014124,,,,,,,,,,,,,531190.965944576,,,,,,,,,,
1,1992,,,,,,22036.487850164103,,,87624.27731696531,,,,,,,,,,,,,,,,64125.0217061309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.20117572663,,,,,,,,,520968.567624665,,,,,,,,,,,,120882.67718274801,,,,,,,,,,,,,337291.04460281896,,,,,55414.2027891546,,,,175343.609302696,,,,,,,,,,,,,,,,,,,80214.7365579496,,,,,,,,,,165117.280165734,,,,,,,,,,,,,15787.6924696972,,,,,,,,,,,,,,52144.4273616292,,,,,58072.506811839405,,93223.651565323,,,,,,58730.1753435183,,,,,,66614.85081455231,,,,,50546.259212342804,,,,,,108.20117572663,,,,,,126350.620976784,563819.09032372,,,,,,,4440559.01395856,,,
2,1993,,,,,,23994.5040713644,,,93110.5361846425,,,,,,,,,,,,,,,,74745.8454089487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.88212418398,,,,,,,,,510916.851665275,,,,,,,,,,,,137515.807249629,,,,,,,,,,,,,342472.751261961,,,,,59419.797733567306,,,,202749.941157327,,,,,,,,,,,,,,,,,,,93640.6231926466,,,,,,,,,,188529.002927564,,,,,,,,,,,,,17819.2031213427,,,,,,,,,,,,,,61689.7367678767,,,,,63267.9231221609,,93383.9425561432,,,,,,63984.4295102345,,,,,,72262.5517619657,,,,,57310.8017501917,,,,,,156.73004699272,,,,,,159987.764042122,581832.3206625971,,,,,,,4737958.10858406,,,
3,1994,,,,,,28290.2170379437,,,98850.5538488261,,,,,,,,263736.40702429396,,,,,,,,75994.7429496839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3607.93144024588,,520.71835883546,,,,,,,,,562172.676204061,,,,,,,,,,,,151060.519182985,,,,,,,,,,,,,354418.93518236396,,,,,67127.2822263044,,,,217090.12909571695,,,,,,,,,,,,,,,,,,,101702.819612885,,,,,,,,,,207731.388862022,,,,,,,,,,,,12633.1242365754,19650.9432587828,,,,,,,,,,,,,,79061.7098080654,,,,,63676.222311766905,,106754.348781276,,,,,,64397.352669826505,,,,,,83389.7924494937,,,,,66941.5594092957,,,,,,520.71835883546,,,,,,169677.484337871,627758.0724992721,,,,,,,5128004.32292708,,,
4,1995,,,,,,34981.298564699704,,,101717.25156189199,,,,,,,,324225.19077116303,,,,,,,,71417.2491863346,,,,,,,,,,,,,,,,,,,,,,,,66564.2782001498,,,,,,,,,,,3823.10793036298,,843.3174943063001,,,36141.9121406262,,,,,,617946.953867069,,,,,,,,,,,,168297.679377477,,,,,,,,,,,,,370590.512844975,,,,,82966.721424798,,,,244862.27586541,,,,,,,,,,,,,,,,,,,125941.064941375,,,,,,,,,,235906.26540422198,,,,,,,,,,,,13164.217655056102,22930.181450527598,,,,,,,,,,,,,,91652.1901212731,,,,,67531.17671278269,,115645.285436161,,,,,,68295.9642563126,,,,,,90200.3945899212,,,,,76681.6046931655,,,,,,843.3174943063001,,,,,,180771.632656492,681928.306429067,,,,,,,5617137.92308581,,,
5,1996,,,,,,37709.964572773395,,,114118.33424778,,,,,,,,328665.479908888,,,,,,,,73632.9474254096,,,,,,,,,,,,,,,,,,,,,,,,67349.4616490796,,,,,,,,,,,3828.68161529952,,1688.2541120341,,,37201.0701242864,,,,,,635719.889367056,,,,,,,,,,,,175475.315559395,,,,,,,,,,,382695.970787185,,381730.50878728,,,,,94019.64681547107,,,,275285.640764421,,,,,,,,,,,,,,,,,,,148728.99670795,,,,,,,,,,242039.001340498,,,,,,,,,,,,15213.7320582881,24914.577664173907,,,,,,,,,,,,,,101036.513494504,,,,,69006.4020917754,,129371.88475333301,,,,,,69787.8964964718,,,,,,94976.3713048485,,,,,68315.981878634,,,,,,1688.2541120341,,,,,,197693.139240105,725242.15051752,,,,,,,5945177.32407692,,,
6,1997,,,,,,43297.9370996175,,,123371.086156857,,,,,,,,330287.560923581,,,,,,,,80781.9410688659,,,,,,,337719.156985571,,,,,,,,,,,,,,,,,72056.7362596071,,,,,,,,,,,5037.209610124,,3744.1030553941705,,,43650.7261659622,,,,,,699018.481938482,,,,,,,,,,,,185516.174375455,,,,,,,,,,,413042.226795965,,439474.926406641,3225.26253983702,,,,108759.226627995,,,,315071.275097616,,,,,,,,,,,,,,,,,,,173542.74637809198,,,,,,,,,,259303.847061902,,,,,,,,,,,,17448.650551041002,29886.1491084269,,,,,,,,,,,,,,112520.51183277699,,,,,76282.92266894759,,148000.284564122,,,,,,77146.8233424008,,,,,,105095.508123273,,,,,71243.51503869791,,,,,,3744.1030553941705,,,,,,204682.39553097106,810550.177296418,,,,,,,6517638.58977607,,,
7,1998,,,,,,48812.1535775029,,,123558.798293329,,,,,,,,339262.702071438,,,,,,,,84036.8146539055,,,,,,,368046.750348817,,,,,,,,,,,,,,,,43365.361155608596,73440.5232190806,,,,,,,,,,,5926.56649521869,,6808.0810792803895,,,47288.316999139504,,,,,,753342.71895679,,,,,,,,,,,,179035.39746507801,,,,,112727.02243330401,,,,,,423051.010563683,,421837.63085287396,3353.38524722375,,,,120021.28230072801,,,,345393.53909055697,,,,,,,,,,,,,,,,,,,196382.63131516398,,3353.38524722375,,,,,,,,280135.028825215,,,,,,,,,,,,16161.9395439842,32412.297314990297,,,,,,,,,,,,,,113005.430419058,,,,,68737.21929458651,,157436.530800133,,,,,,69515.6652161933,,,,,,112639.63339548,,,,,76229.3715675383,,,,,,6808.0810792803895,,,,,,202898.794105776,829622.5912896509,,,,,,,6732227.13005282,,,
8,1999,,,,,,47690.5577276617,,,129655.14395237301,,,,,,,,345149.06744695,,,,,,,,90367.2752978712,,,,,,,411463.737707506,,,,,,,,,,,,,,,,47769.674288761795,78657.84198521849,,,,,2048955.62970759,,,,,,5867.35505778789,,11636.0330159523,,,49943.3133493292,471596.943115714,,,,,791507.254210481,,,,,,,,,,,,183734.831750726,,,,,97758.4361900626,,,,,,421404.668804341,,438483.589060889,3538.05079783374,,,,135336.38389856,,,,375365.395356179,,,,,,,,,,,,,,,,,,,218960.73129961,,3538.05079783374,,,,,,,,298659.354612473,,,,,,,,,,,,18346.8310310362,36435.0563935048,,,,,,,,,,,,,,118196.361598475,,,,,72970.0010553125,,166820.825233513,,,,,,73796.3830402706,,,,,,118398.229663595,,,,,84484.4827494885,,,,,,11636.0330159523,,,,,,212773.792292603,856851.9782348891,,,,,,,7081671.56665773,,,
9,2000,,,,,,48572.1508433444,,,142055.258705852,,,,,,,,356595.03787744,,,,,,,,100082.023157576,,,,,,,445461.634461446,,,,,,,,,,,,,,,,55346.83181017781,84909.35811062981,,,,,2354950.98831434,,,,,,8361.62905451268,,18855.5966134494,,,58829.7946577038,502426.966412424,,,,,898679.605648292,,,,,,,,,,,,214791.427507138,,,,,106377.428609251,,,,,,478035.262299327,,500162.849851125,3844.289241105921,37748.5371802843,,,156957.59306788,,,,417531.047231257,,,,,,,,,,,,,,,,,,,248475.165516975,,3844.289241105921,,,,,,,,345506.437835731,,,,,,,,,,,,20401.7077133615,41000.6072869591,62045.3572329896,,,,,,,,,,,,,136901.400567503,,,,,80559.0505294312,,185940.703804695,,,,,,81471.3781588687,,,,,,129894.399967101,,,,,103617.176724603,,,,,,18855.5966134494,,,,,,251785.968200431,947683.404187564,,,,,,,7939251.28144853,,,
