,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,415882,,,,,,,,174040,,,,,19119.4102755632,,,,,,,,,,699253,,,,,13203149.9132521,,,,,,876718.8,,,,,,890552,,,,,,,,,,,,,,,,86962,1097335,,,,,1584670,,,,,,,,,,,,690085.806262309,,,,,301395846.967977,51783798.0119001,,,,148528.492265106,798046,,474963600,,,,,238877200,,,,,,,,,,,,,,,,,144966.37103477,,,,,,269948.75,,,,,,,,,,275412,,75247,,,,788701,,,,,,26268.936457158197,1380878.52557641,,59272.3,,,,,,,,,,,,78514.9923156633,,,,,85561.5,,351446,,,,,,,,,,,,1628280,373523.3,,,,,,,,,,891.3892944641002,,,,,,698038,6174000,,,,,,,,,,
1,1992,,,,,,,,,432093,,,,,,,,182394,,,,,22005.295788795,,,,,,,,,,716019,,,,,16702248.5391859,2701969.3587813,,,,,1145752.6,,,,,,923014,,,,,,,,,,,,,,,,84852,1136274,,,,,1693630,,,,,,,,,,,,805981.042698145,,,,,341532644.513182,68939574.58540401,,,,178202.93418361,838738,,487800900,3608.81789621314,,,,273267400,,,,,,,,,,,,,,,,,161690.810485917,,,,,,320999.0,,,,,,,,,,286751,,77298,,,,812481,,,,,,43998.652611237194,1496155.70262558,,66802.8,,,,,,,,,,,,84907.1283699255,,,,,95930.75,,378516,,,,,,,,,,,,1628020,381006.3,,,,,,,,,,1538.4732943817596,,,,,,721445,6539300,,,,,,,,,,
2,1993,,,,,,286295.224409595,,,454654,,,,,,,,188370,,,,,24470.7998895063,,,,,,,,,,744608,,,,,19922693.2359818,3539572.58170425,,,,,1356119.9,,,,,,928467,,,,,,,,,,,,,,,,85748,1148043,,,,,1746430,,,,,,,,,,,,929759.452838008,,,,,398370329.68659705,102466553.555081,,,,205608.877593752,863853,,490917300,3882.70003658031,,,,310073800,,,,,,,,,,,,,,,,,184818.559454905,,,,,,392563.0,,,,,,,,,,294992,,82849,,,,854693,,,,,,68055.9897515264,1631115.00689174,,70484.4,,,178867.989652853,,,,,,,,,97904.4523448067,,,,,109721.25,,391603,,,,,,,,,,,,1633053,389226.7,,,,3264636.0,,,,,,2803.346659795869,,,,,,758445,6878800,,,,,,,,,,
3,1994,,,,,,311701.798582527,,,482047,,,,,,,,198637,,,,,27643.493398668907,,11299.384320171499,349258.48223657697,,,,,,,789507,,,,,23894681.3669152,4828239.41709825,81216000.0,,,,1641654.4,,,,,,993287,,,,,,,,,,,,,,,,90768,1185817,,,,,1829350,,,,,,,,,,,,1048563.52545148,,,,,461759369.173912,135282800.908039,,,,247804.870420916,914851,,495750400,4352.10992961136,434285.614782164,,,366054100,,,,,,,,,,,,,,,,,209630.721027888,,,,,,444904.75,,,,,,,,,,310171,,89037,,,,897836,,,,,14955228.0622094,95946.5337593806,1873415.84335587,,76625.2,,,645845.160102959,,,,,,,,,112613.208205539,,,,,124058.5,,416495,,,,,,,,,,,,1741335,399145.1,,,,3688687.0,,,,,,5419.92344520621,,,,,,797088,7308900,,,,,,,,,,
4,1995,,,,,,312755.952317714,,,511623,175815.866718644,,,,,,,211621,,,,,32247.7883031972,,12928.8485277829,720349.370507228,,982.75422145283,,,,,828973,,,,,29074926.430071697,6098865.01710985,101548000.0,,,,2070674.1,,,,7668.4,1578636.0,1036484,,,,,,,,,,,2777.5,,,,,98556,1225436,,,,,1899410,,93011.0,,,,,,,,,,1117983.7013711,5795408.01815204,,,,549378859.101759,189195790.550217,,,,301981.20203084603,986701,,501605000,4713.2116073387,1040907.47461225,,,428927100,,,,,4054.7,,,,,7762.863,,,,,,,238757.12335334695,,,,,,551652.25,,,,,,,,,,325397,,94751,,,,963783,,,,,17766971.095956698,117244.263221427,2108256.89757012,342331.808959239,89037.3,,7616.9,1519005.40029149,,,,,,,,,124495.810334841,19671.614082117,10554.5,,,140967.75,,459337,,,,,,,,,,,,1883097,404224.1,,,,4216171.0,,,,,,11106.503509316899,,,,,,836646,7664000,,,,,,,,,,
5,1996,,,,,,329568.972136388,,,542985,181722.0,,,,,,,215940,,,,,37548.0633162936,,15828.705096738799,854028.5705275841,,1631.7539422857199,,,,,857023,,,,,32024682.6597115,7152398.06920093,121117000.0,,,,2410173.4,,,,7966.3,1810798.0,1088024,,,,,,,,,,,3644.1,,,,,102060,1258713,,,,3856.43631592504,1927410,,102871.0,,,,,,,,,,1233512.57309731,7081772.55393643,,,10263117.008421902,644008194.5787951,258370649.176486,,,,350868.45592548896,1042848,,512131500,4906.04702558095,1354490.68736165,,,481140800,,,,,4633.2,,,,,9705.394,,,,,,,272359.318458969,,,,,,754790.25,,,,,,,,,,340879,,100475,,,,1052214,,,,,20093526.3978617,132423.629115415,2404311.0291846,428818.71197768796,94351.4,,11330.3,2151696.00111151,,,,,,,,,135925.201165884,21936.6278357655,12123.0,,,158653.0,,487992,,,,,,,,,,,,1932085,407544.0,,,,4638220.0,,,,,,20058.462065935,,,,,,892900,8100300,,,,,,,,,,
6,1997,,,,,,354666.54842719104,,,572688,188319.0,,,,,,,225965,,,,,41653.3309426028,,18029.913861289,952569.5372198728,,16356.965107901498,,,,,903902,,,,,35571968.5332752,7955283.47866518,146368000.0,,,,2915397.6,,,,8339.9,1950707.0,1146130,,,,,,,,,,,4489.5,,,,,110738,1299870,,,,4547.19034506733,1969500,,114506.0,,,,,,,,,,1372409.31793747,8780412.95836583,538599.0,,14980073.5043862,759175117.705809,316168086.18706805,,69326.0,,395550.127966769,1091029,,523538300,5132.2422952896,1605162.36416971,,,530347100,,,,,5414.8,,,,,11720.339,,,,,,,302422.03446775896,,,,,,951034.0,,,,,,,,,,365146,,103912,,,,1140267,,,,,21669832.5336564,151316.639401005,2684412.57677163,523978.816765713,102356.9,,25298.1,2514647.23272364,,,,,,,,,148694.66782449,24387.8021109371,13821.1,,,175779.25,,518049,,,,,,,,,,,,2021410,415977.1,,,,4709171.0,,,,,,40100.5965662573,,,,,,938855,8608600,225822.24455165802,,,,,,,,,
7,1998,,,,,,362148.976753423,,,604664,195804.0,,,,,,,234488,,,,,46822.052680594905,,19849.4707106309,1003288.91533727,,23171.218524869102,,,,,937295,,,,,37532485.7273515,8506448.13338511,168949000.0,,,,3495589.7,,,,9031.0,2140062.0,1185988,,,,,,,,,,,5049.8,,,,,120382,1358942,,,,5017.31836824031,2016370,,125178.0,,,,,,,,,,1309428.19211746,10394977.8851635,600900.0,,17160573.4887793,1155611164.68904,354380808.195624,,80341.0,,440580.708466566,1134923,,512208100,5603.22339406515,1655143.81144511,,,524476800,,,,,6020.3,,,,,13019.494,,,,,,,304396.576518906,,,,,,1146461.75,,,,,384385.0,,,,,389360,,105796,,,,1163199,,,,,24563654.5197821,159751.425393634,2949720.3524365,612182.136601527,111385.2,,36919.4,2818199.96167606,,,,,,,,,143564.82889188698,26621.480081511894,15281.4,,,190414.5,,554042,,,,,,,,,,,,2121952,427295.4,,,,4698552.0,,,,,,69772.4237409191,,,,,,980308,9089100,265554.17696808197,,,,,,,,,
8,1999,,,,,,343612.94035558,,,637480,203045.0,,,,,,,244223,,,,,48139.1641817688,,24874.1447298557,1088118.76622548,,24669.028092574103,,,,,1004456,,,,,38279334.3506691,9046439.78026344,182275000.0,,,,4045806.0,,,,9686.7,2231080.0,1241521,,,,,,,,,,,5376.0,,,,,126923,1406807,,,,5660.21089880634,2060260,,133999.0,,,,,,,,,,1285741.22761318,11596055.8978583,646054.0,,19148687.8617104,1329777740.2523801,452758430.236901,,92691.0,,485091.73792503396,1170722,,505306400,5771.67138155417,2091254.68437153,,,576872800,,,,,6279.3,,,,,12710.273,,,,,,,322746.235643843,,,,,113236.89839345301,1384722.75,,,,,389569.0,,,,,414712,,111164,,,,1264392,,,,,26111667.6237508,166959.30682095,3239698.64140614,678018.997721739,119639.2,,54829.5,5150001.80868982,,,,,,,,,146248.905233378,28502.012900420497,17108.1,,,208688.25,,594316,,,,,,,,,,,,2234984,435005.1,,,,4789361.0,,,,,,104024.74204925599,,,,,,1021205,9660700,272067.697274534,,,,,,,,,
9,2000,,,,,,344467.113425034,1135665.74314965,,684797,213532.0,,,,,,,258236,,,,,51922.6604426846,,28834.3131075038,1199058.36399921,,27851.559101079598,,,,,1102380,,,,,42070564.8812097,10017320.2525287,208531000.0,,,,4613844.3,,180168.50542931695,,10541.6,2374292.0,1326911,,,,,,18318.601,,,,,6166.6,,,,,136261,1486284,,,,6043.9490376811,2116560,,141767.0,,,,,,,,,106654.0,1337604.43054677,13283365.3147834,703306.0,,20979074.6028273,1512678059.84224,607252918.098453,,108336.0,,539546.2818035829,1241077,,510178200,5994.1456935305505,2582709.37987948,,,635184600,,,,,6815.2,,,,,13347.155,,23198.8,,248405.408729996,,,382617.8889821671,,,4135.589726387429,,126789.87913383801,1615801.75,,,,,393382.0,,,,,448139,,118330,,,,1509052,,,,,28548390.846857697,177973.75615384802,3575933.05516366,759573.38129648,128466.3,,80345.1,7822424.55631963,,,,,,,,,165225.11276822802,31527.7292131245,18926.5,,,236581.0,,646250,,,,,,,,,,,,2379776,459058.1,,,,5069818.0,,,,,29433.4,166028.638999063,,,,,,1080863,10284900,276166.63763382396,,,,,,,,,
