,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,2036.51206846072,11040.073315681,2300.02623757945,,9398.29012430309,,,51116.3215827075,68450.6204884787,,,,4427.69308352794,,,,328.30858447887,307.71478979311,,,1232.1771438916498,,2831.7398402544,25581.4293748754,,,679.90290208907,261.18920819790003,,2153.09184909907,170122.846885782,195.4366851589,,162.55654366022,,9308.04251642438,109066.49010018,6228.826084478261,144.51274953501004,1312.49771037478,673.09580395874,2982.1238890368,3395.8420913307,,,,,,,152.97780047382,1965.82293649829,351616.210208709,1362240.22947893,3086.31409224341,10502.6260625256,1979.16337427872,172.40485009626,,,1051.31624942391,164.80321243874,,,26215.3049818354,351422.068595599,,1367.9220437903698,431.81241715448,,521693.81823932397,655.10459400859,,,,2827.85411331023,896.9762551317699,167.24718648601998,415.34336049657,1263.5126721663198,,1554.00524882402,106637.995754896,13708.2639251875,2202.05517689666,137415.107644844,36510.8077109454,33461.369081609904,38490.4872805729,,23429.057364665,,15938.9330577661,249529.51702544,2501.84324595797,382330.749484302,4881.780811232678,,2299.924753826989,,128829.436393629,4590.12816934585,,191.83440559419998,121064.652559226,,,916.4975257558299,,,,,11261.8374017928,,,552.38138836798,873.6606049930299,47541.247045492804,,,,642.72695677195,1999.0354232955399,75530.34403567,,89150.8174647654,,,9107.31326110833,1089.55832043241,,,,,,10971.9498484861,860.6229777480299,537.20672466923,6144.58779418453,28898.5847500084,3941.18966778342,12036.1997409356,2091.27032822584,,1584.14496076301,6185.39555722741,18577.1325686756,25538.6609049386,,,4850.11400587387,,,,,,36183.376773845295,,215.33081759286,,79450.2138341254,,,,,,55093.5149860575,107900.819163169,,,,,,,32874.454456154,38890.8924070872,,,,89062.951718355,96910.0193257825,,,,70727.0126883295,,,,2852.53461752914,6793.241797295948,95.19162509795,,247.77773279604,,,,443726.336240634,663446.140920679,2073.97546243993,,,22611.1251156419,73814.5215997346,,5026502.98337558,2727.9626466347304,1208.99016072152,
1,1992,,2560.64209659833,12465.8853303319,3297.2577861034,,17711.174162268202,69.37549253649,,54460.6669074383,71043.4343903558,90.95252585811,,,4680.61880938529,,820.0543510856502,204397.27322432605,351.8194746785701,622.1446456687098,,,1389.8605222245199,,2758.6541124024493,26252.083529356,,,630.33519565054,294.86168290794,,1846.85857109536,174973.081989199,236.49390089134,,164.63901254268,,11495.5835518138,135051.33833801802,8215.47844013393,147.99995495034,1013.97780617617,809.14040116975,3829.75979584171,3859.24002157914,,,,12323.5190983106,49153.567793787595,,135.04843615963998,2304.57344301068,365469.965940035,1439750.26839419,3112.7266133037,10867.3871412611,2408.2289012526003,123.79073720768,,767.63897896092,1303.3778716007198,298.73705427472,,,29288.9868569741,358280.702486435,,1208.63935838155,547.6629280489,,529084.907943493,2690.32274280827,,,,3707.84740599802,1105.9062540502,167.40400557276,527.59378819652,418.78903323931,,1923.81824535255,130629.67172080801,13134.327353033701,2111.74621128048,109914.050602841,38650.2945600254,34975.1718829379,38898.7873753123,,24596.2049785151,,17522.9901985744,265752.299609393,2392.98706297771,376541.196417951,6476.5605397983,,1901.91456431807,,135223.366125533,9369.29031261586,,320.58686732136,142627.705944838,559.16268273047,,1143.81461885728,,,1026.2814325788001,,11041.235621721398,,,569.94577996418,895.1817151015698,51099.251151024815,,872.6975742731099,,788.70601599249,2071.8977877400307,92868.8983650517,,96097.6628683188,,,9651.63433649832,1149.19045880766,,,,145448.430645401,,12136.951279783501,1152.93203070319,613.5837141511901,5537.472171546021,28932.0228641511,4611.194710733211,8316.36386614898,2461.20225486722,,1513.74302307172,5226.1877241107,20212.6766263442,26863.883482228997,25257.691843013,,5542.667225243608,45623.194216652686,,,,,41291.8702242341,,237.11336675103001,,84510.1471187142,6108.549175231279,3466.0409255211407,,,26145.7570683072,53712.999103495706,115230.523986445,,,,,,32583.5538513889,37455.9932557161,42748.4576350626,,,,87980.18889784599,91182.8898500309,,,,75907.8016720998,,,,2402.87997491261,8255.532241911429,172.55286018139,,561.90971439971,2818.8709361019396,,,446781.484534434,718012.349960332,2530.4907737293697,388.67596885350997,,15698.7197728719,47979.1024598467,,5285804.39179064,3437.60683993451,1216.58198910735,
2,1993,,1742.28650649138,12111.848861435801,1765.0185752066398,,20164.8299087336,319.82423244434,,56683.825639303795,58708.6141143521,792.58593170797,,,4888.74193956168,,3700.595144656961,238752.535811325,345.77414448867995,588.3136276659201,,,1397.8004668734802,,2483.80228796633,35328.5211171814,,,523.0814275458999,288.92205211892,,1382.9378793426804,182086.22573960305,236.18399057623,,230.64291487219,,12288.696067352901,168856.904529911,11779.5029423495,128.93964806943,940.26678303994,654.8829632597,4387.74256177524,3343.2590361094,6315.96722545671,,,19986.6832099995,60079.9689457534,,115.65735307761,2514.0510871719503,392338.256495878,1531062.04907579,3131.48408308338,10311.647837103299,2693.57848686643,128.8126396598,,1241.95970451417,1427.8668997773498,659.61494376267,,,27824.185385480298,295795.923614751,,1103.6298898965101,498.65785618321,,478106.995122518,2528.31570460649,,,,3803.64159074323,933.95864752524,181.59108870062,646.1009555716698,834.3085388825,,2171.8267503263,147757.053737925,14210.3450199456,1728.8466710715,84875.4017386945,39160.099016245695,35153.9977417238,25191.9778509756,,26335.080531080297,,18585.6658861381,233921.67514412606,2920.98917877086,382038.93200761604,6759.85513327737,,2103.66276261446,,137407.334807507,8754.37954138434,503.39201740945,515.69705637509,160963.568202287,1269.3550281926598,5925.74012272447,1037.46106351181,,,2329.9077433374,,9873.181205039107,,,538.82511234911,662.45024028005,56569.782605345594,,1164.67219817825,,737.3968629705099,2117.8348486878,96426.8066718905,,80163.6137193358,,,8556.49322163824,1382.1288576479199,,,,156070.062059349,,12596.1020170927,914.50667893256,628.14905103478,4862.12251423247,29972.2229835232,4867.509996901429,10492.9100112669,2571.10441848615,,1749.6739397172598,4998.39148000317,23077.365030046694,30374.0362488456,30438.699253941202,,6708.49526155015,38919.0296519275,,,,,33730.521366558,,285.47764879961005,,101084.48222761,7724.35228801407,4426.515166174791,,,30052.3515121866,56723.242300573496,108561.73563815,,,,,,44077.632675161396,34987.6793685864,39599.8399122396,,,,74307.0173378773,81437.8631366558,,,,85705.89637518089,,,,2326.72496320686,7649.81920262755,380.99875303708,,1590.08209912341,5649.515371056949,,,403861.314395305,784715.557193384,2783.785655187349,1129.42948478045,,13632.8966945342,21700.848383461598,,5270669.659281,3656.23148955336,1014.52560993852,
3,1994,,675.0673419288299,13546.316271501799,1801.14897159767,,25753.5844206706,495.5368990295401,,63313.4817195954,68273.3901670201,959.77926456005,,,5728.33671369583,,4565.82972630544,261219.320242972,328.08359076972,442.78913343399,,,1460.51679116092,,2365.2350109658,47237.3539383783,,,432.70698576966004,172.29166329538998,,1143.8346293400698,207243.666957857,293.03009375605,,214.9467573206,,13445.808799094399,196765.89915393802,14597.8457822272,138.53032524746,1189.5196714966,485.40298187645,4713.07483010587,3176.2240491193797,7042.24260242429,,,24287.0878263047,61479.5874646199,,121.51639241408998,4333.43145272253,447564.05775295297,1717948.12749015,4573.61413556765,13191.7918612278,3309.33472437246,133.57558577537,,2364.14789859042,1407.83387810586,1290.2242697556,,,33790.052615738,350738.702597347,,883.2910249604199,283.48919204613,,515972.41109795,2566.96156569436,,,,3955.7399305292897,862.50365074403,220.47015260115,519.0285778183202,877.63602392834,,2902.9114630742797,167265.99677924401,17151.359200773797,1865.88203229531,71062.6507485094,48042.0029384473,40455.7706634679,15097.2767007346,,29758.9701448347,,22077.129153166406,285098.462443223,3099.3571577175,422975.65557817294,6650.6666303043,22030.4873042536,2720.350505191989,,161130.81393270002,8643.434469741129,382.74498100833,694.8593985075,198271.608355517,1682.9133680407801,7533.89893593746,981.63277783402,,,4044.9309147087897,,10827.9908078023,,2078.57407331376,553.82225251878,610.39403490249,75603.9416550497,,1351.26388097235,,729.2729714639902,2426.2128315862697,114141.183181108,,77543.0273585412,820.4030876330299,,10682.891143172901,1616.55772728308,,,,173080.016928238,,14613.1732892638,1105.97652475444,309.33319624313,5035.3842446255,33608.7242399321,4761.64286761346,11197.639809496899,2905.2318124525395,,2589.9244401034807,8885.180064309241,26471.324061349198,35681.8711444826,36826.542868382,,8480.00215596427,61877.6188950145,,,,,28735.3220664274,,252.34009814806,,115910.553814275,8336.940870837941,5840.79061574994,,,35140.8558775833,67566.4857735493,125099.716173313,,,,,,39987.4635129024,33904.3882310766,38715.298151685696,,,,84894.41887063309,84960.4596494271,,,,98146.1026917491,,,,2089.65657901425,8146.27620670886,745.24363427996,,1079.7933451874499,15194.2805511732,,,430520.127016239,880205.659103115,3442.51558172361,3089.81820835299,,10245.689688325401,6377.186011526229,,5921311.44727433,2693.9096089535,669.3351723185,
4,1995,,884.54993998877,13673.108922226102,2079.36375831256,,23478.4583278325,795.4410489852901,,69664.18372906541,72505.9484279188,757.45972604209,,,7309.20835401777,,7660.934212498842,318660.15537824103,300.67846528988997,737.25420412625,,,1594.82698826957,,2480.14886183018,70657.1629943732,,,543.10219330344,126.76931409743,,1733.46656596189,208082.67750268895,305.19650650347,,150.33286051729,,16522.2591561955,205886.453109932,15428.4965484247,177.22042533556996,1529.70792185607,519.62821391432,4613.567105769529,4485.67135247338,9512.94155269833,,,37523.3388653562,57420.3830814066,,134.96221538975,4180.60334194004,494490.745738693,1946402.90896737,4739.77345068133,13852.894797948702,3893.0605297633892,254.48679578035998,,3247.0694990917796,1042.8002568037,2674.6397258726997,,,36055.6610318424,383245.23062589,,1059.29206134377,172.54124933467,530.3067380625599,554499.570306496,2902.83798360453,,,,4482.85341996382,889.18870119845,175.90200067588,616.23985119892,756.3058554079802,,2583.95148683254,190383.110871647,16472.9184285751,2013.17586895852,90474.6611874733,56870.463044331904,46730.5795118299,14309.6718381434,,34083.1152474647,,24098.1515796118,353021.59476627,3614.7229531448297,475432.13478286396,6686.341165309821,19209.3262783507,3357.34236977849,,192989.95695006,9041.05488269415,566.49835996485,657.74865213966,204504.538635456,2035.82504060767,8354.91236474104,1084.2835521064999,,,6362.72638180152,,11334.726235811899,,2196.76204823267,596.61459380889,541.6176423862099,89542.1002086353,,1262.6664580072802,,772.20828648246,2279.00431474993,98879.24599467119,,79450.79816379231,902.51549733824,,11804.477159598,869.6187614443401,,,,199931.68166869105,,15621.6224191173,1128.94086866036,372.6413164280201,20888.1815789891,36115.5039794387,4689.688908565229,9857.00832843562,2768.31112696623,,3099.05595899894,11622.0234267549,30013.7007201679,44242.1649957725,40625.5374724996,,11178.9475454354,70279.57288917349,,,,,30800.544643100602,,269.54279668347,,130850.44085918301,10058.1196752695,6996.43074710583,,,41541.7362138869,76997.9043358475,140869.761593228,,,,,,47271.1497665907,37829.3451177917,59131.638542454006,,,,92173.3222333591,88144.2646382357,,,1794.34506388565,112261.50046554301,,,,3098.99002916865,8962.03744819798,1544.89283485303,,1181.9233840273,24943.488099311402,,,471419.28342996,945488.151142031,3250.2074945145696,3456.49957419526,,12846.1325061324,6695.049391959399,,6485921.77413246,1807.35446762725,1028.14033764778,
5,1996,,1113.98844526817,11807.0111745629,2385.44115138776,,27324.1194350454,994.4410535896201,,74553.7084403676,76919.4018561661,1100.2965583302198,,,7949.002239070559,,9708.25682767772,328541.885046564,301.73087790276,659.80138788717,,,1739.5953526617402,,2293.7034342598104,74614.0719421748,,,697.3983792079903,183.48733371344002,,1767.0992266293802,220636.45676814695,295.97241423752,,178.42914540246997,,20346.0009546968,220563.705516592,15489.1416012626,187.20786592438,1566.44146437846,1690.639489391,4963.02163715881,4241.4988836211605,9853.94625137346,,,42151.363479426,57347.1040347003,,155.27653171094,4868.52463173815,509405.794630455,2265084.94158106,4579.54151799549,15408.2409263843,3818.76274694218,291.11263298377,,4121.7280764581,738.36644724488,6166.20659796199,,,39846.971417169705,390338.427507016,,1048.26661570559,342.32191068219,858.04929893073,573649.6545215871,3733.08074376172,,,,4368.34402849125,717.3366998102499,139.16041714594,753.9018665727499,809.23175073631,,2951.5716859730896,198634.857142069,19883.693999444098,2470.5652977855702,12116.3770289918,62221.617562193205,50402.280348808396,18007.9905235091,,37535.5966531594,,27165.0751376927,332958.626250247,3850.9053803774095,521966.13554500794,7887.080351977321,20903.4536023676,3380.30202621948,,222404.191703975,10121.9695414728,960.6578347160499,790.6235322135201,235677.01514191602,2707.08640091423,8885.38260650366,1132.2136417453098,,,7728.481758306159,,11450.7330335918,,2121.27175413164,698.4186737393201,716.5929579935498,92589.3051924157,,1377.83781426638,,726.14962988864,2682.28458706872,121493.563740017,,84316.30045663219,1242.9446114340199,,11542.1990117875,937.58464626696,,,,208843.396813,,16187.8532030222,1347.07624816812,362.12637387261003,15824.1665678494,40060.9346661127,5198.37929520318,8153.356831216991,3126.0321178606105,,3199.580735149769,12245.2600246783,34204.4192950817,57211.6490839699,43718.1166727931,,12839.0385090578,78543.4420587748,,,,,31791.910155123398,,431.60023344623,,143174.94243123,12994.3251871257,7956.88712615103,,,44768.8490277741,81456.6790705103,151604.973707218,,,,,,50943.3442158913,40645.3919697981,56683.672578728496,,,,92927.8066886254,92803.66224198313,,,1595.8484006732501,97890.3911097432,,,,3342.618803325769,8833.082860692159,3561.64918185633,,1343.35786778171,22162.0408907972,,,511470.811088725,1001348.75649283,3819.50128844976,5673.66642290381,,10179.656750448,8651.400326088471,,6882880.77019222,1945.3130012152496,1131.00183821739,
6,1997,,617.1561301459901,11989.9938552806,3066.05917200629,,35540.8414950035,1088.00387948634,,79243.0948983011,78462.0819689591,962.13335655646,,,8533.694222327409,,12728.4432855863,333691.399197501,354.77365866679,744.9291526242799,,,2209.91955148256,,3130.67519390396,88080.7139991515,,,645.40862495643,151.18806359828002,,2077.98537424826,266485.741755523,291.523615633,,191.21070162619998,,23339.340714026093,236616.14484654,18369.4470808637,72.44093756103001,1199.12328821291,1089.70198768194,6019.73234294043,4265.21320228502,12359.8600735814,,,43252.0939545664,62175.5795873008,,161.67026356613002,6190.2505126015,528022.271162241,2354669.5706643,6042.97400923164,16608.2659820771,4695.30773313637,393.01686529432,,5273.2442128847,1496.58829620299,14087.355354841498,,,44920.1970080699,396636.34879231604,,1506.2186385061902,227.90215899487998,1219.6231828746302,619388.430889964,4110.77689110271,,,,5633.42009053014,722.3506331572501,115.35078384772,828.15070748653,1229.83991897899,,3630.4059965097,213696.40417449398,24268.7337806986,2640.69590311085,13014.9914201887,71999.6050498861,51666.466897424696,19919.5315714524,,43128.204858298704,,29797.9576998432,367771.4405925609,4214.01156793272,523323.9694256921,7921.501837196502,21422.6378737294,3988.29952626383,,229521.19516888,10310.8123777012,837.3340942867999,494.76862847075995,285621.54308068,3087.30022200189,9235.99568534047,1216.82130477044,,,9568.09024705275,,11884.6446196851,,2432.21781908856,698.5174261613,896.67933832601,98156.41882267213,,1505.1941354384198,,802.5021175155099,2773.4429067390397,148137.230277624,,89585.32447470461,1486.50761288299,,12010.210871789099,1367.48609553151,,,,231481.566098319,,16770.5710801921,1786.53334811858,390.28222218077,25195.8469504379,44854.7184878959,5961.43063611307,9430.55209812684,3540.1369170057396,,3675.9170717521297,13862.7573089005,35897.999684827206,68527.08017105231,45960.0062989385,,13053.010323421899,86476.1716318394,,,,,34367.2909116577,,402.30949121615,,157016.723749913,14454.4815842013,8560.43011752854,,,47623.3809316603,93562.11066001892,170010.155136263,,,,,,54191.5715997292,44774.502915965495,70476.9761823131,,,,101768.134952373,102061.459513642,,,1619.4162227580896,86786.3409548273,,,,4978.30543310377,9648.4130260235,8136.966687213159,,1555.6375559759601,22509.4485035853,,,585254.629067253,1122921.99616975,4496.66041417608,5568.37963283806,,15867.0041905186,9293.0367206027,,7517704.17604341,2258.2229141563503,987.2603946824,
7,1998,,1073.88576053943,13848.844897535,2877.96859666714,,38970.1602327213,1184.07721137561,,84796.91103574871,87118.2912387766,1396.1984732650305,,,9560.64713141431,,13706.430281878602,345017.513936929,427.06745654386003,833.4008186588202,,,2232.52330950347,,3490.68026000058,90520.9357866642,,,999.5899264250697,186.63140003885,,2489.91490269808,281369.034614719,305.46371017365004,,152.1668242734,,23595.5569010465,248653.547371815,18550.667595843202,63.75299958747,1127.6262219019,1380.91083399116,7971.33451354333,5494.987974706961,11692.852412088001,,,47803.6791598815,65759.4855001358,,165.87103232049,7277.66644109617,478689.043449052,2099188.53812655,7202.14057791072,21733.7841597744,5276.59501011815,608.1067633106401,,6267.86733016156,1635.73377249845,23567.873895022796,,,50069.1312279714,452173.402940189,,1411.95543663759,458.00144034689004,1177.98432782081,685785.993091661,4410.40193331874,,,,7187.3244680435,815.4069434339099,133.47943597435,858.4885511191901,1461.69637321482,,4440.63823774693,199682.676760241,31051.028707869504,3285.29622108555,14372.669646645902,82219.9852076154,78273.991112928,19035.228702841203,,51048.173817316696,,32734.2904810916,403605.726749175,4901.846267414129,491933.00350135396,7474.37949291578,23255.3155277539,4230.87571507469,,171818.629255126,11419.1312098438,1053.28003628018,811.2542361157599,314239.62512209604,3846.1770586480898,9296.231377167629,1084.0513580835302,,,10509.2598043942,,14165.4751285733,,2802.63872762343,652.2544716265,871.36903726321,76678.92967799799,,1626.6570450642098,,788.96785368347,2876.40042502336,170522.322404979,,98984.6702366784,1319.80154454688,,13833.0154490122,1092.7767668891001,,,,257373.464742393,,17135.5630469337,1943.2053964418105,512.2740361514401,25972.9515136471,50625.2409070796,7094.2689980975,10586.8096278279,4146.7616694466105,,3104.34941692372,14226.2066977308,32027.7770715047,80277.07445869531,54405.2769343418,,14489.509406249499,74138.2188742586,,,,,38172.1229227077,,484.79352288284,,137320.360578756,16995.8971976324,9989.13753797006,,,47219.5583727934,106461.804240229,195630.71565688602,,,,,,53732.054054265,48871.9698939274,75344.6016291909,,,,111828.446142524,108022.186226684,,,1915.66192078926,65200.3572386177,,,,5452.24212769507,10804.283401313101,13612.9883815512,,1251.89831085961,20550.5274155173,,,634244.513347004,1252421.19740305,4837.47736818835,3882.1341217168797,,18298.8584648219,10262.468682163,,7851944.73883081,2965.32957393224,1661.41653264034,
8,1999,,1520.86847961657,13991.209267056101,2946.92667983193,,32787.3542654856,1132.24105985029,,90844.9386799638,90405.05079961961,1386.4688979674302,,,11287.4151215876,,10650.1371244083,350638.205878807,498.9753490407,1119.06316740195,,,2257.40575737458,,3372.3947570186797,76774.21390632969,,,795.17244794305,188.80581810869998,,2196.33802213538,304115.79111683,357.1303091705899,,178.42139275005005,,19290.280816638202,297385.591991336,13885.911874560901,95.28796650625,840.05949409224,945.76070138086,8317.57411873907,5175.74350593398,10954.5102402991,,,49689.8329389787,65927.58927703,,182.09753665571998,7877.717969892479,553370.6031788379,2224832.02161811,4050.9497431205896,22297.189411530402,5585.06595477474,857.25802170119,,5674.737979436751,1852.1813828026504,35686.4403964722,,,50770.656066821786,462249.893472801,,2056.6512106382,279.96293980436,931.16042062505,723640.283427655,4327.29854068068,,,,7241.01045361663,755.2793240606302,139.24115133686,890.8043361985901,1432.86550750786,,8124.41822608673,197561.770034264,34249.2904587413,3406.80724984558,17408.834857182,88780.13410436279,52086.617741801,17362.644033694898,,55272.748034554286,,41677.8303253357,425400.587110645,4329.867018040821,522055.0814023061,7339.467275420979,15701.5173363231,3723.97405747818,,211561.068345955,10394.4755279752,787.53603407505,1052.36121900195,315568.3594613,3458.12305188581,8395.14873852967,998.3037687914101,,,8685.217986805741,,14603.502501821202,,2614.48019893538,504.42335905056,865.43390811756,87559.7211731924,,1799.9809242695499,,841.42024376129,3038.9443596279402,194366.49144578105,,98445.9161324241,785.8085773546201,,14964.3716128954,1662.51668555883,,2241.5182810005,,278119.571222001,,19413.732560449498,2488.91812724776,453.44624061298,6173.65507711484,49693.950504981796,5992.306061616589,10261.345378802,4449.79782236279,,2201.09534093564,11640.2998437034,32068.344548356603,79995.4700521685,57828.509409275495,,13038.226833896799,51057.264977087696,,,,,36631.462422902405,,563.70002382441,,148955.894326118,14981.6371824423,10679.5013861423,,,44058.2468038895,114741.688898066,221880.90116410895,,,,,,50134.7361216901,49027.51919119,55201.174268304814,,,,113707.84335071199,117082.967051435,,,2171.07319055812,79031.3383786859,,,,4904.140091485379,11238.7054022556,20612.7672211743,,1751.0899134054098,16734.713175303503,,,652401.557344023,1392829.2691017,4348.2380644775,3283.74955213225,,16562.1999432323,12430.3368163499,,8330183.64524788,2863.4912379869897,1353.67544736062,
9,2000,,1450.2963476207901,13844.2664472693,2873.2023704347,,32002.1644808375,1139.49411564839,,96006.6680783776,90004.27579020789,1546.1676907501196,,,12204.5164761523,,13203.7797667116,358806.974474226,617.8523751615,760.48787331649,,,2386.31924212117,,2870.2477195313395,86912.5803085758,,,650.07943232213,174.03175301806,,2359.95549198362,330225.532202684,305.1320438624299,,181.7345710502,,22090.138945051694,399088.47483679396,15151.7503138674,96.78122950140998,888.51515990291,710.07590976966,8398.04109286221,4085.27572110338,10931.6013719248,,,56798.631882763606,71095.1968641816,,190.61191051186,9069.46026209,711645.05796481,2558604.52080978,4936.10665323757,19492.5208639824,6705.84501640998,578.02682385838,,7638.3812775495,2200.8132309353896,64545.439307445595,,,56391.3828698833,522357.1455310221,,1838.45266201179,485.53925775252,957.4321838969197,793938.005015641,3839.29119992652,27286.6363289757,,,7838.8685793514205,727.2408715898401,163.98569905698,916.20585543738,1544.1744888260598,,5210.95551477211,233738.480503867,39253.5864813136,3541.3069004149293,22924.3959819062,91277.96833972912,71173.0653604453,19704.182790731,,70736.4233917956,,45856.336659679015,467321.323686375,4695.06666034837,577964.440605124,8883.44792197145,19332.2991713189,4354.83625660385,,251743.18481155398,10103.8490010886,719.1903084686099,911.0713842888499,363453.512916805,3379.57636825307,8453.615304653431,1030.50339739377,,,9432.71841157516,,14467.6708399368,,3071.30754210732,985.829374325,696.09675757308,110292.57110669801,,1794.28962187239,,912.1478314092101,2846.22838621011,232397.254639163,,101000.815650085,997.6324383586999,,15869.2177484967,1438.1004511181195,,2083.31066611992,,314935.21512049896,,18938.6650783496,2418.21422402776,440.04062532029997,6656.67320942824,54559.212251094,6507.818938592181,11102.1961936028,4339.791895901811,,2630.80121704784,12141.513488229199,38379.697435498,87195.3394373308,57503.4697364725,,16272.745966896899,54694.2216237975,,,,,40297.0173112726,,489.39225812852,,169038.416457266,16787.6618212263,13404.7201036676,,,46969.3498205835,119167.69281497,239855.296079509,,,,,,53626.0230300118,47073.805141499004,53732.1989873946,,,,124535.191676644,124538.108679001,,,1980.1613587145496,93673.8644630862,,,,3893.9124434719897,11403.6147652961,39189.7113252769,,1644.0926503395801,19592.6801873554,,,668738.461118859,1555710.93628708,4525.7720402510495,2772.47370532503,,19302.5689364157,16265.988929160601,,9255768.54236624,3321.13922164095,1657.32556742979,
