,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,1583.2272915616504,8023.91229400001,1839.36175684224,,8163.0,,,38816.5924964617,54383.2302688476,,1048.3543265347698,4203.57603370698,3467.5621826196,710.1802714377701,,93021.11877109221,251.49933396853,240.9865900696,,,989.6,9132.843296529201,5729.53742479985,20986.948733615,1.740561616,,533.4428646500199,253.03662852058997,,1348.1272090000698,122571.4,150.92942208614,,158.76452045434,,7442.85362277707,63315.7308035397,4955.65443948294,112.75402019782,1038.07770163877,546.8373752710099,2354.2023441703896,2116.88290781947,3979.799743414461,,1749.8328397255896,6733.336889018629,35700.242786096096,215.1673271663,120.63114704702,1431.12181414161,178862.473222902,774514.013542915,2407.5091814344,7985.82049571396,1516.95677633436,86.32183233445,,,533.0892358545599,,295.51419707018,,18646.4525180695,224110.0,,1091.6778083189802,312.15872159742,,415735.33511650795,515.34909506715,,,,2250.51340225235,692.72092213696,118.07742595846001,312.16834671102004,365.23460634414,,1226.6971624106402,99985.36823762939,11467.1750752173,1512.25244613466,24464.498448591494,20532.7560590134,25910.4568550035,29692.343903815698,413.34451004850996,20595.1588028948,,16680.1984949968,147383.927516592,1725.67457041563,237740.353975707,2455.14633798701,,1797.4805201735,,81610.96396908151,3.5767390090400006,,153.13565433668,116991.091336036,,,739.58120625226,,5336.42668467171,,,8769.296357463509,1841.7665312703696,,432.53708258896006,701.8229631940802,36621.516580054,151.37184869506999,706.37512629563,,481.74420262629013,1560.5426348201902,49986.1119408217,,72698.3336877988,,160.94499741268,6882.79110294197,830.52295424772,640.85442703954,,,131633.207967355,866.2217450611902,8447.666731901641,667.5925304229901,388.48329659832,9049.66548704483,25653.0793962842,3131.9403750665197,8695.38068069973,1692.71649671866,1610.6595615889498,1.27903342177,3587.44693954906,11973.2050466692,15173.7423751338,18450.825258548102,1717.43604932987,5421.341646220721,,310.02866694932004,95.98706465803,,,28445.2944897771,,172.87917975095002,165.99563421918998,66096.1973841173,3900.21779252539,2120.27315322101,,,16923.663999859,35536.8275139442,73552.5512201071,,,,,,50920.080489706794,26764.7869362694,35633.3930841329,,516.22344852241,,50113.2835368355,68379.04471996981,,,1064.11909163749,37537.9175416181,,,,1677.87750850714,5325.59754346321,21003.6848662567,,197.70587539688998,,,13722.6638944791,355990.84444588603,488728.88454398396,1.64510474711,,,9848.21922324703,2452.7242525704,,3629375.01849223,2036.6307600856,822.11970115001,
1,1992,,2008.45440089075,9101.41699969506,2655.58893811944,,14816.0,54.610359458199994,,40724.263894953,57146.050294975714,71.66015928928,985.5083143876,4313.942468096,3677.9248533657787,549.2857380581501,531.46976341838,96927.70712865713,273.03911679781004,490.69682215179,,,1127.6,8095.700895260391,5342.97263667694,20528.5643023316,3.84215660587,,501.37129410335,223.41821087852,,1166.78206701872,127524.3,183.67625722684,,164.57257415006,,9269.20843016687,79248.0961513064,6611.693227789128,115.32130412656001,811.79494495789,668.6058332401,3061.6695838373803,2411.6434695814,4588.7265643529,,2184.77853609772,7547.135953026709,35567.1682195201,471.42687175157005,107.03042944775999,1688.1033896619101,205748.299433306,838046.4905127609,3603.458702226749,8356.19134389371,1857.7838008277695,62.28612677551,,494.18411218493,714.9613732839999,,334.40884068025,,21083.662895477,230560.0,,971.1719534037101,398.91120827009,,430845.148660935,2137.06504003314,,,,2982.13230759898,860.34422426316,117.55862418481001,401.08072082195997,121.30533331963998,,1535.7126057351002,123184.81963976301,11124.123113256,1457.15704304293,29228.77145023,21749.288714841998,27277.861055655,30050.6987275997,609.27848658025,22190.069971812598,,18557.9863323115,157915.83380336,1666.1408585055701,233229.01645895105,3268.52433343799,,1501.86033619323,,81937.2998025448,7.38747386265,,258.37573346471,138507.041385291,443.58806852074,,932.6858806354801,,5170.38936869318,830.0070399394299,,8665.938067393241,1946.7332003584202,,451.01522158173,727.3386824172701,39831.1334134367,170.6747444491,706.3751408512102,,600.02260565929,1627.5449019744199,62045.3372915508,,78231.5953825044,,249.25075806298,7370.37916712327,884.37907829765,654.03363816644,,,134274.472193742,924.9406855578501,9243.93042674378,905.37248901114,447.61584649,8296.74015202736,26134.241616463998,3700.22967498021,6440.44045205435,2022.9306046833105,1490.14814527357,1.23924137216,4004.94585016661,14471.2561252288,16091.3429561151,19340.752965173702,2015.8385510077496,5118.269519794379,36947.497032037005,286.88812361339,112.90833449171,,,32756.068626024902,,192.10705204256,146.79712568037,72021.0580154741,4820.000995520621,2760.3351773612208,,,16788.783135873702,37664.7654174887,81212.1667912566,,,,,,53203.193594508,29352.194462387797,37307.2669751156,,552.44652703978,,50115.1238007347,63164.9233675789,,,1121.1440517933502,40671.8321064646,,,,1419.83708857693,6559.69465850686,22813.2392744811,,453.67995961172994,2081.38015405129,,17427.5073269623,374310.923774067,532586.839798995,2.03683278867,304.14126555459,,12563.754491801299,2973.55211702866,,3891124.87230844,2612.7872531347307,834.32118662844,
2,1993,,1415.04221762753,9166.98776019649,1473.36645639025,,16707.1167407893,260.5450522411201,,42419.9940814028,48950.211374878214,649.19448350357,930.02027728621,3970.1133262985695,3956.0943892456203,577.0000779121201,2455.1717315304,116670.25299778699,280.59533368798,479.30474189431,,,1174.9,513.62410235282,4328.3957709508095,25164.609914920602,4.77461940328,7098.668797990699,431.09115603358003,197.99060362007998,,882.2861003851,136887.9,189.18002337253003,,124.89881879623002,,10207.6206488745,101305.864544959,9813.07126582317,103.66649175996,779.06955677367,559.35487824015,3627.21495319745,2090.3106677170604,4825.13994012537,,2595.02899793786,12647.1201835306,31344.4281550927,460.02419040675005,94.58374743645001,1892.8929068300602,244555.477698574,923443.2286008641,2548.0375561197798,8170.36373628212,2143.20328513705,64.55191336513,,829.7351794837,783.6235674966499,85551.7606561332,250.72609323694002,,20597.5203168839,196479.0,,915.2253510763001,374.74880627095,,345261.916003485,2075.02820126938,,,,3162.51132842108,748.4096418316499,129.9704504878,501.97662862059013,196.02934614883998,,1791.7192029677801,138635.828552975,12461.1471283268,1217.72532422325,31022.2946112242,22321.0778755089,28325.4220393641,20121.5160163929,523.16951401701,22488.9597935146,,20210.525702551,143151.16428542,2091.60209422691,241653.827816282,3558.39925762719,4727.535834941479,1714.09596694497,,84088.750059272,7.19327617388,426.20565817752,430.35218782155,155369.93834673,1046.9709865852499,4806.46088460943,871.6244917630299,,5572.810323383721,1909.84397773004,,8022.33932116219,1996.67992428415,,440.73902914677,546.62646686701,45562.1373843588,191.59972063147998,736.30494332052,,578.04776217803,1720.02520185721,65301.120676973085,,68256.9975674266,,344.70508494924,6742.24684378926,1092.76809856112,819.12077690289,,,124916.67651754199,924.78719094166,9619.944820800229,740.26716274871,470.06776496677,7529.05157437122,24046.197728523,4044.75923690602,9426.58846673872,2187.47289511541,1296.2637026782002,1.47648395079,4150.3540673735215,17513.4027559422,18725.755949946,24065.2199308192,1682.81828416931,5347.57708961792,32634.142028784903,320.9270820942,104.84399434381001,,,27701.099828190097,,240.18438645963002,147.28048159132,85126.54300435679,6.2864585365600005,3660.0517305885996,,,18241.4979729804,37375.2235731193,72404.4630656134,,,,,,56356.6027791515,28352.331239940402,35527.5378062791,,514.7758486716599,,42758.278346857405,56696.3732574382,,,1178.7528467331301,46260.5661745437,,,,1393.92880737186,6279.18283882974,29353.084122055898,,1327.8550968697,4278.42923347835,,19512.4135914603,303346.786059063,580372.866433726,2.31616517268,917.4058998412199,,11284.406907569399,3889.06275538864,,3793995.6093910006,2855.836201892,708.0083473925099,
3,1994,,534.12059136058,10067.7728527944,1459.24703702831,,21570.5989872541,393.53445689437007,,49828.7268053304,55115.38438832,768.01034485422,1013.62133066862,3884.3110579511213,4602.9093959224,609.36271219423,2949.10065142451,129613.825058093,259.70386418114,350.48675649738,,,1192.9,918.42173337234,3608.75822172675,32737.7263948547,4.3012275827,8079.95519045865,348.05070841416,227.68379150512,,716.77539008682,151901.7,229.31070892705003,,132.01127514782,,10858.1016261023,115019.05780827,11889.817971426899,108.00532747238,960.15330598005,402.30237458076,3793.7756694441705,1955.38816780785,5236.75333496593,,3026.0913775256104,14937.0535488665,36580.4619316791,391.15126013363,96.43187379946998,3170.8655966922693,289740.46256241103,1079284.82768776,3628.532702098471,10232.4744988037,2576.4567866318803,64.68211837641,,1541.8587953684698,1033.32666270472,109068.608675693,237.15235060607003,,24450.291084514,226217.0,,711.3704703882901,210.14483037371,,380291.438135995,2056.83748696183,,,,3211.18925942568,676.90994091751,157.03745351161,394.24549277757006,320.20232412743,,2329.16430877689,161358.409459121,14597.7811023948,1329.56985104651,30886.7877370851,26841.4079342566,31928.1977015847,11800.399618437099,519.535494374,26387.797566648398,,23358.8012907422,169637.143118832,2161.12600392372,275851.642628605,3406.48347062194,4162.18409113524,2164.61267784987,,102919.65973171801,6.64848886745,314.53983042123,563.85133285716,186061.23740066105,1355.28468547868,5973.73538970395,808.97091087991,,4333.46571108716,3256.07844166966,,8615.821182990641,2087.1447084775,1482.56477097835,442.48886987110984,490.13242383876,59504.6603243972,221.01320379802,712.3394063701201,,562.6796653180402,1926.79719280588,79254.9425589688,,63574.3894278128,664.0189663023,311.86837544959997,8240.559470187041,1254.22427415534,887.94192516824,,,139872.340874482,864.22686387989,11846.5302247491,872.84665022146,225.92262805708,7375.30615610648,27455.0308473174,3854.797595245061,8870.41437300993,2401.73727304072,1522.15115165448,2.12249712878,5478.24695619519,21221.1645497215,21451.818536425,28342.0390165082,1714.10029994705,6580.31188350489,50380.18363362,109.45422566474001,81.53476785666,,,22969.4171249363,,206.14028639343,151.87179368037,102462.33181524699,6.62110416748,4727.62051500453,,,21465.6464278123,42206.917816642,89517.80987656189,,,,,,54865.7209130537,26452.4068365432,33511.7751035984,,431.57931999764,,51782.757427961296,64103.504091787596,,,1314.42687304374,54458.3001162429,,,,1211.8367920877804,6525.79776877469,23265.2612935948,,879.69282428684,11225.0769150882,,21011.5413921381,341924.733681312,662702.621043386,2.7822210402900005,2440.80214183231,,8287.024909694,5763.885660862321,,4336111.60344335,2083.01389289523,458.44888036821,
4,1995,,766.34300676991,11219.625885776499,1838.31062650444,,20154.572752500502,691.8682910892302,,57404.4638271478,64439.7750915408,669.83019478988,1161.71307431569,3723.576911377079,6505.461309039029,767.3815339605202,5432.71993800948,154411.815593939,259.63148115561,636.5563555327599,,,1434.2,1131.13494419711,4050.1723883799896,50016.458713523614,4.66928119494,5106.35982085604,480.74848309641,234.80675821083,,1199.45073127414,167298.4,261.46785842769,,190.56707137206,,14610.6768378042,132131.929259819,13827.8119334371,148.25266659449,1349.40259296584,472.23391190171,4083.18644399974,3049.06716782652,7744.649729986358,,3695.427855297221,25286.7831190646,45765.7048463568,439.85242906860987,116.58435874913,3360.8579905021998,358142.684937289,1321484.03023167,4139.81957499219,11793.7295811694,3326.72282436425,134.17206218757,,2316.75703988107,1241.5392298631,152601.759384667,250.92838458347,,28641.5476731046,271186.0,,930.16749130095,140.45509094698,465.06253325052,450541.676635836,2554.91098379126,,,,3997.97838898098,768.53107491349,139.62051451146002,517.66979310435,653.56234431001,,2274.75935885298,192601.44748694895,15368.411758946699,1598.4174155680496,38398.9739136939,34720.8740389272,40581.4951066787,12295.2070847678,633.2589987293701,34686.058367985,,27949.0397067654,230129.547524715,2754.3325789241,335929.70140669897,3737.3128805094293,4036.51056326492,2942.45067059536,,135639.353930867,7.75030863875,509.7039061956,586.7480184509901,206436.554046633,1795.75654731939,7269.219495949009,985.18636271002,,5141.15791545438,5588.825413631011,,9920.11811065996,2046.3461836730398,1714.5309646851804,524.87637745821,476.65500115329,77489.5618781448,267.41397746492,989.82136862145,,655.85464818824,1990.9521512410001,72380.80352163089,,72002.99230941379,799.8823522460001,407.58484279532996,10032.5891341972,744.6851989137799,1338.54873549667,,,176814.043592782,956.8817852760201,13937.176291378799,979.5314517960601,299.47198720928,34440.7584806073,32986.2951267758,4169.159263041571,11378.280235665401,2513.37040018995,1449.67681524696,2.78850938771,7723.4712558640185,26511.1056642248,29154.010801425,34223.7219466162,3399.2618693178197,9509.347348984129,62414.1925623216,185.61432565291,94.60155935826,,,26962.7214308894,,241.09525325828997,134.85950166831,124266.136155675,8.75927206275,6213.78803069146,,,27025.945346855202,55051.792229421204,115600.66475589,,,,,,94376.00278222712,32866.8276026771,67731.365379719,,583.92279220904,,64633.3798468443,76919.7788301717,,,1601.09911314857,70750.7241267232,,,,1964.53309469266,7905.027134599019,35495.5081832854,,1060.76645445487,20265.0856928287,,20959.7202446596,409753.17740925396,743492.47958404,2.8809230609200003,2999.6159321179803,,11334.517578158799,8250.385745597,,5246959.43920958,1536.01176919305,781.95433492867,
5,1996,,947.56118076523,9523.8285666523,2060.74001849365,,23669.2910208338,850.58859528363,,61454.5057741183,66951.8192290801,956.54931086482,1287.67186247869,4322.07624620206,6938.2837270010705,831.7093462393901,6822.88617227593,162122.21522655198,255.94393465915002,559.5626452689099,,,1529.0,2329.03436897992,3091.94998452374,53049.1487856818,5.472149785730001,6707.0594690597,604.10960542642,122.36397025683,,1227.3059249774801,174108.1,250.50491440977,,176.58400132055004,,17683.6897304392,140091.35387755302,13690.966832079499,153.40313429738995,1355.26451150315,1508.50098087263,4327.01050174872,2912.83080001409,7888.110480882719,,3970.67749537724,27788.4210326742,45048.1266395138,408.65176436375,130.73736965529,3895.6385996233503,379972.80679596,1388211.92135444,3930.47510649707,13088.6220596229,3222.28491499243,156.67421808091,,2869.96329475872,1123.1100012283,172533.13459270098,305.01643764402,,30729.0354105295,271407.0,,903.01706686166,271.96528919662,735.21164016981,456003.149665183,3218.5718057353,,,,3836.603421798,608.0948858473798,108.96320363993999,621.8762806652401,671.15575175332,,2557.6090878607197,198514.04305985,18220.7073467714,1875.81716628832,40763.713612358195,37991.41981066,42911.1441349369,15151.7554271919,582.28108462603,36738.3749404415,,29567.2941757081,214091.32620227602,2926.50531050695,349253.75252054,4313.548573810371,4274.20040075755,2915.99800547752,,150894.906924802,8.35383913068,848.20195344612,688.9302325620799,228769.55302968802,2330.24063781793,7542.06914590405,1003.86971599894,,5601.07052654202,6774.36300318162,,9765.835548147199,1973.0711558492496,1623.2678631090805,601.85595836608,624.40302775661,78459.8540159647,301.7190854318,1112.89847340902,,610.31440116234,2295.43192089378,89289.745126804,,75282.28431510809,1078.8994108100098,439.51781970722,9726.49742545778,791.9804041817999,1367.97995549761,,,180644.50394301696,1000.3729921880499,14740.4859890795,1155.91546580137,290.23382293165,25717.6412622593,35604.2481500912,4514.84567969386,12035.637482493701,2786.3858910397803,1740.57450930217,2.82968126918,7860.117158188391,32446.5710844596,37018.4952189756,36251.5317008128,2584.5574128866892,10710.4454625297,68202.0353244866,258.76906583701,100.24036134539,,,27229.911934698906,,377.10789308931,208.30236615540002,131297.518985492,11.10439222079,6882.061725704661,,,26854.354309490296,59628.017322078886,121548.74584373,,,,,,86478.8572906128,34181.1074947509,60080.5135342119,,500.74850999762003,,66914.23537116259,74558.1687906858,,,1400.24306015065,72320.9627739935,,,,2135.40706084559,7691.89744581062,43561.4771717525,,1181.49517371754,17670.5,,22660.972130629303,439034.90555863,795448.3731711309,3.32629124008,4820.69410462424,,8859.564278232741,11146.2525399397,,5486234.95880813,1652.0622951263904,835.3055313629901,
6,1997,,497.67109525367994,9122.9696470381,2525.9474872304,,30386.583705192403,879.89602120888,,61853.02571763,64973.3403642226,787.2770472107901,1410.28936893275,4000.441876925471,7036.0949787578,992.16039227487,8498.11562921893,157565.441508311,287.12378518108,601.50405559601,,,1846.5,2922.8409464738106,3626.3450857970397,59459.4436173849,4.8910242022300014,5340.33156905243,529.6563285043401,123.56389246464,,1358.65762761786,200297.4,234.40549567008,,133.9697529533,,19296.218678754398,143171.709940682,15347.867289253301,57.16341517168,983.2358707009801,925.1294228604303,4973.767404715561,2758.65638336216,9431.26044066114,,3688.37871005645,27134.602857514,44371.0,400.65918378026004,135.29319271321998,4682.2979111192,378109.849654701,1393155.0734226005,4934.474601453529,13217.3193666534,3747.15025512896,201.08567911159,,3509.5405196111797,914.54407826254,180302.902849233,342.90667228842005,,30604.582339033197,263041.0,,1233.80296422784,173.71635551573996,993.4314222943899,446566.6811240009,3361.28897066659,,,,4681.284152928811,581.8517539784,85.08745760207,646.03828837092,634.29806916307,,2985.7608591651892,208430.869917854,21185.9514013852,1871.80383923043,41745.1072643385,41463.3446011756,41791.6705835295,15902.4269757017,1104.6022157972,37128.2023939246,,28656.238533651,208509.628658395,3024.0949288531897,338405.72857385,4118.87625920437,4241.67654359702,3266.04349090383,,145482.767675522,8.2166484523,702.92687824536,410.05406131061005,274041.037934925,2531.6872122234304,7450.2511187324,1028.18224253804,,5523.86337115388,7367.702226624409,,9639.11405032879,2162.55944355989,1773.8400003184195,572.30779204611,750.3918633957901,78979.43685866981,347.72243827077995,1131.14338089437,,637.1488774411599,2248.11521897738,109517.459007642,,76115.16796430481,1231.333706932,462.65393914625,9550.20942623085,1089.08934739232,2031.3984427285104,,,178176.77913331802,928.75843832073,14536.2813296447,1455.22690027678,294.8709670854101,38727.1695028315,35746.9870134788,4929.50982026106,11516.4386854855,2999.40975157997,1700.27757337613,3.10182148289,8526.29633329198,35959.8853686675,42257.1416891938,36265.6907235548,2992.41487388645,10369.2043006107,71563.669272311,299.18587613962995,100.24778496133,,,27990.3846390894,,334.75852582191004,96.68676997716,132171.482524082,11.742390890680001,7066.27700096832,,,28155.5078777091,62852.219438998894,123664.397680924,,,,,,101179.445179905,34291.0151991294,73531.9626346986,,659.0517921853201,,65660.82634281491,71214.6234512033,,,1342.59485026207,63513.9706644394,,,,3013.3879632498492,7943.898863202191,48467.12758415911,,1297.2829448105902,17118.2,,22993.561149062996,491807.576225486,869414.2237462491,3.7308160431,4503.071960779871,,13108.514267843,11688.822010566999,,5695882.73643243,1780.0915368104502,695.18194275634,
7,1998,,816.5438671058598,9866.09964934187,2247.60543245374,,31361.298873347598,902.04272094371,,60738.5460368891,68196.39551101139,1072.43189736329,1739.47459950142,3594.928370880661,7364.31201154087,1020.60132580245,8424.42777757495,164829.685408302,327.27792323424,641.0705683078501,,,1771.2,3039.27261225382,3405.220412800151,57924.400080643085,3.62084542395,4967.95460854007,775.8089561289,155.8698968032,,1495.54842742021,204328.4,231.56362335452005,,160.44172328181003,,18382.1867417081,141007.10860192,14681.104950846899,47.91875190654,874.68555189397,1118.71377904435,6238.30805982553,3284.79979865617,8379.71088500881,,3695.41063364755,28419.1599538914,46259.0,565.81512470362,131.55620756065,5148.015656675661,314578.488074881,1153959.65426947,5573.11575202823,16147.5695741753,3969.88989803411,273.01596540342,,3941.0639806554714,631.66798586189,161222.383077173,360.82348852231,,32392.1548799541,283309.0,,1096.17078072092,327.43338147237006,900.4056830989801,471562.63668457,3412.1784251948197,,,,5654.77789623027,623.80097877482,91.9659965161,631.59098804954,707.9807686166,,3474.51916183315,185218.089023668,25690.6851150949,2297.09769539214,44724.668711526,42974.6808908108,27406.6538187994,14306.1134657482,1863.17841028926,44300.0875070861,,26958.948177077906,217549.272383183,3270.57019870367,280417.97419002897,3851.9198458492897,4257.891037704179,3276.56072335138,,93673.9273514988,8.60662274851,840.6925798885402,638.0106493344999,294026.47093367396,2978.403169693511,7059.5235180131,869.6339276277,,5604.6042888741695,7490.92063708109,,10859.1316022693,1939.1422091718,1904.47205265853,506.13729214899,692.04380191241,58436.2035595317,354.01977127308,1223.02691705332,,586.2040984503401,2198.6112869060503,125199.25561378199,,80132.5669801043,1039.1153446583698,490.6402658421,10309.8891888743,818.55348707882,2631.49221163881,,,187646.914345686,917.5966137806599,12481.0123934855,1493.41362859374,363.37673426832004,38237.975349493,37465.786141780096,5562.431259407579,9252.19253670791,3349.7940350932104,1241.97888054432,2.49604049327,8240.95511346052,29721.055516182798,46641.36227523071,40396.009112921296,3069.54202051025,10863.0922885083,58083.868576067696,286.19233307167,96.42436340975,,,29502.621334059902,,383.21142487477005,95.74005496559,101858.524637916,13.04533764137,7806.24441504511,,,25845.724132467203,62416.5746952426,136924.671982349,,,,,,98846.0739228503,34865.6633778527,73596.84487069519,,550.0102729135599,,68587.484769719,73852.5697763377,,,1499.59687905909,43018.2824070617,,,,3010.6072941663106,8388.02395853023,46087.6504965075,,987.92870872937,14693.1,,24756.3548147185,511821.24033858,911417.877064832,3.81432143893,2960.76305271192,,14324.9398137078,11132.6166811604,,5648738.4979905,2169.82995570488,1084.41047732753,
8,1999,,1131.24776830946,9642.0487780603,2249.31855740708,,25494.686134584103,840.48582119028,,65324.6387023099,69606.0518166133,1032.75851422586,1677.5845797572501,3629.83003302916,8373.14265898965,1105.85580442856,6549.72862913146,164608.11694832,371.53851892013,840.2259092060901,,,1750.1,3151.3533545547602,2817.325773752689,49355.5743535093,2.07046885573,5434.54133378881,602.20864603463,118.94197603004999,,1315.5334517618198,219933.3,262.5022105049,,153.47599968394,,14775.8936468742,166046.613005852,10673.600512369001,69.79016539561,634.25712357357,751.10653931315,6362.010949405179,3050.26222698683,7758.872619718191,,3615.800168013329,27993.4229730134,44465.0,617.91660367003,141.35576719358,5462.27104754201,351695.986511019,1262482.89753491,3042.92603338852,16026.2085462996,4100.43612670181,426.18463560316,,3429.13735041995,1311.81918459882,127265.27175697901,415.78106465816,,31621.3277924546,284802.0,,1558.62812297089,193.00315038909,692.30107192996,473632.014037254,3255.08149587882,16306.4823102858,,,5540.2883591009995,558.83577110363,91.0220563376,635.58620657375,988.15529610069,,6200.58985038959,179143.630826928,27862.361498926002,2316.07729135785,48501.7302193028,46960.7684887275,24024.9180300818,12639.1763379197,2117.5901077638,47231.6340029561,,30607.4784271881,219926.55460494696,2863.15479841865,311232.417264389,3679.7781143531,3721.51054193319,2798.32337695774,,119734.668294487,7.60424255369,615.39020339672,808.50711332377,289680.38226521,2608.70620103936,6198.59136497332,780.6743064684599,,4254.344132870279,5712.90973742979,,10922.2746032792,2039.5631118408605,1758.94779697248,380.15545939481,667.47987477738,65314.553622848,401.10986136558,1256.21630758585,,600.77120352044,2253.26772998853,141498.539899316,,76468.5653837203,604.6922156486098,498.7017546622,10794.4539925975,1202.1886061708099,2310.64769198984,1401.2340006847598,,190294.216512571,1008.89276787542,14262.304670335,1864.6038804827301,315.98062657751,9063.74053753974,34151.0916226973,4592.33936575917,10256.0259016444,3515.4074367292305,1192.36282229839,1.7294527011900005,6714.1576323937,30801.774796756603,45733.7568964299,42211.4557744582,2250.97716987122,9601.20213361745,37144.1650627967,251.44961968272997,115.17571989655,,,27611.9743628101,,435.6643678430201,78.71065557295,110761.266654365,11.2988566196,8137.0776727553075,,,24093.012835237998,68711.669169675,148346.086797607,,,,,,67028.5367379322,34307.4477329974,43371.188270537205,,502.44524580903,,68935.6042724867,75460.9719633692,,,1654.0963783228399,50232.593712286114,,,,2741.3302502715696,8490.19130916279,40459.3977823755,,1347.71000752437,11781.0,,35745.3141166724,513018.50007987797,1023410.15452363,3.36026157219,2455.53893075531,,12601.2247635807,11542.5010633222,,5847189.49573063,2008.2660960498001,873.3207727999701,
9,2000,,1079.51576638237,9520.63132143923,2179.9479185709,,25292.941014862998,840.9286620864099,,67775.8488311241,69092.00307416549,1148.66685220489,1983.2273676306,4624.77796896246,9025.11430817735,1152.93771060424,8536.88765106683,177223.779162892,456.2281178869,564.74162196508,,,1837.3,3199.6994,2280.74510768347,55903.59920514871,2.23324113081,6009.20627752841,491.12593983715,146.84183066927,,1488.72237803697,243625.4,222.97355821021,,120.0910845455,,17102.2054693774,226445.27341337,11539.7797737194,69.96280310785,667.6996093013299,557.59883824889,6385.850604061,2499.43258827958,7847.932491896321,,3858.73209643454,32126.1306188557,44387.0,613.97173107644,146.73280377943001,6426.11219402319,457219.703553305,1565510.11069408,3707.82497378622,14039.1039776621,4941.55947699826,317.20786654362,,4235.03239014276,1298.50864837333,154742.01348923802,455.80273125405,,33991.7268065639,304849.0,,1384.38398438393,333.543419525,710.72262648323,495614.59143688,2866.63639018799,18557.6182263125,,,5947.029612468249,533.10224758766,106.19724502270999,648.9321255377,1072.17828268894,,3962.88485739688,212687.263155647,31930.6411802884,2372.10991099535,46562.43571777071,51559.794024418894,33421.019522499504,14308.970203270701,3405.93121625391,50674.918270466915,,35231.3040561096,238524.714245276,3196.25081608504,379069.503223787,4560.02780849514,5025.506045717972,3255.99148211777,,160602.65255483,7.14634832147,556.8524010499599,694.88289595323,333178.015467135,2538.08206565823,6225.33799136232,798.21135432908,,4010.7515133014494,5583.88495475208,,10739.4993192486,2241.73754323487,2108.9017909313197,737.49284200631,532.0272685362098,81856.65209862571,388.50896334172006,1291.2538477764501,,652.3756702666599,2098.4530943283303,174109.53290564098,,79140.9495105715,763.26208544446,599.75945738031,11538.683791040101,1033.23346511046,2387.40170015221,1308.94775648606,,199092.21575772602,925.3223535617999,13921.239657364,1804.7103289560998,309.86623070026,9390.50543848555,34405.8541789675,4958.84454740497,10810.369145274599,3389.64184613305,1152.38043150647,2.04875121237,7367.77711454338,34540.9203390622,49086.710227638396,42268.636459962596,2928.01414310144,12020.7435977654,41916.6867411298,213.19310627929002,105.04911797328,,,30115.743835702404,,375.00585740158,152.00838003982,134362.999934061,12.705571566849999,10131.458417719301,,,26745.7257515823,74743.2267951097,156752.157983299,,,,,,68316.24766793,32555.0223352637,41945.5277737493,,480.69785863966,,73534.98492978861,76180.4399112303,,,1499.32715144931,61777.0169711028,,,,2346.34208890902,8594.155069417371,54466.5714355943,,1255.99764755404,13931.1,,25474.8667378725,508699.79691263795,1216793.21665428,3.47909501372,2072.92198402334,,14558.4028035665,15391.728037186298,,6564235.99865063,2323.38488725272,1092.12201937259,
