,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,0.7773904303300001,0.7273796317100001,0.79982732084,0.7198908341600001,0.87782519479,0.77939656369,,0.7591646890899999,0.79814537197,0.7788997548100001,,0.51876734578,0.7826821720199999,,0.64761255061,0.4712836774800001,0.7660516173299999,0.7831166961399999,,,0.80324337815,,0.7001247132800001,0.82442216653,,,0.78464634109,0.7798290734000001,0.70204646001,0.62610814485,0.7206997360100001,0.77180481848,,0.78770173208,0.78910641829,0.7995614333600001,0.58162415991,0.79560259708,0.7849231725399999,0.79123788028,0.8124279719699999,0.78943370023,0.62343919706,0.73469697734,,,0.60417597243,0.71457454575,,0.8030030951899999,0.72810759832,0.73524069421,0.62902313077,0.7801374564300001,0.76036033857,0.7665206731,0.5012789973899999,0.7335183354699999,0.63544291525,0.7944066346199999,,,0.78311677124,0.7122708633399999,0.6374504187300001,,0.7980670746799999,0.7229109481899999,0.7804134704000001,0.79725247365,0.7866908431999999,0.68967351359,,,0.7958394547200001,0.7722846460799999,0.70599531275,0.7515521985,0.7572075336599999,,0.78951958212,0.93763115853,0.83681125881,0.68600591731,1.00887503329,0.56195740858,0.77431469368,0.7713851877,,0.8798634641899999,,1.04650085426,0.5903042353,0.6900244754800001,0.62177790015,0.50320005673,0.19157447927,0.78142056486,,0.63468479977,0.7878426415500001,0.8055055774400001,0.79827003508,0.96635218342,0.7882381601999999,0.77891680712,0.8075417625300001,,,0.8063119425599999,,0.77856661339,,0.7081068186599999,0.78278012808,0.80321389871,0.77046795404,,0.79805700777,,0.74958548993,0.7806107808399999,0.66190197893,,0.81548116126,0.7953390085400001,,0.7557552145399999,0.76210371818,,0.668263127,0.7459672190700001,0.90600096763,,0.76877294801,0.7757445347499999,0.7231566285400001,1.47428434493,0.88610738857,0.7945843100200001,0.7727976549400001,0.80942629341,0.7375383845899999,0.80740164219,0.89582598528,0.64455666851,0.5935726596600001,0.75857445391,,0.76413992061,0.8019303940800001,0.78611522325,,,,0.7866759110100001,0.66832595088,0.8027610601299999,0.7801161626199999,0.83203916652,0.78224198988,0.78999560227,,,0.62766840662,0.6332130924399999,0.6812573030600001,0.73085964023,,,0.29622348246,0.78522642736,,0.75527322575,0.86705649676,0.7855321245899999,,0.67284789204,0.56380333639,0.6446138706600001,0.75422100852,,0.79004345216,0.53078200052,,0.7813536353499999,,0.58837624244,0.78397922639,231.34079084063,,0.7978529271100001,0.7326939538799999,,,0.80532806015,0.73677352098,0.79319616522,0.77466268352,0.8148165570199999,0.79033507661,1.09460067404,,0.73489337155,0.74683681016,0.67968975433,0.7749485068899999
1,1992,,0.7843080580600001,0.7332747368100001,0.80548117021,0.7266248196799999,0.83607178969,0.7883476011499999,,0.7478251696100001,0.80757431136,0.79046495992,,0.51848943754,0.7857398664599999,,0.64837187572,0.4764176296600001,0.77604959609,0.78873756216,,,0.81131635675,,0.69789471382,0.78244221665,,,0.7948021393100001,0.7865271644699999,0.70693133932,0.6316187315899999,0.72891061657,0.7766170194600001,,0.79998386582,0.7964097454699999,0.80618960525,0.58702191479,0.80500353683,0.78350610184,0.8005669110100001,0.8262718006399999,0.79958396102,0.62490476757,0.7409152262800001,,,0.61045301172,0.72246964482,,0.81033288268,0.7327812176,0.70249295551,0.61948385206,0.7867056309299999,0.76888308691,0.77146677674,0.5031131475899999,0.7424266698199999,0.64116422439,0.80834286318,,,0.7940508161,0.71988218608,0.64419359939,,0.80356125903,0.7287011628,0.78765128829,0.8149507804,0.7944702347,0.6956802354100001,,,0.8044017546100001,0.77797034557,0.7018016502600001,0.76018524224,0.76118784206,,0.79833074781,0.94312922312,0.8477328532800001,0.69104355309,0.99032780746,0.56263152355,0.7799243423700001,0.7724224605300001,,0.90250067327,,1.0595499639,0.59450075113,0.69627170132,0.6195856908899999,0.5056257964800001,0.19354681586,0.7896943880699999,,0.60594962825,0.79157662396,0.81787187082,0.80610743111,0.97110894737,0.7936411681000001,0.78049737375,0.8154633808499999,,,0.81166737025,,0.78486550402,,0.7081957612600001,0.79140526758,0.8120666427300001,0.77962862145,,0.80946187131,,0.7610070133399999,0.78557681493,0.66794509651,,0.8141120732699999,0.8037600747,,0.7636351494399999,0.76973014999,,0.67698266255,0.7472663528300001,0.92473460503,,0.76201654845,0.78536705,0.7293501434,1.5000915497,0.90345896777,0.8023541057800001,0.77448483581,0.82195274647,0.74273878153,0.81865260337,0.77013121208,0.7152263665299999,0.59878894617,0.7657916921100001,,0.7714154195,0.80982246003,0.79441332878,,,,0.7929738158600002,0.6707446248,0.8102132981899999,0.78376913214,0.8524621834899999,0.78982020403,0.79652426317,,,0.6415702111,0.62178792771,0.70501510096,0.74071639716,,,0.29243226618,0.79376396332,1.63282353537,0.7584301985100002,0.8518551487100001,0.7973107677399999,,0.6745861308,0.7475522919900001,0.69234326955,0.7573742201899999,,0.80221640002,0.53558106861,,0.79017968128,,0.59106074226,0.7946533143100001,135.13856250896998,,0.8079671703300001,0.73878661574,,,0.84283543117,0.74172530623,0.80494233834,0.7829869794,0.82864604037,0.80037893748,1.09903258161,,0.73131779308,0.7601583979000001,0.6854284872399999,0.78186884504
2,1993,,0.8121333444,0.75807542877,0.83508153648,0.7496227157299999,0.82924671385,0.8143267346999999,,0.74832398384,0.83634230647,0.81840394252,,0.5159245798100001,0.80949860948,,0.66351124662,0.49518754467,0.8115603896699999,0.8147858263400001,,,0.84051194873,,0.72281006345,0.71539961014,,,0.82376726661,0.81342906756,0.73312005809,0.63773905105,0.7519502791399999,0.8015133017399999,,0.82996664715,0.8229286723999999,0.83070133772,0.6004613475899999,0.83304595514,0.8099949402300001,0.82845072661,0.85414315442,0.82667993877,0.6254178339500001,0.7638066840800001,,,0.63129456478,0.7479398725499999,,0.8428610073999999,0.75297423867,0.67902411866,0.61931095491,0.81403069928,0.79217486132,0.7956117674300001,0.500977801,0.769124363,0.66569623975,0.83410442006,129.69954890366,,0.81829831255,0.73996941596,0.66479024814,,0.82922216405,0.75166462678,0.81597732193,0.72239248457,0.8206823529699999,0.71313221634,,,0.8313975143100001,0.80162438669,0.7176694224600001,0.77683362616,0.7855027421100002,,0.824917048,0.93825601251,0.8760590044700001,0.7048878071,0.97274674813,0.57010534419,0.80572410409,0.79901886544,,0.8542784682,,1.0883263983700002,0.61227975423,0.71601931419,0.6329584828399999,0.52645390018,0.20014610605,0.81487035557,,0.61214289735,0.8203060604100001,0.84650637768,0.8344503302099999,0.96524909383,0.82454684372,0.81073540282,0.84013405869,,,0.8285247437600001,,0.81259986019,,0.72902230384,0.8178609145300001,0.8251554183900001,0.80473988627,,0.83655567331,,0.78385070497,0.8120802693699999,0.6771538498999999,,0.85146505058,0.83374108287,,0.78783597923,0.7905493834899999,,0.69466165671,0.77208388674,0.8014405848999999,,0.76353335545,0.80944013545,0.7482624849099999,1.55139532751,0.8028441316,0.8308478917100001,0.80116500002,0.8507604997600001,0.7628311717199999,0.84383279958,0.69548435661,0.7586284542,0.61759707946,0.79060320883,,0.79704413339,0.83842708235,0.82402943609,,,,0.8213507795,0.68053259522,0.8410906249,0.8086818262800001,0.8418991261300001,0.8154792987299999,0.82673109458,,,0.60712782315,0.64093840561,0.667289994,0.76246503883,,,0.26942140753000005,0.82436421147,1.27857598874,0.78478966544,0.8757994256799999,0.82214777277,,0.6972088277399999,0.5759156572899999,0.6962920046600001,0.78377140224,,0.82895762177,0.54007947808,,0.81543161139,,0.59823566508,0.82088634332,79.94972658414001,,0.8355942789899999,0.7574232461399999,,,0.7510635757999999,0.7397054990899999,0.83201236402,0.81219271042,0.8579401075900001,0.8279560670300001,1.13912526805,,0.7391296356899999,0.78106048962,0.69765350492,0.8042621258499999
3,1994,,0.7911146475599999,0.74483845465,0.8101283806,0.7354628717399999,0.83747695236,0.7942411875,,0.78609795246,0.81479865518,0.80085264622,,0.5017338228,0.80369370395,,0.64554490787,0.49682666735,0.79155475611,0.79247786542,,,0.81672724907,,0.70230884301,0.69319131161,,,0.8031801867899999,0.79558647276,0.72073565487,0.6259766266,0.73323868192,0.78322918704,,0.81167964419,0.80141205577,0.80725060709,0.5853753852100001,0.81448904903,0.78604035053,0.80707005948,0.82881720905,0.8049599753200001,0.6155574388,0.7429723969600001,,,0.61349911562,0.72886642854,,0.8217187819,0.7317172303399999,0.65376960843,0.63162252067,0.7958433636200001,0.7756699385100001,0.77857606654,0.48236374495,0.7571022192199999,0.65094618464,0.8141486453300001,84.53461249520001,,0.79737876133,0.72259673009,0.64665517162,,0.80534678325,0.7417591418899999,0.8012450706199999,0.7363820436599999,0.80116468924,0.69212089177,,,0.81178588067,0.78476682,0.7143921980600001,0.75957399992,0.76894751027,,0.8023923514200001,0.96406478941,0.85125650355,0.71238347459,0.92103773043,0.5584568769,0.78913474081,0.78147102956,,0.88589384713,,1.05822781174,0.59615763677,0.69728843052,0.6514339974100001,0.5128146796199999,0.19449515324,0.7954910001000001,,0.6373847457199999,0.7985897435799999,0.82172217408,0.8114272869399999,0.93841593834,0.8051867164000001,0.7928032333399999,0.82410037941,,,0.80552239393,,0.79547064624,,0.71315252707,0.7988855886,0.80302873012,0.7858127867199999,,0.81384277809,,0.77142911631,0.7943297897399999,0.69408594295,,0.8198559132,0.80936467993,,0.77136372731,0.7759396406,,0.6876447279800001,0.7541878934399999,0.80761099495,,0.80837873042,0.78914007581,0.7303822924500001,1.51082252791,0.81666112676,0.80948223677,0.7914897241500001,0.8266950351800001,0.74225377787,0.8195072626700001,0.6154462224399999,0.8014300243100001,0.60092002742,0.7695063022699999,,0.77578983291,0.81422694404,0.80487994858,,,,0.79929682847,0.6702471427100001,0.8168709457,0.79160243457,0.88283864769,0.7936184143199999,0.80906218285,,,0.60952385162,0.62529469159,0.71445899808,0.746498243,,,0.25576679001,0.80142652206,1.37207304723,0.77519094032,0.8619183391799999,0.8049413706,,0.69270152752,0.60855035101,0.75370242693,0.77325225163,,0.8090795999699999,0.5545276957999999,,0.79623292116,,0.57954423726,0.80099974464,32.43707781992,,0.8143304079800001,0.738570055,,,0.7929370744900001,0.75241073756,0.80817144913,0.7897468550900001,0.83197654134,0.8087372101000001,1.11726552083,,0.7322890616500001,0.77217333104,0.6851636615800001,0.7864935520999999
4,1995,,0.86613141338,0.8209097768000001,0.8840040642299999,0.80805943093,0.85895586748,0.86943431109,,0.8240927704800001,0.8921251643799999,0.88307230876,,0.5499685132,0.8901245952700001,,0.7091756348,0.4845774141300001,0.8635391718100001,0.86333927364,,,0.8992504635799999,,0.77570841317,0.70878585352,,,0.8840841887299999,0.8770845957600001,0.78637100457,0.69194893446,0.80408405705,0.8569627134800001,,0.89120171536,0.8819238150900001,0.8841475623299999,0.64301075817,0.89615536817,0.84318327829,0.8821069630600001,0.90869639971,0.8850594070100001,0.68000107902,0.81407241053,,,0.6733974420700001,0.7977949425,,0.89529895665,0.8036739915600001,0.72514581087,0.6807160928,0.87549867999,0.8511531765899999,0.8544398917199999,0.52612189947,0.83607574624,0.7130156354800001,0.8985778980600001,57.055070972180005,,0.87404675425,0.79398578035,0.70887670655,,0.87855865017,0.81419818515,0.87668297404,0.81235972861,0.88000321911,0.75395578466,,,0.89184687244,0.86422067858,0.7920087196100001,0.83996021588,0.84161823617,,0.88026220255,1.0115855865,0.93373666166,0.79541787603,1.12499563916,0.61052448432,0.86835841756,0.8594779582700001,,1.01707339905,,1.1607246212200002,0.65284228426,0.76192942354,0.7074365421100001,0.55926441177,0.21330134893,0.87619420555,,0.7025904576800001,0.8774990523399999,0.8995476848200001,0.89200810123,1.00944729845,0.88206965796,0.8699675730099999,0.90867230936,,,0.8806320344700002,,0.8751916379799999,,0.7804691667300001,0.8797449063799999,0.8799291778,0.8646056550799999,,0.8951797059700001,,0.84966969919,0.8738842096100001,0.73219532785,,0.90625242654,0.8862762718200001,,0.8495936900200001,0.8561937173899999,,0.76401447707,0.8296475213400001,0.8838596523700001,,0.8920453501000001,0.86753505354,0.80379967057,1.66186357229,0.9131088041,0.88892555704,0.8735470898200001,0.90791234636,0.8134602139300001,0.8997810007799999,0.66505780872,0.88176102248,0.65910019128,0.84240103374,,0.85058194619,0.88828347871,0.88607537454,,,,0.8755416886700002,0.7420193441699999,0.89436838844,0.8725096424299998,0.94992128663,0.8713172376899999,0.8881488865,,,0.6505065148899999,0.6783352876000001,0.82086039489,0.82187495117,,,0.27643980749,0.8711002279000001,1.9964820667200005,0.84136221122,1.12825890662,0.8888895435299998,,0.74891829016,0.7010238671100001,0.8725030736700001,0.8511962951800001,,0.8919053349200001,0.62997933424,,0.8754518634999999,,0.6339776256,0.88191792498,23.44251141498,,0.89753369704,0.81239882998,,,0.86920009521,0.78635652854,0.88635883515,0.86760472484,0.91224840082,0.88238678884,1.23052779327,,0.80897667624,0.8501520333,0.7605775077600001,0.8646439518600001
5,1996,,0.85012041385,0.80896391242,0.86404393825,0.79389647519,0.8673868435100001,0.85624458531,,0.82442932157,0.8740190581,0.8695332444399999,,0.5550105374700001,0.8733495221700001,,0.70271613912,0.49353492935,0.84821818338,0.84793387147,,,0.87907141248,,0.7625935192800001,0.71212754107,,,0.86557436671,0.8579948192,0.76998959675,0.69453285933,0.7893124892800001,0.8464183329,,0.8703327888600001,0.86311700471,0.8690935898000001,0.63538163336,0.8839896855299999,0.82640604664,0.8651424945999999,0.8921169344600001,0.8719952114299999,0.6867337152799999,0.80041044992,,,0.65942462396,0.7855830373999999,,0.87337853604,0.80029147888,0.7415874746,0.6128741116399999,0.8594961658,0.84953565199,0.8439200758,0.54057533122,0.83050920643,0.69560016117,0.8864538388,27.98043365101,,0.86474115578,0.7714396715999999,0.69600107841,,0.8617845243100001,0.79445648894,0.85751976751,0.7948523194399999,0.8622944366899999,0.74814429102,,,0.87829884491,0.8475157614300001,0.7794271634800001,0.82500120183,0.83011082266,,0.86674150934,0.99943107911,0.91652313299,0.7603893243100001,8.65025470868,0.61056774089,0.8513263190000001,0.84144128793,,0.97883882295,,1.08887568222,0.64267310996,0.7600026881199999,0.6690949268299999,0.54746910126,0.20923054693,0.86271497971,,0.67843635354,0.85722423984,0.8826686885100001,0.87131094919,0.97069098101,0.8609108209799999,0.8490120505600001,0.8866665691600001,,,0.8775488305299999,,0.85278535868,,0.76525602089,0.8617804038200001,0.8713868562799999,0.8479193712,,0.8797551159899999,,0.84036466067,0.85599930026,0.7348861182800001,,0.8928492343200001,0.86803612293,,0.84303177014,0.84443259404,,0.72698017538,0.8133153059299999,0.86500133085,,0.91073567968,0.8582140977,0.80142330493,1.63493440282,0.88898265185,0.8683851551899999,0.84842524757,0.8913334345899999,0.8026687631399999,0.88446270445,0.6419200954100001,0.94876584391,0.64691170813,0.8292222386300001,,0.8341964006899999,0.86818627985,0.8670467456100001,,,,0.85705328794,0.74559187752,0.8745093132899999,0.8537085427500001,0.91691499924,0.8540652645800001,0.8649650665899999,,,0.60050767643,0.66736874031,0.80185632031,0.81080273721,,,0.31331157264000004,0.85887506728,1.69754967252,0.83188615544,1.05389908715,0.8770154271899999,,0.73658532029,0.72021038219,0.80359101795,0.8405595878899998,,0.8776166188500001,0.73929216015,,0.8589023509999999,,0.63831748094,0.8709235487799999,12.63926007194,,0.8796778843299999,0.79730668896,,,0.85811717287,0.7943706020300001,0.8708848505600001,0.8496995898299999,0.8943462034,0.8702188241399998,1.28833496533,,0.79708411957,0.84949900451,0.73870001915,0.8525378057199999
6,1997,,0.80704793206,0.7632366407,0.82379482412,0.75721013125,0.85554332957,0.80904148078,,0.7809989054500001,0.83241901309,0.81842184733,,0.5305507565199999,0.82446143147,,0.6679025233,0.47220976284,0.8093522063799999,0.80763932626,,,0.8356164730600001,,0.7241951413500001,0.6754385964899999,,,0.8217698974300001,0.8143896080399999,0.7263484492199999,0.65437293882,0.75192095174,0.80314949398,,0.82940369537,0.8212594167899999,0.82677096362,0.6054681502,0.83564484994,0.7893723431,0.82016736735,0.84907256193,0.82635836244,0.64718128134,0.7632464927,,,0.62796374279,0.71375066654,,0.83658433988,0.75665370457,0.7108709432800001,0.5916562947,0.8168775656899999,0.7959397445499999,0.79821301925,0.51317787895,0.77500306487,0.66465820398,0.8343043495199999,12.79891777467,,0.81557543457,0.6819383712,0.66398979471,,0.8194073253899999,0.76199113477,0.8146200185699999,0.72133176498,0.81760202121,0.7133378543100001,,,0.8311396280600001,0.8057490430600001,0.73690957653,0.78008126755,0.7899356372499999,,0.82260819322,0.9753905838,0.8730751165,0.70887644588,9.15475334899,0.57579676685,0.8087240269399999,0.7982534946,,0.8619337911799999,,0.9633226244700002,0.56742044184,0.71785134347,0.64646292513,0.52012740146,0.19937436689,0.81872973391,,0.6340929815699999,0.8139004420199999,0.83963240565,0.82863836006,0.95945507114,0.8201702093600001,0.80664323456,0.8449795774500001,,,0.7712218869699999,,0.8113137530399999,,0.7292454096600001,0.8193280551100001,0.83688899845,0.80522927404,,0.8369649317100001,,0.79379033955,0.8106952036399999,0.7392043702,,0.8496338576899999,0.82837274911,,0.79533378207,0.79659442257,,0.6955208875100001,0.77112514419,0.7701058684000001,,0.86663760839,0.81465671772,0.75564841517,1.54937483089,0.79755545706,0.82679492224,0.80989196779,0.84730538303,0.7615921509800001,0.84380712327,0.61538461538,1.0054001742,0.61665698418,0.78912459919,,0.79446830391,0.8298725415800001,0.8223264587000001,,,,0.81487907397,0.70000880829,0.83224694611,0.80992140227,0.8424062937800001,0.8134983266,0.8255020057100001,,,0.5919444603899999,0.62933843156,0.72775198337,0.7674064941,,,0.29534307076,0.81234108013,1.86706977106,0.78831359721,1.05753757434,0.82626179576,,0.69717053986,0.64540191113,0.69783651287,0.79369184391,,0.8290535310699999,0.7301522057800001,,0.8174204347399999,,0.60577819553,0.82347788958,6.25208938685,,0.83393842987,0.7605155187999999,,,0.84058856324,0.77462861611,0.82971105124,0.80862641077,0.8524284447600001,0.82648691675,1.25901849571,,0.75766252609,0.78842734906,0.70414523463,0.8091676097600001
7,1998,,0.76080613866,0.71470994294,0.7806822627500001,0.71764934133,0.8041545232899999,0.76154551087,,0.7165612221100001,0.78808160473,0.7679957532699999,,0.47789810802,0.77096949235,,0.61415381592,0.47781391288,0.7663547364,0.76915727529,,,0.7933746527399999,,0.68409300866,0.63993316625,,,0.77849961927,0.77073355701,0.68576037998,0.60053047165,0.7263000766,0.7575787605300001,,0.7868432532999999,0.7782146180699999,0.77891010538,0.5673683442499999,0.79097276783,0.7519163924500001,0.7747824307100001,0.8101012565000001,0.78279291957,0.5978879497899999,0.71654391341,,,0.5946436893399999,0.7035233576700001,,0.79292897346,0.70783643214,0.65634286709,0.54971701365,0.77355707244,0.74324235052,0.7524181996100001,0.45121801983,0.72367139015,0.62982013339,0.7867968977199999,6.84076908232,,0.7681012581800001,0.64713244047,0.6277191841399999,,0.77617157323,0.71573189275,0.7639482980300001,0.6876591242100001,0.77378423443,0.6638971558,,,0.7869084848800001,0.7649717887299999,0.69179084773,0.73591247183,0.7446118292300001,,0.7826089818299999,0.92697212465,0.8273195635699999,0.69914071874,8.157723238089996,0.5226390732,0.35790071146,0.75132060972,,0.8674728502200002,,0.8270880832699999,0.5390679362799999,0.66748223875,0.56994229713,0.5151504727699999,0.18707137618,0.7745320075,,0.54554603248,0.7696549423100001,0.79815047152,0.78665118841,0.93567598555,0.7744547765199999,0.75936877154,0.8020177333499999,,,0.7137712802399999,,0.76675709577,,0.67985099067,0.77610846077,0.7935028947600001,0.76305820324,,0.7960799543100001,,0.74301763366,0.7643167311,0.7342529911200001,,0.8095414317499999,0.7868384955399998,,0.74567522042,0.7491318121699999,,0.63836209008,0.7303466840199999,0.72910243589,,0.7286180426100001,0.7686964154000001,0.7095966204699999,1.47091768729,0.7401026835100001,0.7839764991500001,0.76255419467,0.80783891752,0.7165769526800001,0.80389293525,0.5788610614199999,0.93457279685,0.5813179452399999,0.7427080038699999,,0.74983039812,0.78878986376,0.77749576008,,,,0.77289959317,0.6457338124800001,0.79042619831,0.7683543262,0.74122886066,0.7685601016600001,0.78161970031,,,0.5478280684100001,0.57535873995,0.69979205025,0.72023077561,,,0.21913742502,0.76440865225,1.83961092987,0.73767188542,0.99246338643,0.77642588357,,0.65872345278,0.6133856033199999,0.68361387792,0.74547876112,,0.78303591901,0.66051077338,,0.7763302653499999,,0.55165747591,0.7765757483,3.41493230856,,0.78932231646,0.71467464755,,,0.80730052722,0.72804274173,0.788481476,0.76217852886,0.81428282848,0.7822928543000001,1.08621653282,,0.71940629817,0.73195852251,0.65260447096,0.76179755301
8,1999,,0.74417100925,0.69035057254,0.76323783195,0.6963528698999999,0.7774564325200001,0.7423370641399999,,0.71917991468,0.7733944901199999,0.7449474074600001,,0.4918444413000001,0.7414117571,,0.61459366712,0.46962693849,0.7445585127300001,0.7508157019699999,,,0.77522418557,,0.6631841521199999,0.64299637984,,,0.7580857052500001,0.74730757392,0.6661430018,0.5993219210199999,0.72308686614,0.73468973478,,0.76567740807,0.75767187049,0.7658999395999999,0.55895885753,0.76865483602,0.7324586750100001,0.75497564964,0.79414263174,0.76490452519,0.58994174643,0.70803389299,,,0.56372234084,0.6745544687199999,,0.77588116815,0.6932634659,0.6351025636,0.56745088405,0.7509938254,0.71883542692,0.73413259115,0.4801354121100001,0.69631547027,0.60512297677,0.76593336732,3.56620807071,,0.7474264829699999,0.62301106542,0.6165341396,,0.7575937873899999,0.68907784028,0.74350848568,0.65497510501,0.7522994787899999,0.66328874381,,,0.76508906218,0.73978639509,0.65518091399,0.71348566609,0.7196034770399999,,0.76321778081,0.90669356389,0.8133095333399999,0.67987536623,5.2048518867,0.52777319777,0.46377586676,0.7278682662199999,,0.8560766118199999,,0.73458138639,0.51721055501,0.66096160673,0.59559778567,0.50101904867,0.24011307416,0.75146718582,,0.5644865399100001,0.74965817282,0.78140697681,0.76819717581,0.9179639643200002,0.7543488257600001,0.73837974975,0.78202913529,,,0.65864633892,,0.74789688139,,0.6713638315,0.7535992012899999,0.7713343977399999,0.7450030334100001,,0.77640165043,,0.71373390736,0.7416784586499999,0.72780402279,,0.7767531539,0.7693957805,,0.72138768519,0.72314708669,,0.6251757436,0.70838746907,0.6845916759299999,,0.7347170267700001,0.74909579618,0.69707844236,1.4358453346000002,0.68761640912,0.7663075874799999,0.7352303915899999,0.79000504382,0.7042945154699999,0.78572377058,0.57669946333,0.96197557102,0.5831022252100001,0.72985679,,0.7362704598800001,0.77187039258,0.7562275024699999,,,,0.75372569111,0.62576227537,0.77304798104,0.74465213924,0.7427673311,0.7546387902399999,0.7618912411,,,0.54649893479,0.57485296159,0.6694703792800001,0.7027580677799999,,,0.27760020347,0.74701397543,1.33696797716,0.72387240566,0.8071108028,0.7538001308600001,,0.64001385789,0.6062288008300001,0.64533242508,0.71516317339,,0.76191564811,0.63487772017,,0.75495661312,,0.56023901802,0.7554995136499999,2.01441085239,,0.7695654879199999,0.70372759397,,,0.78612106647,0.73423247329,0.77274765895,0.7475533367199999,0.79846191156,0.76084552903,0.93095560046,,0.70192804201,0.70145945878,0.6449029493,0.74237034637
9,2000,,0.74421588508,0.68956664441,0.7586768523899999,0.69895342506,0.7903036340899999,0.7380347995300001,,0.70582420573,0.7707321954199999,0.74268790095,,0.54391185398,0.73944012471,,0.64677623997,0.49416272038,0.7384269592,0.74259757877,,,0.76995669507,,0.6956301081,0.6437621832399999,,,0.75528403126,0.7422308309800001,0.66268968228,0.6307799254500001,0.73775861507,0.7308030957699999,,0.7611034144600001,0.7541806797499999,0.7741572362899999,0.56849711097,0.76160491758,0.72241088996,0.75133371103,0.7852514599699999,0.76037725786,0.61190727421,0.7177770352399999,,,0.56583879175,0.6248946869600001,,0.7696864103,0.7084177496699999,0.63921153273,0.61186091792,0.7509377099500001,0.7203486935500001,0.73673752773,0.54996050805,0.70670938053,0.5559547065899999,0.7608077547300001,2.39741204258,,0.74600143712,0.60336413248,0.58383527499,,0.7529258844600001,0.6869620490199999,0.74219547012,0.62488026969,0.7468136667499999,0.6854765152399999,,,0.7586368620399999,0.7330021879,0.64883915857,0.70824755027,0.71386172845,,0.76044172861,0.90995188155,0.81332517757,0.66982290181,4.0765324760000015,0.56492729818,0.47408039352,0.72616127425,,0.71795411519,,0.7685430167499999,0.511005575,0.68056852755,0.6558167029199999,0.5128494045,0.25966948949,0.74747801501,,0.63793824779,0.74509539964,0.77431353529,0.76265072536,0.91670049573,0.75102957373,0.73633462199,0.77468096579,,,0.59300002408,,0.7423305914,,0.6869469162199999,0.74807294057,0.76434696275,0.7416867789399999,,0.76873642561,,0.71478031302,0.73723408949,0.7490746603,,0.78356145933,0.76504838303,,0.72717769287,0.71855478205,,0.62832037166,0.71057567611,0.63321238202,,0.73535117651,0.7463059570999999,0.70417073534,1.4208825473500002,0.63072045917,0.76191260574,0.7353372445999999,0.78106811785,0.7110887128300001,0.77873373353,0.60681276088,0.9000399411299999,0.56298942544,0.7351084779699999,,0.7385638409899999,0.7662033142,0.7517873762999999,,,,0.74767658673,0.64118045657,0.7662331371500001,0.73612070907,0.7949630369399999,0.7569813683200001,0.75580785595,,,0.56968071625,0.60489465321,0.65393872584,0.71046628141,,,0.39832273805,0.7459346259899999,1.27393835694,0.72994720377,0.8142565602099999,0.74962972912,,0.6315706401100001,0.59085650897,0.61227774045,0.7137329913600001,,0.75721084345,0.65916117358,,0.74907334051,,0.60229698632,0.75371933933,1.40018607131,,0.7643230029699999,0.71119067857,,,0.7603433519499999,0.78199113891,0.7687658831899999,0.74773777861,0.78995483686,0.7541627134100001,0.94687578819,,0.7092048562600001,0.6994628263699999,0.65856258576,0.74245671194
