,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,51831217904.3767,,,,4555176796.51164,,-204067800419.214,65847622075.3022,,,,,468202257.568996,,63823435779.2103,,,,,4320730201.3539715,,,345968821284.37897,,,,,,,126269720663.899,,,,,46853576594.5403,3644113393424.84,73716904514.274,,,,,,14365783952.4605,,2928852477.26059,,50712129115.2854,,,,4270297290259.77,5867821234415.47,15284368125.7843,,2746856228.2282,,,,,266185491500.403,,,42739723066.0351,403885523708.1379,,5792921019.87646,,,911647286488.346,,-187633776.60069,,,,,,,,,,36986549362.7084,15034167824.2891,,,119767914616.554,212909944116.12695,75812061232.9848,3497564844.66763,15292450133.4243,,19787411150.2117,539444188031.23,,1785051434173.93,3587374978.1624203,44502739097.1822,,,100711157311.536,,,,882660742286.848,,,,,32645134435.4808,,,4589998060.386311,,,,,33558014674.5675,,,316156317.208853,,,247406344620.842,,217860685606.818,,,,,,,,110152913232.144,,,,,,113665637526.173,13435071864.305,13268801703.6437,,,,22719921234.9466,40928129805.7185,48066227828.1354,43447831503.3015,14817903859.7575,57860568193.5526,,,,,,311774753113.512,,,,20153566910.2284,-5887073949.565061,64887082712.9569,,,91302112332.7127,144405373272.475,350054926576.447,,,,,,100044393814.589,8573186786.01118,8573186786.01118,,,,,34169816602.4191,,,,,,,,15915316296.6006,7598353201.34622,100495995916.334,,,,,164718083459.86,448431995717.243,2050732542727.38,,,,166652849598.513,,,11005283535067.4,,,
1,1992,,,50929036295.8023,,,,3022763649.12542,,73924910314.9247,65059757926.8336,,,,,439117219.076668,,63758612208.3376,,,,,4348797791.51615,,,331080501652.127,,,,,,,127696566285.432,,,,,52715230990.4486,2766860474282.23,78902426174.7505,,,,,,12292209888.2453,,3113229734.97822,,52127265934.0967,,,,3330925880761.02,5235265120123.44,16402010880.9789,,3115235327.3273,,,,,250756943180.14105,,,43096291147.8374,394388928263.4871,,6140710478.79089,,,899053960608.927,,-277969192.65283,,,,,,,,,,108262967048.992,13569601378.0383,,,123169737067.357,198543701284.803,78256203679.1837,4545627996.53909,16688471019.6297,,21412323119.55,538505868810.767,,1675563333751.47,3867289451.43244,38941770804.7947,,,106686685978.687,37629584335.1121,,,881307074844.5259,,,,,32616590599.5731,,,4557126193.62049,,,,,36494979429.191,,,338001362.83875203,,,257676238718.624,,221248754529.969,,,,,,,,110564315335.719,,,,,,120877508891.747,14072238631.7662,14555389399.5359,,,,21526808052.7762,43703047677.1465,49775541530.8599,42444513244.2003,15488431120.155,44465878941.9937,,,,,,322534681702.55,,,,20631125443.8179,-2765271250.09943,9610772886.6381,,,88606024202.1064,149974144764.39902,340199880986.659,,,,,,97609800337.1029,9087895505.4696,9087895505.4696,,,,,-32841788164.8641,,,,,,,,14992853719.0246,7575071943.78938,105728764729.067,,,,,158266088152.854,450368689466.536,2109494716602.56,,,,166807652829.079,,,10988637046018.0,,,
2,1993,,,49062758654.5354,,,89571941207.7784,1490350501.7392,,3295519573540.64,63999893060.4412,,,,,429522499.482074,,60582257235.5766,,,,,4189949555.9651103,,,357277218575.28705,,,,,,,170629850357.609,,,,,54680331076.5332,4202575175687.49,81020149706.022,,,,,,11547346477.5519,,2846963769.84554,48987620185.8713,50407639619.6473,,,,4897544690004.71,6532418093980.93,17577332085.7446,,3381512816.81678,,,,,251959200457.576,,,45491498479.9445,376682889415.645,,6068559667.21706,,,831980811903.328,,23097703775.6096,,,,,,,,,,-75886233952.5466,14104322798.8168,,,125513165857.852,198703948025.75305,86735881553.7509,6216000819.4946,17622386808.2874,,22869266660.5971,525548127194.8421,,1610797436134.62,3930963322.0091896,33380802512.4073,,,111453680758.099,68289375411.8983,,,929422087211.768,,,,,30199979313.1988,,,4360534854.87395,,3208162492.9247603,,,39908668897.6084,,,83480063.0086289,,,264927220434.794,,228200574839.74695,,,,,,,,110654309545.876,,,,,,125270079758.388,14789960740.9537,16710284728.5497,,,,22628533842.2697,51341763213.4992,52143403521.8622,40205034061.0184,16132222843.8542,44637621032.88,,,,,,313736823950.808,,,,22736125379.4952,13400056990.1886,9344678613.16712,,,91220303582.6491,155264067592.059,324042549188.982,,,,,,99661344190.6653,8981114464.2531,8981114464.2531,,,,,-80019780377.3943,,,,,,,,13678075992.4155,6764714100.4951,111917520151.819,,,,,150595864175.879,460131048633.974,2178828692503.63,,,,170545617144.769,,,10978834854541.9,,,
3,1994,,,47780245583.5225,,,79823750244.3177,831851507.845013,,695281362884.945,66559669931.7064,,,,,453091409.984475,,61712039470.786,,,,,4970727691.07077,,,385022713684.8209,,,,,,,181534301626.00894,,,,,56693580359.9517,3169216987510.31,83936552360.1747,,,,,,11297313241.2734,,2950517775.98505,50003729910.7107,55537815509.2874,,,,3820719306447.7,5544110701469.12,19424586177.4856,,3546446186.18615,,,,,525802373732.283,,,50622978265.8825,385976250327.434,,6791758817.601561,,,855524855938.763,,23424552712.0037,,,,,,,,,,-11913398839.9917,15445204664.1863,,,133443416900.991,242095283482.018,83275424774.0561,6216000819.4946,19720973824.3693,,24574511356.5095,552848748323.566,,1626008524163.13,4404600445.307,27819834220.0198,,,123841153107.418,70749325971.2749,,,1023204090257.04,,,,,30251658679.2632,,,4617561372.81798,,2895327161.42205,,,44854687803.2207,,,311397752.412348,,,273244904999.942,,222616540510.28305,,,,,,,,115616847420.247,,,997952081.4665,,,133891601373.429,15427647220.2969,14714302083.1902,,,,27690379981.0947,58006248946.8666,58964796512.2228,40132067825.6745,15857381526.5939,45993903017.4482,295562979927.435,,,,,310338773126.13696,,,,25693792959.8893,14053229955.3284,9943390728.47682,,,94468417239.0105,162608701285.142,347830590267.78,,,,,,104313045536.023,10051408655.2794,10051408655.2794,,,,,150949186190.083,,,,,,,,14469272614.2256,6800449856.55177,104974038458.0,,,,,150348072884.15198,484448045712.398,2293460008160.6,,,,174176128361.095,,,11395377228958.1,,,
4,1995,,,49405941462.503,,,75723788229.6725,988570046.859715,,196664414076.832,69941701846.81,,,,,487893162.939088,,65564411682.6478,,,,,5522701248.478721,,,390819530370.312,,,,,,,189834322536.79895,,,,,60141805688.2565,2135858799333.13,85765083337.3042,,,,,,11316949359.3057,,2994571962.1917,49705014801.0954,57538932433.5166,,,,2727787221721.41,4580867993853.82,19678315220.8548,,3675458606.60658,,,,,527150773104.687,,,54609176876.0317,394533655885.374,,7021739529.49313,,,863555382586.509,,23842197438.7499,,,,,,,,,,50669599985.5907,16178303627.9631,,,148432559549.677,265155029220.93,82025295793.2836,6216000819.4946,23772773999.4441,,26648556297.148,582606872172.551,,1679346092215.81,4575552940.1694,22258865927.6324,,,138645693232.214,71457254186.8829,,,1029812801975.31,,,,,30487821363.7205,,,4712223701.98875,,2609394393.6789,,,50720104371.1499,,,14867401.978084,,,258989143136.874,,223765051326.93695,,,,,,,,119178046879.316,,,1041030346.3164699,,,141833470189.61902,16270100181.1897,15571441327.4377,,,,30071529268.0645,68190670195.2393,64910357825.0487,43695538180.4469,17501082322.8157,50386422050.5722,284912473536.60803,,,,,312433215209.541,,,,28349396375.3899,15520398435.0662,10142961433.5801,,,102251013463.524,180194927958.078,364080602744.985,,,,,,112576620471.055,10391765558.5972,10391765558.5972,,,,,1502405538525.43,,,,,,,,14430994275.3496,7019577271.81393,113829493371.856,,,,,150968587502.901,495302016602.303,2403061426668.1,,,,196269673039.165,,,11836882114298.6,,,
5,1996,,,52583035911.5222,,,79447223120.5238,1017435171.08189,,545778048751.917,69652275432.8571,,,,,491871461.307578,,66101521269.8786,,,,,5701964466.43912,,,397045068847.733,,,,,,,192091452622.878,,,,,61587810036.2276,1102500611155.96,83429785470.6281,,,,,,11658617813.0685,,2901740932.0854397,50711247057.1317,58446249159.4794,,,,1608732061363.54,3568519670260.81,19708964791.1378,,3679046714.7146897,,,,,522070331285.975,,,56377148977.3933,388495126810.484,,7410395659.02557,,,862551566755.54,,24058341806.1766,,,,,,,,,,-161057293597.819,16717162695.3546,,,161795604662.047,266735074638.932,83310341094.7161,6514595927.35345,25691838764.2077,,28083590912.7659,577289729923.2579,,1716558257697.38,4420814797.8698,16697897635.2449,,,150428898637.664,75575586585.2377,,,1097592403206.44,,,,,30809916017.3315,5913175919.76793,,4713414041.65215,,2751138334.42311,,,56321619758.2289,,,144025928.851252,,,283124990609.99603,,231432868664.696,,,,,,,,122559257918.071,,,1088599395.53304,,,149724994354.043,16872965964.4319,15483141620.8855,,,,30960017807.9786,74244081066.3757,70967293776.8881,46018867572.769005,18610607095.8019,55296291962.2167,269645224032.159,,,,,314539369667.897,,,,29294566896.6987,15904253844.7604,10245884690.3,,,106019937192.546,194418989240.084,361485543718.20703,,,,,,116856178948.072,10966954513.3253,10966954513.3253,,,,,1449639851236.9,,,,,,,,14271163298.3197,8310520657.99873,120571714726.723,,,,,152223937758.02,502062091022.684,2511112016303.36,,,,210032780452.944,,,12144469553489.3,,,
6,1997,,,54672205479.6133,,,86611697559.3809,1101843736.3929696,,231917509012.924,74085602734.1153,,,,,514169990.818361,,69074145019.8969,,,,,5856468053.7696295,,,413920468954.291,,,,,,,202931738162.188,,,,,64069500232.6936,546114891327.301,85490395738.8559,,,,,,12441444385.2911,,2895046207.9743,52975942249.0994,69387285126.978,,,,1025434730909.96,3092989017059.94,19887136468.9373,,3885960948.94891,,,,,541046879975.98,,,60875579922.5564,400024067583.757,,7556162845.5333,,,887281938591.21,,24152903090.8289,,,,,,,,,,-38596928202.3126,18568707514.1242,,,170867864665.061,281175630822.502,82499160145.0975,12578460836.3803,30182209532.8738,,28565587272.21,596636978611.8629,,1779482934503.86,4861588592.506129,13634265647.7453,,,157814383507.176,76129880379.4783,,,1192836333847.48,,,,,31606739731.302,6189499676.66619,,4988789190.68413,,2635940152.34957,,,62348782211.1954,,,-13903541.161853198,,,312844456780.789,,241430816567.061,,,,,,,,122494976339.387,,,1153216792.808,,,154570667086.584,17131782481.7204,15530948156.2036,,,,32777611506.7743,79965219660.3502,78953377896.1862,47208903432.4897,24069468978.8946,51764073135.231,275359015014.36304,,,,,329031697440.122,,,,30610246251.6698,16113369210.705,10346297623.6852,,,108710554961.382,204552107071.932,386262178711.968,,,,,,119779441406.887,11182681927.3297,11182681927.3297,,,,122971160445.952,1600259519207.31,,,,,,,,13674354066.9754,8670143853.02107,133536234894.168,,,,,154515300577.33,508936106892.1,2694220731317.13,,,,227947140473.439,,,12736839174610.9,,,
7,1998,,,52897914982.7502,,,88494333178.3507,1160079407.27596,,370141079947.688,80100116747.7859,,,,,547701362.781354,,71398533061.1885,,,,,7344514408.93376,,,405088300622.23,,,,,,,210021143272.468,,,,,63301493973.2729,594742284311.116,84196735002.9293,,,,,,12771331168.2344,,2978068815.15728,53834879149.1846,71464174846.7375,,,,1023392227859.68,2956332997108.66,19235271752.9807,,4253343351.3513103,,,3130995793.7882,,516875289581.801,,,65264792513.9674,409760849294.5179,,7470145549.860141,,,924605636306.2992,,26315188757.3603,,,,,,,,,,-365039307003.949,20868257255.2018,2104803328.00041,,178639686719.547,229898001657.34,84707617426.8415,20498241935.2899,36137399457.243,,29379869000.6649,607852127389.783,,1657061165062.03,4959949214.7158785,17132828847.3742,,,147843978933.334,66877218605.5379,,,1236343850954.9,,,,,30190665008.8499,7083443455.497379,,4982624324.372021,,2622085872.86491,,,57836923312.7883,,,244017561.62659505,,,335003877649.041,,249799589449.151,,,,,,,,124821969487.732,,,1164111103.03067,,,153362395444.184,17062141089.5183,16724413379.6414,,,,31640346175.6843,81009478865.5378,82629097774.1911,49883447782.1334,26139334230.0899,42871840368.2773,260868841083.494,,,,,312657228087.572,,,,30507858995.1191,16984274081.1226,11951649396.1823,,,107630676161.31,214189597211.812,407022650926.193,,,,,,118578634741.813,11055380010.7607,11055380010.7607,,4561602520.26262,,128552773278.068,1658444293707.62,,,,,,,,13582939947.0194,9268746249.56917,135179860995.603,,,,,155598798621.001,514613240530.369,2854450615250.75,,,,229519988849.776,,,12910759979117.8,,,
8,1999,,,49805731743.9496,,,82689540019.8606,1312463856.84982,,86116552455.1195,84883706928.3759,,,,,542686700.972332,,72204197442.0346,,,,,6324147101.05011,,,402939001624.996,,9258784111.06224,,,,,222363893650.423,,,,,62588480246.453,647366127286.35,72881056442.428,,,,,,12614242223.9757,,3043385977.3722,52103052278.7469,71582966772.5692,,,,1091667818014.11,3074056606356.74,19126909383.291,,4504331513.513479,,,3024946683.1865892,,538964417319.368,,,68541343126.5293,412522991354.781,,7037522519.524891,,,937655242108.885,,26825010946.6534,,,,,,,,,,-282963869834.96,23029959327.8769,2183489093.4197803,,189208220504.286,234300950088.455,80325619184.0136,25039981383.3713,41490744341.9893,,29785184121.1066,608388309801.477,,1661939383648.73,5079238407.60843,20711752555.067,,,183965714022.405,59881927932.6662,,,1187201225731.77,3402647633.83612,,,,28945853301.8439,6145704648.36564,,5560527147.32157,,2514912586.45445,,,63080895164.5218,,,177221810.444129,,,344084543948.479,,244295708108.167,,,,,,,,129141691575.267,,,1256252005.51954,,,153022569044.759,17162965194.6467,17712856788.7867,,,,31528650473.5237,81904147829.7129,86562524949.9159,51398661385.1705,25701406138.9689,40645287528.0117,289803478617.374,,,,,289754652725.287,,,,34747201176.7907,16624847802.3426,11888891312.8165,,,106931314954.498,226586416163.215,417804503311.258,,,,,,117423461863.371,10415122759.8106,10415122759.8106,,4115219668.84655,,132155943707.926,1693084998055.82,,,,68751221873.9205,,,,13895672462.6583,9761679912.58785,130131580826.909,,,,,143495654387.095,520025441265.52,2977808674594.69,,,,199630170973.38,,,13187470493704.6,,,
9,2000,,,51854214690.4777,,,82459440110.8754,1403317213.22383,,690016876174.59,92589490273.6778,,,,,533827465.10972697,,78556907387.5567,,,,,6137353581.33572,,,429355024397.949,,9634334398.98641,,,,,241559769829.138,,,,,65181746094.3765,721688342862.048,79948596104.1544,,,,,,12804058031.6217,,3161505022.72043,54858522547.402,76493057646.0391,,,,1203608396393.32,3317155747439.16,20518078923.7436,,4515055969.96993,,,3464425311.83695,,605167461514.303,,,74725832407.7399,422721669731.1379,,6944121039.22972,,,985108354118.288,,28761392289.6621,,,,,,,,,,-29594650748.1059,27221781607.934,2315300019.58744,,200639312116.136,248504638793.136,83484299192.2901,26747735361.94,47420978300.3954,,32790358392.4896,627467467284.235,,1754486159121.95,5278171039.7916,25922800831.1363,,,215018320860.129,66059301542.8723,,,1254538554146.17,4096553662.3580093,,,,30371242328.6449,6090643200.79241,,5786846384.13387,,2600214750.58917,,,75160758894.408,,,2600912498.14266,,,363968359797.644,,255369488540.408,,,,,,,,136662636281.243,,,1305327035.25281,,,157843069451.416,18161851432.0531,17219969406.1022,,,,34021495462.6541,83889194593.9763,93032334476.884,51630029219.7063,27533859824.2819,43496510658.3954,332634055819.974,,,,,310920997739.2,,,,40077928104.0621,16978744446.0645,12629436696.5329,,,111401145276.293,239039113905.423,434456132066.41705,,,,,,121943701355.151,10276895736.222,10276895736.222,,3667163047.5183797,,139634644636.12698,1932393037469.96,,,,74365461249.7528,,,,13217555803.2035,10374524283.5028,138081364215.484,,,,,158039024649.79,529525178220.225,3099269182693.99,,,,212543484092.143,,,13949838984983.7,,,
