,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,,,,,,,,,68.14114562678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.23009092096999,,,,,53.97194363265,,,,,,,,,,,,,,,,,103.98570538924999,,,,,,,,,,,,,,,,,,,,,,,,,68.72090275126,,,,,58.516499898240006,,,,,,,,,,,,,,,,,,,,,,,319.31519192915,,,,,,,,,,,,,,,,49.89331628979,,,,,,,,,,,,,,,,,,,,,34.67842824847,,,,,,,,,,,,,,,,,,,70.12313139547,,,,,,,,,,,,,,,,,,57.329414534239994,,,,,,,67.07573160864,,,
1,1992,,,,,,,,,,,,,,,,,72.06546369464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.08086427015,,,,,57.00219923415,,,,,,,,,,,,,,,,,107.36639701508,,,,,,,,,,,,,,,,,,,,,,,,,73.2351875922,,,,,57.548723571000004,,,,,,,,,,,,,,,,,,,,,,,354.99349717054,,,,,,,,,,,,,,,,54.81486235717,,,,,,,,,,,,,,,,,,,,,40.22268653924,,,,,,,,,,,,,,,,,,,69.69853494911,,,,,,,,,,,,,,,,,,59.06390928696,,,,,,,70.99971789375,,,
2,1993,,,,,,,,,,,,,,,,,63.83454525109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9224955546,,,,,61.686240759469996,,,,,,,,,,,,,,,,,94.74645885304001,,,,,,,,,,,,,,,,,,,,,,,,,81.98496876949001,,,,,60.48379875707,,,,,,,,,,,,,,,,,,,,,,,321.43605666607004,,,,,,,,,,,,,,,,42.59947087597,,,,,,,,,,,,,,,,,,,,,42.58995475186,,,,,,,,,,,,,,,,,,,50.40970110447,,,,,,,,,,,,,,,,,,62.03361425353,,,,,,,68.57738935466999,,,
3,1994,,,,,,,,,,,,,,,,,64.75744467861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7609232769,,,,,66.268393365,,,,,,,,,,,,,,,,,93.76704543685,,,,,,,,,,,,,,,,,,,,,,,,,90.04168975155001,,,,,64.3727450384,,,,,,,,,,,,,,,,,,,,,,,302.49164425899,,,,,,,,,,,,,,,,45.38544420259,,,,,,,,,,,,,,,,,,,,,44.39074530507,,,,,,,,,,,,,,,,,,,50.713901512010004,,,,,,,,,,,,,,,,,,65.89275170297,,,,,,,70.29072122992,,,
4,1995,,,,,,,,,,,,,,,,,71.74619773377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.38575243203,,,,,76.21585001321999,,,,,,,,,,,54.576606990959995,71.58769471491999,,,,,104.54373807,,,,,,,,,,,,,,,,,,,,,,,,,98.0400389711,,,,,81.5358935786,,,,,,,,,,,,,,,,,,,,,,,130.43157696069,,,,,,,,,,,,,,,,57.8209317707,,,,,,,,,,,,,,,,,,,,,49.07161748995,,,,,,,,,,,,,,,,,,,55.17730968705,,,,,,,,,,,,,,,,,,68.37112549705999,,,,,,,66.09692965069,,,
5,1996,,,,,,,,,,,,,,,,,70.86807298622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0505581799,,,,,74.38973574053,,,,,,,,,,,55.275697989630004,69.92449762404999,,,,,100.89841575771,,,,,,,,,,,,,,,,,,,,67.0163507979,,,,,85.36547613466,,,,,86.97235721007,,,,,,,,,,,,,,,,,,,,,,,103.60480784316,,,,,,,,,,,,,,,,57.049188881830005,,,,,,,,,,,,,,,,,,,,,50.83137387685,,,,,,,,,,,,,,,,,,,58.84486518106,,,,,,,,,,,,,,,,,69.82753163545999,70.9488821874,,,,,,,64.02353819148,,,
6,1997,,,,,,,,,,,,,,,,,63.953038372159995,,,,,,,,,,,,,,,46.870625149969996,,,,,,,,,,,,,,,,,68.08456838731,,,,,67.34343511048999,,,,,,,,,,,51.01215735306,62.589625260649996,,,,,87.00615625235001,,,,,,,,,,,,,,,,,,,,62.94498134925,,,,,76.17154778065,,,,,77.69847606946,,,,,,,,,,,,,,,,,,,,,,,108.2252441207,,,,,,,,,,,,,,,,49.93103962361,,,,,,,,,,,,,,,,,,,,,48.16028148135001,,,,,,,,,,,,,,,,,,,52.97830619711,,,,,,,,,,,,,,,,,75.96975859208,73.86836016398,,,,,,,61.50083343,,,
7,1998,,,,,,,,,,,,,,,,,69.19346093966999,,,,,,,,,,,,,,,45.465244208179996,,,,,,,,,,,,,,,,,68.75562546354999,,,,,51.69659351589001,,,,,,,,,,,54.06941014413,64.36171247385,,,,,86.00603747946998,,,,,,,,,,,,,70.51907259967,,,,,,,67.16268294475,,,,,69.84167031061999,,,,,44.980703443690004,,,,,,,,,,,,,,,,,,,,,,,99.62590340478,,,,,,,,,,,,,,,,45.901623538500004,,,,,,,,,,,,,,,,,,,,,40.26740679336,,49.730966213719995,,,83.63766096148002,,,,,,,,,,,,,,52.830042861520006,,,,,,,,,,,,,,,,,78.30151500619998,77.97489516483,,,,,,,60.00592402615,,,
8,1999,,,,,,,,,,,,,,,,,68.15042232935001,,,,,,,,,,,,,,,47.27152644534,,,,,,,,,,,,,,,,,66.74132478499,,,,,61.51646961441,,,,,,,,,,,54.58574249502,59.91921210629,,,,,82.00600054136,,,,,,,,,,,,,67.03152442343,,,,,,,70.2044220225,,,,,79.1517772991,,,,,59.11291662330999,,,,,,,,,,,,,,,,,,,,,,,98.85835607185,,,,,,,,,,,,,,,,43.888201137959996,,,,,,,,,,,,,,,,,,,,,46.28471492083001,,48.63740098987,,,74.38615458873001,,,,,,,,74.38615458873001,,,,,,53.67965787691,,,,,,,,,,,,,,,,,78.06556637922,83.26142259516999,,,,,,,61.77798415025,,,
9,2000,,,,,,,,,,,,,,,,,62.89947787393,,,,,,,,34.68583732125,,,,,,,49.593500497019996,,,,,,,,,,,,,,,,33.52907184802,59.73950689158001,,,,,69.40282713611,,,,,,,,,,,49.7632795705,53.96867366647,,,,,71.78394878511,,43.15185709282,,,,,,,,,,,57.1985620483,,,,,,,68.08259080999001,,,75.29406152513,,82.11462938532,,,,,69.47254590147,,,,,27.04316196923,,,,,,,,,,,,,,,,,,109.61815884573,,,,,,,,,,,,,,,,36.20758892623,,,,,,,,,,,67.716224114,,,,,,,,,,56.62130612153001,,44.70439129267,,,65.99798900146999,,66.4647442645,,,,,,65.99798900146999,,,,,,51.79828924104,,,,,,,,,,,,,,,,,76.01305600172,86.42280597045,,,,,,,61.00245998563,,,
