,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,26.468501934869998,,,,,,,,38.80189442844,,,,,,,,,,,,,,,27.01042340962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.82092556067,,,,,,,,,,,,,,,,,17.70670025633,11.50250727125,,,17.10401969359,,,,,,,,,154.31918901019,19.173283570120002,,,,,,,,9.68893365633,,,,,,,,,,,,,,,,,,,13.981761352629993,,,,,,,,,,,,,,,,,,,,,,1.12096401551,,,,,,,,,,,,,,,40.38999964526,,,,,,,19.07458900523,42.92014715729,,,,,,,,,,,23.16286945923,18.05025044931,,,,,,,,,,25.58874261079,,,,,,46.87576444216,27.975036509520002,,,,,,,41.3175454174,,,
1,1992,,,,,,,,,26.02922274217,,,,,,,,42.51066099642,,,,,,,,,,,,,,,25.244170209840004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.78688086214,,,,,,,,,,,,,,,,,25.639378238770004,9.68424239348,,,28.04744322697,,,,,,,,,122.56615283030001,20.66897612611,,,,,,,,15.07358891899,,,,,,,,,,,,,,,,,,,21.35992241537,,,,,,,,,,,,,,,,,,,,,,2.38796090574,,,30.78839246325,,,,,,,,,,,,43.11530022334001,,,,,,,17.579457258370002,55.19868178035999,,,,,,,,,,,20.55132406219,20.8886134412,,,,,,,,,,16.11447637018,,,,,,48.22303993646,31.364915781420002,,,,,,,41.31806159495,,,
2,1993,,,,,,,,,27.636124385420004,,,,,,,,42.50811527303,,,,,,,,,,,,,,,26.704655984429998,,,,,,,,,,,,,,,,26.442530676479997,,,,,,,,,,,,,,,,,,38.81070254704,,,,,,,,,,,,,,,,,34.78701386751,8.596091244630001,,,21.82376386251,,,,,,,,,147.5631697229,27.84909293966,,,,,,,,16.60837854061,,,,,,,,,,,,,,,,,,,23.53523724238,,,,,,,,,,,,,,,,,,,,,,6.08296829125,,,35.30559077022,,,,,,,,,,,,56.53355397951999,,,,,,,18.15268917207,45.76962580954,,,,,,,,,,,19.96888809208,25.396909366550002,,,,,,,,,,24.56057415812,,,,,,48.98706040948,33.63553758906,,,,,,,46.52823878251,,,
3,1994,,,,,,,,,34.008221808790005,,,,,,,,48.622368953839995,,,,,,,,12.24025833394,,,,,,,28.025701119409998,,,,,,,,,,,,,,,,42.717525442790006,,,,,,,,,,,,,,,,,,41.52491238204001,,,,,,,,,,,,,,,,,44.77155973384,13.33622327108,,,34.47948745112,,,,,,,,,166.77276732596002,27.97945865083,,,,,,,,24.438783760859998,,,,,,,,,,,,,,,,,,,29.797546433209995,,,,,,,,,,,,,,,,,,,,,,10.39155863398,,49.24192154370999,43.854026149659994,,,,,,,,23.38809370423,,,,72.61138149285,,,,,,,21.73362000332,71.95754235584,,,,,,,,,,,25.75362295281,31.34528838293,,,,,,,,,,20.79721423993,,,,,,53.90026811249,36.2303953508,,,,,,,51.952723384239995,,,
4,1995,,,,,,,,,33.98690210593,,,,,,,,52.61066001819,,,,,,,,10.994753314430001,,,,,,,28.86614938539,,,,,,,,,,,,,,,,25.604475532789998,,,,,,,,,,,,,,,,,26.93873229994,41.17721351076,,,,,,,38.70853035349001,,,,,,,,,,42.1604549826,9.63269114024,,,27.659484204699996,74.61392580856,,,61.178463307890006,,,,,157.74876461791,27.807065117620002,,,,,,,,18.61888059349,,,,,,,,,,,,,102.94943520008002,,,24.942369783540002,,,13.82295953083,,,,,,,,,,55.075167611350004,,,,,,,,,,,,10.940771377349998,,37.76940658916,44.075713004449995,,,35.17076704545,,,,,20.37168381077,,,,72.967068398,,,,,,,22.512770274530002,48.30663109284001,,,,,,,,,,,31.085715363850003,37.94600265341,,,,235.65852157714,,,,,,24.71713810073,,,,,,58.12789405571,42.91526498926,,,,,,,55.4037529903,,,
5,1996,,,,,,23.915176356550003,,,40.09999753533,37.3271645089,,,,,,,62.57487055216999,,,,,,,,15.102000626929998,,,,,,,34.279854764940005,,,,,,,,,,,,,,,,29.71150280444,32.199885143,,,,,,,,,,,,,,,,27.92461159365,45.62223348736,,,,,39.65701530067,,39.7220180723,,,,,,,,,,53.824234314630004,16.547368509560002,,,25.44385283198,89.16139821844,,,74.20793293723001,,,,,165.58066900732,26.496404361779998,,,,,,,,21.00516495566,,,,,,,,,,,,,118.01737957479999,,,23.960503007849997,,,16.74143954451,,,,,,,,,,67.92361121864,,,,,,30.69805942289,,,,,,10.54254180047,176.24132204768998,56.63710674266999,49.01034922928,,,53.21030720427999,,,,,21.61267327175,,,,78.4022169851,,,,,,,26.724460843870002,36.58825015108,,,,,,,,,,,40.30775205067,46.21229479843,,,,209.35413606091998,,,,,,22.63481370707,,,,,,66.25207458770001,54.844404505369994,,,,,,,63.51921860891999,,,
6,1997,,,,,,31.96844346393,,,42.72982720006,39.263182589829995,,,,,,,72.0907451358,,,,,,,,24.86574486447,,,,,,,41.826129218940004,,,,,,,,,,,,,40.96601982991,,,26.19825158969,40.19254309265,,,,,,,,,,,,,,,,38.33494035867,51.5712644651,,,,,50.0883759674,,54.78761305302,,,,,,,,,,62.6574500824,29.611848791229995,,,27.90046504086,80.88636098782,46.61675485866,,87.74680573915,,27.99459508596,80.63165701838,,130.09516925238998,29.215538341040002,,,,,,,,28.17183219717,,,,,,,,,,,,,95.65990003395001,,,22.5705529514,,,22.29728989396,,,,,,,,,,88.69578022118,,,,,211.54659004876999,38.59486624109,,,,,,13.17442559568,138.27202679081998,57.88162690695,67.55690874686,,,132.30269587363,,,,,27.60642217664,,,,65.00854378313001,56.97089082905,,,,,,35.71044388756,39.78504657683,,,,,,,,,,,51.73422671092,56.70224593675,,,,93.50412095292,,,,,,35.30104968158,,,56.770234705869996,,,81.93108957449999,71.06273017095,,,,118.29230968826,,,73.38781640581,,,
7,1998,,,,,,23.74431210316,,,37.92748219496,39.9051256239,,,,,,,96.45047960314,,,,,,,,20.79931656103,,,,,,,41.09265347577,,,,,,,,,,,,,29.81800691355,,,21.09107912499,46.08975391946,,,,,,,,,,,,,,,,53.61927938779,66.44743409438,,,,,66.74161238935001,,80.05316860543,,,,,,,,,,44.17511102987,28.09143257347,,,21.656080930149997,15.28213849414,45.82994009586,,121.90380601391001,,26.93020000311,107.61766247132,,100.60677229775999,30.6997297556,,,,,,,,22.45459284614,,,,,,,,,,,,,34.84068302731,,,23.49671286592,,,19.0392439775,,,,,,,,,,115.01215362844,,,,,187.30978809986001,34.827377303590005,,,,,,10.19480052967,67.39992757898001,50.43012203290999,106.1787457966,,,54.90777508228,,,,,26.850193664370003,,,,36.866182216279995,38.60330188142,,,,,,51.663645488529994,31.12518266057,,,,,,,,,,,58.65005981741,77.11799626639,,,,39.091790284590004,,,,,,34.30999555128,,,25.04638320124,,,97.2631934323,82.37348496087,,,,61.74304406273001,,,82.68547927115,,,
8,1999,,,,,,20.79164684443,,,43.27263618318,33.7301777271,,,113.14705085748,,,,95.57480491786998,,,,,,,,15.821065181160002,,,,,,,42.334651872129996,,,,,,,,,,,,,23.04672381791,,,20.35573270097,42.86839496664,,,,,,,,,,,,,,,,87.72763031392,77.5013187278,,,,,67.98137094216,,153.44196450712,,,,,,,,,,59.23517044047,24.06013603855,,,25.60263500956,25.12817041302,77.41779262359,,122.66019496193,,31.691172035359997,117.81136355164,,126.81164034219,30.385794264970002,,,,,25.471517509170003,,,20.90490290399,,31.3868472248,,,,,,68.47076199489,,,,,47.65314623760001,,,37.85397639608,,,22.075363262870003,,,,,,,,,,125.19177270311,,,,,37.96174980804,32.33058477393,53.128581886890004,,,,,9.12997034047,84.09812202658001,43.47725651757,93.0821412474,17.123913014929993,,7.58486176345,,,,,25.007214666410004,,,,55.0474216801,26.173065077070003,,,,,,54.641118823220005,25.460917924660002,,,,,,,,,,,65.51058707994001,75.03629172152,,,,50.58970670826,,,,,,35.49709401074001,,,7.928107369710001,,,105.54330543852,99.93932679475,,,,50.28962786975001,,,97.78676179118,,,
9,2000,,,,,,21.4583276232,,,41.6304690851,28.07374782332,,,101.00723721959999,,,,76.22326570387,,,,,,,,23.09659480642,,15.20992900498,,,,,58.41466118104999,,,,,,,,,,,,,24.655796904499997,,,22.17137594986,50.00281445543001,,,,,,,,,,,19.666943932360002,,,,,146.70660674427,92.24469257957001,,,,,78.71300597425,,130.75154037083,,,,,,,,,,74.60783167454001,26.555638202940006,,,27.41437343415,21.87221414663,118.43256512834,,112.94974371599,,43.88900902206,127.9422756685,,136.16681027484,25.74667471717,5.86644056732,,,,26.13637344995,,,25.60554981443,26.443464250799998,27.21124501138,,,,21.829484358509998,,80.11473662211,,,,,58.00768617488001,,,65.84872841625,,,28.204182654710003,,,,,,,,,,128.12689458038,,,,,42.78346857815,36.952397799050004,45.113475467250005,,,,,8.14684213822,54.91231389864,52.758468782790004,92.75568406318001,16.10840639042,,13.507709124189999,,,,,34.157927720740005,,,,58.707087370980005,22.32380547425,,,,,,53.401494886129996,21.19876404351,,,,,,,,,,,89.19679539611,72.03045272911,,,,39.202238491079996,,,,,,63.478739702919995,,,13.105544758730002,,,103.27119609041999,102.51803268223,,,,57.46769312591999,34.61076529605,,106.19832902979,,,
