,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,25.0,,,,,,9.61413671381,5.82309584492,,,,,,,6.439811090630001,,,,,,,,,,,,,,,10.31666666667,,,,,12.82514396031,,,,,,,,,,,,,,,,,,,,,,,1.475,,,,,6.66642427967,7.8,,,,,4.86488540566,,10.74046869886,,,,,,,,,,1.7495396729599997,,,7.212543771769999,,,,,14.73333333333,,,,,2.09901790107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63861932943,,10.61144002729,,,,6.041666666669999,,6.28,,,,,10.45,9.00833333333,,,,,,,,,,,,,1.75,7.05,,,,,,15.51666666667,14.7,,,,,,,,,,,4.00560716886,1.09045114612,,,,,,,,,,,,,,,,8.825,6.85,,,,,,,,,,
1,1992,,,27.0,,,,,,10.75007924908,5.94171060009,,,,,,,7.08808296503,,,,,,,,,,13.235,,,,,11.216666666670001,,,,,12.50902042418,,,,,,,,,,,,,,,,,,,,,,,3.725,,,,,11.796827788369999,8.65,,,,,5.764562668559999,,11.05009155161,,,,,,,,,,1.9470845591900003,,,6.82485876769,,,,,15.4,,,,,2.15138915529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.02417618067,,10.64473321849,,,,6.55,,5.85,,,,,9.85,12.93333333333,,,5.45,5.35850342265,,,,,,,,,1.8,11.31833333333,11.56666666667,,,,,17.06666666667,14.6,,,,,,,,,,,7.11095569178,2.56310524012,,,,,,,,,,,,,,,,9.96666666667,7.49166666667,,,,,,,,,,
2,1993,,,23.2,,,,,,10.86617446465,6.81138059935,,,,,,,8.61911621829,,,,,,,,,,15.855833333329999,,,,,11.375,,,,,6.501549263019999,,,,,,,,,,,,,,,,,,,,,,,6.55,,,,,16.38420668262,9.65,,,,,6.93137007782,,11.630369630699999,,,,,,,,,,1.98037504265,,,5.7518872936699985,,,,,15.633333333329999,,,,,2.5032907839,19.7,,,,,,,,,4.65833333333,,,,,4.19166666667,,,,,,,,,,,,,,,,,,,,,,,8.29679924298,,9.80015878854,,,,6.608333333330001,,4.73,,,,,9.325,15.033333333329999,,,9.20833333333,6.00706680201,,,,,,,,,1.675,12.855,14.575,,,,,20.83333333333,13.8,,,,,,,,,,,11.14688678845,4.51611640981,,,,,,,,,,,,,,,,10.4,6.908333333330001,,,,,,,,,,
3,1994,,,24.4,,,,8.5,,9.70569520278,6.545480454369999,,,,,,,9.7534880809,,,,,,,,,,14.06583333333,,,,,10.39166666667,,,,,7.797124059580001,,,,,,,,,,,,,,,,,,,,,,,7.55,,,,,16.53442031822,10.25,,,,,7.34063906654,,8.77681783,,,,,,,,,,1.91087329458,,,5.766086533559999,,,,,14.35,,,,,2.8909530146099995,15.8,,,,,,,,,6.358333333330001,,,,,3.625,,,0.84954902457,,,,,,,,,,,,,,,,,,,,9.19034978623,,8.34246538659,,,,6.0,,4.84,,,,,9.575,16.50833333333,,,10.975,7.00654023242,,,,,,,,,1.725,14.62916666667,14.55,,,,,22.05,13.1,,,,,,,,,,,10.76619483658,4.71846484342,,,,,,,,,,,,,,,,9.5,6.1,,,,,,,,,,
4,1995,,,28.1,,,,6.7,,8.47105811098,6.58976727349,,,,,,,9.67386034856,,,,,,,,,,11.38583333333,,,,,9.46666666667,,,,,7.37993901423,,,,,,,,,,,,,,,,,,,,,,,9.75,,,,,15.42647619934,9.675,,,,,7.09199695748,,9.04914940443,,,,,,,,,,3.03995882722,,,6.1358043360800005,,,,,12.283333333329999,,,,,3.1535735234099995,15.3,,,,,,,,,6.35,,,,,6.11666666667,,2.6257053477900003,1.34826897371,,,,,,,,,,,,,,,,,,,,10.59385355959,,6.451947823180001,,,,5.44166666667,,5.37,,,,,9.525,15.225,7.150996167789999,,9.975,8.308333531239999,,,,,,,,,1.725,13.68083333333,14.04166666667,,,,,20.79166666667,12.3,,,,,,,,,,,10.42139272177,4.23289154356,,,,,,,,,,,,,,,,8.65833333333,5.591666666669999,,,,,,,,,,
5,1996,,,28.0,,,,9.3,,8.51642479653,7.0338511835,,,,,,,9.54372631506,,,,,,,,,,11.06166666667,,,,,9.60833333333,,,,,6.50823128042,,,,,,,,,,,,,,,,,,14.88483257456,,,,,9.95,,,,,14.587384732289998,10.125,,,,,7.744784974139999,,9.49665764063,,,,,,,,,,2.85616573995,,,6.018689985780001,,,,,11.65,,,,,3.35083948354,12.8,,,,,,,,,7.025,,,,,7.13333333333,,2.86849108481,1.37348888641,,,,,,,,,,,,,,,,,,,,9.7644595507,,6.305462072159999,,,,4.79166666667,,5.37,,,,,8.55,14.3,7.255319835560001,,7.775,9.2682244456,,,,,,,,,1.65,12.605,13.91666666667,,,,,19.86666666667,11.3,,,,,,,,,,,10.901690453860002,4.66567933302,,,,,,,,,,,,,,,,8.11666666667,5.408333333330001,,,,,5.88,,,,,
6,1997,,,28.0,,,,10.8,,8.3637175287,7.103282719839998,,,,,,,9.212427148460002,,,,,,,,,,14.04583333333,,,,,9.09166666667,,,,,6.09734099804,,,,,,,,,,,,,,,,,,14.51834856878,,,,,9.65,,,,,12.63080021041,10.3,,,,,8.56460121828,,9.67927357712,,,,,,,,,,2.23782454402,6.16914837799,,6.43529813397,,,,,9.85833333333,,,,,3.40312137554,14.4,,,,,,,,,7.475,,,,,5.908333333330001,,3.06505244861,0.84103262259,,,,,,,,,,,,,,,,,,,,8.211388805750001,,6.8342419296,,,,3.9,,6.12,,,,,8.725,11.508333333329999,6.752380715069998,,7.50833333333,10.82705891157,,,,,,,,,1.425,12.91416666667,14.41666666667,,,,,18.4,10.5,,,,,,,,,,,10.8833847802,5.20197198262,,,,,,,,,,,,,1.92333333333,,,6.983333333330001,4.94166666667,11.55833333333,,,13.14564160209,6.01,,,,,
7,1998,,,28.0,,,,9.4,,7.651377230539999,7.184796132280001,,,,,,,9.338412018380001,,,,,,,,,,12.203333333329999,,,,,8.291666666669999,,,,,6.21040134805,,,,,,,,,,3.9869531202,,,,,,,,10.58965851501,,,,,9.825,,10.962578382319998,,,11.3547932104,9.875,,,,,8.10701785125,,10.89498570487,,,,,,,,,,4.36093857467,5.4908130165100015,,6.4933053995700005,,,,,7.55,,,,,4.11441307555,14.4,,,,,,,,,7.575,,,,,6.408333333330001,,2.85514009408,1.4400556625799998,,,,,,,,,,,,,,,,,,,,6.573597573230001,,7.733373358480001,,,,3.1,,5.89,,,,,10.05,10.00833333333,4.99278661092,,9.275,11.87585170845,,,,,,,,,2.575,13.825,14.48333333333,,,,,16.40833333333,9.2,,,,,,,,,,,8.81663440926,3.84028400856,,,,,,,,,,,,,3.0275,,,6.266666666669999,4.5,10.125,,,12.4298843095,6.85,,,,,
8,1999,,,29.2,,,,11.2,,6.86988499616,6.64524936652,,,,,,,8.48454883523,,,,,,,,,,13.7825,,,,,7.56666666667,,,,,9.953790029450001,,17.38535249285,,,,,,18.63333333333,,3.51099208859,,,,,,,,11.48715597762,,,,,12.25,,12.33581924002,,,10.19669093644,9.575,,,,,7.482217053919999,,11.96918848857,,,,,,,,,,6.25488641936,6.925,,6.43190597161,,,,,5.658333333330001,,,,,4.68328031794,11.6,,,,,,,,,9.68333333333,,,,,8.38333333333,,2.6990826469200004,1.31526308562,,,,,,,,,,,,,,,,,,,,5.435420123180001,,7.01464353578,,,,3.04166666667,,5.89,,,,9.27342371169,9.75,11.991666666670001,4.37861253393,,11.39166666667,13.02649794443,,,,,4.3511378227,,,,2.8,17.49083333333,13.56666666667,,,,,13.6,8.9,,,,,,,,,,,7.56505468234,2.71354805223,,,,,,,,,,,,,4.06583333333,,,5.983333333330001,4.21666666667,11.2,,,14.50366576104,6.74,,,,,
9,2000,,,29.5,,,,11.7,,6.273073846519999,5.803797808280001,,,,,,,6.87478574918,,,,,,,,,,18.12916666667,,,,,6.833333333330001,,,,,9.705062246319999,3.00053131878,16.24562921159,,,,,,20.6,,4.80833333333,,,,,6.33698605431,,,10.63689190356,,,,,14.575,,10.68890904872,,,9.77409878037,8.175,,,,,6.874590931669999,,11.24802161454,,,,,,,,,,5.11973073259,6.375,,7.33552778276,,,,,4.275,,,,,4.7148518385400005,13.9,,,,4.39166666667,,,,,8.40833333333,,,,,11.533333333329999,,2.38103367418,2.7226661941400003,,,,,,,,,,,,,8.49586743705,,,,,,,4.63759688504,,6.143325794759999,,,,3.24166666667,,7.82,,,,9.33600128701,11.2,14.025,3.99737415748,,11.2,10.55905164199,,,,,4.57175466285,,,,2.6,18.265,12.18333333333,,,,,11.925,7.6,,,,,,,,,,,6.33398774609,1.81769573997,,,,,,,,,,,,,4.31083333333,,,5.45,3.96666666667,13.4,,,13.981883452349999,6.42,,,,,
