STATE,can_id,RESULT
AL,H2AL01077,W
AL,H0AL02087,W
AL,H2AL03032,W
AL,H6AL04098,W
AL,H0AL05163,W
AL,H2AL06035,W
AL,H0AL07086,W
AL,S6AL00013,W
AK,H6AK00045,W
AK,S4AK00099,W
AS,H0AS00018,W
AZ,H0AZ01259,W
AZ,H4AZ04024,W
AZ,H0AZ03362,W
AZ,H2AZ02055,W
AZ,H4AZ06045,W
AZ,H0AZ01184,W
AZ,H2AZ07070,W
AZ,H6AZ08038,W
AZ,S6AZ00019,W
AR,H0AR01083,W
AR,H0AR02107,W
AR,H0AR03055,W
AR,H0AR04038,W
AR,S0AR00150,W
CA,H8CA01109,W
CA,H6CA02010,W
CA,H6CA34112,W
CA,H8CA04152,W
CA,H6CA05195,W
CA,H2CA01045,W
CA,H6CA07043,W
CA,H8CA05035,W
CA,H8CA09060,W
CA,H0CA10149,W
CA,H4CA11081,W
CA,H8CA12171,W
CA,H6CA09023,W
CA,H8CA12098,W
CA,H0CA15148,W
CA,H4CA16049,W
CA,H4CA17021,W
CA,H2CA18056,W
CA,H0CA19173,W
CA,H4CA20082,W
CA,H8CA20059,W
CA,H6CA22125,W
CA,H8CA22089,W
CA,H6CA21028,W
CA,H2CA25036,W
CA,H8CA35032,W
CA,H6CA24113,W
CA,H2CA26026,W
CA,H0CA27085,W
CA,H6CA24048,W
CA,H2CA30143,W
CA,H0CA32101,W
CA,H0CA33117,W
CA,H2CA33048,W
CA,H4CA23011,W
CA,H2CA27107,W
CA,H8CA37137,W
CA,H8CA34068,W
CA,H2CA39078,W
CA,H6CA39020,W
CA,H8CA37079,W
CA,H8CA41063,W
CA,H6CA42099,W
CA,H2CA37023,W
CA,H8CA44034,W
CA,H8CA42061,W
CA,H6CA46033,W
CA,H6CA48039,W
CA,H0CA48024,W
CA,H4CA49032,W
CA,H2CA50034,W
CA,H8CA52052,W
CA,H0CA49055,W
CA,S2CA00286,W
CO,H6CO01141,W
CO,H8CO02137,W
CO,H6CO03139,W
CO,H0CO04122,W
CO,H6CO05159,W
CO,H8CO06138,W
CO,H6CO07023,W
CO,S0CO00211,W
CT,H8CT01046,W
CT,H2CT02112,W
CT,H0CT03072,W
CT,H8CT04172,W
CT,H6CT05124,W
CT,S0CT00179,W
DE,H0DE01017,W
DE,S0DE00092,W
DC,H0DC00058,W
FL,H2FL01100,W
FL,H0FL02110,W
FL,H2FL03056,W
FL,H0FL04066,W
FL,H0FL05139,W
FL,H8FL06056,W
FL,H2FL08055,W
FL,H0FL08208,W
FL,H6FL09070,W
FL,H6FL06035,W
FL,H6FL11126,W
FL,H0FL12101,W
FL,H6FL13148,W
FL,H4FL14059,W
FL,H8FL15107,W
FL,H8FL16022,W
FL,H0FL17068,W
FL,H0FL18025,W
FL,H0FL19080,W
FL,H4FL20023,W
FL,H2FL25018,W
FL,H8FL22038,W
FL,H2FL23021,W
FL,H0FL24049,W
FL,H0FL25038,W
FL,S0FL00338,W
GA,H2GA01157,W
GA,H2GA02031,W
GA,H4GA08067,W
GA,H6GA04129,W
GA,H6GA05217,W
GA,H4GA06087,W
GA,H0GA07133,W
GA,H0GA08099,W
GA,H0GA09030,W
GA,H8GA10049,W
GA,H2GA11149,W
GA,H4GA12010,W
GA,H2GA13012,W
GA,S6GA00119,W
GU,H2GU00033,W
HI,H2HI02110,W
HI,H6HI02251,W
HI,S4HI00011,W
ID,H0ID01253,W
ID,H8ID02064,W
ID,S8ID00027,W
IL,H2IL01042,W
IL,H6IL02124,W
IL,H4IL03077,W
IL,H2IL08039,W
IL,H0IL05096,W
IL,H6IL06117,W
IL,H4IL07037,W
IL,H0IL08090,W
IL,H8IL09067,W
IL,H0IL10302,W
IL,H0IL11052,W
IL,H8IL21021,W
IL,H8IL13069,W
IL,H0IL14080,W
IL,H0IL15053,W
IL,H0IL16085,W
IL,H0IL17059,W
IL,H8IL18043,W
IL,H2IL20042,W
IL,S0IL00261,W
IL,S0IL00261,W
IN,H4IN01012,W
IN,H4IN02101,W
IN,H0IN03198,W
IN,H0IN03198,W
IN,H0IN04170,W
IN,H2IN06023,W
IN,H8IN02060,W
IN,H8IN07184,W
IN,H0IN08114,W
IN,H0IN09070,W
IN,S0IN00053,W
IA,H6IA01098,W
IA,H6IA02146,W
IA,H6IA03144,W
IA,H4IA05102,W
IA,H2IA05072,W
IA,S0IA00028,W
KS,H6KS01146,W
KS,H8KS02090,W
KS,H0KS03137,W
KS,H0KS04051,W
KS,S0KS00091,W
KY,H4KY01040,W
KY,H8KY02031,W
KY,H6KY03124,W
KY,H2KY04071,W
KY,H0KY05015,W
KY,H4KY06072,W
KY,S0KY00156,W
LA,H0LA01087,W
LA,H8LA02054,W
LA,H0LA03141,W
LA,H8LA04225,W
LA,H2LA05084,W
LA,H8LA00017,W
LA,H4LA07029,W
LA,S4LA00057,W
ME,H8ME01120,W
ME,H2ME02097,W
MD,H8MD01094,W
MD,H2MD02160,W
MD,H6MD03292,W
MD,H6MD04183,W
MD,H2MD05155,W
MD,H2MD06054,W
MD,H6MD07160,W
MD,H2MD08126,W
MD,S6MD00140,W
MA,H2MA01020,W
MA,H8MA02041,W
MA,H4MA03022,W
MA,H0MA04036,W
MA,H8MA05143,W
MA,H4MA06033,W
MA,H6MA07101,W
MA,H8MA08071,W
MA,H2MA09072,W
MA,H0MA10082,W
MI,H0MI01088,W
MI,H0MI02094,W
MI,H0MI03126,W
MI,H0MI10071,W
MI,H6MI07108,W
MI,H6MI04113,W
MI,H4MI07103,W
MI,H0MI08042,W
MI,H8MI09068,W
MI,H6MI12181,W
MI,H2MI00037,W
MI,H2MI17023,W
MI,H0MI13398,W
MI,H6MI01028,W
MI,H6MI16034,W
MN,H6MN01174,W
MN,H8MN06047,W
MN,H8MN03077,W
MN,H0MN04049,W
MN,H6MN05183,W
MN,H6MN06074,W
MN,H2MN07014,W
MN,H0MN08115,W
MS,H0MS01043,W
MS,H4MS02068,W
MS,H8MS03067,W
MS,H0MS04120,W
MO,H0MO01066,W
MO,H0MO02148,W
MO,H0MO00019,W
MO,H0MO04086,W
MO,H4MO05234,W
MO,H0MO06073,W
MO,H0MO07113,W
MO,H6MO08084,W
MO,H8MO09153,W
MO,S0MO00183,W
MT,H0MT00033,W
NE,H4NE01064,W
NE,H8NE02139,W
NE,H6NE03115,W
NV,H8NV01071,W
NV,H6NV02164,W
NV,H0NV03058,W
NV,S6NV00028,W
NH,H0NH01217,W
NH,H0NH02017,W
NH,S0NH00235,W
NJ,H0NJ01066,W
NJ,H2NJ02037,W
NJ,H0NJ03153,W
NJ,H8NJ04014,W
NJ,H8NJ05052,W
NJ,H8NJ03073,W
NJ,H6NJ12136,W
NJ,H6NJ08118,W
NJ,H6NJ09165,W
NJ,H0NJ10026,W
NJ,H2NJ05014,W
NJ,H6NJ12144,W
NJ,H6NJ13191,W
NM,H8NM01224,W
NM,H2NM02126,W
NM,H8NM03196,W
NY,H2NY01067,W
NY,H0NY02085,W
NY,H2NY03089,W
NY,H6NY04112,W
NY,H4NY07011,W
NY,H8NY06048,W
NY,H8NY07046,W
NY,H2NY17071,W
NY,H8NY09091,W
NY,H2NY11017,W
NY,H4NY11138,W
NY,H2NY00010,W
NY,H0NY13074,W
NY,H2NY14037,W
NY,H6NY19029,W
NY,H0NY18065,W
NY,H8NY19058,W
NY,H8NY20056,W
NY,H0NY19139,W
NY,H0NY20095,W
NY,H8NY21203,W
NY,H2NY26080,W
NY,H0NY23081,W
NY,H8NY24066,W
NY,H0NY25078,W
NY,H8NY26095,W
NY,H4NY27076,W
NY,H6NY03031,W
NY,H0NY29054,W
NY,H0NY29054,W
NY,S8NY00082,W
NY,S0NY00410,W
NC,H4NC01046,W
NC,H0NC02059,W
NC,H2NC01081,W
NC,H6NC04037,W
NC,H4NC05146,W
NC,H4NC06011,W
NC,H8NC07044,W
NC,H6NC08111,W
NC,H4NC09106,W
NC,H4NC10047,W
NC,H6NC11172,W
NC,H2NC12021,W
NC,H2NC13029,W
NC,S4NC00089,W
ND,H0ND00135,W
ND,S0ND00093,W
MP,H8MP00041,W
OH,H8OH01043,W
OH,H6OH02086,W
OH,H2OH03067,W
OH,H6OH04082,W
OH,H8OH05036,W
OH,H0OH06189,W
OH,H8OH07065,W
OH,H0OH08029,W
OH,H2OH09031,W
OH,H6OH23033,W
OH,H8OH11141,W
OH,H0OH12062,W
OH,H6OH13133,W
OH,H4OH19036,W
OH,H8OH15076,W
OH,H0OH16097,W
OH,H2OH17109,W
OH,H0OH18077,W
OH,S0OH00133,W
OK,H2OK01093,W
OK,H4OK02089,W
OK,H4OK06056,W
OK,H2OK04055,W
OK,H0OK05114,W
OK,S4OK00174,W
OR,H8OR01072,W
OR,H6OR02116,W
OR,H6OR03064,W
OR,H6OR04047,W
OR,H8OR05107,W
OR,S6OR00110,W
PA,H8PA01153,W
PA,H2PA02055,W
PA,H0PA03271,W
PA,H6PA04110,W
PA,H8PA05071,W
PA,H2PA06114,W
PA,H0PA07082,W
PA,H4PA08074,W
PA,H2PA09035,W
PA,H0PA10078,W
PA,H2PA11098,W
PA,H0PA12132,W
PA,H4PA13124,W
PA,H4PA18131,W
PA,H4PA15087,W
PA,H6PA16197,W
PA,H2PA06080,W
PA,H2PA18143,W
PA,H0PA19053,W
PA,S4PA00121,W
RI,H0RI01073,W
RI,H0RI02139,W
SC,H0SC01279,W
SC,H2SC02059,W
SC,H0SC03077,W
SC,H0SC04257,W
SC,H0SC05031,W
SC,H2SC02042,W
SC,S4SC00083,W
SD,H0SD00054,W
SD,S2SD00068,W
TN,H6TN01388,W
TN,H8TN02069,W
TN,H0TH03254,W
TN,H0TN04195,W
TN,H2TN05131,W
TN,H0TN06257,W
TN,H2TN06030,W
TN,H0TN08246,W
TN,H6TN09068,W
TX,H4TX04039,W
TX,H4TX02108,W
TX,H2TX03118,W
TX,H0TX04037,W
TX,H2TX05121,W
TX,H4TX06117,W
TX,H0TX07055,W
TX,H6TX08100,W
TX,H4TX09095,W
TX,H4TX10093,W
TX,H4TX19136,W
TX,H6TX12060,W
TX,H4TX13014,W
TX,H6TX22101,W
TX,H6TX15055,W
TX,H6TX00115,W
TX,H0TX17104,W
TX,H4TX18054,W
TX,H4TX19102,W
TX,H8TX20077,W
TX,H6TX21012,W
TX,H8TX22107,W
TX,H4TX28046,W
TX,H4TX24094,W
TX,H4TX10028,W
TX,H2TX26093,W
TX,H0TX27061,W
TX,H2TX23082,W
TX,H2TX29030,W
TX,H2TX00015,W
TX,H2TX31044,W
TX,H2TX03126,W
UT,H2UT01094,W
UT,H0UT02096,W
UT,H8UT03089,W
UT,S0UT00165,W
VT,H6VT00160,W
VT,S4VT00017,W
VA,H8VA01147,W
VA,H0VA02084,W
VA,H6VA01117,W
VA,H2VA04052,W
VA,H0VA05095,W
VA,H2VA06115,W
VA,H0VA07042,W
VA,H0VA08040,W
VA,H0VA09055,W
VA,H6VA10050,W
VA,H8VA11062,W
VI,H4VI00054,W
WA,H2WA04090,W
WA,H0WA02080,W
WA,H0WA03187,W
WA,H2WA04041,W
WA,H4WA05077,W
WA,H6WA06021,W
WA,H8WA07132,W
WA,H4WA08071,W
WA,H6WA09025,W
WA,S2WA00189,W
WV,H0WV01072,W
WV,H0WV02138,W
WV,H6WV04057,W
WV,S0WV00090,W
WI,H8WI01024,W
WI,H8WI00018,W
WI,H6WI03099,W
WI,H4WI04183,W
WI,H8WI09050,W
WI,H0WI06061,W
WI,H0WI07051,W
WI,H0WI08075,W
WI,S0WI00197,W
WY,H8WY00148,W
