,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82,,,14.68573214654812,52.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.42,,,13.42,,,,,,,,,,,6.82,,,,,,,,3.84635793732,,,,,,,,,,,,,,13.970182,,13.32
9,2000,,31.843322,,,,,,,,,7.3302792,,,,,,,,,,,,17.62,,,,,,35.677282,,,,,,67.62,,,,,,39.82,,,40.52,,,,,,,,,,,,,,,,,,,,,,,,,25.271152,,,,,,,,,67.52,,,,,,,,,5.12,9.1017512,,9.674926199999998,,,,,,,,,35.22,,,,,,,,,,27.522672,,,,,,,,,,,,,,,,,,,32.82,20.590432,,,,,,,,,,,,,,,,,,,22.32,,,,,1.12,,30.32,,,,,,,65.42,,,,,,,,,,,,,,,,16.780051999999998,,10.92,,,,,,,,,,2.82,,,,,,,,,,13.984172,,,,,,,,
10,2001,,,,30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,52.12,17.406522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.132182,,,,,,,,,,,,,,,,,,,,,6.49962876542,,,,,,,,,,,10.043842,,2.6314916533907606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.21956446122,,8.12,,,,,,,,,,,,,,,,,,,,,
11,2002,,,,,,,,,,,,,,,,,,,,,,22.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2003,,,,,,,,,,,,,,13.912971563520005,,,,,,,,,,,,,,512.0,,,,,,,,,3.12,,,,,,,,,,,,,,,,,,,,8.112720486519999,,,,,,,,,,,,,,,5.92,,,,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62,,,,,,
13,2004,,,,,,9.82,,,,,,,,,,,,,,,,,,,4.606442,,,,,,48.12,,,,,56.22,,,,,,,3.52,,,,,,,,,,,,9.32,,,,,,,,,,,,,,,,,,,,,10.52,,,,,,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.32,,,,,,,5.62,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2005,,18.82,,,,,,,,,4.52,,,,,11.22,,,,,,20.12,,,,,,,112.0,,,,,,,,,,1.82,,,30.1832,,,,,,,,,,2.72,,,,4.32,,,,,47.12,,,,,,,,52.32,,,,,,,,,,,,,,,,,,4.22,,,,,,,,8.32,,,,,,,,,,,,,,,,,,,,,,,,,,39.42,,,,,,,,10.72,,,,,,,,,3.92,,,,,,,,,7.72,,,,,,,,,,,,,12.62,,61.82,,,,,,,,,,,,,,,,,,,,,,9.12,,14.42,,,,,,,,,16.62,,,,,4.92,,3.62,,,,,46.768662,
15,2006,,,,,,,,,,,,,,6.42,,,,,76.12,,,,9.52,,,,,34.52,,,,,,,,,,,,,,,,43.62,,,,,,,,,,,11.62,,,,,,,,,,,,,,,29.92,,482.0,,,,11.72,,48.12,,29.62,,,,,,,13.12,,,11.32,,,,,,,,2.82,,,,,4.62,19.22,,,,,,,,,,,,8.62,,39.42,,,44.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.52,,,,,,,,,,,,,,4.32,,27.12,14.42,,37.43052,,2.72,,1.82,,36.498792,,,,,,4.92,,3.32,21.62,,,15.92,,
16,2007,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,43.42,,,,,,,2.32,,31.52,,,,,,,,,,,,,,,,3.82,,,,,,,,,,,,,,,,,,,,,,,,,4.12,,,,,,,,,,,,,,,0.42,,,,,,35.62,,,,,,,37.12,,,,,,,24.22,,,,21.62,,18.62,,5.62,,,,8.62,,,,,,,,,,452.0,40.12,,,,,,,,39.42,,,,,,,,,,,,,,14.92,,,,,,,,,,,,,,,,,,,,,,,,,17.72,,,,,,,,,,,,,,,,,,,,,
17,2008,,,,,,,,,,,,,,,,,,,,,,31.12,,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.72,,,45.42,,,,,,,,,,16.22,5.42,,,,,,,,,,72.0,,,,,,,52.52,,,,,,,,,,,,,,,,9.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.32,
18,2009,,,,,,,,,,,,,,,,,,,,,,18.42,,,3.32,,,,,,33.92,,,,,,,,4.392,,,,,,,,,,,,,7.8732482,,,5.22,0.92,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,,,232.0,,,,,,,,,,,57.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,
19,2010,,4.62,,,,,7.52,,,,,,,,,,,,,,,,,,,,,44.82,32.42,,,,,,37.92,34.22,,,,,21.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.72,,,,,,,,,,2.12,3.22,,,,,,,,,,,,,,,,9.72,,,,,,152.0,,,,,,,,,,,,,,,4.72,,,,,,,,,,,,,21.22,,18.72,,,,,3.12,,,,,,,,,,19.82,,,,,,,39.12,,,,,,,,,,,,,,,,,,12.12,,,,,,,,472.0,,,,,,,,,,,,,,,,,,152.0,,
20,2011,5.12,,,,,,,,,,,,,,,,,,,,,,,,2.592,,,,,,,60.42,,,,,,,,,,,1.62,,,,,,,,,,,,2.52,,4.3573732000000005,,,,19.52,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,4.32,,,,,62.0,,,,,,,,,,,,,,,,,,,,,19.22,,23.82,,,,,12.777742,,4.42,,,,,,,,,,,,,,,36.044852,,,,13.52,,,,19.42,7.22,,,,,,5.0090212,,,,,8.72,,,,,,,,,,,,,,,,,,,,,,,,,28.12,,,,,,,,,,,,,,,,,,13.52,,,,,
21,2012,,,,,,3.4867032,,,,,,,,,,2.62,,,23.72,,,,,,,,,,,,12.12,,,,,,2.82,,4.72,,,31.62,,36.42,,,,,,,,1.4057772,,,,,42.0,,,,,,,,,,,22.62,,,,28.678992,,,,11.42,35.92,,,35.22,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.52,,,,,,,,,38.958292,46.72,,,,,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,36.32,52.0,,,,,,,,10.12,,,,,
22,2013,,,,,,,,,,,,,,4.224495200000002,,,,,,,,20.522192,,,2.0712822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5695472000000015,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,,,,3.7956692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3899262,,,,,,
23,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4550552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3238272,,,,,,5.7539532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.34972,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1338182,,4.7361762,24.798482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.170382000000004,,,,,,,,,,,,,,,,,,,,,,,
24,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1791142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
