,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.53,,,16.19322089736853,42.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.0,,,20.43,,,,,,,,,,,7.93,,,,,,,,5.20477543953,,,,,,,,,,,,,,12.381813,,15.33
9,2000,,41.11913,,,,,,,,,12.014273,,,,,,,,,,,,22.83,,,,,,38.380143,,,,,,66.53,,,,,,39.93,,,40.93,,,,,,,,,,,,,,,,,,,,,,,,,25.362613,,,,,,,,,67.43,,,,,,,,,5.33,8.7774953,,17.448242999999998,,,,,,,,,40.13,,,,,,,,,,34.184273,,,,,,,,,,,,,,,,,,,34.1213,23.473643,,,,,,,,,,,,,,,,,,,25.73,,,,,1.73,,36.13,,,,,,,64.73,,,,,,,,,,,,,,,,21.452673,,11.43,,,,,,,,,,5.23,,,,,,,,,,21.999373,,,,,,,,
10,2001,,,,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,52.43,14.465743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.120723,,,,,,,,,,,,,,,,,,,,,17.51975390973,,,,,,,,,,,16.261853,,4.586185806697553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.473368804429995,,7.13,,,,,,,,,,,,,,,,,,,,,
11,2002,,,,,,,,,,,,,,,,,,,,,,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2003,,,,,,,,,,,,,,20.90367561083,,,,,,,,,,,,,,493.0,,,,,,,,,5.13,,,,,,,,,,,,,,,,,,,,17.05505386633,,,,,,,,,,,,,,,63.0,,,,26.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.43,,,,,,
13,2004,,,,,,15.73,,,,,,,,,,,,,,,,,,,9.43,,,,,,49.63,,,,,64.43,,,,,,,8.13,,,,,,,,,,,,14.63,,,,,,,,,,,,,,,,,,,,,23.13,,,,,,10.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.0,,,,,,,12.23,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2005,,253.0,,,,,,,,,5.83,,,,,12.13,,,,,,23.93,,,,,,,12.53,,,,,,,,,,6.23,,,29.93,,,,,,,,,,93.0,,,,11.53,,,,,64.33,,,,,,,,33.93,,,,,,,,,,,,,,,,,,4.23,,,,,,,,11.33,,,,,,,,,,,,,,,,,,,,,,,,,,64.43,,,,,,,,14.13,,,,,,,,,16.23,,,,,,,,,22.63,,,,,,,,,,,,,24.43,,63.63,,,,,,,,,,,,,,,,,,,,,,8.73,,15.73,,,,,,,,,183.0,,,,,5.33,,7.13,,,,,48.92893,
15,2006,,,,,,,,,,,,,,25.73,,,,,72.83,,,,11.73,,,,,493.0,,,,,,,,,,,,,,,,47.73,,,,,,,,,,,16.93,,,,,,,,,,,,,,,33.63,,49.93,,,,24.53,,52.83,,37.33,,,,,,,17.43,,,17.93,,,,,,,,4.43,,,,,5.83,17.93,,,,,,,,,,,,14.83,,41.33,,,553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.53,,,,,,,,,,,,,,8.83,,353.0,15.73,,39.844463,,4.13,,3.33,,39.821243,,,,,,5.33,,6.93,213.0,,,20.73,,
16,2007,,,,,,,,,,,,,,,,,,,,,,,,,8.13,,,,,,,43.53,,,,,,,5.33,,29.53,,,,,,,,,,,,,,,,10.13,,,,,,,,,,,,,,,,,,,,,,,,,13.33,,,,,,,,,,,,,,,1.63,,,,,,37.53,,,,,,,37.83,,,,,,,27.73,,,,24.23,,23.93,,10.93,,,,11.43,,,,,,,,,,49.23,41.23,,,,,,,,44.83,,,,,,,,,,,,,,14.93,,,,,,,,,,,,,,,,,,,,,,,,,22.23,,,,,,,,,,,,,,,,,,,,,
17,2008,,,,,,,,,,,,,,,,,,,,,,333.0,,,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.23,,,36.23,,,,,,,,,,15.63,12.13,,,,,,,,,,83.0,,,,,,,553.0,,,,,,,,,,,,,,,,15.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.43,
18,2009,,,,,,,,,,,,,,,,,,,,,,21.83,,,6.63,,,,,,353.0,,,,,,,,8.293,,,,,,,,,,,,,19.852963,,,7.43,4.83,10.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.53,,,34.53,,,,,,,,,,,52.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.43,,,,,,,,,
19,2010,,6.43,,,,,123.0,,,,,,,,,,,,,,,,,,,,,55.63,31.33,,,,,,36.63,32.13,,,,,19.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.13,,,,,,,,,,2.83,4.23,,,,,,,,,,,,,,,,7.63,,,,,,21.73,,,,,,,,,,,,,,,11.33,,,,,,,,,,,,,40.53,,23.33,,,,,7.53,,,,,,,,,,18.43,,,,,,,40.83,,,,,,,,,,,,,,,,,,14.53,,,,,,,,50.33,,,,,,,,,,,,,,,,,,17.13,,
20,2011,13.13,,,,,,,,,,,,,,,,,,,,,,,,5.752999999999999,,,,,,,63.63,,,,,,,,,,,3.43,,,,,,,,,,,,3.83,,10.351563,,,,32.53,,,,,,,,,,,,,,,,,,,,,12.43,,,,,,,,8.33,,,,,6.43,,,,,,,,,,,,,,,,,,,,,20.33,,26.33,,,,,16.413973000000002,,9.13,,,,,,,,,,,,,,,34.072943,,,,12.53,,,,21.93,10.93,,,,,,4.9924623,,,,,17.63,,,,,,,,,,,,,,,,,,,,,,,,,30.83,,,,,,,,,,,,,,,,,,12.53,,,,,
21,2012,,,,,,6.3946492999999975,,,,,,,,,,23.0,,,24.43,,,,,,,,,,,,113.0,,,,,,6.23,,9.53,,,31.43,,36.63,,,,,,,,3.8549173,,,,,103.0,,,,,,,,,,,25.63,,,,28.839643,,,,26.63,40.33,,,40.33,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.53,,,,,,,,,56.221133,50.33,,,,,,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,,,37.13,5.13,,,,,,,,11.73,,,,,
22,2013,,,,,,,,,,,,,,5.728613,,,,,,,,19.891173,,,4.2975453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.945493,,,,,,,,,,,,,,,,,,,,,,,,,14.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.33,,,,7.3505533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3685053,,,,,,
23,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.569861300000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.62193,,,,,,15.117242999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.885413,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0200133000000005,,15.704213,27.370853000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.265573,,,,,,,,,,,,,,,,,,,,,,,
24,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9111363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
