,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,0.8999999761581424,1.899999976158144,,0.6000000238418584,1.2000000476837245,,,0.6999999880790714,,,0.4000000059604644,,5.099999904632575,,,,,8.800000190734863,,,,0.6000000238418584,,,,,,,0.8999999761581424,,,,,,,,,,4.900000095367433,,,,,,3.799999952316284,,2.9000000953674334,3.7000000476837234,,,10.399999618530341,,,,,2.400000095367434,,,,,14.0,54.0,,,,,2.9000000953674334,,25.20000076293954,,5.54,,,,,,,6.599999904632576,,,34.0,,,,,,2.599999904632574,,,7.300000190734862,4.54,15.54,,,,,22.70000076293954,,,,,,,,,,,,,44.0,,,,,8.100000381469734,,,,,,15.899999618530341,,,,,,,,,,3.799999952316284,,24.0,,,,24.0,,,,,,0.4000000059604644,5.900000095367434,,,5.900000095367434,,5.599999904632576,,,,,0.6999999880790714,,32.40000152587894,,,2.400000095367434,,,,,,,,,9.600000381469735,,1.2999999523162842,,2.7000000476837243,,,,,0.54,6.400000095367434,,,0.54,53.20000076293954,,,,6.300000190734862,,71.30000305175784,,,,,,0.54,,,,,,,,,45.59999847412114,
1,1992,,,,,,2.099999904632574,,,1.399999976158144,,,0.6000000238418584,,,0.2000000029802324,,5.900000095367434,,,,,84.0,,,11.899999618530341,,,,,,,,0.8999999761581424,,,,,,2.400000095367434,,,,3.799999952316284,,,,,,3.7000000476837234,,,3.9000000953674334,,,11.60000038146974,,,,,2.799999952316284,,,,,0.8999999761581424,4.900000095367433,,,,,2.9000000953674334,,264.0,,,,,,,,,74.0,,1.7999999523162842,2.7000000476837243,,,,,,24.0,,,8.899999618530273,4.099999904632574,14.30000019073494,,,,,224.0,,,,10.41367319178774,,,,,,,,,2.599999904632574,,,,,,,,,,,16.20000076293954,,,,,,,,,,2.599999904632574,,1.7999999523162842,,,,1.899999976158144,,,,2.2000000476837243,,14.0,7.300000190734862,,7.800000190734862,2.400000095367434,,224.0,0.1000000014901164,,,,,0.3000000119209294,,,,2.099999904632574,,,,,,,,,8.600000381469734,,,,,,,,,0.54,6.099999904632576,,,,53.54,,,,6.199999809265144,,65.40000152587892,,,,,1.100000023841864,0.54,,,,,,,,,,
2,1993,,,,,,2.2000000476837243,,,1.399999976158144,,,0.6000000238418584,,,0.2000000029802324,,5.54,2.599999904632574,,,,11.80000019073494,,,11.80000019073494,,,,,,,,0.8999999761581424,,,44.400001525878935,,,2.099999904632574,,,,4.199999809265143,,,,,0.4000000059604644,3.5999999046325737,,,4.400000095367433,,,10.600000381469739,32.79999923706054,8.600000381469734,,,3.4000000953674334,,,,,14.0,4.400000095367433,,5.300000190734863,,,2.799999952316284,,25.20000076293954,,,,,,,,,,24.0,1.7000000476837245,2.799999952316284,,,,,,2.299999952316284,,,8.54,3.200000047683724,13.10000038146974,,,,,23.20000076293954,,,,10.669723906624,,,,,,,,,3.54,,,41.59999847412114,,,,,,,,16.54,,,,,,,,,,2.9000000953674334,,1.600000023841864,3.5999999046325737,,,1.7000000476837245,,,,2.400000095367434,,2.9000000953674334,9.199999809265146,,8.399999618530272,2.400000095367434,,22.89999961853034,0.1000000014901164,,,,,,,,,2.099999904632574,,,4.599999904632575,,,,,,8.399999618530272,18.70000076293954,,4.099999904632574,,,,,,0.6000000238418584,5.900000095367434,,,,49.59999847412114,,,,6.900000095367434,,63.70000076293954,,,,,0.8999999761581424,0.4000000059604644,,,,,,,,,,
3,1994,,,,,,2.599999904632574,,0.6000000238418584,1.399999976158144,,,0.4000000059604644,,,4.0,,5.099999904632575,4.800000190734863,,,,12.60000038146974,,6.800000190734862,,,,87.30000305175786,,,,,0.8000000119209294,,,,,,2.2000000476837243,,,,3.7000000476837234,,,,,0.6000000238418584,2.9000000953674334,,,4.54,,,114.0,33.54,8.100000381469734,,,3.200000047683724,69.59999847412114,,,,0.8000000119209294,4.199999809265143,,,,,2.599999904632574,,25.600000381469737,,,9.100000381469735,,,,,,6.099999904632576,1.7000000476837245,1.600000023841864,2.54,,37.79999923706054,,,,2.099999904632574,,,7.900000095367434,3.4000000953674334,12.80000019073494,,,,,22.20000076293954,,,,,,,,,,,,,34.0,,,,,,,,,,,16.70000076293954,,,,,29.299999237060536,,,31.54,,2.54,,1.7000000476837245,,,,1.2999999523162842,,,,1.600000023841864,,4.300000190734864,8.300000190734862,,7.54,2.7000000476837243,,24.20000076293954,0.1000000014901164,,,,,,,,,2.54,,0.2000000029802324,7.5999999046325755,,,,,37.45849485096724,7.54,18.79999923706054,,2.599999904632574,,,,,,0.6000000238418584,5.699999809265144,,,,48.59999847412114,,,,6.800000190734862,0.8000000119209294,64.09999847412114,,,,,0.8000000119209294,0.2000000029802324,,,,1.2000000476837245,,,,,,20.54
4,1995,,,,,,2.099999904632574,,,1.2999999523162842,5.300000190734863,,14.0,,,4.0,,5.400000095367434,4.300000190734864,,,,15.10000038146974,,,11.399999618530341,,,,,,,,0.6999999880790714,,,,,,1.7000000476837245,,,,54.0,,,,,0.8000000119209294,2.299999952316284,,,44.0,,,12.54,29.799999237060536,8.300000190734862,,,1.899999976158144,,9.431743146942416,,,1.2999999523162842,3.799999952316284,,,,,2.599999904632574,,25.100000381469737,,,,,,,,,6.54,1.54,1.600000023841864,1.2000000476837245,,,,,,1.899999976158144,,1.2000000476837245,7.699999809265144,3.9000000953674334,12.54,,,,,21.100000381469734,,,37.59999847412114,10.107445865153537,,,,,,,,,3.4000000953674334,,,,,13.199999809265142,12.10000038146974,,,,4.099999904632574,16.29999923706054,,,,,,,,,,2.54,,1.600000023841864,3.7000000476837234,,,1.600000023841864,,,61.70000076293954,34.0,,,8.300000190734862,,7.699999809265144,2.599999904632574,,23.70000076293954,0.2000000029802324,,,0.6000000238418584,,,,,,,,0.2000000029802324,6.599999904632576,,,,,,6.400000095367434,19.100000381469734,,34.0,,,,2.2000000476837243,,0.6000000238418584,5.199999809265143,,,,46.54,,,,64.0,,654.0,,,0.2000000029802324,,0.8000000119209294,0.2000000029802324,,,,1.399999976158144,,,,,,
5,1996,,,,,,2.799999952316284,,,1.2000000476837245,5.54,,1.100000023841864,,77.30000305175784,0.4000000059604644,,5.400000095367434,4.099999904632574,,,,14.899999618530341,,,10.30000019073494,,,,,,,21.600000381469737,0.6999999880790714,,,,3.9000000953674334,,1.7000000476837245,,,,3.9000000953674334,,12.399999618530341,,,0.8000000119209294,1.7999999523162842,,,2.7000000476837243,,,10.899999618530341,,9.399999618530273,,,24.0,,9.960516593549285,,,1.399999976158144,3.4000000953674334,3.54,,,,1.899999976158144,,24.20000076293954,,0.6000000238418584,,,,,,,10.54,1.399999976158144,1.600000023841864,0.8999999761581424,,,,20.79999923706054,,1.54,,1.100000023841864,7.199999809265144,3.5999999046325737,124.0,,,,,20.39999961853034,,,,9.553118227976613,5.099999904632575,,,,,,,,1.7999999523162842,2.299999952316284,11.199999809265142,,,13.80000019073494,,,,,,15.699999809265142,,,,,,,,,,2.099999904632574,0.54,1.7999999523162842,3.799999952316284,,,1.2999999523162842,,,61.70000076293954,2.799999952316284,,7.199999809265144,10.100000381469739,,7.900000095367434,24.0,,25.600000381469737,0.1000000014901164,304.0,,0.54,,,,,,2.400000095367434,,0.2000000029802324,5.599999904632576,,,,,,5.800000190734862,18.89999961853034,,2.2000000476837243,,,,2.599999904632574,,0.6000000238418584,4.599999904632575,,,,44.400001525878935,,,33.59999847412114,4.300000190734864,,65.30000305175784,,,0.2000000029802324,,0.6999999880790714,0.2000000029802324,,,,1.2000000476837245,61.54,,,,43.20000076293954,
6,1997,,,,,,2.400000095367434,,,1.2000000476837245,4.900000095367433,,0.2000000029802324,,,4.0,,54.0,4.199999809265143,,,,14.199999809265142,,,,,,,,,,,0.6999999880790714,,,,44.0,,1.7999999523162842,,,,4.099999904632574,,11.54,,,0.6000000238418584,2.2000000476837243,,3.299999952316284,2.9000000953674334,,,8.800000190734863,304.0,74.0,,,1.899999976158144,,9.619480358504383,,,0.8000000119209294,3.200000047683724,,,,,1.7999999523162842,,23.600000381469737,,,,,,,,,10.80000019073494,1.399999976158144,1.7999999523162842,0.4000000059604644,,,,,,1.7999999523162842,,0.8999999761581424,6.800000190734862,3.200000047683724,11.60000038146974,,,,,19.600000381469734,,,,,7.54,,,,,,,,1.54,3.200000047683724,7.54,,,12.399999618530341,,,,,,17.600000381469734,,,,,,,,18.100000381469734,,2.099999904632574,,1.399999976158144,44.0,,,0.8999999761581424,,,54.09999847412114,2.799999952316284,,8.100000381469734,12.10000038146974,,74.0,1.899999976158144,4.0,27.799999237060536,0.1000000014901164,,,0.3000000119209294,,,,,,2.2000000476837243,,0.1000000014901164,8.899999618530273,,,,,,5.199999809265143,18.29999923706054,,2.2000000476837243,,,,3.799999952316284,1.54,0.54,4.54,,,,45.09999847412114,,,,4.199999809265143,,604.0,,,0.3000000119209294,,0.6999999880790714,0.2000000029802324,,,,0.8999999761581424,55.900001525878935,,,,,15.899999618530341
7,1998,,,,,,2.2000000476837243,,,14.0,4.400000095367433,,0.4000000059604644,,,4.0,,4.099999904632574,4.699999809265143,,,,,,,,,,,9.399999618530273,,,,0.6999999880790714,,,,4.099999904632574,,1.600000023841864,,,,44.0,,104.0,,,0.8000000119209294,2.400000095367434,,,34.0,,,10.69999980926514,23.299999237060536,10.600000381469739,,,1.100000023841864,,10.79331959275474,,,0.54,2.9000000953674334,,,,40.20000076293954,1.7999999523162842,,21.29999923706054,,1.7000000476837245,13.10000038146974,,,,,,10.69999980926514,1.2000000476837245,1.100000023841864,0.3000000119209294,,,,,,24.0,,0.8000000119209294,6.599999904632576,3.4000000953674334,11.30000019073494,,,,,22.20000076293954,,,,,6.199999809265144,,,,,,4.099999904632574,,1.399999976158144,3.0999999046325737,124.0,,,124.0,,,,,,14.60000038146974,,,,,50.900001525878935,,,,,1.7999999523162842,,1.399999976158144,5.54,,,1.2000000476837245,,,63.29999923706054,2.9000000953674334,,9.899999618530273,11.699999809265142,18.29999923706054,6.300000190734862,34.0,,28.54,0.1000000014901164,,,0.3000000119209294,,,,,,2.099999904632574,,4.0,8.399999618530272,,,,,,4.800000190734863,274.0,,1.100000023841864,,,,1.600000023841864,,0.6000000238418584,4.099999904632574,,,,43.59999847412114,,,,44.0,,60.70000076293954,,,0.2000000029802324,,0.6000000238418584,0.1000000014901164,2.599999904632574,,,1.600000023841864,53.20000076293954,,,,39.40000152587894,
8,1999,,,,,,24.0,,,1.100000023841864,4.300000190734864,,0.4000000059604644,,,4.0,,5.300000190734863,3.54,,,,37.54,,,,,,,,,,,0.4000000059604644,,,,3.799999952316284,,2.54,,,,4.199999809265143,,94.0,,4.699999809265143,14.0,1.899999976158144,,1.899999976158144,2.799999952316284,,,9.899999618530273,224.0,8.600000381469734,,,14.0,63.59999847412114,10.90267245468014,,,0.8000000119209294,2.799999952316284,,,,40.20000076293954,1.54,,18.54,,,,,,,,,14.30000019073494,1.54,1.100000023841864,0.3000000119209294,,,,,,1.7999999523162842,,0.8000000119209294,5.800000190734862,34.0,11.10000038146974,,,53.20000076293954,,20.100000381469734,,,,,6.199999809265144,,,,,,4.300000190734864,,1.54,3.299999952316284,16.20000076293954,,,11.699999809265142,,,,,,13.899999618530341,,,84.0,,54.900001525878935,,,,,1.600000023841864,,1.2000000476837245,4.900000095367433,,,0.54,,,63.29999923706054,2.099999904632574,,9.100000381469735,10.600000381469739,19.20000076293954,5.199999809265143,2.799999952316284,,30.799999237060536,0.1000000014901164,,,0.3000000119209294,,,,,,2.2000000476837243,,0.2000000029802324,7.400000095367434,,,,,,4.099999904632574,24.799999237060536,,1.600000023841864,,,,,,0.6999999880790714,4.099999904632574,,,,40.29999923706054,,,,3.54,,59.900001525878935,,,1.2999999523162842,,0.54,0.1000000014901164,2.54,,,2.54,54.20000076293954,,,61.900001525878935,,16.10000038146974
9,2000,,,,,,1.7999999523162842,,0.4000000059604644,1.100000023841864,4.099999904632574,,,,73.19999694824223,0.2000000029802324,,4.199999809265143,,,,,36.70000076293954,,,5.54,,2.400000095367434,,,14.80000019073494,594.0,,0.4000000059604644,,,,3.5999999046325737,,5.300000190734863,,,,3.299999952316284,,8.199999809265144,,6.599999904632576,14.0,1.7999999523162842,,,2.54,,,18.600000381469734,264.0,7.400000095367434,,,0.4000000059604644,,9.253904078360534,,,0.6000000238418584,2.299999952316284,,,,36.70000076293954,1.399999976158144,,17.20000076293954,,,15.10000038146974,,,,,,,1.2000000476837245,14.0,0.6000000238418584,,37.79999923706054,,,,1.899999976158144,,0.8000000119209294,5.800000190734862,34.0,10.600000381469739,2.099999904632574,,,,19.20000076293954,,,,7.820568579347234,4.800000190734863,,,,,,3.54,,1.2999999523162842,2.9000000953674334,16.54,,,11.10000038146974,3.4000000953674334,,4.0,,1.7000000476837245,12.199999809265142,,,8.800000190734863,38.59999847412114,,,,4.099999904632574,,1.600000023841864,,1.2000000476837245,114.0,,,0.54,,,50.09999847412114,1.7999999523162842,,,10.69999980926514,16.79999923706054,6.599999904632576,3.299999952316284,,31.100000381469737,0.1000000014901164,,,,,,,,,,,0.2000000029802324,6.599999904632576,,,,,43.55248135038744,3.7000000476837234,26.54,,1.399999976158144,,,,,,0.3000000119209294,3.5999999046325737,,,,39.79999923706054,,,,2.9000000953674334,,52.09999847412114,,,1.54,,0.6000000238418584,0.1000000014901164,2.299999952316284,,,2.299999952316284,53.09999847412114,,,,61.79999923706054,
