,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,331.45841710489,,96.29745317419001,,,,78.79003630937,95.12080795253999,,96.0136212486,105.85071341945999,,,,94.67348089650999,78.08006535124001,,,,32.59465666239,,,1270481.48593352,,,,334.83919985171,,131.44724472893,81.42150922967,,,157.4530455958,,70.77067842773,130.63340535075,127.8050783514,,2141666666666.67,,290.44316958698,115.06400957471001,,,73.30499340312,63.11657400681,91.20525968417,,74.03863380396,233.93889396932,185.21595595165002,117.09775650629999,,,,136.97612223361,,,,,,136.22393985938,107.67887022805,90.87156463271,,166.66305725313,228.594278463,,88.93764868934,2916.8375903873302,118.88712211726002,,64.77771309269,,,,128.81316582775,,,,100.94109403808001,246.81044475903,194.45157336481998,18525172885.6199,,,1346.6752848914,202926.172842205,99.13140823504,,163.13892327639,116.33855778457001,,54.48803936254001,,,,,,,,,633702.021873801,,124.55143234053,253.70544216857,,,,,99.8343800464,,,,3103.4758441309496,111.77839951853001,,,95.49198751614,,,387.25480961669996,,24818.9838020741,,,85.67387998313,,,,,94.45507704685998,,88.77003774724001,250.70194920986,,999.2147538960601,96.54795045530001,103.7767136082,326.74659308832,,224.96995301705002,70.20472378659001,,148.15495288438,258.25179296846,104.81451873191999,89.87137120163,45768.2114174641,,,103.32909054433,,,100.34603324051001,,,1135.63607598794,77.81698131797,77.54714556415999,,284.51164322935,,242.27057609224,326.74666666667,126.91524654909,,,93.54898708884001,86.35660304848,85.22905367774,2782315759.3514104,14561626511.9055,4960036521.23102,,,,126.32464842985,77.48510970403002,,,,,,126.43003778582,,103.98805912431999,144.17554706775,,,172.57178833916996,,,86.43603101830999,122.85677658167,81.52837318546,161.78976527425,,,2730.27902518462,,,220567541.162883,,6288.18199008469,
1,1992,,,268.07893699467,,96.27858745645,,,,75.00130968014,96.98411062114,,96.69755657120001,103.99006855424999,,,,96.90097970707,79.69908548251,,,,44.48498751606,,,145744.504631978,,1920.7019337769893,,337.67105497798,,149.75608846718,78.22950519726999,,,168.07081184423,,78.26206682689,123.11794871881,116.99837663648,,86311384613.1589,,283.7155968552,131.21778370468002,2424.95056551514,,75.09694222698,63.93802554748,93.52391159066,,76.73353374861,247.12846309998002,176.45965775046002,115.24868299031999,,,,145.52790139403,,,,,,133.92018609464,93.90019805415001,93.81640467934,,177.22087003415,234.29931629456001,,91.77781940087,2589.1951059986604,110.89677244686001,,70.23716134461,,,,121.94542081999,,,,100.09551981863001,235.35223088771,199.31034681021998,11788784974.926,,,659.05763285461,219903.839363612,102.10683975209,,147.14632945828996,112.84976318024,,58.99801346066,,,,,,,,,72979.623778937,12.20848734562,76.68313197830999,242.6985809752,,,,,100.55069676829001,,567.90765334707,,2602.70131113554,120.53690591896999,,,94.29637252714001,,,385.78029842985,,26557.626124802002,,,87.88763790725002,,,,,96.54696303255,,81.19401428527,263.79618696175,,636.66176419028,97.70590006266,101.67656046254999,311.58765586919,,235.08680473436002,85.88749341316,,162.6622459758,200.83698903764,108.54116217972,91.19226763040001,9496.554936307193,,,103.97457817711,,,98.16306431986999,,,661.8689119716902,80.27025349328,78.38907291236,,267.86311537352003,,235.802159131,311.58916666667005,123.96977575415,,,92.82968252087,88.13834199435999,87.30327252793,1898529881.4321399,9391210012.02468,3176333860.9679,,,,127.96486380301,76.07579529064,,,,,,135.84264742806002,,111.57030597031999,146.5501307781,,,120.70626949068998,21149.2592659038,,85.13533529720999,118.37667110647,83.55188724074999,153.24644084841,,,2455.79769134801,,,27941099.961960804,,2453.73727165166,
2,1993,,,277.77663796697004,,102.31300232097999,,125.64230448637,,73.50685686848,99.52137969233,,100.28905179408001,109.49503515708,,,,97.32110076444,86.3130509813,,,,69.27605554782,,,11046.436255786699,,2692.90054271068,,362.9457853078,,166.00825655906004,76.6849421647,,,176.39627211542995,,88.53104438463001,119.04994904438,123.60862798635,,5427925043.0817,,306.24717733872,146.58157410489,235.71753737727002,,75.86838624123,67.30158581434,95.55183940996,,83.40220513806999,270.93967994696,171.40416149648001,120.34731226653999,,,,154.02188808478002,,,,3130.5864025574,,135.05102340136006,80.8647612135,96.09498403365,,182.85464003554,264.26346905235,2068.61577604402,94.1359416002,2027.35742513031,101.55227516977,,83.46281834185001,,,,139.23386064623998,,,,101.99681148839001,224.44849713882004,189.30368446696,741370345.8110651,,,451.23305740874,260350.378259934,95.84971371099,,135.13786820823,93.88212600561,,73.53807075997,,,,,,,,,5810.4498106129295,29.28383345124,77.13267960609001,221.30860694117,,,,,100.45146560004999,,96.49770001799,,2423.2819898821804,124.60054697158002,,,88.57497181978,,,404.59848906919,,31301.686902201094,49.96669430486,,92.87010265226,,,,,98.67667990791,,85.29526447657,261.78381820275,,485.26884908695,94.50074964913999,106.91236892132,300.19525786771,,259.51724096584,115.99001006711,,163.13779752483998,166.04202248942,102.35354778934999,99.55679843044001,4023.8108488634,729.9601283478502,,106.97046391134,,,103.02048915,,,675.35046379625,81.38122047369001,77.02470278968,,262.32426861241004,,227.27124414847,300.1975,109.12398505001998,,,96.56143239069999,97.56488475980998,97.15494336649,119394569.395252,590592241.898061,199752843.416033,,,,103.28876382927,77.87845099388001,,,,,,141.4046626732,,101.97621176357,141.95842164341005,,,146.50765882656,2834.9888592127504,,88.87153925902003,107.75957252740999,90.92721806607,191.6297781692,,,2164.1708732241896,,,1757870.37902898,,933.7644479425501,
3,1994,,,196.87666325549,,102.35609684491,278.42554078332,20.629810187260002,,81.47984717728,99.80017330643,,98.51705519611001,107.33378168836,,,,99.06513905674,90.88247529851999,,,,111.14181285912,,,372.75466335806,,1927.8705179583606,,402.65387253814,,93.24980747909001,74.91100743752,,,99.08320412930999,,105.48634175692,77.94258119103,149.09568706152,,44063954.7418354,,312.44724517642004,85.17726942498,93.72663199642,,78.55314981155,69.17454183601,96.03985968146999,,87.94957439405,280.98235308392003,117.86248964191999,104.54889141621,106.39209087168,137.22980969073,,96.31496672975,,,,1874.57242781803,,138.4417449098,87.16841020694,96.95124832274,,98.03965933862,282.90361597185,88.7319596026,94.85366001684,1493.86914858014,96.20491868213,,95.41095792622,,,,143.18882309156,,,,111.28323911666,200.42977492674999,187.12148460451002,6019005.00023467,136.09026092483,415.35780500568,387.52351224344,301824.301256925,96.17729493107001,,124.91267460241998,90.30755445038,,84.08909351066,,,,,137.59204248089,87.97526605321998,,,434.3887280683,53.33718771415,85.57259337747,204.20085088396,,,,,101.59354727683001,,60.75868371986999,,1535.43323299546,124.54141262533001,,,88.96917111508002,,,389.63020280917,,36214.3860204137,76.88842830479,,98.97967252934,,,,,99.00958962631,,91.69896013653,277.93514620582,,636.2867201836,93.33998771931,103.84883451281999,286.22706505137,84.39165970011999,269.12153136884996,170.76835720097,95.36410921109,175.62285865768,133.96329511348998,98.8284300877,103.69951616589,1828.23325691427,567.07140377522,,110.19513300004,,,101.65910896711,,,716.5167323377499,85.28439985079001,73.89745181124,124.68392536924,257.10851806933,,215.68824663619998,286.22833333332994,101.89969414256001,,,96.48206626474001,102.09576549443001,102.41461574764,969673.4570007892,4794883.84606355,1622166.29415892,,,,101.94493216495,82.99168412856,,,,122.58849744327,,77.44659342896999,,99.11756241301,142.69425337078002,4957.61136829875,,200.73663667685003,483.25677743774,,88.13534751785,108.05924480007,96.29494510614,252.73163182752998,,,1558.52985009596,,,15055.942789655,,600.54782687391,
4,1995,,,129.9529208647,,99.19874934797,305.90181929793,28.601324106550003,,78.90673227069,103.6591945519,,95.57074649082001,102.17691713517,,,,103.56691834092,91.20505585743,,,,113.47862996498002,,,165.32737060238,,1624.51402168031,,392.10057100415,,98.5752053643,73.86581328843,,,102.1496742072,,111.38363933601002,76.99856411681,138.2337049903,,1531462.71052729,,275.69423133745,90.66509491286,100.16750923924,,81.57791415543001,69.21746854057,100.44499318715,,85.29419616771,271.53532320840003,113.47932511652999,104.249903656,102.931034004,129.15615002604,,100.77940274116,,,,1117.79273358822,,137.36315983183002,96.29667699984002,100.39432164294,,102.1391381753,269.9726185037,56.5196259142,100.11266721253,1146.71687152002,94.67293387021999,,94.40760602921,,,,136.57307011712,,,,106.10192757416999,156.21714388392,189.25845668663,209594.45448157,127.21307959988998,382.08042861867995,374.20873838837014,298816.331705346,96.81531662752,,117.26614087694,81.85210430981998,,89.74776728773001,,,,,139.38225251709,84.98590589761,,,272.85505065983995,74.85301210720999,84.82671132117,192.83843250240002,,,,,103.50736831325001,,74.38273181077,,736.6185430838701,124.70379580349,,,89.95285236034,,,202.19015099307998,,35839.6616387087,136.71464775748,,100.42630530213002,,,,,103.53403662956998,,96.30596624110001,248.13053798284,,608.43578627501,95.86770989555,98.10450867889,263.0648794463,86.56618831073,204.87643179144,173.53797689409,96.51598747458999,173.40465511068,116.96050026008,100.49663044079,98.99492380381001,1437.29926970395,349.1097320512401,,107.52174056599002,,,96.45566389726,,,545.86939463586,87.80787578918002,74.30352480974,129.04241685574,237.43460034276,,199.62281682278,139.99290803113,101.49903264111,,,94.23631332477,98.91288886352,99.01781716042,34077.7333278781,166980.190183658,56879.3706527534,,,,101.48198994642,88.98471381539,,,,118.30995860085,,81.07499938674,,97.55869344413999,143.19481533632,2825.46161898755,,194.93363679285,256.90678277987996,,83.67337088559,103.12455320871,95.30270593286,211.42649424792998,,,1253.51559409215,,,1304.52233600347,,440.22284660188,
5,1996,,,116.54435660016,,100.78886034695999,322.91310567551005,61.5026019783,,86.27904828788,101.83326416936,,97.65469464222001,104.69085185956,,,,101.2379228918,93.88555630968,,,,111.63341298052,,,154.87393701116002,,917.7757694800999,,341.25232076999,,99.32040976616,76.12999641351,,,102.88215686659001,,110.80232105313,80.41422243577,132.72427921249,,220073.38877093105,,246.26667589784,91.64530606506001,100.15554816317,,82.70515700777,70.29694000411,99.51263854166001,,87.20801613164,273.96303882979,117.19384836374,102.90961402166,105.98858204883,136.04217511485,,99.65926417931,,,,750.1288955079201,,137.90157985202,93.83023262,100.36416602691,,102.65072579429001,272.51975799951,66.55889837239,98.09232531061,866.1261899182698,95.6095255116,,95.92685633926001,,,,142.1196247244,,,,109.37692421839,133.50106668247,189.85321918907,30405.5686925194,121.00948972270001,387.80186172105005,397.77602766497,316416.358588833,99.13024580677,,113.84149455439,89.98642602519001,,78.25911679645,,,,,140.7169926304,88.49063324045,,,205.41482558777,75.08009921856,90.31208068228001,165.55841560212,,,,,101.40421874078,,77.32890313757,,805.32864653175,128.37266303673002,,,89.44572916729,,,172.39518339194,,37947.3904591888,151.53911805036,,100.72162288813,,,,,101.3894256963,,102.74680977721,228.65331839331,,629.7501571300098,96.04630002982,102.66650989147,238.95932929109,90.87074537551001,202.19725280512,173.30796167222,96.02733115766,177.01194967189,109.51669865214001,100.71176614629,102.45149777575001,984.83446349889,337.09660855166,,107.83991953738001,,,99.74051982433001,,,451.85731401952006,91.81080662472,75.15603916776999,117.01855313555001,231.38572042138,,175.86595728391003,132.10524785679,102.33065435651,,,95.24644599212,100.35862013421,100.8371495126,5219.24694109279,24235.2263138815,8613.69079729475,,,,111.45625951315,87.56623819469,,,,123.20822283498998,,82.159225351,,100.92529359543,143.24974588543,1678.08697444319,,191.1202123047,220.03644399611,,86.76076567451,104.87591133047,100.0104620459,174.42131283158,,,564.45717136433,,,900.80711059663,,346.50944036789,
6,1997,,,125.04646695716002,,102.84035019410999,347.3173302267801,57.69541812513,,87.52605328536998,98.66383066944,,104.03363667144,111.21681035378,,,,95.51611448173,97.53773139965999,,,,113.48029182131,,,152.24505010471,,85.96714389221,,319.43850606356006,,95.70903068884,76.29634857949999,,,99.25128071528,,115.89339404969999,86.53951612566,130.3742562108,,71474.3641958852,,227.95455949967004,88.44055135862,99.29431217648,,82.01529822756,67.65708832132,96.09471299409,,89.23076722747,272.42326206126,117.84025912262,101.47741230215999,111.00382531753999,153.80809758107,,91.32731513306999,,,,523.76760906033,,140.94787209926,90.89758352097,96.08580018109,,98.74160800876,282.24097462821,79.16789443011,93.70585055985,747.9773776022,98.78017943687999,,98.03184392796,,,,145.9890383694,,,,114.27092299208,122.6420764099,194.10227999891003,10081.6065797974,126.76942376413,353.58448246985,440.37068417204,341809.57278412196,99.40969896138,,112.93200839558,91.36968603475,,74.43108857116,,,,,129.82067042581002,95.26641246501998,,,198.7658196321,79.36836631186998,101.34870690611,156.56814107154,,,,,97.36746710003,,74.94009543708,,805.53731664046,124.02274501531001,,,89.79223504756,,,168.17190803385,,40997.2504027998,174.97803671628998,,101.32380262655,,,,,95.51988456122999,,105.4335691895,212.83921907396999,,679.08009936789,96.00171915153999,108.34515047002,222.76997099986,95.31123924053,199.57302681533,172.96579367655,94.44118459327,169.84352842549998,100.72329676892001,98.55822166516,109.29352776438,478.25226835254006,340.9641761220201,,108.94738331748002,,,106.61726670382,,,468.35910840375,93.61240481764,77.40588850653,112.21292969587,236.37607909068,,174.75710838882,135.80037163795,97.58497131392001,,,97.36556738906,102.64176839445999,104.14096236349,1965.10219012841,8044.056808960268,3170.09262862642,,,,106.81935972919001,81.65361161188001,,,,112.38520028566002,,79.90549312583,,99.54198147496,141.35693311845,1017.1596379541197,,194.68497297187,254.43046416884,,92.55193893431,120.6431038429,107.09941773934999,155.10709990471,,,486.94577790762,,,900.16133118869,,336.76401582098,
7,1998,,,130.9353356247,,104.88020529186,369.70572607626997,60.561851903930005,,81.45470421803998,99.08585751561,,111.18224544805,115.90861002245,,,,95.92024979808001,101.68985027575,,,,113.38000570178998,,,146.05703985172,,82.24111228115,,267.92840636619,,97.20043957216,72.51672498714002,,,99.89062973601,,110.93715797661,94.03140943275,110.20312692676,,64363.067204629006,,214.35397425571998,92.7903700383,98.28133069158001,,86.6022143596,68.02583718841998,97.27882879617,,91.62822945061,259.67676776062,96.61555772209,89.23687263295,118.40666085943,166.7898346998,,91.31342891286998,,,,369.75198120938006,,116.7640615649,92.1889817565,97.13048507572,,99.04355605347,285.85495774368,85.66161501703,95.62429876375,705.9951937231,95.199617334,,99.21909365205,,,,142.21582725535,,,,120.51012576609,109.24005049361,200.83298967866,9070.7858488232,120.60584499652,109.34216799954001,486.32352687379995,357117.31604119396,95.39666748014,,107.36728154114999,92.67621573429001,,76.20117789438001,,,,,94.86427072968,103.12618392205,,,190.05469444777,84.12787365328,109.63638143771,136.19273947127,,,,,97.33819422712,,74.06942208384,,492.37883895105006,96.53758692835,,,93.53911311684999,,,148.90097641371,,42844.65461575541,173.46074841701,,102.86133840965,,,,,96.4188504508,,92.32544945334,199.14105535181,,741.4569999699901,92.82091991738001,112.90709056135,218.17474587464,100.5388332764,161.06207043558,144.67078719424998,92.37278689503,132.80955599671998,98.00213296876,97.7673579392,115.41297279477,400.96693468223,275.33748420395,,107.96121916375,,,115.23239258807,,,295.81878147948,95.18402698285999,75.80543935851999,112.60683692229999,209.88756769801998,,153.41187253998,129.78433077924,97.57612264513,,,99.05388758687,103.9787124106,105.77103442346001,1818.59989190999,7239.80097099626,2939.3534617707396,,,,105.27826040293002,83.72204829841998,,,,90.80930268439,,86.48542731049999,,100.88306206829,140.65055346206,618.31636333488,,178.17887897004,233.68523496877998,,100.25157531039,125.80403587967,116.85549899745001,145.29112264016,,,462.13292537584005,,,923.9338464508501,,264.57417592366,
8,1999,,,123.69229107215,,103.37186211155,420.9304113206,65.84449703742,,81.59039102933002,98.10863673351999,,109.14292809883,115.51913870433,,,,94.44149932346001,102.52624829102,,,,117.17414730853001,,,94.11635392152,,87.78853795954002,,220.81121261747,,95.50510808671,71.98497713709001,,,97.97955518589,,104.39838749584,92.07554324312001,95.76715715897,,26619.1459745848,,195.05024599563,93.57721291441999,91.65680431716,,87.09086530254999,67.229555155,95.6861059726,,92.51057792636,247.54089002183,97.7361578356,94.05494071756,116.72239877562001,179.18954684498001,,88.41018377185999,,,,204.99252800987998,,116.87720535416,93.71377476948999,95.01052960084,,97.31048246761,272.80881336655,72.37358446778,94.10501597070999,631.56883861962,94.87794531597,,101.40196532922,,,,122.01829588790001,,,,118.92043463806999,103.97553630488001,199.74275364215,3880.46257288436,118.82463323193001,134.46947966208,521.41020155223,385017.58271296,91.5203720543,,99.32770523685,92.1707094784,,86.11017759961,,,,,110.40729761043998,102.68370561908002,,,165.63249859208,100.96011544313,113.24417276126002,121.27335340666001,,,,,96.35767844638,,81.44781255502,,343.31393311855,96.31310537229,,,91.50286511145,,,140.7387495769,,46187.0536244196,111.96289376872,,103.43029694773001,,,,,94.32063095386,,89.40633866374,181.32697500531003,,184.00928441695999,91.35970951739,111.90146899906,196.75851746382,100.77005842882,130.91378791195,142.38133791238002,83.74454349796,133.45932313578,90.89060057504999,96.25916566042,114.14945486429,244.05326365023998,107.83693377434,,102.51337068865999,,,113.23017496648,,,264.38163336639997,90.41117025309,68.44106483895,109.14656862069,200.09607863272998,,139.53682610157,126.15601692055,95.76254709712,,,99.42640652826,104.48934002456998,106.61544357385,756.7591287928799,3105.6547147855,1172.1801449738,,,,103.26422468916999,82.34589288581999,,,,95.47641281045999,,84.95262476357,,102.29779604639,140.54194412837,416.34380967939,,157.34569985305,186.27668209264,,99.57313363373,124.85374071322,116.57203869591999,146.82757132333,,,442.63333705904006,,,961.1843244541901,,215.35812009791002,
9,2000,,,122.90543660241,,104.00070289923,439.24281577149003,71.95513341819,,76.1670482816,94.85928662343001,,112.15228107103998,121.16446219666,,,,90.01801162089001,105.10145821457,,,,113.7837371778,,,96.74731674345,,86.69252030569,,190.16102411388002,,90.72071124024,72.57052639924,,,93.74768204422001,,102.47360767636,93.50822617764,86.02212205069998,,7896.38722235167,,185.0141302175,88.46044316418,89.80681372088002,,83.95458180678,67.68448990889,90.97303526256,,95.51872262107,246.95379469418,97.79902883935,97.03852227463,118.02598952406,189.40842539863,,80.46706660784001,,,,173.1336871999,,115.49677825662,88.59735347157,90.33296580623,,93.08806715844999,265.1003106432,84.11340492111,89.09893655604998,343.72946074487,88.72944862094,,104.48195066306,,,,123.92808305138,,,,121.56496408638,97.99529131576,199.59029977531003,1251.07626903692,120.20217307433,128.68645768715,562.01270525496,418561.390376641,84.61928349718,,106.80576907387,88.21963232817,,93.99771541543,,,,,118.78222863844,106.98190388883002,,,166.09843477153,110.46555241728998,123.90747305122,107.49490769728001,,,,,93.45180805833,,85.55291529346,,286.55438523288,97.83241189294,,,88.68998124329,,,143.13022652076,,50205.3820239528,109.3098563159,,105.91937234405,,,,,89.32587451964001,,80.95062896736,173.26895469731002,,175.89446373225,88.29433882215,115.67569635388,188.88001003128,103.08099554431999,126.8395396719,130.37890754392,84.93825672265001,119.09922774472,93.30103278098,93.25752983372,119.34979984569,193.86225108404,113.67824715615,,100.11508106147,,,117.99901800222,,,250.93710763483003,90.66376242319001,69.10294340404,100.02897090045,203.45038086474,,131.42475134459,126.66282338834999,92.30915933735001,,,102.20212134166,107.85332485469,110.28655302770001,326.61118565448,1009.9178758330197,457.98127149256,,,,102.21142867034,80.49038493260001,,,,91.70386125908001,,83.09059811753,,104.62209548586,138.12046710103002,305.06072769599996,,149.15131676585,159.98347307655,,104.26767689603001,127.31518746236,119.59758469156999,142.43871003504,,,415.48726341327006,,,1027.6182617008,,181.90393948695,
