,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,11771.069,3097.25212776411,,11977.8,,,41832.0,41135.4,,229.4,1182.7309328379401,,211.95928270035,,103060.88311393699,97.017,45.8834893524,,,848.46,,1859.2948141406798,31623.0,2465.79696326154,,105.95917016959,90.76697546177,57.375931443649996,1908.5213291701998,131.08944444850002,5.28708096494,,109.0798544259,,8941.5,71970.0,7113.8,28.198687764090003,1599.72194360778,1107.11967808012,2090.47314604818,2771.83917383252,3.29203584023,,886.5720131767599,5682.17904612277,37894.0,95.02830257141,,667.89947225,176813.95919800398,851564.1261612659,2851.013,3705.3,724.8,37.15965940943,,,189.15479710145001,,395.23835374195,,23017.0,230149.64603081,,2518.52348693797,165.97215809409,,402876.0,787.3137356557597,9430.535163875658,,,2114.5258714136,652.7572082224,30.793860941,248.45259678854998,100.34362416107,,2160.6063808927897,98577.0,7463.8,1546.6,626642.051741203,401.23,29142.0,18661.0,487.07037153132006,24038.0,,11052.2,169602.0,1126.95990170717,315224.0,1133.8985100596499,,1107.67795985242,,71870.12,0.96829744231,,82.1069622136,118638.38419006199,,397.07646597053,66.85234007194,,11211.712,,,6288.1,,,288.9633695841701,471.57319081412993,34355.03,53.838,215.45,,524.28929133682,1286.948746361,42687.7,,56059.9280767167,,50.14083348177999,4321.21264989707,394.10683297857,419.4711439444,,,136154.334992115,,9636.0,258.004,229.00117864232,7443.35050757423,34112.0,4892.89012389085,6559.2,5540.5668857151295,1337.90525756691,1.66312857922,3393.15,8764.0,14756.5,12208.760038659098,3246.7911387995205,4306.4,,92.94029453486999,7.633654116310001,,,47816.482777036,,135.04718603450002,145.05287086041,58966.85,4020.6452277770295,5342.23783248326,,,26514.9334664144,27691.867209568398,60199.02,,,,,,669229.836415739,631650.227301615,642576.363610947,177715.20046186802,359.32164797592986,,55230.0,57382.8,,,429204.37749607296,28524.06,,,,1894.909224,3770.0821681516213,13593.0,,225.33128233654,,,23516.551224158906,103939.0,421730.0,1.604724,,,2233.65199182494,2104.2354152376,,3839623.0223462,506.47860853510986,1076.85106825913,
1,1992,,,11136.802,3526.5190945119202,,12235.2,6.58486034311,,42811.0,44380.1,,216.6,1163.31589322944,,163.50657217924,,104515.940739801,115.6,85.46694659922,,,710.1,,1760.51615788085,35793.0,3913.4090000000106,,75.67282654199,71.75616678163,165.34779433994,1840.37499569462,137.46220000948,6.49251645611,,107.11794417779,,10007.4,84940.0,6900.0,27.38108035659,1485.7532550729004,1184.27208390211,2371.74161266022,2988.3292814617103,4.59970806994,,1219.0626615594902,8464.795565965842,41651.0,95.68643700858,,585.00980910105,207564.001211018,944797.070211018,3101.527,3062.9,796.0,43.087012252490005,,,186.76181980375,,439.827,,23913.0,246501.148344844,,2285.62994588494,231.67810435838,,430196.0,1568.7003629123199,10362.5888841743,,,2181.2580880710802,573.3866284188299,12.669767356339998,301.98312208051004,62.01760769564,,2346.52254131341,119515.0,7761.3,1525.7,518963.277089138,508.72,33966.9,19868.0,608.88165429597,28501.0,,12253.9,178027.0,1102.4245104188699,339650.0,1228.33703202591,,1338.94624746374,,76631.51,5.36423428541,,103.44861040332,129551.128742412,,415.1797434436,109.24463617013001,,9941.71512317596,689.1911154721298,,6470.2,,,254.85907258714002,383.48287412257,40781.19,34.8,215.45,,448.05191793974006,1401.00073750232,46195.5,,54769.837272185,32.53874179102,90.93931513512,3992.206152081621,134.17423800197,536.5488265341099,,,142934.131127737,,9791.0,227.653,175.30432895085,11868.111763139299,35131.0,5414.16942643281,7351.4,7804.24167565509,1810.2001884408896,1.37024194377,3578.09,9738.4,13190.2,13014.1345484543,3623.63689203307,4473.2,,65.81023009532,5.813031133509999,,,50287.4680907877,,18.144123639260002,148.92128281433997,63450.95,4155.52997339431,6.667329,,,26759.9219135794,29002.758929696494,64267.98,,,,,,560298.848421643,524154.879224933,533221.586415206,7256.53977016422,388.45595229623,,56082.0,61344.6,,,492356.8818980471,32609.07,,,,1794.57829388235,4089.9657264406,14715.0,,160.45387177989,1568.04297963051,,22696.7103782925,107863.0,448164.5,1.702537,161.56428810269,,2719.0,2816.14344503122,,3959780.22992838,330.16340371277,751.82972813591,
2,1993,,,10099.883,2883.45414955174,,13117.7,171.2793,,42602.0,40171.0,,192.2,1426.3240399625504,,134.09799999999998,,125938.1,114.18,169.63646856186,,,749.9,126.52928143129,1769.47786134807,38556.0,3632.07,8040.436463710021,62.524611374930004,61.97490451741999,267.26107736595003,1354.06710800451,149.86022187786998,12.35681239786,,109.74,,9198.7,91743.0,7115.9,21.80920915163,1015.30355168354,1095.72779668681,2570.23463279173,2662.27370602992,3.9139,,1035.77887254822,12807.19,38209.0,114.36747876991998,47.99999999999,586.1795239563501,230943.05048555398,1026429.41048555,3065.615,2252.0,1032.1,57.207179906949996,,,201.74,44489.39306822409,377.814,,23421.0,212048.972202282,,2194.91472383377,96.90763048315,,380066.0,1523.54948275005,9771.9798022773,,,2295.39634119496,543.4348618130999,31.38938467467,422.66804461147,72.98011363636,,2391.60622129127,135248.0,6931.7,1397.7,685566.30708625,656.9,36823.0,18080.0,471.46720756016,28994.0,,13863.0,169232.0,1068.83737560516,362130.0,1251.32552122804,6237.8,1374.14118893338,,82235.86,10.678218496260001,339.61300000000006,240.5,141964.193612621,1064.72937782128,452.57,133.95439344166002,,7541.656338945982,1158.6184930951,,5878.8,,,236.6987350966,320.04116045738,47130.24,34.6,219.72,,420.05737936812994,1403.2140589002,51886.1,,48454.4453633965,483.35389891494003,178.82233143745,3999.2410415613103,131.26034102197,582.71701411297,,,141558.021490378,,10544.0,277.12460216617,227.78586169002003,11268.8977994903,31962.0,5271.04283138354,6719.8,8595.35826884422,2490.7348602818397,1.58016381643,3384.66,11276.8,14131.0,16341.0,3324.67637563227,4611.2,,69.94322974036,6.44594238319,,,42395.2579439252,,15.27462908159,117.85971247443001,74003.03,5.4664220000000014,6.0738,,,27303.734394943,31665.290160428798,61057.41,,,,,,728047.581213511,688582.914046314,700493.858512031,5804.819625741529,1190.07332470649,,49826.0,58669.1,,,659392.684299441,37324.76,,,,1572.9780582225198,3817.69622412376,15344.0,,202.10593810248002,4189.06009591796,,21227.5119790644,122229.0,465089.9,1.645311,692.75617672717,,3422.0,2878.7692599729603,,4130002.30942595,374.23855120733003,891.3770225262401,
3,1994,,,8591.74799999999,2933.63023803977,,15839.4,241.7115,,47429.0,45123.3,,198.5,2153.74165801742,,146.74089986229998,,143767.7,118.82,153.27428003738,,,1032.322,54.02449687974,1857.4119910687305,43545.0,3290.36,7631.19170213658,106.66468661547,120.83295686048001,242.99760965159,1359.65576647884,169.84982682338998,6.927401000680001,,143.25,,11604.1,121006.0,8546.4,18.08081178154,1276.34387816505,929.2810126719099,2878.2,2828.6789144659497,4.2596,,1155.29803932865,14394.3,43150.0,126.7736055392,47.31481481481,3328.33150609155,286831.804198976,1184331.84419898,3842.686,3475.5,1249.5,54.028373058549995,,1190.811,386.00988106129995,48713.1053355979,321.254,,29704.0,236883.20302772106,,2391.038361,35.27672039726,,427406.0,1998.9674995934101,9365.21684249358,,,2614.10187674246,708.59492669105,69.7094245699,439.30119633715,59.68823863636,,2792.82994897428,151387.0,6409.9,1612.6,850289.305397752,785.04,40053.4,19434.0,383.56944359056,34136.0,,15853.1,191484.0,1192.41416817021,397326.0,1423.44263718255,6189.3,1586.66724674487,,96013.26,11.204394077969999,339.961,300.4,167126.551617485,1071.44175824196,572.73,143.47730798001,,7864.9574417655,2028.8,,6561.4,,,295.73291510575,325.03043643018,58841.9,47.7,174.86,,433.81300339804,1445.7934856616198,60882.2,,53007.175061839196,565.47243560728,208.52572892125,5566.21056243063,161.19016394905,770.52042404566,,,158156.175620811,,12183.0,334.6,187.88745991567,10894.0300791718,34796.0,5371.0900276685,7400.3,9086.74332314809,2640.35961069316,1.84322,4424.13,13433.1,17211.1,19106.0,3186.313815604361,6221.0,67825.0,53.11635831481,3.60481058746,,,42614.1209612817,,23.83216674006,115.13659016886999,96822.62,6.709417,6.825003999999999,,,28403.8651964553,36878.1360509538,73346.79,,,,,,895188.0221009459,851863.057727546,866598.383519128,6450.839890738729,448.7253245696,,61353.0,66270.7,,,819365.3198839191,45430.04,,,,2367.01879485746,4634.374345624121,18106.0,,462.92,9655.523744943699,,21523.2314078778,135143.0,512625.1,1.913432,1990.84004075328,,4422.0,3900.956015077029,,4771286.96872579,933.86902570665,757.6110312958099,
4,1995,,,9356.681076,3411.511371103269,,20963.2,356.9278,,53087.0,57627.0,,225.4,2590.04645684234,,239.18008290103,,175764.2,142.92,173.46323359361,,,1100.633,78.93829195629,2146.58640373054,46506.0,3388.26,5113.6,164.3133698255,105.64809702683,357.13772187623,1652.3547863785998,196.80218503473,12.73990597605,,187.34,,16024.3,148779.0,10201.1,11.19621560021,1533.4523013659698,838.62660022115,3475.9,3728.1909483816,4.6326,,1472.07488705002,21686.58,51468.0,95.42821338094,45.09703703703,3477.8608303425603,352093.349675165,1393848.63967517,4380.706,3449.6,1652.1,123.81796917361,,1592.406,429.69840324763,139206.21583583902,320.26134041705,,40281.0,284829.610348428,,2649.59164839841,27.76283881105,,523803.0,1904.03481301276,11874.331408101201,,,3678.3143020463,682.92629658766,93.90755792466,467.47617667118,110.29,,3381.009695745189,173758.0,9894.2,1801.9,833943.0539438741,994.55,45418.0,18360.0,424.57535853978,44620.0,,17610.5,234042.0,1413.5275660199,442918.0,1770.29807589129,5518.1,1878.1698077188696,,125057.99,12.77683664693,408.93,311.2,201343.819007447,1424.8251983288599,822.61,160.02269548079,,8510.41236169055,2705.0,,7833.2,,,320.67536695424997,405.34067923697,73796.53,49.6,241.07,,575.27907058052,1663.97673019464,79541.6,,57122.23223963409,745.0891446691402,353.60977013378,6894.40677180966,174.295,846.35678547253,,,199644.336930641,,13638.0,466.0,192.77632665324,11737.6478440155,41966.0,5918.034248068188,8029.5,9632.47943150542,2644.49749190728,2.0192080000000003,5491.41,17441.3,22894.8,23820.0,3680.5532417890704,7974.3,82913.0,60.26641687761999,8.80786321681,,,50041.122296395195,,24.576552555390002,25.25618692825,118249.24,8.588858,8.314910000000001,,,31844.6734318083,43967.8835961095,93439.86,,,,,,881343.2147911771,834789.368411144,849229.3575611609,2937.7271574590995,477.17576007984,,79727.0,78056.8,,,802584.71796868,56725.3,,,,2961.16031779279,5493.17791183559,21639.0,,556.42,15430.685202901699,,24087.1944669617,153577.0,584740.4,2.105958,2717.8765657049803,,4737.0,5411.61004255817,,5525062.63225144,1945.0424704863,986.01556221571,
5,1996,,,11099.1939989587,4543.80498958474,,23811.0,290.3146,,60289.0,57808.4,,273.3,2874.8596151755605,,278.33319295978,,175350.1,153.58,261.91489414014,,,1137.065,277.70121957097,2545.69017925986,47747.0,3669.6400000000203,6602.4,188.7026105349,39.60212098360999,292.74881528502004,1768.87307210554,208.94209233069,16.18717806354,,122.47,,16626.9,151047.0,10653.8,13.978821760139999,1463.6684383522595,1848.0425223028399,3758.4,4995.8925904789785,4.5126,,1659.51940368826,22169.34,51469.0,116.18738385225001,51.31111111111,3976.0501168653495,367080.004303105,1407639.13430311,4872.648,3539.6,1788.5,179.96172103875,,1726.241,440.06832815333,154075.52626611,373.85046003973997,,40554.0,289256.17277993803,,3145.606,22.44981845209,,524182.0,2000.7706323033606,12921.1764529342,,,3463.2642149551307,659.316177585,59.72354127091,546.44064436732,86.8,,3660.0613132807102,180740.0,11326.6,1884.9,987037.06932362,1171.92,49814.9,22391.0,502.98407197482004,48655.0,,18763.6,252111.0,1378.6396531851801,410814.0,1816.10841417482,6230.4,2067.26150332774,,129715.13,14.883081194589998,531.18,320.7,224315.310695195,1600.14726020332,1017.94,186.862361015,,10154.8167144846,3354.8,,7209.5,,,299.34181967259997,480.7416733324701,78334.12,59.1,291.79,1731.0,565.65984550396,1923.6158379038895,95999.7,,67483.4735391792,793.78890393813,302.74803519571,6894.488623986429,226.082,731.75021327282,,,200918.839,,14364.0,466.4,219.42618851445,15382.1334643408,49585.0,7164.482725442791,9365.2,9822.72467143,2513.86188395833,2.18197,5877.64,20542.49,24388.8,25107.0,4398.91531726899,8210.0,90563.0,60.44354050193001,10.09424980485,,,60790.12631343,,137.68657842582,46.82241402887,125025.26,8.825682,8.311055,,,32568.759248437997,48310.256005176794,102677.53,,,,,,1037846.44108049,988091.217985545,1005182.98628884,1526.7934077343,433.104,,84866.0,76176.5,,,951552.5384924359,55983.99,,,,2418.44991679941,5498.06818056023,23225.0,,639.29,14400.8,,27689.4550805779,167196.0,625073.3,2.397224,2619.64934935571,,4629.0,7185.601105588391,,5860092.86190983,4453.08615118739,1039.06854254157,
6,1997,,,13730.6052308763,4310.245646406621,,26430.9,232.81187879889,,62872.0,58609.3,,295.0,3885.33559558996,,282.89615855996004,7360.076415056859,171814.2,158.68,184.78507052946998,,,1151.7395,582.76321509793,2853.83480846708,52994.0,3972.56,5323.2,194.12253986046002,86.54439541642998,625.82,1858.08791455776,222.76514905087,13.90264372339,,98.4,,17870.4,182791.0,11556.2,6.01031982919,1278.11159601724,2258.7857507709,4205.5,4150.0687113892,4.3103,,1303.8040387231,22332.7,49107.0,102.01869623597,52.39481481481,4816.178777233889,411801.642332472,1484650.21233247,5264.363,3962.7,2426.1,354.51218442351,,2139.303,591.87953115122,153706.489393547,372.97665208728995,,40969.0,292269.383477356,,3478.656232882849,14.68820336939,,512445.0,2014.58927262555,12014.4043375975,,,4005.82121970693,640.54667037333,51.73688084714001,595.54354960309,119.89,,4006.30514553178,188051.0,17388.4,1849.8,932346.554905159,1270.73,53443.6,18380.8,2819.26284495536,53485.0,,20298.5,240357.0,1352.4738603122,420586.0,1838.09747086954,6366.4,2053.43083772114,,136164.2,14.219555513270002,630.81,192.11,254350.013156304,1759.4714879586802,661.1,196.05379370123,,9576.27305871423,3860.1,,7063.5,,,223.75418613112998,492.09742019246005,78620.37,73.4,284.47,1630.9,527.11526521569,1746.26648437539,110431.6,,66164.7006195938,875.1827237731401,299.29280045825,7045.8546295772985,223.16399686861,866.2698447072,,,193714.466,,14212.0,576.7,192.26809785737998,15845.694551431101,48497.0,7443.11169635137,8758.2,11286.351283101101,2142.11802715171,2.402006,6824.55,25227.71,25712.1,24495.0,5503.55951647463,8411.2,85945.0,88.1047210411,14.61707079592,,,60707.7993145075,,68.41823467897,17.238227467079998,124910.11,9.644434,8.370768,,,35256.2250167654,49781.45159564151,106261.12,,,,,,986805.984146512,935123.6296660928,951299.1771482128,1134.6420076007,701.32,,82884.0,72517.9,,,899858.0137115391,58431.34,,,,2543.85895994358,5568.14045316575,26260.0,,591.79,14231.9,,31261.946065984303,172110.0,689180.0,2.72574,2896.1009041680104,,5391.0,9147.39458935858,,5969378.40468244,2479.84823519935,1055.4413369010401,
7,1998,,,10025.2986213721,3477.2379881636602,,26433.7,220.516,,55915.0,62751.6,677.7510000000002,362.9,4024.15396839724,,253.136585,7094.861215427642,179068.6,153.69,232.40153841482,,,1103.7398,775.23382922413,2118.48089730975,51140.0,1979.9269193343305,4296.2,241.87530725111,64.56713665379,933.5,1671.0298070092301,224.34500551,10.35427756412,,231.22,,16322.7,183711.0,10890.3,4.03201350067,1028.93223353092,1566.93936648961,5525.7,4692.09314952925,4.54,,1260.37532547249,25909.29,48838.0,125.18898569314,62.01962962963,5004.336057163549,403139.163025407,1388175.70994474,4203.052,3141.5,2441.3,410.59721201717,,2526.334,604.7160528815099,138670.148291874,383.59952975935,,43191.0,307069.389014555,,2498.95462335091,29.32444467998,,543782.0,2242.74709810223,11617.654162819399,,,4403.11629891239,625.2508299179401,76.39441801568,659.08110446481,174.92,,4229.466716521711,174000.0,18446.9,1921.2,889587.634783594,1379.3,48847.6,13118.0,5096.744907984989,64440.0,,20633.3,245735.0,1318.80906613306,388224.0,1803.31146649276,5364.2,1992.60249785273,,132313.15,9.55175587547,535.066205,370.79927949591,259591.56329515,1906.7305133476104,660.9,193.42720362001,,6032.39221340786,3710.8,,8033.5,,,234.09258420449,488.67094914433,73248.44,74.4,294.38,1831.7,500.10340086012,1859.5917556619602,117539.3,,54435.7288194952,631.68385359134,258.81631900658,7166.57801919014,244.7,1065.22016181987,,,201221.35600000003,,12030.0,573.2,206.13718822897,11142.8044518146,40373.0,5310.412158469489,8514.3,12326.3302733248,1772.29227393798,2.323649,5756.77,29496.34,28252.7,25443.0,4869.54693715368,8253.7,73742.0,62.68687855048,18.29479283191,,,38736.5858477971,,90.32358190424,7.587810026960001,109992.07,10.71919,9.0486,,,29454.8133223727,47758.7138305997,111395.08,,,,,,934825.500221417,889855.741769682,905248.256028328,918.00083447513,436.04,,84961.0,75431.0,,,856969.612701918,54481.33,,,,2263.82828702394,5768.33300984834,26973.0,,510.21,12637.4,,25811.6205133642,163997.0,682138.5,2.768737,2310.3176081379997,,5214.3687,8935.53019831494,,5869796.1571212,1497.4815955058898,1020.9268455924699,
8,1999,,264.03264092794,12740.027538916202,4393.5592780269,,23308.0,231.6692,,56084.0,64119.3,1025.231,406.8,4090.9797966555298,,263.809231,5993.79080556965,178948.5,166.94,207.11577031333,,,1044.8927,910.5837722801,2523.11844854619,48013.0,2551.77315936685,3960.5,179.30190491298,54.33468296977,1040.06,1600.60644691948,252.70823328792,11.39477117819,,223.21,,17162.3,194930.0,11617.0,11.52756857975,1095.44750549205,1716.2955413295401,6662.4,4209.43708608358,4.303344,,1191.15544116127,26241.32,50363.0,151.08104877288,55.72222222221999,5152.56992530776,437656.898274936,1482894.5514343,4451.085,3559.4,2510.1,625.81483041357,,2381.301,474.73131415004997,131903.479618671,328.58875847121004,,41779.0,302508.549565956,,3362.62008034261,8.199758521760002,,542831.0,2309.07177888878,11268.9783550542,,,4172.12236640029,490.60493924695,57.24379359729,548.6665904231501,193.78,,10213.5822934234,174035.0,25012.5,1999.8,712805.359356718,1536.16,48665.5,21030.0,9687.90106065847,71214.0,,22778.1,235061.0,1207.07707715185,420114.0,1828.8833494626501,5591.7,1754.13525011531,,143685.46,12.21842263514,462.55324800000005,462.52870828748,279954.56407210696,1723.55,676.8,172.5048691488,,7961.39269857542,2753.9,,7760.5,,,220.49011390592997,452.71052439132006,84620.96,63.8,251.45,1983.2,525.26414179218,1721.86285399542,136361.8,,73460.2403523621,463.37440160489007,272.26001951186,7508.273632452298,271.0,1124.58749246235,1196.16589125469,,200759.63600000003,,12476.0,545.2,178.68954865553002,12563.843694356201,45438.0,7013.19854745074,8528.7,12858.282527808899,1875.3658698107504,2.056776,6087.53,35036.92,27334.9,25256.0,6220.73311988396,8504.7,69656.0,84.10104252010001,18.100792988829998,,,48891.3975543355,,108.11249239600001,6.276698155319999,114700.52,10.226985,8.553135000000001,,,30364.1154724408,50274.2731556683,111564.85,,,,,,751148.6507282,708308.2660475291,720560.414989077,925.7571301615401,586.62849336949,,85003.0,76094.5,,,675903.089767114,58501.28,,,,2804.8180795059498,5876.1120269914,26587.0,,485.76,11581.6,,28097.778713955602,166539.0,695796.7,2.241501,1962.7239681133606,,4196.1281,11109.3353918747,,5844318.90326026,2440.3689965327108,524.78944853751,
9,2000,,258.29522748638,21871.238665613302,7314.90705698465,,26341.0,299.1896065193,,63733.0,64122.0,1858.335,464.8,4828.59041427215,,273.0301165,7435.89830397855,187750.6,199.96,195.824304415,,,1225.566,1024.2064,2947.6862104764195,55119.0,3161.53904498661,4821.5,152.58049338203998,50.02841356695,1368.0467336387198,1832.3630250782198,293.8398125438,10.88211278502,,226.0,,19210.3,249202.0,13158.5,15.55394700541,1133.28372953589,2175.59312497673,5848.7,3580.705122821021,4.431597,,1131.50090162849,28997.55,50315.0,151.52212061498,53.58260111111,5736.686,536995.096718726,1756615.08576371,4907.004,4689.1,2941.3,1078.62459931927,,3164.496,494.79221140917997,171265.719130584,394.71716149912993,,45448.0,301090.447032976,,3794.4698222018897,46.16507947695,,549834.0,1922.0579882954105,11847.1333793606,,,4597.16443607118,617.38595316194,111.80547051631001,438.25207638147987,314.42,,3889.2211223214495,202049.0,28092.0,1897.1,864937.9554115841,1906.52,62123.9,26997.8184319111,14918.5768131119,77118.0,,28340.8,239731.0,1286.99802587988,479075.0,1895.34974298366,9139.5,1764.08100055894,,172267.53,19.42840363105,510.921779,391.33770121784,319233.489110677,1865.13,714.3,245.034335577,,12724.2798348898,3548.3,,7826.9,,,823.90648751651,379.3681444355301,98229.05,75.8,233.23,2340.8,529.5246674717,1638.25109596117,166120.7,,101321.421038129,470.89904532146005,399.08605032192,7428.517583650842,364.00401,1397.3877981320002,1308.87433276204,,213273.836,,13281.0,642.82573169273,195.73966858855,25699.589382384504,59996.0,10584.8280570023,9028.0,13451.8493124194,2095.48514929883,2.200087,6954.92,38078.25,31684.5,25069.0,11591.2939843407,10359.0,99220.0,58.37087116905,14.22556730174,,,74829.6453818881,,123.80204154775998,13.03332224169,137732.42,11.849663,8.732158,,,34106.381344811896,58472.784026240195,114335.89,,,,,,917884.938523803,868535.1284702041,883558.8438002041,2114.48668931135,498.39351779981,,87589.0,74809.9,,,829731.98111078,69775.55,,,,3040.942548569031,5852.03944566635,27774.0,,440.9,14572.5,,40807.8062847816,188130.0,781918.0,2.30209,2182.1462542589898,,5505.2462,13920.7777188153,,6603958.82239772,4078.6783996867,757.40019053789,
