,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,324109.131584263,,,,,,,,219728.07064972105,,,,,5378.997310271121,,,,,,,,,,610125.857353362,,,,,38206.967757229,,,,,,7154.351132362841,,,,,,139609.457074818,,,,258752.524043331,5388373.33076013,,,5311.771965060178,,,,,214149.40676176106,,,109863.892390038,1385509.34534691,,,,,2000959.39088284,,,,,,,,,,,,88808.2363496865,,,5378.99731027111,,154767.555569275,735263.8067577159,,,,65488.6127327834,1008038.50970695,,3533701.11850011,,,,,324176.811445892,,,,140995.12898943698,,,,,,,,,,,,,52718.4602753665,,,,,,89380.9721044305,,735263.8067577159,,,,,,,,347744.627084432,,43563.7330076185,,,,121928.185304575,,,,,,33769.0364773125,51266.5081986893,,74763.85638927719,,,,,,,,,,,,45469.60139520231,,,,,31017.323556479703,,443583.13239304896,,,,,,31017.323556479703,,,,,,269788.684414554,261147.94827458606,,,,,,,,,,214149.40676176106,,,,,,1234170.07815081,6174000,,,,,,,23259727.5088485,,,
1,1992,,,,,,,,,317615.753469059,,,,,,,,241440.557615083,,,,,5683.439654189239,,,,,,,,,,592602.7052544421,,,,,47318.823157915096,488521.781599557,,,,,8501.94433908155,,,,,,153106.265371738,,,,,5863613.73870801,,,5955.28421128502,,,,,,,,112288.897009147,1504039.16104452,,,,,2241900.54629046,,,,,,,,,,,,104128.383251015,,,,,168253.915422881,1009077.36894622,,,,72509.386481315,1110284.59189385,,3851134.66737126,5349.05309355344,,,,349043.39677968196,,,,,,,,,,,,,,,,,63519.4322583967,,,,,,103691.699625636,,,,,,,,,,379553.315437825,,41594.9700906316,,,,130905.15122494,,,,,,35733.75026251,59426.8168956084,,88444.2417323481,,,,,,,,,,,,52110.7905306188,,,,,33623.3429756018,,501086.634441379,,,,,,,,,,,,280104.23585983604,271467.485928019,,,,,,,,,,224109.31966996,,,,,,1271933.12525349,6539300,,,,,,,25266094.0391565,,,
2,1993,,,,,,286589.749645845,,,309071.923763796,,,,,,,,224399.869037395,,,,,5759.163697645279,,,,,,,,,,577185.05327053,,,,,49240.9775356221,611084.84563868,,,,,9512.81800496636,,,,,,143298.124873844,,,,1083942.6234926002,6680860.22092368,,,6940.3730148822315,,,,,,,,102165.211167264,1367973.83210108,,,,,2080732.64337618,,,,,,,,,,,,120192.784536497,,,,,190977.089598152,720722.7013826891,,,,72785.6990057082,1029218.51558468,,4425036.99882494,5630.056908604522,,,,386303.22927971795,,,,,,,,,,,,,,,,,71806.3128257862,,,,,,126024.118798059,,,,,,,,,,351452.973741534,,44876.0227286633,,,,120325.476299647,,,,,,34198.4709999282,60367.6291561551,,83952.2435586363,,,168618.515502946,,,,,,,,,60618.2709504822,,,,,33557.968881032204,,466439.28391400794,,,,,,,,,,,,209924.381460324,263438.68106907397,,,,128927.05602891301,,,,,,254620.19063316,,,,,,1139641.08357201,6878800,,,,,,,25472073.7068749,,,
3,1994,,,,,,312014.102473507,,,352921.693134996,,,,,,,,239381.19810471399,,,,,5986.8851431351795,,4230.93584643678,511777.351068865,,,,,,,578000.469188303,,,,,56933.518405432995,561110.113449597,98261.277634419,,,,10502.6325326077,,,,,,156695.56901478,,,,1094039.66251807,7298691.55479555,,,8089.50451066116,,,,,599178.91174853,,,109434.005654517,1428835.5588564,,,,,2204250.03027159,,,,,,,,,,,,135675.77138429,,,,,213821.620893206,77386.9858722393,,,,82901.48288450099,1102502.84733613,,4856990.79881852,6225.45586016245,11257.35755977,,,456937.246198365,,,,,,,,,,,,,,,,,80061.2900409351,,,,,,131517.711673334,,,,,,,,,,373770.3499055179,,52906.7680835423,,,,127587.62792526199,,,,,7998.60051303865,43679.978171272596,71424.6534369301,,92374.7593770266,,,293410.633671768,,,,,,,,,73882.7116972402,,,,,34967.0768652064,,501943.576894182,,,,,,,,,,,,226232.148882706,292696.070584353,,,,146648.729462244,,,,,,184031.78228872802,,,,,,1221744.80550272,7308900,,,,,,,26558074.5540656,,,
4,1995,,,,,,312511.94622991,,,379177.556558204,233101.293377854,,,,,,,280568.846895212,,,,,6706.36914584053,,4674.035298830179,785765.5645721259,,14601.3386005364,,,,,604304.707190534,,,,,73353.0749930146,730549.7315862841,111338.064715044,,,,11530.686093091299,,,,10167.936886366999,59699.8935063397,185139.08135490105,,,,1347730.49108726,8234833.69457543,,,9504.20699264214,,,3684.8927371038703,,723956.33000647,,,130693.0314562,1624729.06192942,,,,,2518480.07823913,,123342.13757374599,,,,,,,,,,144520.325181919,46106.462467377314,,,,244783.76487885695,77868.2822704734,,,,100352.450172435,1308418.49792764,,5356599.44318161,6733.478800363801,17018.621380453602,,,558266.930397396,,,,1175722.07544552,5376.86874399057,,,,,10300.9103690881,,,,,,,95273.3828347768,,,,,,86038.2973120979,,,,,,,,,,431431.849344039,,62204.6190230979,,,,152179.85142096,,,,,9481.604005693549,52031.9021117314,82084.070702048,141820.15632325,118059.38344123401,,37641.485956242796,333169.000463414,,,,,,,,,87893.8534629338,26093.4411310514,13997.687539941599,,,38873.2624830512,,609077.825379287,,,,,,,,,,,,264433.074895144,342448.647389665,,,,169202.913268054,,,,,,240282.58259018,,,,,,1320666.58031835,7664000,,,,,,,29682693.171801,,,
5,1996,,,,,,329522.621417524,,,425288.140764466,234652.178992066,,,,,,,278848.069985851,,,,,7384.18499828083,,4780.09190631558,849511.901427138,,10093.4681456327,,,,,628590.807877913,,,,,77670.2138205043,860300.8179546391,117012.971564574,,,,11592.1138799179,,,,10287.0264655714,66728.1205924737,187709.176654789,,,,1549683.07117274,7915630.06951431,,,10317.2540454022,,,4703.77373228043,,824277.339006225,,,131781.93734699802,1625437.26810555,,,,3068.9925090501697,2488809.57176712,,132816.956970159,,,,,,,,,,159487.082322226,46528.419570939805,,,290308.425128197,276644.778229059,86123.54972549531,,,,110122.097747006,1346660.15274497,,4709218.67266564,6916.44019622959,20136.2352400171,,,600305.320103568,,,,1270717.99857352,5981.36847715293,,,,,12529.417930228501,,,,,,,108306.395053906,,,,,,99314.71911933199,,,,,,,,,,440157.01670757297,,69132.5378032231,,,,163038.366286857,,,,,9845.75922584204,54065.2357971441,91754.87243441053,158986.436941464,121829.139311024,,36704.284127984,419882.42155120795,,,,,,,,,96425.1914341043,28322.389325232998,15651.118284313201,,,37054.512580269504,,630119.911406206,,,,,,,,,,,,288167.745707605,329940.035663236,,,,182968.05367520606,,,,,,244959.47757801105,,,,,,1395466.71973124,8100300,,,,,,,30230485.0558554,,,
6,1997,,,,,,354669.25357457704,,,425391.545397178,213079.62181492397,,,,,,,255646.325620926,,,,,7928.9756210138,,4958.26104720307,883879.90802707,,9999.20185984187,,,,,652702.765153611,,,,,84843.6569285241,959656.343815839,128477.30112951,,,,12521.1592347907,,,,9434.84957036637,61790.408685671,173656.572919634,,,,1619996.40980981,7597376.95899275,,,11134.3102759176,,,5072.9216199851,,859747.311357813,,,125251.496925032,1470742.47033912,,,,3504.32635635573,2228645.95882012,,129511.690464827,,,,,,,,,,177262.656588102,47055.7003262304,7610.4183246995,,412418.232886811,271648.72540565603,105389.362062356,,78383.2227808881,,114898.592777922,1234335.25605045,,4326709.95789821,7248.7638384609,21274.148123098603,,,564279.507862006,,,,1349482.17715565,6122.323976623779,,,,,13252.3098883523,,,,,,,108793.033040564,,,,,,120054.62956257099,,,,,,,,,,413054.5755494021,,68798.1729958687,,,,161271.417153244,,,,,10015.16787424,56874.874981760404,91856.25281414359,159985.86577950002,115790.04786298699,,35395.3371315207,434665.1654059821,,,,,,,,,100243.23431835699,27584.234876553706,15630.506315576202,,,38165.421101227796,428671.543661757,586101.3841358271,,,,,,,,,,,,264660.15979794896,286856.014715966,,,,156985.96111376802,,,,,,261628.250829495,,,,,,1538797.17239517,8608600,24057.734941329,,,,,,30098700.9848729,,,
7,1998,,,,,,362148.976753423,,,380352.394450841,218163.497554515,,,,,,,261268.07307866606,,,,,8489.45912578207,,4713.614530702151,865187.057238458,,13241.079598620701,,,,,632347.6009530721,,,,,81582.4806036823,1027463.3745321998,118848.44829185,,,,13615.8956139156,,,,10068.1776385627,66606.7851488053,177239.86089269,,,,1436298.53112641,6728261.35781549,,,12008.9251898146,,,5626.76955938448,,779279.487428873,,,134183.549496843,1514336.07919151,,,,3616.9158026405,2246487.56376497,,139548.165174988,,,,,,,,,,169033.380864055,48497.05563566111,8471.10313528146,,416090.34130465705,116556.39812907,119489.45214321301,,89557.50117175211,,116304.58005157199,1264647.12689632,,3932241.23037879,7906.898805319641,21206.9248956526,,,377561.812595681,,,,1323847.21989855,6709.4997818969705,,,,,14507.156635553702,,,,,,,77673.4501662653,,,,,,125549.876677569,,,,,40134.236331131004,,,,,433949.58626002,,56749.105211517,,,,154070.348126041,,,,,9105.32917273034,54699.241948148396,72426.6076684682,175358.987920999,124168.290609773,,41592.1900834273,332072.891681067,,,,,,,,,85922.4914525511,29684.677219547797,17039.5935444805,,,34671.7475789798,432488.3690551261,617610.990387414,,,,,,,,,,,,266785.478026253,295068.10940251104,,,,114644.181801479,,,,,,266153.538544656,,,,,,1624584.33974835,9089100,25378.430333357403,,,,,,29922790.6439417,,,
8,1999,,,,,,343731.557373412,,,411435.2715440021,216473.261653362,,,,,,,260333.254370202,,,,,8312.93226268119,,5394.14975125601,600240.31685091,,13490.272282355,,,,,676448.717148642,,,,,75228.463327397,1092784.68216782,104149.646780536,,,,14242.4343458645,,,,10324.8309516708,64467.759500285705,177962.076754878,,,,1587867.10553758,7565528.44233652,,,12465.520786613,,,5728.84826921374,,603837.1206664001,,,135307.652182928,1499808.37388544,,,,2823.30458724028,2196753.51248575,,142829.171991784,,,,,,,,,,165706.02813643,48874.643050038605,8928.916315348299,,444650.828409422,170268.01858345,240022.225875852,,98727.23432057619,,117186.40076899901,1248047.9901796998,,4454694.23759402,8128.32785427019,17696.054277791,,,485613.712857582,,,,1033028.50546556,6693.98626912937,,,,,13553.890045876102,,,,,,,84932.5307041703,,,,,4501.74002031994,145094.489518076,,337571.721544985,,,39768.0199844923,,,,,442047.27448890795,,58849.623405952596,,,,162041.462281238,,,,,8390.170926261379,49347.87936513449,82885.7905101935,170899.64196034,127540.1748567,,35914.6312191126,206442.496652885,,,,,,,,,86328.33583104081,30390.3613925453,18231.489716128403,,,34138.147758420804,462174.418600593,633480.7017989911,,,,,,,,,,,,270490.169429605,289783.69903381896,,,,126555.923836514,,,,,,247051.659316058,,,,,,1652250.66554826,9660700,24034.385995773,,,,,,31110415.3257764,,,
9,2000,,,,,,344504.662996488,2105.3418711777,,398068.682844131,197087.186084301,,,,,,,238381.32261813802,,,,,8442.58857604388,,5640.8117433055,655302.890121045,,13185.0073129943,,,,,742274.979502905,,,,,78053.1699782519,1210042.75208363,99836.47258017599,,,,15019.251176104399,,21746.6677759373,,9725.884665813399,61516.1549830101,164287.569734884,,,,1731851.80203932,8088210.12704191,18318.601,,13134.770942900801,,,5685.234308773579,,696396.775120544,,,125748.2826603,1371892.59954591,,,,3061.0110349949896,1954685.81288805,,130850.569378775,,,,,,,,,7196.728123983109,171657.116888527,47087.2325527199,8940.84337374293,,466976.690731154,180427.349391085,346728.326587366,,99875.2280974568,,132292.035238605,1145443.55147441,,4733182.78099309,8437.130792172109,18153.9652402804,,,561473.650777205,,,,1120192.4087102,6287.59436211601,,,,,12322.256998968898,,21413.6920603535,,3816.0425654322,,,100687.972484215,,,3816.104164181501,,4840.62345499624,170811.347770555,,459841.875514198,,,37038.6535760583,,,,,413517.80295827,,53988.526400880095,,,,171536.210234526,,,,,8177.49731180052,51022.2949722721,81097.0366253328,174859.864065829,118564.809483305,,37084.007895754105,278070.51733918604,,,,,,,,,95778.39507613447,29075.9184610776,17452.913189838,,,34139.5228663514,485380.13818783296,596271.097299145,,,,,,,10310.091613230501,,,,,260087.770227529,272005.744298769,,,,126396.277321953,,,,,21500.701644928602,265339.660564617,,,,,,1638024.79030091,10284900,22830.4715062023,,,,,,31989882.765022494,,,
