,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,2316.0,7816.0,8916.0,2616.0,9416.0,8016.0,,,9316.0,9016.0,,9216.0,9916.0,7416.0,8216.0,,9216.0,8216.0,6916.0,,9116.0,4316.0,,9316.0,7816.0,9516.0,9916.0,5316.0,8316.0,8716.0,3816.0,4216.0,8816.0,,6416.0,1816.0,9416.0,9416.0,8416.0,5216.0,1616.0,7416.0,9016.0,3916.0,,9916.0,9416.0,,9016.0,5316.0,9816.0,7116.0,88.54094288143362,88.55163528401229,5916.0,7616.0,6116.0,7716.0,,,2116.0,,,9916.0,9516.0,9416.0,,7216.0,8516.0,,8016.0,6016.0,8516.0,,8516.0,6316.0,3616.0,6316.0,8116.0,3616.0,45.77617241983492,9416.0,,9916.0,9916.0,54.04900843014782,5716.0,6216.0,8816.0,7816.0,6716.0,,9416.0,9516.0,8516.0,9216.0,9216.0,,8616.0,7016.0,7916.0,8016.0,,2216.0,77.3684636865005,,50.50909467780193,8616.0,8416.0,,8716.0,,71.07546818611692,9116.0,,,5316.0,8716.0,9216.0,9816.0,3416.0,8616.0,2916.0,9116.0,8816.0,7916.0,80.49630884566291,,8116.0,8116.0,4616.0,6616.0,6916.0,4616.0,9716.0,,8116.0,7516.0,1916.0,3916.0,9616.0,9516.0,79.4437442206623,5016.0,8216.0,6816.0,6616.0,7116.0,9016.0,9516.0,9616.0,8616.0,9816.0,,9116.0,7916.0,9916.0,8716.0,9116.0,5116.0,9816.0,,9116.0,,,,80.88737494469315,7616.0,2016.0,8116.0,57.45975790177722,8616.0,8616.0,9916.0,9616.0,9916.0,49.19698086499262,6216.0,7516.0,7916.0,9916.0,8916.0,8916.0,,8116.0,9016.0,,7316.0,8816.0,8216.0,9316.0,7216.0,,4916.0,,8516.0,8816.0,8616.0,9616.0,,8316.0,6416.0,8816.0,,72.82198736829662,4716.0,7916.0,8716.0
1,1992,2116.0,9416.0,8816.0,2116.0,9916.0,8116.0,8516.0,,9116.0,9016.0,5816.0,9216.0,9416.0,6616.0,9016.0,9016.0,9516.0,7416.0,7316.0,,8616.0,4516.0,5816.0,9416.0,7116.0,9616.0,9816.0,3916.0,8016.0,8816.0,3216.0,3716.0,8916.0,,4516.0,1016.0,9016.0,9116.0,7816.0,3816.0,2316.0,6716.0,9016.0,4916.0,8316.0,9416.0,9416.0,,9116.0,4116.0,9916.0,7316.0,85.47739570830629,85.4166492219645,8716.0,7916.0,6016.0,7616.0,,,1316.0,79.60749011491991,,9716.0,9916.0,9416.0,,6616.0,8516.0,5816.0,8516.0,6216.0,8916.0,,9016.0,6616.0,5216.0,6716.0,7916.0,3816.0,45.58509327540011,9316.0,,9916.0,9916.0,53.722287648829116,5616.0,6416.0,9716.0,7416.0,6816.0,,9516.0,9516.0,8416.0,8716.0,9216.0,8116.0,8716.0,8616.0,8416.0,8816.0,8416.0,2316.0,76.95037615619562,8716.0,48.81427578411053,9016.0,8516.0,,9016.0,7816.0,69.25626573361481,9316.0,,,6516.0,8716.0,9416.0,9816.0,3816.0,8216.0,3916.0,8816.0,9016.0,9116.0,83.67604640811281,8416.0,6416.0,8716.0,5016.0,7116.0,7016.0,4916.0,9816.0,,8116.0,8116.0,2016.0,4316.0,9816.0,9916.0,79.03608114013691,4216.0,7716.0,5816.0,7316.0,8316.0,8016.0,9516.0,9416.0,8816.0,9816.0,7316.0,8516.0,9116.0,9916.0,6816.0,9116.0,5916.0,9616.0,,8916.0,,,9816.0,80.6932771827032,7116.0,2116.0,7916.0,55.00917650709616,8416.0,8816.0,9916.0,9616.0,9916.0,49.53636946550493,5316.0,7416.0,9316.0,9916.0,8916.0,8916.0,7216.0,8316.0,8516.0,,6916.0,9916.0,8716.0,9516.0,7716.0,8416.0,5316.0,8816.0,8616.0,9216.0,8316.0,9316.0,9016.0,7716.0,6716.0,8816.0,,71.13645341885329,5016.0,8316.0,8616.0
2,1993,1816.0,9616.0,8816.0,3016.0,9916.0,8116.0,8516.0,,9016.0,9016.0,6616.0,9116.0,9416.0,7416.0,8616.0,9116.0,9716.0,8516.0,7516.0,,7916.0,5216.0,3816.0,9416.0,7516.0,9916.0,9816.0,3916.0,6316.0,8916.0,3516.0,3716.0,9016.0,,4716.0,1316.0,9016.0,8816.0,8816.0,7016.0,2916.0,6016.0,8816.0,5016.0,8516.0,9916.0,9516.0,9916.0,8816.0,4116.0,9916.0,7516.0,83.6475125625021,83.45621944899852,8516.0,8116.0,7916.0,7616.0,3216.0,7116.0,2816.0,75.43931797475531,,9616.0,9916.0,9416.0,,6716.0,9016.0,5416.0,6216.0,6616.0,8916.0,,8916.0,7516.0,5316.0,6316.0,9316.0,3916.0,48.393095907737816,9416.0,,9916.0,9916.0,52.86592670804182,6116.0,6616.0,9916.0,7016.0,7016.0,,9616.0,9516.0,9116.0,8516.0,9116.0,7616.0,8916.0,9916.0,8816.0,9716.0,6416.0,2516.0,78.26314254655315,8016.0,52.60998133296315,9116.0,8616.0,,9616.0,8316.0,69.21717599258052,9416.0,,9016.0,6616.0,9116.0,9116.0,9016.0,4616.0,8316.0,4416.0,8816.0,8216.0,7816.0,84.3272914223462,7016.0,7916.0,8616.0,4916.0,7316.0,7316.0,5116.0,9716.0,,8316.0,8116.0,2016.0,2916.0,9416.0,9716.0,79.7779479917349,3716.0,8316.0,5816.0,6616.0,8716.0,7616.0,9516.0,9316.0,9016.0,9116.0,7916.0,8316.0,9216.0,9916.0,6016.0,9416.0,5816.0,9616.0,,9216.0,,,9816.0,81.95621859788879,6516.0,2216.0,8116.0,58.85256347983382,8716.0,9016.0,9916.0,9716.0,9916.0,49.28650694995042,5116.0,7616.0,8916.0,9916.0,8916.0,9016.0,6416.0,8316.0,8916.0,,6616.0,9616.0,8116.0,9416.0,7616.0,7316.0,5616.0,9316.0,9016.0,9316.0,8816.0,9216.0,4516.0,8616.0,6716.0,9116.0,,71.19912981106972,5416.0,8616.0,8516.0
3,1994,1216.0,9916.0,8716.0,2716.0,9916.0,8216.0,8616.0,,8816.0,9016.0,6916.0,9116.0,9616.0,8416.0,9016.0,9216.0,9616.0,8816.0,8116.0,,8616.0,5816.0,8216.0,9416.0,7416.0,9916.0,9316.0,3616.0,4816.0,8916.0,3716.0,3816.0,9316.0,,4816.0,1816.0,9416.0,8516.0,8516.0,5816.0,2616.0,5516.0,8816.0,5016.0,8716.0,9916.0,9516.0,9816.0,8916.0,4116.0,9916.0,7416.0,82.01065626115991,81.7695567683871,8416.0,8316.0,9016.0,7716.0,4916.0,7716.0,5716.0,85.0135019536217,,9616.0,9916.0,9616.0,,6916.0,9316.0,5816.0,7316.0,7016.0,9016.0,,9116.0,7116.0,5316.0,7416.0,9016.0,4116.0,51.364818632871724,9416.0,,9916.0,9916.0,57.742913580719716,6716.0,6816.0,9516.0,7216.0,7116.0,,9516.0,9516.0,9316.0,8016.0,9416.0,7616.0,9216.0,7116.0,9316.0,9916.0,8216.0,4816.0,79.76098410428791,9716.0,56.08823125809812,9216.0,8716.0,,9516.0,8316.0,71.34667695342372,9516.0,,8816.0,6616.0,8216.0,9516.0,9616.0,3916.0,8816.0,5016.0,8916.0,9116.0,8116.0,81.8343256878322,8616.0,7816.0,8716.0,5516.0,7716.0,7916.0,5416.0,9716.0,,8416.0,8116.0,2016.0,4416.0,9316.0,9716.0,82.9341235260063,3916.0,8316.0,6116.0,7116.0,8716.0,7316.0,9616.0,9716.0,9116.0,9816.0,8816.0,2316.0,9316.0,8816.0,8316.0,9516.0,5716.0,9616.0,,9516.0,,9916.0,9816.0,84.3357001360062,6816.0,2316.0,7316.0,64.35841067271042,8816.0,8816.0,9916.0,9316.0,9916.0,54.04436573046682,4616.0,7416.0,9616.0,9916.0,8916.0,8916.0,8116.0,8416.0,9316.0,,6216.0,8916.0,8516.0,9316.0,8716.0,9016.0,6016.0,9716.0,9016.0,9316.0,9416.0,9116.0,6716.0,7416.0,6316.0,9416.0,,73.44191039423221,3316.0,9016.0,8716.0
4,1995,2016.0,9716.0,8816.0,2416.0,9916.0,8516.0,9816.0,,8616.0,9016.0,7416.0,8716.0,9516.0,6916.0,9316.0,9616.0,9416.0,8316.0,6716.0,,8716.0,6416.0,5516.0,9516.0,8116.0,9916.0,9616.0,3416.0,7316.0,8816.0,3916.0,4616.0,8716.0,,5316.0,1816.0,9416.0,8016.0,8516.0,7516.0,2316.0,5016.0,8516.0,5216.0,9016.0,9916.0,9616.0,9616.0,9016.0,4116.0,9916.0,7216.0,79.0242780885339,78.63370457535981,8316.0,8816.0,9916.0,7916.0,5816.0,8216.0,5716.0,81.84611038881611,,9716.0,9916.0,9616.0,,7016.0,9616.0,7916.0,7816.0,7016.0,9016.0,,9516.0,7716.0,5416.0,4516.0,8616.0,4216.0,52.90740715903442,9416.0,,9916.0,9916.0,58.79859251425962,7116.0,6916.0,9816.0,7416.0,7316.0,,9616.0,9516.0,9016.0,7416.0,9516.0,9316.0,9416.0,6016.0,9916.0,9916.0,9316.0,5416.0,82.86453789626941,9816.0,55.06398965695472,9316.0,8816.0,,9516.0,9016.0,71.46006006332831,9716.0,,9516.0,5716.0,8916.0,9816.0,9416.0,4916.0,9216.0,5516.0,9316.0,9116.0,8316.0,85.11076830253892,9616.0,8816.0,9016.0,5716.0,8416.0,7416.0,5416.0,9716.0,,8916.0,8016.0,2316.0,3416.0,9716.0,9916.0,80.46005263147221,5816.0,8616.0,6216.0,6816.0,9016.0,7016.0,9616.0,9316.0,9216.0,9816.0,7816.0,8316.0,9416.0,9916.0,7916.0,9616.0,8016.0,9716.0,,9816.0,,9916.0,9816.0,82.46022686158081,6916.0,2216.0,7216.0,68.18062998068652,9016.0,9316.0,9916.0,9816.0,9716.0,52.909346794447615,4816.0,8416.0,8216.0,9916.0,8916.0,8916.0,8016.0,8116.0,9616.0,,5816.0,9516.0,8916.0,9416.0,6716.0,9316.0,5916.0,9816.0,9016.0,9416.0,9516.0,9116.0,8716.0,7316.0,6816.0,9316.0,,73.60504097962482,4416.0,8616.0,8816.0
5,1996,3116.0,9816.0,8816.0,2816.0,9916.0,8316.0,8616.0,,8616.0,9016.0,7416.0,8516.0,9616.0,7716.0,8516.0,9816.0,9516.0,8516.0,6616.0,,8716.0,6116.0,6716.0,9616.0,7716.0,9916.0,9516.0,3716.0,7316.0,8816.0,4316.0,4616.0,9016.0,,4816.0,2016.0,9116.0,8316.0,8516.0,6016.0,1816.0,3716.0,8516.0,5516.0,9116.0,9016.0,9816.0,9716.0,7716.0,4116.0,9916.0,7216.0,81.94391362999811,80.8948770412722,8216.0,9016.0,9616.0,8016.0,6616.0,8716.0,5516.0,85.44013998170915,,9716.0,9916.0,9716.0,,6216.0,9616.0,8016.0,8416.0,7116.0,9016.0,,8016.0,6616.0,4816.0,5316.0,8316.0,4216.0,52.53374569524161,9416.0,,9916.0,9916.0,57.31741047192952,6616.0,7216.0,9916.0,7616.0,7416.0,,9416.0,9616.0,9216.0,9916.0,9616.0,9516.0,8716.0,7916.0,9016.0,9916.0,9816.0,5816.0,81.49228580866816,9316.0,56.89088612238353,9316.0,8716.0,,9616.0,9116.0,70.01283256901911,9816.0,,9316.0,4916.0,9016.0,9716.0,9716.0,5316.0,9216.0,5016.0,8916.0,9516.0,7916.0,86.44011313324421,9716.0,9016.0,9516.0,6016.0,8816.0,7016.0,6516.0,9716.0,,8816.0,8016.0,2316.0,2616.0,9716.0,9916.0,79.6667807414727,4616.0,9116.0,5616.0,7216.0,9416.0,7516.0,9716.0,9516.0,9216.0,9816.0,8416.0,8916.0,9516.0,9916.0,6816.0,9316.0,7016.0,9916.0,,9716.0,,9916.0,9816.0,81.9472045580829,7216.0,2116.0,7316.0,64.31903797534143,9016.0,9216.0,9916.0,8816.0,9916.0,50.58873794392482,5616.0,8516.0,8216.0,9916.0,8916.0,8816.0,7516.0,8216.0,9416.0,,5016.0,9916.0,8916.0,9516.0,7216.0,9716.0,5716.0,9916.0,9016.0,9416.0,9516.0,9116.0,9516.0,6716.0,5716.0,9416.0,,72.6156302610131,4716.0,8416.0,9016.0
6,1997,2816.0,9916.0,8916.0,4116.0,9916.0,8816.0,8816.0,,7716.0,9016.0,7016.0,8616.0,9816.0,7816.0,9616.0,9816.0,8716.0,8616.0,6616.0,,8716.0,5816.0,7916.0,9616.0,7916.0,9916.0,9416.0,3916.0,7416.0,8716.0,4616.0,4816.0,8616.0,,4316.0,2416.0,9016.0,8416.0,8416.0,4816.0,1816.0,2316.0,9416.0,5816.0,9216.0,9916.0,9816.0,9816.0,9216.0,3216.0,9216.0,7316.0,81.60310575281412,82.1153935139407,8116.0,8816.0,9716.0,8116.0,7516.0,8716.0,5516.0,88.54924995571552,,8616.0,9916.0,9716.0,,5416.0,9616.0,8016.0,8716.0,7116.0,9016.0,,9516.0,7316.0,4716.0,6316.0,8816.0,4216.0,51.87065528193242,9516.0,,9916.0,9916.0,57.014134761520516,6216.0,7316.0,9916.0,7816.0,7616.0,,9516.0,9516.0,9016.0,7016.0,9916.0,9716.0,7916.0,9116.0,8016.0,9616.0,9816.0,6016.0,82.70202010815859,9216.0,57.19778354590716,9216.0,8716.0,,9616.0,9016.0,69.71887921883472,9816.0,,9716.0,4916.0,9516.0,9816.0,9716.0,5216.0,9216.0,2816.0,9016.0,9516.0,7516.0,85.51154211416191,9716.0,9216.0,9416.0,6216.0,9016.0,6616.0,7816.0,9716.0,,8616.0,8016.0,2516.0,2116.0,9516.0,9916.0,78.7546318770227,5216.0,9516.0,4516.0,7516.0,9016.0,8116.0,9816.0,9416.0,9216.0,9716.0,8816.0,7316.0,9616.0,9916.0,7316.0,9216.0,5916.0,9816.0,,9816.0,,9916.0,9416.0,81.0692364839169,7216.0,1916.0,7616.0,62.34513760950293,9416.0,9716.0,9916.0,9816.0,9916.0,49.41015805959822,5516.0,8116.0,8216.0,9916.0,8916.0,8716.0,8116.0,7916.0,9516.0,,4216.0,9616.0,9016.0,9616.0,7916.0,9816.0,5616.0,9916.0,9216.0,9216.0,9616.0,9116.0,9616.0,7216.0,6016.0,9516.0,,71.92832554972563,4016.0,8316.0,8616.0
7,1998,2716.0,9616.0,8516.0,4616.0,9916.0,8416.0,8216.0,,8216.0,8216.0,7316.0,8916.0,9816.0,7716.0,9316.0,9916.0,7916.0,8716.0,7016.0,,8616.0,6116.0,8916.0,9816.0,9316.0,9716.0,9516.0,1516.0,6516.0,8816.0,4716.0,5616.0,9016.0,,4316.0,3516.0,9016.0,8416.0,7316.0,7516.0,1816.0,2616.0,8516.0,5816.0,9316.0,9916.0,9816.0,9816.0,9916.0,2316.0,9916.0,7516.0,81.86677637235731,82.31235387462611,8516.0,9216.0,9916.0,8116.0,8616.0,8816.0,4116.0,90.0283007320854,,8716.0,9916.0,9616.0,,5016.0,8516.0,8016.0,8916.0,7616.0,8916.0,,9716.0,7816.0,5616.0,5416.0,9016.0,3916.0,49.56182402935216,9716.0,,9916.0,9916.0,57.591951487559115,6116.0,7416.0,9916.0,7616.0,8416.0,,9216.0,9516.0,8616.0,7516.0,9916.0,9916.0,8116.0,8816.0,7416.0,9516.0,9716.0,5416.0,85.68884429751141,9416.0,55.50853649957422,8916.0,8816.0,,9516.0,9316.0,69.96030684871312,9816.0,,9416.0,5216.0,9616.0,9716.0,9716.0,5216.0,9216.0,1616.0,8916.0,9616.0,8016.0,88.32661580118362,9716.0,9416.0,9316.0,6516.0,9016.0,7416.0,7116.0,9716.0,,8116.0,7316.0,2916.0,3216.0,9316.0,9916.0,78.4321390625535,5516.0,9816.0,6016.0,7916.0,9416.0,8116.0,9816.0,9716.0,9416.0,9716.0,9116.0,7916.0,9816.0,,7316.0,9416.0,5916.0,9916.0,,9716.0,,9916.0,9116.0,80.69619679559815,7016.0,3316.0,7516.0,61.63588201074121,9516.0,9416.0,9716.0,8816.0,9916.0,49.95806770728162,4616.0,9016.0,8316.0,9916.0,8816.0,8716.0,7916.0,7916.0,9616.0,,4216.0,9616.0,9116.0,9616.0,8116.0,9916.0,4816.0,9816.0,9416.0,9116.0,9616.0,9116.0,9916.0,7216.0,3916.0,9416.0,,72.16336122153562,6816.0,8416.0,8416.0
8,1999,2716.0,9716.0,8316.0,1916.0,9916.0,8616.0,9116.0,,8816.0,7416.0,7516.0,8216.0,9716.0,8016.0,8716.0,9916.0,8716.0,8716.0,7416.0,,9016.0,7716.0,9016.0,9716.0,9416.0,9216.0,9616.0,1516.0,7916.0,8916.0,5316.0,5916.0,9016.0,,3316.0,4516.0,9516.0,8516.0,7416.0,7316.0,2516.0,2916.0,8616.0,5816.0,9316.0,9516.0,9716.0,9816.0,9916.0,2316.0,9916.0,8316.0,82.56169318152531,82.5027975161343,7916.0,9716.0,9416.0,3316.0,9316.0,9116.0,2716.0,90.78896877522392,,8916.0,9916.0,9716.0,,4516.0,7416.0,8416.0,9716.0,7916.0,8816.0,,8816.0,7716.0,4316.0,4516.0,8316.0,3816.0,49.433517832270915,9516.0,,9916.0,9816.0,57.28736438528552,5916.0,7516.0,9916.0,8116.0,8616.0,,9116.0,9516.0,8916.0,8016.0,8516.0,9816.0,8216.0,7816.0,8616.0,9416.0,9916.0,5516.0,88.57648802952862,9516.0,53.83773370221482,8616.0,8816.0,5016.0,9416.0,9316.0,69.59205938845233,9816.0,,9516.0,5516.0,8516.0,9716.0,9716.0,4016.0,9316.0,5316.0,8516.0,9616.0,7616.0,89.65482120952619,9716.0,9416.0,9116.0,6816.0,7516.0,7216.0,6516.0,9716.0,,8816.0,7916.0,3216.0,3116.0,9216.0,9916.0,73.98460608081909,5816.0,9216.0,6016.0,8216.0,9916.0,8016.0,9816.0,9716.0,9216.0,9716.0,9516.0,8516.0,9516.0,9916.0,7816.0,9316.0,6016.0,9916.0,4316.0,9716.0,,9916.0,9216.0,77.5465406208355,8816.0,3616.0,7416.0,60.70203364360915,9516.0,9916.0,9816.0,8916.0,9516.0,48.679458266858155,5516.0,8516.0,8316.0,9916.0,9316.0,8616.0,8216.0,7616.0,9716.0,,5716.0,9116.0,9016.0,9916.0,7916.0,9816.0,5016.0,9916.0,9416.0,9216.0,9616.0,9316.0,9916.0,7116.0,7616.0,9316.0,,72.00694079420482,7116.0,8416.0,8116.0
9,2000,2416.0,9716.0,8616.0,2816.0,9516.0,8316.0,9316.0,,9016.0,8116.0,7616.0,9916.0,9716.0,8216.0,9316.0,9916.0,9516.0,9116.0,7816.0,,9216.0,7516.0,8516.0,9716.0,9816.0,9916.0,9316.0,4516.0,8016.0,9016.0,5916.0,6216.0,8916.0,,3716.0,3616.0,9116.0,8516.0,7916.0,7016.0,4016.0,3316.0,8816.0,6516.0,9316.0,9516.0,9716.0,9816.0,9716.0,4616.0,9916.0,7816.0,83.34910733832521,82.8657388823507,8716.0,9816.0,9916.0,3416.0,8116.0,9316.0,3016.0,92.63864273372593,,9016.0,9916.0,9716.0,,4516.0,8016.0,8016.0,9016.0,8816.0,8916.0,,9716.0,8116.0,4616.0,4916.0,8816.0,4116.0,53.39311826545811,9416.0,,9916.0,9816.0,59.878928074198726,5816.0,7516.0,9916.0,8016.0,8616.0,,9316.0,8716.0,9316.0,8516.0,9116.0,9716.0,8216.0,9016.0,9716.0,9816.0,9916.0,5116.0,90.78351966812572,9616.0,57.68360981990062,8316.0,8316.0,4616.0,9416.0,9416.0,70.47957916262622,9916.0,,9516.0,5716.0,7516.0,9816.0,9816.0,4316.0,9416.0,5116.0,8816.0,9716.0,8516.0,90.66705500029713,9516.0,9416.0,9516.0,7016.0,8216.0,7916.0,7416.0,9716.0,,9016.0,8316.0,3416.0,2916.0,9016.0,9916.0,76.08284257088108,6216.0,9816.0,5916.0,8616.0,9816.0,7816.0,9816.0,9616.0,8016.0,9916.0,9616.0,9016.0,9516.0,9616.0,8216.0,9516.0,5216.0,9816.0,4416.0,9816.0,,9916.0,9116.0,79.53698998325652,8616.0,3316.0,7316.0,60.70710535463342,9516.0,9916.0,9816.0,7016.0,9816.0,51.44742640547715,6216.0,7116.0,8416.0,9916.0,9316.0,8416.0,8316.0,7916.0,9716.0,,6416.0,9116.0,9016.0,9716.0,8516.0,9716.0,5216.0,9916.0,9416.0,9116.0,9416.0,9016.0,9916.0,7116.0,7716.0,9616.0,,72.75270963217642,7416.0,8516.0,7816.0
