,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,2070.73334399033,11077.547759693201,2309.97081480614,,9275.2081637914,,,50921.6911054367,67759.9148603347,,,,4357.9245360646,,,,327.34287007829,308.04526559617,,,1237.2251380095402,,2796.81098464432,25253.841909541206,,,679.90537674577,317.63997038346,,2148.41948337261,,196.32658414628003,,201.66088864603,,9214.73257640727,117761.02390407199,6237.93491011692,149.17663465371,1301.56267788432,670.5497607521,2975.53529493693,3374.5933139204108,5274.43068980495,,,,47338.0648337981,,152.76877017908996,1960.2080795007105,288645.471714861,1313273.90541998,3075.8283852821196,10586.9086315958,1978.60372042603,171.17453154039,,,1057.19608048239,160.84242525438,,,26053.084295632798,345708.589366589,,1360.93900973788,430.51430218053,,521125.3808102121,649.7178499173,19725.7720767252,,,2822.40928867115,894.7351601878801,166.50231391017,415.02391579087,1264.3842309098402,,1552.55052204259,106672.442309854,13475.5889196418,2211.17555473767,1064098.93615212,36442.354849153104,33412.1437946426,38478.1678070791,,23450.4010865241,,15737.7731827282,249325.042063987,2501.70988199794,371354.347436145,5073.10429772584,,2299.6445577913,,126021.13808485199,4538.331738158,,193.2675259132,120803.385502045,,4815.36501555886,932.18418037674,,,,,11295.8336982699,,,546.0974731113598,875.03014451377,47444.932508235994,,,,640.9024828875,2001.32086360918,75202.6460269925,,88622.5235601684,,,9111.832775258941,1104.26622354742,,,,,,10907.0399879174,860.7318409863701,535.64376978885,5961.69682045302,28894.612065575096,3936.011549182029,12215.517763316202,2094.09522476755,,1579.27592885717,6110.90826610838,19644.4908159442,26407.9760459104,,,4870.851896854129,,,,,,36205.32614775471,,214.39034845173,,78652.1957666385,,,,,,55097.7837853427,107278.163178874,,,,,,1082324.97626823,1223573.21622407,1174585.43563986,1449.34320114913,,,88436.14396334109,96157.6060139237,,,,70361.5347377255,,,,2798.98407839866,6751.11129787857,94.53825972150999,,503.43966835995,,,,,652835.323114273,2063.21427066728,,,22668.5438661248,2681.43281145705,,5724858.5994787,2728.48597537812,1191.5796232621,
1,1992,,2505.6806607131603,12491.4408306323,3268.9870221283504,,17294.3534084468,67.20788002132,,54346.0607174888,70316.2442378082,150.80153215359,,,4707.25653688685,,786.51620428472,194593.57121674606,351.42293747185,621.05493691232,,,1393.5161798188901,,2727.2945905863003,25819.3362071829,,,628.70697536157,281.38847023408,,1840.62536893433,204899.6396917,236.94100122357003,,204.04720107103,,11374.5610034459,147345.556225899,8234.07410800583,147.03932983689,1011.48988370937,801.5651759893,3831.966505734871,3856.58417960349,6200.05292023792,,,12406.6617907245,48742.31020627621,,134.94659864052,2302.39630113967,332393.874686997,1389725.36730795,3089.8767803026008,10835.6944095086,2404.1979455106507,124.03202946839,,765.0685367514999,1305.25628639592,291.18017199262,,,29052.3739028177,353915.99826779705,,1205.85611654331,546.51627367786,,528966.5349015361,2693.05146689924,21451.185272052,,,3716.0489754031896,1109.69098500601,165.13528489536998,526.2416184684598,415.56782781548,,1928.3997876727801,130575.247646338,12941.3184692117,2118.10077405288,1064034.85455802,38637.7244301866,34980.0762899663,38667.7183856309,,24595.2044496285,,17291.3346526835,265871.100705675,2395.7677105646303,365858.99924790795,6576.57131893027,,1898.0525825660998,,132445.47676186802,9376.10828399681,,320.57873876096,142412.479698189,557.84377325446,5285.68705394957,1143.8372550604,,,1027.2034525202698,,11030.5600422299,,,572.48100421632,884.42595866914,50995.6775478112,,871.9521405973799,,789.11825548132,2074.5624419762303,92606.62916918268,,95178.70157052901,,,9641.306050206329,1149.24299502577,,,,143304.51722655402,,12068.9365782891,1157.85191740866,614.8591215914901,5369.7375425092405,28954.1246286614,4601.23202856832,8286.999690606508,2462.08956238595,,1511.37649702475,5141.78564683803,21367.135666058402,26741.9275047282,25270.7258887584,,5635.77482988229,45673.2757576014,,,,,41189.710489476696,,237.10118166320999,,83795.5946268734,6098.80873376133,3477.92136605754,,,22538.778847333906,53659.6233518016,114581.355199985,,,,,,1186721.41831962,1352705.21164304,1260753.52387978,1016.44355691769,,,87120.9787189875,90274.49030327199,,,,75445.59247412019,,,,2420.91884195132,8244.36343485387,171.14680210806003,,492.72485053373003,2672.66456887957,,,260649.06231491198,706724.082896046,2540.7930025965693,383.49751626832,,15710.701365158799,3152.1640655709602,,4959693.9276512,3435.92008681723,1220.03895148087,
2,1993,,1733.5240943629099,12201.999758256201,1737.1688341736499,,19712.2377242339,326.90387970692,,56595.124632114406,58119.8222245862,1294.66179177317,,,4913.18779492357,,3678.75128954705,227460.091405456,345.75174818628,588.39720744586,,,1400.13718619996,,2459.70521876301,34910.7988125028,,,522.5676508655,240.94362375716,,1381.0652308401502,222722.10757313602,236.21271726867002,,151.28762770352,,12140.8232020115,185074.56320450894,11801.050893956999,128.33637512852,943.89656077648,657.4613722798598,4381.450934484579,3339.51434759833,6241.35759348397,,,20163.2504603902,41611.2578395395,,115.95950902663,2505.6200215186104,390367.261202865,1477882.77924162,3146.0427012848804,10361.037741187,2695.4943741528896,128.32265369966,,1240.34855883888,,644.9236271451799,,,27656.677076388798,291414.092407414,,1106.42773030117,499.92006267535004,,477561.99106339,2529.06586620648,18125.4501570819,,,3792.12690251901,935.6850725098101,182.48418515950002,652.3285196238401,834.32950422198,,2177.84194938464,147377.377050976,14124.8817292827,1737.50463171147,1111424.74197338,39178.7536953695,35152.5049038797,25083.470945984503,,26351.1595826044,,18359.0274426034,234157.048209198,2928.77877317089,371311.297429875,6847.55373805518,,2099.13784558774,,134623.630233108,8777.0790949058,507.25760948084013,517.5465543706,160417.562263139,1275.40312157129,5654.40991905527,1033.2412277367,,,2341.41983152117,,9901.896960346709,,,538.91203619076,661.8039836257401,56528.623763079806,,1164.14536753781,,732.1934352320799,2125.18393768073,96127.3626885562,,80048.2366799775,,,8594.608857332141,1385.21676808699,,,,153475.15022276802,,12594.050835311298,917.9480311541803,628.71535578957,4710.90504242834,30082.0070513355,4855.873556443621,10468.2008979397,2571.40584214726,,1750.9335933316504,4930.98985993704,24409.022818042402,30270.857305790098,30466.6195796885,,6697.1322232127195,39124.2377983421,,,,,33746.1810102986,,286.38607819918997,,100183.928327803,7735.441416600809,4423.13290790183,,,27922.0335980652,56702.777102116794,108089.404513415,,,,,,1205675.89497749,1209107.55602964,1124273.31697716,648.3459620792701,,,73617.04117475639,80485.2991619386,,,,85188.4717618814,,,,2391.4272006354,7641.651885377191,379.06638915175006,,551.4103936093402,5547.1650545333305,,,268753.00366755604,772811.867289168,2795.175778880869,1130.42551632395,,13614.8472289155,4031.26842560195,,5125653.21423633,3663.503834730061,1005.5702326203,
3,1994,,675.4158928813,13631.3201100343,1790.78975524476,,25063.4838399883,513.19362421438,,63299.3079480447,67637.397848336,1514.84384237831,,,5688.86459880199,,4552.55450065671,249311.43260050105,326.99051946375,444.46876758671,,,1464.80821202388,,2346.15654953708,46841.869170480495,,-34909.476694398,434.22196933994,282.26114239527,,1144.76685961624,236101.218234259,291.73699592187,,162.50918005621,,13304.500852601599,212229.06050689,14633.258647996101,138.37581657173,1201.0906252397901,481.55436613230006,4706.42001173756,3184.51992793049,7174.263340828009,,,24443.5035910375,49749.705087994014,,121.39953253221,4333.4174516823705,462249.721711379,1660248.04909901,4551.206326834729,13173.2260572225,3308.03503770874,134.30083552629,,2357.5936101403,,1257.60342314734,,,33597.7277107593,343953.66130740603,,878.67519696332,282.09977114539,,515423.914017922,2584.3961833267103,18764.0786106134,,,3956.71211297224,862.4168828228302,216.32852725909,519.46282790803,879.04984000599,,2910.27400931807,167206.288602835,16871.007216282902,1884.8343932750101,1408378.13506824,48039.3576257019,40523.342282710095,15089.737256056498,,29800.2934398586,,21823.6540591835,284767.100598394,3103.77415929149,410986.56708027,6696.23401728033,21432.9770286422,2709.29362748005,,158061.39063943698,8652.93279799145,384.38767750052,695.1337146325299,197591.461250285,1690.4792249222598,6987.838016703729,983.1166755036,,,4026.555546247079,,10814.899965685,,2080.5499286694103,553.69200221292,612.07094427924,75580.88067151481,,1350.10169847959,,721.4676952346498,2444.5244740577696,113778.753185639,,77198.84976842691,825.52333800654,,10744.3089731822,1626.26234825807,,,,170269.96119109401,,14638.981227888702,1097.97378175576,308.4373820244,4902.2082997817,33646.9906990136,4747.70407934241,11195.8128363795,2908.13924592273,,2611.77968776237,8785.9009332779,27966.321625974502,35739.5794646215,36867.351489954,,8563.373715171509,61963.5609866003,,,,,28727.694763198197,,252.26913865908,,114962.064117427,8317.019656277951,5843.10873654645,,,28627.3928010988,67473.67084256849,124458.981499935,,,,,,1414501.74460315,1403694.25769733,1315272.27791254,1299.51510013892,,,84081.3177275766,83953.93723219179,,,,97577.286768156,,,,2091.3658430995497,8169.307923315629,739.18084022998,,763.66161482707,15068.611410243999,,,280797.931563066,866834.104302322,3447.23991727938,3107.80710659518,,10234.3767358028,6114.59324854285,,5658456.86664261,2706.87741463168,664.8797520179,
4,1995,,887.9215585953999,13738.1850602025,2138.90989669971,,22764.8039350547,816.9469553698799,,69531.2442476654,71797.1673412424,1242.80250332443,,,7274.18088657149,,7659.818095918921,304082.84789805,299.09758736846,738.12887243914,,,1594.11423594693,,2469.2109192926896,69298.8003417026,,-21840.8203792565,543.8356322629901,267.03433617463,,1733.31188894344,245861.441778757,304.00928214944,,211.66764848233,,16355.485502296298,220773.84511590106,15454.9565867851,177.26409529682,1530.8926956243201,509.42699298689,4620.87447355745,4467.27496318475,9500.799960182121,,,37751.2897728627,56789.7178747637,,135.68292368562,4178.27294266824,508821.468242205,1881617.03743351,4742.68002995198,13804.144559078,3895.67914608061,263.33497021544997,,3233.9797177181104,,2609.60178894369,,,35807.5508691344,375999.65617512295,,1058.78840804464,172.40768018818,557.24791814742,553876.659597617,2916.3106193745307,21638.9359081354,,,4483.5159774738,888.54122622131,174.59509983803002,615.67957173868,756.3750981352,,2590.73695853369,189960.222057843,16266.306599797099,2028.67791844466,2154148.58365797,56850.582237501396,46779.8257951583,14329.4665843653,,34144.1447374011,,23818.3399407612,352384.585436135,3617.3340332905896,462111.30300928,6712.9874532307895,18768.1944165418,3364.3411861606605,,189338.75448452198,9083.297559027573,580.4642670273598,660.0364530346201,202835.41327112398,2046.14971252385,7807.982527473091,1084.43944893215,,,6365.0488623380115,,11349.5089451461,,2202.28619616014,596.0910170539199,539.3246135895,89449.3944298425,,1263.49135141435,,769.90296074916,2267.8672138677,98548.44029160312,,79000.6573217431,911.5192333975799,,11815.2922225064,872.06854169194,,,,196773.00207731104,,15594.2701425709,1123.7849065600901,372.84080815235,20224.9879291057,36188.6282816998,4686.791868753039,9841.24862366943,2765.244323789569,,3091.68874272953,11469.812844783,31720.7645542762,44238.673864226905,40699.5907524707,,11241.6868086727,70483.0401396353,,,,,30855.833426039302,,268.74886738655,,129853.11173555303,10050.6740587093,6999.909780481,,,27064.2817960569,76870.7355530902,139997.35646523,,,,,,2149441.78968128,2102141.71779825,2122373.92500192,1197.3435074036502,,,91102.6161044475,87091.0201298925,,,2064930.90759945,111760.784291031,,,,3103.7608508641997,8989.64155773251,1533.84414157328,,971.2259235309599,24842.630813996202,,,298597.69366372604,930696.2382775092,3243.0055977932698,3491.64778637836,,12915.9849152035,6689.66736532053,,6151141.50006607,1802.9573571545402,1028.48160304391,
5,1996,,1111.54945896318,11875.1279529607,2406.3970767298897,,26716.4664514328,1000.26219003873,,74414.9164928519,76162.840697272,1778.3503635597501,,,7932.9225202978505,,9747.62493018426,311756.336120829,301.26383882177004,659.43739525072,,,1748.06191533948,,2267.17679271767,73725.4220428371,,-23048.670919417204,696.74097877105,147.80264637231002,,1765.86357450524,258789.882063707,295.02871048407,,202.65105666084,,20136.2830517556,234127.582465305,15480.8571858099,186.2273253962,1564.46734361689,1809.67465741909,4962.71121594746,4235.45580630918,9866.78354055177,,,42259.2575553625,56733.863319318,,154.42962873546998,4864.7168834003005,522085.480100583,2187441.833039,4574.7849268567,15356.3398314963,3817.3524819584495,291.47500021629,,4097.42480129829,,6016.058195819351,,,39579.090765707595,385380.567822905,,1042.72127587002,342.90199330791,877.4355948378302,572820.7571979039,3755.8987803759496,24182.6742807403,,,4348.17085135617,715.6632027054901,140.99502574865,754.35407910803,810.40168500079,,2960.86024437948,198279.07115197397,19601.5721834922,2481.2993480636,12370.1712191145,62145.6447089571,50428.5560729641,17969.0696252167,,37581.7104700717,,26834.6509282284,332662.51270436,3850.91200462776,507143.17910872103,7961.797081561171,20432.4711389813,3374.80598856224,,217995.275368792,10146.866368937901,948.92951645338,791.50364927729,233758.85537701,2716.0451780024696,8923.1927145996,1126.39247729788,,,7735.3538478436585,,11463.6004726112,,2126.10795206706,697.28632949433,715.5600730059,92314.7740283907,,1377.44225560202,,729.13067819586,2696.2399994887696,121233.686416171,,84378.52657718169,1247.24806748589,,11537.452781985301,937.62336052035,,,,205441.62385610398,,16132.318904863101,1344.50137657357,361.15086214631,15327.173078678501,40153.5129607885,5200.9732207752,8152.595567585891,3118.84826019589,,3223.27156245296,12083.280466569098,36121.6861118977,57181.6147416326,43780.1528644032,,12845.851364031201,78434.8118267863,,,,,31822.3716834254,,435.27375335127,,141868.166822729,12959.6687918296,7953.321830624141,,,26013.925926532596,81303.38361186889,150774.773511862,,,,,,1891368.31330891,1850018.19234653,1865348.6588061,1528.3498605718,,,91785.92483070312,91651.613149715,,,1809930.12396215,97305.4557903027,,,,3360.94743567719,8814.66732014471,3536.05506331164,,952.6885212746699,22076.6344507331,,,327092.143892532,985564.906711087,3830.407856469589,5713.31052166983,,10227.4694724741,8654.24711285696,,6525398.37454783,1940.8792692173895,1129.6090906145098,
6,1997,,615.99351719627,12042.259870373799,3064.9804569639,,34655.986210753996,1103.19452604742,,79126.7993433542,77761.9433545732,1556.90784209057,,,8488.12724577083,,12769.1423705183,317670.027861621,353.63595355971,746.79523009409,,,2215.32093545835,,3133.7846056652397,87050.5591499718,,-22769.2558735902,644.83203272226,149.20621970834998,,2080.7720200241197,266193.117022969,290.73196495596,,161.67015300286002,,23064.7855998681,252580.13510601397,18405.4060354268,71.75815655992,1201.11721860265,1091.4634751364501,6014.400838932429,4262.8042372076,12335.928420651899,,,43338.0363010637,61596.8536427702,,160.80889596417,6184.13269605944,543015.666490849,2275610.21136043,6066.75603816022,16604.7063022183,4692.21595209337,393.83667951731,,5250.96377385936,,13765.7776860165,,,44572.185077122595,391337.663302649,,1505.2290594166102,228.26817858871,1222.47755730482,618922.051508988,4102.11486230774,23883.836286914902,,,5625.0709200522315,721.05684550746,114.46413115173,830.43562982541,1234.14808154182,,3638.67640237352,213435.832801574,24011.1539851375,2627.22468670322,13314.7395633652,71953.9820688524,51532.79255298581,19928.148873405902,,43139.282084961604,,29436.0222184156,367644.415251333,4217.3665958252395,508980.277577754,8010.68806422822,21179.9552418501,3996.27134778992,,224846.373678831,10334.0075106516,845.08843450649,492.97040587522,283302.09412868,3096.18177682145,9257.86736263492,1212.3769776086099,,,9547.20504898672,,11898.1578799249,,2439.17126790135,697.69136236933,897.23643706241,97834.6884741476,,1504.16452992482,,796.8023753660699,2801.97558400011,147903.914490384,,89764.2095680833,1493.54879594051,,12002.308439485501,1376.66679104225,,,,227708.874885353,,16723.8591286501,1779.8404720543106,389.78652146992005,24378.6733002425,44872.839046720714,5959.0807041120715,9441.80730208759,3543.23813026265,,3672.92988811699,13691.634277571002,37839.9220605277,68412.1187222762,46034.3764826527,,13074.807392128601,86751.6169184979,,,,,34428.1096269046,,403.85433387536006,,155885.634814289,14394.5539128908,8549.87342705009,,,24759.8420963819,93413.7534450759,169362.567716825,,,,,,1943291.21798062,1894136.74264034,1918528.19350732,1721.8423209058499,,,100530.635141908,100720.799883766,,,1850025.96713756,86327.02174667269,,,,5003.3676352639395,9664.964672930551,8091.103227838968,,972.11438033899,22527.8289234766,,,356969.97265078203,1105853.91249269,4492.0938047601,5612.28490054698,,15928.629875377801,9315.07287842893,,7090262.36522259,2253.26598280603,990.20625772236,
7,1998,,1077.73646122387,13905.609391522801,2856.85681530195,,37950.546702663596,1185.6680403360099,,84762.75308484871,86396.5374122558,2246.25041114751,,,9523.0748464785,,13705.875930984199,328569.99196526397,426.44076238094004,831.55749756786,,,2239.92206009574,,3448.6161295394,88753.87991351912,,-24821.904109006,999.95308281315,204.52576370296,,2488.97625406566,281100.54170638,303.92194347164,,205.34219090028,,23376.948319582403,265436.229005321,18494.3722134151,63.60293074359,1117.25895239325,1381.6787268233304,7971.60787810169,5487.25456665897,11698.716139003798,,,47956.7705036803,65143.6970711632,,166.71074400254,7288.908681790959,494598.580167898,2031173.79871519,7208.8224467128075,21766.833511661298,5274.50530053863,613.38753614237,,6195.33248631177,,22848.7689962138,,,49629.3975119765,445792.918360216,,1410.0959696100501,458.49324210468,1155.25720091358,685382.6221708889,4423.67755027618,27322.9443036504,,,7170.47848630856,812.92914057131,135.50781206659,863.7394066889099,1459.3771510400302,,4443.263217104311,198682.97594762,30679.4334783292,3275.7192236315004,14699.9304735823,82221.3882796821,75857.912110818,19061.419897520802,,51004.7524600122,,32398.090015382,403171.0373423021,4900.44305749262,478691.136689468,7558.161959702159,22834.678879658397,4234.9677230391,,168000.4839486,11470.7735706551,1054.58462499149,819.8296279856401,310791.083383235,3853.6872546186896,9305.762796409499,1079.54146482372,,,10418.5838474993,,14163.375572724699,,2819.15311926777,651.12357419232,867.4831868477701,76306.6733263529,,1626.2738570068802,,789.8577716093698,2865.8746019787395,170072.914896677,,99206.1489582495,1308.78978058968,,13832.1118542251,1091.49082278799,,,,253256.44874655802,,17138.9316257923,1940.93011495478,511.19554584229,25205.8251437217,50759.0282018973,7088.078563939251,10566.0921314411,4146.79438067283,,3073.58298292027,14013.741870374899,33902.8250403064,80240.90543516401,54520.817102208886,,14497.772117537399,73487.8384815808,,,,,38085.0261049802,,484.60638168648,,135835.469306325,16982.2076484479,9982.56858412039,,,29582.6858307793,106328.39937779901,194628.068121238,,,,,,2287098.62434846,2232279.06932052,2257512.22262043,2232.28556669267,,,110404.86044908401,106802.23584257199,,,2182849.01340351,64863.4214925429,,,,5450.8719133429995,10814.0570721688,13429.8078026647,,1084.58330120424,20531.8106089536,,,382713.811581745,1233914.61474788,4833.32589484131,3844.66152829661,,18209.10744031,10284.160874315201,,7401120.26810526,2962.1924750389503,1666.44037145388,
8,1999,,1533.36079588974,14030.0942781996,2932.79563136979,,31898.7147451506,1092.73616101289,,90933.3592080225,89543.586755076,1923.9802794405896,,,11275.665331284099,,10696.2717090264,333692.931668634,500.14684801498004,1123.02536027464,,,2263.59012613393,,3347.8759417750507,75349.41280890201,,-26363.1738599716,794.02222168019,158.04125475536998,,2199.04688115032,303792.860527735,356.78202609264997,,200.85350346365001,,19034.731028781,317859.875930715,13866.3597766674,95.09511962218001,840.5286162640201,954.0074700346303,8307.92580375648,5169.25258822131,10968.186163836801,,,49936.2004650609,65315.599246405705,,180.71484001991,7862.76884227873,573264.468745352,2157024.90484867,4017.06451962154,22292.0164584709,5577.655916904829,858.1552294322902,,5631.9149132579005,,34879.8613529702,,,50334.2276269466,458302.17366677796,,2064.3798468589607,281.02659786544,927.29829503101,722779.5947728021,4322.03722241231,26258.5003588279,,,7212.06895107982,754.38670698943,137.38965718793,894.7284701412401,1436.7651952213198,,8130.612405372571,197643.462409505,33856.5052698686,3415.1069866019293,17836.8781999847,88793.67350117039,50615.588637069806,17421.2507198131,,55210.9256886357,,41187.3016973203,425474.524856404,4330.2487400835,507810.844998717,7494.376886212759,15269.880028149299,3696.2440107040998,,207195.089770947,10407.9587155948,786.2824857375,1052.74998132417,312914.370506814,3455.31394334755,8411.37203848225,996.33802468664,,,8623.040688881842,,14628.005001508302,,2637.48746837942,501.62532082600995,873.2016207526201,87477.0521778814,,1798.8661297482395,,845.3458673765898,3031.16333965314,194189.38763083695,,98710.869410986,791.85199998981,,14971.6707614343,1659.4723109864199,,2241.3409349263297,,273669.513651918,,19407.828383411,2485.16272605242,452.54972365407997,6042.1819707073,49863.662675485,5980.7452733828,10237.778255282801,4450.14477543295,,2195.36626372858,11476.855321924299,33993.2016558357,79945.7819313184,57782.795256952195,,13020.7155804247,51218.264599956296,,,,,36578.0689962752,,560.92407088848,,147785.14401329,14967.278825198799,10692.5271314111,,,28633.746931138907,114638.994680337,220320.663362145,,,,,,2547468.05674192,2512799.18419405,2518839.08566405,1666.13374897345,,,112365.949186096,115776.94244566,,,2464478.65247632,78644.0485830111,,,,4902.570458044071,11226.541733298702,20501.3160328946,,1055.11472577739,16819.9219363851,,,403218.72074633103,1372142.05760318,4343.11533164264,3316.7401908041197,,16652.5611245476,12478.788606100501,,7920149.558200999,2863.54653507435,1357.24676715584,
9,2000,,1458.36304681273,13905.790505923798,2900.34297389641,,31110.6104862634,1198.44034094105,,95852.9478331226,89073.8884797576,2071.69911050576,,,12197.480588945,,13181.164467667,341736.02866266196,619.87051387961,758.6731014292999,,,2376.39451465325,,2809.8081865512,85260.70420377809,,-26908.261793704103,649.10153115567,199.28940303688998,,2361.32555833611,329890.694141732,305.25290558185003,,158.5728923172,,21846.6990162093,425134.7579057071,15149.376028492801,96.45307652934,888.99534268539,709.19245391259,8401.190347330721,4073.4183092243293,10973.0846661171,,,56950.127337995305,70339.583346122,,190.74067110596002,9078.718149667571,737058.662443253,2479665.69928868,4953.3884980598605,19448.067337219098,6714.52077587832,573.64891711128,,7595.497029975229,,63279.891831468,,,55849.1450952339,513098.22911882,,1854.0118452174695,486.69438244835,955.64887523274,793461.876112,3835.89220048962,27229.186105143,,,7817.079205485709,726.67604231854,162.69347495109,919.01747603332,1550.40814560985,,5224.3882521697715,233550.28506585106,38729.2590045717,3554.3659665942296,22752.6697612116,91279.9238978974,69419.2821137461,19778.944434874098,,70633.2100799942,,45286.345162141,465582.267476577,4688.97722029679,562769.138773957,9054.29166334369,19159.736027379,4341.70900477913,,246170.36744261198,10115.1477278061,715.5017382429597,904.3904257111,360192.986971539,3369.6454566197804,8553.14990039439,1026.32871978683,,,9383.06590760134,,14427.179364289099,,3049.07945215742,980.50293530367,695.75956906778,110141.770806899,,1795.4593938558899,,909.86435940349,2845.7126547722496,231857.559427987,,101292.995547809,1005.8155930626,,15861.029012970801,1433.0322693025198,,2084.85023862696,,309834.15884066,,18878.1833632409,2419.22000023732,439.04157337962005,6451.09137704171,54730.6750274667,6488.0838153697705,11083.7539809884,4325.80201427619,,2632.75927809517,11964.1128535103,40573.6829379864,86947.6030996802,57320.7497298917,,16298.4774463752,54984.0490199426,,,,,40245.902637253195,,490.34518647085997,,167543.94781669698,16765.7627378445,13391.1861251197,,,29276.4872910819,119060.096781615,237806.808834497,,,,,,2339705.14340544,2303981.91749245,2310431.73552639,1821.9070229241895,,,122846.633512712,123023.477040364,,,2257321.31737842,93133.9340890889,,,,3903.52345594868,11370.291738169499,38653.1604432366,,1240.59862129505,19627.221361891498,,,441355.29557653796,1532732.4323759,4508.23753284299,2770.4898647992304,,19336.161706223502,16301.5783841699,,8848426.32449182,3321.4309549141108,1670.26180793979,
