,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,49.6624,69.01524,65.44824,39.2624,68.90424,68.27524,64.6724,71.01824,74.324,72.324,60.1724,67.44424000000001,71.6524,58.68124,69.17724,65.524,72.8824,68.79124,51.56424000000001,70.0124,53.34924,53.97124,67.02524,60.04524,62.0324,71.77724,68.42399999999999,48.19524000000001,46.13424000000001,64.40424,51.5524,52.15524,74.4924,,46.40724,45.8724,69.87524,67.52624,64.46424,55.61424,47.77224,53.07824,73.31924000000002,50.26224000000001,68.624,72.84324000000002,74.66724,68.2324,72.4724,55.26224000000001,,65.89124,67.0372560554014,66.21993605369272,67.02424,62.62924,60.23324,47.04424,46.85824,64.324,46.0224,63.682590454798316,72.92399999999998,63.78624,71.3324,72.824,67.05224,59.87924,51.21324,66.21424,72.124,56.06824,74.624,61.724,66.44624,59.83824,49.68124,47.26524000000001,60.16924,53.41124,48.28364320031213,64.90924,75.22399999999998,65.0624,74.8724,53.70955207815342,58.04724,62.18824,63.57924000000001,63.72324,72.19224,,75.124,73.824,69.74924,76.1324,68.7924,63.324,56.38824,58.03824,67.7424,71.49824,64.624,52.76124,64.69328890899482,63.7324,50.73825935812712,69.05824,58.25224,45.39224,67.31824,65.1324,61.46205450610224,7224.0,73.28224,69.35224000000001,50.38824,42.49724000000001,69.18424,62.48724,46.97724,73.05824,57.28724,66.22399999999999,68.3724,65.77524,63.934311166440324,63.94524000000001,57.97824,63.60724,42.0124,56.86824,58.85424,54.40424,7424.0,66.72399999999999,73.324,62.14824,44.26124,45.06524,74.0124,65.9624,60.55968269781632,59.70524,70.46224000000002,53.3524,65.99324,63.6924,62.79224,66.124,70.624,74.27424,66.5624,63.4524,27.25924,62.33724,,60.15624,67.8424,55.84924,,36.18224,73.524,,66.824,69.524,62.156342956353924,56.84824,43.78624,58.68724,58.23533330592753,73.4224,66.42824,,68.92524,68.09524,48.38160548043511,54.20524,64.324,57.78424,74.9424,74.124,69.25624,59.36924000000001,48.2624,67.11724,47.81524,54.75624000000001,68.23524,65.29424,68.824,61.16724,58.9924,42.58124,6424.0,70.82424,73.42399999999998,7224.0,69.02124,63.39724,62.23924,67.25124,66.23124,71.3224,63.41870759555382,56.64724,41.79524,56.86424
1,1992,50.3624,68.99324,65.69724000000001,39.41424,69.14324,68.48724,64.62724,71.06224,74.524,72.524,59.89724,67.59524,71.88424,59.35224,69.42399999999999,64.92399999999999,7324.0,68.41124,52.02824,,54.12124,54.48824000000001,66.8624,59.13824,62.42424000000001,72.00924,68.0724,48.11624000000001,46.09124,64.81324000000001,51.88224,52.1624,74.7524,,46.05224000000001,45.93624000000001,70.31624000000001,67.64524,64.58924,56.07324000000001,47.85824,52.54424,73.52924,49.87624,66.92399999999999,72.93524000000002,74.81924000000002,68.5424,72.5624,55.35324,7224.0,66.24224,67.163905870424,66.35712865481173,67.42724,63.03524,61.07724,47.47924,47.66224,63.424,46.42324,63.032090633034144,73.22399999999998,63.96124,71.6724,73.124,67.41424,59.89524,51.44924,66.19724000000001,72.624,56.34824,74.72399999999998,62.0424,66.6124,60.28224,50.24824,47.60124,60.35324,53.71424,48.448944755945924,65.32724,74.824,64.624,76.7724,53.88958441707962,58.48824000000001,62.52524,65.16424,64.28124,72.38624,,74.72399999999998,74.22399999999998,69.63224,76.1124,69.00324,6324.0,55.69524000000001,58.44924,68.2224,71.63524,64.22399999999999,53.23424,65.05460518862182,62.6424,51.05835306022632,69.42824,58.18424,45.93124,67.63824,64.8124,61.62414812481983,72.624,73.52424,69.46424,51.04524,42.46724,69.38624,63.16524,47.28224,73.5724,57.46824,66.42399999999999,68.83924,65.88924,64.58923051063792,63.72224,58.14724,64.04524,42.47124,57.22924,58.8124,55.22424,74.324,68.22399999999999,73.124,62.96824,44.87724,45.07324000000001,74.1624,66.50524,60.59207610418522,59.98524000000001,70.7224,53.70724000000001,66.16924,64.17224,62.92724000000001,66.72399999999999,70.824,74.4224,66.5624,6224.0,24.9124,62.85124,,60.31924,68.19524,55.95124000000001,67.524,35.6124,73.824,,67.624,69.524,62.18273007370753,57.42624,43.88524,58.77224,58.67973035880562,73.8124,66.47324,6624.0,69.07524000000001,68.25424,48.40864659359322,54.36324000000001,64.37424,57.51624,75.3524,74.4524,69.45124,59.00124,48.00624000000001,66.97624,48.81124000000001,54.74524,68.34624000000001,65.31724,6924.0,61.62924,58.95224,42.29124,64.22399999999999,71.13324,73.824,72.324,69.17924000000001,63.2524,62.6824,67.38924,66.47424000000001,71.62124,63.58461141428872,56.96424,41.32924000000001,55.37124
2,1993,50.99724000000001,69.0324,65.97524,39.64624,69.3824,68.70224,64.73224,71.09824,7524.0,72.824,59.85524,67.73424,72.1224,60.07124,69.61824,63.824,72.9624,67.97824,52.35424,,54.8924,55.00724,67.01424,57.91824,62.85524,72.23724,67.6224,48.04624,46.26224000000001,65.23824,52.19224000000001,52.11824,74.6924,,45.66724,46.00824,70.75124,67.77824,64.79124,56.49224,47.8524,51.98924,73.73924,49.42824,67.2224,73.07624,74.96924,69.2824,72.5924,55.40724,,66.53624,67.31302406455413,66.49868107010182,67.80224,63.46824,61.79624,47.92624,48.49724000000001,62.324,46.85624,61.700756096220324,73.524,64.1324,72.1124,73.324,67.74724,59.86424,51.68324000000001,66.23624000000001,72.72399999999998,56.51224000000001,7524.0,62.824,66.76724,60.73224,50.69724,47.93624000000001,60.55524000000001,54.01724,48.6593478602124,65.73924,75.324,64.5524,77.1224,54.079556776252225,58.9324,62.8624,66.40724,64.77924,72.55424000000002,,75.324,74.624,69.5324,76.2424,69.19924,61.824,54.86724,58.84924,68.7624,71.75724,62.924,53.72124,65.43357994689525,60.4324,51.422510752718715,69.81524,57.71924,46.7324,67.91724,63.1324,61.73645737434671,72.22399999999998,73.76124,69.58824,51.77524,42.51524000000001,69.58424000000001,63.85824,47.51424,74.72399999999998,57.63924,66.42399999999999,69.31124,66.00424,65.13981478133093,63.46924,58.33124,64.44624,43.00524,57.58624,58.63924,56.03724,73.9824,67.92399999999999,73.824,63.70524,45.53824,45.10624,74.2224,67.03324,60.452205304094534,60.25724,70.98624000000002,54.07724,66.34524,64.65324,63.04624,67.42399999999999,7124.0,74.55624,66.124,58.9724,24.29524,63.35524,,60.48124,68.54424,55.96624,,35.19624,73.92399999999998,,68.42399999999999,69.42399999999999,62.09799857601814,58.01824000000001,44.24224,58.72324,59.12574392667432,74.0124,66.40624,,69.17524,68.37124,48.45041854269082,54.52824,64.43524000000001,56.9824,75.4824,74.92399999999998,69.63124,58.74424000000001,47.81324,66.81524,49.93524,54.59824,68.4524,65.30924,68.92399999999999,62.11424,58.96624,42.11124,63.524,71.43424,73.824,72.22399999999998,69.35924,63.16324,63.11324000000001,67.52724,66.71924,71.93124,63.68547370325122,57.25824,40.99824,53.64724
3,1994,51.56824,69.1424,66.29724,39.96624,69.61324,68.91724,64.98324000000001,71.12624,7524.0,73.22399999999998,60.06524,67.86724,72.35824000000002,60.82724,69.83224,63.524,73.3624,67.51824,52.55324,,55.65624,55.5324,67.4924,56.44324,63.3224,72.46124,67.3624,48.00624000000001,46.6524,65.67724,52.51924,52.03224,74.9424,,45.26524000000001,46.09124,71.18124,67.93724,65.07324,56.86624000000001,47.76924,51.44124,73.9524,48.9424,67.5424,73.26324,75.11624,69.4824,72.7824,55.4324,,66.77424,67.48115038050632,66.65540672050273,68.15124,63.9324,62.38524,48.3824,49.34524,60.524,47.32524,61.05562703211053,73.824,64.29524,72.8224,73.624,68.05224,59.80224000000001,51.93424,66.34324000000001,73.124,56.56824,75.22399999999998,63.3424,66.92224,61.1924,51.03124,48.26824000000001,60.76924,54.32124,48.90171821490162,66.14924,75.72399999999998,64.8624,77.1324,54.282623615687115,59.36824,63.18824,67.30724000000001,65.23324000000001,72.70324000000002,73.72399999999998,75.524,74.824,69.4524,76.5724,69.38124,60.624,53.95224,59.23124,69.1724,71.86924,61.624,54.22624,65.82712461952282,59.0424,51.82005125976842,70.21924,56.85224,47.74524,68.15324,62.5424,61.91083944013422,73.22399999999998,73.99524,69.73324000000001,52.55924,42.64224,69.77724,64.56824,47.69624,74.92399999999998,57.80424,66.524,69.77824,66.11824,65.6194933298124,63.21724,58.53924,64.81624000000001,43.624,57.93924000000001,58.33424,56.83724,74.5824,67.624,74.22399999999998,64.34724,46.23824000000001,45.16824,74.8824,67.54824,60.201866780211716,60.52124,71.25524,54.45324,66.52124,65.13324,63.15324,67.524,71.524,74.68424,65.92399999999999,57.5524,25.45324,63.84424,,60.64324000000001,68.89124,55.92624,,34.97724,74.124,,68.324,69.624,61.93066668054413,58.59324,44.8524,58.52724,59.56985399050861,74.3624,66.24524,,69.23124,68.44724000000001,48.504278523752426,54.70524,64.48324000000001,56.18824,76.0624,75.1524,69.824,58.62524000000001,47.71224,66.66824,51.1824,54.33124,68.54524,65.27224,69.124,62.62824000000001,59.04324,42.06424000000001,62.7824,71.72924,74.324,72.42399999999998,69.56624000000001,63.15124,63.53824,67.66524,66.96824000000001,72.2524,63.86400563480152,57.53824,40.81624,51.76724
4,1995,52.07524,69.33724000000001,66.66424,40.3924,69.84524,69.1324,65.36624,71.14824,7524.0,73.42399999999998,60.50924000000001,68.00524,72.59824,61.60324,70.0424,62.924,73.4724,67.0624,52.65424,,56.42924,56.05524000000001,68.2324,54.78124,63.81124000000001,72.68124,67.3924,48.01324,47.21224,66.12524,52.90824,51.90324,75.0824,,44.85624,46.18224,71.60624,68.14324,65.42424,57.18424,47.66324,50.92324,74.16324,48.42724000000001,67.8624,73.48924,75.26124,69.6724,72.7224,55.4324,,66.96124,67.64443665224961,66.84417096743542,68.4824,64.40824,62.85324,48.8324,50.18924000000001,61.324,47.82624000000001,61.24729654889353,7424.0,64.45524,72.7924,73.824,68.33324,59.71524,52.22324,66.52224,73.324,56.53124,7524.0,63.4124,67.07824000000001,61.66224,51.24724000000001,48.60224,60.99224,54.62224000000001,49.165188051295615,66.55424000000001,7624.0,65.2624,75.9624,54.503156745609246,59.79924000000001,63.49724000000001,67.90324,65.65524,72.84524,,75.524,7524.0,69.39824,76.3924,69.55524,59.724,53.00724,59.59224,69.5724,71.97224,61.424,54.74924,66.22961547524382,60.0424,52.24100294732322,70.63624,55.59324,48.85624,68.34724,63.2624,62.161266552120615,7324.0,74.22524,69.89924,53.37624,42.82724,69.96824000000001,65.324,47.85424,74.824,57.95924,66.5624,70.23124,66.2324,66.03577315135692,63.00124,58.77424,65.16824,44.22924,58.28924,57.85424,57.62124,74.5924,68.42399999999999,74.124,64.89324,46.96924,45.25724,74.824,68.0524,60.04307411415112,60.77724,71.52224,54.8324,66.70424,65.61324,63.25324000000001,67.624,71.824,74.80624,65.72399999999999,58.2724,28.095240000000004,64.31624000000001,,60.80124,69.24124,55.86424,,34.976240000000004,74.124,,68.42399999999999,70.324,61.82805424904893,59.13424000000001,45.65524,58.15124,60.009943926866534,74.4124,66.06324000000001,,69.25924,68.47824,48.56622547106642,54.89624,64.51524,55.14324000000001,76.1624,75.324,69.95924000000001,58.64724,47.73224,66.56524,52.50124,53.9824,68.6324,65.21424,69.524,63.17924,59.1824,42.17624,61.8224,72.01824,74.324,72.524,69.79624,63.2124,63.95324,67.80424000000001,67.22124000000001,72.57924,64.07721361693993,57.81324,40.7924,49.81924
5,1996,52.52424,69.62424,67.05824,40.92724000000001,70.07324,69.34124,65.85124,71.16724,75.22399999999998,73.72399999999998,61.13424000000001,68.16824,72.83924,62.37224000000001,70.24124,63.124,73.8824,66.63224,52.70424000000001,,57.21624,56.58324,69.12124,53.02124,64.31924000000001,72.89724,67.3924,48.08424,47.86724,66.56924000000001,53.38724000000001,51.73224,75.4524,,44.44524000000001,46.27424,72.02624,68.41324,65.82324,57.43424,47.59524,50.45324,74.37424,47.924,68.1824,73.74124,75.40324,70.324,73.0524,55.41524,,67.1124,67.9073280269496,67.07960814773624,68.79424,64.87624,63.21824,49.26724,51.0124,64.124,48.34824,61.84175268194925,74.324,64.6124,73.0324,74.124,68.59824,59.59624,52.56924,66.7724,73.624,56.43224,75.124,63.2624,67.23924,62.15624,51.3524,48.94724,61.21824,54.91324,49.447974566517416,66.94224,76.72399999999998,66.0824,76.4924,54.74212895906352,60.2224,63.77924,68.26824,66.04224,73.124,,76.324,75.42399999999998,69.37624,77.0124,69.72324,58.524,52.124,59.9324,70.0824,72.06824,62.324,55.2924,66.63361865915071,63.0424,52.67888886280213,71.06424,53.98424,49.924,68.50224,64.6324,62.45558047138112,73.324,74.45124,70.08424000000001,54.20724000000001,43.03724,70.15724,66.05224,48.01624,74.824,58.09724,66.4424,70.65524,66.33624,66.38717628409752,62.85324,59.0324,65.51324,44.8624,58.64224,57.15224,58.38924,74.6624,69.92399999999999,74.324,65.35824000000001,47.72324,45.37124,75.3724,68.54124,59.966103934483726,61.02624,71.78224,55.20524,66.90524,66.09424,63.34824,68.124,71.72399999999998,74.92224,65.324,59.7624,31.647240000000004,64.76524,75.92399999999998,60.95124000000001,69.59524,55.81324,,35.22400000000001,74.42399999999998,,68.824,70.824,61.78660377028483,59.6424,46.56224,57.56424000000001,60.442913731323614,74.5424,65.96224000000001,,69.27724,68.46324,48.63953331031022,55.10424,64.52824,53.86524,76.5224,75.9424,70.10624,58.79124,47.89324000000001,66.52324,53.82824,53.59424,68.69924,65.14424,69.72399999999999,63.77524,59.36324000000001,42.47424,61.424,72.30124,74.624,73.124,70.04524,63.32324000000001,64.35924,67.94424000000001,67.47424000000001,72.91924,64.38559030530654,58.08424,40.91724,47.89324000000001
6,1997,52.93124,69.98224,67.4524,41.56724000000001,70.324,69.5524,66.39324,71.18724,75.72399999999998,74.124,61.83824,68.36524,73.07624,63.11324000000001,70.43324,62.924,74.22399999999998,66.25624,52.75524,,58.02524,57.11324000000001,70.00824,51.29924000000001,64.83224,73.10924,6724.0,48.22224,48.51424,66.99824,53.95824,51.5324,75.72399999999998,,44.04124,46.35824,72.44124000000002,68.7524,66.23524,57.61924000000001,47.62324,50.0524,74.57924,47.37724,68.324,74.00124,75.54224,70.4224,73.5524,55.39924,7424.0,67.24124,68.18823961182382,67.36526500582282,69.09724,65.30724000000001,63.51924,49.68324000000001,51.79424,64.22399999999999,48.8824,62.67324076629133,74.72399999999998,64.7624,73.4224,74.524,68.86124000000001,59.44424,52.9724,67.06424,7424.0,56.31424000000001,75.624,63.1224,67.40724,62.67224,51.36324000000001,49.30624,61.44524000000001,55.18924000000001,49.75276415340582,67.29924,77.22399999999998,66.42399999999999,76.324,54.99306131670242,60.63224,64.02924,68.50924,66.37924,73.42399999999998,,7624.0,75.824,69.38424,77.1924,69.88624,5924.0,51.29924000000001,60.24924,70.5624,72.15624,62.624,55.84124,67.03095925566824,63.9224,53.128735876166715,71.49924,52.15724,50.74624,68.62824,65.4724,62.78255454043192,74.124,74.67324,70.27524,55.03424,43.25524,70.34424,66.8224,48.20524,75.22399999999998,58.21324,66.624,71.04324,66.43624,66.69982699379743,62.77924,59.29524,65.85924,45.46224,58.99624,56.25224,59.13924,75.1724,69.324,74.72399999999998,65.77824,48.48824000000001,45.50524,75.4524,69.01824,59.70969722691953,61.27124,72.02724,55.57824,67.12924,66.57424,63.4424,68.524,71.92399999999998,75.03224,65.22399999999999,60.9824,35.33724,65.19224,76.42399999999998,61.09624,69.94624,55.79824,6824.0,35.61424,74.824,,68.92399999999999,7124.0,61.61239689278382,60.13324,47.45424000000001,56.78124,60.86876713550983,75.1724,66.03124,67.4924,69.30724000000001,68.41424,48.732807684452325,55.33124,64.52724,52.42724000000001,76.72399999999998,76.2624,70.2424,59.01124,48.19224000000001,66.53824,55.08624,53.22924,68.75124,65.07724,7024.0,64.40724,59.56524,42.95424000000001,61.9124,72.57924,74.6524,73.624,70.30524,63.45624,64.75424,68.08324,67.72424000000001,73.26524,64.70366542905253,58.34724,41.18624000000001,46.08224000000001
7,1998,53.31224,70.3924,67.81924000000001,42.28524,70.52524,69.75524,66.94924,71.21424,75.92399999999998,74.524,62.53824,68.60324,73.30724000000002,63.80524000000001,70.61724,62.724,74.42399999999998,65.9524,52.85624,,58.85624,57.64524,70.76924,49.76624,65.33724000000001,73.31724,67.524,48.43424,49.07424,67.40324,54.61624000000001,51.31624,75.9624,,43.66224,46.43224,72.85124,69.14924,66.63324,57.74824,47.7924,49.74224,74.77424,46.88424000000001,68.624,74.25624,75.67824,71.124,73.72399999999998,55.39724,,67.3724,68.49745824268773,67.69779836210722,69.39424,65.6824,63.7924,50.07624000000001,52.53324,63.724,49.42224,63.00509738793442,75.124,64.90524,73.5224,74.824,69.13624,59.26924,53.42224,67.38424,74.524,56.22124,75.42399999999998,63.4424,67.58624,63.20424000000001,51.32224,49.67624,61.6724,55.4524,50.08606281276462,67.61824,77.42399999999998,66.1524,77.72399999999998,55.26169483077093,61.03624,64.24524,68.71824000000001,66.64924,73.42399999999998,,76.124,7624.0,69.42124,77.1624,70.04824,5924.0,50.66624,60.54924000000001,71.0924,72.23724,63.124,56.424,67.41361186921442,63.524,53.58753787850422,71.93824000000002,50.25824,51.32124,68.73424,6624.0,63.08583500044524,73.72399999999998,74.89124,70.46424,55.83824,43.47824,70.52824,67.59724,48.44924,74.92399999999998,58.30624,66.92399999999999,71.38824,66.52924,66.97630855400773,62.78324,59.56124000000001,66.21624,46.01424,59.35224,55.21624,59.87224000000001,75.22399999999998,71.42399999999998,75.524,66.18124,49.25224,45.66224,75.524,69.47924,59.36428566013773,61.51224000000001,72.25424,55.9524,67.3824,67.04924,63.52924,68.92399999999999,72.22399999999998,75.13824,66.124,61.3424,38.56324,65.59724,77.124,61.23624,70.28724,55.84524,,36.17924,75.324,,68.624,71.124,61.386956091682606,60.62924,48.23724,55.84424,61.286444519279115,75.324,66.31724,,69.36624,68.34924000000001,48.85811689846632,55.5824,64.52324,50.92724000000001,76.92399999999998,76.324,70.36424,59.27324,48.62524000000001,66.60824000000001,56.22624,52.93624000000001,68.78724,65.02424,70.124,65.06324000000001,59.76124,43.60324,62.7424,72.84924000000002,74.824,73.824,70.56524,63.5824,65.13924,68.22124000000001,67.96524000000001,73.61124000000002,64.98049302267262,58.60224,41.58924,44.47624
8,1999,53.67824,70.82924,68.1624,43.05924,70.74724,69.95524,67.49124,71.25124,76.22399999999998,74.92399999999998,63.19524000000001,68.87924,73.52924,64.43724,70.79224,62.224,74.42399999999998,65.7324,53.0324,,59.70524,58.17824,71.35524000000002,48.54624,65.82324,73.52224,67.92399999999999,48.72924,49.51924,67.78224,55.36124,51.10824,76.22399999999998,,43.32924000000001,46.49724000000001,73.25524,69.60224000000001,67.00324,57.83324,48.11424,49.55924,74.95924000000002,46.45524,68.9224,74.50124,75.8124,71.42399999999998,7424.0,55.4224,,67.50824,68.86130602456893,68.07135405105753,69.68524000000001,65.99124,64.05224,50.44524000000001,53.21924,64.624,49.98124,62.81459417559392,75.524,65.04524,73.7424,7524.0,69.42924000000001,59.09424,53.91624,67.71624,74.824,56.18224,75.524,63.9424,67.77624,63.74324,51.26124,50.04924000000001,61.88924,55.69724,50.45653705673982,67.89824,77.72399999999998,66.3624,77.42399999999998,55.55581096394522,61.4324,64.42824,68.94424000000001,66.84824,73.42399999999998,,7724.0,76.42399999999998,69.49124,77.42399999999998,70.20924000000001,60.324,50.24724000000001,60.82724,71.7124,72.31324000000002,64.92399999999999,56.96324,67.77610525116343,64.4624,54.05546477336721,72.37824,48.40724,51.62824000000001,68.82624,66.42399999999999,63.36394502257033,74.624,75.10624,70.64924,56.60124,43.72624,70.70824,68.37924,48.76924,75.324,58.38324,67.42399999999999,71.68924,66.61824,67.24357658923222,62.86624000000001,59.82624000000001,66.58924,46.50924000000001,59.70824,54.13324,60.58424,75.324,70.92399999999998,75.524,66.5824,50.00624000000001,45.8524,75.624,69.92624,59.17617487653453,61.74924,72.4624,56.3224,67.65424,67.51424,63.61824,68.824,72.524,75.23924,6724.0,59.9924,41.08924,65.97924,77.524,61.37824000000001,70.61324,55.97824,,36.87424,75.624,,6924.0,71.42399999999998,61.269130715547114,61.12624,48.87224000000001,54.80424,61.692381116492435,75.42399999999998,66.81624000000001,,69.46324,68.28524,49.029861192086535,55.85424,64.52624,49.45424000000001,77.124,76.824,70.48124,59.56924,49.19224000000001,66.73824,57.23624,52.74524,68.80824,64.99424,70.524,65.73124,59.9424,44.40424,62.9524,73.11424,7524.0,73.92399999999998,70.8224,63.68624000000001,65.51324,68.35724,68.19524,73.95324000000002,65.23525804648372,58.8524,42.12724,43.15124
9,2000,54.04124,71.27324,68.4824,43.85624,70.96924,70.14824,6824.0,71.30524,76.624,75.22399999999998,63.78824,69.18624,73.73924,65.00724,70.9624,63.424,74.624,65.61424,53.29824,75.324,60.56624,58.71224,71.7524,47.81924,66.28124,73.72124000000002,68.22399999999999,49.12324,49.84524,68.1424,56.18624000000001,50.93124,76.72399999999998,,43.06924,46.56124000000001,73.65424,70.08924,67.33724000000001,57.89524,48.59824,49.54524,75.1324,46.13524,69.1224,74.73724,75.93924,71.72399999999998,74.324,55.48424,,67.66324,69.25490845706942,68.4712161701624,69.97124000000001,66.24124,64.31924000000001,50.79424,53.84624,65.124,50.58424,62.74727534502022,75.92399999999998,65.1824,74.124,75.324,69.7524,58.95924,54.43924000000001,68.04924,7524.0,56.23124,75.42399999999998,64.324,67.97624,64.27124,51.21924,50.40324,62.09924,55.93824,50.87675473415724,68.14224,7824.0,67.124,77.824,55.86950999911222,61.81624,64.58224,69.20524,66.95124,7424.0,,77.124,76.92399999999998,69.624,77.7224,70.3724,60.224,50.09224,61.07824,72.2524,72.38424,64.92399999999999,57.52924,68.11501275298143,64.92399999999999,54.53650506003125,72.8224,46.74224,51.75424,68.91424,66.824,63.65979965399534,74.824,75.31624000000002,70.8324,57.30524000000001,44.03724,70.87924,69.16824,49.19424,76.22399999999998,58.45324,68.22399999999999,71.94924,66.70524,67.48562615207662,63.01124,60.08924,66.98224,46.95124000000001,60.05824000000001,53.14924,61.27224,75.524,71.72399999999998,76.124,66.98124,50.73624,46.08424,7624.0,70.3624,59.08365271483533,61.9824,72.64124,56.69124,67.94224,67.96524000000001,63.70724000000001,69.72399999999999,72.92399999999998,75.33624,67.72399999999999,5924.0,42.88724000000001,66.3424,77.42399999999998,61.53424,70.91524,56.21824,,37.67624,7624.0,,69.124,71.92399999999998,61.22239929143353,61.62624,49.34924,53.73224,62.08650927109413,75.624,67.48224,,69.60524000000001,68.24724,49.267578189047725,56.15424,64.55624,48.12724,77.42399999999998,76.92399999999998,70.62924,59.90724,49.89924,66.93724,58.14624,52.67624,68.81824,64.99424,70.624,66.39324,60.09124,45.33924,62.4424,73.37324,75.42399999999998,74.124,71.06524,63.77224,65.87524,68.49124,68.41224,73.42399999999998,65.52113665648362,59.09124,42.82424,42.16724
