,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,25.60000038146973,,,,,,,,57.90000152587893,,,,,,,,,,,,,,,,9.199999809265146,,,,18.79999923706053,,,,,,,,,,,,28.399999618530327,,,,,,,,,,,23.399999618530327,,,,,9.699999809265146,37.09999847412113,,,,,35.79999923706053,,37.53,,,,,,,,,,,,1.100000023841863,,,,,,65.09999847412114,,,66.59999847412114,,21.700000762939528,,,,,5.099999904632573,,,,,,,,,,,,,2530.0,,,,,,,,,,,,,,,,,,,,,52.90000152587893,,26.10000038146973,,,,18.79999923706053,,,,,,,,,,33.29999923706053,,,,,,,,,,,,,,,,,,,,,40.59999847412113,,,,,,,,,10.699999809265133,15.53,,,3530.0,,,,,20.200000762939528,,36.29999923706053,,,,,32.59999847412113,7.4000000953674325,,,,,,,,,,
1,1992,,,,,,,,,36.09999847412113,,,,,,55.299999237060526,,56.299999237060526,,,,,,,,,,,,,,,,14.30000019073493,,,,49.53,,,,,,,,,,,,25.10000038146973,,,,,,,,,,,19.899999618530327,,,,,,31.60000038146973,,,,,36.59999847412113,,37.70000076293953,,,,,,,,,,,20.899999618530327,8.100000381469734,,,,,,61.799999237060526,,,57.59999847412113,21.399999618530327,19.79999923706053,,,,,4.4000000953674325,,,,,,,,,,,,,5.9000000953674325,,,,,,,,,,,,,,,,,,,,,45.40000152587893,,34.29999923706053,,,,23.200000762939528,,,,,,,,,33.29999923706053,24.200000762939528,,,9.100000381469732,,,,,,,,,,,,,,,,,,34.70000076293953,,,,,,,,,13.53,15.199999809265131,,,,,,,,17.53,,40.59999847412113,,,,,39.59999847412113,12.600000381469732,,,,,,,,,,
2,1993,,,,,,,,,40.53,,,,,,56.40000152587893,,45.59999847412113,30.799999237060533,,,,,,,,,,,,,,,1830.0,,,,45.53,,,,,,,,,,,17.899999618530327,23.299999237060533,,,,,,,,,,,33.70000076293953,,,,,3430.0,3130.0,,,,,36.53,,41.40000152587893,,,,,,,,,,,32.79999923706053,930.0,,,,,,61.90000152587893,,,54.90000152587893,26.899999618530327,2030.0,,,,,3.0999999046325732,,,,,,,,,,,,,22.700000762939528,,,,,,,,,,,,,,,,,,,,,44.40000152587893,,36.09999847412113,,,,25.399999618530327,,,,,,,,,36.40000152587893,30.799999237060533,,,14.80000019073493,,,,,,,,,,,,,,,,,,37.79999923706053,,,,,,,,,17.70000076293953,17.10000038146973,,,,,,,,19.899999618530327,,42.79999923706053,,,,,47.299999237060526,13.30000019073493,,,,,,,,,,
3,1994,,,,,,,,16.200000762939528,39.90000152587893,18.399999618530327,,,,,51.20000076293953,,53.40000152587893,4630.0,,,,,,,,,,,,,,,19.100000381469727,,,,50.59999847412113,,,,,,,,,,,19.53,31.899999618530327,,,,,,,,,,,43.299999237060526,,,,,,36.59999847412113,,,,,40.79999923706053,,41.29999923706053,,,,,,,,,,,43.59999847412113,12.89999961853033,,,,,,66.80000305175783,,,58.90000152587893,23.700000762939528,21.399999618530327,,,,,6.4000000953674325,,,,,,,,,,,,,33.20000076293953,,,,,,,,,,,,,,,,,,,,,42.79999923706053,,34.29999923706053,,,,28.10000038146973,,,,,,,,,36.79999923706053,41.20000076293953,,,20.200000762939528,,,,,,,,,,,40.79999923706053,,,,,,,46.299999237060526,,,,,,,,,29.10000038146973,22.799999237060533,,,,,,,,18.79999923706053,,42.40000152587893,,,,,51.20000076293953,13.89999961853033,,,,,,,,,,
4,1995,,,,,,,,,35.40000152587893,27.899999618530327,,,,,61.70000076293953,,61.40000152587893,33.40000152587893,,,,,,,,,,,,,,,17.899999618530327,,,,53.20000076293953,,,,,,,,,,,27.60000038146973,31.899999618530327,,,,,,,,,,,39.90000152587893,,,,,34.20000076293953,38.79999923706053,,,,,45.59999847412113,,4230.0,,,,,,,,,,,5230.0,14.600000381469732,,,,,,65.80000305175783,,8.100000381469734,61.90000152587893,20.600000381469727,23.53,,,,,4.9000000953674325,,,,,,,,,,,,,24.53,,,,,,,,,,,1.100000023841863,,,,,,,,,,48.40000152587893,,27.10000038146973,,,,26.399999618530327,,,,,,,,,36.20000076293953,46.20000076293953,,,27.10000038146973,,,,,,,,,,,51.53,,,,,,,48.90000152587893,,,,,,,,,31.399999618530327,30.60000038146973,,,,,,,,16.200000762939528,,31.60000038146973,,,,,49.53,1130.0,,,,,,,,,,
5,1996,,,,,,,,,31.299999237060533,22.399999618530327,,,,,44.20000076293953,,58.90000152587893,37.20000076293953,,,,,,42.79999923706053,,,,,,,,,17.39999961853033,,,,,,,,,,,,,,,27.399999618530327,28.10000038146973,,,,,,,,6.53,,,6230.0,,,,,31.53,36.09999847412113,44.20000076293953,,,,43.799999237060526,,4730.0,,,,,,,,,,,5730.0,22.799999237060533,,,,,,63.90000152587893,,6.800000190734862,63.40000152587893,18.29999923706053,23.10000038146973,,,,,4.199999809265143,,,,,,,,,,,,,30.10000038146973,,,,,,,,,,,1.7000000476837234,,,,,,,,,,49.70000076293953,,22.299999237060533,,,,15.89999961853033,,,,,,,,,35.20000076293953,48.90000152587893,,,30.299999237060533,,,,,,,,,,,51.70000076293953,,,,,,,45.799999237060526,,,,,,,,,33.59999847412113,20.700000762939528,,,,,,,,21.799999237060533,,39.09999847412113,,,,,45.799999237060526,10.30000019073493,,,,,,,,,,
6,1997,,,,,,,,40.20000076293953,33.90000152587893,27.53,,,,,49.40000152587893,,59.40000152587893,39.90000152587893,,,,,,,,,,,,,,,17.29999923706053,,,,,,,,,,,,,,,28.899999618530327,2630.0,,39.29999923706053,,,,,,,,,46.70000076293953,,,,,30.200000762939528,37.59999847412113,,,,,46.09999847412113,,45.59999847412113,,,,,,,,,,,50.40000152587893,18.899999618530327,,,,,,62.09999847412113,,6.4000000953674325,65.53,17.10000038146973,28.399999618530327,,,,,3.53,,,,,,,,,,,,,32.70000076293953,,,,,,,,,,,0.8999999761581422,,,,,,,,,,4530.0,,20.79999923706053,,,,14.100000381469732,,,,,,,,,33.53,51.59999847412113,,,35.79999923706053,,,,,,,,,,,48.09999847412113,,,,,,,45.70000076293953,,,,,,,,,36.09999847412113,25.200000762939528,,,,,,,,19.600000381469727,,36.79999923706053,,,,,44.70000076293953,9.399999618530273,,,,,,,,,,
7,1998,,,,,,,,,36.09999847412113,3030.0,,,,,46.59999847412113,,59.53,43.299999237060526,,,,,,,,,,,,,,,14.53,,,,,,,,,,,,,,,29.10000038146973,23.700000762939528,,,,,,,,,,,48.299999237060526,,,,,30.10000038146973,41.29999923706053,,,,,48.90000152587893,,44.40000152587893,,,,,,,,,,,50.40000152587893,12.89999961853033,,,,,,,,7.4000000953674325,59.59999847412113,1830.0,25.299999237060533,,,,,1.7999999523162833,,,,,,,,,,,,,3830.0,,,,,,,,,,,0.8999999761581422,,,,,,,,,,45.09999847412113,,2130.0,,,,9.53,,,,,,,,,32.53,43.20000076293953,,,39.09999847412113,,,,,,,,,,,48.40000152587893,,,,,,,44.09999847412113,,,,,,,,,36.29999923706053,35.59999847412113,,,,,,,,18.200000762939528,,36.40000152587893,,,,,37.90000152587893,8.800000190734863,,,,,,,,,,
8,1999,,,,,,,,,35.09999847412113,27.799999237060533,,,,,34.53,,60.09999847412113,42.59999847412113,,,,,,,,,,,,,,,12.39999961853033,,,,,,,,,,,,,,,31.60000038146973,20.79999923706053,,,,,,,,,,,50.53,,,,,31.53,37.59999847412113,,,,,4930.0,,48.59999847412113,,,,,,,,,,,50.40000152587893,6.4000000953674325,,,,,,5530.0,,11.600000381469732,61.20000076293953,19.399999618530327,2730.0,,,,,4.699999809265143,,,,,,,,,,,,,38.59999847412113,,,,,,,,,,,2.0999999046325732,,,,,,,,,,4130.0,,21.200000762939528,,,,7.800000190734862,,,,,,,,,31.399999618530327,39.40000152587893,,,44.299999237060526,,,,,,,,,,,44.53,,,,,,,40.20000076293953,,,,,,,,,33.29999923706053,39.70000076293953,,,,,,,,1930.0,,24.299999237060533,,,,,34.40000152587893,7.4000000953674325,,,,,,,,,,
9,2000,,,,,,,,,31.799999237060533,28.10000038146973,,,,,43.40000152587893,,54.09999847412113,,,,,,,,,,5730.0,,,,,,11.80000019073493,,,,,,,,,,,,,,15.199999809265131,4630.0,20.899999618530327,,,,,,,,,,,47.09999847412113,,,,,30.10000038146973,38.40000152587893,,,,,4930.0,,4830.0,,,,,,,,,,,51.09999847412113,830.0,,,,,,46.20000076293953,,13.100000381469732,61.20000076293953,2030.0,30.700000762939528,,,,,3.0999999046325732,,,,,58.59999847412113,,,,,,51.40000152587893,,26.399999618530327,,,,,,,,60.09999847412113,,,0.4000000059604643,,,,,,,,,,,,21.200000762939528,,,,6.800000190734862,,,,,,,,,34.09999847412113,43.20000076293953,,49.799999237060526,42.70000076293953,,,,,,,,,,,53.299999237060526,62.799999237060526,,,,,,35.29999923706053,,,,,,,,,29.299999237060533,2830.0,,,,,,,,16.29999923706053,,17.53,,,,,32.59999847412113,6.699999809265143,,,,,,,,,,
10,2001,,,,,,,,,26.200000762939528,23.700000762939528,,,29.399999618530327,,35.59999847412113,,49.59999847412113,,,,,,,,,,62.299999237060526,,,,,,1030.0,,,,,,51.40000152587893,,,,,,,,24.399999618530327,50.40000152587893,18.700000762939528,,,,,,,,,,,5230.0,,,,,2730.0,36.90000152587893,,,,,47.53,,44.90000152587893,,,,,,,,,,,48.09999847412113,10.699999809265133,,,,,,40.20000076293953,,11.89999961853033,61.20000076293953,24.399999618530327,32.09999847412113,,,,,2.900000095367433,,,,,55.70000076293953,,,,,,59.53,,32.79999923706053,,,,,,,,50.53,,,0.6999999880790713,,,,,,,,,,,,18.100000381469727,,,,6.599999904632572,,,,,,,,,39.90000152587893,37.40000152587893,,48.299999237060526,36.29999923706053,,,,,,,,,,,52.09999847412113,62.40000152587893,,,,29.799999237060533,,30.53,,,,,,,,,24.200000762939528,20.100000381469727,,,,,,,,20.29999923706053,,17.79999923706053,,,,,30.299999237060533,6.4000000953674325,,,,,,,,,,
11,2002,,,,,,,,,25.53,16.39999961853033,,,,,,,47.299999237060526,,,,,,,,,,65.80000305175783,,,,,,9.899999618530273,,,,,,37.40000152587893,,,,,,56.40000152587893,,16.700000762939528,50.20000076293953,17.29999923706053,,,,,,,,,,,59.799999237060526,,,,,25.799999237060533,3130.0,25.299999237060533,,,,45.09999847412113,,45.299999237060526,,,,,,,,,,,4730.0,930.0,,,,,,36.90000152587893,,14.100000381469732,58.799999237060526,,36.20000076293953,,,,,3.0999999046325732,,,,,47.799999237060526,,,,,,53.799999237060526,,28.60000038146973,,,,,,,,53.40000152587893,,,130.0,,,,,,,,,,18.53,,15.199999809265131,,,,8.199999809265142,,,,,,,,,45.09999847412113,33.09999847412113,,52.53,3730.0,,,,,,,,,,,58.59999847412113,58.299999237060526,,,,27.799999237060533,,28.299999237060533,,,,,,,,,23.10000038146973,19.200000762939528,,,,,,,,,,26.10000038146973,,,,,25.53,8.899999618530273,,,,,,,,,,
12,2003,,,,,,,,,24.799999237060533,2530.0,,,,,,,43.70000076293953,,,,,,,,,,65.40000152587892,,,,,,10.89999961853033,,,,,,38.40000152587893,,,,,,57.90000152587893,,20.53,47.299999237060526,24.10000038146973,,,,,,,,,,,5030.0,,,,,26.299999237060533,37.09999847412113,,,,,47.70000076293953,,47.799999237060526,,,,,,,,,,,42.29999923706053,7.53,,,,,,38.29999923706053,,17.60000038146973,57.799999237060526,,38.90000152587893,,,,,0.6999999880790713,,,,,42.53,,,,,,47.09999847412113,,31.60000038146973,,,,,,,,49.90000152587893,,,0.8999999761581422,,,,,,,,,,27.10000038146973,,13.53,,,,730.0,,,,,,,,,48.59999847412113,32.90000152587893,,60.53,35.70000076293953,,,,,,,,,,,60.299999237060526,54.299999237060526,,,,26.53,,28.799999237060533,,,,,,,,,19.100000381469727,21.200000762939528,,,,,,,,,,21.399999618530327,,,,,24.899999618530327,12.53,,,,,,,,,,
13,2004,,,,,,28.299999237060533,,,23.200000762939528,28.799999237060533,,,49.799999237060526,,,,48.799999237060526,,,,,,,,,,5830.0,,,,,,1030.0,,,,,,3730.0,,,,,,5030.0,,26.53,49.20000076293953,20.79999923706053,,,,,,,,,,,53.20000076293953,,,,,2430.0,39.40000152587893,,,,,49.799999237060526,,44.799999237060526,,,,,,,,,,,4730.0,7.300000190734862,,,,,,41.20000076293953,,25.10000038146973,44.40000152587893,,40.20000076293953,,,,,1.399999976158143,,,,,43.70000076293953,,,,,,50.299999237060526,,22.200000762939528,,,,,,,,55.40000152587893,,,0.8999999761581422,,,,,,,,,,34.90000152587893,,11.80000019073493,,,,10.60000038146973,,,,,,,,,46.90000152587893,43.70000076293953,,60.90000152587893,36.59999847412113,,,,,,,,,,,60.799999237060526,53.299999237060526,,,,26.399999618530327,,27.899999618530327,,,,,,,,,20.700000762939528,30.899999618530327,,,,,,,,,,36.40000152587893,,,,,24.10000038146973,13.699999809265131,,,,,,,,,,
14,2005,,,,,,28.299999237060533,,,20.600000381469727,25.899999618530327,,,,,,,50.59999847412113,,,,,,,,,,58.70000076293953,,,,,,9.699999809265146,,,,,,34.59999847412113,,,,,,56.299999237060526,,19.29999923706053,52.90000152587893,2430.0,,,,,,,,,,,49.53,,,,51.20000076293953,26.200000762939528,39.53,,,,,52.53,,42.09999847412113,,,,,,,,,,,47.799999237060526,930.0,,3830.0,,,,41.20000076293953,,26.299999237060533,45.90000152587893,,40.29999923706053,,,,,130.0,,,,,48.09999847412113,,,,,,51.40000152587893,,33.79999923706053,,,,,,,,54.20000076293953,,,1.8999999761581432,,,,,,,,,,42.70000076293953,,11.30000019073493,,,,1030.0,,,,,,,,,51.299999237060526,47.53,,5930.0,37.20000076293953,,,,,,,,,,,68.69999694824223,48.40000152587893,,,,23.10000038146973,3830.0,20.53,,,,,,,,,,36.70000076293953,,,,,,,,,,36.79999923706053,,,,,25.10000038146973,12.600000381469732,,,,,,,,,,
15,2006,,,,,,,,,20.399999618530327,30.10000038146973,,,,,,,49.70000076293953,,,,,,85.09999847412114,59.20000076293953,,,5530.0,,,,,,8.699999809265142,,,,,,,,,,,,5930.0,,1730.0,53.90000152587893,20.700000762939528,,,,,,,,,,,51.20000076293953,,,,,26.60000038146973,42.09999847412113,,,,,55.59999847412113,,46.20000076293953,,,,,,,,,,,47.20000076293953,6.9000000953674325,,,,,,3830.0,,29.10000038146973,46.70000076293953,,40.90000152587893,,,,,1.200000047683723,,,,,37.29999923706053,,,,,,44.40000152587893,,34.40000152587893,,83.59999847412114,,,,,,46.90000152587893,,,1.8999999761581432,,,,,,,,,,44.90000152587893,,830.0,,,,16.39999961853033,,,,,,,,,4930.0,51.299999237060526,,57.53,40.90000152587893,,,,,,,,,,,73.80000305175781,49.70000076293953,,,,20.29999923706053,,18.399999618530327,,,,,,,,,,34.59999847412113,,,,,,,,,,32.40000152587893,,,,,26.60000038146973,10.699999809265133,,,,,,,,,,
