,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,297542033.0,51989133.0,555899433.0,276217533.0,935733.0,498980733.0,52675033.0,740833.0,183706933.0,64157033.0,121455833.0,4099133.0,8029633.0,2234690633.0,3040533.0,113725133.0,87740433.0,4087433.0,119745233.0,,11580633.0,141905233.0,51146133.0,31221033.0,2623361233.0,4376133.0,84105033.0,210874833.0,139349133.0,7974433.0,206881233.0,286583133.0,283739733.0,,65285133.0,145746633.0,192604533.0,16018445433.0,616932933.0,9797833.0,829607633.0,52841433.0,54334033.0,280794033.0,42823433.0,119219333.0,9589233.0,106282333.0,42800133.0,13575133.0,,138531133.0,26369817233.0,24455052533.0,195029533.0,1150462533.0,103469433.0,7586433.0,74557433.0,16877733.0,1148238633.0,5087901133.0,,13638733.0,47216733.0,562890733.0,3502233.0,20243733.0,21955833.0,58096933.0,623702833.0,321870633.0,93420433.0,,1853533.0,208943933.0,140028633.0,24237433.0,12920133.0,153901033.0,8356828233.0,112453433.0,57925033.0,102138033.0,3124833.0,20247625833.0,16148934633.0,3246941933.0,1258863833.0,397213633.0,45998033.0,,74417233.0,444579833.0,41355833.0,1070974133.0,76822833.0,254579133.0,585808633.0,1464033.0,513080433.0,33178133.0,83195333.0,95304933.0,7707558833.0,27991633.0,11593608533.0,44870933.0,34829133.0,46030833.0,90319933.0,40888333.0,75611330333.0,3310433.0,4609333.0,25191233.0,268401033.0,220927233.0,335168833.0,5287033.0,199419633.0,4162633.0,45503633.0,15028633.0,1648605633.0,2092533.0,4883544133.0,50761333.0,44736533.0,486918633.0,321407133.0,789308433.0,31692533.0,399342833.0,133212933.0,2697033.0,39616333.0,94345733.0,191055633.0,2157082133.0,39399233.0,41012833.0,335300633.0,2319807433.0,43722733.0,86460433.0,87487433.0,419025133.0,1265745333.0,463829333.0,96682233.0,6585233.0,263332533.0,1665961833.0,176066733.0,3081733.0,,2732333.0,352122333.0,180366433.0,1203233.0,88660833.0,32315033.0,,64917533.0,19801233.0,467203333.0,6994833.0,142376733.0,686933533.0,21685147633.0,366355733.0,267962633.0,,2538033.0,1985233.0,11792126233.0,466604933.0,6864433.0,21306533.0,76068833.0,56671433.0,291016933.0,117771033.0,602809033.0,830841833.0,15015033.0,90092433.0,1800233.0,19997633.0,149643733.0,968527233.0,75502733.0,431976233.0,532066933.0,27956533.0,533986133.0,2672784733.0,39740733.0,423228333.0,3153533.0,375706333.0,1224143833.0,1456433.0,85560211333.0,318646333.0,197817433.0,246537933.0
1,1992,318693533.0,51916633.0,560531133.0,285621233.0,948233.0,500810933.0,51658033.0,776933.0,185180833.0,65511433.0,123540633.0,4157733.0,8128033.0,2261134933.0,3015733.0,113100733.0,88017933.0,4143733.0,123884233.0,,11450133.0,143784433.0,48665733.0,31671633.0,2623327033.0,4460333.0,81250633.0,216721933.0,143923833.0,8176633.0,217459133.0,295248733.0,286965233.0,,66860633.0,151085933.0,194266233.0,16075889833.0,621705933.0,10061733.0,866778433.0,53933333.0,55327933.0,289461133.0,41848333.0,119109533.0,9747333.0,103387133.0,42976233.0,13851333.0,,140050933.0,26455719833.0,24572085833.0,197744333.0,1169276733.0,103421533.0,8043733.0,75462133.0,16369733.0,1192728533.0,5060420833.0,,13692933.0,47430433.0,563412933.0,3534133.0,20823933.0,22756033.0,58361833.0,630443033.0,329581333.0,91563333.0,,1867533.0,213368933.0,148936033.0,24858433.0,12932133.0,156825333.0,8612114133.0,115015633.0,57354833.0,99599533.0,3150433.0,20720006333.0,16363884633.0,3255442133.0,1263872133.0,405630033.0,45166333.0,,75860533.0,435634233.0,41345533.0,1043481433.0,79411333.0,251667133.0,599158433.0,1492233.0,506668533.0,,84226433.0,98275733.0,7749862433.0,27531933.0,11888691733.0,45257033.0,35161233.0,44919933.0,90251633.0,40603633.0,76449715233.0,3391433.0,4743033.0,24848133.0,276089733.0,223544433.0,341532333.0,5443733.0,204510133.0,4149733.0,46670133.0,15054133.0,1654837733.0,2148933.0,4948647433.0,50460333.0,44827333.0,489934233.0,329023033.0,787419533.0,32489233.0,408577333.0,134288633.0,2724933.0,39886933.0,95390433.0,197430933.0,2206845533.0,39779433.0,41670133.0,341174133.0,2382294833.0,44028833.0,87986533.0,89368733.0,422760133.0,1289724833.0,458922933.0,93770333.0,6558133.0,254341633.0,1647100133.0,164321333.0,3119833.0,,2760533.0,361954333.0,185193433.0,1184233.0,88437233.0,33575733.0,,63667433.0,19320633.0,473556033.0,7123433.0,142371133.0,691107333.0,22018605333.0,354254833.0,267126433.0,,2548533.0,1951033.0,12100093533.0,486164833.0,7009933.0,21801333.0,77363733.0,57662733.0,295352533.0,120605733.0,622583233.0,820373433.0,15827033.0,92254233.0,1805933.0,19844633.0,150042533.0,968086333.0,77505833.0,448220433.0,527251533.0,28706733.0,538738133.0,2720584433.0,39686433.0,431982033.0,3234433.0,381186433.0,1235962833.0,1455333.0,86376293133.0,333681433.0,202696733.0,251094633.0
2,1993,342823833.0,51739633.0,563345433.0,295121733.0,969433.0,500953333.0,50186333.0,828633.0,186754333.0,67037233.0,125393533.0,4237033.0,8196433.0,2282434233.0,3005833.0,112168333.0,88453933.0,4202233.0,128100333.0,,11239233.0,145594033.0,46022733.0,32044333.0,2619862833.0,4541333.0,78249133.0,222484933.0,147815033.0,8381733.0,228898233.0,303695533.0,289681633.0,,68402933.0,156489133.0,195648333.0,16055072833.0,625758033.0,10316333.0,904909833.0,55009833.0,56216433.0,297900333.0,42808233.0,119268933.0,9900533.0,99976233.0,43260733.0,13951433.0,,141603633.0,26472073433.0,24610108933.0,200321133.0,1182504933.0,103427333.0,8508233.0,76026733.0,15675333.0,1237072633.0,5011160933.0,,13755333.0,47604733.0,565004033.0,3548933.0,21386433.0,23455133.0,58587533.0,635391933.0,337215333.0,89488133.0,,1879533.0,217969633.0,158160333.0,25466333.0,12940733.0,159607133.0,8866297933.0,117491133.0,57524133.0,96299933.0,3171333.0,21170615533.0,16559238133.0,3263236933.0,1260972533.0,414606133.0,44315133.0,,76667033.0,427826533.0,41410933.0,1020827633.0,82102133.0,246246233.0,611106733.0,1513033.0,503905333.0,,84154433.0,101161533.0,7785553833.0,26732433.0,12178012233.0,45820433.0,35554333.0,44086433.0,89816233.0,40103833.0,77126470433.0,3480733.0,4844433.0,24480433.0,283511733.0,224112333.0,348038133.0,5608233.0,209839433.0,4113033.0,47851033.0,15124533.0,1662308933.0,2203433.0,4996475833.0,49840633.0,44653133.0,492804533.0,338809233.0,784920033.0,33219533.0,417453233.0,135656833.0,2762033.0,40217533.0,96336933.0,203848033.0,2254652833.0,40273733.0,42122333.0,346338133.0,2438971533.0,44320933.0,89702033.0,91125533.0,425531433.0,1312431233.0,453385733.0,91238733.0,6510433.0,245284033.0,1616726233.0,149898933.0,3172733.0,,2780133.0,370772733.0,189807933.0,1169633.0,87595733.0,34949933.0,,62415733.0,18759933.0,479347633.0,7250033.0,142198333.0,694894333.0,22323845833.0,341884033.0,266077633.0,,2560333.0,1917733.0,12399325233.0,506692633.0,7169533.0,22167533.0,78702033.0,58732333.0,299261133.0,122805633.0,642162033.0,809106433.0,16737733.0,94279033.0,1813533.0,19691833.0,148432233.0,966746233.0,79328533.0,464321933.0,520753133.0,29348933.0,543974833.0,2763810033.0,39559733.0,439491133.0,3316833.0,385776233.0,1246293133.0,1476333.0,87067018933.0,348943633.0,207189733.0,254764133.0
3,1994,366326633.0,51380333.0,563866733.0,304386933.0,993333.0,501030833.0,48564633.0,883133.0,188284833.0,68149633.0,126706233.0,4298533.0,8262133.0,2301039333.0,2997433.0,110476833.0,88818133.0,4271033.0,132251633.0,,11075133.0,147346033.0,43484233.0,32323133.0,2613262133.0,4617533.0,75642433.0,228199033.0,151013133.0,8582233.0,238952633.0,311833533.0,291353433.0,,69895733.0,162034033.0,196915733.0,16042717633.0,628651233.0,10560133.0,941146633.0,56116833.0,56996933.0,306134133.0,42272233.0,119629533.0,10026033.0,96702333.0,43689133.0,14015533.0,,143014033.0,26486312433.0,24643893633.0,202796833.0,1192885933.0,103454733.0,8968733.0,76680933.0,15033933.0,1280187233.0,4946872833.0,,13786333.0,47660033.0,565929133.0,3565133.0,21928533.0,24088933.0,57724133.0,637890633.0,344353933.0,87338633.0,,1883533.0,222437633.0,166582533.0,26030133.0,12930533.0,161997433.0,9116283733.0,119811833.0,57923133.0,93352733.0,3184033.0,21598473233.0,16731635533.0,3265804033.0,1253586533.0,424285733.0,43400633.0,,77476033.0,420823133.0,41468333.0,1001045333.0,84207433.0,238808633.0,621900533.0,1531933.0,499946933.0,,83903933.0,103800833.0,7816077633.0,25922533.0,12459188233.0,46287633.0,35952133.0,44096033.0,89282833.0,39444333.0,77732826933.0,3575633.0,4921533.0,24097833.0,291618833.0,225018833.0,354316933.0,5630833.0,215212633.0,4075333.0,49064833.0,15220833.0,1670926233.0,2241533.0,5034162133.0,49012433.0,44404333.0,494204033.0,348977533.0,781539333.0,33940633.0,426289133.0,137041233.0,2803133.0,40640133.0,97104633.0,210456733.0,2301102633.0,40814133.0,42399733.0,350955033.0,2492899033.0,44646633.0,91498933.0,92744133.0,427859133.0,1334720633.0,445845433.0,88987833.0,6464233.0,236776733.0,1583259933.0,137991233.0,3227233.0,,2803933.0,378392733.0,194219733.0,1158933.0,86637633.0,36519733.0,,61078633.0,18208133.0,484387433.0,7380133.0,142869933.0,698129433.0,22599199933.0,330124333.0,264304533.0,,2572233.0,1883233.0,12692620933.0,525957033.0,7324433.0,22479333.0,80059233.0,59710033.0,303091733.0,124665433.0,660625633.0,798266533.0,17505533.0,96226433.0,1813633.0,19436333.0,148828033.0,964731133.0,80822233.0,480162233.0,509987933.0,29899733.0,548653333.0,2798417733.0,39474133.0,445003133.0,3393233.0,390035133.0,1252991133.0,1497433.0,87672367333.0,363255733.0,211720133.0,257489533.0
4,1995,386219233.0,50794333.0,561792033.0,313135733.0,1017833.0,501830233.0,47022533.0,928533.0,189528633.0,68671433.0,127314433.0,4322233.0,8356133.0,2318426833.0,2984533.0,108174533.0,88971333.0,4360533.0,136230033.0,,11049433.0,149049133.0,41344133.0,32501533.0,2604690633.0,4685933.0,73219233.0,233904233.0,153532933.0,8771133.0,246331033.0,319607533.0,291699533.0,,71319533.0,167788833.0,198095533.0,16057336833.0,630161933.0,10792333.0,973127833.0,57284433.0,57665333.0,314164333.0,41855833.0,120079533.0,10110433.0,93845333.0,44321533.0,14129333.0,,144177333.0,26504943533.0,24685436833.0,205172633.0,1201968833.0,103460233.0,9415333.0,77735833.0,14462433.0,1321161733.0,4877857733.0,,13769833.0,47548033.0,565606833.0,3592133.0,22447833.0,24692533.0,55869033.0,639648033.0,350705233.0,85197733.0,,1876733.0,226643333.0,173252633.0,26534133.0,12901933.0,163893833.0,9358892233.0,121934233.0,57912733.0,91215533.0,3179533.0,22003866233.0,16880649933.0,3260655633.0,1244353833.0,434703633.0,42506833.0,,78445933.0,414526033.0,41474433.0,982100933.0,85346933.0,231098233.0,631693233.0,1552833.0,492731033.0,24316733.0,84425233.0,106055733.0,7842792133.0,25142533.0,12729996133.0,46431033.0,36309233.0,45389433.0,88805033.0,38683333.0,78293032633.0,3671133.0,4974533.0,23729933.0,300873533.0,228028933.0,360117633.0,5781233.0,220495633.0,4042433.0,50321733.0,15185533.0,1680428033.0,2255133.0,5061047733.0,48010333.0,44176233.0,493475733.0,358138033.0,777473933.0,34684433.0,435278733.0,138232833.0,2831633.0,41127033.0,97643133.0,217343933.0,2346805933.0,41343733.0,42542033.0,355246633.0,2545432033.0,45032833.0,93330333.0,94219633.0,429979033.0,1356984633.0,435498333.0,86902433.0,6452333.0,230096133.0,1551919633.0,132535933.0,3274033.0,,2836333.0,384914233.0,198410233.0,1151333.0,86018433.0,37818633.0,,59654633.0,17698333.0,488741433.0,7516233.0,145223133.0,700702233.0,22844427233.0,319509733.0,261590033.0,,2583033.0,1848033.0,12981471133.0,542200633.0,7462433.0,22788333.0,81010333.0,60427033.0,307079133.0,126354033.0,677249333.0,788632533.0,17982233.0,98136033.0,1804333.0,19033433.0,148285733.0,962415133.0,81833833.0,495677733.0,495895033.0,30424433.0,551930133.0,2825048433.0,39476433.0,449196333.0,3457833.0,394224733.0,1254642933.0,1499633.0,88237375733.0,375781233.0,216538833.0,259281733.0
5,1996,404631333.0,49938833.0,558045433.0,322999733.0,1037333.0,503160333.0,45333433.0,969133.0,190985033.0,68663733.0,127250233.0,4364633.0,8573633.0,2335727733.0,2973233.0,104629233.0,88939333.0,4456733.0,140764333.0,,10989633.0,150897033.0,39589133.0,32750733.0,2594763433.0,4761133.0,70743533.0,240606833.0,156282533.0,8956433.0,252412033.0,327960733.0,293189033.0,,73015233.0,174402333.0,198595833.0,15835044133.0,631271333.0,11021833.0,1005441333.0,58631933.0,58268033.0,323623733.0,39608233.0,119433933.0,10250133.0,91073933.0,45149033.0,14250333.0,,145221333.0,26291952033.0,24484802433.0,207564333.0,1204547433.0,103551833.0,9839033.0,77635433.0,13732533.0,1366299433.0,4779109033.0,,13853233.0,47583633.0,564123633.0,3600633.0,22975433.0,25404833.0,53690833.0,635751533.0,357566833.0,83854333.0,,1854933.0,231194633.0,179556033.0,27095833.0,12796133.0,165672933.0,9633375333.0,124050333.0,59862133.0,89308533.0,3184833.0,22447092933.0,17034221333.0,3255997233.0,1225070733.0,445310833.0,41652633.0,,79792833.0,409847333.0,41606333.0,963858133.0,87540733.0,223524833.0,642668733.0,1572733.0,492350433.0,23396333.0,84660733.0,108505033.0,7869719833.0,24177333.0,13033888333.0,46385033.0,36747733.0,47750333.0,87970233.0,37772533.0,78616293733.0,3756433.0,4982433.0,23430933.0,311322733.0,232910633.0,365593133.0,5827733.0,226815633.0,3997033.0,51630333.0,15270933.0,1693081133.0,2246933.0,5070163633.0,46872133.0,43508233.0,492776733.0,370055533.0,773830533.0,35542133.0,444569133.0,139294833.0,2868233.0,41794233.0,97936933.0,226189833.0,2401810233.0,41849133.0,42249433.0,360391333.0,2594767133.0,45441133.0,95488733.0,95622733.0,432323833.0,1378817933.0,425027633.0,85499133.0,6571833.0,221273333.0,1499072033.0,135519233.0,3293533.0,,2862033.0,384876633.0,203085733.0,1151233.0,85913033.0,39838533.0,,58253033.0,17137733.0,493955333.0,7673333.0,149261633.0,706915333.0,23089767733.0,310909633.0,259033933.0,,2586133.0,1813233.0,13322731233.0,558067233.0,7582533.0,23049133.0,81448033.0,60918233.0,311022033.0,127410933.0,695445533.0,775825133.0,18776033.0,100139833.0,1808133.0,18527733.0,146746033.0,961092733.0,82445633.0,513146733.0,479682033.0,31551533.0,553014633.0,2857332733.0,39575033.0,451200233.0,3517733.0,397569333.0,1254635233.0,1516933.0,88544198333.0,388888133.0,221966633.0,262137233.0
6,1997,419988633.0,48920333.0,551560133.0,332284333.0,1064633.0,504749733.0,43715333.0,997233.0,191564433.0,68107933.0,126568033.0,4364533.0,8808233.0,2351462533.0,2957433.0,101076333.0,88737633.0,4571033.0,145065233.0,,11038633.0,152656133.0,38301433.0,32913633.0,2585803933.0,4816533.0,68571433.0,247202933.0,158470933.0,9131533.0,255218133.0,335896933.0,293176833.0,,74677933.0,181069033.0,199143033.0,15722743633.0,630501133.0,11244333.0,1033713133.0,60054733.0,58743033.0,332920633.0,39831533.0,119443333.0,10306233.0,88538733.0,45886133.0,14421033.0,,145954633.0,26158179333.0,24372055833.0,209904033.0,1207779533.0,103532033.0,10254333.0,77913733.0,13115933.0,1408898633.0,4692104233.0,,13878433.0,47284833.0,562356633.0,3626233.0,23482333.0,26069133.0,51839533.0,632672433.0,363577433.0,82527333.0,,1838433.0,235350033.0,184379733.0,27581833.0,12703333.0,166993733.0,9898544633.0,125928033.0,59135633.0,87768533.0,3184433.0,22862521433.0,17168154433.0,3243417733.0,1205339533.0,456807333.0,40935233.0,,81224333.0,405758433.0,41628433.0,947267933.0,88904333.0,216694233.0,653483933.0,1595133.0,486111233.0,23456133.0,84820933.0,110408233.0,7894803733.0,23279633.0,13323277233.0,45959033.0,37134833.0,51182833.0,87411133.0,36848333.0,78997834433.0,3828933.0,4963933.0,23104633.0,322803033.0,239536333.0,370357833.0,5737233.0,232923633.0,3970833.0,52970233.0,15259133.0,1706166633.0,2220433.0,5072424833.0,45711033.0,43035633.0,489660333.0,380421033.0,769847233.0,36380333.0,453776733.0,140327733.0,2896633.0,42352633.0,98043633.0,235126933.0,2455649333.0,42352433.0,41823333.0,364900633.0,2643500333.0,45942533.0,97675733.0,96906233.0,434385533.0,1400979433.0,411671333.0,84048033.0,6716633.0,215929133.0,1455167733.0,144740833.0,3308033.0,,2899533.0,385433833.0,207515533.0,1144333.0,86002233.0,41108733.0,,56743633.0,16617433.0,498195933.0,7832833.0,154602233.0,712911633.0,23309045933.0,302956133.0,255387633.0,,2583233.0,1777433.0,13657400033.0,571196733.0,7694233.0,23313933.0,81264033.0,61062033.0,315661533.0,128531733.0,711697833.0,764469433.0,19294633.0,102129433.0,1799733.0,17913333.0,145060833.0,960121433.0,82491133.0,530049633.0,461992133.0,32749333.0,552762233.0,2880452633.0,39709833.0,452848233.0,3565233.0,401004033.0,1246825133.0,1505233.0,88889881733.0,399547133.0,227698033.0,264137133.0
7,1998,433566033.0,47807733.0,542936033.0,341368433.0,1097533.0,506614633.0,42094833.0,1014133.0,191660733.0,67182833.0,125286733.0,4340133.0,9116633.0,2365312133.0,2940233.0,97418533.0,88397933.0,4703933.0,149250033.0,,11154633.0,154340833.0,37313133.0,32991933.0,2577329733.0,4853433.0,66568933.0,253778133.0,160444733.0,9284333.0,254868733.0,343487833.0,291575933.0,,76248433.0,187895033.0,199519433.0,15623514133.0,628457433.0,11458033.0,1059428033.0,61518333.0,59055333.0,341830733.0,38883933.0,119592633.0,10307733.0,86270333.0,46599233.0,14606733.0,,146484333.0,26016677933.0,24255210433.0,212083933.0,1210446733.0,103421033.0,10651633.0,78533333.0,12577233.0,1449763333.0,4607013133.0,,13865733.0,46794033.0,560257733.0,3652733.0,23963533.0,26709733.0,50357933.0,628778333.0,369174233.0,81328333.0,,1821433.0,239300933.0,187965833.0,28012733.0,12710733.0,167958633.0,10158966433.0,127599933.0,58032833.0,86502633.0,3183833.0,23253907633.0,17281582233.0,3225508133.0,1183932233.0,468791133.0,40296733.0,,82631033.0,402105733.0,41616333.0,932363533.0,89695533.0,210091533.0,664015733.0,1615933.0,476116533.0,24168633.0,84933833.0,111854733.0,7916522033.0,22422733.0,13602504733.0,45351733.0,37455133.0,55196833.0,86992033.0,35855233.0,79332949733.0,3894533.0,4910533.0,22768833.0,334869333.0,247377833.0,374348733.0,5730533.0,239023733.0,3949733.0,54344133.0,15153733.0,1718469733.0,2179233.0,5065206933.0,44658933.0,42639633.0,484848733.0,389853433.0,765707633.0,37158933.0,462472533.0,141383633.0,2920733.0,42658633.0,97979133.0,244277433.0,2509148933.0,42848033.0,41370233.0,369024933.0,2688957733.0,46489233.0,99909933.0,98032833.0,436083833.0,1423025833.0,396341833.0,82622133.0,6891833.0,212618733.0,1413843233.0,158157733.0,3324833.0,,2944133.0,387236433.0,211775933.0,1143533.0,86577933.0,42002233.0,,55153233.0,16127633.0,501965233.0,7996733.0,160915933.0,718700833.0,23499959533.0,296187233.0,251183933.0,,2573233.0,1742333.0,13989037833.0,582504133.0,7783633.0,23528533.0,80695433.0,61030033.0,320361333.0,129567333.0,726945233.0,753847933.0,19664333.0,104118133.0,1787833.0,17233433.0,143091633.0,959325033.0,82073033.0,546833333.0,443365133.0,34144733.0,551480133.0,2896111133.0,39853833.0,452526333.0,3607633.0,404277033.0,1233437333.0,1470633.0,89173772033.0,408396733.0,233598633.0,265358633.0
8,1999,447881033.0,46661133.0,533202333.0,350849133.0,1130533.0,508500333.0,40379433.0,1026633.0,191963433.0,66323933.0,123393233.0,4324233.0,9513333.0,2376444133.0,2927133.0,93735633.0,88111333.0,4847133.0,153498333.0,,11263633.0,155954433.0,36357633.0,32989933.0,2568822833.0,4869333.0,64551733.0,260420333.0,162680933.0,9396133.0,252632633.0,350867033.0,289545033.0,,77640133.0,195003933.0,199432733.0,15406861133.0,626173533.0,11661133.0,1085342633.0,62962033.0,59159133.0,350040833.0,38972233.0,119248933.0,10286333.0,84161933.0,47298333.0,14740433.0,,147010533.0,25754229833.0,24016125433.0,213941833.0,1210806033.0,103223333.0,11018833.0,79423133.0,12123233.0,1489825433.0,4508998333.0,,13837033.0,46330633.0,558843633.0,3659933.0,24411433.0,27356033.0,48877533.0,623204033.0,375046933.0,80187533.0,,1796833.0,243362733.0,190880333.0,28420733.0,12869933.0,168754133.0,10420758833.0,129115433.0,56869133.0,85204333.0,3187733.0,23626227433.0,17374727233.0,3207580933.0,1158411433.0,480594833.0,39800033.0,,84301933.0,399063433.0,41522833.0,918055333.0,90341733.0,205085633.0,674137533.0,1630033.0,468244133.0,25021533.0,84771133.0,112988233.0,7932730233.0,21574033.0,13878029733.0,44935533.0,37685533.0,58950933.0,86476733.0,34746133.0,79487599033.0,3960133.0,4818333.0,22444433.0,346687633.0,255298733.0,377603033.0,5742333.0,245386533.0,3914933.0,55750633.0,15111533.0,1728365733.0,2132433.0,5047813733.0,43375633.0,42123633.0,479605033.0,399473333.0,761862533.0,37811333.0,469936633.0,142451833.0,2947933.0,42706033.0,97777733.0,253714233.0,2563411133.0,43331233.0,40974633.0,372858133.0,2726737333.0,46998133.0,102214833.0,98948233.0,437236633.0,1444461933.0,380856033.0,81385833.0,7101333.0,208615133.0,1364644033.0,171584433.0,3352633.0,,2988133.0,390249733.0,215988133.0,1142033.0,87981533.0,41671633.0,,53531233.0,15704433.0,505514433.0,8166133.0,167462933.0,724573233.0,23660138933.0,291168433.0,247406833.0,,2555533.0,1710033.0,14321792533.0,593678033.0,7839733.0,23619633.0,80069433.0,60978333.0,324170433.0,130277233.0,742738633.0,743843133.0,20117833.0,106122933.0,1785233.0,16574933.0,140880933.0,958303733.0,81404433.0,564131033.0,424467533.0,35711633.0,549556033.0,2910436933.0,39940033.0,448433133.0,3654533.0,406995333.0,1218110733.0,1430333.0,89280249033.0,416505833.0,239399633.0,265961833.0
9,2000,464938233.0,45515133.0,523122933.0,361238633.0,1156533.0,510291833.0,38549533.0,1038633.0,192541733.0,65731433.0,120989633.0,4332933.0,9968833.0,2384407733.0,2919233.0,89970333.0,87941733.0,4987833.0,157931033.0,,11316133.0,157486133.0,35259433.0,32916333.0,2560231133.0,4861933.0,62382133.0,267168233.0,165551833.0,9451533.0,249713833.0,358143833.0,287747033.0,,78809033.0,202465533.0,198777333.0,15028797033.0,624245833.0,11853333.0,1113739033.0,64349433.0,59032033.0,357380433.0,37389333.0,118151533.0,10256933.0,82042033.0,47974333.0,14788533.0,,147648633.0,25348016633.0,23626578733.0,215394433.0,1208586833.0,102917433.0,11352533.0,80550633.0,11850833.0,1529737133.0,4398417133.0,,13788633.0,46005033.0,558581033.0,3640033.0,24821733.0,28035233.0,47285233.0,615434933.0,381695733.0,79310533.0,,1761633.0,247674833.0,193615933.0,28824933.0,13152933.0,169483233.0,10688486533.0,130488933.0,55583733.0,83816633.0,3200433.0,23987731933.0,17449280633.0,3194096733.0,1126898633.0,491798433.0,39524933.0,,86047833.0,396913333.0,41390833.0,905136433.0,91127333.0,201204933.0,684089133.0,1636633.0,465210033.0,25652933.0,84030133.0,113888133.0,7942727533.0,20653333.0,14154862933.0,45029133.0,37803733.0,61766033.0,85777833.0,33513333.0,79436723233.0,4021733.0,4695433.0,22128433.0,357781433.0,262471333.0,387772333.0,5674333.0,252176433.0,3863433.0,57188333.0,15091533.0,1735045733.0,2087433.0,5019276533.0,41853233.0,41397333.0,474594133.0,410065833.0,758534533.0,38287433.0,475616033.0,143583533.0,2979233.0,42698633.0,97463433.0,263464933.0,2619336033.0,43726833.0,40675733.0,376367733.0,2754545733.0,47422833.0,104581333.0,99619033.0,437748933.0,1465264033.0,362769033.0,80520133.0,7356633.0,202717733.0,1306163733.0,181568233.0,3392233.0,,3028933.0,393867433.0,220267433.0,1129833.0,90482633.0,41797533.0,,51806133.0,15324633.0,508888233.0,8341433.0,173618433.0,730898833.0,23790503133.0,288586033.0,244724533.0,,2530733.0,1681433.0,14659220333.0,605966433.0,7858033.0,23548733.0,79627933.0,60893533.0,326592233.0,130596433.0,760255633.0,734752133.0,20827833.0,108172233.0,1796933.0,15994333.0,137990433.0,956828433.0,80657433.0,582377733.0,406115533.0,37314733.0,547086633.0,2924965533.0,39919133.0,444126733.0,3711333.0,409018933.0,1201550433.0,1396433.0,89187116633.0,424542533.0,244971533.0,266092833.0
