,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,31.01838110097,,,,,,,,45.05209321843,,,,,,,,,,,,,,,29.67802393623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.50405487088,,,,,,,,,,,,,,,,,17.723192723660006,4.53658916208,,,8.530416006589999,,,,,,,,,227.90338547455002,18.01513519064,,,,,,,,,,,,,,,,,,,,,,,,,,,3.30404473267,,,,,,,,,,,,,,,,,,,,,,0.31850061518,,,,,,,,,,,,,,,49.947389251619995,,,,,,,21.596693580060002,15.55698137155,,,,,,,,,,,19.605171137120003,25.02585593503,,,,,,,,,,0.06849447251,,,,,,42.90117204738,27.975036509520002,,,,,,,,,,
1,1992,,,,,,,,,32.28838402455,,,,,,,,45.84891737463001,,,,,,,,,,,,,,,29.21942366443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.85243956576,,,,,,,,,,,,,,,,,25.56257411512,4.04536192634,,,17.21717653269,,,,,,,,,170.49647970721,19.717039773920003,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15819268707,,,,,,,,,,,,,,,,,,,,,,1.04051937093,,,35.53144049849001,,,,,,,,,,,,50.29373011972999,,,,,,,18.99860227408,21.04075653103,,,,,,,,,,,16.723484672610002,28.33832387988,,,,,,,,,,0.07303482651000001,,,,,,44.24738208936,31.364915781420002,,,,,,,,,,
2,1993,,,,,,,,,37.17844029836,,,,,,,,50.97052421358,,,,,,,,,,,,,,,33.07163287344,,,,,,,,,,,,,,,,42.64626122741,,,,,,,,,,,,,,,,,,46.549707454440004,,,,,,,,,,,,,,,,,34.66111486064,4.21614696417,,,14.809243189829994,,,,,,,,,179.02485381294997,27.12704538441,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72115844892,,,,,,,,,,,,,,,,,,,,,,4.31441256193,,,42.40832876667,,,,,,,,,,,,65.29774362364999,,,,,,,21.79388035375,19.26067923608,,,,,,,,,,,21.83390034159,36.26313870811,,,,,,,,,,0.19068223915,,,,,,52.67510115162,33.63553758906,,,,,,,,,,
3,1994,,,,,,,,,42.488503352020004,,,,,,,,57.68866764753,,,,,,,,4.5619939976,,,,,,,36.68019463354,,,,,,,,,,,,,,,,67.38285301806,,,,,,,,,,,,,,,,,,49.356608267729996,,,,,,,,,,,,,,,,,44.57128436801,7.42198490777,,,23.577591223949998,,,,,,,,,186.82354950466,27.651281219180003,,,,,,,,,,,,,,,,,,,,,,,,,,,7.818643828410001,,,,,,,,,,,,,,,,,,,,,,7.9888113385500015,,39.43754084126,52.09445976882999,,,,,,,,23.40379046706,,,,79.28520519407,,,,,,,25.81675183158,30.92801111965,,,,,,,,,,,27.755302553390003,41.46135031781,,,,,,,,,,0.39753471121,,,,,,56.88595009804,36.2303953508,,,,,,,,,,
4,1995,,,,,,,,,41.89403177582,,,,,,,,56.59465575350001,,,,,,,,5.67875623526,,,,,,,37.95397614352,,,,,,,,,,,,,,,,37.05506392476,,,,,,,,,,,,,,,,,28.97270319298,44.3150505388,,,,,,,41.62913857657,,,,,,,,,,42.01246561928,6.41282223358,,,19.46977941319,18.04764315823,,,65.82188758276,,,,,162.78322700588996,27.512125608040005,,,,,,,,,,,,,,,,,,,,,76.39444708799,,,26.571276492630002,,,6.88363379082,,,,,,,,,,59.25876890431999,,,,,,,,,,,,8.62593305206,,32.00417709839,47.44353662936,,,5.34431523738,,,,,20.37793257602,,,,73.97087581747,,,,,,,24.22522582552,21.40242043826,,,,,,,,,,,30.93486538202,43.25561337284,,,,177.74732467663998,,,,,,0.7693772189,,,,,,59.520230992559995,42.91526498926,,,,,,,,,,
5,1996,,,,,,,,,46.76944352988,41.2497990516,,,,,,,69.18067901988,,,,,,,,8.548833951889996,,,,,,,44.80248445869,,,,,,,,,,,,,,,,44.04965298224,35.80654703581,,,,,,,,,,,,,,,,30.87248414783,50.457489646599996,,,,,43.85735247932,,43.88822529231,,,,,,,,,,53.624648712749995,13.42712587822,,,19.58883169766,22.3628074524,,,82.06061514335,,,,,197.69190624419997,26.55347888955,,,,,,,,,,,,,,,,,,,,,87.93231421928002,,,26.44814862948,,,9.91827771103,,,,,,,,,,75.11962934957,,,,,,34.64696266952,,,,,,9.048309080700001,100.32756975245,53.719653158620005,54.20208466274,,,9.27227418156,,,,,21.619224940469998,,,,79.11767172425999,,,,,,,29.565738840370003,17.61820416694,,,,,,,,,,,37.8041596805,55.27796750854,,,,160.57354032104,,,,,,1.2550120545,,,,,,68.46351007318,54.844404505369994,,,,,,,,,,
6,1997,,,,,,,,,52.522759692259996,49.58120605219,,,,,,,91.08669592062,,,,,,,,15.084903388929998,,,,,,,55.542532332140006,,,,,,,,,,,,,49.18573469347999,,,44.91938885498,50.9703642281,,,,,,,,,,,,,,,,48.44647225745,65.14944933404,,,,,63.38971218216,,69.30742307556,,,,,,,,,,62.49184356726,29.43476775667,,,22.03759332026,23.17411321558,14.1282836705,,110.95046023636002,,26.51846366088,105.49706170315001,,172.25496284448002,29.22669044239,,,,,,,,,,,,,,,,,,,,,75.89953782928,,,28.50522256668,,,13.77482997264,,,,,,,,,,112.23542874608,,,,,30.78871052837,47.680473997600004,,,,,,12.26931133027,85.23355263248,66.18520863529,85.55249863022,,,25.717755571279998,,,,,27.61552437941,,,,68.63516991786,72.96865654753,,,,,,45.168238647749995,20.503139285179998,,,,,,,,,,,55.35459748511,79.58429909635001,,,,82.20776449769002,,,,,,3.72630841846,,,13.26856610713,,,80.77776267733,71.06273017095,,,,16.406263327850002,,,,,,
7,1998,,,,,,,,,54.98295808601999,51.29707695373,,,,,,,123.42291112841002,,,,,,,,13.51705867993,,,,,,,58.24352064255999,,,,,,,,,,,,,37.16765314340999,,,37.224914043249996,59.31206248963,,,,,,,,,,,,,,,,68.60151576954,85.18938626651999,,,,,85.63222618502,,102.33746032849001,,,,,,,,,,44.08101999657001,31.786369758690004,,,19.36541497611,15.96788213437,13.70057215671,,156.4670577474,,27.38411532972,137.99073916806998,,144.06653370033,30.74337984519,,,,,,,,,,,,,,,,,,,,,40.14057341715,,,30.05395651031,,,13.39260402773,,,,,,,,,,147.53088620723,,,,,27.26126118888,45.84609428854,,,,,,10.37770256546,59.09966741289001,61.64605642170999,136.33737299837,,,12.10253328141,,,,,26.86058262422,,,,43.90684176181,49.70247001157001,,,,,,66.26335223496,17.50833419938,,,,,,,,,,,65.24015266497,108.26712280448,,,,48.662609490179996,,,,,,5.96969888371,,,6.66852323593,,,94.88748839968001,82.37348496087,,,,9.25140013305,,,,,,
8,1999,,,,,,,,,61.23722108521,45.14462431394,,,113.14705085748,,,,127.73350204905,,,,,,,,16.105529921749998,,,,,,,60.2597491163,,,,,,,,,,,,,31.973718904770003,,,38.49030363372,57.37925733928,,,,,,,,,,,,,,,,118.0733908686,103.97460079044001,,,,,91.12070494510999,,206.34275505598998,,,,,,,,,,59.21344288008,30.26429277484,,,24.03828600231,20.730547140370003,14.66811793155,,163.9368305266,,35.36554119226,157.72095746331,,157.466710274,30.48066590879,,,,,27.008909158779996,,,,,31.50003672241,,,,,,91.88281747541001,,,,,53.65351929127,,,51.031879177540006,,,16.39172790967,,,,,,,,,,167.71890331555,,,,,23.74058573259,43.99368609623,53.15164133745,,,,,10.82142779489,71.2387899459,60.454121650930006,124.43183248293,17.12461306937,,6.35782224046,,,,,25.01358137835,,,,66.6984593998,34.9284421366,,,,,,73.19952784833,15.71514822797,,,,,,,,,,,75.83954304926,108.88007243554001,,,,57.88350217761999,,,,,,10.47405595671,,,4.1662038940300015,,,105.43012498921,99.93932679475,,,,8.51140227404,,,,,,
9,2000,,,,,,,,,65.38391390479,43.329746258129994,,,101.00723721959999,,,,117.83723081744,,,,,,,,23.68960406552,,25.09558706221,,,,,83.1619178494,,,,,,,,,,,,,39.89104241638,,,46.58244978208001,77.58354193894,,,,,,,,,,,30.27781249214,,,,,225.66361423765,142.55158362628,,,,,121.41839371844,,200.64862207036,,,,,,,,,,74.88902024757,39.37894980797,,,26.73595794976,19.40747747737,20.95699064571,,174.86709838154,,48.18095492394,197.82638756881,,160.95829820411996,25.84478725248,5.66914934498,,,,27.980033475069998,,,,41.04840791187,27.36876851986,,,,33.60402008053,,123.45564174579,,,,,65.31178448645001,,,101.50059879939,,,20.80431089181,,,,,,,,,,197.90984083883,,,,,29.91569273383,56.75176912133001,45.1330561133,,,,,9.94319937621,52.07974634545,80.00878175736,142.81633629511,16.107450362879998,,12.758587366169998,,,,,34.16820109453,,,,72.40854627083,34.61366418146,,,,,,82.3913697259,14.198905793729999,,,,,,,,,,,113.68156995566002,117.60490055588998,,,,47.09476310372,,,,,,26.54204750458,,,8.88035684073,,,110.04481288007,102.51803268223,,,,10.9070257454,26.822310953509998,,,,,
10,2001,,,,,,,,,66.68047677551,44.47369303568,,,88.79887629513,,,,111.38002413345,,,,,,,,20.4746046796,,21.12026139928,,,,,66.71022696029999,,,,,,,8.06312315213,,,,,,44.8790009953,,,34.77696188694,73.61806497393,,,,,,,,,,,27.73187001277,,,,,129.74378715931002,115.26884371542,,,,,95.70647354016,,132.24015904222,,,,,,,,,,58.7441414708,31.0948373913,,,20.17780413829,15.409959087770002,28.02818072228,,187.22954927374002,,37.96307897573,157.50041712919,,113.5133809801,26.6427104404,5.559874303019999,,,,36.33805696019,,,,56.7257299028,20.26902521686,,,,28.243409521180002,,81.93920130245998,,,,,49.49095198159,,,70.88416576326,,,19.08309960098,,,,,,,,,,162.00033562528,,,,,45.92554453792,52.07884255751,37.57008020492,,,,,8.36934874583,44.19655341953,54.655043853879995,104.36658016929,18.47477357038,,12.828672729400001,,,,,37.45604185468,,,,57.625068873690005,42.75642496101,,,,,,69.8665481256,12.70568951268,,,,,,,,,,,79.79833283124,106.02417505478,,,,41.73723643098,,,,,,18.56126493584,,,8.14440684405,,,96.85131070172,97.30585365978001,,,,12.460964046330002,61.90962699612,,,,,
11,2002,,,,,,,,,65.35452335103001,45.46643140705,,,92.03181092748,,,,95.73456399198,,,,,,,,16.7526211528,,32.186581146159995,,,,,60.53930367152,,,,,,,10.61615042092,,,,,,54.22851131811,,,37.044583334440006,60.67966473343,,,,,,,,,,,37.08047963441,,,,,100.48473404527,90.19966864454001,,,,,71.30277372678,,101.08862182722,,,,,,,,,,48.858751086619996,34.99879173512,,,18.89440646964,17.23163945345,37.28093796645,,152.90422389385,,34.33959102122,120.57694165121,,94.91556166157,31.625949996409997,5.96275930322,,,,44.482077143599994,,,,64.29063382076001,18.358611619420003,,,,29.89505015317,,56.75986410511,,,,,55.09258213323001,,,53.99267127412,,,20.39319536405,,,,,31.46722403087,,,,,124.91809844193001,,,,,52.98952220301,41.56039025027,37.63376951275,,,,,8.23422811189,39.81134783961,50.94161719521,78.97632227252,27.44886899094,,22.68692399495,,,,,41.643618009890005,,,,55.24801620449001,48.811845132980004,,,,35.24253044213,,59.539195217069995,19.79612719859,,,,,,,,,,,61.21153071283001,87.34584416927,,,,50.408890925579996,,,,,,20.210189047249997,,,8.597541715560004,,,80.43225065245,88.11216569608,,,,12.20867630987,38.72048910178,,,,,
12,2003,,,,,,,,,62.83558773886999,50.08388872892,,,100.76694909140998,,,,78.32136203863001,,,,,,,,21.023943282690002,,72.20854438877,,,,,61.11252000485,,,,,33.28857759423,,16.8595863096,,,,,,53.03491547725,,,47.17102383162,59.8926922517,,,,,,,,,,,51.77655170772,,,,,85.93270190332,75.45747455184,,,,,54.42883315160999,,89.39065227239,,,,,,,,,,47.977179535270004,37.79521140907,,,22.34950854481,19.45969476825,64.1719584128,,142.08982533078,,37.8958206875,106.63728334543,,87.26440776823,37.12177463907,6.71767114853,,,,64.63983097901999,,,,78.6792579284,19.32932097215,,,,47.09128576703,,49.77387598838001,,,,,54.61257917446,,,52.6237025771,,,22.13697105079,,,,,32.49929888813,,,,,90.54475769262,,96.61854178789,,,70.02548137539,36.90990360193,49.39585770943,,,,,12.17648690343,39.19858235261,54.378394628879995,69.96676906046,40.49328766504,,30.72265683652,,,,,55.70639065801999,,,,52.016512795459995,68.67002329298,59.29633998600001,,,32.121238216559995,,57.70173985491,28.037221452670003,,,,,,,,,,,54.10938963080999,73.75882473664001,,,,66.34252420456,,,,,,22.60479957715,,,9.69858337067,,,71.48501990244,85.88855073785999,,,,23.39766504649,30.571590494629998,,,,,
13,2004,,,,,,,,,73.08618991184,75.97670205117,,,123.11796296714,,,,101.43893506061,,,,,,,,32.545945501679995,,121.74421182936001,,,,,73.76933149759,,,,,41.62801701951,,28.36033769743,,,,,,59.11715237016999,,,69.9629757501,76.64414325545,,,,,,,,,,,73.25235561495,,,,,92.42302567997999,90.14551515386,,,,,67.93375184598001,,114.23516438051,,,,,,,,,,60.303969823959996,52.88424009380999,,,32.26172615403,30.380158048379997,107.23172772488,,178.36833996409,,52.8101003671,121.41687397015,,104.73419816704,54.84018644032,10.01603727029,,,74.04165498872,80.93774111094,,,,106.96656675514,24.48818867766,,,,76.62359357013,,63.03475772373,,35.98240756596,,8.87186102678,65.93036477698001,,,71.27960132135999,,,32.87565104755,,,,,38.70884432672,,,,,100.99703222639,,113.69405239157,,,112.43811878397,52.677423706800006,70.18525679436999,,,,,20.08511534471,52.73287480137999,71.71999786708,87.14921848038998,59.25752695559,,41.08798569493,,,,,95.71640356996001,,,,66.4218515961,88.9729437135,84.86355708341,,,39.81231579255999,,70.40234711647,38.06051248571,,,,,,,,,,,69.60812907907,85.8421979447,,,,91.25885218179,,,,,,36.54398762418,,46.85462190618,22.40106593625,,,81.31552713187,98.53078772151,,,,47.376416146290005,47.18359565048,,,,,
14,2005,,,,,,,,,87.98616316855,114.93954470106002,,,162.48803292577,,,,126.72639279699,,,,,,,,40.17985906672,,185.20776410947,,,,,86.69449965865,,,,,53.33307282963001,38.33607899135,52.06153972537,,,,,,88.77450282325,,,106.10981330579,99.59415709718999,,,,,,,,,,,126.1330233243,,,,,108.36204472456998,106.16120988524,,,,,79.71672611018,,147.70954796353,,,,,,,,,,66.97645723713,85.59999364285,,,42.79002037838,41.546211054029996,100.37983186888,,213.836520497,,65.31899972743,141.8500607138,,116.41691085798,125.15443543011,18.50058929562,,,98.48890409188,126.70889942862,,,,160.75608117545,38.997160823070004,,,,143.32843812448,,78.37096677292,,69.48114522627,,,70.12377283635,,,98.41537111881,,,44.632534849799995,,,,,43.01686068257,,,,,114.51372785385,,126.41669769738,,,104.09334250136999,69.75769453814,100.99664583973,,,,,28.928520488140002,64.86783682321,88.60501999734001,92.86384271701,132.4248088213,,52.356636075830004,,,,,201.93842273397,,,,77.54285743791999,182.61466505171,88.52757500761999,,,53.29400807226,,86.77028137385,56.30776016337,,,,,,,,,,,84.74075978526,98.41716558976,,,,95.08616001694,,,,,,53.90747099203,,75.51621170966,51.76335104895001,,,93.47122585382,100.72993295845,,,,40.57896864186,52.09733694198,,,,,
15,2006,,,,,,,,,104.51973192993,151.32105037738,,,154.55037936819,,,,154.96039359238,,,,,,,,55.57749942132,,219.37235045093,,,,,102.72960442163,,,,,59.40940365769,50.670890543780004,84.96451091972,,,,,,126.61403609247,,,125.14900192190001,118.68637139267,,,,,,,77.67031620246,,,,140.12988807091006,,,,,135.33982007287,129.01493313037,,,,,100.53766090765998,,187.04089566938,,,,,,,,,,78.86667454328,101.46749299308,,,66.28702794841,54.35789643521,83.3704249848,,260.76714461829,,79.21956656743002,163.69476777033,,151.17252970378001,120.10386669396,88.29964742121,,,116.17679003021999,149.3877423656,,,,195.25858510616,69.20841876396,,,,146.50348527871,,115.67369638512,,115.81691375125,,,74.13261160132,,,145.29160917026002,,,64.91696378394,,,,,70.20356232722,,,,,137.73757352223998,,133.85124576028,,,126.54487491093,94.90839989436,92.38560469163001,128.44390707091006,,,,55.966487396450006,77.77911530383,123.00340387182,117.23713198653,102.02915315618,151.8159168775,101.18403341325,,,,,204.14400838345,,,,88.81200704113,168.72843996713004,118.16738252271,,,76.66392803149999,,108.42205272541,64.93303500710999,,,,,,,,,,,107.01885903284,123.19100978761,,,,98.97601130298,,,,,43.78976710234,73.18307909358,,104.40213567764,66.47954743901,,261.13452295209,109.23522777865,108.95244681263,,,,57.25218403196,100.05365522606002,,,,,
16,2007,,,,,,,,,127.99494923405001,177.29882059306,,,169.66238563923,,,,175.15982379948002,,,,,,,,77.63148037163,,348.5035902764,,,,,116.89182484251002,,,,,84.01618068251,133.77144542115,92.0451238534,,,,,,214.74467691255,,,150.22808214868,147.12588268487,,,,,,,107.89766439798001,,,,185.04886549083,,,,,168.35204162368,146.04081989071997,,,,,127.35330928933,,228.16683718718,,,,,,,,,,108.24817553205999,117.52696282351002,,,90.09953165504,83.10034238587,84.11445535476,,285.30145155108,,98.55720730955,177.35674858385,,159.36059650983,110.53298536052,137.18687141605,,,134.19232339783002,197.03476909588002,,,,218.59976593479,61.28581351701001,,,,183.2770538266,,151.95064982664,,250.58803315339,,,101.66764460001998,,,130.04279367484,,,92.79789221476,,,,,110.81586564383,,,,,155.52795246226998,,147.27850539888001,,,218.17811838517,119.09072704651,115.29628646233,153.10798509658002,,,,127.58355179055,112.4478143098,146.8597295179,148.05632186370002,98.56740206678002,182.53332171459,130.20653123063,,,,,128.24741480303,,,,119.53688403628999,176.63189182531997,214.33253919613998,,,102.00663381490999,,133.58034054351,75.27178667354,,,,,,,,,,,128.15637618604998,137.26039549252,,,,105.44407469775999,,,,,56.08747831260001,88.63165542097,,116.00439092943,148.71712476387,,261.44625542635,119.45867212264,125.77297960276,,,,72.97835660227,201.11012196653,,,,,
