,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,1748.0,,,6.099999904632576,,6.300000190734866,9.199999809265146,3.548,,12.199999809265153,11.800000190734947,1.8999999761581448,2148.0,,10.600000381469748,2.099999904632575,,4.300000190734865,,7.099999904632576,21.600000381469744,17.200000762939545,,6.699999809265145,,,,,,,9.699999809265146,12.199999809265153,,,5.699999809265145,,13.600000381469748,16.899999618530348,,,7.4000000953674325,,11.199999809265153,,,2.099999904632575,1048.0,46.70000076293954,9.800000190734863,33.299999237060554,,,8.548,21.299999237060547,6.599999904632576,,,1.548,1.6000000238418648,,,,7.800000190734862,11.699999809265153,,,,,6.547999999999999,,12.899999618530348,,,,,,,,,5.547999999999999,1.6000000238418648,,2.9000000953674347,,,,24.399999618530348,,16.600000381469748,3.2999999523162846,13.399999618530348,15.699999809265153,22.79999923706055,248.0,,,,,248.0,,,,,,,,,,,,,2.099999904632575,3.7000000476837247,,,,,,,,,,4.199999809265145,,21.538852318064546,,,23.29999923706055,,,1948.0,,9.899999618530275,,9.699999809265146,19.548,,,4.300000190734865,,,16.299999237060547,22.60000038146975,,4.699999809265145,7.4000000953674325,10.548,,5.599999904632576,,,,0.2000000029802325,,6.300000190734866,,,,,,,,,648.0,,,,,,23.20000076293955,,4.900000095367433,748.0,22.100000381469744,,,,,2.9000000953674347,2.548,1448.0,,4.300000190734865,3.548,,,,23.548,,7.099999904632576,,0.6000000238418585,,,7.4000000953674325,6.400000095367434,11.600000381469748,,,9.199999809265146,,,,,22.399999618530348,
1,1992,,,20.299999237060547,,,748.0,,,1048.0,3.7999999523162846,,15.800000190734947,,,25.79999923706055,,9.548,,0.6000000238418585,,,5.599999904632576,,,7.9000000953674325,,,,,,,,10.19999980926515,,,,5.300000190734865,,1348.0,,,,5.400000095367434,,,,2.2000000476837247,,9.899999618530275,,,35.200000762939545,,,13.199999809265153,1748.0,7.199999809265145,,,3.548,,,,,9.600000381469735,12.899999618530348,,,,,8.199999809265146,5.547999999999999,12.899999618530348,,,,,,15.300000190734947,,,348.0,1.8999999761581448,8.699999809265146,4.900000095367433,,,348.0,,,15.300000190734947,,13.899999618530348,13.899999618530348,22.20000076293955,2.2999999523162846,,,,,2.099999904632575,,,,8.376896296513964,,,,,,,,,2.7000000476837247,2.4000000953674347,,,,4.199999809265145,,,,,3.599999904632575,448.0,,,,,25.29999923706055,,,,,7.800000190734862,,9.699999809265146,,,,4.400000095367433,,,1448.0,22.299999237060547,,3.7000000476837247,12.548,9.899999618530275,14.899999618530348,4.800000190734865,,7.800000190734862,5.199999809265145,,,6.300000190734866,,4.900000095367433,,,,2.548,,,,,,,,,25.20000076293955,,,,,,,23.10000038146975,,4.599999904632576,3.548,,,,1.548,,,,23.899999618530348,,7.6999998092651465,,,,,7.4000000953674325,748.0,11.800000190734947,,,6.800000190734866,,,,,,
2,1993,,,,,,12.699999809265153,,,10.100000381469748,4.548,,13.300000190734947,,,2948.0,,10.800000190734947,14.548,,,,5.300000190734865,,,7.300000190734862,,2248.0,,,,,,10.69999980926515,,,0.3000000119209295,5.099999904632576,,1248.0,,,,5.300000190734865,,,,,5.400000095367434,11.100000381469748,,,34.799999237060554,,,11.548,22.299999237060547,6.900000095367434,,,6.599999904632576,,,,,1648.0,13.548,,16.100000381469748,,,9.300000190734863,,13.548,,,,,,,,,,1.8999999761581448,10.399999618530348,5.599999904632576,,,,,,15.800000190734947,,12.100000381469748,14.800000190734947,22.399999618530348,2.548,3048.0,,,,2.2999999523162846,,,,8.416867730354323,,,,,,,,,348.0,1.7999999523162848,,,,4.800000190734865,,,,,4.900000095367433,448.0,,,,,21.70000076293955,,,,,7.6999998092651465,,948.0,,,,4.400000095367433,,,9.899999618530275,20.200000762939545,,4.400000095367433,12.399999618530348,1048.0,15.199999809265153,6.300000190734866,,,5.800000190734866,,,7.199999809265145,,,,,,248.0,,11.800000190734947,6.599999904632576,,,,,,28.70000076293955,21.600000381469744,,2248.0,,,,19.200000762939545,,7.599999904632576,4.599999904632576,6.400000095367434,,,1.7999999523162848,,,,23.548,,9.300000190734863,,,,,7.6999998092651465,6.599999904632576,10.899999618530348,,,5.599999904632576,,,,,20.600000381469744,
3,1994,,,,,,14.399999618530348,,8.300000190734862,9.399999618530275,448.0,,14.199999809265153,,,27.899999618530348,,12.399999618530348,15.548,,,,2.9000000953674347,,22.79999923706055,,,20.200000762939545,,,,,,9.800000190734863,,,,6.800000190734866,,12.399999618530348,,,,5.800000190734866,,,,,5.199999809265145,948.0,,,27.10000038146975,,,9.300000190734863,22.79999923706055,6.400000095367434,,,7.9000000953674325,3.2999999523162846,,,,14.899999618530348,14.600000381469748,,,,,10.300000190734947,,13.699999809265153,,3748.0,,1.7000000476837247,,,,,,1.7000000476837247,9.399999618530275,5.547999999999999,,3.9000000953674334,,,,14.699999809265153,,1048.0,15.300000190734947,21.799999237060547,3.2000000476837247,,,,,248.0,,,,,,,,,,,,,4.300000190734865,2.4000000953674347,,,,,,,,,648.0,4.800000190734865,,,,,,,,21.100000381469744,,8.100000381469734,,7.800000190734862,,,,4.099999904632576,,,9.100000381469735,20.399999618530348,,3.7000000476837247,11.800000190734947,9.399999618530275,15.899999618530348,7.800000190734862,,8.699999809265146,7.9000000953674325,,,,,,,12.548,,2.099999904632575,,14.100000381469748,6.900000095367434,,,,23.548,4.4486756723027225,31.60000038146975,19.399999618530348,,2448.0,,,,1548.0,,8.199999809265146,4.400000095367433,12.548,,,1.6000000238418648,,,,22.299999237060547,,848.0,,,,,7.4000000953674325,648.0,12.100000381469748,,,9.699999809265146,,,,3.9000000953674334,,348.0
4,1995,,,38.400001525878956,,,22.299999237060547,,,8.100000381469734,4.900000095367433,,11.699999809265153,,,22.70000076293955,,12.199999809265153,17.899999618530348,,,,448.0,,,7.199999809265145,,16.100000381469748,,,,,,9.100000381469735,,,,5.300000190734865,,11.300000190734947,,,,6.599999904632576,,,1348.0,,4.800000190734865,8.600000381469734,,,26.20000076293955,,,8.800000190734863,24.10000038146975,5.900000095367434,,,8.548,,8.266186065850336,,,16.200000762939545,14.100000381469748,,,,,9.600000381469735,,13.800000190734947,,,,,,,,,3.4000000953674347,2.9000000953674347,8.399999618530275,4.900000095367433,,1.7000000476837247,,,,12.100000381469748,,7.599999904632576,16.100000381469748,22.548,3.099999904632575,29.899999618530348,,,,1.7000000476837247,,,2.599999904632575,9.824990157579034,,,,,,,,,4.400000095367433,348.0,,,,3.7999999523162846,1.2999999523162848,,,,,8.600000381469734,,,,,32.200000762939545,,,,,8.699999809265146,,6.547999999999999,19.299999237060547,8.100000381469734,,6.300000190734866,,,1448.0,20.100000381469744,,3.7000000476837247,8.699999809265146,9.399999618530275,14.800000190734947,7.800000190734862,,8.600000381469734,9.199999809265146,,,5.900000095367434,,,,,,2.099999904632575,,13.800000190734947,6.800000190734866,,,,2048.0,2.523866964713275,30.548,18.700000762939545,,2148.0,,,,10.899999618530348,23.20000076293955,7.9000000953674325,3.9000000953674334,14.199999809265153,,,,,,,20.600000381469744,,7.300000190734862,,,4.900000095367433,2.4000000953674347,6.900000095367434,5.599999904632576,13.199999809265153,,,12.800000190734947,,,,,,
5,1996,,,,,,19.399999618530348,,,8.300000190734862,5.199999809265145,,14.699999809265153,,2.2000000476837247,17.600000381469744,,12.399999618530348,18.600000381469744,,,,5.599999904632576,,23.899999618530348,8.600000381469734,,13.699999809265153,,,,,6.547999999999999,9.300000190734863,,,,7.9000000953674325,,1548.0,,,,8.300000190734862,,1048.0,12.300000190734947,,4.699999809265145,8.399999618530275,,,28.399999618530348,,,14.100000381469748,20.399999618530348,6.547999999999999,,,9.199999809265146,,8.471904668003635,,7.800000190734862,15.600000381469748,14.600000381469748,21.899999618530348,,,,9.600000381469735,,15.399999618530348,10.600000381469748,24.899999618530348,,,,,,,4.400000095367433,2.4000000953674347,948.0,3.548,,1.2999999523162848,5.547999999999999,13.399999618530348,,11.800000190734947,2.599999904632575,6.900000095367434,16.200000762939545,2348.0,3.4000000953674347,24.29999923706055,,,,1.6000000238418648,,,,10.609440417918947,19.799999237060547,,,,,,15.899999618530348,,4.699999809265145,3.599999904632575,,,,2.599999904632575,,,,,8.199999809265146,6.900000095367434,,,,,23.60000038146975,,,,,8.100000381469734,22.20000076293955,6.199999809265145,17.100000381469748,,,5.300000190734865,,,,20.299999237060547,,,848.0,8.199999809265146,1448.0,8.399999618530275,,7.300000190734862,9.300000190734863,0.4000000059604645,,6.800000190734866,,,,,,248.0,,12.699999809265153,6.599999904632576,,,,25.399999618530348,1.7427749428582149,29.548,17.899999618530348,,19.299999237060547,,,,16.399999618530348,,8.600000381469734,4.099999904632576,,,,1.1000000238418648,,,,2148.0,,5.900000095367434,,,7.300000190734862,,6.300000190734866,5.400000095367434,,,,16.200000762939545,1.7000000476837247,,,,15.899999618530348,
6,1997,,,26.20000076293955,,,17.899999618530348,34.40000152587895,8.399999618530275,8.199999809265146,5.300000190734865,,11.300000190734947,,,1848.0,,11.548,20.299999237060547,,,,3.599999904632575,,,9.800000190734863,,13.548,,,,,,8.899999618530275,5.099999904632576,,,7.6999998092651465,,1548.0,,,,7.547999999999999,,10.100000381469748,11.199999809265153,,5.099999904632576,6.400000095367434,,27.29999923706055,28.10000038146975,,,12.600000381469748,19.799999237060547,5.300000190734865,,,9.548,,10.454052616426647,,,15.199999809265153,14.548,,,,,10.600000381469748,,14.800000190734947,8.199999809265146,,,,,,,,3.2999999523162846,2.099999904632575,7.9000000953674325,3.7999999523162846,,2.4000000953674347,,,,10.19999980926515,,7.800000190734862,16.399999618530348,23.548,3.4000000953674347,,,,,2.2999999523162846,,,,10.57782229420648,14.600000381469748,,,47.09999847412114,,,13.899999618530348,,3.599999904632575,2.548,40.79999923706055,,,2.7999999523162846,,3.2999999523162846,,,8.548,6.099999904632576,,,,,21.799999237060547,1.2999999523162848,,2148.0,,7.099999904632576,,6.900000095367434,14.800000190734947,,,548.0,,,17.100000381469748,18.100000381469744,,6.699999809265145,8.899999618530275,8.548,1348.0,7.547999999999999,5.547999999999999,5.900000095367434,11.548,,,5.599999904632576,,,,,,1.8999999761581448,,12.800000190734947,748.0,,,,27.60000038146975,3.366816484174835,2848.0,16.700000762939545,,23.79999923706055,,,,1648.0,2648.0,9.699999809265146,448.0,29.29999923706055,,,0.8999999761581424,,,,19.399999618530348,17.299999237060547,7.800000190734862,,,8.399999618530275,,5.800000190734866,548.0,,,,13.600000381469748,2.548,,,,,5.099999904632576
7,1998,,,,,,14.199999809265153,,,7.4000000953674325,5.599999904632576,,9.548,,,16.399999618530348,,11.699999809265153,21.299999237060547,,,1.3999999761581448,,,23.548,11.548,,11.800000190734947,2.599999904632575,,,3.2000000476837247,,848.0,,,,7.599999904632576,,1848.0,,,,8.100000381469734,,11.548,9.399999618530275,,7.547999999999999,6.400000095367434,,,23.79999923706055,,,15.899999618530348,19.899999618530348,648.0,,,8.548,,11.27810401200448,,,13.600000381469748,14.199999809265153,,,,12.199999809265153,10.399999618530348,,16.700000762939545,9.699999809265146,21.799999237060547,,,,,,,4.300000190734865,448.0,8.100000381469734,3.7999999523162846,,3.7999999523162846,6.099999904632576,,,7.300000190734862,,8.300000190734862,16.548,22.100000381469744,3.548,,,,,5.699999809265145,,,,11.208738929875649,13.548,,,,,,11.899999618530348,,4.199999809265145,3.2999999523162846,37.59999847412114,,,3.2999999523162846,,,,,8.548,4.900000095367433,,,,6.400000095367434,24.399999618530348,,,,,5.800000190734866,,7.599999904632576,15.100000381469748,,,448.0,,,1548.0,20.799999237060547,,6.699999809265145,9.300000190734863,9.548,11.800000190734947,5.699999809265145,,5.547999999999999,1348.0,,,5.800000190734866,,,,,,3.4000000953674347,,12.548,7.547999999999999,,,,3048.0,4.5708554369531935,26.60000038146975,13.899999618530348,,2648.0,,,,1748.0,,848.0,4.099999904632576,,,,3.4000000953674347,,,,18.799999237060547,,6.800000190734866,,,10.800000190734947,,5.400000095367434,4.599999904632576,12.899999618530348,,,12.699999809265153,2.2000000476837247,,,,1248.0,
8,1999,,,,,,15.199999809265153,,,6.800000190734866,4.800000190734865,18.600000381469744,9.548,,,13.300000190734947,,10.19999980926515,20.299999237060547,,,1.6000000238418648,5.099999904632576,,,12.100000381469748,,14.100000381469748,,,,,,7.300000190734862,,,,10.600000381469748,,23.29999923706055,,,,8.300000190734862,,14.199999809265153,9.600000381469735,48.0,10.100000381469748,5.900000095367434,,19.548,24.899999618530348,,,19.600000381469744,19.399999618530348,4.599999904632576,,,10.100000381469748,12.600000381469748,11.626550488158749,,,12.399999618530348,14.100000381469748,,,,12.199999809265153,9.199999809265146,10.69999980926515,18.399999618530348,7.4000000953674325,,1.3999999761581448,,,,8.300000190734862,,3.9000000953674334,4.900000095367433,6.199999809265145,2.7999999523162846,,,6.800000190734866,,,5.599999904632576,,8.548,16.299999237060547,22.399999618530348,4.548,,,,,5.099999904632576,,,,11.610021899936848,13.399999618530348,,,33.09999847412114,,,12.100000381469748,,3.2999999523162846,4.400000095367433,33.299999237060554,,,3.2999999523162846,,,,,948.0,3.548,,,8.899999618530275,,13.300000190734947,,,,1.7000000476837247,4.900000095367433,,6.800000190734866,12.548,,,3.2000000476837247,,,,16.899999618530348,,7.547999999999999,8.600000381469734,9.548,13.199999809265153,5.099999904632576,,5.547999999999999,12.899999618530348,,,,,8.100000381469734,,,,3.7999999523162846,,15.899999618530348,7.547999999999999,,33.700000762939545,,30.29999923706055,,22.79999923706055,13.399999618530348,,20.299999237060547,,,,20.399999618530348,,6.900000095367434,3.599999904632575,15.199999809265153,,,2.9000000953674347,,,,16.799999237060547,17.200000762939545,7.547999999999999,,,11.300000190734947,,5.199999809265145,4.300000190734865,14.600000381469748,,,16.100000381469748,2.4000000953674347,,,8.199999809265146,,4.599999904632576
9,2000,,,29.70000076293955,,,16.399999618530348,,7.4000000953674325,6.099999904632576,4.599999904632576,12.699999809265153,,,3.2999999523162846,11.548,,8.300000190734862,,,2.2999999523162846,,5.900000095367434,,17.200000762939545,,,15.800000190734947,,,,2.7999999523162846,,6.699999809265145,,,,1048.0,,2348.0,,,,6.800000190734866,,17.200000762939545,8.300000190734862,7.300000190734862,10.548,548.0,,,23.29999923706055,,,13.100000381469748,22.70000076293955,3.7000000476837247,,,11.600000381469748,,10.167409947188649,,,1248.0,12.199999809265153,,,,10.548,8.300000190734862,10.69999980926515,16.700000762939545,1048.0,,1.548,,,,,,,448.0,5.800000190734866,2.599999904632575,,4.199999809265145,6.699999809265145,,,4.300000190734865,,8.300000190734862,14.899999618530348,22.299999237060547,4.548,2148.0,,,,3.599999904632575,,,,,13.399999618530348,,,,,,13.600000381469748,,3.099999904632575,4.599999904632576,34.90000152587895,5.699999809265145,,3.099999904632575,2.7000000476837247,,6.547999999999999,41.200000762939545,9.600000381469735,3.2999999523162846,,,7.199999809265145,,1348.0,,,21.600000381469744,,3.548,,5.900000095367434,11.199999809265153,,,3.2999999523162846,,,15.800000190734947,1848.0,1.2999999523162848,8.899999618530275,7.4000000953674325,11.548,18.299999237060547,4.699999809265145,,6.400000095367434,10.399999618530348,,,,17.799999237060547,9.300000190734863,,,,3.548,,18.600000381469744,7.099999904632576,,,,28.70000076293955,4.6995968625104245,20.299999237060547,11.399999618530348,,20.799999237060547,,,,,,548.0,3.099999904632575,548.0,,,2.2999999523162846,,,,15.100000381469748,16.899999618530348,6.300000190734866,,,11.600000381469748,2.7000000476837247,4.900000095367433,4.099999904632576,1748.0,,,14.399999618530348,2.099999904632575,,,,11.300000190734947,
