,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,33.2,23.3,,26.2,,26.1,,,25.6,18.1,,,25.1,26.2,,28.9,,,,26.9,22.5,25.1,,190.0,,,,19.1,27.1,,,,,,,22.4,19.7,,,,23.8,,,21.9,24.5,26.8,31.6,21.8,,,,,,,,,,,28.2,,28.2,27.2,,,,,26.5,,24.5,31.1,310.0,,,18.8,27.8,,,,27.7,22.8,29.3,,19.3,21.5,21.1,,26.7,26.4,,26.1,33.2,,,,,,,,,,,,,,,,,,,260.0,26.4,,,,24.6,,,,230.0,21.1,,,,,,,,24.5,27.3,18.5,27.1,,26.8,,,20.3,27.9,,,21.4,,,,,,,23.9,,22.1,,22.9,24.3,25.7,17.8,,,,,,,22.6,24.8,,,,26.8,,260.0,,,33.7,30.9,,,,,30.3,270.0,,,,,,,,,,,,19.4,,,26.4,,,,,,,,,20.8,,
1,1992,,,25.9,,,,,,26.4,,,,,,,,,,,,,22.7,,,,,,,,,,,25.6,,,,23.4,,,,,,21.5,,,,23.1,,29.8,,,,,,,22.4,22.3,,,,,,28.3,,,,,,,,26.8,,,31.2,,,18.9,,,,,,,23.1,29.7,,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,20.8,18.7,,,,,,,,,,,,250.0,,,26.4,,27.3,,,19.8,17.5,,28.3,,,,,,21.5,23.9,,,,,22.1,,22.7,,260.0,,,,,19.8,,,,,,,,,,,,,,,,,,,30.5,,,,20.5,,,,,,,,,,,,26.7,,,,,,,,,,200.0,21.3
2,1993,,,,,,,,,26.7,,,,,,,,,,,,,,,,,,,18.2,,,,,25.9,,,,,,22.5,,,,,,,,,22.5,,,,22.5,,,,,,,,,,,,,,,,24.3,19.6,,27.2,20.5,,,,,,,,,,,,23.4,30.2,,19.2,,,,,,24.3,,,,,,21.3,,,,,,,,,,,,,,,,,,20.9,,,,,,,,,,,,,,,,,,27.6,,,19.8,,,28.6,20.7,,,,,,23.4,23.4,,,,21.6,,,,26.4,,,20.9,,,,,,,,,,,,,,,,,,22.7,,,,27.1,,,,,,,,,,22.4,,,,,27.1,,,,,,,,,,,
3,1994,,,,,,,,,270.0,,,,,18.3,,,,,,,,220.0,,,,,,,,,,,26.2,,19.4,,,,,,,,,20.9,,,,230.0,250.0,,,,,,22.8,,,,,,20.5,,,,290.0,,,,,,27.5,,,,,21.3,,,,22.2,,,,23.8,,,,21.8,,,27.7,,,,,,240.0,,,,,,,,,,,,,,,,,,,22.9,,,,,,,,,,24.3,,,23.3,25.3,,,,,27.9,,,,,,,,,,,,,,,,,,22.5,,,,26.6,,,,24.8,,,,,,,,,,,,,,,,,,,,310.0,27.3,,,20.5,,,,,,26.6,,,,,,27.4,,,,,,,,,20.8,,210.0
4,1995,,,,,,,,,,,,,26.6,,,,,,,,,,,,,,,,,,,,26.6,,,,,22.6,22.2,,,,,,,,,23.4,250.0,,,,,,,22.3,,,19.5,,,,,,29.2,,,,,,,,,,,20.5,,,,,,,,24.2,30.9,,,22.2,,,,,24.6,,,27.7,,21.4,,21.7,26.1,270.0,,21.1,,,,,,,29.2,,,,,,,,,18.9,,21.9,,,230.0,,,,,26.3,,,,,28.2,,,20.1,,,,21.7,,,,,,,24.1,,,,22.7,,,,26.8,,,,,,,,,24.9,,,,,,,,,,,,,,,31.3,27.5,,,,,,,,,26.6,,,18.2,,24.4,,23.3,,,,,,,,,,
5,1996,,,,,,,,,27.7,,,,,,,,,,19.9,,,,,24.6,22.7,,,190.0,,,,,260.0,,,,,,,23.6,,,,,,,,23.9,25.1,,,21.3,,,,22.3,,,,,,,,22.9,29.6,,29.9,,,,,,,,,,18.4,,,,,20.3,28.6,24.7,31.4,,,,22.1,,28.7,,,,,,,,,,,25.2,,,,,,,23.2,,,,,,,,,,,,18.4,,,,,,,,23.6,,,,,18.6,28.6,30.4,25.4,,,,29.9,,,,,20.8,,23.1,,24.4,,,,,23.3,,,,240.0,,,,,,,,,,,27.9,,,,,,,,,,,31.5,27.7,,,20.5,,,,25.5,,,,,,,,,,23.3,20.6,,,,,,,20.3,
6,1997,,,,,,,,,280.0,,,,,18.6,,,,,,,,,,,,,,,,,,,26.4,,,18.1,,,,,,,,,,,,,25.1,,,,,,,,,,,,,,,,29.8,,,,,,,,,31.5,,,,,,,,,,25.1,26.5,,,21.8,,240.0,,,,,,,25.3,,,,,,20.3,,,,,27.9,,,,,,,,,20.6,,,,,,,,,,,20.8,,28.1,18.4,260.0,,,28.9,,,,,,30.3,,,21.3,,,,,,24.7,,25.3,23.2,,,,270.0,,,21.5,,,,,,,,,,,,,,,,,,,,27.7,31.8,,,,,,,,,,,,,,,,28.7,,,,,,22.2,,,20.7,,21.5
7,1998,,,,,,,,,,,,,,,,,,,,,,22.8,,33.2,,,,,,23.8,22.5,20.2,26.4,,,,,,,,,,,21.5,,,,,,,,,,,,,21.5,,,,,,,,300.0,,,,,,,210.0,,31.3,,,,,,,,,,25.5,26.8,,,,,,,,,,,,,,21.7,,,,,,,,,,,,,,,,,,,190.0,,,19.8,,,,,,,,22.5,,,,,,29.3,,,200.0,17.6,,30.5,,,21.7,,,,,23.5,250.0,,26.3,23.8,,,,,,,,,,,,,28.7,,,,26.9,,,,,,,,,,,320.0,28.2,,,,,,21.4,,,,220.0,,,,,,,,,,,,,,,,
8,1999,,,,,,,,,28.5,,23.9,,,,,22.8,28.7,,,,,,,,,,,18.9,,,,,26.5,,,,,,,,,,,21.9,,,,,,,,21.6,,,22.3,,,,,,,,,,,30.1,,,,,,,,31.3,,20.4,18.7,,,,,,,24.7,270.0,,19.7,,,,29.5,,250.0,28.4,,,,23.4,22.2,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,30.8,,,,,,,,24.3,25.2,,,26.1,,,,,,24.5,21.6,,,,,,,,22.6,,,,,,,,,,,,,,,,,20.4,,,,,,,,,,21.5,,,,,,230.0,,22.8,,,,22.2,210.0
9,2000,,24.3,,,,,22.2,26.8,,,24.3,27.4,,18.8,,,28.2,210.0,,29.8,,22.6,23.9,,23.1,,,,23.4,24.6,22.3,22.7,26.6,,18.4,18.5,,23.3,23.1,21.7,,,22.2,230.0,,,,,,,,,,,,22.7,,24.6,,24.5,20.6,,,,30.3,30.2,,22.1,20.2,220.0,,22.4,,30.8,,,,20.9,21.7,22.2,,,,26.5,,,,22.5,,25.4,,,250.0,28.6,,28.6,,,22.1,,27.1,,,21.1,,26.7,,,22.3,,,,,,,,20.1,18.9,25.1,21.8,,,21.3,22.6,22.7,,,220.0,23.7,,,250.0,27.5,,,,,,17.8,,31.4,,,,21.9,,,23.6,,,,,,,22.6,,28.2,19.6,,220.0,,19.3,26.5,,,29.5,,,,,,,,,,,,24.2,21.7,25.9,,28.3,,21.3,,24.1,,21.4,,28.1,,23.1,23.4,,,,,260.0,,21.5,,23.5,23.3,,,,20.9,
