,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,33.21,25.81,,28.81,,28.91,,,28.41,24.91,,,27.51,28.41,,30.51,,,,30.91,25.81,27.31,,27.61,,,,,29.41,,,,,,,28.61,24.61,,,,281.0,,,25.21,27.31,29.31,35.41,,,,,,,,,,,,30.91,,30.61,29.21,,,,,29.31,,29.41,34.21,34.41,,,28.11,30.11,,,,301.0,26.31,30.91,,241.0,,24.41,,27.91,28.81,,29.31,34.61,,,,,,,,,,,,,,,,,,,28.51,28.11,,,,27.91,,,,29.61,,,,,,,,,26.41,31.11,21.71,29.61,,28.81,,,27.21,30.41,,,26.51,,,,,,,26.71,,25.91,,26.91,28.31,28.71,23.11,,,,,,,25.51,28.51,,,,28.91,,28.41,,,35.11,34.51,,,,,32.71,29.61,,,,,,,,,,,,23.71,,,28.41,,,,,,,,,,,
1,1992,,,,,,,,,28.61,,,,,,,,,,,,,25.11,,,,,,,,,,,28.11,,,,25.81,,,,,,,,,,271.0,,32.31,,,,,,,281.0,25.31,,,,,,311.0,,,,,,,,29.61,,,34.21,,,26.11,,,,,,,26.51,31.31,,,,,,,,27.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.91,,,,25.11,,30.91,,,,,,25.81,,,,,,25.71,,,,28.81,,,,,27.71,,,,,,,,,,,,,,,,,,,32.91,,,,25.11,,,,,,,,,,,,28.91,,,,,,,,,24.71,,26.11
2,1993,,,,,,,,,28.91,,,,,,,,,,,,,,,,,,,261.0,,,,,28.51,,,,,,261.0,,,,,,,,,25.61,,,,261.0,,,,,,,,,,,,,,,,281.0,29.21,,301.0,26.21,,,,,,,,,,,,26.81,31.71,,24.31,,,,,,27.51,,,,,,,,,,,,,,,,,,,,,,,,24.91,,,,,,,,,,,,,,,,,,30.21,,,,,,31.11,24.71,,,,,,26.51,,,,,26.71,,,,28.91,,,30.31,,,,,,,,,,,,,,,,,,29.11,,,,29.91,,,,,,,,,,,,,,,29.21,,,,,,,,,,,
3,1994,,,,,,,,,29.21,,,,,,,,,,,,,,,,,,,,,,,,28.91,,24.41,,,,,,,,,28.11,,,,261.0,27.71,,,,,,,,,,,,25.61,,,,31.51,,,,,,30.31,,,,,23.61,,,,26.61,,,,27.11,,,,,,,291.0,,,,,,271.0,,,,,,,,,,,,,,,,,,,26.71,,,,,,,,,,26.51,,,24.91,29.81,,,,,30.51,,,,,,,,,,,,,,,,,,261.0,,,,29.31,,,,26.91,,,,,,,,,,,,,,,,,,,,33.31,301.0,,,25.11,,,,,,30.31,,,,,,29.61,,,,,,,,,24.81,,25.51
4,1995,,,,,,,,,,,,,29.61,,,,,,,,,,,,,,,,,,,,29.31,,,,,24.21,26.81,,,,,,,,,26.41,27.71,,,,,,,28.11,,,25.31,,,,,,31.61,,,,,,,,,,,,,,,,,,,27.51,32.51,,,25.81,,,,,27.61,,,30.71,,,,24.81,29.31,28.51,,23.91,,,,,,,321.0,,,,,,,,,241.0,,26.41,,,25.11,,,,,,,,,,30.81,,,23.71,,,,25.91,,,,,,,26.61,,,,26.21,,,,29.51,,,,,,,,,,,,,,,,,,,,,,,,33.61,30.21,,,,,,,,,,,,22.51,,26.61,,,,,,,,,,,,
5,1996,,,,,,,,,29.91,,,,,,,,,,,,,,,,25.41,,,26.61,,,,,28.51,,,,,,,28.51,,,,,,,,26.81,27.71,,,25.51,,,,271.0,,,,,,,,26.11,31.91,,32.11,,,,,,,,,,28.41,,,,,,30.71,27.81,32.91,,,,25.31,,301.0,,,,,,,,,,,27.61,,,,,,,271.0,,,,,,,,,26.41,,,25.81,,,,,,,,,,,,,221.0,31.21,32.51,27.21,,,,32.51,,,,,,,26.51,,27.41,,,,,24.81,,,,27.71,,,,,,,,,,,30.31,,,,,,,,,,,33.81,30.31,,,25.11,,,,281.0,,,,,,,,,,25.61,,,,,,,,251.0,
6,1997,,,,,,,,,30.21,,,,,,,,,,,,,,,,,,,,,,,,29.11,,,24.11,,,,,,,,,,,,,27.71,,,,,,,,,,,,,,,,32.11,,,,,,,,,33.71,,,,,,,,,,28.21,28.21,,,25.81,,26.91,,,,,,,28.61,,,,,,,,,,,31.41,,,,,,,,,,,,,,,,,,,,,,30.11,22.81,,,,31.51,,,,,,32.81,,,25.61,,,,,,27.61,,27.71,26.61,,,,29.81,,,,,,,,,,,,,,,,,,,,,,,,341.0,,,,,,,,,,,,,,,,30.81,,,,,,26.11,,,,,261.0
7,1998,,,,,,,,,,,,,,,,,,,,,,25.41,,36.91,,,,,,28.41,24.21,26.71,29.11,,,,,,,,,,,28.51,,,,,,,,,,,,,,,,,,,,,32.21,,,,,,,26.61,,33.71,,,,,,,,,,28.51,28.51,,,,,,,,,,,,,,26.31,,,,,,,,,,,,,,,,,,,23.41,,,28.21,,,,,,,,,,,,,,31.91,,,22.61,23.91,,331.0,,,25.81,,,,,,27.81,,28.71,27.11,,,,,,,,,,,,,31.31,,,,,,,,,,,,,,,34.21,30.71,,,,,,271.0,,,,25.41,,,,,,,,,,,,,,,,
8,1999,,,,,,,,,30.71,,271.0,,,,,25.41,31.21,,,,,,,,,,,26.41,,,,,29.31,,,,,,,,,,,281.0,,,,,,,,24.31,,,,,,,,,,,,,,32.21,,,,,,,,33.51,,,27.71,,,,,,,28.31,28.91,,24.91,,,,30.91,,27.91,31.51,,,,26.11,26.41,,,,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.61,,,33.31,,,,,,,,271.0,281.0,,,,,,,,,28.41,,,,,,,,,26.11,,,,,,,,,,,,,,,,,24.71,,,,,,,,,,,,,,,,25.31,,25.41,,,,26.61,25.71
9,2000,,28.51,,,,,26.11,29.91,,,27.31,29.91,,,,,30.71,23.71,,31.31,,24.51,281.0,,26.21,,,,26.21,28.81,,28.11,29.41,,24.81,25.21,,25.11,271.0,26.81,,,261.0,29.11,,,,,,,,,,,,28.21,,28.61,,26.71,25.81,,,,32.41,32.31,,26.21,291.0,,,27.11,,33.11,,,,28.11,27.21,27.21,,,,29.31,,,,25.91,,27.91,,,281.0,31.81,,30.81,,,25.21,,30.31,,,23.21,,28.61,,,26.71,,,,,,,,23.91,23.51,28.61,25.71,,,28.31,28.51,251.0,,,25.41,25.71,,,26.91,30.11,,,,,,24.81,,33.71,,,,25.81,,,,,,,,,,25.51,,30.41,231.0,,29.71,,26.61,301.0,,,31.91,,,,,,,,,,,,29.71,27.51,30.11,,31.11,,24.11,,27.41,,28.21,,31.41,,26.11,,,,,,27.81,,24.11,,26.51,261.0,,,,25.41,
