,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,2.51,210.0,,2.2999999523162806,,,,,,,0.4000000059604641,,0.4000000059604641,,,,,1.7999999523162808,,,,0.51,,,,,,,,,,,,,,,,,2.099999904632571,,,,,,1.299999952316281,,4.599999904632571,1.1000000238418608,,,3.51,,,,,0.4000000059604641,,,,,,2.2999999523162806,,,,,2.2999999523162806,,2.400000095367431,,2.2000000476837207,,,,,,,0.6000000238418581,,,,,,,,,2.2999999523162806,,,0.4000000059604641,0.8999999761581421,,,,,,,,,,,,,,,,,,,2.099999904632571,,,,,210.0,,,,,,,,,,,,,,,,1.6000000238418608,,,,,,,,,,,,4.3000001907348615,2.2999999523162806,,,2.5999999046325706,,3.5999999046325715,,,,,0.1000000014901161,,0.1000000014901161,,,2.2999999523162806,,,,,,,,,1.700000047683721,,2.51,,3.2000000476837207,,,,,,3.0999999046325715,,,0.3000000119209291,0.8000000119209291,,,,1.7999999523162808,,,,,,,2.099999904632571,,,,,,,,,,0.3000000119209291,
1,1992,,,,,,2.400000095367431,,,,,,,,,0.20000000298023207,,0.51,,,,,2.5999999046325706,,,1.6000000238418608,,,,,,,,,,,,2.2000000476837207,,210.0,,,,1.7999999523162808,,,,,,1.299999952316281,,,1.6000000238418608,,,4.199999809265141,,,,,0.699999988079071,,,,,,2.2999999523162806,,,,,2.400000095367431,,2.5999999046325706,,,,,,,,,0.51,,0.699999988079071,,,,,,,2.51,,,8.300000190734862,0.699999988079071,,,,,,,,,,,,,,,,,,,2.2999999523162806,,,,,,,,,,,,,,,,,,,,,1.299999952316281,,,,,,,,,,1.299999952316281,,4.8000001907348615,1.51,,,3.2999999523162806,,2.5999999046325706,10.0,,,,,0.20000000298023207,,,,2.400000095367431,,,,,,,,,2.099999904632571,,,,,,,,,,3.5999999046325715,,,,110.0,,,,2.2000000476837207,,,,,,,1.7999999523162808,,,,,,,,,,,
2,1993,,,,,,3.2000000476837207,,,,,,,,,0.51,,0.8000000119209291,,,,,2.900000095367431,,,1.6000000238418608,,,,,,,,,,,0.1000000014901161,,,210.0,,,,2.2999999523162806,,,,,1.399999976158141,1.200000047683721,,,1.6000000238418608,,,5.699999809265141,4.199999809265141,310.0,,,0.8999999761581421,,,,,,2.2000000476837207,,0.20000000298023207,,,2.51,,2.7000000476837207,,,,,,,,,,1.700000047683721,1.1000000238418608,,,,,,,2.7000000476837207,,,7.099999904632571,0.8999999761581421,,,,,,,,,,2.06810575301861,,,,,,,,,2.5999999046325706,,,0.699999988079071,,,,,,,,,,,,,,,,,,1.399999976158141,,,1.7999999523162808,,,,0.51,,,1.299999952316281,,4.199999809265141,2.2999999523162806,,,3.5999999046325715,,110.0,0.1000000014901161,,,,,,,,,2.51,,,1.7999999523162808,,,,,,2.099999904632571,0.699999988079071,,3.7999999523162806,,,,,,,3.5999999046325715,,,,0.8000000119209291,,,,2.099999904632571,,,,,,,1.7999999523162808,,,,,,,,,,,
3,1994,,,,,,2.400000095367431,,5.3000001907348615,,,,,,,0.4000000059604641,,0.51,,,,,3.51,,1.200000047683721,,,,10.0,,,,,,,,,2.2999999523162806,,2.7999999523162806,,,,3.7000000476837207,,,,,1.6000000238418608,1.6000000238418608,,,1.1000000238418608,,,510.0,4.400000095367432,3.2000000476837207,,,1.200000047683721,1.299999952316281,,,,,2.2000000476837207,,,,,2.7999999523162806,,2.5999999046325706,,,2.2000000476837207,,,,,,1.51,1.7999999523162808,110.0,,,0.699999988079071,,,,2.5999999046325706,,,7.699999809265141,1.200000047683721,,,,,,,,,,,,,,,,,,,2.5999999046325706,,,,,,,,,,,,,,,,0.6000000238418581,,,0.4000000059604641,,1.7999999523162808,,,,,,,,,,1.51,,5.3000001907348615,2.900000095367431,,,3.5999999046325715,,0.699999988079071,0.20000000298023207,,,,,,,,,2.51,,0.8999999761581421,210.0,,,,,0.7035947708763141,2.400000095367431,0.8999999761581421,,6.199999809265141,,,,,,,3.51,,,,0.8000000119209291,,,,1.7999999523162808,0.8999999761581421,,,,,,1.7999999523162808,,,,,1.7999999523162808,,,,,,0.20000000298023207
4,1995,,,,,,2.2999999523162806,,,,2.7000000476837207,,,,,0.20000000298023207,,0.699999988079071,2.7000000476837207,,,,3.2999999523162806,,,210.0,,,,,,,,,,,,,,2.51,,,,3.2000000476837207,,,,,2.099999904632571,1.7999999523162808,,,1.700000047683721,,,4.199999809265141,5.599999904632571,2.900000095367431,,,1.200000047683721,,,,,2.2999999523162806,2.2999999523162806,,,,,2.5999999046325706,,2.2999999523162806,,,,,,,,,2.2999999523162806,1.7999999523162808,110.0,3.7000000476837207,,,,,,2.400000095367431,,,8.100000381469732,1.51,,,,,,,,,0.1000000014901161,2.223584725466011,,,,,,,,,3.900000095367431,,,,,0.699999988079071,2.2999999523162806,,,,,,,,,,,,,,,1.7999999523162808,,,0.699999988079071,,,2.2000000476837207,,,0.3000000119209291,1.299999952316281,,,2.7000000476837207,,,3.5999999046325715,,0.8000000119209291,0.20000000298023207,,,,,,,,,,,1.1000000238418608,210.0,,,,,,2.400000095367431,1.1000000238418608,,4.8000001907348615,,,,2.2999999523162806,,1.700000047683721,3.7000000476837207,,,,1.299999952316281,,,,2.2000000476837207,,,,,,,1.700000047683721,,,,,2.099999904632571,,,,,,
5,1996,,,,,,2.400000095367431,,,,2.7000000476837207,,,,0.1000000014901161,0.20000000298023207,,0.6000000238418581,3.900000095367431,,,,3.7999999523162806,,,2.099999904632571,,,,,,,1.6000000238418608,,,,,,,2.7999999523162806,,,,4.400000095367432,,3.2000000476837207,,,2.099999904632571,1.51,0.8999999761581421,,210.0,,,4.199999809265141,,2.5999999046325706,,,1.200000047683721,,,,,1.7999999523162808,2.2000000476837207,,,,,2.51,,2.7999999523162806,,4.900000095367432,,,,,,,2.2000000476837207,1.7999999523162808,1.1000000238418608,410.0,,,,0.8999999761581421,,2.400000095367431,,,8.39999961853027,1.51,,,,,,,,,,2.3376455421474707,1.7999999523162808,,,,,,,,3.7999999523162806,110.0,1.6000000238418608,,,0.8000000119209291,,,,,,,,,,,,,,,,1.8999999761581408,,,0.8000000119209291,,,1.1000000238418608,0.4000000059604641,,0.3000000119209291,1.51,,3.51,2.51,,,3.7000000476837207,,0.699999988079071,0.20000000298023207,10.0,,,,,,,,2.2999999523162806,,1.1000000238418608,2.099999904632571,,,,,,2.5999999046325706,0.51,,410.0,,,,1.399999976158141,,1.700000047683721,7.599999904632571,,,,1.1000000238418608,,,0.3000000119209291,2.400000095367431,,,,,,,1.6000000238418608,,,,,1.8999999761581408,0.4000000059604641,,,,0.4000000059604641,
6,1997,,,,,,2.400000095367431,,,,2.900000095367431,,,,,0.20000000298023207,,0.4000000059604641,,,,,2.7999999523162806,,,,,,,,,,,,,,,,,2.7999999523162806,,,,3.5999999046325715,,2.7999999523162806,,,2.2000000476837207,1.6000000238418608,,6.300000190734861,1.200000047683721,,,4.51,4.51,310.0,,,1.1000000238418608,,,,,2.099999904632571,2.2000000476837207,,,,,2.5999999046325706,,2.7999999523162806,,,,,,,,,2.2999999523162806,1.7999999523162808,1.51,3.7000000476837207,,,,,,2.5999999046325706,,,8.199999809265138,1.8999999761581408,,,,,,,,,,,1.700000047683721,,,,,,,,3.400000095367431,0.699999988079071,1.700000047683721,,,0.8000000119209291,,,,,,,,,,,,,,3.7999999523162806,,210.0,,,1.1000000238418608,,,1.1000000238418608,,,0.20000000298023207,1.51,,3.5999999046325715,2.7999999523162806,,2.400000095367431,3.7000000476837207,10.0,0.6000000238418581,0.8999999761581421,,,,,,,,,2.400000095367431,,1.299999952316281,210.0,,,,,,2.7000000476837207,0.8999999761581421,,3.2000000476837207,,,,110.0,1.299999952316281,1.700000047683721,8.199999809265138,,,,0.8999999761581421,,,,2.7999999523162806,,,,,,,1.7999999523162808,,,,,1.8999999761581408,0.1000000014901161,,,,,0.3000000119209291
7,1998,,,,,,2.400000095367431,,,,3.0999999046325715,,,,,0.51,,0.8000000119209291,,,,,,,,,,,,,,,,,,,,,,2.400000095367431,,,,410.0,,3.2000000476837207,,,2.2000000476837207,1.7999999523162808,,,1.8999999761581408,,,4.599999904632571,5.699999809265141,1.8999999761581408,,,1.51,,,,,210.0,2.2000000476837207,,,,0.4000000059604641,2.5999999046325706,,2.900000095367431,,4.099999904632571,1.700000047683721,,,,,,2.5999999046325706,1.700000047683721,1.700000047683721,3.400000095367431,,,,,,2.900000095367431,,,7.699999809265141,1.700000047683721,,,,,,,,,,,1.8999999761581408,,,,,,2.400000095367431,,2.5999999046325706,0.8000000119209291,2.2999999523162806,,,0.8000000119209291,,,,,,,,,,,0.51,,,,,1.8999999761581408,,,1.6000000238418608,,,110.0,,,0.1000000014901161,1.7999999523162808,,3.400000095367431,3.2999999523162806,310.0,2.7000000476837207,3.51,,0.6000000238418581,0.8999999761581421,,,,,,,,,1.8999999761581408,,1.399999976158141,1.7999999523162808,,,,,,2.900000095367431,0.6000000238418581,,4.3000001907348615,,,,0.20000000298023207,,1.7999999523162808,7.900000095367432,,,,1.200000047683721,,,,2.2000000476837207,,,,,,,1.700000047683721,,2.2999999523162806,,,1.6000000238418608,10.0,,,,0.4000000059604641,
8,1999,,,,,,2.51,,,,310.0,,,,,0.20000000298023207,,2.2999999523162806,,,,,1.399999976158141,,,,,,,,,,,,,,,,,2.900000095367431,,,,4.400000095367432,,3.2999999523162806,,1.200000047683721,2.099999904632571,1.700000047683721,,2.5999999046325706,2.7999999523162806,,,4.8000001907348615,5.9000000953674325,2.51,,,1.8999999761581408,0.3000000119209291,,,,2.2999999523162806,2.2000000476837207,,,,0.3000000119209291,2.5999999046325706,,3.2000000476837207,,,,,,,,,1.8999999761581408,1.7999999523162808,1.8999999761581408,3.400000095367431,,,,,,2.7999999523162806,,,8.300000190734862,1.700000047683721,,,,,,,,,,,2.5999999046325706,,,0.8000000119209291,,,1.51,,4.099999904632571,110.0,310.0,,,0.8000000119209291,,,,,,,,,0.20000000298023207,,0.3000000119209291,,,,,2.2000000476837207,,,1.399999976158141,,,110.0,,,0.1000000014901161,1.700000047683721,,2.5999999046325706,310.0,2.7000000476837207,2.7000000476837207,3.2000000476837207,,0.51,0.6000000238418581,,,,,,,,,2.5999999046325706,,1.299999952316281,2.2999999523162806,,,,,,3.400000095367431,0.6000000238418581,,3.51,,,,,,1.7999999523162808,7.800000190734861,,,,1.200000047683721,,,,2.2999999523162806,,,,,,,1.51,,2.2000000476837207,,,1.8999999761581408,0.1000000014901161,,,0.4000000059604641,,0.1000000014901161
9,2000,,,,,,2.900000095367431,,3.900000095367431,,3.0999999046325715,,,,0.1000000014901161,0.20000000298023207,,2.2999999523162806,,,,,110.0,,,210.0,,1.299999952316281,,,1.6000000238418608,10.0,,,,,,,,2.51,,,,2.900000095367431,,3.2000000476837207,,1.6000000238418608,2.2000000476837207,1.51,,,1.7999999523162808,,,2.099999904632571,4.51,3.0999999046325715,,,1.8999999761581408,,,,,2.2999999523162806,2.099999904632571,,,,0.4000000059604641,2.5999999046325706,,3.7999999523162806,,,1.6000000238418608,,,,,,,1.700000047683721,310.0,4.099999904632571,,0.4000000059604641,,,,2.7000000476837207,,,8.39999961853027,1.6000000238418608,,1.8999999761581408,,,10.0,,,,,2.163284242572251,2.400000095367431,,,,,,1.1000000238418608,,3.7999999523162806,0.8999999761581421,1.7999999523162808,,,0.8000000119209291,1.1000000238418608,,1.700000047683721,,1.700000047683721,,,,0.3000000119209291,0.8000000119209291,,,,610.0,,1.700000047683721,,,1.1000000238418608,,,110.0,0.6000000238418581,,0.1000000014901161,1.6000000238418608,,,2.900000095367431,2.5999999046325706,2.7000000476837207,3.51,,0.51,0.51,,,,,,,,,,,1.51,1.7999999523162808,,,,,0.3487919589418241,3.400000095367431,0.8000000119209291,,3.0999999046325715,,,,,,1.7999999523162808,7.800000190734861,,,,1.700000047683721,,,,2.5999999046325706,,,,,,,1.700000047683721,,2.2000000476837207,,,1.8999999761581408,0.1000000014901161,,,,0.20000000298023207,
