,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,11.479630470275913,,,,,,,,13.682189941406312,10.323690414428713,,13.918190002441412,,,,14.195599555969212,,,,,,,10.673299789428713,,,12.243800163269135,,4.071780204772951,,,,17.492769241333132,,3.6161999702453613,,,,9.285289764404313,,,,,,,12.642900466918912,9.45596027374268,11.66539001464841,14.399939537048313,,,,8.736581300000001,8.3970313,,8.69775009155273,,,,,2.253619909286513,10.8786613,,,15.952500343322814,14.758179664611811,,,,12.182370185852113,,,,,,,1.7718000411987311,,,,4.4903213,8.748959541320813,,11.156599998474114,,5.8213212999999975,,,,,12.289560317993212,,13.302330017089815,12.942079544067411,,13.144459724426312,12.014450073242214,,,10.979769706726112,13.08547019958513,,,,11.7755513,12.787019729614313,4.5035113,,10.958069801330614,,,,7.6559213,,,,,4.9880900382995605,,,1.5650700330734313,12.644009590148912,3.0802099704742414,,,,8.3285313,,,5.2855601310731295,,,11.540690422058113,5.523709774017331,14.652580261230511,,14.919930458068812,,,,14.531299591064515,7.782390117645261,8.5291713,,,,,,,12.456480026245112,12.574749946594212,12.591159820556614,10.924289703369114,,,,,,,,11.515110015869114,,,,,,9.5836613,5.503990173339841,,12.110610008239712,5.8502813,14.621250152587912,,,,,5.4991913,,,,13.293230056762711,13.027020454406712,9.23001003265381,,5.450180053710941,,,5.619029998779314,,11.068349838256813,9.64037990570068,7.761260032653811,,,,11.709540367126513,14.037810325622615,15.843589782714815,,,,,,,8.4770813,,,
1,1992,,10.751210212707512,,,,,,,,13.976679801940913,10.315730094909714,,13.785229682922411,,,,,,,,,,,,,12.598079681396511,12.123700141906712,,3.8629798889160214,,,,17.63515090942381,,3.1301200389862114,,,,,,,10.032569885253912,,,,12.582010269165131,9.51753044128418,12.059940338134814,14.49553012847913,2.3322999477386515,,,8.784491300000001,8.462031300000001,,,,,,13.017530441284213,,10.7864113,,,16.683380126953114,15.101869583129911,,,,,14.47768974304213,,13.371979713439913,,,,,,,,4.4029713,,,11.245240211486811,,5.9456612999999985,,,,,12.478919982910213,,,13.262610435485813,,13.250169754028313,12.347009658813512,,,11.113880157470712,13.180720329284716,7.06855010986328,,,11.833813,12.714710235595712,4.5411513,12.208209991455115,10.857799530029313,,,,7.7328913,,11.633230209350613,,,,,,1.6661800146102912,12.807009696960412,3.4392299652099614,,,,8.3626313,,,5.399819850921631,2.9396901130676314,6.806660175323491,,,14.610819816589412,,15.297309875488311,,,,14.798339843751302,8.366040229797362,8.628051300000001,,,,,,,12.471659660339412,,12.590279579162614,10.480540275573713,,,,,,,3.674870014190672,11.622489929199213,,,,,,9.6441113,5.867829799652113,,,6.0525913000000005,14.905650138855133,,12.874219894409213,,,5.4961413,,,,13.553159713745112,13.180620193481412,9.186499595642092,,5.374179840087892,,,5.3201799392700195,,10.952790260314913,9.84150981903076,7.899519920349122,,4.415890216827392,,11.528470039367713,14.38094043731691,,,,,,,,8.5578213,,,9.349049568176273
2,1993,,10.340860366821312,,,,,,,17.29832077026371,14.049590110778814,10.110870361328113,,13.998370170593311,,,,16.77655982971191,,,,,,,10.523260116577118,,12.857049942016616,12.12617969512941,,4.086969852447512,,,,17.039850234985412,,,,11.993860244751135,,,,,,,,11.01834964752213,12.542869567871113,12.418390274047912,12.077520370483413,14.767450332641616,2.237920045852661,,,8.792081300000001,8.469861300000002,,,,,,12.554909706115716,,10.6931313,,,16.71813964843751,15.190389633178713,,,,,14.865139961242713,,13.308779716491713,,,,1.9070700407028207,,,,4.4218913,,,,15.637740135192912,6.1269513,,9.270990371704114,,,12.888890266418512,,13.718759536743212,13.61227989196781,,,12.32102012634281,,,,13.539110183715813,8.27929019927979,,5.874090194702151,11.8365913,,4.6270113,,10.49518966674813,,,11.863189697265613,7.8231713,,11.859849929809613,10.602820396423313,,6.4605398178100595,,,1.8739500045776407,13.003629684448216,3.9481899738311808,,10.234069824218812,,8.5372713,,,5.633059978485111,2.921220064163212,6.956709861755371,,,14.970159530639613,,16.191249847412113,,,,15.248999595642113,8.895409584045412,8.5677813,,,,9.36946964263916,,,12.956580162048313,14.628589630127133,13.345379829406712,10.247489929199213,,,,,,,,11.786999702453613,,,,11.927009582519512,12.411459922790511,9.5706913,6.21331977844238,,,6.3183313,15.432259559631312,,13.127420425415131,14.035260200500511,,5.5583513,,,,15.762999534606912,13.426079750061133,9.200489997863773,,5.409570217132571,9.16672039031982,,,,11.012929916381813,10.135680198669412,8.04088020324707,,,,11.493410110473613,,16.33297920227051,,,,,,,8.626011300000002,,,
3,1994,,10.141130447387713,,,,,,,17.28479957580571,14.386839866638212,9.784970283508313,,14.099470138549812,,,,17.08783912658691,,,,,,,10.35095977783213,,12.909529685974116,12.141670227050811,2.2190499305725115,,,,,17.141220092773413,,,,,8.39628028869629,,,,,,,11.497500419616713,11.782850265502914,12.493740081787115,12.199509620666511,15.110260009765613,2.335180044174192,,,8.823811300000003,8.500511300000001,,,,,,12.892700195312512,1.8054599761962915,10.6131813,,,17.070760726928714,15.82730960845951,,,,,15.118229866027812,,13.125969886779812,,,,2.039259910583513,,,,4.4848113,,,12.422980308532713,15.932370185852113,6.2284812999999986,,,,,13.119529724121113,,,14.131620407104512,,13.967479705810511,12.167050361633313,,,,13.796170234680213,9.911219596862793,,6.112830162048341,11.8200513,,4.7431613,,10.844809532165511,,,,7.889851299999999,,,10.76126956939713,,6.852230072021482,,,,12.989569664001513,4.629960060119632,,10.342849731445312,,8.8572713,,,5.896269798278811,2.9976799488067614,,12.318360328674311,,16.910829544067408,,16.931720733642617,,,,16.25934982299813,9.284830093383793,8.783513000000001,,,,,,,13.216569900512711,15.011079788208132,13.77595996856691,10.25279998779313,,,,,,,,12.113780021667507,,,,12.026559829711912,12.58164024353031,9.736281300000002,6.519070148468021,,13.144800186157212,6.4704112999999985,15.738160133361811,11.925769805908212,,,,5.5800513,,,,16.210199356079112,13.600810050964412,9.114179611206053,,5.345829963684081,,,5.378870010375981,,,10.674770355224613,8.25825023651123,,5.167500019073491,12.358200073242214,,,16.366470336914112,,,,,,,8.6905613,,,
4,1995,,10.086389541626133,,,,,,,18.826709747314514,14.532549858093311,10.254159927368214,12.078840255737312,14.107489585876513,,,,17.537750244140614,,,,,,,10.769650459289613,,,12.544099807739313,,,,,,17.167800903320312,,,,,,10.220359802246113,,,,,,11.399359703064132,11.692529678344712,12.645000457763713,12.480739593505913,15.354590415954613,,,,9.0069213,8.6848513,,,,,2.983089923858641,13.178739547729512,1.919049978256232,10.7138113,,,17.12863922119141,15.91594028472913,,,4.402679920196531,10.96638965606691,15.350179672241213,,13.391449928283713,,,,,,,,4.6359613,,,12.603139877319313,16.021909713745114,6.2677713,6.8733901977539125,9.596890449523931,,,13.270139694213913,,,14.182399749755913,,14.057200431823714,,,,11.213270187377914,14.139100074768114,11.838290214538612,,5.950139999389651,11.894413,,4.9175113,,,,,12.309829711914112,7.980251299999999,,,11.036179542541511,,9.832579612731934,,,2.347330093383792,13.124250411987312,4.803410053253171,,10.527549743652314,,8.894211300000002,11.254409790039112,,6.173890113830571,3.2016699314117414,,12.081549644470213,,16.464380264282212,,17.07489967346191,,,,15.689669609069812,9.559419631958011,8.9000813,,,4.687170028686522,,,,13.246669769287115,15.345000267028814,14.003660202026413,10.424719810485813,,,,,,,,11.915860176086412,,,,12.244400024414112,12.908619880676312,9.796111300000002,,,,6.4924113,15.986579895019512,,,,,5.6610413,,,,16.681510925293132,13.801730155944812,9.03868007659912,,5.3089699745178205,,,6.07585000991821,,,10.981739997863812,8.37957000732422,,,,,,16.44573020935061,,,,,,,8.7760513,,,
5,1996,,10.184599876403812,,,,,,,19.42390060424813,14.643750190734911,10.053380012512212,,13.98789978027341,,,,17.873180389404315,,,,,,,,,,13.048709869384814,,,,,,17.21974945068361,,,2.1682500839233407,,,10.633040428161612,,,,,,11.491390228271511,11.864740371704116,12.799650192260716,13.181150436401413,15.677220344543512,2.408809900283812,,,9.1886213,8.8609913,,,,,3.125550031661992,13.594229698181213,2.1475501060485813,10.8404313,,,17.437929153442408,16.01052093505861,,,,10.980529785156312,15.567850112915131,,13.381999969482413,,,,2.3628599643707315,,,,4.6587513,,,13.354760169982912,16.164850234985412,6.316771299999999,6.942719936370852,9.702630043029794,,,13.409999847412115,,,14.390279769897509,,,12.309020042419412,,,11.400289535522509,14.487939834594712,13.393320083618212,,6.4550199508667125,11.9991713,,5.0297313,13.028289794921912,10.760319709777812,,,12.818869590759313,8.0655513,,,11.242819786071813,,9.670109748840332,,,2.530869960784912,13.458330154418912,5.05110979080213,,10.689979553222713,,9.0055213,,8.974309921264652,,,,,,16.659120559692408,,17.498569488525412,,,,15.919619560241713,9.709280014038091,8.9860313,,,,10.28137969970713,,,13.511699676513713,15.811809539794913,14.495770454406712,10.921979904174812,,,,,,,,12.054960250854512,,,,12.397850036621113,13.162010192871113,9.833131300000002,,,,6.5807613,16.18650054931641,,,,,5.5939513,,,,17.202930450439514,13.923899650573714,,,5.258629798889161,,,6.456769943237313,,,11.264530181884814,,,,,,,16.368909835815412,,,,,,,8.8628713,,,
6,1997,,10.418910026550313,,,,,,,20.49671936035161,14.775830268859911,9.895239830017092,,,,,,,,,,,,,,,,13.177889823913612,,,,,,,,,2.5397100448608407,,,,,,,,,11.624930381774911,12.049280166626135,12.811200141906712,13.406359672546413,,2.4499399662017813,,,9.3418313,8.9932113,,,,,,,,10.8209113,,,17.525510787963913,15.993129730224615,,,,11.153989791870112,15.770680427551312,,13.502369880676312,,,,,,,,4.9083213,,,13.236530303955115,,6.4715913,7.0405597686767605,,,,13.694199562072814,,,14.780070304870613,,,,,,,14.960100173950211,13.920129776001135,,6.638490200042722,12.0859513,12.998709678649911,5.2588413,,,,,13.300270080566412,8.1819513,,,11.390839576721213,,,,,2.8015699386596715,13.473210334777812,5.216889858245851,,10.840490341186511,,9.2652413,,9.222789764404313,6.513189792633061,,,11.715319633483913,,16.422819137573217,,17.942369461059613,,,,16.313430786132812,9.887820243835453,8.9985913,,,,,,,14.08915042877213,,,11.030940055847214,,,,,,,,,,,,12.490859985351612,13.510680198669412,9.8650913,,,,6.6934812999999975,16.020709991455117,,,,,5.8200713,,,,18.173589706420923,,,,5.3003897666931215,,,,,,11.41411972045913,8.498359680175781,,,,,,,,,,,,,8.996813000000003,,,
7,1998,,,,3.7716801166534406,,,,,20.370260238647514,15.675930023193413,,,,,,12.917830467224116,,,,,,,,11.367250442504911,,13.250559806823714,13.251210212707512,,,,,,16.35720062255861,,,2.918200016021732,12.748140335083132,,11.450909614563134,,,,,,11.966790199279812,,,13.077090263366713,16.242099761962912,,,,9.4614513,9.1006613,,,11.247799873352113,,,14.770839691162115,,10.8756613,,,17.767339706420916,15.916529655456513,,,,,,,14.249429702758812,,,,,,,,5.0667813,,,13.67574024200441,17.201799392700213,6.5350113,,,,,16.348110198974613,,,15.044790267944313,,14.265520095825211,,,,,14.676580429077113,,,6.884510040283213,12.2822813,13.521430015564132,5.4509113,,,,,13.868160247802713,8.2538413,,,11.517020225524911,,,,10.621359825134311,3.125210046768192,13.850399971008313,5.8040499687194815,,11.088930130004911,,9.5211513,,9.640430450439453,6.655970096588131,,,11.945509910583512,,16.431549072265614,,18.053209304809613,,,,17.321010589599613,10.061369895935114,9.1529813,,,5.333960056304932,,,11.45952987670913,14.523989677429213,16.270950317382812,14.127719879150412,11.20244979858413,,,12.490200042724615,,,,,12.069459915161113,,,,13.031479835510314,14.093959808349615,9.9591413,,,,6.6913313,16.053369522094712,,,,,5.9944713,,,,20.13615989685061,14.497659683227512,,,,,,,,,,,,,,,15.702890396118212,16.715440750122113,15.090239524841314,,,,9.754890441894533,,9.075061300000002,,,
8,1999,,10.650850296020511,,,,15.821240425109911,,13.48204040527341,20.846979141235405,15.279720306396511,,,13.687580108642615,,14.657730102539112,,18.50293922424321,,4.678359985351562,,6.5281701087951705,,,11.740489959716813,,13.563039779663113,13.330039978027315,2.7627899646759126,,,,,16.312829971313512,,,,13.292070388793912,,11.626910209655811,7.444499969482421,,,,5.2709498405456525,12.369549751281712,12.243320465087912,12.682040214538612,13.518679618835412,17.03181076049813,2.455529928207413,,,9.6781713,9.295161300000002,,,11.174209594726612,,3.355530023574832,15.047510147094712,2.9516100883483922,11.034313,,,18.005659103393615,15.954819679260314,,11.905019760131813,,11.461119651794412,,7.1016998291015625,14.232460021972713,,,,,,,,5.1993813,,,14.122329711914112,17.3991909027113,6.616231299999999,,10.441909790039114,10.927989959716813,7.3630499839782715,16.696090698242212,,15.562709808349615,15.096599578857413,,14.330300331115716,,12.289879798889213,,10.435370445251511,14.828490257263212,14.721920013427713,11.600790023803713,7.012680053710941,12.448131300000002,14.418060302734412,5.6212313,15.263730049133313,10.300230026245114,7.060249805450442,,14.497309684753413,8.3637113,,,11.704230308532713,,10.000020027160614,,11.373359680175811,3.4932100772857715,13.614729881286616,6.048319816589363,11.997710227966314,11.320779800415131,,9.7714313,11.584670066833512,9.799839973449712,7.141479969024661,4.484320163726811,,11.646769523620613,,16.28647994995121,,17.88608932495121,,,6.855649948120121,17.664239883422912,,9.2040313,,12.579509735107413,,11.599100112915131,,11.654669761657713,14.966529846191412,15.837030410766616,14.120160102844212,11.723879814147912,,,12.420149803161616,,,,,12.638429641723613,,,,13.187239646911616,15.051639556884814,9.9694913,6.695630073547361,,,6.7600612999999985,16.06571006774913,,,,,6.1155813,,,9.174349784851072,20.358900070190405,14.613650321960412,,8.72972965240479,,,,,14.093480110168512,,12.526080131530811,9.32966041564941,,,13.486929893493713,,16.09552955627441,,14.817709922790511,10.468230247497614,9.40511989593506,,,,9.1959613,4.775259971618652,,9.40104961395264
9,2000,,10.60564041137713,,,,16.335460662841815,11.500840187072814,13.313579559326213,20.962409973144513,15.481860160827615,,,,,14.897990226745613,,18.85777091979981,,4.940670013427732,,,,,11.929519653320312,,13.512740135192912,13.196330070495613,,,,6.772570133209231,,16.233070373535213,,,3.374010086059572,13.489600181579613,,11.674489974975613,,,,,,12.499489784240716,12.430049896240213,12.602069854736312,13.956199645996113,16.775739669799812,2.4021699428558407,,,9.8494213,9.4450513,,,11.385600090026912,6.598569869995121,3.7290000915527313,15.811809539794913,3.355319976806641,11.118313,,,18.436630249023413,15.871109962463413,,,,11.680509567260716,,7.4496798515319815,14.583299636840813,,,,,,,,5.4384313,,,14.468830108642615,17.76885032653811,6.8389413,7.253799915313723,10.383079528808613,11.010740280151413,7.4301900863647505,16.920820236206115,,15.549639701843311,15.234129905700712,11.175720214843812,14.456230163574213,12.975580215454116,12.602080345153814,8.200719833374022,10.795260429382312,14.935339927673313,,11.906840324401912,7.0197501182556215,12.5893413,15.105360031127914,5.8690612999999985,15.360600471496612,10.84869003295913,8.75446033477783,,15.214900016784716,8.5113613,,,11.786910057067912,,9.542989730834961,,11.885319709777812,3.761519908905031,13.712820053100613,,12.076219558715813,11.577010154724116,,9.9072313,11.659110069274911,10.298460006713913,7.662620067596443,4.894080162048341,,,7.580299854278562,16.54772949218751,,18.182540893554712,,,7.123149871826171,18.19042015075681,,9.4358413,,12.918629646301312,,11.848150253295913,,,15.123789787292507,16.097620010376133,,11.898079872131312,,,12.381059646606412,,,,,12.705479621887212,,,,13.395799636840813,15.363519668579116,10.0834813,6.227310180664063,,,6.9961512999999975,16.129880905151413,,,,13.27404022216813,6.3101913,,,9.01663970947266,20.47027969360352,14.79821014404313,,8.787619590759281,,,,7.4911599159240705,,,12.962369918823216,,,10.332920074462912,13.376159667968812,,16.384809494018615,15.991410255432113,15.037139892578113,10.580960273742713,10.122690200805714,10.886590003967312,,,9.3210713,,,9.43309020996094
