,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,12.094550132751515,,,,,,,,14.593970298767116,10.788029670715316,,13.309900283813514,,,,14.109780311584515,,,,,,,9.924940109252931,,,12.163960456848116,,5.0646700859069815,,,,16.571369171142617,,6.176899909973142,,,,8.601779937744139,,,,,,,11.74553012847914,9.242690086364751,12.022609710693414,14.031909942627141,,,,9.77114,9.4558614,,10.818929672241213,,,,,3.2805299758911115,11.4362614,,,14.552049636840815,14.13868999481214,,,,12.53631973266614,,,,,,,4.3210201263427725,,,,5.9063414000000005,8.418399810791021,,11.095640182495112,,8.0045814,,,,,11.963439941406314,,12.837530136108414,13.069330215454116,,13.673890113830614,11.714670181274414,,,10.700280189514213,14.462470054626515,,,,11.611114,12.364700317382814,6.151031400000001,,8.475720405578612,,,,9.1900214,,,,,6.177619934082032,,,2.7234799861908137,13.479330062866216,4.646689891815192,,,,10.6514914,,,7.6657700538635325,,,10.694560050964414,9.789850234985352,15.24921035766614,,14.708250045776415,,,,13.994460105896142,8.902480125427251,8.8215914,,,,,,,12.095789909362814,1214.0,10.749799728393617,10.990839958190913,,,,,,,,11.555150032043517,,,,,,9.7119514,6.754469871521139,,11.781310081481914,8.6089414,14.026430130004911,,,,,6.8419614,,,,12.736300468444815,14.134099960327115,11.148280143737814,,5.706850051879883,,,10.142219543457141,,10.981510162353514,11.492750167846715,10.265870094299316,,,,10.67535018920914,13.854630470275914,14.869429588317914,,,,,,,9.7845314,,,
1,1992,,10.645589828491213,,,,,,,,14.895279884338414,10.917070388793917,,12.899470329284716,,,,,,,,,,,,,12.329460144043141,11.913900375366216,,4.911799907684332,,,,16.702249526977514,,5.198390007019041,,,,,,,11.694210052490215,,,,11.558400154113816,9.162509918212892,11.286239624023414,14.086629867553716,3.273040056228641,,,9.7327514,9.434314,,,,,,12.664759635925314,,11.3236414,,,14.929269790649414,14.446519851684616,,,,,15.155329704284716,,13.36036968231214,,,,,,,,5.766131400000001,,,11.195289611816412,,8.0865214,,,,,12.146579742431614,,,13.253120422363315,,13.666029930114716,11.795900344848617,,,10.846579551696815,14.469989776611314,7.019080162048341,,,11.658114,12.178890228271515,6.145071400000001,11.861599922180213,8.534009933471681,,,,9.2066714,,12.529060363769515,,,,,,2.971379995346072,13.598870277404814,4.945859909057622,,,,10.5349314,,,7.757770061492923,4.157969951629641,7.11956977844238,,,15.161040306091314,,15.027339935302715,,,,14.304599761962914,9.197979927062992,8.921614,,,,,,,12.157710075378413,,10.67815017700214,10.511139869689917,,,,,,,5.477920055389414,11.627510070800815,,,,,,9.7897414,7.197450160980222,,,8.7739114,14.221050262451215,,12.879229545593315,,,6.7823314,,,,12.964460372924814,14.285510063171413,10.89715957641614,,5.682769775390633,,,9.343159675598141,,10.966870307922411,11.481880187988315,10.378299713134817,,5.851910114288331,,10.503540039062512,14.204219818115215,,,,,,,,9.8068214,,,10.251709938049316
2,1993,,9.989419937133793,,,,,,,17.37863922119141,14.817489624023414,10.746899604797411,,13.077440261840815,,,,16.466260910034215,,,,,,,10.044380187988315,,12.509499549865716,11.674710273742713,,5.271389961242682,,,,16.47180938720714,,,,12.251589775085414,,,,,,,,10.769269943237314,11.690529823303216,12.304120063781715,11.704420089721715,14.451499938964815,2.8756198883056614,,,9.7199614,9.4250314,,,,,,12.234589576721214,,11.2255214,,,15.108900070190414,14.506660461425815,,,,,15.69130992889414,,13.060509681701715,,,,4.542630195617682,,,,5.787221400000001,,,,15.325349807739315,8.1904714,,10.158209800720213,,,12.713580131530815,,13.237680435180714,13.387760162353516,,,11.73517990112314,,,,14.661230087280314,8.15085029602051,,7.889400005340581,11.6643314,,6.204814,,8.37148952484131,,,11.797430038452115,9.2478914,,12.370320320129414,10.677989959716816,,7.423950195312513,,,3.1796801090240514,13.678440093994114,5.4534001350402805,,10.589799880981415,,10.6306714,,,7.960309982299813,4.188389778137212,7.245969772338871,,,15.31523990631114,,15.741160392761214,,,,14.916150093078615,9.488920211791992,8.8826614,,,,9.60365962982178,,,12.759810447692914,13.789500236511214,11.399580001831115,10.322629928588913,,,,,,,,11.730239868164116,,,,11.715760231018114,11.933230400085414,9.7453414,7.6036100387573216,,,8.906651400000003,14.668330192565913,,12.885919570922914,12.945830345153814,,6.8483814,,,,14.482780456543141,14.762229919433615,10.678159713745114,,5.710229873657233,9.235980033874512,,,,10.992289543151916,11.613570213317914,10.548399925231914,,,,10.576250076293915,,15.376230239868214,,,,,,,9.8417314,,,
3,1994,,10.114910125732413,,,,,,,17.34336090087891,15.156379699707141,10.476599693298317,,13.177339553833141,,,,16.727060317993214,,,,,,,10.0689802169814,,12.670009613037115,11.491200447082514,3.5412299633026114,,,,,16.607280731201215,,,,,9.433600425720213,,,,,,,11.313469886779814,11.093310356140114,12.296689987182615,12.119839668273912,14.758119583129911,3.0477399826049814,,,9.6162514,9.3111214,,,,,,12.210390090942411,2.7129600048065208,11.0967314,,,15.442199707031314,15.406970024108913,,,,,15.923299789428716,,13.360770225524915,,,,4.672939777374272,,,,5.9085714000000005,,,12.143090248107915,15.492400169372615,8.2330314,,,,,12.897150039672914,,,13.770649909973116,,14.282679557800314,11.681280136108414,,,,15.039279937744114,9.73768043518066,,8.22029018402114,11.6641214,,6.322814,,8.76716041564941,,,,9.2340214,,,10.775779724121113,,7.5872502326965305,,,,13.749730110168517,6.137720108032233,,10.663769721984917,,10.9680414,,,8.161860466003423,4.393260002136231,,11.674059867858913,,17.89221954345714,,16.173149108886715,,,,15.98149967193614,9.595600128173832,9.1248814,,,,,,,12.906640052795415,14.373209953308114,12.342980384826715,10.168820381164613,,,,,,,,11.874939918518114,,,,11.795129776001144,12.047610282897914,9.9067614,7.7963800430297905,,12.961230278015115,8.9588514,15.010649681091314,11.675629615783714,,,,6.8655714,,,,14.898630142211914,14.876190185546912,10.505390167236316,,5.599140167236331,,,9.550499916076658,,,11.961139678955115,10.640939712524414,,5.858280181884773,11.404450416564915,,,15.384360313415515,,,,,,,9.8403614,,,
4,1995,,10.321700096130414,,,,,,,18.81835937514,15.240249633789116,9.741860389709473,11.361410140991216,13.346309661865215,,,,17.063880920410217,,,,,,,10.482259750366213,,,11.732159614563141,,,,,,16.551250457763715,,,,,,9.690030097961431,,,,,,11.147040367126513,10.985910415649414,12.393099784851115,12.295619964599615,14.920120239257814,,,,9.7330814,9.4272714,,,,,4.022930145263672,12.538080215454116,3.0583400726318413,11.1996814,,,15.571229934692411,15.502679824829116,,,6.431310176849372,10.906780242919917,16.095800399780313,,13.022930145263715,,,,,,,,6.117271400000001,,,12.277090072631815,15.653459548950215,8.248914,9.39933013916016,10.519319534301816,,,12.912639617919915,,,14.003930091857915,,14.36518001556414,,,,10.549679756164613,15.281749725341813,11.34208011627214,,7.752369880676269,11.7267214,,6.5048514000000015,,,,,11.622329711914116,9.2757414,,,11.004489898681614,,11.333140373231402,,,3.686160087585451,13.748069763183615,6.281020164489753,,10.788940429687514,,10.8354714,10.837050437927212,,8.389659881591813,4.704850196838381,,11.532429695129414,,17.158140182495114,,16.63113975524914,,,,15.475259780883816,9.77157974243164,9.3150414,,,5.643990039825442,,,,12.767140388488816,14.688679695129414,13.003000259399414,10.310139656066914,,,,,,,,11.834939956665142,,,,11.908129692077615,12.273489952087415,10.0104914,,,,8.9316314,15.096659660339416,,,,,6.951251400000001,,,,15.138890266418517,15.055749893188514,10.321990013122614,,5.548460006713872,,,10.542719841003414,,,12.128549575805714,10.815930366516113,,,,,,15.304039955139215,,,,,,,9.8773114,,,
5,1996,,10.353859901428214,,,,,,,19.346929550170923,15.235389709472717,9.482410430908212,,13.261059761047411,,,,17.278160095214815,,,,,,,,,,12.071570396423313,,,,,,16.534139633178714,,,4.8648400306701705,,,10.376429557800314,,,,,,11.267950057983414,11.652759552002141,12.365420341491715,13.034729957580614,15.093330383300815,3.2380700111389213,,,9.8434914,9.5281414,,,,,4.146090030670171,12.902509689331115,3.5943601131439213,11.3638714,,,15.691439628601115,15.553150177002141,,,,10.889410018920914,16.220449447631815,,13.102390289306614,,,,4.989970207214362,,,,6.1778314000000005,,,13.010569572448714,15.620389938354515,8.239114,9.38337993621826,10.722120285034213,,,12.863909721374517,,,14.121109962463414,,,12.070190429687516,,,10.682809829711914,15.737609863281314,13.313790321350114,,8.463319778442381,11.865214,,6.610371400000001,12.358530044555714,8.96459960937514,,,12.111530303955115,9.320914,,,11.268939971923814,,11.153579711914112,,,4.010950088500981,13.374759674072314,6.5375299453735405,,10.959580421447814,,11.0839714,,7.06807994842529,,,,,,17.334480285644513,,16.487899780273413,,,,15.588029861450215,10.126970291137713,9.4197614,,,,10.282819747924814,,,12.912210464477516,15.019450187683114,13.470709800720215,10.759440422058113,,,,,,,,11.822480201721214,,,,12.139869689941412,12.456350326538114,10.0435514,,,,8.9341414,15.212430000305213,,,,,6.841114,,,,15.481889724731415,15.133620262146142,,,5.4679899215698216,,,11.011619567871113,,,12.255700111389215,,,,,,,15.294679641723617,,,,,,,9.9287114,,,
6,1997,,10.679599761962914,,,,,,,19.925590515136715,15.260560035705614,9.546319961547852,,,,,,,,,,,,,,,,12.184539794921912,,,,,,,,,5.415669918060313,,,,,,,,,11.359279632568414,11.537220001220716,12.452710151672411,13.189430236816412,,3.3454399108886714,,,9.9186114,9.5815314,,,,,,,,11.3858614,,,16.013629913330117,15.488929748535217,,,,11.291210174560517,16.288419723510717,,13.189069747924814,,,,,,,,6.4674414,,,12.888649940490716,,8.3370914,9.357230186462415,,,,13.035880088806215,,,14.350919723510716,,,,,,,16.214979171752912,13.063590049743715,,8.712650299072271,11.946214,11.913020133972216,6.828114,,,,,12.603469848632814,9.375721400000002,,,11.412409782409716,,,,,4.486629962921142,13.502149581909215,6.457270145416262,,11.128740310668917,,11.0972714,,7.302000045776372,8.583800315856932,,,11.273859977722216,,16.927520751953114,,16.67550086975114,,,,15.679940223693814,10.042309761047417,9.4868414,,,,,,,13.51214981079114,,,10.975729942321815,,,,,,,,,,,,12.227040290832514,12.782299995422411,10.0994514,,,,8.9254814,15.286330223083516,,,,,7.1103914,,,,15.970410346984911,,,,5.499499797821041,,,,,,12.265970230102516,11.061129570007317,,,,,,,,,,,,,9.9919214,,,
7,1998,,,,4.6477799415588406,,,,,19.802530288696314,15.802189826965316,,,,,,12.247759819030815,,,,,,,,11.144749641418514,,12.882209777832141,12.407810211181614,,,,,,15.732819557189915,,,6.0443902015686115,13.133210182189915,,11.148670196533212,,,,,,11.767049789428716,,,12.803050041198714,15.274869918823216,,,,9.9462514,9.5854914,,,11.711000442504911,,,13.588000297546413,,11.5177914,,,16.388690948486314,15.423080444335914,,,,,,,13.699950218200714,,,,,,,,6.6654714,,,13.217610359191914,16.382539749145515,8.3347614,,,,,15.583000183105517,,,14.420669555664116,,14.562450408935517,,,,,16.267169952392617,,,8.947620391845712,12.1311214,12.486430168151916,7.0011114,,,,,12.965209960937516,9.3873714,,,11.592289924621616,,,,10.475079536438141,4.755080223083513,13.919639587402315,6.667799949646139,,11.314800262451215,,11.2590114,,7.629899978637714,8.549360275268551,,,11.646120071411117,,16.886829376220714,,16.697200775146516,,,,16.495449066162113,10.203479766845712,9.6925414,,,6.419119834899914,,,10.832079887390114,13.806960105896142,15.548399925231914,12.458410263061516,11.072669982910213,,,11.584500312805213,,,,,11.873950004577615,,,,12.790360450744615,13.307780265808114,10.2247414,,,,8.7765314,15.21459960937514,,,,,7.3430814,,,,17.054769515991214,15.484780311584515,,,,,,,,,,,,,,,15.391070365905815,15.092089653015115,12.655360221862814,,,,10.68476009368914,,10.0057714,,,
8,1999,,10.820210456848114,,,,14.286640167236314,,13.153120040893615,20.030260086059613,15.435740470886214,,,12.68023014068614,,13.360580444335914,,17.55636024475114,,8.090149879455572,,7.9662799835205105,,,11.602470397949213,,13.194040298461914,12.56155967712414,4.097109794616714,,,,,15.497859954834142,,,,13.640430450439515,,11.062529563903814,8.83489990234375,,,,7.954770088195814,12.019479751586914,11.981849670410217,12.353329658508315,13.299619674682615,15.903710365295415,3.4231100082397514,,,10.0694714,9.6773414,,,11.497039794921912,,4.449190139770512,13.793319702148414,4.880809783935551,11.7612114,,,16.621540069580117,15.459719657897914,,12.518779754638715,,11.432299613952615,,8.33296966552734,13.562549591064515,,,,,,,,6.7026114,,,13.650369644165142,16.182239532470714,8.3297714,,10.923100471496612,12.320819854736314,9.769379615783693,15.815759658813514,,14.840570449829116,14.59296035766614,,14.636039733886713,,11.930239677429215,,9.58798027038574,16.579780578613313,13.51397037506114,11.29959964752214,8.96469020843506,12.2667814,12.944290161132814,7.0573414,14.585760116577115,8.92496967315674,10.289170265197814,,13.561019897460914,9.430151400000002,,,11.715120315551815,,11.423239707946815,,11.261489868164116,5.192619800567631,13.914890289306614,6.806029796600341,12.205100059509315,11.459839820861815,,11.393551400000002,11.274220466613816,8.016050338745119,8.904350280761722,6.255799770355222,,11.391530036926316,,16.7924804687514,,16.512729644775415,,,8.315360069274915,16.647829055786115,,9.7802814,,11.622690200805714,,11.567119598388715,,11.111729621887212,14.159469604492214,15.137290000915515,11.986660003662115,11.375140190124517,,,11.869219779968315,,,,,12.004380226135314,,,,12.909279823303216,14.089770317077615,10.253951400000002,7.641369819641111,,,8.7213614,15.262669563293517,,,,,7.4320414,,,9.69956970214844,17.244480133056616,15.526800155639615,,10.433130264282214,,,,,13.394430160522516,,13.006569862365716,12.017950057983414,,,13.031929969787614,,15.699910163879414,,13.117699623107915,10.704509735107413,9.859729766845712,,,,10.0656414,10.415269851684613,,10.12994003295914
9,2000,,10.675689697265613,,,,14.894160270690913,10.58635044097914,12.990599632263214,20.101379394531318,15.463479995727516,,,,,13.200469970703116,,17.651950836181616,,8.349280357360842,,,,,11.766320228576715,,13.192020416259814,12.669879913330115,,,,8.40441989898682,,15.416489601135314,,,6.327899932861331,13.884969711303716,,11.177820205688514,,,,,,12.151519775390616,12.202329635620115,12.208319664001515,13.849530220031715,15.727760314941412,3.385230064392092,,,10.1711514,9.7508814,,,11.895199775695815,9.492460250854492,4.916950225830083,14.198180198669414,5.2261500358581525,11.815314,,,17.04324913024914,15.381910324096715,,,,11.742679595947314,,8.547289848327642,13.939949989318814,,,,,,,,6.8870914,,,14.020059585571316,16.386070251464815,8.5390114,9.33605003356934,10.764389991760314,12.209239959716813,9.973099708557132,15.91298961639414,,14.722769737243715,14.880450248718315,10.664520263671914,14.767230033874517,12.452610015869114,12.056619644165142,8.53357982635498,10.000120162963913,16.763139724731413,,11.638620376586914,8.95160961151123,12.383321400000002,13.351010322570815,7.2300114,14.587030410766616,9.83275985717773,12.274189949035616,,14.232979774475114,9.5590214,,,11.797030448913615,,10.562009811401413,,11.765089988708516,5.3671398162841815,13.615550041198714,,12.400279998779313,11.621120452880914,,11.4162114,11.098799705505414,8.514710426330572,9.290510177612314,6.709919929504392,,,10.439720153808613,16.933139801025415,,16.559820175170916,,,8.77565002441406,16.849189758300813,,10.0464614,,11.805060386657715,,11.783260345459142,,,14.253629684448216,15.370019912719714,,11.494810104370115,,,11.666990280151415,,,,,11.779479980468814,,,,13.190360069274915,14.158329963684116,10.3900114,7.0374498367309615,,,8.9314614,15.320380210876515,,,,12.292559623718315,7.6674814,,,9.531729698181152,17.182670593261715,15.557889938354515,,10.585229873657214,,,,11.397359848022516,,,13.144610404968315,,,11.355660438537614,12.994230270385716,,15.825639724731415,14.943400382995614,13.447999954223617,10.892120361328113,10.052969932556213,9.926589965820312,,,10.1875814,,,10.100720405578613
