,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1992,15.274976462478213,20.44652078080762,18.143346818517216,14.35478152812362,20.85121,21.3721,19.09252800287312,20.472802271970426,23.530740881346226,22.354381315238925,19.02478712959822,21.359177602845122,18.18201098861221,15.80815649292772,19.55745070691892,19.839081649584426,22.94088300508612,20.5858575221,16.010062491211418,,15.98376647664682,16.399660590582222,19.15968339550252,17.237992297799618,18.58370901959922,20.11892566857292,19.27545004615592,14.77669547840342,15.36321998114521,17.638277803963522,15.75403406668562,16.47278886097242,23.8699864621,,15.962246108268321,15.392218797230615,22.04379573244562,18.63141867781812,19.9121,16.21369749478712,15.70075354716172,17.13321628501922,22.83175658920312,15.802104770632221,20.10606977727621,21.621,21.6421,19.66538347314122,21.65526418665452,17.04237781508372,,21.421,,,21.35499853771532,18.342886257621,19.51422439916982,15.69959301795742,13.733800377706721,19.568333081579205,15.56459823698672,,,16.47092086245572,22.30842999275432,24.590592093387322,18.006445094251422,17.91257850435052,14.96439196066772,20.109948143829122,22.12062825005252,15.80061985380992,22.75587452491322,,17.5521,19.0521,15.63515904031921,15.225363329313517,16.58381152381712,16.34912022709621,,20.813844736155122,23.99679023078752,19.38240701037042,23.64408534247412,,16.36405386557022,16.281485731188322,16.98722868710772,18.643659548814217,21.19030940620421,,21.95296201766662,23.4688845921,21.346466166465717,24.88159121838822,18.62956677037521,19.2621,17.65298402327852,17.03481506251462,21.022407085588213,17.01473157991882,19.80174903007662,15.745344081185221,,19.69755376159912,,18.74087769454621,16.69851388605742,15.03643022621152,18.27652352295592,20.73843319476682,,22.666849132540822,21.86991117038742,18.87829788493972,16.1685363121,15.54004885242882,18.209209737400922,14.79974156622932,14.49474814491642,21.04000899840582,16.389323519707318,19.66340891386952,21.4921,17.43777803930092,,17.702011854763718,15.53249771879852,17.89476926756532,14.79862615256042,16.59295372789392,17.107439878740422,15.876334514831221,23.13961070339842,19.67921820307182,22.712465444627608,18.9321,15.111733336429115,13.77731667077482,23.058995861017927,18.18939924948252,,17.730360937892424,22.42890218731242,15.20555593934232,19.8221,19.6287645221,17.66275088098232,20.100660485465518,21.999019590723424,20.44966856334482,19.03090248655732,19.09250370797452,10.52772140087422,18.21312848155132,,18.00370128038652,18.798182428816922,16.40332910765482,20.6549714521,10.70469185092522,22.24219644529552,,19.85435015186132,21.07732240601072,,16.12567260672172,14.98581560781372,17.21724762045682,,23.93521,19.510912140020718,,20.52921,19.58821,,16.90536541700942,19.1621,16.76028732866742,23.506843916437212,24.168217163299122,18.525497195770626,19.607653644626623,16.00438775540822,20.56358575718412,15.161372031914619,15.516168114746721,18.86779784068132,18.47349239132712,19.59273206917032,20.203932792355822,18.409733721627198,16.09023124344112,19.06317824446822,18.29597779529132,21.924844032660427,23.022716720374824,2221.0,19.31951653254921,17.23464963228542,19.20409012982572,22.937509674022717,23.44739779787292,,16.53080341349822,16.07951801550552,18.21957601839162
2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1997,15.62152507584242,21.02763931606522,19.048849404477718,14.70999259107672,21.32421,22.0921,19.79943522967552,20.592869705769427,24.29863565060752,23.19923759226921,19.082739660608922,21.75066026046972,18.61114088074012,17.366942190291724,19.95427015828621,18.26911309261072,23.558047021576424,18.15337962139742,15.600085157506518,,16.873145122064518,17.640966183714927,19.87967634445922,16.53625798740262,20.20312974489222,20.64781004684832,19.17543269642942,14.77127125590312,16.073353304139918,18.11881703616652,16.02416180552792,16.474093229937722,24.1156510721,,15.95064885558262,15.630518086697919,23.30979092588952,19.12215167525962,20.5521,16.436412025123822,15.596405573962619,16.883333614747418,23.285910721954927,13.80328044429312,21.04489619201252,22.2721,22.04721,20.58961098166622,21.79722182329512,17.21277616735722,,21.7921,,,22.96892092987982,18.39864242790562,19.92523467869121,16.09819983030621,14.750201976834221,20.36924508269612,16.16027193871572,,,17.095723824657618,23.26544584932332,25.15699767535132,19.14465296057422,18.07142020954622,15.149844128305617,20.25165725207572,23.03392759042152,15.19667961913852,23.32389633351242,,17.81721,20.321,14.933978746325119,15.16769113345421,16.58738071779352,16.70992984656121,,21.754427534279426,24.70471532758141,20.029233834448718,23.745805661963118,,17.20940816745852,16.704883626008822,17.612342594108622,19.17251901970252,21.632232267245822,,22.903521717127123,24.3055260621,21.75092965556612,26.05252221462842,18.89572521946762,17.99253400314782,17.730982804756923,17.30569368865572,21.853345161378822,17.210647339675223,18.67242592151752,16.13819592768552,,20.29700644697452,,19.78855097216552,16.211318648358215,15.44190235258621,18.54297824880782,21.09182043580952,,23.32071491558421,22.51892248401632,19.036249518863823,16.10140321,16.55355865379462,18.64183880852482,15.98570097512232,14.255352036163421,21.768699232297426,16.54908715174922,19.330028802706522,21.9121,17.53746363467882,,17.36338751866392,15.13132689122252,18.13817167888432,15.69887305077612,16.83988801089421,17.179418103744517,16.52979617768582,23.32917539661712,20.472802271970426,23.36705518227322,19.8121,15.14557515993582,13.459210491285619,23.702948441926214,19.09248308183292,,17.73836888872482,22.79733854695322,15.41207764954122,20.421,20.5446606121,17.83157010576182,20.885328015402425,22.71307961792942,20.70251569465821,19.140082597960518,18.817081708318426,15.47907020692112,19.09826644464162,,18.16203262863122,19.24894293211772,16.261836554334117,20.9112414821,10.594071734149821,22.65894062497662,,20.37939802560122,22.11405780548022,,16.61814836633422,15.896569040447721,17.42972680902362,,24.6221,18.31158781679942,,20.40721,19.83521,,17.20170824207442,19.13621,16.61094094539522,24.11291665749712,24.76327580583352,19.47212800608782,19.88124955024012,16.27969030249542,21.32533292169732,16.00382865768442,14.60020247543892,19.200129182334322,19.343547733404122,20.54959471469752,20.79569127061242,18.53709945966321,16.41442129114182,18.745136678683924,18.75522367535212,22.44656676751121,23.066424604331218,22.6121,19.51132859799072,17.64931556362962,20.89569510811362,23.543821972078423,24.211492933328923,,16.65670710815422,16.402006413967918,17.001925973164422
7,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2002,15.87465284627682,22.670402537179623,21.217170263337426,15.584664235830722,21.79121,22.6321,21.111160190538424,20.70792385679222,25.21538490929482,24.15574028387621,18.75632344036582,22.72908164418992,19.04365076718182,18.16137342777832,20.34509670912482,18.42510484617421,24.07816517818212,18.11404196343912,15.578395547410722,,17.908856702973427,19.02553769226022,20.854306430157518,16.38076612831972,21.38196728127672,21.17139254191042,19.77519767835332,14.86161267529042,16.43112011612732,18.649662556320425,16.70167180384072,16.448845539982212,24.7754440721,,15.947440154044822,15.73413611037542,24.53684488234012,19.76115134618532,21.2221,16.49658723625452,16.05623620532892,16.96079002199782,23.77381362184742,13.457709016993821,21.264844728643716,22.7121,22.4621,21.46330276838922,22.529546510988716,17.37323716534432,,22.1921,,,23.71390136803072,18.39892922446642,20.72007771174321,16.50233161167682,15.45409465137062,21.456295330360927,16.86593673560721,,,17.752582960125718,24.148722853478212,25.847606407944934,20.09434243504282,18.11196958905772,15.320377379862098,20.901463176171927,23.94728751600032,15.139905270784615,24.049126764735217,,18.42721,21.4521,14.24527047295772,14.80685728433382,16.59094951796322,16.842698825255212,,22.24299976652321,26.28794549555462,20.93697500465122,24.68754690417461,,17.48519929287262,17.088507848716517,18.49365887791872,18.643659548814217,22.89676960141692,,23.88011338634622,25.2110880721,22.323430263625717,27.406582502623518,19.30801899401762,18.17621,17.92781441665132,17.51965426215452,23.28903763398752,17.418656782637118,18.67242592151752,16.57111283123292,,20.94640679352782,,21.35531023004042,15.33954091310821,14.37305405132382,18.81846182979832,21.845037215016717,,24.12144003287662,23.15568086071392,19.747290932335122,16.6953131921,17.379546359764213,19.06379127390012,19.16745001397621,14.61907067701872,22.48881680761692,16.69694873603612,20.24859250013112,22.321,17.645631095662925,,17.537378844612114,16.46282155050792,18.63269801619421,16.49380989409442,17.09251380500852,16.98810906766122,17.131695482378213,23.70998319448812,21.229348287123123,24.190142543398125,21.2421,15.22260285600982,13.16713844475422,24.29006021944512,20.05158702044121,,17.76797015257312,23.53997299796012,15.76441896656512,21.1821,21.4048783521,17.99883330885421,22.08528883215632,23.483716290667118,20.93089358982382,19.980399272475818,18.69534635876721,16.44797562271292,19.87713384670032,,18.31294156008882,19.37647903578621,16.31736583543872,21.1710164221,11.81080647310442,23.887381770563426,,21.03809804923762,23.21778347648632,,17.260867293870522,16.18262087848882,17.39479746707842,,25.29821,21.667166566576125,,20.79321,20.04421,,17.53482149462492,19.13421,16.69340042768992,24.514745126775516,25.43320086009472,20.408448185506717,19.91104134175572,17.26979864955532,21.67623650524712,16.776299009615222,14.51259627392152,19.86596712546222,19.58679991068032,21.032606892348213,21.35867351232062,18.40391268316582,17.12078351106442,19.02801282605662,19.427236699132518,23.329920862583624,23.329070469517717,23.221,19.51772030637782,18.08605983413472,22.13066369092172,24.03943969305272,24.687965653513213,,16.75583697586992,17.331257548247518,16.295530961941722
12,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
