,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,96.04135894775392,,,,,,,76.93231964111331,25.838979721069325,,,,70.32839202880864,,,,,79.93952941894531,71.29924011230473,,82.46135711669922,,8.225429534912111,,,,,,,,,,,,,,,,,94.8172225952148,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.35330200195312,,,,,,,,,,,,,,33.729530334472734,,56.15642166137726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.28308868408227,,,,,,,,,,,,,,73.98660278320312,17.381790161132823,,,,,,43.729198455810526,,,,,,,,,,,84.65821075439453,,,,48.85218811035162,97.42173767089842,,61.92047882080082,,,,,,,,99.45375061035162,,,,,,95.05100250244142,,,,,,,,,,,,,,,,,,,,,,44.82669067382813,,,,,,,,,,,,,,
1,1992,,,,,,,,,,,,,,,,,,,16.565240859985426,,,72.31321716308592,,,,,,,,,,,,,,,94.03671264648442,,,,,,,,,,91.00177764892582,,,,,,,,,,71.28053283691413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.55870819091827,,,,,,94.98268890380864,,,,,,57.27783966064453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.51702117919922
2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.591829776763922,,,91.1479034423828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.32630920410162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.65875244140632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.514980316162127,,,,,,,,,,,,,,,57.29265975952154,,,,,,,,98.71253204345726,,,,,,,,,,,,,,,,,,,,,,,,,,31.28524971008326,63.71522903442383,,,,,90.92801666259771,,,,,,,,,,,,,,28.72541999816893,,,,,,,,,,,,,,,,,,,,99.1187362670898,,,,,,,,,,,88.58660125732422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.85577011108426,,,,,,,,,,65.46626281738283,,,,,17.059560775756825,,
4,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.14871978759773,,47.90235900878913,,,,,,,,,,,,,,,,96.44297790527342,,89.2426376342773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.26177215576172,,,,,,,,,,,,,,,
5,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.057979583740233,,,,,,,,,,,91.31400299072271,,,,,,,,,,,,,,,,,43.59531021118162,,,,,,,,,,,,,,,,,,,,,9.74306964874268,,,,,,,,,,,,66.06775665283226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.46530151367192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.92862701416023,,,,,,,,,,,,,,,,,,,98.9755477905273,,,,,,,,,,97.2709579467773,,,,,,,,,
6,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.964199066162127,,,,,,,,,,,,,,,,,,,,,80.88867950439453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.99250030517583,,,,,,,,,,,,,28.476669311523427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.99711990356453,,,11.893429756164625,,,,,,,,,,,,,,,,,,,,,,,29.043840408325227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1999,,,,,,,,,,,98.17478179931642,,,,,99.41972351074223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.87207794189453,,,99.28990173339842,,,,,98.13063049316412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9200820922852,,,,59.802848815918246,
9,2000,,,,,,,,97.07135772705082,,,,,,,,,,,,,,,94.35993957519531,,86.50005340576173,,,,52.23775863647463,,,58.72175979614264,,,35.29090118408226,12.796420097351124,,86.52660369873053,,63.459018707275426,,,95.08078765869142,38.61450958251953,,,,,,,,,88.1027526,86.84992259999999,,,,81.62300109863281,,99.76006317138672,,93.4041126,,,,,,,25.06155014038093,,,49.79196166992193,,,,,,27.494209289550824,,,42.2176126,,,,,49.4797726,,,,64.16950225830082,,,,,,,,,77.89298248291023,,,,,58.46070098876953,87.7276926,99.70973205566412,44.2384526,,92.04644775390629,,,,70.1290526,,,,65.27857208251953,,85.35421752929695,96.44297790527342,,,43.41735839843753,80.50003051757811,88.68203735351562,,57.98857260000001,95.49230194091827,97.52880096435551,,,86.41517639160162,,,,,,,,,,,69.6117926,,91.24717712402342,50.91773986816413,,,92.65490722656251,,,,,,59.75033950805663,,,,69.29119110107423,,,,88.6451797485352,,,,76.556526,,,,45.5944626,,,,,,47.63777260000001,52.14640045166022,,80.32875061035163,,,,99.22174072265629,,90.51602172851562,,38.45328903198242,,,,,,,,,,,,98.13858032226562,,,86.61010742187527,,76.99332259999998,,,
