,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,96.22126770019531,,,,,,,88.5373687744141,44.31428146362329,,,,70.26876831054693,,,,,95.92984008789062,65.38694000244142,,92.45218658447271,,19.62612915039063,,,,,,,,,,,,,,,,,98.75705718994142,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.03746032714842,,,,,,,,,,,,,,61.64191818237329,,74.27448272705081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.56298828125271,,,,,,,,,,,,,,77.80812072753913,49.22002029418953,,,,,,67.65373992919922,,,,,,,,,,,91.58705902099614,,,,67.69941711425783,98.4156875610352,,85.24964141845727,,,,,,,,99.60208892822271,,,,,,98.03549194335942,,,,,,,,,,,,,,,,,,,,,,68.19808959960943,,,,,,,,,,,,,,
1,1992,,,,,,,,,,,,,,,,,,,39.90333938598633,,,88.15558624267582,,,,,,,,,,,,,,,94.5630722045898,,,,,,,,,,97.83058929443364,,,,,,,,,,77.37241363525392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.00015258789062,,,,,,98.53202056884771,,,,,,79.96852874755862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89337921142582
2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.260599136352532,,,90.9726562527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.44418334960942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.85101318359379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.98254013061523,,,,,,,,,,,,,,,71.70639038085945,,,,,,,,99.28498840332031,,,,,,,,,,,,,,,,,,,,,,,,,,54.40290069580082,87.7240829467773,,,,,97.23235321044922,,,,,,,,,,,,,,55.15517044067383,,,,,,,,,,,,,,,,,,,,99.71308135986332,,,,,,,,,,,87.01515960693364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.25630950927733,,,,,,,,,,71.35108947753913,,,,,56.72475051879882,,
4,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.12094879150392,,73.48625183105472,,,,,,,,,,,,,,,,96.21227264404327,,86.43028259277342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.32498168945312,,,,,,,,,,,,,,,
5,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.517789840698224,,,,,,,,,,,91.08910369873051,,,,,,,,,,,,,,,,,67.15177917480473,,,,,,,,,,,,,,,,,,,,,32.89533996582033,,,,,,,,,,,,79.87161254882812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.78476715087892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.07138061523442,,,,,,,,,,,,,,,,,,,98.83406066894531,,,,,,,,,,96.24452972412114,,,,,,,,,
6,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.81887817382813,,,,,,,,,,,,,,,,,,,,,84.24456024169922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.48217773437527,,,,,,,,,,,,,43.94641876220727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.92640686035163,,,26.732969284057628,,,,,,,,,,,,,,,,,,,,,,,55.29661178588873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1999,,,,,,,,,,,99.47241973876952,,,,,99.79210662841827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.08184051513672,,,99.76329803466827,,,,,99.30670928955082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.69999694824222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.91825866699223,,,,76.25402069091827,
9,2000,,,,,,,,97.53739929199223,,,,,,,,,,,,,,,99.03370666503912,,86.22798156738281,,,,67.30693054199223,,,79.19451904296882,,,66.78952789306642,40.827060699462926,,95.13524627685551,,74.51403808593751,,,94.65017700195312,60.86066055297854,,,,,,,,,95.1024627,94.6251627,,,,94.8426132202148,,99.77594757080082,,98.2421327,,,,,,,48.981151580810526,,,66.35128021240233,,,,,,57.61375045776373,,,63.15348270000001,,,,,70.89308270000002,,,,84.08740997314452,,,,,,,,,87.49465942382812,,,,,81.36018371582031,89.61082270000001,99.79334259033227,63.3194527,,79.99578094482422,,,,83.38113270000002,,,,76.53832244873054,,91.96923828125273,96.21227264404327,,,59.540328979492216,88.22785949707031,92.55937194824223,,77.9521627,97.9776229858398,98.01677703857422,,,93.92426300048832,,,,,,,,,,,76.8827627,,92.54792785644531,63.44522094726562,,,92.54499816894531,,,,,,71.41938018798831,,,,87.06076812744142,,,,96.5651016235352,,,,80.49417270000002,,,,69.74592700000001,,,,,,67.22094270000001,71.58101654052733,,83.15461730957031,,,,99.68462371826172,,94.9015731811523,,68.72573852539064,,,,,,,,,,,,99.16443634033227,,,93.93267822265629,,86.91203270000004,,,
