,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,,,,,,,,,,,,,,,,,20.431,,,,,,,74.831,,,,,,,,,,,,,,,,,,,,20.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.131,,,,,,,,,,,,,,,,,,,,,111.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.931,114.431,,,,,,,,,,,,23.631,,,34.331,,,,,,231.731,,,,,,,,,30.631,,,,,,,72.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.131,,,,,,,,,,,,,,,,,,,,,47.131,85.131,
2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.231,,,,,,,,,,,,,,,42.131,,,,,,,,,,,,32.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.731,,,,,,,,,,,79.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.630999999999998,,,,,,,,,,,,,,,,
3,1994,,,,,,,,,,,,,,62.331,,,,,,,,4731.0,,,,,,,,,,,,,,,,,,,,,,58.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.631,
4,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.631,,,,6.5310000000000015,,,,,,,,,,,,,,,,,28.131,,,77.73100000000002,,,,,,,,,,,,,,,,,24.431,,,,57.931,,,,,,,,,,,,,,,,,,4.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.331,,,,,,,,,7231.0,,,,,,,,,,,,,,
5,1996,,,,,,,,,,,,,,,,,,,90.331,,,,,,9.331,,,,,,,,,,,,,,,30.631,,,,,,,,,,,,13.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.131,,,,,,,,,,,,,56.53100000000001,,,,,,,,,,,,,,2031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.431,,,,,,,,,,,,,,,9.231,,,,,,,92.931,
6,1997,,,,,,,,,,,,,,4731.0,,,,,,,,,,,,,,,,,,,,,,98.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.531,,,,,,,,,6.631,,,,,,10.630999999999998,,,,,,,,,,,,,,68.331,,,,,,,,,,,,,,82.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.431,,,36.431,,
7,1998,,,,,,,,,,,,,,,,,,,,,,2631.0,,,,,,,,,,75.331,,,,,,,,,,,,,,,,,,,,,,,,15.231,,,,,,,,,,,,,,,,51.431,,,,,,,,,,,,,,,,,,,,,,,,,,,38.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.731,202.231,,,,,,,,,,18.531,,,,,,,,,,,,,,,,,,,,,1331.0,,,,,,,,,,,,,,,,,,64.831,,,,13.431,,,,,,,,,,,,,,,,
8,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.131,,,,,,,,,,,,,,,,58.431,,,,,,,,7.931,,,,,,,,,,,,,,,,,,,,,,,,17.930999999999994,97.531,,,,,,,,,,19.731,,,,,,,,,,,6.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6931.0,,,,,,,,,,,,,,,,,,,,8031.0,,,,,,,,,,,,,,,,,,,,,,,,,58.331,,,,,,,,,,,,,,,,,,,,,,30.531,
9,2000,,,,,,,3.131,,,,,,,37.731,,,,,,,,,,,,,,,,,30.431,,,,,,,,3.431,,,,,,1.831,,,,,,,,,,,16.131,,,,,86.131,,,,,,,3331.0,,,,,,,,,,,,54.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10231.0,,,,,,,,,,,,,,,20.331,,,,,,,,,,,,,,,1731.0,,,,,,,97.431,,,,,,,,,,,,,,,,22.223124469293104,,,,,,72.53170422477862,,,,,,,,,,,,,,,,1731.0,,,,,,,,,,,,,,,
