,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,,,,,,,,,,,,,,,,,16.732,,,,,,,63.632,,,,,,,,,,,,,,,,,,,,17.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.632,,,,,,,,,,,,,,,,,,,,,122.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.432,125.932,,,,,,,,,,,,20.732,,,29.732,,,,,,211.532,,,,,,,,,28.832,,,,,,,86.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.232,,,,,,,,,,,,,,,,,,,,,4132.0,91.332,
2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.432,,,,,,,,,,,,,,,29.432,,,,,,,,,,,,32.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.632,,,,,,,,,,,95.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.532,,,,,,,,,,,,,,,,
3,1994,,,,,,,,,,,,,,46.732,,,,,,,,52.632,,,,,,,,,,,,,,,,,,,,,,70.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.432,
4,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.832,,,,7.1320000000000014,,,,,,,,,,,,,,,,,21.732,,,88.83200000000002,,,,,,,,,,,,,,,,,22.332,,,,59.232,,,,,,,,,,,,,,,,,,10.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.232,,,,,,,,,81.632,,,,,,,,,,,,,,
5,1996,,,,,,,,,,,,,,,,,,,8932.0,,,,,,832.0,,,,,,,,,,,,,,,32.431999999999995,,,,,,,,,,,,12.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.832,,,,,,,,,,,,,45.532,,,,,,,,,,,,,,18.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.332,,,,,,,,,,,,,,,15.332,,,,,,,96.532,
6,1997,,,,,,,,,,,,,,36.932,,,,,,,,,,,,,,,,,,,,,,106.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.232,,,,,,,,,3.732,,,,,,1032.0,,,,,,,,,,,,,,74.932,,,,,,,,,,,,,,8432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.532,,,32.931999999999995,,
7,1998,,,,,,,,,,,,,,,,,,,,,,2632.0,,,,,,,,,,69.332,,,,,,,,,,,,,,,,,,,,,,,,15.232,,,,,,,,,,,,,,,,53.332,,,,,,,,,,,,,,,,,,,,,,,,,,,35.93199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232.0,18432.0,,,,,,,,,,20.832,,,,,,,,,,,,,,,,,,,,,17.732,,,,,,,,,,,,,,,,,,73.232,,,,10.432,,,,,,,,,,,,,,,,
8,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.93200000000002,,,,,,,,,,,,,,,,83.132,,,,,,,,12.832,,,,,,,,,,,,,,,,,,,,,,,,14.732,100.532,,,,,,,,,,14.632,,,,,,,,,,,10.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.932,,,,,,,,,,,,,,,,,,,,81.732,,,,,,,,,,,,,,,,,,,,,,,,,61.132,,,,,,,,,,,,,,,,,,,,,,34.532,
9,2000,,,,,,,4.932,,,,,,,28.432,,,,,,,,,,,,,,,,,33.532,,,,,,,,432.0,,,,,,2.132,,,,,,,,,,,14.632,,,,,8332.0,,,,,,,31.532,,,,,,,,,,,,51.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.432,,,,,,,,,,,,,,,22.232,,,,,,,,,,,,,,,18.932,,,,,,,105.132,,,,,,,,,,,,,,,,16.473972732669534,,,,,,72.78791285630643,,,,,,,,,,,,,,,,1932.0,,,,,,,,,,,,,,,
