,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,14785236.0,10133036.0,48811136.0,16334336.0,300936.0,177574336.0,13334636.0,273636.0,111490536.0,75710536.0,20022836.0,665036.0,528136.0,164642836.0,1623336.0,77850136.0,92240836.0,419836.0,10124436.0,,779036.0,17005936.0,18744136.0,2270136.0,361101236.0,335436.0,65779336.0,16983936.0,9744336.0,851136.0,16260136.0,23986236.0,186257936.0,,6699736.0,10886036.0,50652636.0,3331055436.0,82197136.0,734836.0,61586936.0,4950336.0,8160636.0,16387036.0,34741936.0,50419136.0,4255436.0,82305636.0,47284036.0,878936.0,,14549936.0,5691302436.0,4457285436.0,23917436.0,157043536.0,13063936.0,948036.0,3249236.0,13052536.0,78906136.0,2366716236.0,,1111736.0,43785436.0,503293136.0,362336.0,3328536.0,1228336.0,30930336.0,793786036.0,22417036.0,80710736.0,,462836.0,16506736.0,12106036.0,2315036.0,1677236.0,15734136.0,597575836.0,9332636.0,28656136.0,87793436.0,1535236.0,1765742936.0,1741010336.0,385338936.0,94933536.0,36139536.0,22378636.0,,24491636.0,513088836.0,9889336.0,918208636.0,5695636.0,69721036.0,33638536.0,149036.0,140259036.0,1426736.0,15154336.0,8769836.0,1130379836.0,22348736.0,878884736.0,8411736.0,4029936.0,3254736.0,7260036.0,27092536.0,11487163136.0,3290136.0,1508236.0,7862136.0,16989536.0,14884336.0,35292236.0,246836.0,17571236.0,2073836.0,3630936.0,3096536.0,212281336.0,189036.0,477424636.0,19829536.0,4989436.0,56170036.0,25147136.0,103795336.0,2843736.0,39891436.0,116155036.0,450836.0,22553036.0,7895736.0,10543036.0,153599636.0,40621636.0,2454636.0,51397436.0,195288436.0,6301836.0,5765236.0,9747436.0,48974336.0,114670636.0,247579536.0,81544036.0,240736.0,144583136.0,1153678336.0,8973736.0,337636.0,,294636.0,24724936.0,12706936.0,285036.0,6027536.0,9913336.0,,33573836.0,14319736.0,75206236.0,407036.0,11053036.0,70916936.0,2204971836.0,314298236.0,48327936.0,,576536.0,388336.0,850385336.0,32736536.0,1082736.0,1405336.0,87954936.0,59807336.0,19794536.0,12672536.0,39746436.0,147422936.0,752836.0,6475236.0,239236.0,4052836.0,21254536.0,146538436.0,9377836.0,26426236.0,448264436.0,1010736.0,544187036.0,1883765536.0,21756036.0,54668836.0,236736.0,41119936.0,235821336.0,364536.0,18937849936.0,18549936.0,12379336.0,17441936.0
1,1992,15924836.0,10413436.0,50363536.0,16790036.0,310236.0,182438936.0,14122236.0,278436.0,114344036.0,76729536.0,20538636.0,686236.0,561736.0,172023536.0,1645036.0,80176936.0,93650536.0,433736.0,10347036.0,,790236.0,17615436.0,19177936.0,2348336.0,376168836.0,343536.0,67136536.0,17321336.0,9904536.0,882036.0,16833836.0,24591436.0,190780536.0,,6868036.0,11120336.0,52338736.0,3418796136.0,84694336.0,754036.0,63921336.0,5082836.0,8535036.0,17043636.0,35482436.0,51306636.0,4367336.0,83168436.0,47282636.0,913136.0,,15296336.0,5861926036.0,4582731736.0,24787736.0,161637136.0,13480536.0,962536.0,3303436.0,13185936.0,81017436.0,2434245836.0,,1136536.0,44412036.0,512333136.0,372036.0,3424436.0,1271636.0,32206836.0,802071936.0,23263436.0,83177536.0,,467836.0,17283536.0,12859036.0,2347036.0,1735036.0,16049236.0,616057036.0,9694736.0,29402436.0,89061436.0,1569536.0,1820856336.0,1801325236.0,399534136.0,98852536.0,36798636.0,22500736.0,,26042336.0,524573036.0,9948036.0,952445836.0,5906836.0,72463436.0,34748236.0,153236.0,146624836.0,,15507736.0,9017736.0,1170829036.0,22732936.0,908296236.0,8751536.0,4101636.0,3254836.0,7577236.0,27764236.0,11841230336.0,3347636.0,1574736.0,8065236.0,17557936.0,15325236.0,36450636.0,258836.0,17896036.0,2119736.0,3753636.0,3190536.0,220471036.0,194836.0,495260536.0,20224436.0,4987136.0,59428436.0,25841336.0,106952036.0,2934436.0,41216236.0,117690136.0,465036.0,22895636.0,8217036.0,10964936.0,157553236.0,40768336.0,2500536.0,52594636.0,201785936.0,6523836.0,5965536.0,10121936.0,50804736.0,117151036.0,253222236.0,82987836.0,248436.0,147515536.0,1185808836.0,8536036.0,347736.0,,301036.0,25489736.0,13208936.0,291736.0,5955236.0,10433436.0,,34070536.0,14703236.0,76799136.0,418336.0,10968236.0,72884536.0,2283499136.0,321990736.0,50174536.0,,584836.0,394136.0,874664236.0,34212036.0,1120436.0,1450136.0,88298836.0,60616436.0,20546336.0,12796136.0,41230836.0,154270336.0,807836.0,6638836.0,249036.0,4137236.0,22148036.0,152093036.0,9749936.0,27403136.0,460084736.0,1033136.0,545810536.0,1912066136.0,22285536.0,56644936.0,242636.0,42655936.0,241242236.0,382936.0,19432685536.0,19747036.0,12757236.0,18060636.0
2,1993,17230036.0,10736936.0,52030436.0,17245336.0,321636.0,187391236.0,14920336.0,287336.0,116806136.0,77240436.0,21161936.0,708536.0,590736.0,179457136.0,1667736.0,82583836.0,94831436.0,449636.0,10569336.0,,795336.0,18245636.0,19486136.0,2424036.0,391573136.0,352136.0,68591636.0,17626036.0,10038236.0,921436.0,17395836.0,25180936.0,194964436.0,,7038336.0,11340536.0,54122336.0,3516913936.0,87198836.0,772236.0,66310336.0,5215736.0,8936736.0,17715236.0,37911236.0,52201536.0,4491436.0,83796636.0,47208436.0,944736.0,,16066736.0,6045134936.0,4719546336.0,25703536.0,166341536.0,13910736.0,976236.0,3334336.0,13231236.0,83131936.0,2502628336.0,,1163236.0,44949436.0,519975636.0,381836.0,3520536.0,1316936.0,33515336.0,808277436.0,24121436.0,85768636.0,,475236.0,18078136.0,13668636.0,2370736.0,1804836.0,16341436.0,634632436.0,10057036.0,30461036.0,90094036.0,1600636.0,1875838036.0,1862119136.0,414379736.0,102528636.0,37523136.0,22529736.0,,27528436.0,535507936.0,9998536.0,987858036.0,6138536.0,74913836.0,35927536.0,155736.0,153097036.0,,15678236.0,9252436.0,1212274136.0,23021536.0,937603036.0,9126636.0,4175436.0,3262736.0,7907136.0,28353336.0,12209148936.0,3403836.0,1638836.0,8249836.0,18175836.0,15654836.0,37620936.0,272436.0,18206236.0,2164836.0,3879236.0,3276536.0,228938336.0,199036.0,513101736.0,20543136.0,4962636.0,62740036.0,26604636.0,110002336.0,3021636.0,42501036.0,119032836.0,479936.0,23265936.0,8538936.0,11405036.0,161214736.0,40836136.0,2532236.0,53702336.0,208533636.0,6760036.0,6157536.0,10497636.0,52722136.0,119560136.0,258439836.0,84587436.0,256436.0,151792936.0,1218489936.0,8000436.0,357936.0,,307436.0,26256136.0,13720236.0,299036.0,5798936.0,10940536.0,,34579836.0,15062036.0,78305336.0,429736.0,10833736.0,74978736.0,2362905236.0,329934036.0,51996736.0,,591936.0,399036.0,898693336.0,35774936.0,1157236.0,1490936.0,88521736.0,61244436.0,21339636.0,12873436.0,42741936.0,161505936.0,861836.0,6797636.0,258836.0,4216336.0,22817236.0,158111736.0,10145136.0,28365836.0,470529536.0,1050836.0,546290636.0,1937299136.0,22833236.0,58755036.0,248436.0,44236736.0,246800336.0,401036.0,19935011236.0,20961936.0,13135236.0,18658836.0
3,1994,18572036.0,11055336.0,53789236.0,17677336.0,333536.0,192215036.0,15663936.0,298236.0,119243036.0,77262936.0,21761836.0,732536.0,614736.0,186944736.0,1690536.0,84503536.0,95909436.0,467536.0,10788336.0,,800036.0,18881536.0,19804136.0,2503536.0,406835236.0,363636.0,70332836.0,17902436.0,10142636.0,963536.0,17990436.0,25759336.0,198906536.0,,7202636.0,11554636.0,55950636.0,3621413436.0,89773436.0,790136.0,68637636.0,5350336.0,9360836.0,18401736.0,39097636.0,53079036.0,4627136.0,84232436.0,47077536.0,974636.0,,16871336.0,6240351536.0,4864947136.0,26659336.0,171038936.0,14368236.0,988436.0,3355436.0,13303836.0,85414736.0,2557068136.0,,1191436.0,45421436.0,527359336.0,393336.0,3615236.0,1365036.0,34086636.0,810422336.0,24980736.0,88309936.0,,481136.0,18904936.0,14468236.0,2388236.0,1884636.0,16636536.0,653293336.0,10428136.0,31791536.0,91001336.0,1630636.0,1931014236.0,1924465136.0,429898536.0,106313636.0,38308136.0,22521336.0,,29092836.0,546045036.0,10023236.0,1025657036.0,6378736.0,76136036.0,37156136.0,156236.0,160182636.0,,15728336.0,9464036.0,1253971436.0,23314536.0,966876136.0,9499936.0,4265536.0,3302536.0,8240736.0,28867936.0,12574592336.0,3457536.0,1694436.0,8427336.0,18828536.0,15967536.0,38793936.0,281536.0,18485236.0,2208736.0,4007636.0,3376736.0,237627336.0,202436.0,531704336.0,20750936.0,4915436.0,66062836.0,27352336.0,112950236.0,3105836.0,43754936.0,120253936.0,496636.0,23688436.0,8857336.0,11866636.0,164633136.0,40825636.0,2550936.0,54872136.0,215518736.0,7009836.0,6345336.0,10852136.0,54701436.0,122135536.0,263528736.0,86337836.0,265636.0,155930936.0,1245163336.0,7493036.0,368836.0,,313136.0,27041136.0,14235836.0,307336.0,5581236.0,11571536.0,,35071536.0,15432536.0,79863036.0,443036.0,10685436.0,77272136.0,2444155636.0,338236336.0,53818736.0,,599436.0,403736.0,922745836.0,37345736.0,1197036.0,1531236.0,88803736.0,61788336.0,22190036.0,12866736.0,44244936.0,169284536.0,908036.0,6953336.0,268936.0,4293336.0,23929236.0,164651636.0,10506836.0,29353036.0,475578736.0,1068136.0,546313436.0,1958929736.0,23374136.0,60623636.0,253936.0,45853836.0,253111136.0,418736.0,20427179936.0,22154236.0,13516036.0,19223136.0
4,1995,19880436.0,11333036.0,55630636.0,18076536.0,345136.0,196811636.0,16329736.0,309936.0,121759836.0,77039836.0,22277136.0,759036.0,639336.0,194539836.0,1711236.0,85862236.0,96976636.0,487136.0,11003836.0,,807836.0,19513936.0,20243636.0,2590336.0,421720136.0,379836.0,71999036.0,18154036.0,10217336.0,1004936.0,18636636.0,26331436.0,202663636.0,,7356636.0,11768336.0,57799036.0,3729326936.0,92458336.0,807536.0,70854636.0,5487336.0,9804436.0,19104536.0,40400236.0,53933336.0,4772136.0,84526736.0,46992336.0,1004736.0,,17715536.0,6445059336.0,5016745736.0,27651036.0,175690136.0,14862136.0,998436.0,3376736.0,13365136.0,87934536.0,2593195036.0,,1220336.0,45840236.0,535305736.0,407436.0,3707536.0,1416436.0,33838936.0,810613936.0,25838836.0,90742636.0,,483136.0,19769536.0,15220836.0,2401136.0,1961036.0,16948836.0,672041136.0,10813136.0,33151936.0,91869936.0,1656836.0,1986906236.0,1989279536.0,446057236.0,110417236.0,39150236.0,22545636.0,,30765336.0,556507836.0,10032736.0,1065463836.0,6617136.0,76075336.0,38421636.0,155436.0,168141336.0,1122336.0,15774036.0,9649436.0,1295560236.0,23542836.0,996187436.0,9849736.0,4375836.0,3384136.0,8575336.0,29329836.0,12931458636.0,3508536.0,1737436.0,8606436.0,19512636.0,16334836.0,39983636.0,300436.0,18721636.0,2249336.0,4139136.0,3471636.0,246482036.0,206436.0,550733136.0,20817436.0,4850236.0,69366836.0,28037836.0,115794336.0,3188136.0,44988336.0,121403136.0,514036.0,24145636.0,9169436.0,12352936.0,167862836.0,40742136.0,2558336.0,56065936.0,222762936.0,7273136.0,6531636.0,11173936.0,56728236.0,125036236.0,268531936.0,88211836.0,276436.0,159651436.0,1263306036.0,7065936.0,381036.0,,317736.0,27842936.0,14755236.0,317036.0,5316036.0,12274436.0,,35558736.0,15826936.0,81431836.0,459636.0,10537036.0,79829236.0,2528217936.0,346963536.0,55658836.0,,608936.0,407636.0,947006736.0,38886136.0,1240536.0,1573636.0,88919836.0,62270936.0,23103236.0,12757336.0,45725236.0,177791336.0,941936.0,7107736.0,279336.0,4368536.0,25097236.0,171735936.0,10804036.0,30384136.0,475120036.0,1085636.0,546109236.0,1977757936.0,23894236.0,62192036.0,259236.0,47511136.0,260529336.0,435736.0,20910048136.0,23270936.0,13903136.0,19744836.0
5,1996,20715836.0,11431536.0,58136636.0,18567636.0,344236.0,201444036.0,16781236.0,323936.0,124077736.0,76907336.0,23106036.0,789736.0,679036.0,204488536.0,1736036.0,87231636.0,98089836.0,486436.0,11229236.0,,836636.0,20134636.0,20817836.0,2687836.0,439308036.0,382536.0,73519536.0,18464536.0,10440436.0,1053136.0,19081436.0,27007236.0,206368036.0,,7552536.0,12047536.0,59797236.0,3869638236.0,95279536.0,828836.0,72865736.0,5631336.0,10224136.0,19663636.0,39846536.0,54972936.0,4880336.0,85256736.0,46932936.0,1042536.0,,18545136.0,6686096336.0,5205921636.0,28803536.0,180626536.0,15384936.0,1014136.0,3509336.0,13461336.0,91347836.0,2620811236.0,,1274536.0,46218536.0,543268536.0,429836.0,3805536.0,1453636.0,33708936.0,814614636.0,26635736.0,93024036.0,,488836.0,20715936.0,15675536.0,2422936.0,1921436.0,17376336.0,693570336.0,11226036.0,35249036.0,93096436.0,1673936.0,2049455036.0,2070635336.0,467051836.0,115059436.0,40137036.0,22507436.0,,31813236.0,566233936.0,10184536.0,1104100436.0,6832036.0,74908736.0,39966336.0,158736.0,175650136.0,1127636.0,16025636.0,9888436.0,1341274236.0,23771136.0,1030610836.0,10235236.0,4523636.0,3570736.0,8924236.0,29871136.0,13345358036.0,3556436.0,1777336.0,8903036.0,20312736.0,16559136.0,41246636.0,320736.0,18929336.0,2290536.0,4271536.0,3608836.0,255466336.0,210236.0,570542236.0,21082036.0,4909136.0,72427636.0,29103736.0,118842236.0,3277936.0,46390236.0,122417036.0,539936.0,24564736.0,9504836.0,12818336.0,171916636.0,40580036.0,2627736.0,57374436.0,230342336.0,7531136.0,6760836.0,11487736.0,58923336.0,128673536.0,273802336.0,89807636.0,287036.0,164022236.0,1271745436.0,8073536.0,395736.0,,323636.0,28503636.0,15253836.0,326636.0,5311336.0,13047036.0,,36136736.0,16248336.0,83165836.0,480936.0,10694736.0,82557436.0,2630500936.0,354485536.0,56771536.0,,614736.0,409836.0,976307936.0,40212036.0,1290336.0,1618736.0,88763636.0,62872236.0,24191336.0,12769636.0,47324536.0,186031936.0,980036.0,7250736.0,287036.0,4454436.0,26342236.0,179314936.0,11063536.0,31532136.0,473917436.0,1125636.0,545506636.0,1989791036.0,24399336.0,63849636.0,264236.0,49550336.0,268227336.0,445836.0,21440482036.0,23487736.0,14374436.0,20300636.0
6,1997,21319436.0,11447236.0,60832536.0,19008736.0,342536.0,205882536.0,17124636.0,338036.0,126061336.0,76697936.0,23921236.0,823036.0,720336.0,214440836.0,1761336.0,88004436.0,99301136.0,487436.0,11437736.0,,873436.0,20752936.0,21538836.0,2786336.0,456302336.0,388136.0,74874536.0,18741436.0,10623236.0,1101436.0,19570636.0,27656136.0,210216036.0,,7727736.0,12325736.0,61812336.0,4005296636.0,98223636.0,848536.0,74579736.0,5772936.0,10661736.0,20167236.0,41442836.0,55920836.0,4993536.0,85958036.0,46800036.0,1079536.0,,19408836.0,6925853836.0,5393013936.0,29986036.0,185222236.0,15934336.0,1027036.0,3656436.0,13529336.0,94864936.0,2626605636.0,,1332436.0,46584336.0,551464736.0,454336.0,3898636.0,1492336.0,33565236.0,814737836.0,27391536.0,95214736.0,,488536.0,21711236.0,15974836.0,2440136.0,1869836.0,17806636.0,714520036.0,11653236.0,36263236.0,94261536.0,1699036.0,2111333536.0,2152683236.0,488562236.0,119929436.0,41160136.0,22521836.0,,32837336.0,575913136.0,10329136.0,1143977036.0,7004036.0,72554036.0,41466236.0,161636.0,184195836.0,1201836.0,16148236.0,10107836.0,1386560636.0,23915336.0,1064462536.0,10597636.0,4677436.0,3842836.0,9255436.0,30373636.0,13734762036.0,3596136.0,1804636.0,9225036.0,21108936.0,16874536.0,42478736.0,335836.0,19091836.0,2331536.0,4403636.0,3766836.0,264626336.0,213936.0,590437536.0,21171436.0,4944936.0,75424236.0,30095236.0,121714636.0,3365836.0,47764036.0,123562436.0,568636.0,24908736.0,9830436.0,13302936.0,175521936.0,40398436.0,2702836.0,58680936.0,237998936.0,7799636.0,6985436.0,11764936.0,61131736.0,132461436.0,279033436.0,91581236.0,301136.0,167572636.0,1266371936.0,9426536.0,408736.0,,328436.0,29142736.0,15738236.0,336136.0,5284736.0,13843936.0,,36712236.0,16640436.0,84878336.0,505336.0,10908636.0,85398336.0,2733193536.0,362866436.0,57778036.0,,621736.0,411336.0,1004950936.0,41384636.0,1341936.0,1665336.0,88603636.0,63399136.0,25313036.0,12626436.0,48852636.0,194937736.0,1002236.0,7378736.0,294936.0,4536136.0,27710436.0,187332636.0,11248236.0,32717936.0,468082836.0,1180236.0,544755436.0,2001609036.0,24891336.0,65223236.0,268036.0,51614136.0,277275436.0,459836.0,21946189436.0,23652736.0,14847736.0,20796636.0
7,1998,21807236.0,11416136.0,63730836.0,19423136.0,339336.0,210136436.0,17429136.0,353236.0,127906836.0,76491936.0,24745636.0,859536.0,753736.0,224494036.0,1787636.0,88467436.0,100478536.0,490136.0,11640036.0,,915336.0,21370536.0,22399936.0,2884936.0,473440436.0,394736.0,76047536.0,18992836.0,10779236.0,1151636.0,20116736.0,28283336.0,213789636.0,,7884836.0,12605336.0,63856136.0,4137775436.0,101282936.0,867336.0,76125436.0,5911136.0,11117236.0,20616236.0,41642436.0,56855536.0,5112136.0,86553936.0,46640536.0,1115836.0,,20304336.0,7166619836.0,5579171636.0,31201236.0,189575836.0,16507436.0,1037236.0,3818236.0,13579236.0,98376436.0,2623629236.0,,1392036.0,46940436.0,559727236.0,480136.0,3986336.0,1531436.0,33592736.0,813544536.0,28133936.0,97434836.0,,484436.0,22733336.0,16162036.0,2452436.0,1808336.0,18241836.0,735087636.0,12091636.0,37384536.0,95316836.0,1729636.0,2172767636.0,2236071336.0,510654436.0,124921936.0,42217336.0,22562636.0,,33809636.0,585451436.0,10501736.0,1185286836.0,7148336.0,69618136.0,42927336.0,164236.0,193257236.0,1319736.0,16228136.0,10309736.0,1432054836.0,24007036.0,1097964636.0,10979236.0,4826736.0,4165336.0,9583536.0,30861136.0,14115614136.0,3632236.0,1823136.0,9567436.0,21898936.0,17255736.0,43760536.0,359136.0,19217136.0,2373236.0,4537936.0,3919636.0,273692336.0,217036.0,610382636.0,21250636.0,4962936.0,78378436.0,31039236.0,124387736.0,3448336.0,49100136.0,124867136.0,599736.0,25157436.0,10150836.0,13809636.0,178767236.0,40217336.0,2784636.0,59961736.0,245827436.0,8081936.0,7206736.0,12030136.0,63360436.0,136414436.0,284185936.0,93502536.0,318336.0,170826236.0,1255232336.0,11060036.0,418036.0,,332936.0,29782736.0,16218336.0,349236.0,5246936.0,14764936.0,,37249936.0,16997236.0,86583736.0,530736.0,11160436.0,88391136.0,2837303436.0,371669636.0,58729036.0,,629936.0,412936.0,1033072536.0,42465436.0,1394136.0,1711636.0,88494636.0,63995536.0,26425736.0,12377536.0,50335836.0,204539936.0,1016336.0,7496736.0,303136.0,4618436.0,29157536.0,195576736.0,11396936.0,33876636.0,460698736.0,1242636.0,544167236.0,2012611936.0,25349136.0,66356136.0,270836.0,53735436.0,287060736.0,478536.0,22441944636.0,23782336.0,15321036.0,21228136.0
8,1999,22328036.0,11392636.0,66798136.0,19839536.0,334536.0,214235836.0,17803036.0,370136.0,129933436.0,76416336.0,25605436.0,898836.0,776936.0,234776436.0,1815936.0,89181036.0,101563036.0,494236.0,11846836.0,,958036.0,21987036.0,23366936.0,2982036.0,491783636.0,399836.0,77110536.0,19226936.0,10926636.0,1206236.0,20695836.0,28891336.0,217289536.0,,8029036.0,12888536.0,65936536.0,4270126336.0,104418936.0,885236.0,77648736.0,6045136.0,11590936.0,21014336.0,42972936.0,57885836.0,5236236.0,86911036.0,46462236.0,1152736.0,,21223936.0,7408320536.0,5766408736.0,32452636.0,193787236.0,17100736.0,1045636.0,3991736.0,13715436.0,101752236.0,2628420436.0,,1450336.0,47286036.0,568343236.0,506236.0,4067136.0,1569736.0,33759236.0,816021536.0,28893536.0,99591136.0,,480236.0,23750136.0,16290236.0,2458236.0,1744336.0,18681136.0,755311636.0,12536036.0,38593736.0,96197836.0,1760636.0,2233271836.0,2321519736.0,533261136.0,129879236.0,43311636.0,22654436.0,,34910936.0,595185036.0,10694236.0,1225991736.0,7284236.0,67666536.0,44355136.0,166636.0,202879536.0,1437836.0,16359336.0,10496736.0,1478618136.0,24141436.0,1131094236.0,11436136.0,4956336.0,4495336.0,9928336.0,31361336.0,14508401536.0,3671036.0,1834636.0,9919336.0,22686436.0,17669636.0,45191936.0,388336.0,19311036.0,2422536.0,4677036.0,4073636.0,282316036.0,218136.0,630334236.0,21299636.0,4966636.0,81277436.0,31970536.0,126798536.0,3521236.0,50388836.0,126188136.0,631936.0,25343136.0,10471336.0,14342136.0,181748536.0,40064236.0,2875736.0,61303936.0,253948136.0,8383636.0,7426536.0,12319936.0,65619036.0,140543936.0,289131836.0,95512936.0,337936.0,174397736.0,1247930236.0,12729736.0,422736.0,,337736.0,30452436.0,16703836.0,363236.0,5208436.0,15385636.0,,37711936.0,17381036.0,88365236.0,554536.0,11436636.0,91579636.0,2943977336.0,380294436.0,59670036.0,,637836.0,415936.0,1060642836.0,43532936.0,1444336.0,1754536.0,88377336.0,64700236.0,27469936.0,12107836.0,51796836.0,214800236.0,1034636.0,7608836.0,310336.0,4705436.0,30654136.0,203712036.0,11564836.0,34908036.0,455649536.0,1304236.0,543828236.0,2023742636.0,25750836.0,67413836.0,273336.0,55951036.0,296519136.0,500736.0,22954864836.0,23864436.0,15791436.0,21586036.0
9,2000,22971736.0,11409836.0,70021736.0,20272836.0,327836.0,218201136.0,18297336.0,389836.0,132177936.0,76480036.0,26526036.0,941236.0,796336.0,245380836.0,1846736.0,90280436.0,102491136.0,498836.0,12067336.0,,998036.0,22605236.0,24395436.0,3076336.0,511921436.0,402636.0,77993536.0,19452236.0,11074936.0,1266536.0,21287536.0,29482636.0,220881536.0,,8162736.0,13176936.0,68056236.0,4403543336.0,107622836.0,902736.0,79239336.0,6174736.0,12083036.0,21367536.0,42581436.0,59065636.0,5365636.0,86824336.0,46288136.0,1190536.0,,22163236.0,7654800736.0,5957390536.0,33743436.0,197870736.0,17714736.0,1052036.0,4173436.0,14114236.0,104954036.0,2650664336.0,,1506736.0,47629736.0,577200236.0,532436.0,4140436.0,1607936.0,34111736.0,824174036.0,29695736.0,101915436.0,,478536.0,24746936.0,16395936.0,2457436.0,1684336.0,19126036.0,775233936.0,12984636.0,39774836.0,96947536.0,1790036.0,2292988736.0,2409374736.0,556204436.0,134721536.0,44444136.0,22835736.0,,36113436.0,605443236.0,10908236.0,1266628636.0,7428836.0,67030136.0,45749036.0,169436.0,213181836.0,1525736.0,16564736.0,10672836.0,1526811136.0,24290636.0,1163858636.0,12005136.0,5057336.0,4807536.0,10300736.0,31878136.0,14926501736.0,3709136.0,1840836.0,10270636.0,23471536.0,18094136.0,49503336.0,416936.0,19381336.0,2487036.0,4823136.0,4206736.0,290347136.0,216736.0,650121236.0,21357736.0,4957336.0,84129436.0,32917436.0,128906836.0,3582536.0,51624836.0,127480636.0,664736.0,25576636.0,10796536.0,14905336.0,184552336.0,39900736.0,2978236.0,62854936.0,262425636.0,8708036.0,7647436.0,12655836.0,67917536.0,144828936.0,290888836.0,97637536.0,360036.0,178553836.0,1250524836.0,14192636.0,424136.0,,343136.0,31175536.0,17200736.0,374036.0,5170236.0,16197636.0,,37995636.0,17782836.0,90382436.0,575336.0,11727336.0,95020136.0,3053838036.0,388863436.0,60645536.0,,644736.0,420736.0,1087676636.0,44650436.0,1490536.0,1791836.0,88261336.0,65429236.0,28409136.0,11868736.0,53253936.0,225589036.0,1065436.0,7718836.0,316536.0,4801536.0,32056236.0,211528436.0,11779736.0,35766536.0,455097836.0,1363136.0,543650036.0,2034891336.0,26085836.0,69148136.0,275936.0,58282636.0,304697636.0,524636.0,23495907036.0,23908536.0,16256836.0,21865336.0
