,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,0.14400000000000002,,0.14400000000000002,0.444,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,,0.14400000000000002,1.144,,0.14400000000000002,0.14400000000000002,0.14400000000000002,,0.14400000000000002,0.244,,,0.14400000000000002,,10.644,0.244,,,2.244,0.7440000000000001,0.944,0.14400000000000002,1.844,,,3.544,0.944,0.14400000000000002,,0.14400000000000002,,0.8440000000000001,,0.14400000000000002,2.344,,0.14400000000000002,,,,0.244,,1.144,,,0.14400000000000002,0.14400000000000002,0.14400000000000002,0.444,0.644,,,,,,,,,1.144,0.244,0.14400000000000002,,1.244,0.14400000000000002,,,0.14400000000000002,0.544,,0.244,2.444,2.0165782860965438,1.844,,,,1.3161713137628743,,0.14400000000000002,0.14400000000000002,,,,,0.14400000000000002,144.0,,,0.14400000000000002,9.544,,,,0.14400000000000002,,0.22156325318427744,0.14400000000000002,1.2239440375767945,0.14400000000000002,2.544,1.144,,,,,,,0.14400000000000002,7.8439999999999985,0.14400000000000002,,1.344,,0.344,0.14400000000000002,0.14400000000000002,,0.10033204602938944,0.14400000000000002,0.14400000000000002,0.14400000000000002,1.244,0.14400000000000002,1.944,0.14400000000000002,,,,0.244,0.344,144.0,,,,0.14400000000000002,0.344,0.14400000000000002,0.14400000000000002,0.244,0.14400000000000002,,,,,,3.444,,,,,0.244,,0.14400000000000002,,,,,,,0.14400000000000002,2.144,,0.244,0.14400000000000002,,,,2.5463182028560145,0.14400000000000002,0.14400000000000002,4.744,,,,0.14400000000000002,444.0,0.444,,1.244,,0.344,0.14400000000000002,,,7.144,0.14400000000000002,,,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,0.14400000000000002,,0.344,0.14400000000000002,8.844,13.144
1,1992,0.14400000000000002,,0.14400000000000002,0.444,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,,0.14400000000000002,1.244,,0.14400000000000002,0.14400000000000002,0.14400000000000002,,0.14400000000000002,0.344,,,0.14400000000000002,,1444.0,0.244,,,2.144,0.944,144.0,0.244,2.144,,,444.0,144.0,0.14400000000000002,,0.14400000000000002,,0.8440000000000001,,0.14400000000000002,2.644,,0.14400000000000002,,,,0.444,,1.344,,,0.14400000000000002,0.14400000000000002,0.14400000000000002,0.544,0.7440000000000001,,,,,,,,,1.444,0.244,0.14400000000000002,,1.344,0.14400000000000002,,,0.14400000000000002,0.7440000000000001,,0.344,2.844,2.1036897479059444,1.744,,,,1.4501155178691243,,0.14400000000000002,0.14400000000000002,,,,,0.14400000000000002,1.244,,,0.14400000000000002,11.144,,,,0.14400000000000002,,0.23158805429323945,0.244,1.2795688264652945,0.14400000000000002,3.644,1.444,,,,,,,0.14400000000000002,8.744,0.14400000000000002,,1.344,,0.444,0.14400000000000002,0.14400000000000002,,0.10100478723476444,0.14400000000000002,0.14400000000000002,0.14400000000000002,1.544,0.14400000000000002,2.844,0.14400000000000002,,,,0.244,0.444,1.244,,,,0.14400000000000002,0.344,0.14400000000000002,0.14400000000000002,0.244,0.14400000000000002,,,,,,3.544,,,,,0.244,,0.14400000000000002,,,,,,,0.14400000000000002,3.544,,0.244,0.14400000000000002,,,,2.9073191208661435,0.14400000000000002,0.244,7.644,,,,0.14400000000000002,4.3439999999999985,0.7440000000000001,,1.444,,0.344,0.14400000000000002,,,6.544,0.14400000000000002,,,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,0.14400000000000002,,0.344,0.14400000000000002,8.943999999999997,14.544
2,1993,0.14400000000000002,,0.14400000000000002,0.544,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,,0.14400000000000002,1.344,,0.14400000000000002,0.244,0.14400000000000002,,0.14400000000000002,0.444,,,0.14400000000000002,,17.444000000000006,0.244,,,244.0,1.144,1.144,0.444,2.444,,,4.544,1.144,0.14400000000000002,,0.14400000000000002,,0.8440000000000001,,0.14400000000000002,2.844,,0.14400000000000002,,,,0.644,,1.544,,,0.14400000000000002,0.14400000000000002,0.14400000000000002,0.544,0.944,,,,,,,,,1.744,0.244,0.14400000000000002,,1.444,0.14400000000000002,,,0.14400000000000002,0.944,,0.444,3.244,2.1632837509013645,1.644,,,,1.5611437929096443,,0.14400000000000002,0.14400000000000002,,,,,0.14400000000000002,1.344,,,0.14400000000000002,12.344,,,,0.14400000000000002,,0.24277017302000145,0.244,1.3236219953595745,0.14400000000000002,544.0,1.744,,,,,,,0.14400000000000002,9.444,0.14400000000000002,,1.344,,0.544,0.14400000000000002,0.14400000000000002,,0.10168268010539744,0.14400000000000002,0.14400000000000002,0.14400000000000002,1.844,0.14400000000000002,4.144,0.14400000000000002,,,,0.344,0.544,1.444,,,,0.14400000000000002,0.444,0.244,0.14400000000000002,0.244,0.14400000000000002,,,,,,3.344,,,,,0.344,,0.14400000000000002,,,,,,,0.244,5.3439999999999985,,0.244,0.14400000000000002,,,,3.2546229499971844,0.14400000000000002,0.344,10.944,,,,0.14400000000000002,4.544,144.0,,1.744,,0.444,0.14400000000000002,,,5.8439999999999985,0.14400000000000002,,,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,0.14400000000000002,,0.444,0.14400000000000002,8.943999999999997,15.544
3,1994,0.14400000000000002,,0.14400000000000002,0.544,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,,0.14400000000000002,1.444,,0.14400000000000002,0.244,0.14400000000000002,,0.244,0.544,,,0.244,,20.644,0.244,,,1.944,1.344,1.244,0.7440000000000001,2.744,,,4.944,1.244,0.14400000000000002,,0.14400000000000002,,0.8440000000000001,,0.14400000000000002,2.944,,0.14400000000000002,,,,0.8440000000000001,,1.744,,,0.244,0.14400000000000002,0.14400000000000002,0.644,144.0,,,,,,,,,2.144,0.344,0.14400000000000002,,1.544,0.14400000000000002,,,0.14400000000000002,144.0,,0.544,3.544,2.1903885863591244,1.544,,,,1.6573141599489944,,0.14400000000000002,0.14400000000000002,,,,,0.14400000000000002,1.544,,,0.14400000000000002,1344.0,,,,0.14400000000000002,,0.2558103748146544,0.244,1.3565931892000644,0.14400000000000002,6.8439999999999985,1.944,,,,,,,0.244,9.844,0.14400000000000002,,1.244,,0.544,0.14400000000000002,0.14400000000000002,,0.10234780727789844,0.14400000000000002,0.14400000000000002,0.14400000000000002,2.244,0.244,5.8439999999999985,0.14400000000000002,,,,0.344,0.644,1.744,,,,0.14400000000000002,0.444,0.244,0.14400000000000002,0.244,0.14400000000000002,,,,,,3.144,,,,,0.344,,0.244,,,,,,,0.244,7.744,,0.244,0.14400000000000002,,,,3.608699877145064,0.14400000000000002,0.444,14.344,,,,0.14400000000000002,4.644,1.244,,244.0,,0.444,0.14400000000000002,,,544.0,0.14400000000000002,,,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,0.14400000000000002,,0.544,0.14400000000000002,8.844,16.144000000000002
4,1995,0.14400000000000002,,0.14400000000000002,0.644,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,,0.14400000000000002,1.544,,0.14400000000000002,0.244,0.14400000000000002,,0.244,0.644,,,0.244,,23.344,0.244,,,1.744,1.544,1.244,0.944,2.944,,,5.144,1.444,0.14400000000000002,,0.14400000000000002,,0.944,,0.14400000000000002,3.144,,0.14400000000000002,,,,1.144,,1.844,,,0.244,0.14400000000000002,0.14400000000000002,0.7440000000000001,1.144,,,,,,,,,2.644,0.544,0.14400000000000002,,1.644,0.14400000000000002,,,0.14400000000000002,1.144,,0.644,3.744,2.2206414237110645,1.344,,,,1.7125843900948543,,0.14400000000000002,0.14400000000000002,,,,,0.14400000000000002,1.544,,,0.14400000000000002,13.144,,,,0.14400000000000002,,0.25964547688474443,0.344,1.3829587070906344,0.14400000000000002,8.744,2.144,,,,,,,0.344,1044.0,0.14400000000000002,,1.144,,0.644,0.14400000000000002,0.14400000000000002,,0.10331651524437943,0.14400000000000002,0.14400000000000002,0.14400000000000002,2.744,0.244,7.744,0.14400000000000002,,,,0.344,0.7440000000000001,1.944,,,,0.14400000000000002,0.444,0.344,0.14400000000000002,0.244,0.14400000000000002,,,,,,2.844,,,,,0.444,,0.344,,,,,,,0.244,10.544,,0.244,0.14400000000000002,,,,3.931436710930544,0.14400000000000002,0.544,17.444000000000006,,,,0.14400000000000002,4.644,1.344,,2.344,,0.544,0.14400000000000002,,,4.3439999999999985,0.14400000000000002,,,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,0.14400000000000002,,0.544,0.14400000000000002,8.744,16.344
5,1996,0.14400000000000002,,0.14400000000000002,0.7440000000000001,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,,0.14400000000000002,1.544,,0.14400000000000002,0.344,0.14400000000000002,,0.344,0.7440000000000001,,,0.244,,25.144,0.244,,,1.444,1.744,1.344,1.244,344.0,,,5.244,1.544,0.14400000000000002,,0.14400000000000002,,0.944,,0.14400000000000002,3.144,,0.14400000000000002,,,,1.344,,1.844,,,0.244,0.14400000000000002,0.244,0.8440000000000001,1.244,,,,,,,,,2.944,0.644,0.14400000000000002,,1.644,0.14400000000000002,,,0.14400000000000002,1.244,,0.8440000000000001,3.944,2.1993248639062943,1.144,,,,1.7246499389087144,,0.14400000000000002,0.14400000000000002,,,,,0.14400000000000002,1.544,,,0.14400000000000002,12.644,,,,0.14400000000000002,,0.26237338479272443,0.344,1.3934697006083443,0.14400000000000002,10.244000000000002,2.344,,,,,,,0.344,9.944,0.14400000000000002,,144.0,,0.644,0.14400000000000002,0.14400000000000002,,0.1039081102424644,0.14400000000000002,0.14400000000000002,0.14400000000000002,3.244,0.344,9.444,0.14400000000000002,,,,0.244,0.8440000000000001,2.144,,,,0.14400000000000002,0.444,0.344,0.14400000000000002,0.244,0.14400000000000002,,,,,,2.744,,,,,0.544,,0.444,,,,,,,0.344,13.644,,0.14400000000000002,0.14400000000000002,,,,4.184089984373994,0.14400000000000002,0.644,19.744,,,,0.14400000000000002,4.544,1.444,,2.544,,0.544,0.14400000000000002,,,3.644,0.14400000000000002,,,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,0.14400000000000002,,0.644,0.14400000000000002,8.544,15.944
6,1997,0.14400000000000002,,0.14400000000000002,0.7440000000000001,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,,0.14400000000000002,1.544,,0.14400000000000002,0.344,0.14400000000000002,,0.444,0.8440000000000001,,,0.244,,25.94400000000001,0.244,,,1.244,1.844,1.344,1.344,3.144,,,5.244,1.644,0.14400000000000002,,0.14400000000000002,,0.944,,0.14400000000000002,3.144,,0.14400000000000002,,,,1.544,,1.844,,,0.244,0.14400000000000002,0.244,0.944,1.244,,,,,,,,,3.344,0.8440000000000001,0.14400000000000002,,1.644,0.14400000000000002,,,0.14400000000000002,1.244,,0.8440000000000001,3.944,2.1682879868424143,144.0,,,,1.6926605871247244,,0.14400000000000002,0.14400000000000002,,,,,0.14400000000000002,1.544,,,0.14400000000000002,11.644,,,,0.14400000000000002,,0.26863043443674745,0.344,1.3782550343343345,0.14400000000000002,11.244000000000002,2.444,,,,,,,0.444,9.744,0.14400000000000002,,0.8440000000000001,,0.7440000000000001,0.14400000000000002,0.14400000000000002,,0.10445187891069843,0.14400000000000002,0.14400000000000002,0.14400000000000002,3.744,0.344,10.644,0.14400000000000002,,,,0.244,0.944,2.244,,,,0.14400000000000002,0.444,0.444,0.244,0.244,0.14400000000000002,,,,,,2.444,,,,,0.544,,0.644,,,,,,,0.344,16.444000000000006,,0.14400000000000002,0.14400000000000002,,,,4.333762129922024,0.14400000000000002,0.8440000000000001,21.344,,,,0.14400000000000002,4.3439999999999985,1.444,,2.744,,0.644,0.14400000000000002,,,3.144,0.244,,,,0.244,0.14400000000000002,,0.244,0.14400000000000002,,0.644,0.14400000000000002,8.244,15.144
7,1998,0.14400000000000002,,0.14400000000000002,0.8440000000000001,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,,0.14400000000000002,1.544,,0.14400000000000002,0.344,0.14400000000000002,,0.644,0.8440000000000001,,,0.244,,25.94400000000001,0.244,,,144.0,1.844,1.344,1.444,344.0,,,4.944,1.844,0.14400000000000002,,0.14400000000000002,,144.0,,0.14400000000000002,344.0,,0.14400000000000002,,,,1.644,,1.844,,,0.244,0.14400000000000002,0.244,1.144,1.144,,,,,,,,,3.544,144.0,0.14400000000000002,,1.644,0.14400000000000002,,,0.14400000000000002,1.144,,0.944,3.944,2.126715955595885,0.8440000000000001,,,,1.6425951321829442,,0.14400000000000002,0.14400000000000002,,,,,0.14400000000000002,1.444,,,0.14400000000000002,10.244000000000002,,,,0.14400000000000002,,0.2672115022817155,0.344,1.3748146988769243,0.14400000000000002,1244.0,2.444,,,,,,,0.544,9.344,0.14400000000000002,,0.7440000000000001,,0.7440000000000001,0.244,0.14400000000000002,,0.10465013133641744,0.14400000000000002,0.14400000000000002,0.14400000000000002,4.244,0.444,11.344,0.14400000000000002,,,,0.244,144.0,2.344,,,,0.14400000000000002,0.344,0.444,0.244,0.244,0.14400000000000002,,,,,,2.244,,,,,0.644,,0.7440000000000001,,,,,,,0.344,18.844,,0.14400000000000002,0.14400000000000002,,,,4.408569546089433,0.14400000000000002,0.944,22.144,,,,0.14400000000000002,444.0,1.444,,2.844,,0.644,0.14400000000000002,,,2.744,0.344,,,,0.244,0.14400000000000002,,0.244,0.14400000000000002,,0.644,0.14400000000000002,844.0,1444.0
8,1999,0.14400000000000002,,0.14400000000000002,0.944,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,,0.14400000000000002,1.444,,0.14400000000000002,0.344,0.14400000000000002,,0.944,0.8440000000000001,,,0.14400000000000002,,25.344,0.244,,,0.8440000000000001,1.844,1.344,1.344,344.0,,,4.644,1.844,0.14400000000000002,,0.14400000000000002,,144.0,,0.14400000000000002,2.944,,0.14400000000000002,,,,1.644,,1.744,,,0.244,0.14400000000000002,0.244,1.344,1.144,,,,,,,,,3.744,1.144,0.14400000000000002,,1.544,0.14400000000000002,,,0.14400000000000002,1.144,,0.944,3.844,2.0793204090339743,0.644,,,,1.5658922710042744,,0.14400000000000002,0.14400000000000002,,,,,0.244,1.344,,,0.14400000000000002,8.744,,,,0.14400000000000002,,0.26097087939663444,0.344,1.357194549501844,0.14400000000000002,12.644,2.444,,,,,,,0.544,8.943999999999997,0.14400000000000002,,0.7440000000000001,,0.8440000000000001,0.244,0.14400000000000002,,0.10455313185220344,0.14400000000000002,0.14400000000000002,0.14400000000000002,4.644,0.444,11.444,0.14400000000000002,,,,0.244,144.0,2.344,,,,0.14400000000000002,0.344,0.544,0.244,0.244,0.14400000000000002,,,,,,2.144,,,,,0.7440000000000001,,0.944,,,,,,,0.344,20.644,,0.14400000000000002,0.14400000000000002,,,,4.399085530752943,0.14400000000000002,144.0,22.344,,,,0.14400000000000002,3.844,1.344,,2.944,,0.644,0.14400000000000002,,,2.544,0.444,,,,0.244,0.14400000000000002,,0.244,0.14400000000000002,,0.644,0.14400000000000002,7.744,12.744000000000002
9,2000,0.14400000000000002,,0.14400000000000002,0.944,,0.14400000000000002,0.14400000000000002,,0.14400000000000002,,0.14400000000000002,1.444,,0.14400000000000002,0.444,0.14400000000000002,,1.244,0.8440000000000001,,,0.14400000000000002,,24.144,0.244,,,0.7440000000000001,1.744,1.344,1.344,2.944,,,4.244,1.944,0.14400000000000002,,0.14400000000000002,,144.0,,0.14400000000000002,2.744,,0.14400000000000002,,,,1.644,,1.644,,,0.244,0.14400000000000002,0.244,1.644,144.0,,,,,,,,,3.844,1.244,0.14400000000000002,,1.444,0.14400000000000002,,,0.244,144.0,,0.944,3.644,2.016908399164034,0.544,,,,1.4765726966911643,,0.14400000000000002,0.14400000000000002,,,,,0.244,1.244,,,0.14400000000000002,7.244,,,,0.14400000000000002,,0.2581582671535215,0.344,1.3411551114627445,0.14400000000000002,1344.0,2.344,,,,,,,0.544,8.443999999999999,0.14400000000000002,,0.644,,0.8440000000000001,0.244,0.14400000000000002,,0.10449151320000544,0.14400000000000002,0.14400000000000002,0.14400000000000002,544.0,0.544,1144.0,0.14400000000000002,,,,0.244,144.0,2.244,,,,0.14400000000000002,0.344,0.544,0.244,0.244,0.14400000000000002,,,,,,1.944,,,,,0.8440000000000001,,1.144,,,,,,,0.344,21.544,,0.14400000000000002,0.14400000000000002,,,,4.282201330591383,0.14400000000000002,1.144,21.94400000000001,,,,0.14400000000000002,3.644,1.244,,2.844,,0.7440000000000001,0.14400000000000002,,,2.444,0.544,,,,0.244,0.14400000000000002,,0.244,0.14400000000000002,,0.644,0.14400000000000002,7.444,11.444
