,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,0.145,,0.145,0.245,,0.245,0.145,,0.145,,0.145,1.945,,0.145,0.245,0.145,,0.145,0.245,,,0.245,,445.0,0.345,,,1.245,0.645,0.645,0.245,1.145,,,1.945,0.545,0.145,,0.145,,0.445,,0.145,1.345,,0.145,,,,0.245,,0.545,,,0.245,0.145,0.245,0.245,0.245,,,,,,,,,0.445,0.145,0.145,,0.645,0.145,,,0.145,0.345,,0.145,1.245,1.1401489708002244,1.345,,,,0.7887823541600374,,0.145,0.145,,,,,0.145,1.445,,,0.145,5.545,,,,0.145,,0.29098505295228644,0.245,0.7203766403129895,0.145,245.0,0.445,,,,,,,0.145,345.0,0.445,,0.845,,0.245,0.145,0.345,,0.10033015459164343,0.145,0.145,0.145,145.0,0.345,1.145,0.145,,,,0.245,0.345,0.745,,,,0.145,0.545,0.145,0.245,0.445,0.145,,,,,,1.945,,,,,0.145,,0.145,,,,,,,0.145,0.945,,0.445,0.145,,,,1.4459714929000245,0.145,0.345,2.545,,,,0.145,2.145,2.245,,0.745,,0.545,0.145,,,4.645,0.145,,,,0.145,0.145,,0.145,0.145,,0.245,0.145,4.945,7.745
1,1992,0.145,,0.145,0.245,,0.245,0.145,,0.145,,0.145,2.145,,0.145,0.345,0.145,,0.145,0.345,,,0.245,,5.245,0.345,,,1.245,0.745,0.645,0.445,1.245,,,2.145,0.545,0.145,,0.145,,0.445,,0.145,1.445,,0.145,,,,0.345,,0.745,,,0.245,0.145,0.245,0.245,0.345,,,,,,,,,0.445,0.145,0.145,,0.745,0.145,,,0.145,0.345,,0.145,1.345,1.153901313270345,1.345,,,,0.8373746523320845,,0.145,0.145,,,,,0.145,1.645,,,0.145,6.245,,,,0.145,,0.2980083149653294,0.245,0.7406180780878374,0.145,2.745,0.545,,,,,,,0.145,3.345,0.545,,0.745,,0.245,0.145,0.345,,0.10066308924272643,0.145,0.145,0.145,1.245,0.445,1.645,0.145,,,,0.245,0.345,0.745,,,,0.145,0.645,0.145,0.245,0.445,0.145,,,,,,1.945,,,,,0.145,,0.145,,,,,,,0.145,1.345,,0.445,0.145,,,,1.5564821026217643,0.145,0.345,3.845,,,,0.145,2.345,345.0,,0.845,,0.545,0.145,,,445.0,0.145,,,,0.245,0.145,,0.145,0.145,,0.345,0.145,4.845,8.445
2,1993,0.145,,0.145,0.345,,0.245,0.145,,0.145,,0.145,2.345,,0.145,0.345,0.145,,0.145,0.345,,,0.345,,6.345,0.345,,,1.145,0.845,0.745,0.945,1.345,,,2.345,0.645,0.145,,0.145,,0.445,,0.145,1.545,,0.145,,,,0.545,,0.945,,,0.245,0.145,0.245,0.345,0.345,,,,,,,,,0.545,0.145,0.145,,0.745,0.145,,,0.145,0.445,,0.245,1.445,1.1474286335160444,1.245,,,,0.8866786597795145,,0.145,0.145,,,,,0.145,1.845,,,0.145,6.845,,,,0.145,,0.3227719726696945,0.345,0.7580216122377123,0.145,3.545,0.645,,,,,,,0.145,3.645,0.545,,0.745,,0.345,0.145,0.445,,0.1013279907116545,0.145,0.145,0.145,1.445,0.545,2.345,0.145,,,,0.245,0.445,0.845,,,,0.145,0.745,0.145,0.245,0.345,0.145,,,,,,1.745,,,,,0.245,,0.145,,,,,,,0.145,245.0,,0.445,0.145,,,,1.6884440070165745,0.145,0.445,5.145,,,,0.145,2.345,3.345,,0.945,,0.645,0.145,,,3.445,0.145,,,,0.245,0.145,,0.145,0.145,,0.345,0.145,4.745,8.845
3,1994,0.145,,0.145,0.345,,0.245,0.145,,0.145,,0.145,2.445,,0.145,0.445,0.145,,0.245,0.445,,,0.345,,7.445,0.345,,,145.0,0.945,0.745,1.445,1.445,,,2.545,0.645,0.245,,0.145,,0.445,,0.145,1.545,,0.145,,,,0.645,,1.145,,,0.345,0.145,0.245,0.345,0.445,,,,,,,,,0.745,0.245,0.145,,0.845,0.145,,,0.145,0.545,,0.345,1.545,1.1464111433114443,1.145,,,,0.9237182154641423,,0.145,0.145,,,,,0.145,1.845,,,0.145,745.0,,,,0.145,,0.32950703530494946,0.445,0.7771984018538765,0.145,4.645,0.645,,,,,,,0.245,3.745,0.545,,0.645,,0.345,0.145,0.445,,0.10165009763005643,0.145,0.145,0.145,1.645,0.645,3.245,0.145,,,,0.245,0.545,0.945,,,,0.145,0.745,0.145,0.245,0.345,0.145,,,,,,1.645,,,,,0.245,,0.145,,,,,,,0.245,2.845,,0.445,0.145,,,,1.8045433197180245,0.145,0.445,6.445,,,,0.145,2.445,3.245,,1.145,,0.645,0.145,,,2.845,0.245,,,,0.245,0.145,,0.145,0.145,,0.345,0.145,4.645,945.0
4,1995,0.145,,0.145,0.345,,0.245,0.145,,0.145,,0.145,2.445,,0.145,0.445,0.145,,0.245,0.545,,,0.345,,8.245,0.245,,,0.845,145.0,0.845,1.845,1.545,,,2.645,0.745,0.245,,0.145,,0.545,,0.145,1.645,,0.145,,,,0.845,,1.345,,,0.345,0.145,0.345,0.345,0.445,,,,,,,,,0.845,0.245,0.145,,0.845,0.145,,,0.145,0.545,,0.445,1.645,1.1340116121552843,0.945,,,,0.9421987470478944,,0.145,0.145,,,,,0.145,1.845,,,0.145,745.0,,,,0.145,,0.3035991161185895,0.445,0.7789068535175923,0.145,5.645,0.745,,,,,,,0.245,3.845,0.545,,0.645,,0.445,0.245,0.445,,0.10227992110768744,0.145,0.145,0.145,1.845,0.645,4.145,0.145,,,,0.245,0.645,145.0,,,,0.145,0.745,0.245,0.245,0.345,0.145,,,,,,1.445,,,,,0.245,,0.145,,,,,,,0.245,3.745,,0.445,0.145,,,,1.9018501194472344,0.145,0.545,7.545,,,,0.145,2.345,2.945,,1.245,,0.645,0.145,,,2.345,0.345,,,,0.245,0.145,,0.245,0.145,,0.345,0.145,4.545,945.0
5,1996,0.145,,0.145,0.445,,0.245,0.145,,0.145,,0.145,2.445,,0.145,0.445,0.145,,0.345,0.545,,,0.345,,8.745,0.245,,,0.745,145.0,0.845,1.945,1.645,,,2.745,0.845,0.245,,0.245,,0.545,,0.145,1.645,,0.145,,,,0.945,,1.445,,,0.345,0.145,0.345,0.445,0.445,,,,,,,,,0.945,0.345,0.145,,0.845,0.145,,,0.245,0.545,,0.545,1.645,1.1215656580058644,0.845,,,,0.9450453731090424,,0.145,0.145,,,,,0.145,1.745,,,0.145,6.645,,,,0.145,,0.29685622001551343,0.445,0.7858690668963645,0.145,6.445,0.745,,,,,,,0.345,3.845,0.545,,0.545,,0.445,0.245,0.345,,0.10255409438538343,0.145,0.145,0.145,2.145,0.745,545.0,0.145,,,,0.345,0.745,1.145,,,,0.145,0.645,0.245,0.245,0.345,0.145,,,,,,1.345,,,,,0.345,,0.145,,,,,,,0.245,4.645,,0.345,0.145,,,,1.9659286198111543,0.145,0.545,8.245,,,,0.145,2.245,2.445,,1.345,,0.745,0.145,,,1.945,0.445,,,,0.345,0.145,,0.345,0.145,,0.445,0.145,4.445,8.745
6,1997,0.145,,0.145,0.445,,0.245,0.145,,0.145,,0.145,2.345,,0.145,0.545,0.145,,0.445,0.545,,,0.345,,8.945,0.245,,,0.645,145.0,0.845,1.945,1.645,,,2.645,0.845,0.245,,0.245,,0.545,,0.145,1.645,,0.145,,,,145.0,,1.645,,,0.345,0.145,0.345,0.545,0.445,,,,,,,,,145.0,0.445,0.145,,0.845,0.145,,,0.245,0.545,,0.645,1.645,1.0925238459711444,0.745,,,,0.9171899811263564,,0.145,0.145,,,,,0.245,1.745,,,0.145,5.945,,,,0.145,,0.30060457914597943,0.445,0.7697816481857965,0.145,6.845,0.745,,,,,,,0.345,3.745,0.545,,0.445,,0.445,0.345,0.345,,0.10280382532152844,0.145,0.145,0.145,2.345,0.745,5.645,0.145,,,,0.345,0.745,1.145,,,,0.145,0.645,0.245,0.345,0.345,0.145,,,,,,1.245,,,,,0.345,,0.245,,,,,,,0.245,5.545,,0.345,0.145,,,,1.9611372874111543,0.145,0.645,8.545,,,,0.145,2.145,245.0,,1.445,,0.745,0.145,,,1.645,0.545,,,,0.345,0.145,,0.345,0.245,,0.445,0.145,4.345,8.145
7,1998,0.145,,0.145,0.445,,0.245,0.145,,0.145,,0.145,2.345,,0.145,0.545,0.145,,0.645,0.545,,,0.345,,8.845,0.245,,,0.545,145.0,0.845,1.745,1.645,,,2.545,0.945,0.245,,0.245,,0.545,,0.145,1.545,,0.145,,,,145.0,,1.645,,,0.345,0.145,0.445,0.545,0.445,,,,,,,,,1.145,0.545,0.145,,0.845,0.145,,,0.245,0.545,,0.645,1.545,1.0790463596880544,0.645,,,,0.9015130049050544,,0.145,0.145,,,,,0.245,1.645,,,0.145,545.0,,,,0.145,,0.29826272428845346,0.445,0.7728955975526673,0.145,7.145,0.745,,,,,,,0.445,3.645,0.545,,0.445,,0.545,0.445,0.345,,0.10273346463512144,0.145,0.145,0.145,2.645,0.845,5.945,0.145,,,,0.345,0.845,1.245,,,,0.145,0.545,0.345,0.345,0.345,0.145,,,,,,1.145,,,,,0.445,,0.345,,,,,,,0.245,6.245,,0.345,0.145,,,,1.9538271677942844,0.145,0.745,8.645,,,,0.145,245.0,1.645,,1.545,,0.745,0.145,,,1.445,0.645,,,,0.345,0.145,,0.345,0.345,,0.445,0.145,4.145,7.445
8,1999,0.145,,0.145,0.445,,0.245,0.145,,0.145,,0.145,2.245,,0.145,0.545,0.145,,0.845,0.545,,,0.245,,8.445,0.245,,,0.445,145.0,0.845,1.445,1.545,,,2.345,0.945,0.245,,0.245,,0.545,,0.145,1.545,,0.145,,,,145.0,,1.645,,,0.345,0.145,0.445,0.745,0.445,,,,,,,,,1.145,0.645,0.145,,0.745,0.145,,,0.345,0.445,,0.745,1.445,1.0403729574784344,0.545,,,,0.8643792581062365,,0.145,0.145,,,,,0.345,1.545,,,0.145,4.245,,,,0.145,,0.2743395445114534,0.445,0.7614401038316054,0.145,7.345,0.745,,,,,,,0.445,3.445,0.445,,0.345,,0.545,0.445,0.245,,0.10267651226516844,0.145,0.145,0.145,2.845,0.945,5.945,0.145,,,,0.345,0.845,1.245,,,,0.145,0.445,0.345,0.345,0.345,0.145,,,,,,145.0,,,,,0.445,,0.345,,,,,,,0.245,6.645,,0.245,0.145,,,,1.8858906349539644,0.145,0.745,8.445,,,,0.145,1.945,1.245,,1.545,,0.745,0.145,,,1.345,0.745,,,,0.345,0.145,,0.345,0.445,,0.445,0.145,445.0,6.645
9,2000,0.145,,0.145,0.545,,0.245,0.145,,0.145,,0.145,2.145,,0.145,0.645,0.145,,145.0,0.545,,,0.245,,7.945,0.245,,,0.345,0.945,0.845,1.245,1.545,,,2.145,0.945,0.245,,0.245,,0.545,,0.145,1.445,,0.145,,,,0.945,,1.645,,,0.345,0.145,0.445,0.845,0.345,,,,,,,,,1.145,0.645,0.145,,0.745,0.145,,,0.345,0.445,,0.745,1.445,1.0220849226571644,0.445,,,,0.8130470542366214,,0.145,0.145,,,,,0.345,1.445,,,0.145,3.345,,,,0.145,,0.27339460101042945,0.445,0.7612048392540974,0.145,7.345,0.645,,,,,,,0.445,3.345,0.445,,0.345,,0.545,0.545,0.245,,0.10234590752824443,0.145,0.145,0.145,345.0,145.0,5.745,0.145,,,,0.345,0.845,1.145,,,,0.145,0.445,0.345,0.345,0.345,0.145,,,,,,0.945,,,,,0.545,,0.445,,,,,,,0.245,6.845,,0.245,0.145,,,,1.7903800025347545,0.145,0.845,8.145,,,,0.145,1.845,145.0,,1.445,,0.745,0.145,,,1.345,0.745,,,,0.345,0.145,,0.345,0.445,,0.445,0.145,3.945,5.945
