,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,,,,,,65.546,,,,,,,,,,,,,,,,,,18.299999237060547,,,,,,,,,,,,,,,,,,,,7.546,,,,946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.59999847412114,,,,7.9000000953674325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.29999923706055,,,,,,,,,,,,,1.2000000476837247,,,,,,,,27.899999618530344,,
1,1992,,,8.600000381469734,,,,,,,,,,,63.90000152587896,,,,,,,,,,,,,,,,,,,,,,,,14.600000381469743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.79999923706055,2646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.59999847412114,22.399999618530344,,,,,,,,,,,,7.699999809265144,,,19.700000762939545,,,,,,39.700000762939545,,,,,,,,,,,,,,,,23.20000076293955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.100000381469744,
2,1993,,,,,,,,,,,,,,58.90000152587896,,,,,,,,,,,,,,27.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9000000953674325,6.099999904632576,,,,,,,,,,,,,,,23.20000076293955,,,,,,,,,,,,,,,,,,,,,,,,,,,17.700000762939545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.899999618530273,,,,,,,,,,,,,,,,,,,,,,20.799999237060547,,,,,,,,,,,,,,,,,,31.899999618530344,,,,,10.399999618530346,,,,,,,,,7.9000000953674325,,,,,,,,,,,35.700000762939545,,,,,
3,1994,,,,,,,,,,,,,,61.20000076293954,,,,,,,,9.899999618530273,,,,,,,,,,,,,21.299999237060547,,,,,,,,,1846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.70000076293955,,,,,,,,,,,,,,,3.5460000000000003,,,,,,,,,,,,,,,,,,,,,,,,,31.899999618530344,,,,,,,,,,,,,,,,,,,,,,646.0,,36.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.300000190734862,,,,,,,,,,,,,,,,,9.800000190734863
4,1995,,,10.399999618530346,,,,,,,,,,,58.59999847412114,,,,,,,,,,,,,,,,,,,,,,,,9.600000381469735,5.546,,,,,,,,,,,,,,,,,9.800000190734863,,,37.09999847412114,,,,,,,,,,,,,,,,,21.100000381469744,,,,,,,,,,,,25.20000076293955,,,,,,,2.9000000953674343,,,5.099999904632576,,,,,,,,,,,,,3.7999999523162846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.40000152587894,,,,,,,,,,,,,,,,19.39999961853034,,,,,,,,,,,,,,
5,1996,,,,35.700000762939545,,,,,,,,,,56.90000152587896,,,,,23.79999923706055,,,,,,4.199999809265145,,,,,,38.200000762939545,,,,,,,,,18.600000381469744,,,,,,,,,,,,4.099999904632576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.100000381469744,,,,,,,,,,,,,4.546,,,,,,,,,,,,,3.2999999523162846,,,,,,,,,,,,,37.200000762939545,,,,,,,,,,,,,42.54600000000001,,,,,,,,,,,,,,4.900000095367433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.29999923706055,,,,,,,,,,,,,,,13.699999809265144,,,,,,,18.200000762939545,
6,1997,,,,,,,,,,,,,,5346.0,,,,,,,,,,,,,,,,,,,,,,32.799999237060554,,,,,,,,,,,,,,,,,,,,,,12.199999809265144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2000000476837247,,3.7999999523162846,,,,,,5.599999904632576,,,,,,,,,,,,,,31.100000381469744,,,31.20000076293955,,,,,,,,,,7.199999809265145,25.29999923706055,,,,,,,,,,,,,,5.900000095367434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.79999923706055,,
7,1998,,,,,,,2.5999999046325746,,,,,,,52.79999923706055,,,,,,,,5.800000190734866,,,,,,,,,,15.699999809265144,,,,,,6.599999904632576,,,,,,19.700000762939545,,,,,,,,,,,,,9.300000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.79999923706055,,,,,,,2.5999999046325746,,,,15.100000381469743,,,,,,,,,,,,,,,,,,,,,,,,,,5.300000190734865,,,,,,,,,37.546,,,,9.600000381469735,43.90000152587896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.89999961853034,,,,7.099999904632576,,,,,,,,,,,,,,,,
8,1999,,,,,,,,,,,,,,50.54600000000001,,,,,,,11.546,,,,,,,32.200000762939545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.89999961853034,,,,17.799999237060547,2146.0,,,,,,,,,,43.79999923706055,21.100000381469744,,,,,,,2.546,,,3.7999999523162846,,,,,,,,,,,,,,,,,,1.6000000238418646,,,,,,,,,,,,,10.399999618530346,,,,,,,,,,,,,10.899999618530343,,,,,,,,,,,2.7999999523162846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79999923706055,,,,,,,,,,,,,,4.199999809265145,,,,30.29999923706055,,,,16.700000762939545,10.399999618530346
9,2000,,14.199999809265144,5.599999904632576,,,,2.0999999046325746,,,,1546.0,,,43.200000762939545,,,,,,,,,3.2999999523162846,1146.0,,,,,38.900001525878956,,38.59999847412114,,,,19.546,28.29999923706055,,7.546,546.0,21.899999618530344,,,,,,,,,,,,2.9000000953674343,,,,3.4000000953674343,,14.600000381469743,,,39.59999847412114,,,,,,,7.4000000953674325,14.300000190734945,,,,,,,,,21.546,9.899999618530273,12.199999809265144,,,,,,,,23.79999923706055,,11.899999618530344,,,,,346.0,,,,15.199999809265144,,,,,34.546,,,,,12.600000381469743,17.700000762939545,,,,,,,,20.100000381469744,,,,,28.20000076293955,,,,,,10.600000381469746,,,28.546,19.39999961853034,,,,,,42.400001525878956,,,,,,,,,5.099999904632576,,,,,2.7999999523162846,,18.299999237060547,,,8.800000190734863,,19.200000762939545,,21.100000381469744,2.9000000953674343,,,,,,,,,,23.79999923706055,,,,,36.700000762939545,10.100000381469746,8.699999809265144,,,,,,,,,,4.300000190734865,,,,1746.0,3.5460000000000003,,,,,,,,26.70000076293955,,,,,
10,2001,,,,25.600000381469744,,,,,,,,,,44.54600000000001,,,,,19.600000381469744,,,,,,,,,,,,,,,,,,,,,,30.70000076293955,,,,,,,1.6000000238418646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.899999618530344,,,,,,22.399999618530344,,,,,,,2.7000000476837247,,,,,,,1.8999999761581448,,,,,,,,,,,,,,,,,,2646.0,28.546,,,,,,,,,,,,,43.700000762939545,,,,7.099999904632576,,,,,,3146.0,,,,,,,,,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.399999618530273,,,,,,,,,,,,,,,0.6999999880790714,,,,,,,,,,
11,2002,,,9.600000381469735,,,,,,,,,,,43.09999847412115,,,,,,,,,,,3.0999999046325746,,,,,,,,,,,,,6.546,,,,,,,,,,,,2346.0,,3.9000000953674334,,,,,,,3346.0,,,,,,,,,,,,,,,,,17.546,,,,,,,,,,,,20.700000762939545,,,,,,,2.5999999046325746,,3.2000000476837247,,,,,1.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9000000953674343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.09999847412114,,,,,,,,,,,0.8999999761581424,4.900000095367433,6.199999809265145,,,2346.0,,,,22.299999237060547,
12,2003,,,,,,,,,,,,,,41.29999923706055,,,,,,,,5.699999809265145,,,,,,33.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0,5.300000190734865,,,,,,,,,,,,,,,1746.0,,,,,,,,,,,,,,,,20.600000381469744,,,,,,,,,,,13.699999809265144,,0.6000000238418585,1.8999999761581448,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.199999809265146,19.89999961853034,28.20000076293955,,,,,,,,25.399999618530344,,,,,,,,,21.299999237060547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.900000095367433,,,,24.20000076293955,,,41.79999923706055,,
