,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,CPV,KHM,CMR,CAN,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAS,EAP,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LDC,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,OSS,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SXM,SVK,SVN,SST,SLB,SOM,ZAF,SAS,ESP,LKA,KNA,LCA,VCT,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,21.70000076293955,,,5.599999904632576,,5.900000095367434,9.899999618530275,3.2999999523162846,,12.100000381469748,5.199999809265145,249.0,13.549,,4.599999904632576,4.400000095367433,,7.548999999999999,,6.199999809265145,15.549,11.699999809265153,,3.7000000476837247,,,,,,,10.800000190734947,5.300000190734865,,,5.099999904632576,,7.6999998092651465,21.299999237060547,,,4.699999809265145,,11.100000381469748,,,2.4000000953674347,8.300000190734865,41.900001525878956,9.899999618530275,12.800000190734947,,,4.099999904632576,5.900000095367434,8.300000190734865,,,1.3999999761581448,1.1000000238418648,,,,10.600000381469748,7.199999809265145,,,,,4.400000095367433,,4.800000190734865,,,,,,,,,4.300000190734865,1.8999999761581448,,2.2999999523162846,,,,9.549,,15.300000190734947,4.699999809265145,8.600000381469735,6.800000190734866,9.399999618530275,2.2000000476837247,,,,,2.7000000476837247,,,,,,,,,,,,,1.1000000238418648,2.549,,,,,,,,,,2.549,,10.814290635243148,,,15.300000190734947,,,2049.0,,5.599999904632576,,11.300000190734947,11.300000190734947,,,5.199999809265145,,,4.199999809265145,12.800000190734947,,5.400000095367434,4.800000190734865,8.100000381469735,,2.599999904632575,,,,0.6000000238418585,,1.8999999761581448,,,,,,,,,8.100000381469735,,,,,,1249.0,,5.400000095367434,6.599999904632576,18.399999618530348,,,,,3.549,1.2000000476837247,5.199999809265145,,2.7999999523162846,249.0,,,,15.699999809265153,,8.699999809265146,,1.2999999523162848,,,9.399999618530275,7.199999809265145,7.199999809265145,,,9.600000381469735,,,,,16.299999237060547,
1,1992,,,24.20000076293955,,,6.400000095367434,,,11.399999618530348,3.549,,13.800000190734947,,,20.600000381469744,,4.800000190734865,,2.2000000476837247,,,5.549,,,5.400000095367434,,,,,,,,1249.0,,,,3.9000000953674334,,6.800000190734866,,,,3.549,,,,249.0,,8.300000190734865,,,1249.0,,,649.0,6.400000095367434,8.399999618530275,,,3.9000000953674334,,,,,13.300000190734947,8.100000381469735,,,,,4.900000095367433,3.7000000476837247,4.900000095367433,,,,,,10.399999618530348,,,3.2999999523162846,249.0,1149.0,3.7999999523162846,,,2.7000000476837247,,,14.899999618530348,,9.199999809265146,6.699999809265145,9.399999618530275,2.099999904632575,,,,,2.7999999523162846,,,,5.472657719455954,,,,,,,,,1.6000000238418648,1.8999999761581448,,,,3.4000000953674347,,,,,3.2000000476837247,2.7000000476837247,,,,,1349.0,,,,,449.0,,11.399999618530348,,,,5.800000190734866,,,3.7999999523162846,10.800000190734947,,649.0,7.548999999999999,7.900000095367434,12.199999809265153,3.4000000953674347,,8.600000381469735,5.199999809265145,,,1.6000000238418648,,7.400000095367434,,,,249.0,,,,,,,,,13.549,,,,,,,13.699999809265153,,6.699999809265145,2.2999999523162846,,,,1.2999999523162848,,,,1749.0,,8.800000190734865,,,,,11.600000381469748,7.900000095367434,6.800000190734866,,,8.199999809265146,,,,,,
2,1993,,,,,,8.549,,,11.549,4.099999904632576,,12.800000190734947,,,22.399999618530348,,6.199999809265145,7.548999999999999,,,,6.549,,,5.199999809265145,,20.899999618530348,,,,,,11.899999618530348,,,1.1000000238418648,4.199999809265145,,5.800000190734866,,,,3.599999904632575,,,,,3.4000000953674347,10.399999618530348,,,11.399999618530348,,,6.199999809265145,7.548999999999999,11.800000190734947,,,6.549,,,,,20.899999618530348,9.699999809265146,,19.100000381469744,,,6.549,,5.800000190734866,,,,,,,,,,249.0,13.549,549.0,,,,,,15.399999618530348,,8.549,7.599999904632576,10.899999618530348,2.2999999523162846,18.100000381469744,,,,3.2999999523162846,,,,5.584261562425176,,,,,,,,,1.8999999761581448,2.2000000476837247,,,,3.7999999523162846,,,,,3.549,2.9000000953674347,,,,,14.199999809265153,,,,,5.300000190734865,,10.399999618530348,,,,6.099999904632576,,,3.4000000953674347,9.699999809265146,,5.599999904632576,8.399999618530275,8.199999809265146,12.199999809265153,4.549,,,5.900000095367434,,,249.0,,,,,,2.099999904632575,,12.549,10.600000381469748,,,,,,18.399999618530348,9.699999809265146,,12.199999809265153,,,,1249.0,,10.899999618530348,3.099999904632575,7.599999904632576,,,1.2000000476837247,,,,17.700000762939545,,8.800000190734865,,,,,12.399999618530348,7.199999809265145,6.549,,,7.199999809265145,,,,,18.899999618530348,
3,1994,,,,,,10.69999980926515,,5.599999904632576,1049.0,3.2000000476837247,,12.600000381469748,,,18.399999618530348,,7.6999998092651465,949.0,,,,3.4000000953674347,,19.700000762939545,,,20.200000762939545,,,,,,10.899999618530348,,,,5.400000095367434,,5.400000095367434,,,,3.549,,,,,3.599999904632575,7.199999809265145,,,10.19999980926515,,,5.800000190734866,7.400000095367434,8.399999618530275,,,7.300000190734866,349.0,,,,17.799999237060547,11.100000381469748,,,,,7.548999999999999,,649.0,,18.549,,4.599999904632576,,,,,,249.0,12.100000381469748,5.099999904632576,,3.599999904632575,,,,14.549,,6.199999809265145,8.699999809265146,9.600000381469735,2.7999999523162846,,,,,2.7999999523162846,,,,,,,,,,,,,349.0,2.549,,,,,,,,,3.7999999523162846,449.0,,,,,,,,17.899999618530348,,6.549,,8.800000190734865,,,,5.300000190734865,,,3.4000000953674347,10.69999980926515,,4.900000095367433,749.0,7.900000095367434,1349.0,5.900000095367434,,7.6999998092651465,8.300000190734865,,,,,,,8.600000381469735,,2.2000000476837247,,13.300000190734947,9.300000190734863,,,,17.200000762939545,3.680022914395448,19.799999237060547,9.699999809265146,,14.549,,,,11.399999618530348,,10.899999618530348,3.549,6.800000190734866,,,1.1000000238418648,,,,16.100000381469748,,8.699999809265146,,,,,11.399999618530348,6.199999809265145,7.099999904632576,,,8.100000381469735,,,,9.300000190734863,,6.800000190734866
4,1995,,,2649.0,,,16.549,,,8.899999618530275,3.9000000953674334,,1049.0,,,16.600000381469748,,7.300000190734866,1049.0,,,,3.2999999523162846,,,5.099999904632576,,15.699999809265153,,,,,,9.800000190734863,,,,4.400000095367433,,6.800000190734866,,,,4.599999904632576,,,5.400000095367434,,3.4000000953674347,5.599999904632576,,,10.19999980926515,,,5.549,7.599999904632576,8.699999809265146,,,10.399999618530348,,8.693225685783265,,,17.799999237060547,1049.0,,,,,7.099999904632576,,6.199999809265145,,,,,,,,,3.2000000476837247,3.4000000953674347,11.100000381469748,5.549,,2.4000000953674347,,,,11.899999618530348,,4.800000190734865,9.100000381469735,10.800000190734947,349.0,12.100000381469748,,,,2.2999999523162846,,,2.599999904632575,6.783678182690685,,,,,,,,,2.099999904632575,4.099999904632576,,,,2.7999999523162846,0.6000000238418585,,,,,649.0,,,,,18.700000762939545,,,,,6.099999904632576,,6.549,15.899999618530348,3.599999904632575,,6.300000190734866,,,3.7000000476837247,10.800000190734947,,3.099999904632575,649.0,7.6999998092651465,12.100000381469748,6.549,,7.548999999999999,9.699999809265146,,,149.0,,,,,,2.2999999523162846,,12.600000381469748,7.400000095367434,,,,14.399999618530348,2.636568501334955,17.899999618530348,949.0,,11.699999809265153,,,,749.0,20.399999618530348,9.800000190734863,2.9000000953674347,5.549,,,,,,,15.199999809265153,,7.800000190734866,,,6.300000190734866,1.7000000476837247,10.100000381469748,5.599999904632576,849.0,,,949.0,,,,,,
5,1996,,,,,,15.800000190734947,,,8.800000190734865,5.300000190734865,,8.600000381469735,,2.7000000476837247,11.699999809265153,,7.400000095367434,11.600000381469748,,,,4.900000095367433,,19.399999618530348,5.549,,13.800000190734947,,,,,9.549,9.899999618530275,,,,5.599999904632576,,9.549,,,,5.300000190734865,,9.300000190734863,4.900000095367433,,3.2999999523162846,5.549,,,10.600000381469748,,,849.0,6.900000095367434,8.399999618530275,,,10.600000381469748,,8.795288408952826,,4.800000190734865,15.600000381469748,10.600000381469748,11.549,,,,8.199999809265146,,649.0,15.100000381469748,1049.0,,,,,,,4.400000095367433,3.099999904632575,10.800000190734947,3.7000000476837247,,2.4000000953674347,3.7999999523162846,8.549,,11.699999809265153,4.300000190734865,549.0,9.300000190734863,9.899999618530275,3.4000000953674347,1249.0,,,,2.4000000953674347,,,,6.992978829648565,20.600000381469744,,,,,,15.300000190734947,,2.549,4.599999904632576,,,,2.549,,,,,4.599999904632576,4.400000095367433,,,,,16.100000381469748,,,,,5.199999809265145,16.299999237060547,6.300000190734866,1449.0,,,4.800000190734865,,,,11.399999618530348,,,6.400000095367434,749.0,1149.0,6.400000095367434,,6.300000190734866,1049.0,0.8999999761581426,,1.2999999523162848,,,,,,2.2999999523162846,,10.19999980926515,7.099999904632576,,,,17.399999618530348,2.5225178656421847,17.600000381469744,8.100000381469735,,13.800000190734947,,,,7.900000095367434,,10.399999618530348,3.4000000953674347,,,,149.0,,,,13.300000190734947,,6.900000095367434,,,849.0,,9.699999809265146,5.400000095367434,,,,10.549,2.2000000476837247,,,,14.899999618530348,
6,1997,,,25.29999923706055,,,1349.0,3849.0,6.800000190734866,8.800000190734865,5.099999904632576,,8.300000190734865,,,11.399999618530348,,7.099999904632576,8.899999618530275,,,,3.7000000476837247,,,6.199999809265145,,13.899999618530348,,,,,,9.300000190734863,3.2000000476837247,,,5.400000095367434,,9.699999809265146,,,,4.900000095367433,,9.300000190734863,4.699999809265145,,3.599999904632575,4.549,,19.600000381469744,9.199999809265146,,,6.900000095367434,5.199999809265145,9.549,,,11.199999809265153,,10.348048774089747,,,14.800000190734947,11.100000381469748,,,,,9.300000190734863,,6.199999809265145,11.899999618530348,,,,,,,,3.2999999523162846,2.2999999523162846,9.899999618530275,3.599999904632575,,2.599999904632575,,,,10.19999980926515,,5.900000095367434,9.399999618530275,10.600000381469748,3.2999999523162846,,,,,2.7999999523162846,,,,6.579033210585794,14.800000190734947,,,30.70000076293955,,,14.300000190734947,,1.7999999523162848,3.599999904632575,3349.0,,,2.2000000476837247,,3.2999999523162846,,,5.599999904632576,349.0,,,,,15.300000190734947,3.4000000953674347,,18.200000762939545,,4.300000190734865,,6.800000190734866,12.600000381469748,,,4.400000095367433,,,3.9000000953674334,10.69999980926515,,4.549,6.800000190734866,7.548999999999999,9.300000190734863,5.800000190734866,1.8999999761581448,5.199999809265145,12.100000381469748,,,1.2000000476837247,,,,,,249.0,,11.100000381469748,6.400000095367434,,,,18.899999618530348,2.8153149163315847,16.100000381469748,7.6999998092651465,,17.700000762939545,,,,7.400000095367434,2049.0,1149.0,4.400000095367433,13.100000381469748,,,0.8000000119209296,,,,12.300000190734947,15.549,6.549,,,9.549,,8.100000381469735,4.900000095367433,,,,949.0,3.2000000476837247,,,,,8.699999809265146
7,1998,,,,,,11.899999618530348,,,8.100000381469735,5.549,,5.699999809265145,,,8.399999618530275,,7.599999904632576,10.600000381469748,,,1.3999999761581448,,,18.399999618530348,7.099999904632576,,12.600000381469748,2.2999999523162846,,,2.9000000953674347,,8.549,,,,5.699999809265145,,12.549,,,,4.400000095367433,,10.600000381469748,4.400000095367433,,4.599999904632576,3.7999999523162846,,,9.300000190734863,,,8.399999618530275,5.099999904632576,8.199999809265146,,,10.399999618530348,,11.260959909770449,,,12.899999618530348,10.549,,,,12.600000381469748,9.300000190734863,,7.300000190734866,13.399999618530348,10.600000381469748,,,,,,,3.7999999523162846,549.0,9.600000381469735,2.4000000953674347,,3.549,549.0,,,7.900000095367434,,749.0,9.399999618530275,1049.0,3.7999999523162846,,,,,7.800000190734866,,,,7.149449035925626,15.399999618530348,,,,,,15.399999618530348,,1.8999999761581448,5.400000095367434,32.549,,,3.099999904632575,,,,,6.099999904632576,2.9000000953674347,,,,5.400000095367434,17.549,,,,,3.4000000953674347,,7.800000190734866,12.399999618530348,,,3.549,,,4.099999904632576,10.300000190734947,,4.549,6.549,9.300000190734863,8.399999618530275,3.7999999523162846,,5.800000190734866,13.549,,,1.2000000476837247,,,,,,3.549,,11.899999618530348,7.300000190734866,,,,21.299999237060547,3.609130951256025,13.600000381469748,6.549,,1849.0,,,,7.199999809265145,,9.699999809265146,3.2000000476837247,,,,3.4000000953674347,,,,11.300000190734947,,6.900000095367434,,,11.899999618530348,,6.900000095367434,4.400000095367433,7.6999998092651465,,,1049.0,2.4000000953674347,,,,1349.0,
8,1999,,,,,,13.300000190734947,,,7.199999809265145,4.699999809265145,14.199999809265153,5.549,,,7.6999998092651465,,7.548999999999999,949.0,,,1.2000000476837247,3.7000000476837247,,,7.800000190734866,,1449.0,,,,,,7.800000190734866,,,,9.399999618530275,,17.200000762939545,,,,549.0,,12.549,4.300000190734865,49.0,7.199999809265145,4.549,,13.100000381469748,7.800000190734866,,,10.800000190734947,5.099999904632576,8.549,,,12.899999618530348,4.400000095367433,11.564315763018648,,,1149.0,10.549,,,,15.300000190734947,8.600000381469735,9.399999618530275,849.0,10.600000381469748,,2.2000000476837247,,,,6.199999809265145,,449.0,7.199999809265145,7.548999999999999,1.6000000238418648,,,649.0,,,5.900000095367434,,7.400000095367434,8.800000190734865,1049.0,4.699999809265145,,,,,7.199999809265145,,,,7.789619070525496,14.199999809265153,,,21.549,,,14.699999809265153,,1.7000000476837247,849.0,31.899999618530348,,,3.549,,,,,749.0,1.8999999761581448,,,13.300000190734947,,14.199999809265153,,,,249.0,2.7000000476837247,,7.300000190734866,10.300000190734947,,,3.2999999523162846,,,,8.899999618530275,,6.099999904632576,7.548999999999999,9.399999618530275,11.549,4.199999809265145,,6.900000095367434,13.199999809265153,,,,,3.7000000476837247,,,,3.7999999523162846,,1649.0,7.199999809265145,,3149.0,,21.100000381469744,,10.800000190734947,6.699999809265145,,1649.0,,,,9.899999618530275,,8.300000190734865,2.7999999523162846,649.0,,,349.0,,,,10.899999618530348,15.600000381469748,7.6999998092651465,,,11.800000190734947,,6.800000190734866,4.099999904632576,8.699999809265146,,,13.600000381469748,2.2999999523162846,,,12.549,,7.300000190734866
9,2000,,,29.79999923706055,,,14.100000381469748,,6.549,6.549,4.800000190734865,10.899999618530348,,,3.2000000476837247,7.548999999999999,,5.300000190734865,,,3.099999904632575,,3.9000000953674334,,14.699999809265153,,,16.600000381469748,,,,2.2000000476837247,,6.900000095367434,,,,8.699999809265146,,1249.0,,,,4.300000190734865,,14.899999618530348,3.7999999523162846,3.2000000476837247,7.300000190734866,449.0,,,8.699999809265146,,,6.199999809265145,5.099999904632576,9.100000381469735,,,1549.0,,10.083344699531947,,,10.300000190734947,8.600000381469735,,,,11.100000381469748,7.599999904632576,10.100000381469748,7.300000190734866,1249.0,,1.3999999761581448,,,,,,,5.599999904632576,7.199999809265145,1.2999999523162848,,4.300000190734865,5.699999809265145,,,4.400000095367433,,7.400000095367434,8.300000190734865,10.19999980926515,549.0,12.300000190734947,,,,549.0,,,,,1549.0,,,,,,18.200000762939545,,1.7999999523162848,8.600000381469735,30.549,649.0,,349.0,1.6000000238418648,,6.199999809265145,8.899999618530275,8.300000190734865,2.2000000476837247,,,9.699999809265146,,13.800000190734947,,,19.100000381469744,,2.2000000476837247,,6.300000190734866,9.199999809265146,,,3.599999904632575,,,5.549,11.100000381469748,4.300000190734865,6.699999809265145,8.199999809265146,1149.0,14.600000381469748,3.099999904632575,,7.548999999999999,10.800000190734947,,,,12.549,3.7999999523162846,,,,3.9000000953674334,,19.399999618530348,6.800000190734866,,,,24.899999618530348,4.3283771649273435,9.549,5.900000095367434,,12.699999809265153,,,,,,5.900000095367434,2.2999999523162846,1.6000000238418648,,,2.4000000953674347,,,,10.19999980926515,15.300000190734947,6.599999904632576,,,11.600000381469748,2.2000000476837247,6.099999904632576,3.9000000953674334,10.899999618530348,,,12.549,2.4000000953674347,,,,14.100000381469748,
