,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.31903581564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.08884261669,,,,,73.03380187415999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.57087023618,,,,13.67532566593,,,,,,,,,,,,,,,,,,,15.22121516423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.81939463281,,,,,,,55.47982588999,,,,,,,,,,,,69.67767214356999,,,,,66.85519981146999,,,,,,,,,,,,,64.41315064685,,,,,,,,,,
1,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93666369313,,,,,42.93566117038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.74370987333,,,,,76.78212851406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.82058507783001,,,,15.708774266879999,,,,,,,,,,,,,,,,,,,17.484529357739998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.02679193528,,,,,,,59.2764576255,,,,,,,,,,,,71.09383073266999,,,,,69.77493855839,,,,,,,,,,,,,66.77000569573,,,,,,,,,,
2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.42343146001,,,,,48.777705930959996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.62640985598,,,,,80.42168674699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.70127147075,,,,17.369124634960002,,,,,,,,,,,,,,,,,,,19.33256945696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.37995702142,,,,,,,62.620416990740004,,,,,,,,,,,,74.66415211326,88.24504809998001,,,,72.94128539205,,,,,,,,,,,,,68.98333431536,,,,,,,69.18110557141,,,
3,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.47546833185001,,,,,54.98706757194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.73694256464,,,,,82.61378848728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.70273081051999,,,,18.64455551538,,,,,,,,,,,,,,,,,,,20.75217790595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.33911270508,,,,,,,65.49618281551,,,,,,,,,,,,76.42433949916,88.80468538472,,,,75.93761572905,,,,,,,,,,,,,70.93227214424,,,,,,,70.6164260908,,,
4,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.17781742492,,,,,59.07784603226,,,,,,22.990469117470003,,,,,,,,,,,,,,,,,,,,,,,82.62189831685001,,,,,84.19511378849,,,,,,,,,,,,,33.03537101115,,,,,,,,,,,,,,,,,64.54055958132,,,,25.10771282323,,,,,,,,,,,,,,,,,,,27.945945018070002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07998342464,,,,,,,68.70923560795,,,,,,,,,,,,78.44976060074,90.65978848406,,,,79.10227923104999,,,,,,,,,,,,,73.07383754923,,,,,,,72.81757553632,,,
5,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.34493012192,,,,,63.32938175809,,,,,,26.75826216116,,,,,,,,,,,,,,,,,,,,,,,83.39406559084,,,,,85.41666666667,,,,,,,,,,,,,40.58054594387,,,,,,,,,,75.24141630901,,,,,,,67.82558373591,,,,33.44768903407,,,,,,,,,,,,,,,,,,,37.22869085322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.53784461704001,,,,,,,71.2286967675,,,,,,,,,,,,79.44998449933,91.43468091561,,,,81.98835134498,,,,,,,,,,,,,75.0378834233,,,,,,,74.89183549011,,,
6,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.60868272376,,,,,66.54183281244,,,,,,30.20175764327,,,,,,,,,,,,,,,,,,,,,,,83.98403609231,,,,,87.00635876841,,,,,,,,,,,,,47.29190695886,50.12922465209001,,,,,,,,,77.02968526466,,,,,,,70.14811460010999,,,,40.10283955873,,,,,,,,,,,,,,,,,,,44.63615452618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.80914138192,,,,,,,72.71344167451001,,,,,,,,,,,,80.85796217836,91.65038052644002,,,,85.43076456924,,,,,,,,,,,,,76.82818677774,,,,,,,76.70060140938001,,,
7,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.67915551591,,,,,70.30121780364,,,,,,33.699715311300004,,,,,89.66717633596001,,,,,,,,,,,,,,,,,,84.565330557,,,,,88.11077643909,,,,,,,,,,,,,53.647635524799995,50.98161033797,,,,,,,,,78.77324749642,,,,,,,74.26982689210999,,,,46.56889627415,,,,,,,,,,,,,,,,,,,51.8331488014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.14009842534,,,,,,,74.38520815424,,,,,,,,,,,,81.60716131032,91.78473098917,,,,91.40911692422002,,,,,,,,,,,,,78.58449703051,,,,,,,78.49621950651,,,
8,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.86113589057,,,,,73.15174048928,,,,,,37.21252630276,,,,,89.57157327538,,,,,,,,,,,,,,,,,,85.19000520562,,,,,88.27811244979998,,,,,,,,,,,,,58.70338331410999,52.601060304840004,,,,,,,,,80.20386266094,,,,,,,74.5100308642,,,,54.55049491445,,,,,,,,,,,,,,,,,,,60.71700526130999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.55879117252,,,,,,,76.14856659435,,,,,,,,,,,,82.72407082085,92.46657141273,,,,92.92579874087,,,,,,,,,,,,,80.21238889921,,,,,,,79.98289664554,,,
9,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.15462384776,,,,,75.31432984876,,,,,,40.58794405248,,,,,90.96466934003,83.41467823571999,,,,,,,,,,,,,,,,,86.1617213257,,,,,88.62115127175,,,,,,,,,,,,,63.49240676663,55.04887342611,,,,,,,,,81.75071530758001,,105.33531549389,,,,,75.90286164788,,,,59.84902343571,,,,,,,,,,,,,,,,,,,66.61449133558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.81661129324,,,,,,,78.07148607529,,,,,,,,,,,,83.58435809996,92.97021846426,,,,93.93158940174,,,,,,,,,,,,,82.16888075069001,,,,,,,81.636633705,,,
