,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,5.11835913956,19.68212146659,,,,,52.11234942011,,68.85521885521999,,67.42598875669,79.07022025043,,55.89987081634,0.0,69.59525890321,67.06776618423001,37.55969711623,,33.45416208626,33.19765936112,,18.93209747514,0.00490644317,79.98549467676,0.15756215595,50.45442235595,11.668611435239999,,47.29052286873,71.90848537504,,,48.22629969419,46.04154200009,36.6172091103,42.428482587059996,12.43670886076,,9.57e-09,33.86577764476,11.21683250415,43.16451506124,0.25668613612,,57.02101102559,35.09769612132,68.96834061135,111.14696834885,69.42169979573,17.71881991051,40.1428061269,63.47553490491,1.9948022060900004,24.116666666670003,37.04284481614,28.93505487304,,,26.228650560420004,0.08057665479,,53.71137116908,75.28450807636,74.35890586601,,57.259739156330006,37.37045503336,,70.90909090909,,36.90396061818,,63.65852878179,24.0861166025,,7.345855448560001,,4.917131952719999,,12.429906542060001,63.71463714636999,12.74760810928,43.43320661598,206.46776718319,27.25926117738,14.18987199641,3.6528150134,,63.752609603340005,,39.31413968153,60.05061460593,5.935998252509999,97.52415458937,52.46314184037,,10.41104791806,,49.29242577597999,,,4.257872955330002,6.43825266915,1.13471314452,,,,62.87516069724,0.37646654188,,68.17657134346,62.72685827416,,9.2457533148,2.29622173632,59.56572769953,,54.82987608403,61.94408712731,32.16833820747,32.424071991,14.58780953762,,33.85732605696,,,62.51251581565,4.78949495702,2.31682636402,,27.640167308570003,67.68091800851,,,18135.825784026398,48.86456530854,2.88470862019,68.1222134802,,21.521778257740003,70.34400948992,,17.02833031947,16.19500065736,32.67932489451,16.63823911631,54.57746478873001,,0.07933899576,0.00331417537,14.80533974172,41.619073590220005,,,75.50119688809,54.537171331,39.703491138649994,108.36284057915,75.74620943799,,15.63648805407,18.743720797279998,,28.07677469136,26.698301366360003,55.682629887180006,16.43006291827,,55.3456349772,60.75027264711,61.34084251587,18.18793509439,22.875238437520004,13.661302951389999,0.5572712444,0.13852572988,22.7817804793,75.77804463124002,80.43133341949999,36.72373758058,,,53.43736819907001,,39.54955062263,36.541680683909995,33.668586582399996,50.82826233942001,0.11831686486,,28.280800388920003,0.00034896502999999995,,,68.34380835269,62.85179390857,4.4460924533,,,0.56977577578,,,54.34769396821,,0.45233787258,
1,1992,,16.683780023279994,25.91469165687,293.4591145498701,,,0.02762300606,54.13084928258,,71.59558548446999,2410.7195690580897,71.29502607604,78.93599807628,,59.30634914776999,0.006391697660000001,71.28759740733001,68.68057892965,39.07147492515,,38.6254447108,37.2025239937,,21.99270566968,0.0512846658,82.09853723656,0.30141485961,49.44980628602,11.88136911707,,47.282930353590004,72.98001737619,55.17611078082,,47.72782874618,44.60825467569001,42.26571414533,45.125932835819995,15.798442064260001,,4.0486e-07,32.533000768490005,13.662935323380001,45.01820589209001,1.88064283135,,60.72741141391,38.98366870808,70.42394468705,105.97536387060998,73.22033413256,18.47385346756,42.64632674515,65.79715904957,3.08495020434,27.375,41.19955529006,27.69699819287,,11.9495471174,28.98985706326,0.22023050632,,56.33410962417,77.22099853156999,76.11657228336,,51.79549189090999,40.915619134850004,,74.49494949494998,,42.760422853070004,,66.06376286673999,26.553775188150002,,12.45736879431,,5.869014678919999,,13.51635514019,69.81344813448001,15.6731797873,45.15264439109,20.75181862258,30.47189254219,15.25844000299,4.55764075067,,65.70981210856,,44.01140012904001,63.13268257410999,10.51769331586,99.24085576259,54.54499237417,0.10626992561,13.25212902055,,52.35467273954001,,,4.54279685116,7.78277761969,11.982570806099998,,,,66.27667374821999,4.21866996742,,70.33065236819,67.56554556859,,10.58753204097,2.8416054671099995,62.40778001341,,51.40711778232,62.94872131797,35.43079238125,33.961379827520005,16.85011554,,38.08977507032,,,66.10152879076999,6.43337026102,2.8245173997900004,,32.38032433096,69.84175458079001,,,83.55412333298,46.67757407562,4.14525356346,69.72200367165,,23.658464465700003,71.62910241202,,19.61271850512,28.102992460909995,35.49929676512,22.77783192549,59.75081256771,,0.24657567074,0.05534968777000001,16.22079120067,45.377749530959996,,,75.44883303411,54.47721154667,39.17318321794,75.27842049753,77.44591408963001,53.343448095179994,25.30663780664,20.75888827904,,32.011959876540004,29.81957790765,58.97909269803,18.30036878805,,56.92766046772,63.872167071330004,63.776312976030006,20.12734254628,23.517054750760003,14.61705119481,1.21275858593,0.19901462221,24.50369473692,77.50703270067,83.67835372023,40.02392542351,,,55.649866441730005,,40.1007869741,39.44198661601,35.84458567147,53.794793779580004,0.2012255606,,35.98410971366,0.00434003223,,,71.26618694114,64.75546141054,7.488434509310001,,,0.74881381381,153.93535184649,,56.57346805216999,,1.17449131829,
2,1993,,30.871614642990004,31.242739743309997,2.599309e-05,,,0.32293099144000004,56.9540886562,,74.24242424242,8605.29815980899,73.23631667968,80.93896691428998,37.83589506051,59.96668936795,0.01040907671,73.25030951861,69.69875462806999,39.24362353694,,43.490563032679994,40.37441125913,,25.14465755845,1.03915177191,83.84882313716,0.52091781059,49.72348906919001,13.03140801245,,45.81034044119001,74.34115262091,58.36992251749,,46.33639143731,40.84870064213,47.64519735356,51.716029228859995,19.34599156118,,8.43488e-06,34.13481645519,14.99896351575,45.98642833499,30.438786565549997,,63.69530545732,47.047244094490004,71.27911208151002,100.80375939237,74.36918024331,19.44298797539,48.216153423470004,69.421423948,4.47168987819,30.69166666667,48.82350988982,29.207117398040005,,22.68129976329,30.0169868212,0.7334965247699999,,59.38572971169,78.8362701909,77.71841720981999,,52.07194854529001,43.56032465422,,77.82828282828,,48.89733539217,,67.91922916085,30.101793084310003,,18.45038046167,,7.192840560780001,,14.972741433020001,75.9840098401,19.19404065194,46.99629851941,29.56654647373,32.411083351340004,16.7349726776,5.56300268097,,66.67536534447,,48.827983375209996,65.93456254519,12.827653997379999,100.47446514838,57.00474495848,0.38080056677,19.33826547221,,54.86833670715,,,5.007046475209999,9.54412169792,25.07262164125,,,,69.67818679921,21.53429676999,,72.85150431933,72.09642625811999,28.190897927600002,11.64717049022,3.48871604612,64.70489604292,,51.27152231539001,65.55668556383,38.750779565879995,37.53280839895,18.49321687868,,41.992468879949996,6.7815000678100015,,69.52741441082,8.41450723975,3.72360667454,,34.81059531229,71.64353137146,76.0997835937,,21.17067406905,46.11042522977,6.553217621769999,71.31523734592,,26.01691864651,71.95531830763001,,23.161543098249997,41.7553608257,37.87623066104,30.34470435348,63.822679667749995,,0.87820651076,0.53924782592,18.22477080605,46.15601933652,,,76.2118491921,54.15773832080999,39.67697574261,23.98186782549,79.22013323579,35.55035650624,33.315295815300004,22.66220064947,,35.098379629629996,31.816500731519998,61.68967135164001,20.45018598339,,57.949433108,64.41391903758,66.51319406787,22.27749342861,24.61534919908,16.33189870994,2.44225837959,0.48462360815,27.44987781954,81.1095544659,86.43357186594999,44.942494717609996,,,57.4845353578,,39.6970194931,39.820986424690005,39.70875673654,55.94151453685001,0.33423000326,,36.38723268846,0.20967422705,,,73.05946471133001,66.66682049838,11.53900483808,,,1.03427477477,124.11767361209999,,59.12176468625,,3.3250801511000003,
3,1994,,37.83909327388,40.31070611629,8.159063e-05,,,16.36069855031,60.54851169256,,76.43097643098001,42219.8487497903,74.26113753324,81.602072032,39.840854361059996,60.01298628375999,0.0451059991,74.99180686039,71.50230001122,54.364531600979994,,46.60196410516,43.55371150265,,27.795753743429998,22.610836277199997,85.91361587658001,1.02098180643,62.24280760179,14.96693893427,44.13115323484,61.82838161913,74.46423399941999,60.38488629003,,57.72171253823001,57.89277900748,53.097280155229996,64.25975590796,23.76582278481,,0.00201704978,48.621521632,17.03047263682,58.00231711354,60.11827374503,,66.66579987518,51.70603674541,72.70742358079,95.63215491413,74.38043730918,21.04918204698,58.56827256790999,75.3755708801,5.69376661509,33.19166666667,53.990773928050004,38.5069605677,,33.49619500362,32.296439579899996,2.51778863589,,59.75121074951,79.68979441997,79.00505752039001,,70.87838142075,44.3052960808,10.87806330771,79.92424242423999,,54.21764263373,,69.68764888806999,33.86744355426,,21.250474302929998,39.57066730011,10.2539036385,,18.23208722741,82.65682656826999,22.815587439429997,47.725756969449996,33.94756639601,35.720635825959995,18.16191331687,7.2944593387,,68.21503131524,,54.85446276018,68.62798264642,17.33835736129,101.17322291235,58.316387053039996,7.580588026919999,24.93894849323,,58.30617408907,,,5.30593038826,21.48065924092,34.04139433551,,,,73.07969985019,37.09383411309,,74.38281948168,76.60397080394,63.87568126766,16.18278726816,4.6975434624300005,66.98524480215,,62.12737757723001,68.26477432601,40.3505119609,40.26996625422,19.78141454096,,46.70831185455,11.735950992360001,,73.10204708405,13.12481446499,4.62095068134,,37.71703172692,73.65260040718,78.29681476973,,6.962121686939999,62.7291104754,10.27020912117,72.31182795699,,29.236732489970002,72.84499802293,,27.92344786016,51.66580844319,41.80731364275999,38.86533463288,67.28060671723,,2.08189975385,2.19768665064,22.48338923823,51.731842738050005,,,76.65320167564,71.64725791139,40.40946355809,25.858112761170002,81.67224073795,40.32419786096,40.26875901876,25.66630935356,,38.2137345679,35.05084216026,64.57252253199,22.177832176610004,,58.78522015816999,66.22776130966999,67.18427864179,26.800144313120004,31.045609650020005,21.52879922878,5.260579228459999,2.27035531994,31.2295406758,82.89413700701999,87.17010822095,49.66793158272,,,60.40963728385,,55.24347089384,40.22435392976,43.20847602415999,58.5953346856,0.6836330212,,40.03938050295,2.07828942278,,,74.48270103688,68.40511890423001,16.70198114207,,,1.66329129129,69.20512180103,,62.90767469135999,,5.13443164143,
4,1995,,40.7933853586,52.32157398790999,0.00117401632,,,45.1475645163,62.58379365181,,78.13318368874,25408.774306912,75.7961114989,83.8071955699,43.949195286759995,61.140547954350005,0.3625828389,76.09332896366,73.5695052171,62.22702819731,,50.76742337387,47.99276464689999,,30.71885320201,37.53557856559,91.03977324541,1.65506466338,66.88540213093,17.85005834306,43.82343072245,67.43602460868,76.06429192007,65.42794515252,,68.79816513761,63.23647123899,57.46862817568001,75.05052860696999,28.730931515740004,88.23199696990999,0.01294762175,53.20070015408,20.97844112769,66.30254882489,61.29830263633001,,68.40718396781999,56.46689997084,74.21761280931999,90.46055043589001,75.36042743197,23.68830397092,67.57308520798,80.29042298572,6.99718287505,38.391666666670005,59.40611310235,46.159231257100004,,43.12361836571,35.53324474219,6.14624950272,,61.045211180680006,80.49743024963,80.42436870035998,,77.71568648572,47.39823746615,28.557097128449996,81.28787878788,,59.08428026554,,71.79738278544,36.715742378520005,,30.890817498890005,44.40245404412,12.86492246389,,23.59813084112,90.12915129150998,29.27364545969,48.51523942910999,37.87875170803,39.37293943011,19.87237068643,10.93610366399,,69.93736951983001,,60.36350786926,72.24331164136,20.78964613368,101.04382332643,59.68056261651,20.96174282678,25.320794774910002,,60.9189439946,,17.81952369615,6.34843631095,31.39541529426,42.53812636166,,,,76.48121290118,51.80064689044001,,75.88620792374,83.16020812574,74.33448560085999,24.125333252789996,8.611807946919999,69.31589537223,,71.07832197632,70.68084448813,42.99096500404,42.69778777653,26.704771569050003,,53.6829882772,15.2296668023,,77.5793971584,19.92175251832,5.78518591552,,40.5921895544,75.07125670924,79.35433150741,,11.35995552842,69.35536749453,17.765603283879994,74.08208759506998,,32.84415818163,73.60616844603001,,31.675708257990003,57.41646182184,44.66947960619,46.56887589344,70.12459371614,,2.75264377732,6.53373557869,34.50035651177,50.22979385911,,,80.38599640934,77.28160389476999,40.29345870044,27.392453936040006,83.08075822853,44.3126114082,45.73412698413,28.13777467039,,41.55092592593,38.66594700228,67.60339853078,23.87994724876,,60.52338169531,69.95615857720999,68.35219193396,31.53739577737,34.6302044465,26.933580119380004,8.85751042614,7.61837740954,35.06721128187,84.99004858957,88.73899544738,58.18986969347,,,63.897089835509995,,64.37000407694,40.81163203268,45.44766587287,62.23799864774,1.2959345857,,42.66201477471,9.9081525809,,,76.47523189264,70.32416957793001,23.75957905145,,,2.65998448448,41.89162342659,,66.50535090995,,6.9199758753100005,
5,1996,,46.00520252694,62.100266802380006,0.03162594002,,,53.58166485554,64.60229351428,,79.59221848111,870.78294799681,76.84144402960999,83.42789205976,44.993923557840006,62.59945450184,0.5542833350699999,77.66277037361,78.22843038258999,65.28501353752,,55.48326755813001,53.958067612090005,,33.81512269692,43.450309517069996,92.85705139775999,3.66774742389,70.96394311915998,22.569039284320002,46.95718351797,70.08225718960999,77.25890529974,69.32981892514,,71.36085626910999,70.40171921933,61.69779282569,81.28983986318,34.70626419994,85.14487006283002,0.09825022916,58.53732640396999,24.65277777778,67.92452830189,63.53196099675,,70.44414395673,61.41732283465,75.81877729258001,85.28894595765,76.62434577156,24.96679250559,72.9767769283,83.47678294544002,8.707296750389999,41.2,65.22218903491,48.25519626401,,53.07138525344,33.73193553374,8.87674030638,,62.90718890035,80.98384728341,82.01909035866001,,78.25168642851999,47.919375734750005,39.79274611399,82.46632996633001,,63.93442082063001,,73.25655813032,40.77532688239,,46.56298182674,47.55268026739,15.39413478704,,29.225077881620003,95.82820828208,36.143886476620004,49.60901027078,40.21476364744,42.90760190939,21.45838011827,14.086237712239999,,71.16388308977,,67.17047349383999,75.06326825741,26.28331148973,101.18184955142,63.58413828165,29.171094580229997,27.56077684584,,63.9189439946,,23.51236045342,7.175205129410001,37.60050328801,50.25417574437,,,,79.88272595216998,64.55665019656999,,76.78637920763,87.17062285265,76.1681048984,28.89161962513,11.850023848469998,71.74714956404999,,76.51939825858001,72.748469444,45.003503731049996,45.51931008624,35.88542987956,,58.63433206673,18.810694425610002,,79.89615777267,29.58028511399,6.7267478695000005,,44.334978844119995,76.56024430872,80.47102184351,,12.07186149131,73.02347405869,22.9710074663,75.00655651718,,36.25102848915,74.5057334915,,34.77245328511,64.04750806431,48.00281293952,53.59280918345,72.29144095341,,3.81837104289,9.653726270249999,38.94245351387,52.92945426533,,9.05235448962,81.37342908438,79.41017623835,39.85926909035,26.23843576256,84.22653954686999,46.86942959002,50.27056277056,31.45081653908,,44.60841049382999,42.06149052427,69.99376737607,27.685415295890003,,61.78624675193001,70.60314293978,71.36508898038,34.929942573009995,36.75686487971,30.48878024786,20.62239035544,7.56490498974,37.320354406190006,85.39032878571,89.45925263698,62.990469992019996,,,67.63760016871,,67.3369980556,42.034054782540004,46.99493823201,64.60446247465,2.33574615576,,45.730077843909996,17.857496605959998,,,78.35599125564,72.38551459016999,30.49140092524,,,5.31666116116,44.26919781609,,69.2389617165,,9.91969018824,
6,1997,,61.24117428465,65.66109111829999,0.10094139571,,,61.06207469854999,66.54033778496999,,80.59296670408001,118.29059751841999,77.25957704189,85.45539747188,47.33537599010001,67.42620972334001,0.90992678949,78.92724492024999,79.08953214406,67.54798528877,,59.393336040369995,56.49898295373,,36.76376375346,46.45998754476,94.44635558834999,42.48622710356,72.6093774131,29.590626215479997,50.695075803929996,73.43656138818002,78.51143932811998,75.26172162001,,72.51070336391,74.32468402498,65.48223913279,83.55391013682,41.11652061019,80.67045709080999,0.22898359837,63.3524312675,27.91563018242,70.65541211519,65.88840736728001,,72.9855765897,66.69582968796,77.47452692868,80.11734147941,78.49114252748001,27.03876538031,75.20356756633001,85.58187178459,11.376621830729999,43.03333333333,68.15096906943,49.71081686845,,58.68937926716999,33.29740249899,11.703691974869999,,65.02599113308001,81.95668135095,83.00655340670002,,81.36097812196,49.2521227823,42.64248704663,84.06565656566,,67.47304377664001,,74.16825638347,44.54097735234,,69.42583594864,49.24349708458,19.67620231387,,35.1285046729,101.40426404264,42.76005286011,50.49769907963,42.54565243836,45.981085350229996,22.794557975900002,16.52144772118,,72.15553235908001,,73.21658935209001,76.59074475777,28.83355176933,102.95031055900999,65.49228944247,34.2809068367,30.698743747410003,,66.75649460189,,29.02255742413,9.14902243891,41.90335945416,54.52069716776,,,,83.28423900314999,70.28995310701,,77.83642389038,90.21368559067,77.15381509891,30.18780822587,12.93280229054,73.6334674715,,76.24163299904001,75.01293329765001,47.08507191970001,48.59392575928,43.287031044799996,,60.93660161212,21.04825037298,,80.72540719276,31.76097453833,8.724405829319997,,46.15718046679,78.17508791412,82.07124501250999,,9.597701323619999,75.16558300884,25.422605772649998,76.94072908471,,40.3752699784,75.44483985765001,,37.19861362266,69.52147152292,50.67510548523,59.86771713234001,73.98880462260999,,9.731479864839999,11.078743475220001,43.36641387666,56.56138002465,,12.29465243248,81.41083183721999,80.80236748067,40.10785092819,16.05813465281,85.9305989417,49.74376114082,54.46428571429,33.993300974209994,,48.4375,45.16368866415999,71.39208106613,30.33399685658,,67.2884253357,70.59924544361999,71.68167595479,37.62340695206,38.66515465248,32.65338036076,30.24280201887,8.105425894360001,39.97955177921,85.83230483561,89.92463276814001,64.17854040338,,,71.40007732321,,72.60740785833,42.92716551129,48.698973958850004,66.93711967546,4.336378085440002,,49.29172412302,20.69433994587,,,79.78567958586,74.07766348080999,36.536356252430004,,,7.97712762763,45.69001164555,,71.32310716171,29.97484759341,12.34009459417,
7,1998,,73.89446302489999,68.91225811921,0.20923661634,80.59263253962,,66.35767477585,67.78429088923001,,81.41601197157,-30.273787896759995,78.29223887524999,85.26500684556999,51.2589773725,66.57064757855,1.57784254537,79.67646202025,78.37989453607,71.43423337771,,64.90023160697,60.83456453229999,,39.21295705979,47.944419592440006,94.00436525431999,50.419365801290006,76.30108027054,33.28957604045,58.201243999359995,75.76505251981,79.29336808571999,78.56889860818,,71.14373088685001,77.49006164981998,68.82855789341,82.90869869403002,48.795845504709995,76.19604411878001,0.29572958534000005,66.8416576858,31.17330016584,73.96557431314,70.29613578909,,74.6108106234,73.83347914844,78.884643377,74.94573700117,79.27538478273,28.34521812081,76.57791249379001,86.96745212019,15.484267745899999,44.74166666667,69.88832470463001,53.65572348081,,63.50578085568001,33.59534822059,15.16425387111,,68.74006870653001,83.11306901614999,83.547031378,,82.53968597093001,49.800884226879994,44.16234887737001,84.83164983165,,70.68997373665,,75.19006748528001,47.48812124996,,74.98945247993,51.50203341703,21.76863621248,,39.929906542059996,104.27429274293002,48.81222075389,51.35804321729,45.46238906149,52.06658005783,36.11797290216,19.45933869526,,73.92136395268001,,77.19579620357,78.10918293565,31.312800349499998,103.63181504486,67.51652262328,36.769394261420004,32.76627077823,,71.772182861,,32.05765793908,17.472870259089998,45.41744999573,57.04429920116,,,,86.68575205414,73.85194783954,,78.58299821269,86.35545001335,77.57387969318,32.06187221674,16.780136545050002,77.53185781354999,,79.31919472047,76.80275886944,50.866787940559995,51.92163479564999,50.18194745734,,63.37330247917,22.68716940187,,82.9481362585,32.23095021273,13.21638862112,,51.297946107799994,79.70664445678,82.98759045106999,,13.46819400416,78.5841255831,27.42008468276,78.68476265408,,42.88799753163,75.91933570581,,41.493369499699995,74.56522764004,55.35864978903001,64.97736625514,75.89382448536999,,15.49797843896,14.14596997966,46.33048160439,57.81638354484,,18.50260797504,81.11909036505,81.73707367599,41.14858022258,41.79562135154,85.69766856726999,53.05815508021,58.79329004329001,38.20830162461,,51.813271604940006,50.72766960702,72.72010266321999,33.17654233713,,69.60742580913,72.85979333540999,73.21738882018,39.96335504058,40.39516390718,34.51175807809,35.415850381599995,9.643460382999999,43.22187968983,85.71555644506998,89.94077321385002,63.66693113533001,,,77.22479966259,,73.60234567676,44.33279216894,51.4325002692,69.02467883705,8.01018747247,,49.49648310173,22.88319664655,,,81.02825978048,75.22755556786,40.48539746442,,,10.831505505510002,49.00978232095,,73.0267940027,32.13659238727,15.37155191569,
8,1999,,74.20104050539001,70.73795568338001,0.72855342377,81.49630797312,,66.78783558933,69.33000461988001,,81.8555929667,-148.71874353588996,79.27421791924,84.04716961205,54.45142138149,67.60919122252,6.2055445682000006,80.56951423785998,77.45708515651,71.66762537186999,,70.29644090826,62.14920856611,,42.25167144222,50.27377404705,94.11323445238001,51.71666065327,75.48266448556,34.41656942824,60.534070347589996,77.18318110719,80.66898349261999,81.9917006203,,70.13761467890001,71.27143799721,71.12528086509,81.74459732587,54.101752677700006,71.72163114675999,1.13824831627,69.61068790389,34.30451907131,74.56140350877,73.13109425785,,75.91533180778,75.38641003208001,80.84061135370999,69.87704918033,80.21042040572,30.178621364650002,76.61676505871999,86.84420391271999,23.57259056462,46.11666666667,70.2467476437,53.85546558776,,65.60537590234,36.26330554542,24.17127230713,,70.09333633303001,84.12261380323002,83.99579727179,,80.94121913061,51.69947921962,52.61658031088,85.32828282828,,72.54886434124,,75.62423571648,49.96184926993,,73.42494368420999,55.3843696907,23.656185340809998,,44.587227414329995,100.12300123000999,53.69234157699,53.01287181539001,48.00479551008,54.496159746219995,43.51467175687,23.369079535300003,,75.12178148921,,81.20569716886,79.40166305134,33.169506334640005,103.27812284334,67.91984409422,39.860077931279996,34.64068611701,,72.35560053981,,43.56632345914001,39.96770409213,49.47251042214,58.39687726943001,,42.54172405272001,,90.08726510512,74.38923675544001,,79.3882186476,83.5895795293,76.58133999462,35.24546671745,24.29833649014,79.65291750503,,78.36585439512,78.43814001946002,52.93919047596,55.49306336708001,58.504943455290004,,64.92456163465,31.573760115740004,,83.51603261672,33.15184700399,15.64056607164,,55.120213838699996,81.42605959651999,83.18032731453,,44.2849420405,76.77502075176,29.234946184429997,80.52058746394,,44.665355343,76.88809806248,,44.288728149490005,77.15213231183,58.67088607595,69.70435347628,77.6453593355,,22.60784797039,26.27564205807,45.21580167658,57.96966641753,,20.85709759189,79.71274685817,82.41324411516,43.75518852176,36.11425794533,85.71789393007,58.67312834225,62.39177489176999,41.2727481716,,54.465663580249995,53.13315656952,74.37621238541,34.73321471952,,71.94834880911999,75.41265320131,73.95948398993,41.81783998018,41.59119622514,35.99787218426,41.08052563389001,19.1686043223,45.85359970768,86.10471774687002,90.66609775268,62.41633070232,,,77.56221003796,,73.55043179658001,46.311965249470006,53.20103669003,70.87559161595999,13.206372915110002,,52.34774403843,28.07395890778,,,82.10489061954,76.87355494331,42.77730691811,,,13.38447847848,51.027739864969995,,74.59417799065,34.92633973619,19.4822715297,
9,2000,,74.22891118543001,70.97893341959,3.0963347856200003,82.12528001327,,66.25962143803001,72.13373303264,,83.76356154134,40.44050452306,80.5476230021,83.45419379156,55.745603871380006,69.2560247151,16.66926893585,82.61961983831999,77.93111185908,74.6528718089,,73.12655670101,65.00876665234,,45.88108882521,53.81512960685001,95.09770976482001,57.05188572551,75.25303703509,42.785880980159995,60.05464503265,78.13036548757,82.86272806255,79.96039175198001,,72.38440366971999,73.9958606139,73.85882055727,82.02930659204,59.09282700422,69.70266570214001,6.98778431242,68.99672754163,38.06384742952,76.39026812314,76.49873600578,,79.10512447126,78.25167687372,83.20596797671,71.41244951295,80.89778104095001,32.51101090604,77.14573391278,86.97387084126999,46.224655794949996,47.35833333333,71.84388689765001,56.44176061704,,68.23659447933001,36.50353475369001,30.58422723866,,70.85887093926,86.94933920705,85.40353314101,,81.34990755515,52.1363240852,54.715025906739996,86.55723905724001,,74.83486426205,,77.2742190412,52.948878021709994,,79.76615747761998,58.78970165932,26.898612845170003,,49.513239875390006,96.40221402214,58.95868730728001,55.72645724957,50.44642511659001,56.68077055146999,45.12033086309,26.76496872207,,79.31454418928,,82.119132566,81.39009399855,35.83442551332,102.57936507937,68.37824097611,45.20899752037,38.09143129039,,73.99021592443,,52.1439302271,49.9229950675,53.70293683887,59.94008714596999,,47.95861238869001,,93.48877815611,75.11948727993,,81.88952189455,82.24558231103,81.64147658458,39.425467870700004,31.48614609572,80.9188464118,,77.8347990461,80.30043345562,54.66186744595,57.845894263219996,64.05798226949,,66.06491351143,41.40761336408,,85.09834386659,37.36836646804,15.63125943069,,56.48654483752,83.34813992227,84.46101305201,,47.41584822207,79.0016113134,31.26393871812,83.00550747443,,46.61755630978,78.02491103203,,48.27456298975,80.05190675012,60.984528832630005,76.71648256444,79.87540628386,,32.94348530132,31.74065066478,46.979005338549996,58.53010692083,,23.40352929707,78.82256134050999,83.01649421284999,46.480699056300004,0.4479372969,86.87344922757,65.73083778966,67.92027417026999,44.185192632639996,,57.38811728395,55.24167273041,76.93080036695,36.87843389305,,73.4944147355,78.21105544425001,74.08349898458,44.26715648468,43.990785237589996,38.23212368423,44.38054703521,30.5550785769,51.45165286861,86.966432058,92.07914563023,62.160526068290004,616.88311688312,,78.73963166034001,,74.94057014361,49.232786421949996,55.09259259259,73.00540906018,20.47452174413,,54.119059873050006,35.99168458637,,,82.75882026992,79.46946517327,44.814069286999995,,,15.5535025025,50.155031892480004,,76.56518652695,36.520875396630004,24.553217153920002,
