,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1997,,,,,,456.0,,,,,,,,,,,,,,,,,,,520.0,,622.0,,,,,,,,,,,120.0,286.0,,,,,,335.0,,,,,,,,,,648.0,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.0,,,,467.0,,,,,,,,,,,,,197.0,,,,,,400.0,,,,,436.0,,,,,,,,,,761.0,,,,331.0,,,421.0,380.0,221.0,,,,656.0,,,,,,,,,,,,,,242.0,,,,,,,,,,,,,,,,,,,398.0,,,,,,365.0,,,,,,,,,,,436.0,,,,,,
7,1998,,,,,,596.50056485912,,,,,,,,,,,,,,,,,,,799.00961874383,,771.14503113845,,,,,,,,,,,170.63183242196,482.10820042531,,,,,915.6387977519599,502.68760822511,,,,,,,,,,1088.70669002051,,,,,,,,,,,,,,,,,,96.30035125693001,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.23715728716,,,,697.3876063264198,,249.92385382649,,,,,,,,,,,503.16673122199006,,,,,,571.49621212121,,249.92385382649,,,631.9035609858,,,,,,,,,,998.2027948659501,,,,410.39945887446,,,571.88095617833,512.46349681021,243.72963943951,,,,2425.05377363864,,,,,,,,,,,,,,397.27172856383,,,,,,,,,,,,,,,,,,,408.39602984735,,,,,,548.7439878104401,,,,,,,,,,,971.79396122883,,,,,,
8,1999,,,1468.94443722944,,,720.8565224821001,,,,,,,,,,,,,,,,,,,1039.6748866567,,837.55415853534,,,,,,,,,,175.35267857143,172.52325246582,590.99433704485,,,,,1088.81456312884,626.20311186398,,,,,,,,,,2645.1636428852107,,,,,,,,,,,,,,,,,,110.28071624219,,,,,,,,,,,137.00157615713002,,,,,,,,,,,,,,,,,225.27051010266004,,,,844.9888531440599,,238.21519332752004,,,,,,,,,,,318.90564776566004,,,,,,588.59370924016,,238.21519332752004,,,652.85462994608,,,,,,,,,,1151.91259423262,,,,466.51275132826,,,604.3323324780999,395.99233302294,253.72173454882,,,,3838.2957692320397,,,,,,,,,,,,,,424.21148044683997,,,,,,,,,,,,,,,,,,,206.9575284968,,,,,,588.3117091559599,,,,,,,,,,,1074.14555232779,,,,,,
9,2000,,,851.7348151752901,,,667.71434139532,,,,,,,,,,,,,,,,,,,726.7289094772501,,728.16592498209,,,,,,,,,,197.25839128453998,135.9334511757,667.95614513887,,,,,1773.4767743221698,378.99584195997,,,,,,,,,,2862.9829089357104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.22194662381,,,,,,,,,,,,,,,,,215.63325041028,,,,664.52884083562,,205.44958253671,,,,,,,,,,,216.93912032222,,,,,,366.63203302228,,205.44958253671,,,469.45425536833,,,,,,,,,,1843.6657874098998,,,,435.02053614768,,,567.907791341,513.4104280794201,254.03449297651002,,,,1347.21563889962,,,,,,,,,,,,,,332.19633392605,,,,,,,,,,,,,,,,,,,163.10431443398,,,,,,534.18585474721,,,1830.7766462846805,,,,,,,,878.7347457907001,,,,,,
10,2001,,,715.1268497840201,,,1559.5097161522501,,,,,,,,,,,,,,,,,,,887.6111361290898,,675.2591165972,,,,,,,,,,192.23571182616,126.87619830645001,595.46147495473,,,,,2365.28747737359,222.7735097742,,,,,,,475.575,,,1382.05525542233,404.80241416725,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.369284058880005,,,,,,,,,,,,,,,,,211.50403457444,,,,866.84813531543,,504.06371714035004,,,,,,,,,,,236.88935853205,,,,,,363.80954315087007,,504.06371714035004,,,506.01583773722,,,,,,,,,,1398.09242032123,,,1481.9386471584698,437.10622184385,,,650.97045907851,588.87860165216,208.85613492918,,,,933.30568607687,,,,,,,,,,,,,,310.63637902738,,,,,,,,,,,,,,,,,,,159.76256717027002,,,,,,890.5828351928801,,,1654.18699976905,,,,,285.97370426432,,,918.4210398142301,,,,,,
11,2002,,,456.97745879851,,,5773.83289663553,,,,,,,,,,,,,,,,,,,1375.7640531252405,,370.74258563074,,,,,,,,,,176.65559732665,89.23565542644,684.56842010329,,,,,2156.62643445736,139.01916438824,,,,,,,416.68429216982,,,1442.64057017544,385.54568143845,348.07980177717,,,,,,,,,,,,,,,,,,,,,,,,,,,68.73273999391999,,,,0.0,,0.0,,,,,,,,,,,121.57857047923001,,,,964.73498139288,,928.04954621402,,,,,,,,,,,187.35156356801,,,,,,317.00571029847,,928.04954621402,,,445.41029182806,,,,,,,,,,1587.73245708969,,,657.78839997722,434.47062637655,,,610.86603060682,443.17016689451,195.51367338801998,,,,527.4688245234298,,,,,,,,,,,,,,270.41336959824,,,,,,,,,,,,,,,,,,,103.46840491379999,,,,,301.27468244475,752.61941786284,,,684.55707450444,,,,,969.99378275234,,,1051.92950273411,0.0,,,,,
12,2003,,,337.23433583959996,,,5455.54455583403,,,,,,,,,,,,,,,,,,,838.7515790739502,,228.09988354725,,,,,,,,,,126.10357016278,56.8716646414,507.94064707223,,,,,2749.8549783549797,117.46954507481001,,,,,,,689.19656780841,,,1189.55553656869,204.01654704944,337.70739031922994,,,,,,,,,,,,,,,,,,,,,,,,,,,30.586868053970004,,,,0.0,,0.0,,,,,,,,,,,105.83667185641,,,,699.72782018177,,511.72270005823,,,,,,,,,,,151.29564441406998,,,,,,246.06712804738999,,511.72270005823,,,273.12208551682005,,,,,,,,,,1007.01420850105,,,301.85714285714,367.40989468621,,,428.73094668489,454.21437431964006,98.49452229056999,,,,315.88029733425,,,,,,,,,,,,,,174.93794460900003,,,,,,,,,,,,,,,,,,,91.1058770664,,,,,189.45009620009998,626.25346826663,,,360.2553859396,,,,,905.63437950938,,,1006.19397293739,0.0,,,,,
13,2004,,,,,,5046.60250771032,,,,,,,,,,,,,,,,,,,537.63869402591,,142.75251774033,,,,,,,,,,82.59488898465,66.92630910279999,416.89470613292,,,,,3014.49113928596,119.49693576826999,,,,,,,1230.29464632431,,,790.7207784365401,119.02206347555,266.71896832827,,,,,,,,,,,,,,,,,,,,,,,,,,,24.066055950149998,,,,188.51406926407,,0.0,,,,,,,,,,,82.59797319385,,,,526.81336530556,,360.90155663367995,,,,,,,,,,,111.89971177119,,,,,,192.69540938974998,,360.90155663367995,,,168.67267390313998,,,,,,,,,,496.66911357775,,,287.59502164502004,338.45564322532,,,364.38445450748003,453.97618870132993,68.39221959708,,,,271.66297434132,,,,,,,,,,,,,,141.46640270802,,,,,,,,,,,,,,,,,,,69.94960920087,,,,,131.64334415584,352.37175423737,,,315.29682832741,,,,,572.39823801929,,,572.46465277984,0.0,,,,,
14,2005,,,,,,2586.53385852642,,,,,,,,,,,,,,,,,,,394.29877443938994,,81.49075079827,,,,,,,,,,64.78455984328001,58.32631417971999,322.66557372516,,,,,3223.4802383924202,,,,,,,,499.83774571475,,,706.5945835851201,65.07361639441,239.88208061326,,,,,,,,,,,,,,,,,,,,,,,,,,,53.234867925740005,,,,268.2537056987,,0.0,,,,,,,,,,,,,,,363.89534702204,,324.2500980712701,,,,,,,,,,,83.83174652705999,,,,,,167.32809688087,,324.2500980712701,,,138.23954352284,,,,,,,,,,416.38371765217005,,,199.04322503393,252.48795473532002,,,239.41896977292004,409.02071780241,51.18892616092,,,,156.33262731103,,,,,,,,,,,,,,95.25337128229,,,,,,,,,,,,,,,,,,,50.38684573753,,,,,76.47566099042,273.41859135652,,,195.40494504542,,,,,377.86635887314,,,409.31332336936,16.11944444444,,,,,
15,2006,,,,,,342.57753499361,,,,,,,,,,,,,,,,,,,233.21914833195999,,81.58467880010001,,,,,,,,,,79.72621701652,63.47231385446,194.11104230438,,,,,2872.59268873766,,,,,,,,261.88736234526,,,541.80867468408,79.41484549648001,193.90425813381,,,,,,,,,,,,,,,,,,,,,,,,,,,71.55823014386998,,,,210.36579178513,,359.83856821732,,,,,,,,,,,,,,,212.69132766865002,,268.16680361972,,,,,,,,,,,83.52768796167,,,,,,136.43663564379,,337.8070651761201,,,79.41075501366001,,,,,,,,,,245.17607511037,,,198.36177957245,182.81792462877,,,185.62318270973998,234.47257587315,59.17467916332,,,,110.99378766415,,,,,,,,,,,,,,89.41909714999002,,,,,,,,,,,,,,,,,,,53.10026697178,,,,,90.95193224332,223.14084375134,,,202.76879517634998,,,,,242.20307710977002,,,218.78734674301003,151.56766133053,,,,,
16,2007,,,,,,319.80288691095,,,,,,,,,,,,465.20591597571,,,,,,,180.17111277040001,,80.32533004118,,,,,,,,,,100.9890184123,70.51186451801,160.65262798795,,,,,2697.92073398252,,,,,,,,207.75678256082,,,675.59785960289,85.67939863658,160.98746499813,,,,,,,,,,,358.0,,,,363.38333333333003,,,,,,,,,,,,71.92407620665999,,,,197.35969588827,,588.01407904643,,,,,366.56666666667,,,268.24824356204,,,,,,,208.12100359595001,,418.530945653,,,,,,,,,,,86.62514644649,,,,,,126.18760529453002,,476.49550453042997,,,,,,,,,,,,,77.52121496923999,,,283.439843928,154.60014652904,,,137.98056215968,178.29483470698997,61.31282925694001,,,,121.48004072268999,,,,,,,,,,,,,,99.91464984926,,,580.0,,,,,,,,,,,,,,,,,,,,161.10753551368998,95.89497215536,213.92136339696,,,200.60143581946,,,,,194.3987614788,,,337.2172482012,140.68590943763002,,,,,
17,2008,,,,,,859.9333633958598,,,,,,,,,,,,787.72953944204,,,,,,,301.42578763829,,296.74431818182,,,,,,,,,,212.74615800866002,166.50523689274,305.23290644541,,,,,2384.07822510823,,,,,,,,712.35307840308,,,1325.51400913901,261.84061447812,396.26141173640997,,,,,,,,,,,553.9610088985099,,966.5690579262,,637.93152356902,,,,,,,,,,,,213.81722582973,,,,467.57863155363,,616.69951899952,,,,,520.57358104858,,,655.24015151515,,,,,,,426.71586700337014,,573.6376382876401,,,,,,,,,,,201.35091991342,,,,,,254.58072991823,,585.6213083213099,,,,,,,,,,,,,,,,1041.11488696489,294.03009860509997,,,273.32240860991,327.15738936989,159.09756493507,,,,328.94397546898,,,,,,,,,,,,,,330.41455026455003,,,1049.01453222703,,,,,,,,,,,,,,,,,,,,364.88350769601,277.24763708514,383.72958754209,,,845.4802729677701,,,,,405.80566979317,,,870.4060966811,448.73449374699004,,,,,
18,2009,,,,,,1198.0988237639501,,,,,,,,,,,,1443.69136667426,,,,,,,306.00874250018995,,397.40717418545995,,,,,,,,,,217.98197862079,126.16879034708,329.38586902863,,,,,,245.65909090909,,,,,,,837.01517714741,,,2204.89625579099,133.86249430394,500.91276201868,,,,,,,,,,,719.05029904306,,1138.7248927242301,,870.6966108453,,,,,,,,,,,,357.37912869294996,,,,480.41355946684996,,772.67753094858,,,,,857.91536226931,,,809.9366664767999,,,,,,,510.03965405939005,,487.97319055214007,,,,392.38636363636,,,,,,,230.20831434647,,,,,,301.43347098808,,573.28373965216,,,,,,,,,,,,,,,,1186.24966108453,313.41654040404,,,291.90277398041,339.72165926179,221.99610864282002,,,,442.43182482722,,,,,,,,,,,,,,300.47022860181,,,1065.71877041088,,,,,,,,,,,,,,,,,,,,843.82232854864,285.44917597023,366.69562922458,,,1617.2472421584305,,,,,424.70534290271,,,1267.85650489861,445.08656964381,,,,,
19,2010,,,,,,689.31312669024,,,,,,,,,,657.45418660287,,833.44763819958,,,,,,,201.81703352584,,244.34214521812,,,,,,,,,,129.18906451735,77.05302803286,189.21533853573,,,,,800.30908806106,268.83827627369,,,,,,,377.32643908024,,,924.99691797841,172.6578620877,315.91632267428,,,,,,,,,,,355.20021723446,,483.11834638474005,,418.53653109222,,,,,,,,,,,,274.02572913674,,,,217.42486940342,,412.15135103899,,,,,494.00362273437,,,351.78626610168,,,,,,,359.89911698712996,,311.40778989635,,,,301.55363524094,,,,,,,139.68926070116,,,,,,186.58756443150003,,342.18370989232,,,,,,,,,,,,,,,,624.1122514785,176.22697789433997,,,171.979025132,205.65051256270002,155.48086698135,,,,228.90063560581,,,,,,,,,,,,,,166.88670263439,,,368.88609645821,,,,,,,,,,,,,,,,,,,,,115.11974018544,221.16431122272004,,,589.7027201567801,,,,,216.09076095212,,,1080.40123967693,296.0727230626,,,,,
20,2011,,,,,,686.18557576418,,,,,,,,,,1025.4821354687801,,981.91301483287,,,,,,,195.11885465474998,,248.51590971005,,,,,,,,,,138.62998289531998,192.63160008057,167.79265064011003,,,,,1093.50672758147,396.45303550378,,,,,,,441.63761883299003,,,823.52099748713,371.13447852999,374.35143392077003,,,,,,,,,,,342.611708413,,416.38854823984,,437.65131393206,,,,,,,,,,,,367.43469316407004,,,,224.95962249993,,420.53208086091,,,,,476.91762476019005,,418.67969842261,335.21601867812,,,,,,,403.7884489303,,345.49895056317,,,,303.74570802005,,,,,,,144.89535201641002,,,,,,186.29979007136,,365.66241914074,,,,,,,,,,,,,374.96447100503997,,,921.8646667310601,170.33326671422,,,190.80478770213,199.67926812255,210.25988509647,,,,258.67309528763,,,,,,610.36989893211,,,,,,,,195.23005768704,,,357.40474320683,,,,,,,,,,,,,,,,,,,,,222.18108314264,260.09205841514,,,591.4594754343,,,,,199.10525205471,,,1211.83601609425,400.49196405870003,,,,,
21,2012,,,,,,987.9499516247803,,,,,,,,,,913.66264186487,,1939.1924386064002,,,,,,,183.14547683438,,205.31903387421002,,,,,,,,,,150.71629213019,217.67378731744,147.50989157677,,,,,732.1306216793599,460.07763273467003,,,,,,,462.3301632705,,,813.6462484439,501.99038270082,447.61634991629006,,,,,,,,,,,314.5461995321,,413.86921639573,,452.74839804550993,,,,,,,,,,,,493.31360449873,,,,228.0116690359,,572.96947845569,,,,,649.1829481889798,,430.72049677058,303.16372630357,,,,,,,392.58021292526,,408.70125622852,,,,289.49462803914,,,,,,,152.11577345868,,,,,,187.80652186296,,448.95317939117007,,,247.0,,,,,,,,,,366.19325553672996,,,1066.34195411123,160.97542608993,,,156.90557318032,176.44661266143,191.3539736611,,,,255.01076121627997,,,,,,550.7046160774099,,,,,,,,206.01666790494,,,413.98468565188006,,,,,,,,,,,,,,,,,,,,,,281.39187250901,,,809.965988877,,,,,171.05293635933995,,,1010.9759234631399,377.00634623448997,,,,,
22,2013,,,,,,1066.93324472798,,,,,,,,,,728.3225310751599,,1004.7109348497501,,,,,,,208.55433343459998,,80.34280049872,,,,,,,,,,154.15245215311,161.66301644262,158.03848763321997,,,,,473.24262518669997,330.69921742488,,,,,,,377.47653603706,,,636.7437805372,563.84063378142,377.98350674667,,,,,,,,,,,273.13699874687,,359.27094915319,,463.32378579023,,,,,,,,,,,,336.61441039467,,,,260.09994525455,,512.69194071036,,,,,653.14141002759,,356.76004753044,274.23792119187,,,,,,,378.99320808334,,414.83157926382006,,,,173.53692976127,,,,,,,134.16840523025,,,,,,188.53747500063,,434.62169628617005,,,267.77281397939,,,,,,,,,,303.35983329536,,,733.1178903698599,177.09875604415,,,158.58089763549998,153.18819048885,134.75261987038,,,,205.37688634465,,,,,,475.02938501556997,,,,,,,,234.58347035518003,,,405.85995607706,,,,,,,328.4401613538,,,,,,,,,,,,,283.21676767677,,238.21306454267003,,,736.80719760259,,,,,181.69926077821,,,926.39118471684,297.69773581682006,,,,,
