,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,,,,233884.442657578,,,624439.095197003,,,,,,,,,,,,,9308.299228738771,,,1134035.55602108,,,,,,,979073.5029433641,,,,,,,,,,,14687.926561496499,,,,,,241159.211960093,,,,398893.380127376,6440611.76784462,39555.7848553563,,11676.021529076499,,,,,,,,162205.98941287902,2003060.67646019,,,,,2820015.35895561,,,,,,,,,,,,109797.79315723699,,,9308.0341523478,,308212.301116815,202401.826570206,,,,,1848157.85237907,,4593096.74482644,,,,,399220.31442793,,,,1666607.54740919,,,,,,,,,,,,,,,,,,,159529.088344839,,336648.020528663,,,,,,,,564879.06888262,,77906.88600613401,,,,263804.156667722,,,,,,58082.1889024746,90681.0790105606,,,,,,,,,,,,,,70043.4271029096,,,,,52380.0989382322,,,,,,,,52380.0989382322,,,,,,319567.03859645396,418785.010574417,,,,,,,,,,,,,,,,1630219.36524072,8995210.48422436,,,,,,,35498676.3647478,,,
1,1992,,,,,,256532.057889377,,,640996.261351182,,,,,,,,,,,,,9467.2928816471,,,1127737.23793878,,,,,,,987718.491669892,,,,,,995481.962464065,,,,,16039.708062868798,,,,,,245878.722610002,,,,,,40154.851160649705,,12556.833925661298,,,,,,,,156813.196008178,2032390.35454706,,,,,2862721.50503913,,,,,,,,,,,,116643.642144999,,,,,328291.138465703,221763.533859567,,,,,1861085.46947683,,4636747.61203239,10147.8601853684,,,,423874.009855646,,,,1669040.45644139,,,,,,,,,,,,,,,,,,,165223.230701722,,,,,,,,,,573855.2023677389,,78572.5855227155,,,,273264.05141914,,,,,,57778.658705907685,91034.8164346529,,,,,,,,,,,,,,75005.4120302247,,,,,51260.7388509587,,,,,,,,,,,,,,316301.956567791,418227.693627519,,,,,,,,,,,,,,,,1636086.07510092,9315075.03834356,,,,,,,36231014.548885904,,,
2,1993,,,,,,268787.554598185,,,666375.478716108,,,,,,,,,,,,,9870.594653152779,,,1183109.56594562,,,,,,,1013945.01099522,,,,,,1134123.25206863,,,,,17162.5354005062,,,,,,245904.72491547398,,,,1859284.40196282,8185894.12685834,40274.201947633795,,13482.6022476351,,,,,,,,155661.403548041,2021212.81863201,,,,,2834513.3354092008,,,,,,,,,,,,123876.800615793,,,,,354384.11829689896,213916.00645097802,,,,,1845115.89818549,,4642665.73478829,10623.4492126538,,,,452895.75621165603,,,,1745316.44767981,,,,,,,,,,,,,,,,,,,169566.555449095,,,,,,,,,,581108.2694219679,,82401.43145195731,,,,280930.534834222,,,,,,60795.8510122151,92954.7748645717,,,,,,,,,,,,,,83667.62244563,,,,,51893.0174472692,,,,,,,,,,,,,,307224.212743187,417471.854358578,,,,171107.813289601,,,,,,,,,,,,1677102.97681927,9570805.84465381,,,,,,,36943508.9421868,,,
3,1994,,,,,,284514.401663906,,,698839.634535796,,,,,,,,,706.743,,,,10334.1795587068,,5880.521527539239,1252185.86575878,,,,,,,1059506.63421735,,,,,,1282679.51901742,,,,,17950.865869170702,,,,,,259017.816654421,,,,2064030.31622415,8532868.69409328,42168.627857716696,,14297.939152114099,,,,,,,,161794.732555819,2068307.92532357,,,,,2906395.10427016,,,,,,,,,,,,131354.107677716,,,,,381125.403896323,209397.709518519,,,,,1887211.86429503,,4677980.76065317,11154.1063998829,,,,494589.88627216,,,,1848659.74476402,,,,,,,,,,,,,,,,,,,177562.334647306,,,,,,,,,,598591.357475515,,87886.652307403,,,,294993.120016738,,,,,12798.529055533601,68240.0041339675,97032.30147124948,,,,,,,,,,,,,,92747.83118934633,,,,,53571.2793891379,,,,,,,,,,,,,,319262.09042364,423037.46826820297,,,,184727.16687734606,,,,,,,,,,,,1742259.68143375,9957317.22447415,,,,,,,38328755.6451546,,,
4,1995,,,,,,276574.20510093,,,719578.2792525941,,,,,,,,368821.347099322,708.51,,,,10814.111316405899,,6258.39281175453,1305177.14483987,,32428.076310505698,,,,,1087877.13276975,,,,,,1423793.22488174,,,,,18667.1796036778,,,,16036.5452378507,,266859.81692312803,,,,2267801.19444194,8918830.41555095,42905.9040762618,,15211.551569493999,,,10827.7940622899,,,,,168600.28207414,2113268.53826923,,,,,2959066.01777317,,219018.902752108,,,,,,,,,,134472.074395889,97007.7339295273,,,,412548.087666498,213435.167982331,,,,131062.104733596,1943094.35221581,,4768011.197807799,11844.2213985224,,,,541925.040131876,,,,1908372.15017416,13100.5878979899,,,,,20085.2401120206,,,,,,,,,,,,,167323.722286755,,,,,,,,,,618063.6543863771,,91677.56052225892,,,,307450.59038497397,,,,,13699.638270405501,73275.5830514833,101577.509812972,196384.335991141,189263.238058163,,116793.73095205199,920663.01954611,,,,,,,,,99239.4136122002,48441.4621026052,31426.2849145819,,,55240.3976097676,,982320.925303105,,,,,,,6258.24989000696,,,,,332820.565298724,425525.136185725,,,,199720.928221448,,,,,,,,,,,,1785927.20507689,10227925.4519062,,,,,,,39523674.7139503,,,
5,1996,,,,,,291615.70616289397,,,750373.979629987,307531.05832738,,,,,,,374683.17793502397,718.6560000000002,,,,11282.1013563814,,6599.740594252889,1334093.57907627,,29727.471647951603,,,,,1105402.85534151,,,,,,1565218.11708679,,,,,18895.5835100801,,,,16295.407318514299,148110.56077457,274598.914451032,,,,2470417.2877617995,9349230.84566343,43936.5180285214,,15471.0911447053,,,11402.428729706298,,1761151.30166029,,,174767.768628186,2141849.56090944,,,,,2984413.29023827,,225388.09187334,,,,,,,,,,140198.510072038,96995.0856522371,,,460562.119832753,444832.90185461706,231050.661106901,,,,138580.090932512,1963943.43826561,,4895116.81021736,12080.4299878242,,,,583081.679343957,,,,1957642.15560993,13355.516638513998,,,,,21075.8378482998,,,,,,,,,,,,,176701.67966742802,,,,,,,,,,637028.36007158,,95180.71475252787,,,,322973.020563048,,,,,13903.715388023898,75314.4456717406,107493.974425952,277266.178556302,195881.26622643895,,121070.621405635,887838.3082961941,,,,,,,,,106805.90993659,51690.372446818095,32449.4991544161,,,57619.4512081522,,1008585.94668661,,,,,,,6599.5898771869715,,,,,337953.53581691603,428000.620763787,,,,211081.61102322,,,,,,,,,,,,1831445.74636417,10616346.7709246,,,,,,,40803209.535142295,,,
6,1997,,,,,,315265.945392147,,,782693.3760533441,315175.968197967,,,,,,,388586.188710801,744.534,,,,11837.4925465581,,7102.87139070882,1379435.18389128,,29125.5960388853,,,,,1152712.79639724,,,,,,1710904.05861018,,,,,19955.3203643728,,,,16685.1953876959,147069.668859767,283553.112622584,,,,2647197.06273012,9702608.27157287,45716.3570741097,,16127.184229928702,,,12738.235839180601,,1773106.59281523,,,185695.45083005895,2192141.59150283,,,,,3041175.14847937,,235809.145886527,,,,,,,,,,147348.23401028902,100336.55966779099,8393.97113076956,,636137.689340656,465956.94489677396,239823.78082057397,,132278.77831241098,,144511.696085831,2002587.26812289,,4973717.27072595,12482.3019931366,,,,617612.857804217,,,,2036016.33553195,14640.776700857901,,,,,22824.255720206,,,,,,,,,,,,,189467.787507345,,,,,,,,,,665690.801903245,,98013.1588246927,,,,339960.108893325,,,,,14505.4283658134,80197.02385034019,113055.542838301,296565.698351096,204551.310168,,115837.705139405,899181.852273505,,,,,,,,,115628.39578463,54789.82617883409,34125.2480442203,,,59144.5396069967,657731.7291658879,1045838.97212015,,,,,,,7102.709183612,,,,,348497.620664426,437825.964593077,,,,205343.48032127199,,,,,,,,,,,,1888718.32332015,11092625.2930543,29320.6676128334,,,,,,42433799.42789871,,,
7,1998,,,,,,327460.786862115,,,819064.381180896,326262.67073494697,,,,,,,396266.719862919,773.205,,,,12431.4587997443,,7132.352769599741,1384188.03854041,,30518.248182452404,,,,,1197457.8205511002,,,,,,1844454.15775867,,,,,21350.2054662471,,,,17528.3461647144,146626.12618092302,289842.904344078,,,,2706871.87683005,9655788.39050489,46683.5334526745,,16730.2259770573,,,13282.964377280401,,1695633.22541069,,,195774.65958265,2270204.06007083,,,,,3095172.85487041,,244868.530239364,,,,,,,,,,138680.275135607,104562.5259276,8945.22819395172,,674437.329006578,404983.631791969,247808.37064192398,,143152.714694991,,149779.972852629,2031747.3584355,,4869119.79114738,12855.405336449,,,,583821.990419477,,,,2055765.72117239,15600.4683983678,,,,,24547.1701688721,,,,,,,,,,,,,198428.43047303602,,,,,57183.5231245868,,,,,695168.133432321,,98731.11217429633,,,,348969.317158953,,,,,14527.8745096127,79947.2793193708,112497.45879964,310982.368654695,214352.874428872,,113110.636548719,852923.296580188,,,,,,,,,113097.18368541301,56983.9415669203,35168.970911830096,,,59450.5300230676,697331.4709293529,1090861.16765024,,,,,,,7132.1898889141075,,,,,362884.1819790621,450411.16536564,,,,189574.53029682895,,,,,,475547.449607828,,,,,,1948983.15791567,11586294.3141981,30645.9647119111,,,,,,43427882.4542495,,,
8,1999,,,,,,316406.807420726,,,854336.869289425,337433.353012985,,,,,,,410383.543848701,841.035,,,,12480.7337610148,,7815.28706197364,1390663.82610787,,31229.0880466661,,,,,1259284.85592273,,,,,,1987668.00478584,,,,,22200.93547759,,,,18353.2428375645,148487.212364351,298387.335687555,,,,2875205.29557132,9950377.70846328,43742.7233220599,,17304.4146967535,,,13229.024098376101,,1731632.05937259,,,204475.269767887,2344856.2929829,,,,,3152376.97740752,,251988.9853801,,,,,,,,,,142156.71399154802,107870.447815476,9303.37938454503,,721179.915278208,408187.401225288,253638.824077165,,158666.28476645699,,155885.080167654,2062400.89684767,,4864748.21250161,13281.159838281399,54671.973732339015,,,649844.113527704,,,,2068819.70707348,15951.6249122773,,,,,24269.8352430903,,,,,,,,,,,,,203713.176699138,,423136.96275468,,,57486.1989213664,,,,,729670.6180954321,,103156.940250666,,,,355904.054910861,,,,,14310.2297994315,81137.6203022256,115964.523948713,324760.499561163,222687.386061558,,112442.29712796,904194.072841101,,,,,,,,,119960.96127960699,56858.29976109621,36973.730156088,,,60852.470006076794,745660.759712715,1139732.69038246,,,,,,,7815.10858344274,,,,,378373.60681295604,457696.802362354,,,,198361.69705507,,,,,,459543.651497401,,,,,,2012975.06145098,12129018.6157975,30062.067711814198,,,,,,44923140.4583916,,,
9,2000,,,,,,313973.910540968,,,881542.536637786,349815.546309594,,,,,,,425323.419889858,951.216,,,,12792.1371889565,,7921.5766771199,1451624.59425642,,32881.2207502539,,,,,1324550.21633239,,,,,,2156961.8489319,184200.295930847,,,,23024.7435907923,,48493.3297630064,,19403.483279113898,155392.026243258,309567.589386423,,,,3091110.11910409,10401954.9584281,46059.890581590495,,17675.8294877837,,,14525.229484097701,,1877660.84472482,,,215997.29327481397,2439639.65066292,,,,,3252867.71791666,,262284.36805546604,,,,,,,,,10236.0160179895,153050.73355005198,112634.831463122,9738.83677590312,,762062.6916748509,428455.677483471,261684.072002355,,174393.789856675,,169908.868460535,2144243.22915343,,4973790.56665534,13851.2132612176,60013.1129176066,,,707838.970777104,,,,2157993.42522,16755.201678991,,,,,25203.827551802202,,41248.5066988127,,7196.68668732272,,,,,,7420.343708361279,,,213982.857906383,,435568.769209523,,,58401.9838000892,,,,,761220.84244065,,107245.623733154,,,,367350.90823701204,,,,,13991.144430055601,83366.37518236639,121079.976839046,340874.832177941,231121.864138335,,115127.984227792,995250.9987469908,,,,,,,,,130614.647370642,57515.0649299871,38644.9061761856,,,63380.57923047369,787931.324188052,1199998.71939081,,,,,,,7921.39577097015,,,,,396861.3649553461,476466.511800181,,,,207196.995284386,,,,,30146.2655516064,490675.222910235,,,,,,2088360.22155967,12625301.237949198,29490.845233403197,,,,,,46897327.5707996,,,
