,Year,AFG,ALB,DZA,AGO,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,ZAR,COG,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,EAP,EAS,ECU,EGY,SLV,GNQ,ERI,EST,ETH,ECA,FRO,FJI,FIN,FRA,PYF,GAB,GMB,GEO,DEU,GHA,GRC,GRL,GRD,GTM,GIN,GNB,GUY,HTI,HPC,HND,HKG,HUN,ISL,IDA,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LAC,LVA,LBN,LSO,LBR,LBY,LTU,LMY,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,FSM,MNA,MDA,MNG,MAR,MOZ,MMR,NAM,NPL,NLD,NCL,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROM,RUS,RWA,WSM,SMR,STP,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,SAS,ESP,LKA,SXM,KNA,LCA,VCT,SST,OSS,SSA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TMP,TGO,TON,TTO,TUN,TUR,TKM,UGA,UKR,LDC,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,WLD,YEM,ZMB,ZWE
0,1991,,,52847717189.961,,,,3866869933.7365103,,,58886598003.2533,,,,7347922391.08675,428717797.7069661,,60810044496.1144,,,,,4089078950.11635,,,311038332863.883,,,,,,,161353622464.697,,,,,45000315162.3611,3807125013986.14,67784651599.0554,,,,,,11666223808.1995,,2651405186.90348,,48691296541.7223,,,,4422761662575.65,6063654208588.08,15602389894.1089,,2748271680.2575397,,,,,,,,35577413908.7389,396739674736.85706,,5976790847.58535,,,827126090601.663,,21669851799.2375,,,,,,,,,,31776664872.105,13562919163.5059,,10132720392.7972,124043783355.596,209158314969.204,77127514400.7926,3478515780.46325,14966425895.8437,,18921102387.1607,480821486124.878,,1609309539744.08,3394959620.65685,41370186575.3744,,,101654140840.038,,,,817545650866.5071,,,,,38394022701.4867,,,4513670102.414989,,,,,33802804161.2508,,,317343383.63239,,,237308543854.161,,222250233173.172,,,,,,,,122370769757.39,,,,,,127084906061.12,13760752496.251,14433930428.4452,,,,22453067944.7356,37673305672.5808,44153874719.8977,43171525373.945,14981162449.926,49482472682.0313,,,,,,312851625733.768,,,,19667064734.3322,644482302.318331,,,,78507767534.773,150175311343.67,323801388916.556,,,,,,88521736969.7447,8840304266.98275,8840304266.98275,,,,,,,,,,,,,16269487284.0432,7492104857.41651,,,,,,165829223852.59198,437506303532.166,2054774037708.61,,,,132022450332.565,,,10494986630260.4,,,
1,1992,,,51949354919.3695,,,,2587057372.39608,,81901382437.142,58159995374.9557,,,,8210243731.47273,401799461.369842,,60652935151.9304,,,,,4116843839.02494,,,298406858437.95,,,,,,,163401491161.182,,,,,50661171401.438,2889385385870.7,72514924591.5061,,,,,,9948867544.5002,,2838758762.41183,,50060364698.7131,,,,3443038793190.9,5179405359968.55,16733932302.9982,,3116736672.27167,,,,,,,,35853056396.9044,385661408027.765,,6327905710.2128105,,,808953820393.5941,,1161258766.84425,,,,,,,,,,90649630909.7058,12190501223.8544,,11321853941.8222,127674045076.285,195205665332.957,79577392486.8469,4518896940.03615,16340209765.3876,,20399912970.0467,475769001536.275,,1511106173897.29,3688295071.25887,36202170487.5277,,,107492841492.537,37883827376.2631,,,817882231455.663,,,,,38387963898.9545,,,4472464341.218989,,,,,36779603799.9348,,,339274898.66581404,,,246890639280.172,,225649853252.107,,,,,,,,121514405376.223,,,,,,130982967815.701,14409285985.7134,15902738901.3479,,,,21261931489.3443,40240194643.0176,45622357887.6253,42061185069.4957,15636016251.1747,38029724015.0134,,,,,,323859211024.828,,,,20119575147.719,1047201777.7835599,8770513260.167841,,,76105174032.4979,156268423756.206,314783032554.524,,,,,,86348013832.289,9359640695.32728,9359640695.32728,,,,,39428914176.8045,,,,,,,,15329988357.1488,7497946543.9187,,,,,,159416462575.431,439050573197.545,2113810872363.94,,,,132186190402.757,,,10471356678565.1,,,
2,1993,,,50039256162.5115,,,80207439493.5394,1308467806.80786,,2558102743306.05,57188977455.563,,,,8992223415.53355,392754001.523134,,57615487831.0393,,,,,3967413328.16306,,,321858020301.0,,,,,,,171285785642.646,,,,,52377769107.9724,4394961366849.76,74492968137.5669,,,,,,9347690748.88762,,2580598708.72958,44967810551.6608,48428705904.3138,,,,5090810616355.09,6563934125984.96,17928344145.0861,,3383082242.3148303,,,,,,,,37906579610.9119,367708842269.5471,,6257982162.72518,,,747941039876.004,,20676234154.5239,,,,,,,,,,53652711372.2876,12665609855.9268,,12400197052.9373,130213115864.616,195293086396.178,88216113306.2729,6184461547.650471,17244896703.8677,,21951966529.9151,464072698630.374,,1454398281289.64,3745916387.28109,31034385058.95,,,112082802699.126,68906554532.5317,,,862823192264.857,,,,,35533548607.7055,,,4275459663.7401705,,2553341785.20988,,,40233789724.5067,,,83971082.7217148,,,254633184028.779,,232065726013.264,,,,,,,,119400223888.277,,,,,,136297280380.77,15141194236.9076,18423069164.1149,,,,22354973236.2794,47278524305.0701,47785425937.4703,39927963376.8718,16316082648.3046,38152686472.4078,,,,,,314994791704.715,,,,22185689526.1496,12690272997.3865,8521268016.56872,,,77868228257.18901,162206527962.18802,300539576381.23303,,,,,,88131308325.1432,9256214342.316109,9256214342.316109,,,,,29002683839.3476,,,,,,,,13982605218.6776,6697882056.04277,,,,,,151648960125.886,448647106118.118,2183037932906.45,,,,135039567445.328,,,10469697008737.3,,,
3,1994,,,48720897003.2447,,,71279794618.6886,682247854.993437,,696755914174.186,59443430432.5112,,,,10196839153.2272,414081030.848906,,58767623021.7221,,,,,4704316840.00305,,,346528921996.927,,,,,,,181983851713.08105,,,,,54395913635.9587,3314668879121.35,77184265269.331,,,,,,9137798530.93523,,2676742739.92088,45919488180.3766,53314200875.6029,,,,3963580778856.66,5523131487011.35,19810221044.8711,,3548075656.69182,,,,,505645295684.113,,,42181671571.988,377509078752.97,,7001163556.00899,,,769566863698.2759,,20977036664.3547,,,,,,,,,,16478152257.5644,13886740164.1747,,14303335215.6896,138440540072.023,237693968345.357,84766773367.1043,6182283768.63513,19294403533.6343,,23713285738.3052,492398439001.1261,,1467893463749.01,4193815656.31542,25867742672.7197,,,124401448584.456,71406677015.2256,,,944103748331.8392,,,,,35594268466.8714,,,4542169352.950439,,2300875553.438689,,,45202545482.4499,,,315359603.488127,,,266127137873.45895,,226575028413.068,,,,,,,,126514231796.675,,,1150843158.97261,,,144983618685.097,15796395956.0065,15999200782.4291,,,,27343274676.3087,53437442539.114006,54027431650.1551,39875599682.1688,16029321878.2057,39361356140.4948,278594506729.285,,,,,311552998291.326,,,,25035188670.375,13305342217.2146,9067234520.98573,,,80573306552.916,169495378139.124,324235445142.455,,,,,,91719987991.6384,10355459475.7612,10355459475.7612,,,,,121772712235.547,,,,,,,,14790378269.9768,6726539988.59541,,,,,,151428029417.271,472803895883.698,2297135144618.9,,,,137824727357.426,,,10913813582690.3,,,
4,1995,,,50362421711.789,,,67646215781.48901,828396876.5650799,,194370377590.288,62503618008.7576,,,,11304848148.4003,446245529.302702,,62416051125.551,,,,,5224670230.43746,,,352891556167.72,,,,,,,190324820913.86105,,,,,57941373233.6373,2234715819811.75,78809299874.7081,,,,,,9154402614.61555,,2720514411.42515,45570586478.8582,55212141025.2441,,,,2820919200554.65,4501721806314.33,20080733437.2621,,3677233047.6078296,,,,,493236172802.7,,,45469195105.9626,386930416863.606,,7237432841.43285,,,778200747733.784,,21370051975.6595,,,,,,,,,,64638369675.2636,14662244720.1237,,15775543690.3347,154121126741.337,260354425819.207,83459536885.8137,6185256724.021522,23052763469.419,,25516458076.3996,521599412922.661,,1512772097926.59,4348906870.91485,20703931379.9959,,,139453821364.886,72079420576.1863,,,930363090061.632,,,,,35874094133.0265,,,4632579120.354361,,2065711820.8361301,,,51126803960.3172,,,15088446.9241493,,,244480667686.317,,227690354948.84305,,,,,,,,126857038371.016,,,1195425154.27701,,,153292290106.626,16661463780.6087,16978142475.3139,,,,29701841022.1667,62780080692.6449,59502760180.4166,43473404772.9092,17687719392.5172,43042379995.0264,268470739344.83606,,,,,313612912238.074,,,,27615389822.239,14688320171.0884,9250006899.11493,,,87167475050.1674,187810808617.555,340282530679.43896,,,,,,98888873827.9064,10704925655.847,10704925655.847,,,,,979319514063.1172,,,,,,,,14744624679.2647,6945352393.5264,,,,,,152034685516.796,481223842392.553,2403972363618.64,,,,155262135782.015,,,11316658115045.9,,,
5,1996,,,53610309484.5782,,,70934184292.2712,839106482.441787,,526010239649.25,62223017031.8159,,,,11874699295.3854,450083007.87478,,62913564048.8004,,,,,5394737955.773561,,,357241527046.577,,,,,,,192587715823.476,,,,,59169099578.1206,1153151381853.26,76758883423.3908,,,,,,9438249298.36513,,2634792707.90309,46564472588.198,56178444033.6284,,,,1650957536107.01,3432868735760.88,20115630958.4404,,3680969265.6770897,,,,,474888564760.916,,,46957381129.4182,380648522413.201,,7638034568.53568,,,778529657601.8041,,21552627573.5803,,,,,,,,,,24078010243.5941,15128126188.4362,,16572123207.4701,167886963915.536,261767712510.71106,84789120876.8598,6494479818.42155,24890059782.752003,,26674394664.8858,512886860758.061,,1544525312689.97,4212113094.8874702,15544031747.2017,,,151131222669.884,76275320554.585,,,990580988663.902,,,,,36256828727.941,6000407405.56596,,4627870343.16971,,2180427547.80294,,,56761549240.2207,,,141009145.33038402,,,266756945665.695,,235425509406.167,,,,,,,,128672304582.713,,,1257028845.57306,,,161627937734.069,17283296790.5863,16956971292.9803,,,,30574835908.1536,68358260358.0532,65064633704.1132,45710507646.5818,18803397094.2355,47301576211.9493,253958332099.517,,,,,315791543770.93,,,,28586051655.4859,15067924154.7784,9341172999.862959,,,90373813860.7575,202602920271.91895,335359507185.377,,,,,,102661079770.772,11297459092.5864,11297459092.5864,,,,,1920539076662.61,,,,,,,,14585878872.0849,8216975148.6986,,,,,,153295901436.862,487768604307.733,2513093839276.87,,,,166027874019.433,,,11603706265799.4,,,
6,1997,,,55730229116.5808,,,77341986560.4431,916195076.008126,,338391792594.206,66189385437.5087,,,,12525108526.6893,470269884.868779,,65767717134.8101,,,,,5536692040.94022,,,372771214986.409,,,,,,,207029285871.084,,,,,61625857664.5826,571567907373.6329,78536916208.3854,,,,,,10069860887.8993,,2626969464.92582,48595721179.0879,66672840731.982,,,,1041522466425.89,2931297335092.46,20291751846.3955,,3888151413.75712,,,,,481873379041.16,,,50825528770.5376,392132751664.564,,7786995461.49672,,,801635575830.163,,21637274234.0141,,,,,,,,,,21404845686.0064,16777520206.6858,,17477780992.6015,177357707538.265,275903609036.161,83934379671.9917,12448348132.6488,29240375369.6409,,27368459065.8157,532698965680.301,,1607324746793.07,4614488718.07259,12626691511.7694,,,158994906207.642,76818751035.4659,,,1071278505122.85,,,,,37177350798.3815,6280415099.81752,,4900268087.1504,,2085275103.26714,,,62842127435.6868,,,224891677.26099,,,292123980602.572,,245267729456.631,,,,,,,,130463234564.679,,,1323876285.8375401,,,167738048373.603,17543353120.4374,16974275274.3023,,,,32368172466.1601,73608132102.1545,72338189408.4356,46871566645.2823,24295828069.9514,44295826426.1654,259252940820.267,,,,,330238245630.282,,,,29835475433.9684,15260966130.2774,9429648318.1088,,,92767764940.3626,213070641465.78305,359235191368.063,,,,,,105327016701.179,11517791746.6382,11517791746.6382,,,,115699600466.455,1403677075041.63,,,,,,,,13967812713.7774,8572494438.63142,,,,,,155560286922.013,494386902873.645,2693286144827.44,,,,180013896482.388,,,12206281390751.5,,,
7,1998,,,53926849291.8181,,,79032674913.9987,967551903.5595052,,335555966326.103,71538058536.9293,,,,13010610408.9258,501200359.995954,,67967247953.3863,,,,,6939713946.50254,,,365190027920.651,,,,,,,214342224986.23,,,,,60883086489.664,622762982105.116,77532726532.3912,,,,,,10347730923.891,,2700572519.80285,49389963846.9483,68648534012.4301,,,,1042896530070.65,2806666281258.9,19624387070.5484,,4255761883.6521397,,,2891233394.3726,,451978076767.241,,,54364230650.7393,401683396362.738,,7696279255.68945,,,831319691418.909,,23574691284.8699,,,,,,,,,,26580183148.9012,18843603240.0721,1998964310.06873,18123432223.6837,185353220072.323,225799971597.78894,86182689756.4574,20330976602.8639,35037073160.6431,,28153205247.7717,539303000654.381,,1494182717333.99,4722118971.22543,15896608057.8938,,,148262496915.766,67469453311.3549,,,1104516486794.5,,,,,35504742783.3765,7195206327.826691,,4888949521.37195,,2081630524.7264,,,58325900470.1649,,,246021594.71700895,,,308549991462.993,,253248279284.778,,,,,,,,134848761404.214,,,1343966533.53486,,,165836225856.662,17478740342.6405,18163022743.7981,,,,31274088947.4849,74486223890.6619,75786085819.9556,49505991341.6406,26387666885.7132,36683591514.7026,245557505285.649,,,,,313753277646.875,,,,29756669826.3817,16090908285.5001,10899552532.6651,,,91825740869.3267,223021522474.154,378791271115.254,,,,,,104245787359.236,11383615139.8261,11383615139.8261,,4664922943.1205,,120850952491.202,1180179516512.92,,,,,,,,13871508300.2481,9163169671.49089,,,,,,156605006090.143,499902151678.572,2850375669000.56,,,,181414277199.86105,,,12371926714816.6,,,
8,1999,,,50807928957.0728,,,73867201657.0029,1092459450.2222,,129010878186.245,75770748321.8342,,,,13530933935.6525,496595844.58349,,68787707861.9029,,,,,5983597265.294001,,,363097937593.383,,8719300408.90421,,,,,226838319772.177,,,,,60041105105.0901,678021677439.7739,66989948921.7919,,,,,,10211007365.2547,,2762950569.50735,47758174758.1195,68541734887.985,,,,1113661062228.55,2930222656675.42,19522288459.2473,,4506789715.64874,,,2789382213.98374,,490786574018.479,,,56829393758.2955,403018562057.319,,7254893039.4513,,,840446940256.447,,24028351096.6547,,,,,,,,,,34021970796.0959,20686873397.3088,2073225816.9254398,18893541314.3195,196336803011.184,229955351928.01105,81714037611.8147,24722858576.6859,40208308376.8935,,28435713873.2758,537950366984.991,,1502823284115.07,4841955497.478828,19245558202.2628,,,184340941988.143,60483606796.8136,,,1058606330985.04,3111368227.63454,,,,34050733223.2528,6244537478.021271,,5467868880.09682,,1993186326.3051,,,63564346462.6654,,,177797394.832908,,,313553773093.053,,247409062389.882,,,,,,,,139717551598.7,,,1442170985.00487,,,163691617486.495,17576441111.7774,19238513026.5378,,,,31145182889.8749,75325134910.9441,79190166552.3847,51050909996.47,25951792430.8213,34769555961.3383,272852413534.716,,,,,291024567481.912,,,,33878585301.2647,15738402239.8532,10847649901.5572,,,91099777365.0421,235985197765.73105,388820015182.238,,,,,,103040161218.501,10730767341.5752,10730767341.5752,,4208429467.51795,,124090345267.999,1662865414175.64,,,,69649534096.0827,,,,14193864280.4888,9650032732.722971,,,,,,144501668390.392,505086485555.2029,2976960508129.64,,,,157803237078.7,,,12659135586437.2,,,
9,2000,,,52875070965.7669,,,73643021985.8132,1166670974.6528199,,691097126559.067,82710235926.6759,,,,14721972240.6562,488300002.13896906,,74033414298.2693,,,,,5802539519.264811,,,386800073173.225,,9068856409.6718,,,,,246702646128.075,,,,,62866637984.0206,756214139076.193,73421182528.8647,,,,,,10366724979.3843,,2874642993.32005,50240144320.1981,73378135196.2213,,,,1228297082680.44,3165060527730.19,20932551147.4996,,4517256179.938729,,,3189604735.51911,,561850719304.446,,,62106206032.3042,415041067568.435,,7161237786.34807,,,887892188718.2379,,25758854286.3904,,,,,,,,,,41516543696.5263,24662781083.4051,2198990638.54605,20485784790.8723,208196945285.856,243636270036.629,84892524489.1833,26442499961.8956,45926823346.0517,,31292189975.5956,560825789334.9661,,1579063579242.24,5024963338.08635,24111202656.5532,,,216639419008.036,66692891761.6627,,,1111609139518.83,3741118734.21618,,,,35722379149.452995,6178963435.23435,,5690726796.615021,,2063913322.18732,,,75770370964.7915,,,2593407614.83861,,,327987147107.38104,,258593665758.398,,,,,,,,149430029167.442,,,1499624408.21075,,,168776632301.294,18599058977.4257,18967857218.5082,,,,33628918535.9486,77086752326.663,85275268040.74901,51330969825.0826,27810638950.8031,37176614370.7475,313099717654.289,,,,,312093003790.968,,,,39228994658.8508,16072179687.4016,11643490245.2121,,,95032079679.9168,249178106409.33606,405980284971.01,,,,,,107080061348.986,10592246062.4603,10592246062.4603,,3750228623.0317,,131185536287.588,1033882833216.39,,,,75589550276.1611,,,,13518757965.7644,10261973729.4892,,,,,,159131621546.915,514315335222.114,3093063788108.93,,,,168041930774.572,,,13397499409525.9,,,
